polla_qid,answer,votes,pollq_id,question,place,time,total_votes,percent
14,Poor,0,14,How was Prince Street Pizza?,Prince Street Pizza,1376933037,4,0
14,Never Again,0,14,How was Prince Street Pizza?,Prince Street Pizza,1376933037,4,0
15,Excellent,1,15,How was Rocco's Pizza Joint?,Rocco's Pizza Joint,1379421469,4,0.25
15,Good,2,15,How was Rocco's Pizza Joint?,Rocco's Pizza Joint,1379421469,4,0.5
15,Average,0,15,How was Rocco's Pizza Joint?,Rocco's Pizza Joint,1379421469,4,0
15,Poor,1,15,How was Rocco's Pizza Joint?,Rocco's Pizza Joint,1379421469,4,0.25
15,Never Again,0,15,How was Rocco's Pizza Joint?,Rocco's Pizza Joint,1379421469,4,0
16,Excellent,1,16,How was NY Pizza Suprema?,NY Pizza Suprema,1382443522,8,0.125
16,Good,1,16,How was NY Pizza Suprema?,NY Pizza Suprema,1382443522,8,0.125
16,Average,3,16,How was NY Pizza Suprema?,NY Pizza Suprema,1382443522,8,0.375
16,Poor,3,16,How was NY Pizza Suprema?,NY Pizza Suprema,1382443522,8,0.375
16,Never Again,0,16,How was NY Pizza Suprema?,NY Pizza Suprema,1382443522,8,0
17,Excellent,0,17,How was J's?,J's,1384445229,13,0
17,Good,6,17,How was J's?,J's,1384445229,13,0.4615
17,Average,6,17,How was J's?,J's,1384445229,13,0.4615
17,Poor,1,17,How was J's?,J's,1384445229,13,0.0769
17,Never Again,0,17,How was J's?,J's,1384445229,13,0
18,Excellent,8,18,How was Tappo?,Tappo,1386772733,19,0.4211
18,Good,7,18,How was Tappo?,Tappo,1386772733,19,0.3684
18,Average,3,18,How was Tappo?,Tappo,1386772733,19,0.1579
18,Poor,1,18,How was Tappo?,Tappo,1386772733,19,0.0526
18,Never Again,0,18,How was Tappo?,Tappo,1386772733,19,0
19,Excellent,2,19,How was Joe's Pizza 14th?,Joe's Pizza 14th,1391005843,9,0.2222
19,Good,2,19,How was Joe's Pizza 14th?,Joe's Pizza 14th,1391005843,9,0.2222
19,Average,3,19,How was Joe's Pizza 14th?,Joe's Pizza 14th,1391005843,9,0.3333
19,Poor,1,19,How was Joe's Pizza 14th?,Joe's Pizza 14th,1391005843,9,0.1111
19,Never Again,1,19,How was Joe's Pizza 14th?,Joe's Pizza 14th,1391005843,9,0.1111
20,Excellent,0,20,How was Nonna's LES Pizza?,Nonna's LES Pizza,1393514428,9,0
20,Good,2,20,How was Nonna's LES Pizza?,Nonna's LES Pizza,1393514428,9,0.2222
20,Average,3,20,How was Nonna's LES Pizza?,Nonna's LES Pizza,1393514428,9,0.3333
20,Poor,3,20,How was Nonna's LES Pizza?,Nonna's LES Pizza,1393514428,9,0.3333
20,Never Again,1,20,How was Nonna's LES Pizza?,Nonna's LES Pizza,1393514428,9,0.1111
21,Excellent,1,21,How was Pizza 33?,Pizza 33,1395248377,6,0.1667
21,Good,3,21,How was Pizza 33?,Pizza 33,1395248377,6,0.5
21,Average,1,21,How was Pizza 33?,Pizza 33,1395248377,6,0.1667
21,Poor,1,21,How was Pizza 33?,Pizza 33,1395248377,6,0.1667
21,Never Again,0,21,How was Pizza 33?,Pizza 33,1395248377,6,0
22,Excellent,4,22,How was Saluggi's?,Saluggi's,1398776927,20,0.2
22,Good,10,22,How was Saluggi's?,Saluggi's,1398776927,20,0.5
22,Average,2,22,How was Saluggi's?,Saluggi's,1398776927,20,0.1
22,Poor,4,22,How was Saluggi's?,Saluggi's,1398776927,20,0.2
22,Never Again,0,22,How was Saluggi's?,Saluggi's,1398776927,20,0
23,Excellent,0,23,How was Ben's of SoHo Spring Street?,Ben's of SoHo Spring Street,1401374961,9,0
23,Good,4,23,How was Ben's of SoHo Spring Street?,Ben's of SoHo Spring Street,1401374961,9,0.4444
23,Average,4,23,How was Ben's of SoHo Spring Street?,Ben's of SoHo Spring Street,1401374961,9,0.4444
23,Poor,1,23,How was Ben's of SoHo Spring Street?,Ben's of SoHo Spring Street,1401374961,9,0.1111
23,Never Again,0,23,How was Ben's of SoHo Spring Street?,Ben's of SoHo Spring Street,1401374961,9,0
24,Excellent,0,24,How was Pomodoro?,Pomodoro,1402330847,5,0
24,Good,4,24,How was Pomodoro?,Pomodoro,1402330847,5,0.8
24,Average,1,24,How was Pomodoro?,Pomodoro,1402330847,5,0.2
24,Poor,0,24,How was Pomodoro?,Pomodoro,1402330847,5,0
24,Never Again,0,24,How was Pomodoro?,Pomodoro,1402330847,5,0
25,Excellent,6,25,How was Spunto?,Spunto,1407867111,15,0.4
25,Good,4,25,How was Spunto?,Spunto,1407867111,15,0.2667
25,Average,3,25,How was Spunto?,Spunto,1407867111,15,0.2
25,Poor,2,25,How was Spunto?,Spunto,1407867111,15,0.1333
25,Never Again,0,25,How was Spunto?,Spunto,1407867111,15,0
26,Excellent,4,26,How was Otto Enoteca?,Otto Enoteca,1412095020,19,0.2105
26,Good,9,26,How was Otto Enoteca?,Otto Enoteca,1412095020,19,0.4737
26,Average,5,26,How was Otto Enoteca?,Otto Enoteca,1412095020,19,0.2632
26,Poor,0,26,How was Otto Enoteca?,Otto Enoteca,1412095020,19,0
26,Never Again,1,26,How was Otto Enoteca?,Otto Enoteca,1412095020,19,0.0526
27,Excellent,3,27,How was Bleecker Street Pizza?,Bleecker Street Pizza,1414071054,7,0.4286
27,Good,2,27,How was Bleecker Street Pizza?,Bleecker Street Pizza,1414071054,7,0.2857
27,Average,2,27,How was Bleecker Street Pizza?,Bleecker Street Pizza,1414071054,7,0.2857
27,Poor,0,27,How was Bleecker Street Pizza?,Bleecker Street Pizza,1414071054,7,0
27,Never Again,0,27,How was Bleecker Street Pizza?,Bleecker Street Pizza,1414071054,7,0
28,Excellent,13,28,How was Williamsburg Pizza?,Williamsburg Pizza,1442578597,39,0.3333
28,Good,19,28,How was Williamsburg Pizza?,Williamsburg Pizza,1442578597,39,0.4872
28,Average,6,28,How was Williamsburg Pizza?,Williamsburg Pizza,1442578597,39,0.1538
28,Poor,1,28,How was Williamsburg Pizza?,Williamsburg Pizza,1442578597,39,0.0256
28,Never Again,0,28,How was Williamsburg Pizza?,Williamsburg Pizza,1442578597,39,0
29,Excellent,0,29,How was Bravo Pizza?,Bravo Pizza,1422457179,0,NA
29,Good,0,29,How was Bravo Pizza?,Bravo Pizza,1422457179,0,NA
29,Average,0,29,How was Bravo Pizza?,Bravo Pizza,1422457179,0,NA
29,Poor,0,29,How was Bravo Pizza?,Bravo Pizza,1422457179,0,NA
29,Never Again,0,29,How was Bravo Pizza?,Bravo Pizza,1422457179,0,NA
30,Excellent,0,30,How was Famous Original Ray's?,Famous Original Ray's,1424866738,14,0
30,Good,5,30,How was Famous Original Ray's?,Famous Original Ray's,1424866738,14,0.3571
30,Average,6,30,How was Famous Original Ray's?,Famous Original Ray's,1424866738,14,0.4286
30,Poor,3,30,How was Famous Original Ray's?,Famous Original Ray's,1424866738,14,0.2143
30,Never Again,0,30,How was Famous Original Ray's?,Famous Original Ray's,1424866738,14,0
31,Excellent,3,31,How was Girello?,Girello,1427725134,10,0.3
31,Good,4,31,How was Girello?,Girello,1427725134,10,0.4
31,Average,3,31,How was Girello?,Girello,1427725134,10,0.3
31,Poor,0,31,How was Girello?,Girello,1427725134,10,0
31,Never Again,0,31,How was Girello?,Girello,1427725134,10,0
32,Excellent,1,32,How was Luna Pizza?,Luna Pizza,1435248343,8,0.125
32,Good,3,32,How was Luna Pizza?,Luna Pizza,1435248343,8,0.375
32,Average,3,32,How was Luna Pizza?,Luna Pizza,1435248343,8,0.375
32,Poor,0,32,How was Luna Pizza?,Luna Pizza,1435248343,8,0
32,Never Again,1,32,How was Luna Pizza?,Luna Pizza,1435248343,8,0.125
33,Excellent,1,33,How was Dona Bella?,Dona Bella,1438186705,6,0.1667
33,Good,4,33,How was Dona Bella?,Dona Bella,1438186705,6,0.6667
33,Average,1,33,How was Dona Bella?,Dona Bella,1438186705,6,0.1667
33,Poor,0,33,How was Dona Bella?,Dona Bella,1438186705,6,0
33,Never Again,0,33,How was Dona Bella?,Dona Bella,1438186705,6,0
34,Excellent,2,34,How was Arturo's?,Arturo's,1445962856,7,0.2857
34,Good,3,34,How was Arturo's?,Arturo's,1445962856,7,0.4286
34,Average,1,34,How was Arturo's?,Arturo's,1445962856,7,0.1429
34,Poor,1,34,How was Arturo's?,Arturo's,1445962856,7,0.1429
34,Never Again,0,34,How was Arturo's?,Arturo's,1445962856,7,0
35,Excellent,1,35,How was Kiss My Slice?,Kiss My Slice,1446718701,5,0.2
35,Good,1,35,How was Kiss My Slice?,Kiss My Slice,1446718701,5,0.2
35,Average,0,35,How was Kiss My Slice?,Kiss My Slice,1446718701,5,0
35,Poor,3,35,How was Kiss My Slice?,Kiss My Slice,1446718701,5,0.6
35,Never Again,0,35,How was Kiss My Slice?,Kiss My Slice,1446718701,5,0
36,Excellent,2,36,How was Little Italy Pizza?,Little Italy Pizza,1453292409,13,0.1538
36,Good,4,36,How was Little Italy Pizza?,Little Italy Pizza,1453292409,13,0.3077
36,Average,5,36,How was Little Italy Pizza?,Little Italy Pizza,1453292409,13,0.3846
36,Poor,0,36,How was Little Italy Pizza?,Little Italy Pizza,1453292409,13,0
36,Never Again,2,36,How was Little Italy Pizza?,Little Italy Pizza,1453292409,13,0.1538
37,Excellent,2,37,How was Joe's Pizza 14th?,Joe's Pizza 14th,1456333741,7,0.2857
37,Good,4,37,How was Joe's Pizza 14th?,Joe's Pizza 14th,1456333741,7,0.5714
37,Average,1,37,How was Joe's Pizza 14th?,Joe's Pizza 14th,1456333741,7,0.1429
37,Poor,0,37,How was Joe's Pizza 14th?,Joe's Pizza 14th,1456333741,7,0
37,Never Again,0,37,How was Joe's Pizza 14th?,Joe's Pizza 14th,1456333741,7,0
38,Excellent,3,38,How was Waldy's?,Waldy's,1458146033,10,0.3
38,Good,2,38,How was Waldy's?,Waldy's,1458146033,10,0.2
38,Average,4,38,How was Waldy's?,Waldy's,1458146033,10,0.4
38,Poor,1,38,How was Waldy's?,Waldy's,1458146033,10,0.1
38,Never Again,0,38,How was Waldy's?,Waldy's,1458146033,10,0
39,Excellent,4,39,How was Artichoke Basille's Pizza?,Artichoke Basille's Pizza,1459952149,10,0.4
39,Good,4,39,How was Artichoke Basille's Pizza?,Artichoke Basille's Pizza,1459952149,10,0.4
39,Average,1,39,How was Artichoke Basille's Pizza?,Artichoke Basille's Pizza,1459952149,10,0.1
39,Poor,1,39,How was Artichoke Basille's Pizza?,Artichoke Basille's Pizza,1459952149,10,0.1
39,Never Again,0,39,How was Artichoke Basille's Pizza?,Artichoke Basille's Pizza,1459952149,10,0
40,Excellent,3,40,How was Pizza Paradise?,Pizza Paradise,1466705511,8,0.375
40,Good,3,40,How was Pizza Paradise?,Pizza Paradise,1466705511,8,0.375
40,Average,2,40,How was Pizza Paradise?,Pizza Paradise,1466705511,8,0.25
40,Poor,0,40,How was Pizza Paradise?,Pizza Paradise,1466705511,8,0
40,Never Again,0,40,How was Pizza Paradise?,Pizza Paradise,1466705511,8,0
41,Excellent,2,41,How was Tappo?,Tappo,1468259119,2,1
41,Good,0,41,How was Tappo?,Tappo,1468259119,2,0
41,Average,0,41,How was Tappo?,Tappo,1468259119,2,0
41,Poor,0,41,How was Tappo?,Tappo,1468259119,2,0
41,Never Again,0,41,How was Tappo?,Tappo,1468259119,2,0
42,Excellent,2,42,How was Pizza Italia?,Pizza Italia,1471448317,18,0.1111
42,Good,6,42,How was Pizza Italia?,Pizza Italia,1471448317,18,0.3333
42,Average,7,42,How was Pizza Italia?,Pizza Italia,1471448317,18,0.3889
42,Poor,1,42,How was Pizza Italia?,Pizza Italia,1471448317,18,0.0556
42,Never Again,2,42,How was Pizza Italia?,Pizza Italia,1471448317,18,0.1111
43,Excellent,14,43,How was Fiore's?,Fiore's,1473779408,67,0.209
43,Good,26,43,How was Fiore's?,Fiore's,1473779408,67,0.3881
43,Average,23,43,How was Fiore's?,Fiore's,1473779408,67,0.3433
43,Poor,3,43,How was Fiore's?,Fiore's,1473779408,67,0.0448
43,Never Again,1,43,How was Fiore's?,Fiore's,1473779408,67,0.0149
44,Excellent,4,44,How was Rocky's?,Rocky's,1476384158,12,0.3333
44,Good,4,44,How was Rocky's?,Rocky's,1476384158,12,0.3333
44,Average,3,44,How was Rocky's?,Rocky's,1476384158,12,0.25
44,Poor,1,44,How was Rocky's?,Rocky's,1476384158,12,0.0833
44,Never Again,0,44,How was Rocky's?,Rocky's,1476384158,12,0
45,Excellent,5,45,How was NY Pizza Suprema?,NY Pizza Suprema,1478521198,22,0.2273
45,Good,9,45,How was NY Pizza Suprema?,NY Pizza Suprema,1478521198,22,0.4091
45,Average,6,45,How was NY Pizza Suprema?,NY Pizza Suprema,1478521198,22,0.2727
45,Poor,2,45,How was NY Pizza Suprema?,NY Pizza Suprema,1478521198,22,0.0909
45,Never Again,0,45,How was NY Pizza Suprema?,NY Pizza Suprema,1478521198,22,0
46,Excellent,1,46,How was Frank's Express Pizza?,Frank's Express Pizza,1481024668,7,0.1429
46,Good,2,46,How was Frank's Express Pizza?,Frank's Express Pizza,1481024668,7,0.2857
46,Average,0,46,How was Frank's Express Pizza?,Frank's Express Pizza,1481024668,7,0
46,Poor,3,46,How was Frank's Express Pizza?,Frank's Express Pizza,1481024668,7,0.4286
46,Never Again,1,46,How was Frank's Express Pizza?,Frank's Express Pizza,1481024668,7,0.1429
47,Excellent,5,47,How was Fiore's?,Fiore's,1485797350,15,0.3333
47,Good,8,47,How was Fiore's?,Fiore's,1485797350,15,0.5333
47,Average,1,47,How was Fiore's?,Fiore's,1485797350,15,0.0667
47,Poor,0,47,How was Fiore's?,Fiore's,1485797350,15,0
47,Never Again,1,47,How was Fiore's?,Fiore's,1485797350,15,0.0667
48,Excellent,5,48,How was Bella Napoli?,Bella Napoli,1487769619,30,0.1667
48,Good,8,48,How was Bella Napoli?,Bella Napoli,1487769619,30,0.2667
48,Average,16,48,How was Bella Napoli?,Bella Napoli,1487769619,30,0.5333
48,Poor,1,48,How was Bella Napoli?,Bella Napoli,1487769619,30,0.0333
48,Never Again,0,48,How was Bella Napoli?,Bella Napoli,1487769619,30,0
49,Excellent,5,49,How was Stella's Pizza?,Stella's Pizza,1490628505,15,0.3333
49,Good,3,49,How was Stella's Pizza?,Stella's Pizza,1490628505,15,0.2
49,Average,7,49,How was Stella's Pizza?,Stella's Pizza,1490628505,15,0.4667
49,Poor,0,49,How was Stella's Pizza?,Stella's Pizza,1490628505,15,0
49,Never Again,0,49,How was Stella's Pizza?,Stella's Pizza,1490628505,15,0
50,Excellent,1,50,How was Pizza Mercato?,Pizza Mercato,1492537855,13,0.0769
50,Good,6,50,How was Pizza Mercato?,Pizza Mercato,1492537855,13,0.4615
50,Average,5,50,How was Pizza Mercato?,Pizza Mercato,1492537855,13,0.3846
50,Poor,1,50,How was Pizza Mercato?,Pizza Mercato,1492537855,13,0.0769
50,Never Again,0,50,How was Pizza Mercato?,Pizza Mercato,1492537855,13,0
51,Excellent,8,51,How was Fiore's?,Fiore's,1492864528,15,0.5333
51,Good,4,51,How was Fiore's?,Fiore's,1492864528,15,0.2667
51,Average,2,51,How was Fiore's?,Fiore's,1492864528,15,0.1333
51,Poor,1,51,How was Fiore's?,Fiore's,1492864528,15,0.0667
51,Never Again,0,51,How was Fiore's?,Fiore's,1492864528,15,0
52,Excellent,5,52,How was NY Pizza Suprema?,NY Pizza Suprema,1494863985,45,0.1111
52,Good,14,52,How was NY Pizza Suprema?,NY Pizza Suprema,1494863985,45,0.3111
52,Average,23,52,How was NY Pizza Suprema?,NY Pizza Suprema,1494863985,45,0.5111
52,Poor,3,52,How was NY Pizza Suprema?,NY Pizza Suprema,1494863985,45,0.0667
52,Never Again,0,52,How was NY Pizza Suprema?,NY Pizza Suprema,1494863985,45,0
53,Excellent,0,53,How was Joe's 14th?,Joe's 14th,1498483981,4,0
53,Good,3,53,How was Joe's 14th?,Joe's 14th,1498483981,4,0.75
53,Average,1,53,How was Joe's 14th?,Joe's 14th,1498483981,4,0.25
53,Poor,0,53,How was Joe's 14th?,Joe's 14th,1498483981,4,0
53,Never Again,0,53,How was Joe's 14th?,Joe's 14th,1498483981,4,0
54,Excellent,2,54,How was Prince Street Pizza?,Prince Street Pizza,1501180539,7,0.2857
54,Good,2,54,How was Prince Street Pizza?,Prince Street Pizza,1501180539,7,0.2857
54,Average,0,54,How was Prince Street Pizza?,Prince Street Pizza,1501180539,7,0
54,Poor,2,54,How was Prince Street Pizza?,Prince Street Pizza,1501180539,7,0.2857
54,Never Again,1,54,How was Prince Street Pizza?,Prince Street Pizza,1501180539,7,0.1429
55,Excellent,1,55,How was Prince Street Pizza?,Prince Street Pizza,1504030035,30,0.0333
55,Good,11,55,How was Prince Street Pizza?,Prince Street Pizza,1504030035,30,0.3667
55,Average,10,55,How was Prince Street Pizza?,Prince Street Pizza,1504030035,30,0.3333
55,Poor,7,55,How was Prince Street Pizza?,Prince Street Pizza,1504030035,30,0.2333
55,Never Again,1,55,How was Prince Street Pizza?,Prince Street Pizza,1504030035,30,0.0333
56,Excellent,5,56,How was Rivoli Pizza?,Rivoli Pizza,1506623416,34,0.1471
56,Good,11,56,How was Rivoli Pizza?,Rivoli Pizza,1506623416,34,0.3235
56,Average,15,56,How was Rivoli Pizza?,Rivoli Pizza,1506623416,34,0.4412
56,Poor,3,56,How was Rivoli Pizza?,Rivoli Pizza,1506623416,34,0.0882
56,Never Again,0,56,How was Rivoli Pizza?,Rivoli Pizza,1506623416,34,0
57,Excellent,1,57,How was 5 Boroughs Pizza?,5 Boroughs Pizza,1513264990,3,0.3333
57,Good,0,57,How was 5 Boroughs Pizza?,5 Boroughs Pizza,1513264990,3,0
57,Average,2,57,How was 5 Boroughs Pizza?,5 Boroughs Pizza,1513264990,3,0.6667
57,Poor,0,57,How was 5 Boroughs Pizza?,5 Boroughs Pizza,1513264990,3,0
57,Never Again,0,57,How was 5 Boroughs Pizza?,5 Boroughs Pizza,1513264990,3,0
58,Excellent,1,58,How was Big Slice Pizza?,Big Slice Pizza,1516811929,15,0.0667
58,Good,6,58,How was Big Slice Pizza?,Big Slice Pizza,1516811929,15,0.4
58,Average,5,58,How was Big Slice Pizza?,Big Slice Pizza,1516811929,15,0.3333
58,Poor,3,58,How was Big Slice Pizza?,Big Slice Pizza,1516811929,15,0.2
58,Never Again,0,58,How was Big Slice Pizza?,Big Slice Pizza,1516811929,15,0
59,Excellent,0,59,How was John's of Bleecker?,John's of Bleecker,1518719098,2,0
59,Good,0,59,How was John's of Bleecker?,John's of Bleecker,1518719098,2,0
59,Average,2,59,How was John's of Bleecker?,John's of Bleecker,1518719098,2,1
59,Poor,0,59,How was John's of Bleecker?,John's of Bleecker,1518719098,2,0
59,Never Again,0,59,How was John's of Bleecker?,John's of Bleecker,1518719098,2,0
60,Excellent,12,60,How was Little Italy Pizza?,Little Italy Pizza,1520532907,21,0.5714
60,Good,4,60,How was Little Italy Pizza?,Little Italy Pizza,1520532907,21,0.1905
60,Average,4,60,How was Little Italy Pizza?,Little Italy Pizza,1520532907,21,0.1905
60,Poor,1,60,How was Little Italy Pizza?,Little Italy Pizza,1520532907,21,0.0476
60,Never Again,0,60,How was Little Italy Pizza?,Little Italy Pizza,1520532907,21,0
61,Excellent,2,61,How was Dough Boys?,Dough Boys,1523891285,13,0.1538
61,Good,4,61,How was Dough Boys?,Dough Boys,1523891285,13,0.3077
61,Average,7,61,How was Dough Boys?,Dough Boys,1523891285,13,0.5385
61,Poor,0,61,How was Dough Boys?,Dough Boys,1523891285,13,0
61,Never Again,0,61,How was Dough Boys?,Dough Boys,1523891285,13,0
62,Excellent,2,62,How was Highline Pizza?,Highline Pizza,1525887123,28,0.0714
62,Good,7,62,How was Highline Pizza?,Highline Pizza,1525887123,28,0.25
62,Average,10,62,How was Highline Pizza?,Highline Pizza,1525887123,28,0.3571
62,Poor,4,62,How was Highline Pizza?,Highline Pizza,1525887123,28,0.1429
62,Never Again,5,62,How was Highline Pizza?,Highline Pizza,1525887123,28,0.1786
63,Excellent,6,63,How was Gotham Pizza?,Gotham Pizza,1529601987,17,0.3529
63,Good,5,63,How was Gotham Pizza?,Gotham Pizza,1529601987,17,0.2941
63,Average,3,63,How was Gotham Pizza?,Gotham Pizza,1529601987,17,0.1765
63,Poor,3,63,How was Gotham Pizza?,Gotham Pizza,1529601987,17,0.1765
63,Never Again,0,63,How was Gotham Pizza?,Gotham Pizza,1529601987,17,0
64,Excellent,3,64,How was Rocky's?,Rocky's,1531225461,17,0.1765
64,Good,11,64,How was Rocky's?,Rocky's,1531225461,17,0.6471
64,Average,3,64,How was Rocky's?,Rocky's,1531225461,17,0.1765
64,Poor,0,64,How was Rocky's?,Rocky's,1531225461,17,0
64,Never Again,0,64,How was Rocky's?,Rocky's,1531225461,17,0
65,Excellent,2,65,How was Cavallo's Pizza?,Cavallo's Pizza,1533211705,11,0.1818
65,Good,5,65,How was Cavallo's Pizza?,Cavallo's Pizza,1533211705,11,0.4545
65,Average,3,65,How was Cavallo's Pizza?,Cavallo's Pizza,1533211705,11,0.2727
65,Poor,1,65,How was Cavallo's Pizza?,Cavallo's Pizza,1533211705,11,0.0909
65,Never Again,0,65,How was Cavallo's Pizza?,Cavallo's Pizza,1533211705,11,0
66,Excellent,2,66,How was Prince Street Pizza?,Prince Street Pizza,1537192916,20,0.1
66,Good,4,66,How was Prince Street Pizza?,Prince Street Pizza,1537192916,20,0.2
66,Average,9,66,How was Prince Street Pizza?,Prince Street Pizza,1537192916,20,0.45
66,Poor,2,66,How was Prince Street Pizza?,Prince Street Pizza,1537192916,20,0.1
66,Never Again,3,66,How was Prince Street Pizza?,Prince Street Pizza,1537192916,20,0.15
67,Excellent,4,67,How was Saluggi's?,Saluggi's,1538679855,18,0.2222
67,Good,9,67,How was Saluggi's?,Saluggi's,1538679855,18,0.5
67,Average,4,67,How was Saluggi's?,Saluggi's,1538679855,18,0.2222
67,Poor,1,67,How was Saluggi's?,Saluggi's,1538679855,18,0.0556
67,Never Again,0,67,How was Saluggi's?,Saluggi's,1538679855,18,0
68,Excellent,1,68,How was Pizza Paradise?,Pizza Paradise,1543332908,9,0.1111
68,Good,3,68,How was Pizza Paradise?,Pizza Paradise,1543332908,9,0.3333
68,Average,5,68,How was Pizza Paradise?,Pizza Paradise,1543332908,9,0.5556
68,Poor,0,68,How was Pizza Paradise?,Pizza Paradise,1543332908,9,0
68,Never Again,0,68,How was Pizza Paradise?,Pizza Paradise,1543332908,9,0
69,Excellent,3,69,How was Pomodoro?,Pomodoro,1545072605,16,0.1875
69,Good,4,69,How was Pomodoro?,Pomodoro,1545072605,16,0.25
69,Average,8,69,How was Pomodoro?,Pomodoro,1545072605,16,0.5
69,Poor,0,69,How was Pomodoro?,Pomodoro,1545072605,16,0
69,Never Again,1,69,How was Pomodoro?,Pomodoro,1545072605,16,0.0625
70,Excellent,9,70,How was Fiore's?,Fiore's,1548683027,20,0.45
70,Good,9,70,How was Fiore's?,Fiore's,1548683027,20,0.45
