measure,client,date,p10,p25,p50,p75,p90,timestamp
bytesTotal,mobile,2018_03_01,249.57,688.9,1532.33,3027.63,5635.25,1519862400000
bytesTotal,desktop,2018_02_15,304.41,795.98,1698.96,3277.47,6187.4,1518652800000
bytesTotal,mobile,2018_02_15,252.11,684.89,1524.08,3016.6,5622.89,1518652800000
bytesTotal,desktop,2018_02_01,323.25,845.09,1786.04,3389.35,6314.31,1517443200000
bytesTotal,mobile,2018_02_01,264.11,711.14,1574.98,3080.07,5679.28,1517443200000
bytesTotal,desktop,2018_01_15,323.53,840.68,1776.16,3362.77,6242.28,1515974400000
bytesTotal,mobile,2018_01_15,265.66,712.55,1574.18,3069.21,5670.99,1515974400000
bytesTotal,desktop,2018_01_01,323.79,835.32,1772.32,3380.42,6284.47,1514764800000
bytesTotal,mobile,2018_01_01,267.72,707.65,1569.25,3074.36,5671.49,1514764800000
bytesTotal,desktop,2017_12_15,324.82,842.43,1794.79,3440.88,6423.91,1513296000000
bytesTotal,mobile,2017_12_15,268.92,716.06,1587.9,3120.64,5763.39,1513296000000
bytesTotal,desktop,2017_12_01,307.89,789.52,1695.34,3293.15,6217.5,1512086400000
bytesTotal,mobile,2017_12_01,259.04,684.94,1523.77,3032.16,5655.33,1512086400000
bytesTotal,desktop,2017_11_15,309.63,789.29,1681.71,3263.44,6193.08,1510704000000
bytesTotal,mobile,2017_11_15,258.17,684.33,1514.61,3011.36,5622.2,1510704000000
bytesTotal,desktop,2017_11_01,312.13,788.83,1676.18,3255.72,6163.93,1509494400000
bytesTotal,mobile,2017_11_01,257.87,681.11,1508.37,2994.19,5559.11,1509494400000
bytesTotal,desktop,2017_10_15,308.05,776.43,1654.73,3219.36,6127.05,1508025600000
bytesTotal,mobile,2017_10_15,257.78,677.8,1496.25,2972.24,5540.5,1508025600000
bytesTotal,desktop,2017_10_01,311.6,785.94,1665.71,3227.81,6142.08,1506816000000
bytesTotal,mobile,2017_10_01,259.58,678.12,1495.64,2962.48,5507.55,1506816000000
bytesTotal,desktop,2017_09_15,310.8,782.4,1661.73,3224.99,6134.88,1505433600000
bytesTotal,mobile,2017_09_15,260.48,681.73,1498.96,2966.09,5499.7,1505433600000
bytesTotal,desktop,2017_09_01,310.07,778.54,1655.23,3215.76,6104.42,1504224000000
bytesTotal,mobile,2017_09_01,260.5,680.37,1491.08,2951.04,5479.5,1504224000000
bytesTotal,desktop,2017_08_15,307.02,776.42,1652.01,3209.21,6061.76,1502755200000
bytesTotal,mobile,2017_08_15,258.89,677.77,1485.33,2940.48,5444.14,1502755200000
bytesTotal,desktop,2017_08_01,299.57,765.86,1639.31,3179.24,5999.59,1501545600000
bytesTotal,mobile,2017_08_01,257.29,670.5,1475.2,2919.51,5420.9,1501545600000
bytesTotal,desktop,2017_07_15,232.78,631.54,1420.78,2904.71,5664.19,1500076800000
bytesTotal,mobile,2017_07_15,195.32,544.96,1269.95,2657.05,5110.52,1500076800000
bytesTotal,desktop,2017_07_01,231.71,626.79,1412.09,2885.14,5602.66,1498867200000
bytesTotal,mobile,2017_07_01,191.23,535.39,1255.59,2631.18,5058.55,1498867200000
bytesTotal,desktop,2017_06_15,223.77,612.48,1392.2,2855.98,5522.75,1497484800000
bytesTotal,mobile,2017_06_15,184.57,526.96,1242.01,2601.42,4983.96,1497484800000
bytesTotal,desktop,2017_06_01,219.84,606.22,1382.17,2832.64,5467.05,1496275200000
bytesTotal,mobile,2017_06_01,181.73,520.09,1229.47,2580.82,4940.38,1496275200000
bytesTotal,desktop,2017_05_15,219.7,606.43,1376.24,2803.62,5426.97,1494806400000
bytesTotal,mobile,2017_05_15,182.41,518.36,1223.7,2564.86,4898.79,1494806400000
bytesTotal,desktop,2017_05_01,209.03,595.49,1354.85,2773.48,5374.52,1493596800000
bytesTotal,mobile,2017_05_01,174.14,506.75,1204.81,2528.6,4869.95,1493596800000
bytesTotal,desktop,2017_04_15,263.63,723.43,1561.97,3032.52,5611.71,1492214400000
bytesTotal,mobile,2017_04_15,224.43,614.01,1387.77,2774.22,5150.24,1492214400000
bytesTotal,desktop,2017_04_01,268.78,725.81,1559.91,3025.59,5587.7,1491004800000
bytesTotal,mobile,2017_04_01,228.29,612.7,1381.18,2760.7,5120.82,1491004800000
bytesTotal,desktop,2017_03_15,267.24,727.45,1559.24,3006.74,5529.08,1489536000000
bytesTotal,mobile,2017_03_15,226.48,609.98,1372.66,2738.08,5059.47,1489536000000
bytesTotal,desktop,2017_03_01,244.93,705.82,1532.34,2971.55,5470.22,1488326400000
bytesTotal,mobile,2017_03_01,213.86,597.21,1354.59,2708.1,5011.39,1488326400000
bytesTotal,desktop,2017_02_15,175.6,653.84,1485.31,2912.32,5386.85,1487116800000
bytesTotal,mobile,2017_02_15,177.42,566.49,1322.39,2673.53,4978.93,1487116800000
bytesTotal,desktop,2017_02_01,173.26,651.64,1479.59,2896.89,5347.14,1485907200000
bytesTotal,mobile,2017_02_01,195.71,581.44,1334.25,2675.46,4969.86,1485907200000
bytesTotal,mobile,2017_01_15,171.71,558.65,1306.67,2638.45,4890.12,1484438400000
bytesTotal,mobile,2017_01_01,179.84,557.82,1301.6,2623.33,4868.64,1483228800000
bytesTotal,desktop,2016_12_15,139.86,636.7,1502.25,2956.46,5429.32,1481760000000
bytesTotal,mobile,2016_12_15,180.15,564.14,1323.26,2667.59,4935.83,1481760000000
bytesTotal,desktop,2016_11_15,171.48,659.13,1509.44,2961.59,5425.97,1479168000000
bytesTotal,mobile,2016_11_15,208.65,590.96,1348.35,2695.27,4961.86,1479168000000
bytesTotal,desktop,2016_11_01,155.49,649.97,1505.8,2975.06,5475.21,1477958400000
bytesTotal,mobile,2016_11_01,203.66,585.54,1344.51,2693.05,4989.74,1477958400000
bytesTotal,desktop,2016_10_15,153.36,652.37,1515.36,3016.89,5624.75,1476489600000
bytesTotal,mobile,2016_10_15,199.54,577.07,1327.18,2656.09,4891.58,1476489600000
bytesTotal,desktop,2016_10_01,166.53,660.72,1524.4,3054.57,5825.67,1475280000000
bytesTotal,mobile,2016_10_01,204.38,580.11,1322.71,2651.01,4890.85,1475280000000
bytesTotal,desktop,2016_09_15,154.84,646.79,1490.76,2957.48,5514.79,1473897600000
bytesTotal,mobile,2016_09_15,182.05,499.2,1220.58,2496.24,4613.29,1473897600000
bytesTotal,desktop,2016_09_01,168.51,657.58,1494.96,2940.89,5426.4,1472688000000
bytesTotal,mobile,2016_09_01,186.05,501.55,1215.27,2482.47,4585.81,1472688000000
bytesTotal,desktop,2016_08_15,179.86,663.09,1493.07,2922.58,5361.77,1471219200000
bytesTotal,mobile,2016_08_15,188.89,504.19,1209.68,2469.55,4563.8,1471219200000
bytesTotal,desktop,2016_08_01,183.53,666.6,1493.38,2914.58,5322.73,1470009600000
bytesTotal,mobile,2016_08_01,188.0,504.54,1209.12,2454.18,4507.31,1470009600000
bytesTotal,desktop,2016_07_15,172.07,664.76,1478.34,2873.32,5272.29,1468540800000
bytesTotal,mobile,2016_07_15,152.32,502.73,1206.95,2444.88,4490.34,1468540800000
bytesTotal,desktop,2016_07_01,173.93,659.01,1467.02,2861.67,5300.6,1467331200000
bytesTotal,mobile,2016_07_01,173.77,528.25,1202.4,2351.79,4274.21,1467331200000
bytesTotal,desktop,2016_06_15,149.76,635.04,1451.09,2869.67,5405.07,1465948800000
bytesTotal,mobile,2016_06_15,218.74,526.07,1144.54,2163.65,3802.62,1465948800000
bytesTotal,desktop,2016_06_01,165.27,650.56,1463.67,2898.17,5529.01,1464739200000
bytesTotal,mobile,2016_06_01,227.88,532.16,1141.39,2238.56,3923.45,1464739200000
bytesTotal,desktop,2016_05_15,165.34,650.93,1469.6,2913.76,5497.28,1463270400000
bytesTotal,mobile,2016_05_15,214.1,520.53,1146.79,2201.64,3765.82,1463270400000
bytesTotal,desktop,2016_05_01,269.33,710.52,1480.13,2796.23,4924.16,1462060800000
bytesTotal,mobile,2016_05_01,189.62,437.77,942.65,1765.69,2900.77,1462060800000
bytesTotal,desktop,2016_04_15,258.6,696.45,1469.33,2771.74,4862.31,1460678400000
bytesTotal,mobile,2016_04_15,180.09,432.47,940.08,1769.71,2912.36,1460678400000
bytesTotal,desktop,2016_04_01,267.11,707.82,1479.03,2782.47,4873.39,1459468800000
bytesTotal,mobile,2016_04_01,191.4,431.12,955.84,1756.45,2826.95,1459468800000
bytesTotal,desktop,2016_03_15,266.98,713.31,1481.34,2776.7,4858.35,1458000000000
bytesTotal,desktop,2016_03_01,270.87,712.54,1477.72,2757.41,4805.59,1456790400000
bytesTotal,mobile,2016_03_01,187.01,434.78,960.32,1735.26,2835.25,1456790400000
bytesTotal,desktop,2016_02_15,271.22,709.32,1465.94,2735.54,4763.59,1455494400000
bytesTotal,mobile,2016_02_15,188.69,428.36,940.87,1718.01,2834.0,1455494400000
bytesTotal,desktop,2016_02_01,269.72,701.19,1453.6,2714.9,4736.36,1454284800000
bytesTotal,mobile,2016_02_01,187.43,431.27,940.53,1723.68,2787.44,1454284800000
bytesTotal,desktop,2016_01_15,267.22,699.06,1441.55,2685.42,4676.32,1452816000000
bytesTotal,mobile,2016_01_15,180.61,421.61,910.21,1684.06,2793.77,1452816000000
bytesTotal,desktop,2016_01_01,267.84,705.62,1448.61,2695.44,4698.45,1451606400000
bytesTotal,mobile,2016_01_01,184.53,438.88,905.3,1688.9,2779.19,1451606400000
bytesTotal,desktop,2015_12_15,267.27,708.3,1466.43,2743.47,4799.4,1450137600000
bytesTotal,mobile,2015_12_15,183.36,419.57,921.39,1706.47,2792.49,1450137600000
bytesTotal,desktop,2015_12_01,261.22,695.65,1440.46,2691.68,4692.62,1448928000000
bytesTotal,mobile,2015_12_01,175.07,406.6,893.44,1671.21,2724.09,1448928000000
bytesTotal,desktop,2015_11_15,262.2,693.45,1432.46,2682.66,4705.06,1447545600000
bytesTotal,mobile,2015_11_15,175.05,403.46,887.42,1672.23,2719.68,1447545600000
bytesTotal,desktop,2015_11_01,263.36,687.96,1416.22,2637.93,4618.9,1446336000000
bytesTotal,mobile,2015_11_01,176.21,393.41,880.14,1641.11,2649.7,1446336000000
bytesTotal,desktop,2015_10_15,262.06,685.94,1410.42,2625.17,4596.44,1444867200000
bytesTotal,mobile,2015_10_15,170.38,392.79,879.15,1627.62,2675.01,1444867200000
bytesTotal,desktop,2015_10_01,213.9,594.75,1273.48,2379.13,4134.09,1443657600000
bytesTotal,mobile,2015_10_01,170.5,389.99,869.57,1640.95,2689.83,1443657600000
bytesTotal,desktop,2015_09_15,258.31,679.18,1399.83,2628.16,4590.85,1442275200000
bytesTotal,mobile,2015_09_15,162.75,384.51,864.83,1615.03,2679.92,1442275200000
bytesTotal,desktop,2015_09_01,254.93,671.56,1393.04,2629.82,4576.67,1441065600000
bytesTotal,mobile,2015_09_01,164.55,394.79,852.81,1596.93,2661.37,1441065600000
bytesTotal,desktop,2015_08_15,259.95,678.08,1398.49,2620.63,4587.73,1439596800000
bytesTotal,mobile,2015_08_15,167.5,382.18,857.69,1592.24,2648.16,1439596800000
bytesTotal,desktop,2015_08_01,256.46,673.25,1389.61,2621.78,4656.91,1438387200000
bytesTotal,mobile,2015_08_01,165.72,377.15,856.79,1590.7,2564.05,1438387200000
bytesTotal,desktop,2015_07_15,252.42,668.51,1386.0,2622.85,4642.71,1436918400000
bytesTotal,mobile,2015_07_15,160.78,375.62,845.03,1586.0,2579.47,1436918400000
bytesTotal,desktop,2015_07_01,249.28,656.39,1363.31,2581.64,4573.18,1435708800000
bytesTotal,mobile,2015_07_01,161.61,370.06,846.0,1566.62,2629.34,1435708800000
bytesTotal,desktop,2015_06_15,244.87,649.07,1349.27,2565.5,4604.92,1434326400000
bytesTotal,mobile,2015_06_15,153.47,364.34,817.89,1536.69,2562.93,1434326400000
bytesTotal,desktop,2015_06_01,243.58,644.67,1333.6,2529.29,4475.48,1433116800000
bytesTotal,mobile,2015_06_01,155.88,371.43,816.32,1527.9,2559.16,1433116800000
bytesTotal,desktop,2015_05_15,243.02,639.17,1328.32,2518.75,4511.14,1431648000000
bytesTotal,mobile,2015_05_15,155.15,359.42,805.96,1527.84,2476.26,1431648000000
bytesTotal,desktop,2015_05_01,239.61,632.63,1312.15,2469.12,4396.44,1430438400000
bytesTotal,mobile,2015_05_01,150.75,349.34,806.92,1524.04,2508.06,1430438400000
bytesTotal,desktop,2015_04_15,237.62,628.4,1308.0,2464.78,4400.49,1429056000000
bytesTotal,mobile,2015_04_15,145.54,355.86,811.68,1539.08,2592.33,1429056000000
bytesTotal,desktop,2015_04_01,222.0,594.33,1249.39,2347.42,4153.13,1427846400000
bytesTotal,mobile,2015_04_01,147.64,361.94,813.38,1535.78,2548.71,1427846400000
bytesTotal,desktop,2015_03_15,221.69,596.07,1246.5,2351.58,4198.91,1426377600000
bytesTotal,mobile,2015_03_15,149.94,367.27,806.55,1523.4,2512.48,1426377600000
bytesTotal,desktop,2015_03_01,234.94,616.13,1276.7,2397.22,4301.12,1425168000000
bytesTotal,mobile,2015_03_01,150.03,364.54,818.15,1528.06,2579.71,1425168000000
bytesTotal,desktop,2015_02_15,234.38,613.23,1272.43,2392.87,4277.11,1423958400000
bytesTotal,mobile,2015_02_15,145.46,351.25,791.34,1497.32,2523.56,1423958400000
bytesTotal,desktop,2015_02_01,232.27,608.86,1259.55,2357.47,4188.44,1422748800000
bytesTotal,mobile,2015_02_01,143.88,342.96,768.39,1461.63,2460.48,1422748800000
bytesTotal,desktop,2015_01_15,227.57,592.76,1239.43,2317.02,4097.55,1421280000000
bytesTotal,mobile,2015_01_15,144.16,340.7,765.12,1458.29,2510.89,1421280000000
bytesTotal,desktop,2015_01_01,225.49,588.11,1233.54,2307.29,4066.85,1420070400000
bytesTotal,mobile,2015_01_01,136.98,347.06,750.24,1460.85,2460.48,1420070400000
bytesTotal,desktop,2014_12_15,225.87,593.77,1249.36,2343.16,4145.3,1418601600000
bytesTotal,mobile,2014_12_15,132.63,329.72,753.79,1457.53,2494.15,1418601600000
bytesTotal,desktop,2014_12_01,222.52,586.44,1232.8,2322.95,4130.06,1417392000000
bytesTotal,mobile,2014_12_01,129.89,318.31,736.14,1427.37,2464.84,1417392000000
bytesTotal,desktop,2014_11_15,226.98,586.41,1228.89,2295.11,4007.71,1416009600000
bytesTotal,mobile,2014_11_15,132.51,311.79,718.78,1419.87,2427.63,1416009600000
bytesTotal,desktop,2014_11_01,230.68,589.7,1229.32,2303.35,4051.08,1414800000000
bytesTotal,mobile,2014_11_01,138.89,317.29,728.49,1424.23,2417.33,1414800000000
bytesTotal,desktop,2014_10_15,230.03,585.74,1225.54,2303.78,4106.68,1413331200000
bytesTotal,mobile,2014_10_15,129.42,294.13,685.59,1362.47,2359.29,1413331200000
bytesTotal,desktop,2014_10_01,227.32,577.11,1209.47,2265.3,3986.49,1412121600000
bytesTotal,mobile,2014_10_01,130.6,291.21,673.32,1360.81,2309.21,1412121600000
bytesTotal,desktop,2014_09_15,225.93,574.78,1204.57,2258.31,3970.59,1410739200000
bytesTotal,mobile,2014_09_15,126.24,279.73,644.72,1317.73,2260.52,1410739200000
bytesTotal,desktop,2014_09_01,224.36,569.67,1192.04,2236.51,3918.78,1409529600000
bytesTotal,mobile,2014_09_01,126.64,285.51,667.88,1325.08,2324.91,1409529600000
bytesTotal,desktop,2014_08_15,225.86,571.82,1189.08,2223.08,3906.02,1408060800000
bytesTotal,mobile,2014_08_15,126.02,284.31,644.8,1299.75,2237.77,1408060800000
bytesTotal,desktop,2014_08_01,224.25,572.18,1188.93,2209.9,3854.07,1406851200000
bytesTotal,mobile,2014_08_01,134.44,286.03,643.43,1298.08,2279.14,1406851200000
bytesTotal,desktop,2014_07_15,218.82,570.0,1184.51,2207.28,3865.11,1405382400000
