measure,client,date,p10,p25,p50,p75,p90,timestamp
speedIndex,mobile,2018_04_01,4.09,5.97,8.73,12.94,19.27,1522540800000
speedIndex,desktop,2018_03_15,1.36,2.19,3.53,5.59,8.62,1521072000000
speedIndex,mobile,2018_03_15,4.02,5.89,8.61,12.81,19.08,1521072000000
speedIndex,desktop,2018_03_01,1.38,2.21,3.56,5.62,8.65,1519862400000
speedIndex,mobile,2018_03_01,4.0,5.85,8.56,12.72,18.98,1519862400000
speedIndex,desktop,2018_02_15,1.3,2.12,3.48,5.58,8.74,1518652800000
speedIndex,mobile,2018_02_15,3.81,5.57,8.16,12.27,18.38,1518652800000
speedIndex,desktop,2018_02_01,1.41,2.29,3.73,5.96,9.23,1517443200000
speedIndex,mobile,2018_02_01,3.77,5.51,8.12,12.21,18.42,1517443200000
speedIndex,desktop,2018_01_15,1.37,2.23,3.65,5.85,9.13,1515974400000
speedIndex,mobile,2018_01_15,3.75,5.49,8.11,12.28,18.63,1515974400000
speedIndex,desktop,2018_01_01,1.33,2.19,3.58,5.76,8.99,1514764800000
speedIndex,mobile,2018_01_01,3.71,5.42,8.01,12.12,18.36,1514764800000
speedIndex,desktop,2017_12_15,1.32,2.21,3.63,5.85,9.11,1513296000000
speedIndex,mobile,2017_12_15,3.74,5.48,8.11,12.26,18.53,1513296000000
speedIndex,desktop,2017_12_01,1.3,2.2,3.67,6.01,9.65,1512086400000
speedIndex,mobile,2017_12_01,3.74,5.5,8.15,12.39,18.95,1512086400000
speedIndex,desktop,2017_11_15,1.32,2.22,3.66,5.88,9.16,1510704000000
speedIndex,mobile,2017_11_15,3.7,5.42,8.0,12.0,18.09,1510704000000
speedIndex,desktop,2017_11_01,1.33,2.23,3.67,5.88,9.12,1509494400000
speedIndex,mobile,2017_11_01,3.69,5.41,7.97,11.95,18.02,1509494400000
speedIndex,desktop,2017_10_15,1.28,2.15,3.55,5.72,8.93,1508025600000
speedIndex,mobile,2017_10_15,3.74,5.46,8.02,12.01,18.11,1508025600000
speedIndex,desktop,2017_10_01,1.37,2.25,3.65,5.83,9.07,1506816000000
speedIndex,mobile,2017_10_01,3.62,5.29,7.75,11.53,17.38,1506816000000
speedIndex,desktop,2017_09_15,1.36,2.24,3.63,5.8,9.05,1505433600000
speedIndex,mobile,2017_09_15,3.61,5.28,7.74,11.57,17.47,1505433600000
speedIndex,desktop,2017_09_01,1.45,2.33,3.69,5.83,9.02,1504224000000
speedIndex,mobile,2017_09_01,3.73,5.44,7.89,11.7,17.53,1504224000000
speedIndex,desktop,2017_08_15,1.48,2.37,3.76,5.95,9.26,1502755200000
speedIndex,mobile,2017_08_15,3.78,5.5,7.97,11.87,17.84,1502755200000
speedIndex,desktop,2017_08_01,1.48,2.38,3.77,5.98,9.31,1501545600000
speedIndex,mobile,2017_08_01,3.78,5.49,7.98,11.88,17.87,1501545600000
speedIndex,desktop,2017_07_15,1.47,2.35,3.72,5.91,9.19,1500076800000
speedIndex,mobile,2017_07_15,3.75,5.46,7.93,11.83,17.78,1500076800000
speedIndex,desktop,2017_07_01,1.39,2.2,3.46,5.43,8.38,1498867200000
speedIndex,mobile,2017_07_01,3.73,5.41,7.81,11.52,17.08,1498867200000
speedIndex,desktop,2017_06_15,1.36,2.15,3.37,5.28,8.13,1497484800000
speedIndex,mobile,2017_06_15,3.76,5.41,7.75,11.27,16.27,1497484800000
speedIndex,desktop,2017_06_01,1.32,2.11,3.32,5.21,7.99,1496275200000
speedIndex,mobile,2017_06_01,3.72,5.36,7.7,11.2,16.1,1496275200000
speedIndex,desktop,2017_05_15,1.21,1.96,3.18,5.07,7.88,1494806400000
speedIndex,mobile,2017_05_15,3.58,5.14,7.48,10.99,15.94,1494806400000
speedIndex,desktop,2017_05_01,1.18,1.96,3.17,5.07,7.9,1493596800000
speedIndex,mobile,2017_05_01,3.28,4.72,6.95,10.3,15.09,1493596800000
speedIndex,desktop,2017_04_15,2.18,3.89,6.09,8.88,12.38,1492214400000
speedIndex,mobile,2017_04_15,3.04,5.09,7.72,11.51,17.01,1492214400000
speedIndex,desktop,2017_04_01,2.16,3.8,5.88,8.6,12.07,1491004800000
speedIndex,mobile,2017_04_01,3.19,5.2,7.8,11.56,17.11,1491004800000
speedIndex,desktop,2017_03_15,2.06,3.61,5.52,8.1,11.59,1489536000000
speedIndex,mobile,2017_03_15,2.84,4.82,7.43,11.16,16.66,1489536000000
speedIndex,desktop,2017_03_01,1.9,3.57,5.49,8.06,11.49,1488326400000
speedIndex,mobile,2017_03_01,2.66,4.66,7.28,10.98,16.36,1488326400000
speedIndex,desktop,2017_02_15,1.5,3.48,5.5,8.07,11.45,1487116800000
speedIndex,mobile,2017_02_15,2.35,4.49,7.08,10.74,16.03,1487116800000
speedIndex,desktop,2017_02_01,1.4,3.38,5.32,7.83,11.12,1485907200000
speedIndex,mobile,2017_02_01,2.54,4.61,7.17,10.8,16.13,1485907200000
speedIndex,desktop,2017_01_15,1.43,3.4,5.37,7.95,11.3,1484438400000
speedIndex,mobile,2017_01_15,2.2,4.25,6.77,10.39,15.65,1484438400000
speedIndex,desktop,2017_01_01,1.49,3.53,5.57,8.19,11.62,1483228800000
speedIndex,mobile,2017_01_01,2.54,4.61,7.14,10.82,16.13,1483228800000
speedIndex,desktop,2016_12_15,1.49,3.51,5.57,8.2,11.64,1481760000000
speedIndex,mobile,2016_12_15,2.41,4.48,7.04,10.74,16.13,1481760000000
speedIndex,desktop,2016_12_01,1.31,3.47,5.54,8.22,11.7,1480550400000
speedIndex,mobile,2016_12_01,2.36,4.48,7.05,10.76,16.12,1480550400000
speedIndex,desktop,2016_11_15,1.79,3.83,5.99,8.81,12.51,1479168000000
speedIndex,mobile,2016_11_15,3.48,5.35,7.87,11.56,16.98,1479168000000
speedIndex,desktop,2016_11_01,3.05,4.74,6.95,10.02,14.07,1477958400000
speedIndex,mobile,2016_11_01,3.92,5.67,8.21,12.02,17.58,1477958400000
speedIndex,desktop,2016_10_15,2.69,4.48,6.64,9.57,13.57,1476489600000
speedIndex,mobile,2016_10_15,3.97,5.73,8.25,11.99,17.39,1476489600000
speedIndex,desktop,2016_10_01,2.0,3.83,5.86,8.51,12.04,1475280000000
speedIndex,mobile,2016_10_01,3.75,5.53,8.01,11.65,16.94,1475280000000
speedIndex,desktop,2016_09_15,1.73,3.6,5.62,8.34,11.98,1473897600000
speedIndex,mobile,2016_09_15,3.52,5.28,7.68,11.15,16.19,1473897600000
speedIndex,desktop,2016_09_01,1.86,3.62,5.63,8.41,12.09,1472688000000
speedIndex,mobile,2016_09_01,3.6,5.3,7.67,11.1,16.04,1472688000000
speedIndex,desktop,2016_08_15,2.0,3.69,5.7,8.5,12.2,1471219200000
speedIndex,mobile,2016_08_15,3.7,5.35,7.69,11.13,16.15,1471219200000
speedIndex,desktop,2016_08_01,2.06,3.7,5.69,8.46,12.11,1470009600000
speedIndex,mobile,2016_08_01,3.7,5.35,7.7,11.1,16.11,1470009600000
speedIndex,desktop,2016_07_15,2.01,3.65,5.58,8.27,11.88,1468540800000
speedIndex,mobile,2016_07_15,3.67,5.27,7.57,10.91,15.77,1468540800000
speedIndex,desktop,2016_07_01,2.01,3.64,5.59,8.28,11.79,1467331200000
speedIndex,mobile,2016_07_01,3.8,5.38,7.7,11.02,15.68,1467331200000
speedIndex,desktop,2016_06_15,1.31,2.79,4.38,6.58,9.81,1465948800000
speedIndex,mobile,2016_06_15,3.65,5.17,7.61,11.11,16.05,1465948800000
speedIndex,desktop,2016_06_01,1.5,2.74,4.21,6.26,9.21,1464739200000
speedIndex,mobile,2016_06_01,3.77,5.38,7.86,11.38,15.71,1464739200000
speedIndex,desktop,2016_05_15,1.6,2.72,4.13,6.18,9.23,1463270400000
speedIndex,mobile,2016_05_15,3.75,5.34,7.85,11.38,15.99,1463270400000
speedIndex,desktop,2016_05_01,1.24,2.52,3.99,6.01,8.93,1462060800000
speedIndex,mobile,2016_05_01,3.77,5.38,7.77,11.26,16.04,1462060800000
speedIndex,desktop,2016_04_15,1.26,2.56,4.04,6.14,9.37,1460678400000
speedIndex,mobile,2016_04_15,3.8,5.36,7.84,11.44,16.61,1460678400000
speedIndex,desktop,2016_04_01,1.17,2.51,4.0,6.03,9.01,1459468800000
speedIndex,mobile,2016_04_01,3.79,5.23,7.76,11.21,15.64,1459468800000
speedIndex,desktop,2016_03_15,1.13,2.41,3.85,5.86,8.79,1458000000000
speedIndex,mobile,2016_03_15,3.73,5.24,7.77,11.27,15.8,1458000000000
speedIndex,desktop,2016_03_01,1.19,2.38,3.77,5.78,8.78,1456790400000
speedIndex,mobile,2016_03_01,3.68,5.15,7.66,11.21,15.86,1456790400000
speedIndex,desktop,2016_02_15,1.59,2.54,3.87,5.82,8.77,1455494400000
speedIndex,mobile,2016_02_15,3.72,5.19,7.65,11.18,15.68,1455494400000
speedIndex,desktop,2016_02_01,1.6,2.55,3.86,5.78,8.62,1454284800000
speedIndex,mobile,2016_02_01,3.68,5.21,7.67,11.15,15.64,1454284800000
speedIndex,desktop,2016_01_15,1.57,2.56,3.91,5.87,8.79,1452816000000
speedIndex,mobile,2016_01_15,3.68,5.16,7.64,11.21,15.75,1452816000000
speedIndex,desktop,2016_01_01,1.57,2.57,3.92,5.88,8.75,1451606400000
speedIndex,mobile,2016_01_01,3.7,5.16,7.6,10.98,15.11,1451606400000
