season,episode_overall,episode_season,title,original_release,guest,guest_appearance_number,finished
2,37,29,Hasan Minhaj Has an Out-of-Body Experience Eating Spicy Wings,2016-10-06,Hasan Minhaj,1,TRUE
2,38,30,Kevin Hart Catches a High Eating Spicy Wings,2016-10-11,Kevin Hart,1,TRUE
2,39,31,Martin Garrix Tests His Limits Eating Spicy Wings,2016-10-20,Martin Garrix,1,TRUE
2,40,32,Bobby Lee Has an Accident Eating Spicy Wings,2016-10-27,Bobby Lee,1,TRUE
2,41,33,Tony Hawk Eats Spicy Wings LIVE at ComplexCon,2016-11-05,Tony Hawk,1,TRUE
2,42,34,Action Bronson Blows His High Eating Spicy Wings,2016-11-10,Action Bronson,1,TRUE
2,43,35,T-Pain Has a Tongue Seizure Eating Spicy Wings,2016-11-17,T-Pain,1,TRUE
2,44,36,Rachael Ray Mainlines Hot Sauce for Thanksgiving,2016-11-24,Rachael Ray,1,TRUE
2,45,37,Tom Colicchio Goes Full Top Chef on Some Spicy Wings,2016-12-01,Tom Colicchio,1,TRUE
2,46,38,Post Malone Sauces on Everyone While Eating Spicy Wings,2016-12-08,Post Malone,1,TRUE
2,47,39,N.O.R.E. Gets Wasted While Eating Spicy Wings,2016-12-15,N.O.R.E.,1,TRUE
2,48,40,James Franco and Bryan Cranston Bond Over Spicy Wings,2016-12-22,James Franco and Bryan Cranston,1,TRUE
3,49,1,Padma Lakshmi Gracefully Destroys Spicy Wings,2017-01-19,Padma Lakshmi,1,TRUE
3,50,2,Joey CoCo Diaz Breaks Out the Blue Cheese While Eating Spicy Wings,2017-01-26,Joey (CoCo) Diaz,1,TRUE
3,51,3,Danny Brown Has An Orgasm Eating Spicy Wings,2017-02-02,Danny Brown,1,TRUE
3,52,4,Ricky Gervais Pits His Mild British Palate Against Spicy Wings,2017-02-09,Ricky Gervais,1,FALSE
3,53,5,Charlie Day Learns to Love Ridiculously Spicy Wings,2017-02-16,Charlie Day,1,TRUE
3,54,6,Mac DeMarco Tries to Stay Chill While Eating Spicy Wings,2017-02-23,Mac DeMarco,1,TRUE
3,55,7,Russell Brand Achieves Enlightenment While Eating Spicy Wings,2017-03-02,Russell Brand,1,TRUE
3,56,8,Charlie Sloth Makes His Mum Proud Eating Spicy Wings,2017-03-09,Charlie Sloth,1,TRUE
3,57,9,Kyle Kinane Gets Angry Eating Spicy Wings,2017-03-16,Kyle Kinane,1,TRUE
3,58,10,Dax Shepard Does Mental Math While Eating Spicy Wings,2017-03-23,Dax Shepard,1,TRUE
3,59,11,H3H3 Productions Does Couples Therapy While Eating Spicy Wings,2017-03-30,H3H3 Productions,1,TRUE
3,60,12,Keke Palmer Laughs Uncontrollably While Eating Spicy Wings,2017-04-06,Keke Palmer,1,TRUE
3,61,13,Charlamagne Tha God Gets Heated Eating Spicy Wings,2017-04-13,Charlamagne Tha God,1,TRUE
3,62,14,DJ Snake Reveals His Human Side While Eating Spicy Wings,2017-04-20,DJ Snake,1,TRUE
3,63,15,Guy Fieri Becomes the Mayor of Spicy Wings,2017-04-27,Guy Fieri,1,TRUE
3,64,16,Kevin Love Gets Dunked On By Spicy Wings,2017-05-04,Kevin Love,1,TRUE
3,65,17,Neil deGrasse Tyson Explains the Universe While Eating Spicy Wings,2017-05-11,Neil deGrasse Tyson,1,TRUE
3,66,18,Thomas Middleditch Does Improv While Eating Spicy Wings,2017-05-18,Thomas Middleditch,1,TRUE
3,67,19,Andy Cohen Spills the Tea While Eating Spicy Wings,2017-05-25,Andy Cohen,1,TRUE
3,68,20,Tom Arnold Melts Down While Eating Spicy Wings,2017-06-01,Tom Arnold,1,TRUE
3,69,21,Coyote Peterson Gets STUNG by Spicy Wings,2017-06-08,Coyote Peterson,1,TRUE
3,70,22,Nick Kroll Delivers a PSA While Eating Spicy Wings,2017-06-15,Nick Kroll,1,TRUE
3,71,23,Superfan Brett Baker Grills Sean Evans Over Spicy Wings,2017-06-22,Brett Baker (superfan),1,TRUE
3,72,24,Seth Rogen and Dominic Cooper Suffer While Eating Spicy Wings,2017-06-29,Seth Rogen and Dominic Cooper,1,TRUE
4,73,1,Cara Delevingne Shows Her Hot Sauce Balls While Eating Spicy Wings,2017-07-20,Cara Delevingne,1,TRUE
4,74,2,Liam Payne Gets Cocky Eating Spicy Wings,2017-07-27,Liam Payne,1,TRUE
4,75,3,Steve-O Tells Insane Stories While Eating Spicy Wings,2017-08-03,Steve-O,1,TRUE
4,76,4,Vince Staples Delivers Hot Takes While Eating Spicy Wings,2017-08-10,Vince Staples,1,TRUE
4,77,5,Adam Richman Fanboys Out While Eating Spicy Wings,2017-08-17,Adam Richman,1,TRUE
4,78,6,ASAP Ferg Harlem Shakes While Eating Spicy Wings,2017-08-24,ASAP Ferg,1,TRUE
4,79,7,Kevin Durant Sweats It Out Over Spicy Wings,2017-08-31,Kevin Durant,1,TRUE
4,80,8,Henry Rollins Channels His Anger at Spicy Wings,2017-09-07,Henry Rollins,1,TRUE
4,81,9,Dillon Francis Hurts His Body with Spicy Wings,2017-09-14,Dillon Francis,1,TRUE
4,82,10,Joji Sets His Face on Fire While Eating Spicy Wings,2017-09-21,Joji,1,TRUE
4,83,11,Wanda Sykes Confesses Everything While Eating Spicy Wings,2017-09-28,Wanda Sykes,1,TRUE
4,84,12,Terry Crews Hallucinates While Eating Spicy Wings,2017-10-05,Terry Crews,1,TRUE
4,85,13,Gary Vaynerchuk Tests His Mental Toughness While Eating Spicy Wings,2017-10-12,Gary Vaynerchuk,1,TRUE
4,86,14,Artie Lange Is Raw and Uncensored While Eating Spicy Wings,2017-10-19,Artie Lange,1,TRUE
4,87,15,Chris Jericho Gets Body Slammed by Spicy Wings,2017-10-26,Chris Jericho,1,TRUE
4,88,16,Gabrielle Union Impersonates DMX While Eating Spicy Wings,2017-11-02,Gabrielle Union,1,TRUE
4,89,17,Wale Battles Spicy Wings Live,2017-11-09,Wale,1,TRUE
4,90,18,Bob Saget Hiccups Uncontrollably While Eating Spicy Wings,2017-11-16,Bob Saget,1,TRUE
4,91,19,Mario Batali Celebrates Thanksgiving with Spicy Wings,2017-11-23,Mario Batali,1,FALSE
4,92,20,Alexa Chung Fears for Her Life While Eating Spicy Wings,2017-11-30,Alexa Chung,1,TRUE
4,93,21,Logic Solves a Rubik's Cube While Eating Spicy Wings,2017-12-07,Logic,1,TRUE
4,94,22,Casey Neistat Melts His Face Off While Eating Spicy Wings,2017-12-14,Casey Neistat,1,TRUE
4,95,23,A Very Spicy Holiday Special,2017-12-21,NA,1,TRUE
4,96,24,Chili Klaus Faces the Most Extreme Hot Ones Ever,2017-12-28,Chili Klaus,1,TRUE
5,97,1,Taraji P. Henson Needs a Stunt Double to Eat Spicy Wings,2018-01-18,Taraji P. Henson,1,FALSE
5,98,2,Sasha Banks Bosses Up While Eating Spicy Wings,2018-01-25,Sasha Banks,1,TRUE
5,99,3,Von Miller Geeks Out Over Spicy Wings,2018-02-01,Von Miller,1,TRUE
5,100,4,Rich Brian Experiences Peak Bromance While Eating Spicy Wings,2018-02-08,Rich Brian,1,TRUE
5,101,5,Hannibal Buress Freestyles While Eating Spicy Wings,2018-02-15,Hannibal Buress,1,TRUE
5,102,6,Michael B. Jordan Gets Knocked Out By Spicy Wings,2018-02-22,Michael B. Jordan,1,TRUE
5,103,7,Ty Burrell Fears Sudden Death While Eating Spicy Wings,2018-03-01,Ty Burrell,1,TRUE
5,104,8,Charlize Theron Takes a Rorschach Test While Eating Spicy Wings,2018-03-08,Charlize Theron,1,TRUE
5,105,9,Adam Rippon Competes in the Olympics of Eating Spicy Wings,2018-03-15,Adam Rippon,1,TRUE
5,106,10,Gabriel Iglesias Does Wrestling Trivia While Eating Spicy Wings,2018-03-22,Gabriel Iglesias,1,TRUE
5,107,11,Shawn Mendes Reveals a Different Side of Himself While Eating Spicy Wings,2018-03-29,Shawn Mendes,1,TRUE
5,108,12,Philip DeFranco Sets a YouTube Record While Eating Spicy Wings,2018-04-05,Philip DeFranco,1,TRUE
5,109,13,Trick Daddy Prays for Help While Eating Spicy Wings,2018-04-12,Trick Daddy,1,TRUE
5,110,14,Tyra Banks Cries For Her Mom While Eating Spicy Wings,2018-04-19,Tyra Banks,1,TRUE
5,111,15,Alton Brown Rigorously Reviews Spicy Wings,2018-04-26,Alton Brown,1,TRUE
5,112,16,John Mayer Has a Sing-Off While Eating Spicy Wings,2018-05-03,John Mayer,1,TRUE
6,113,1,Johnny Knoxville Gets Smoked By Spicy Wings,2018-06-07,Johnny Knoxville,1,TRUE
6,114,2,Natalie Portman Pirouettes in Pain While Eating Spicy Wings,2018-06-14,Natalie Portman,1,TRUE
6,115,3,Marques Brownlee Rates Hot Sauce Labels While Eating Spicy Wings,2018-06-21,Marques Brownlee,1,TRUE
6,116,4,Joel Embiid Trusts the Process While Eating Spicy Wings,2018-06-28,Joel Embiid,1,TRUE
6,117,5,Tom Segura Tears Up While Eating Spicy Wings,2018-07-12,Tom Segura,1,TRUE
6,118,6,Joji and Rich Brian Play the Newlywed Game While Eating Spicy Wings,2018-07-19,Joji and Rich Brian,1,TRUE
6,119,7,Wiz Khalifa Gets Smoked Out By Spicy Wings,2018-07-26,Wiz Khalifa,1,TRUE
6,120,8,Al Roker Gets Hit by a Heat Wave of Spicy Wings,2018-08-02,Al Roker,1,TRUE
6,121,9,Michael Cera Experiences Mouth Pains While Eating Spicy Wings,2018-08-09,Michael Cera,1,TRUE
6,122,10,Issa Rae Raps While Eating Spicy Wings,2018-08-16,Issa Rae,1,TRUE
6,123,11,Rhett & Link Hiccup Uncontrollably While Eating Spicy Wings,2018-08-23,Rhett & Link,1,TRUE
6,124,12,Jeff Goldblum Says He Likes to Be Called Daddy While Eating Spicy Wings,2018-08-30,Jeff Goldblum,1,TRUE
6,125,13,Eddie Huang Seeks Revenge Against Spicy Wings,2018-09-06,Eddie Huang,2,TRUE
7,126,1,Chrissy Teigen Gets Drunk on Spicy Wings,2018-10-04,Chrissy Teigen,1,TRUE
7,127,2,Tenacious D Gets Rocked By Spicy Wings,2018-10-11,Tenacious D,1,TRUE
7,128,3,Anderson .Paak Sings Hot Sauce Ballads While Eating Spicy Wings,2018-10-18,Anderson .Paak,1,TRUE
7,129,4,Adam Carolla Rants Like a Pro While Eating Spicy Wings,2018-10-25,Adam Carolla,1,TRUE
7,130,5,Lil Yachty Has His First Experience With Spicy Wings,2018-11-01,Lil Yachty,1,FALSE
7,131,6,E-40 Asks a Fan to Save Him While Eating Spicy Wings,2018-11-08,E-40,1,FALSE
7,132,7,Lilly Singh Fears for Her Life While Eating Spicy Wings,2018-11-15,Lilly Singh,1,TRUE
7,133,8,Blake Griffin Gets Full-Court Pressed By Spicy Wings,2018-11-22,Blake Griffin,1,TRUE
7,134,9,Bill Burr Gets Red in the Face While Eating Spicy Wings,2018-11-29,Bill Burr,1,TRUE
7,135,10,Pete Holmes Does Improv While Eating Spicy Wings,2018-12-06,Pete Holmes,1,TRUE
7,136,11,Vanessa Hudgens Does Tongue Twisters While Eating Spicy Wings,2018-12-13,Vanessa Hudgens,1,TRUE
7,137,12,Weird Al Yankovic Goes Beyond Insanity While Eating Spicy Wings,2018-12-20,Weird Al Yankovic,1,TRUE
8,138,1,Gordon Ramsay Savagely Critiques Spicy Wings,2019-01-24,Gordon Ramsay,1,TRUE
8,139,2,Abbi and Ilana of Broad City Go Numb While Eating Spicy Wings,2019-01-31,Abbi and Ilana,1,TRUE
8,140,3,Seth Meyers Unravels While Eating Spicy Wings,2019-02-07,Seth Meyers,1,TRUE
8,141,4,Ken Jeong Performs a Physical While Eating Spicy Wings,2019-02-14,Ken Jeong,1,TRUE
8,142,5,Desus and Mero Get Smacked by Spicy Wings,2019-02-21,Desus and Mero,1,TRUE
8,143,6,Offset Screams Like Ric Flair While Eating Spicy Wings,2019-02-28,Offset,1,TRUE
8,144,7,Billie Eilish Freaks Out While Eating Spicy Wings,2019-03-07,Billie Eilish,1,TRUE
8,145,8,Shaq Tries to Not Make a Face While Eating Spicy Wings,2019-03-14,Shaq,1,FALSE
8,146,9,Theo Von Fights the Dark Arts While Eating Spicy Wings,2019-03-21,Theo Von,1,TRUE
8,147,10,Jimmy Butler Goes Rocky Balboa on Spicy Wings,2019-03-28,Jimmy Butler,1,TRUE
8,148,11,Chelsea Handler Goes Off the Rails While Eating Spicy Wings,2019-04-04,Chelsea Handler,1,TRUE
8,149,12,Scarlett Johansson Tries To Not Spoil Avengers While Eating Spicy Wings,2019-04-11,Scarlett Johansson,1,TRUE
9,150,1,The Jonas Brothers Burn Up While Eating Spicy Wings,2019-05-30,The Jonas Brothers,1,TRUE
9,151,2,Halle Berry Refuses to Lose to Spicy Wings,2019-06-06,Halle Berry,1,TRUE
9,152,3,Trevor Noah Rides a Pain Rollercoaster While Eating Spicy Wings,2019-06-13,Trevor Noah,1,TRUE
9,153,4,Aubrey Plaza Snorts Milk While Eating Spicy Wings,2019-06-20,Aubrey Plaza,1,TRUE
9,154,5,Schoolboy Q Learns to Respect Spicy Wings,2019-06-27,Schoolboy Q,1,TRUE
9,155,6,Adam Devine Gets Patriotic While Eating Spicy Wings,2019-07-04,Adam Devine,1,TRUE
9,156,7,Kumail Nanjiani Sweats Intensely While Eating Spicy Wings,2019-07-11,Kumail Nanjiani,1,TRUE
9,157,8,Binging with Babish Gets a Tattoo While Eating Spicy Wings,2019-07-18,Binging with Babish,1,TRUE
9,158,9,Juice WRLD Eats Spicy Wings Live,2019-07-25,Juice WRLD,1,TRUE
9,159,10,Idris Elba Wants to Fight While Eating Spicy Wings,2019-08-01,Idris Elba,1,TRUE
9,160,11,Kristen Bell Ponders Morality While Eating Spicy Wings,2019-08-08,Kristen Bell,1,TRUE
9,161,12,Stone Cold Steve Austin Puts the Stunner on Spicy Wings,2019-08-15,Stone Cold Steve Austin,1,TRUE
9,162,999,Jay Pharoah Channels Keanu Reeves While Eating Spicy Wings,2019-09-05,Jay Pharoah,2,TRUE
10,163,1,Shia LaBeouf Sheds a Tear While Eating Spicy Wings,2019-09-19,Shia LaBeouf,1,TRUE
10,164,2,Ashton Kutcher Gets an Endorphin Rush While Eating Spicy Wings,2019-09-26,Ashton Kutcher,1,TRUE
10,165,3,Noel Gallagher Looks Back in Anger at Spicy Wings,2019-10-03,Noel Gallagher,1,TRUE
10,166,4,Liza Koshy Meets Her Future Self While Eating Spicy Wings,2019-10-10,Liza Koshy,1,TRUE
10,167,5,Paul Rudd Does a Historic Dab While Eating Spicy Wings,2019-10-17,Paul Rudd,1,TRUE
10,168,6,Maisie Williams Shivers Uncontrollably While Eating Spicy Wings,2019-10-24,Maisie Williams,1,TRUE
10,169,7,Nick Offerman Gets the Job Done While Eating Spicy Wings,2019-10-31,Nick Offerman,1,TRUE
10,170,8,DaBaby Crushes Ice Cream While Eating Spicy Wings,2019-11-07,DaBaby,1,TRUE
10,171,9,Kristen Stewart Brings the Angels to Eat Spicy Wings,2019-11-14,Kristen Stewart,1,TRUE
10,172,10,Chance the Rapper Battles Spicy Wings,2019-11-21,Chance the Rapper,1,FALSE
10,173,11,Brad Leone Celebrates Thanksgiving With Spicy Wings,2019-11-28,Brad Leone,1,TRUE
10,174,12,John Boyega Summons the Force While Eating Spicy Wings,2019-12-05,John Boyega,1,TRUE
11,175,1,Margot Robbie Pushes Her Limits While Eating Spicy Wings,2020-02-06,Margot Robbie,1,TRUE
11,176,2,Zoë Kravitz Gets Trippy While Eating Spicy Wings,2020-02-13,Zoë Kravitz,1,TRUE
11,177,3,Will Ferrell Deeply Regrets Eating Spicy Wings,2020-02-20,Will Ferrell,1,TRUE
11,178,4,Halsey Experiences the Jersey Devil While Eating Spicy Wings,2020-02-27,Halsey,1,TRUE
11,179,5,Pete Davidson Drips With Sweat While Eating Spicy Wings,2020-03-05,Pete Davidson,1,TRUE
11,180,6,David Dobrik Experiences Real Pain While Eating Spicy Wings,2020-03-12,David Dobrik,1,TRUE
11,181,7,Big Sean Goes On a Spiritual Journey While Eating Spicy Wings,2020-03-19,Big Sean,1,TRUE
11,182,8,Zac Efron Ups the Ante While Eating Spicy Wings,2020-04-02,Zac Efron,1,TRUE
11,183,9,Justin Timberlake Cries a River While Eating Spicy Wings,2020-04-09,Justin Timberlake,1,TRUE
12,184,1,Tom Segura Keeps It High and Tight While Eating Spicy Wings,2020-06-25,Tom Segura,2,TRUE
12,185,2,Brie Larson Takes On a New Form While Eating Spicy Wings,2020-07-02,Brie Larson,1,TRUE
12,186,3,Eric André Enters A Fugue State While Eating Spicy Wings,2020-07-09,Eric André,2,FALSE
12,187,4,Dan Levy Gets Panicky While Eating Spicy Wings,2020-07-16,Dan Levy,1,TRUE
12,188,5,Dua Lipa Sweats from Her Eyes While Eating Spicy Wings,2020-07-23,Dua Lipa,1,TRUE
12,189,6,T-Pain Tastes Gas While Eating Spicy Wings,2020-07-30,T-Pain,2,TRUE
12,190,7,Adam Richman Impersonates Noel Gallagher While Eating Spicy Wings,2020-08-06,Adam Richman,2,TRUE
12,191,8,Action Bronson Shakes It Out While Eating Spicy Wings,2020-08-13,Action Bronson,2,TRUE
12,192,9,Drew Barrymore Has a Hard Time Processing While Eating Spicy Wings,2020-08-20,Drew Barrymore,1,TRUE
12,193,10,Joseph Gordon-Levitt Gets Cocky While Eating Spicy Wings,2020-08-27,Joseph Gordon-Levitt,1,TRUE
13,194,1,Jessica Alba Applies Lip Gloss While Eating Spicy Wings,2020-10-01,Jessica Alba,1,TRUE
13,195,2,Ronda Rousey Splits Bones While Eating Spicy Wings,2020-10-08,Ronda Rousey,1,TRUE
13,196,3,Naomi Campbell Almost Faints While Eating Spicy Wings,2020-10-15,Naomi Campbell,1,TRUE
13,197,4,Matthew McConaughey Grunts it Out While Eating Spicy Wings,2020-10-22,Matthew McConaughey,1,TRUE
13,198,5,Sam Smith Screams in Pain While Eating Spicy Wings,2020-10-22,Sam Smith,1,TRUE
13,199,6,Saweetie Almost Tap Tap Taps Out While Eating Spicy Wings,2020-11-05,Saweetie,1,TRUE
13,200,7,Thundercat Relives a Hot Sauce Nightmare While Eating Spicy Wings,2020-11-12,Thundercat,1,TRUE
13,201,8,The Undertaker Takes Care of Business While Eating Spicy Wings,2020-11-19,The Undertaker,1,TRUE
13,202,9,Lil Nas X Celebrates Thanksgiving With the Biggest Dab Ever,2020-11-26,Lil Nas X,1,TRUE
13,203,10,Daniel Radcliffe Catches a Head Rush While Eating Spicy Wings,2020-12-03,Daniel Radcliffe,1,TRUE
13,204,11,The Hot Ones Holiday Special 2020,2020-12-10,NA,2,TRUE
14,205,1,Priyanka Chopra Jonas Explains the Essence of Hot Sauce While Eating Spicy Wings,2021-01-28,Priyanka Chopra Jonas,1,TRUE
14,206,2,Dustin Poirier is Paid in Full While Eating Spicy Wings,2021-02-04,Dustin Poirier,1,TRUE
14,207,3,Kevin James Forgets Who He Is While Eating Spicy Wings,2021-02-11,Kevin James,1,TRUE
14,208,4,Awkwafina Gets Hot and Cold While Eating Spicy Wings,2021-02-18,Awkwafina,1,TRUE
14,209,5,Kenan Thompson Becomes a Card-Carrying Spiceman While Eating Spicy Wings,2021-02-25,Kenan Thompson,1,TRUE
14,210,6,Anthony Mackie Quotes Shakespeare While Eating Spicy Wings,2021-03-04,Anthony Mackie,1,TRUE
14,211,7,Paris Hilton Says That's Hot While Eating Spicy Wings,2021-03-11,Paris Hilton,1,TRUE
14,212,8,Jennifer Garner Says Golly While Eating Spicy Wings,2021-03-18,Jennifer Garner,1,TRUE
14,213,9,J Balvin Meets The Devil While Eating Spicy Wings,2021-03-25,J Balvin,1,TRUE
14,214,10,Jeffrey Dean Morgan Can't Feel His Face While Eating Spicy Wings,2021-04-01,Jeffrey Dean,1,TRUE
14,215,11,Russell Brand Serenades Superfan Brett Baker While Eating Spicy Wings,2021-04-08,Russell Brand,2,TRUE
14,216,12,Steve-O Takes It Too Far While Eating Spicy Wings,2021-04-15,Steve-O,2,TRUE
15,217,1,Jack Harlow Returns to the Studio to Eat Spicy Wings,2021-05-27,Jack Harlow,1,TRUE
15,218,2,Kamaru Usman Goes to the Mat Against Spicy Wings,2021-06-03,Kamaru Usman,1,TRUE
15,219,3,Quavo Is Stunned by Spicy Wings,2021-06-10,Quavo,1,FALSE
15,220,4,Elizabeth Olsen Feels Brave While Eating Spicy Wings,2021-06-17,Elizabeth Olsen,1,TRUE
15,221,5,Olivia Rodrigo Burns Her Lips While Eating Spicy Wings,2021-06-24,Olivia Rodrigo,1,TRUE
15,222,6,Malcolm Gladwell Hits the Tipping Point While Eating Spicy Wings,2021-07-01,Malcolm Gladwell,1,TRUE
15,223,7,Ed Sheeran Tries to Avoid Failure While Eating Spicy Wings,2021-07-08,Ed Sheeran,1,TRUE
15,224,8,David Harbour Feels Out of Control While Eating Spicy Wings,2021-07-15,David Harbour,1,TRUE
15,225,9,Michael Che Gs Up While Eating Spicy Wings,2021-07-22,Michael Che,1,TRUE
15,226,10,Lorde Drops the Mic While Eating Spicy Wings,2021-07-29,Lorde,1,TRUE
15,227,11,Matt Damon Sweats From His Scalp While Eating Spicy Wings,2021-08-05,Matt Damon,1,TRUE
15,228,12,Elijah Wood Tastes the Lava of Mount Doom While Eating Spicy Wings,2021-08-12,Elijah Wood,1,TRUE
16,229,1,Jimmy Kimmel Feels Poisoned by Spicy Wings,2021-09-23,Jimmy Kimmel,1,TRUE
16,230,2,Derrick Lewis Is Not Okay While Eating Spicy Wings,2021-09-30,Derrick Lewis,1,TRUE
16,231,3,Jon Bernthal Gets Punished by Spicy Wings,2021-10-07,Jon Bernthal,1,TRUE
16,232,4,Megan Thee Stallion Turns Into Hot Girl Meg While Eating Spicy Wings,2021-10-14,Megan Thee Stallion,1,TRUE
16,233,5,CL Gets Extra Spicy While Eating Spicy Wings,2021-10-21,CL,1,TRUE
16,234,6,Mila Kunis Hits the Ranch While Eating Spicy Wings,2021-10-28,Mila Kunis,1,TRUE
16,235,7,Salma Hayek Adopts Sean Evans While Eating Spicy Wings,2021-11-04,Salma Hayek,1,TRUE
16,236,8,Jeremy Renner Goes Blind in One Eye While Eating Spicy Wings,2021-11-11,Jeremy Renner,1,TRUE
16,237,9,David Chang Sweats Like Crazy While Eating Spicy Wings,2021-11-18,David Chang,1,TRUE
16,238,10,Brad Underwood Gets Full Court Pressed By Spicy Wings,2021-11-20,Brad Underwood,1,TRUE
16,239,11,Rob Lowe Ruins Thanksgiving By Eating Spicy Wings,2021-11-25,Rob Lowe,1,TRUE
16,240,12,Simu Liu Chugs Boba While Eating Spicy Wings,2021-12-02,Simu Liu,1,TRUE
16,241,13,Tom Holland Calls for a Doctor While Eating Spicy Wings,2021-12-09,Tom Holland,1,TRUE
16,242,14,Gordon Ramsay Returns for the Hot Ones Holiday Extravaganza,2021-12-23,Gordon Ramsay,2,TRUE
17,243,1,Seth Rogen Scorches his Tongue While Eating Spicy Wings,2022-01-20,Seth Rogen,1,TRUE
17,244,2,Tracee Ellis Ross Calls For Her Mommy While Eating Spicy Wings,2022-01-27,Tracee Ellis Ross,1,TRUE
17,245,3,Ed Helms Needs a Mouth Medic While Eating Spicy Wings,2022-02-03,Ed Helms,1,TRUE
17,246,4,Sebastian Stan Learns About Himself While Eating Spicy Wings,2022-02-10,Sebastian Stan,1,TRUE
