"species","genus","shortname","sex","beak.length_culmen","beak.length_nares","beak.width","beak.depth","tarsus.length","wing.length","kipps.distance","secondary1","hand-wing.index","tail.length"
"Eudyptes chrysocome","Eudyptes","E. chrysocome","M",49.5,28,14.1,18.6,24.5,96,6,90,6.3,98
"Eudyptes chrysocome","Eudyptes","E. chrysocome","M",51.4,16.7,11.4,13.2,30,NA,NA,NA,NA,67
"Eudyptes chrysocome","Eudyptes","E. chrysocome","U",48.6,26.4,14.5,21.7,18,94,6.7,87.3,7.1,87
"Eudyptes chrysocome","Eudyptes","E. chrysocome","M",51.9,NA,14.4,21.8,39.6,NA,NA,NA,NA,112
"Eudyptes chrysolophus","Eudyptes","E. chrysolophus","M",65.9,37.1,19.4,18.8,37,122,6.3,115.7,5.2,99
"Eudyptes chrysolophus","Eudyptes","E. chrysolophus","U",62,36.3,15,26,36,116,5.2,110.8,4.5,104
"Eudyptes chrysolophus","Eudyptes","E. chrysolophus","U",55.5,30.4,13.2,21.2,36.2,114,8.3,105.7,7.3,87
"Eudyptes chrysolophus","Eudyptes","E. chrysolophus","U",62.5,32.5,13.6,25.6,32.4,114,6.9,107.1,6.1,95
"Eudyptes chrysolophus","Eudyptes","E. chrysolophus","M",57.9,NA,19.8,28.1,34,NA,NA,NA,NA,131
"Eudyptes moseleyi","Eudyptes","E. moseleyi","M",54.7,32,15.3,22,35.7,100,5.9,94.1,5.9,74
"Eudyptes moseleyi","Eudyptes","E. moseleyi","M",52,31.6,14.9,22,35.9,105,5.5,99.5,5.2,48
"Eudyptes moseleyi","Eudyptes","E. moseleyi","F",51.5,28,14.2,19.6,34,104,6,98,5.8,58
"Eudyptes moseleyi","Eudyptes","E. moseleyi","F",49,30.1,13,18.6,31.9,100,5.2,94.8,5.2,77
"Eudyptes moseleyi","Eudyptes","E. moseleyi","M",59.9,NA,12.6,19.9,36.7,NA,NA,NA,NA,55
"Eudyptes pachyrhynchus","Eudyptes","E. pachyrhynchus","U",48.2,29.7,16.6,22.2,27.2,91.3,3,88.3,3.3,110
"Eudyptes pachyrhynchus","Eudyptes","E. pachyrhynchus","F",47.3,33.5,17.9,23.8,32,180,NA,NA,NA,83
"Eudyptes pachyrhynchus","Eudyptes","E. pachyrhynchus","F",46.7,35.5,12.8,21.2,32.2,170,NA,NA,NA,72
"Eudyptes pachyrhynchus","Eudyptes","E. pachyrhynchus","M",55.4,39.8,18.1,27.7,33,180,NA,NA,NA,98
"Eudyptes robustus","Eudyptes","E. robustus","U",56.5,32.8,17.1,25.9,28,94,5.4,88.6,5.7,90
"Eudyptes robustus","Eudyptes","E. robustus","U",54.7,38,18.4,27.3,30.5,100,7.6,92.4,7.6,85
"Eudyptes robustus","Eudyptes","E. robustus","M",67.4,41.5,15,27.1,29.1,105,5.6,99.4,5.3,81
"Eudyptes robustus","Eudyptes","E. robustus","U",45.8,32,13.4,22.4,24.3,92,5.5,86.5,6,82
"Eudyptes schlegeli","Eudyptes","E. schlegeli","M",68.5,45,17.7,28.5,29.7,122,6,116,4.9,89
"Eudyptes schlegeli","Eudyptes","E. schlegeli","M",69.7,47,17,29.8,31.7,125,5.9,119.1,4.7,100
"Eudyptes schlegeli","Eudyptes","E. schlegeli","M",65.8,40.6,14.7,18.2,29.8,117,6.5,110.5,5.6,92
"Eudyptes schlegeli","Eudyptes","E. schlegeli","M",78.8,42.8,16.1,31,27.7,120,6.7,113.3,5.6,100
"Eudyptes sclateri","Eudyptes","E. sclateri","U",65.8,36.9,16.3,NA,28.4,107.2,6.8,100.4,6.3,94
"Eudyptes sclateri","Eudyptes","E. sclateri","U",64.3,38.8,19,27.2,31.8,113.7,7,106.7,6.2,NA
"Eudyptes sclateri","Eudyptes","E. sclateri","U",67.7,37.3,15.3,26.8,29,113.4,6,107.4,5.3,107
"Eudyptes sclateri","Eudyptes","E. sclateri","U",67,38.3,20,27.6,28.5,111,6.4,104.6,5.8,81
"Eudyptula minor","Eudyptula","E. minor","U",49.6,20.7,6.6,14.9,22.4,68,4.3,63.7,6.3,25.8
"Eudyptula minor","Eudyptula","E. minor","U",48.9,22.1,6.6,13.6,23.5,68,3.5,64.5,5.1,21.2
"Eudyptula minor","Eudyptula","E. minor","U",43.8,27.9,8.3,13.2,26.4,66,2.4,63.6,3.6,24
"Eudyptula minor","Eudyptula","E. minor","U",43.5,23.5,6.4,11.9,26.1,67,5,62,7.5,21.2
"Eudyptula minor","Eudyptula","E. minor","U",49.3,NA,7,14.4,17.2,NA,NA,NA,NA,40
"Eudyptula minor","Eudyptula","E. minor","U",51.5,NA,6.8,14.1,17.2,NA,NA,NA,NA,30
"Eudyptula minor","Eudyptula","E. minor","U",46,NA,6.7,13.9,NA,NA,NA,NA,NA,NA
"Megadyptes antipodes","Megadyptes","M. antipodes","M",62.6,34.7,10,20,34,124,10,114,8.1,55
"Megadyptes antipodes","Megadyptes","M. antipodes","U",77.9,35.3,12.8,20.7,31.5,150,8.7,141.3,5.8,NA
"Megadyptes antipodes","Megadyptes","M. antipodes","U",54.7,32.1,10.5,19.7,35.4,120,9.8,110.2,8.2,62
"Megadyptes antipodes","Megadyptes","M. antipodes","M",63.7,32,9.9,19.7,31.7,119,7.5,111.5,6.3,59
"Pygoscelis adeliae","Pygoscelis","P. adeliae","F",62.5,NA,10,15.4,35.5,86,NA,NA,NA,166
"Pygoscelis adeliae","Pygoscelis","P. adeliae","M",59.3,24.3,14.2,18.8,29.5,96.3,7,89.3,7.3,122
"Pygoscelis adeliae","Pygoscelis","P. adeliae","F",55.7,22.4,13.4,17.4,26.1,96,8,88,8.3,139
"Pygoscelis adeliae","Pygoscelis","P. adeliae","F",57,25,12.6,17.3,30.5,98,6.7,91.3,6.8,115
"Pygoscelis adeliae","Pygoscelis","P. adeliae","M",64,25.3,14.5,17.2,41,96.4,7.1,89.3,7.4,153
"Pygoscelis antarcticus","Pygoscelis","P. antarcticus","F",63.6,NA,12.4,17.3,NA,NA,NA,NA,NA,153
"Pygoscelis antarcticus","Pygoscelis","P. antarcticus","M",62.5,NA,14.4,17.9,NA,NA,NA,NA,NA,131
"Pygoscelis antarcticus","Pygoscelis","P. antarcticus","F",55.2,NA,15.2,17.4,NA,NA,NA,NA,NA,156
"Pygoscelis antarcticus","Pygoscelis","P. antarcticus","M",63.7,NA,16.1,19.4,NA,NA,NA,NA,NA,150
"Pygoscelis antarcticus","Pygoscelis","P. antarcticus","M",60.2,32.5,15,20.9,28,104.8,5.3,99.5,5.1,132
"Pygoscelis antarcticus","Pygoscelis","P. antarcticus","F",66.9,34.2,14.9,21.8,25.7,101.5,6.2,95.3,6.1,135
"Pygoscelis antarcticus","Pygoscelis","P. antarcticus","F",53.4,33.7,13.1,17.5,25.4,97.7,4.7,93,4.8,101
"Pygoscelis antarcticus","Pygoscelis","P. antarcticus","M",69.1,35.7,17,21.8,28.9,98,3.1,94.9,3.2,146
"Pygoscelis papua","Pygoscelis","P. papua","M",66.4,40.3,12.2,17.5,34.5,129,5.1,123.9,4,131
"Pygoscelis papua","Pygoscelis","P. papua","F",66,38.6,12.9,17,34.9,128.5,7,121.5,5.4,118
"Pygoscelis papua","Pygoscelis","P. papua","M",62.6,35.8,12.9,18.4,31.2,125.5,5.7,119.8,4.5,130
"Pygoscelis papua","Pygoscelis","P. papua","F",64.2,36.5,11.7,15.3,31.6,121.3,7.2,114.1,5.9,112
"Spheniscus demersus","Spheniscus","S. demersus","M",61.4,NA,10.7,23.9,28.3,NA,NA,NA,NA,31
"Spheniscus demersus","Spheniscus","S. demersus","U",60.3,37,11.2,27.1,34.8,98,3.8,94.2,3.9,29.5
"Spheniscus demersus","Spheniscus","S. demersus","U",58.4,29.1,9.9,23.2,33.3,95,3.3,91.7,3.5,14.4
"Spheniscus demersus","Spheniscus","S. demersus","U",64,31.2,9.7,23.7,31.7,101,4.2,96.8,4.2,36.8
"Spheniscus demersus","Spheniscus","S. demersus","U",63.4,26.5,9.1,23.4,33.5,100,3.1,96.9,3.1,30.6
"Spheniscus humboldti","Spheniscus","S. humboldti","F",68.1,NA,11.6,24.7,NA,NA,NA,NA,NA,36
"Spheniscus humboldti","Spheniscus","S. humboldti","U",71.1,30.8,11.1,26.1,40.7,113,4.5,108.5,4,20.8
"Spheniscus humboldti","Spheniscus","S. humboldti","U",62.5,28.3,8.5,21.3,31.6,98,4.8,93.2,4.9,23.6
"Spheniscus humboldti","Spheniscus","S. humboldti","U",60.1,22.3,7.8,16.9,42.3,105,4.1,100.9,3.9,32.4
"Spheniscus humboldti","Spheniscus","S. humboldti","U",56.7,27.7,6.7,16.7,41.3,105,4.9,100.1,4.7,27.9
"Spheniscus magellanicus","Spheniscus","S. magellanicus","U",59.9,24.4,10.2,21.7,33.2,108,4.5,103.5,4.2,29.4
"Spheniscus magellanicus","Spheniscus","S. magellanicus","U",65.3,28.6,11.1,24.3,39.6,105,3.9,101.1,3.7,25.4
"Spheniscus magellanicus","Spheniscus","S. magellanicus","U",59.2,28.6,10.1,23.2,33.5,109,4.1,104.9,3.8,28.5
"Spheniscus magellanicus","Spheniscus","S. magellanicus","U",59.2,NA,8.9,21.4,NA,111,NA,NA,NA,10
"Spheniscus magellanicus","Spheniscus","S. magellanicus","U",57.6,29.3,10.6,26.3,35.5,115,4,111,3.5,23.6
"Spheniscus mendiculus","Spheniscus","S. mendiculus","U",64.2,30.3,7.9,15.8,29.3,80,3.2,76.8,4,26.7
"Spheniscus mendiculus","Spheniscus","S. mendiculus","U",62.2,27.3,7.3,16.8,23.2,80,4,76,5,25.6
"Spheniscus mendiculus","Spheniscus","S. mendiculus","U",64.4,32.6,9.1,20.2,25.8,83,5.1,77.9,6.1,24.6
"Spheniscus mendiculus","Spheniscus","S. mendiculus","U",64.7,31.3,7.5,17.1,25.4,88,3.5,84.5,4,27.6
