DoBIH_number,Name,Height_m,Height_ft,xcoord,ycoord,1891,1921,1933,1953,1969,1974,1981,1984,1990,1997,2021,Comments
2925,Beinn a' Chroin,941.4,3089,238755,718573,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Munro,http://www.hills-database.co.uk/database_notes.html#beinn_a_chroin
36,Beinn a' Chroin East Top,940.1,3084,239396,718594,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro Top,1974-1997: Beinn a' Chroin
37,Beinn a' Chroin West Top,937.9,3077,238590,718551,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,NA,Deleted from the Tops; only 165m from the new Munro location (hill 2925) with 18m of drop
38,Beinn Chabhair,932.2,3058,236760,717957,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,NA
65,Ben Lui [Beinn Laoigh],1131.4,3712,226635,726296,Munro,Munro,Munro,Munro,Munro,NA,Munro,Munro,Munro,Munro,Munro,NA
66,Ben Lui NW Top,1127,3698,226544,726413,NA,NA,NA,NA,NA,Munro,Munro Top,Munro Top,Munro Top,NA,NA,NA
67,Ben Oss,1029,3376,228761,725348,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,NA
69,Beinn Dubhchraig,978,3209,230763,725493,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,NA
75,Beinn a' Chleibh,916.3,3006,225054,725606,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,NA
71,Ben Vorlich,943,3094,229509,712474,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,"1974 gives the trig position from an incorrect reading of the 1"" map; 1984 and 1990 give a similar GR, but all three editions give the 3092'/943m height of the spot to the north"
73,Ben Vorlich North Top,931,3054,229476,713008,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,NA
68,Beinn Ime,1012.2,3321,225497,708488,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,NA
76,Ben Vane,915.76,3004,227753,709844,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,NA
74,Beinn Narnain,927,3041,227168,706655,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,NA
1419,Beinn an Lochain,901.7,2958,221803,707893,Munro,Munro,Munro,Munro,Munro,Munro,NA,NA,NA,NA,NA,NA
70,Beinn Bhuidhe,948.5,3112,220368,718717,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,1891-1969: Beinn Buidhe
103,Schiehallion,1083,3553,271384,754768,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,NA
107,Carn Mairg,1042,3419,268491,751260,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,NA
110,Carn Mairg - Meall Liath,1012,3320,269297,751220,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,NA
111,Carn Mairg - Meall a' Bharr,1004,3294,266826,751562,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,NA
109,Carn Gorm,1029,3376,263516,750071,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,NA
119,Meall Garbh East Top,963.7,3162,265027,751527,NA,NA,NA,NA,NA,Munro,Munro,NA,NA,NA,NA,"1974-1981 position of Meall Garbh. NN649517 (1974) is from the 1"" map which lacks a 3150' contour at the current summit; 1981 gives 963m at NN651515"
118,Meall Garbh,968,3176,264707,751686,Munro,Munro,Munro,Munro,Munro,NA,NA,Munro,Munro,Munro,Munro,"1891: 3200' ap, Mr Colin Phillip's aneroid. 1921: 'Mr Colin Phillip: [3145 (W. top), J.G.I.: another well-marked top, ?m to E (dip between, 50-75ft) was made 10ft less'"
127,Meall Garbh - Meall Luaidhe,921.1,3022,265644,750993,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,NA,NA,NA,NA,NA,NA
125,Carn Gorm - An Sgorr,924,3031,264073,750956,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,"1891-1981: An Sgor. Given as 3002' up to 1974 from a spot height on the 6"" map"
115,Meall na Aighean,981,3219,269477,749669,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,1891-1990: Creag Mhor; 1997: Meall nan Aighean
120,Stuc an Lochain [Stuchd an Lochain],960,3150,248305,744840,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,1891-1997: Stuchd an Lochain
124,Stuc an Lochain - Sron Chona Choirein,927,3041,249337,744557,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,1891: Sron Chon a' Choirein
123,Meall Buidhe,932.1,3058,249838,749946,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,1891: Garbh Mheall; 1921-1969: Meall Buidhe (Garbh Mheall); 1974: Meall Buidhe (Garbh Meall)
128,Meall Buidhe SE Top,917,3009,250065,748941,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,NA,NA,NA,NA,NA,"1891: Garbh Mheall, SE Top"
105,Beinn Dorain,1076,3530,232554,737855,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,1891: Beinn Doireann
112,Beinn an Dothaidh,1004,3294,233178,740868,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,"1969: 4 figure GR is for West top but distance from Bridge of Orchy and 3283' from the early 6"" map are consistent with Munro. 1974 gives 3289' from the 1970 6"" map"
108,Beinn Achaladair,1038.6,3407,234468,743242,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,1891: Beinn Achallader
113,Beinn Achaladair South Top,1003.6,3293,234226,742052,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,NA
104,Beinn a' Chreachain,1080.6,3545,237387,744075,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,1891: Beinn Cheachan
116,Beinn a' Chreachain - Meall Buidhe,977.2,3206,235981,743843,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,NA
121,Beinn a' Chreachain North Top,959.9,3149,237807,744915,Munro Top,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1891: Top of Coire Dubh
122,Beinn Mhanach,953,3127,237371,741140,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,1891: Ben Vannoch
126,Beinn Mhanach - Beinn a' Chuirn,923,3028,236000,740923,Munro,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,NA
141,Ben Lawers,1214,3983,263553,741424,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,NA
142,An Stuc,1117.1,3665,263890,743103,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro,Munro,NA
147,Ben Lawers - Creag an Fhithich,1047,3435,263573,742242,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,NA
143,Meall Garbh,1123.1,3685,264437,743757,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,NA
154,Meall Greigh,1001,3284,267400,743808,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,1891: Meall Gruiadh
144,Beinn Ghlas,1103,3619,262529,740463,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,NA
146,Meall Corranaich,1069,3507,261534,741047,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,NA
162,Meall Corranaich - Sron Dha Mhurchaidh,935,3068,261105,740341,Munro Top,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1891: Sron dha-Murchdi, ½ m SSW of Meall Corranaich, 3040' ap. Cairn 180m NNE, 0.4m SSW of MC at 941m spot, may be Munro's intended summit. No spots on 6"" map."
163,Meall a' Choire Leith,925.6,3037,261249,743882,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,NA
149,Meall nan Tarmachan,1043.6,3424,258518,738998,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,NA
151,Meall nan Tarmachan - Meall Garbh,1026.7,3368,257837,738339,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,NA
156,Meall nan Tarmachan - Beinn nan Eachan,1000.1,3281,257022,738371,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,NA
155,Meall nan Tarmachan - Beinn nan Eachan East Top,951.4,3121,257407,738390,NA,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,NA,NA,NA,NA,NA,NA
164,Meall nan Tarmachan SE Top,921.6,3024,258926,738511,NA,NA,NA,NA,NA,NA,NA,NA,NA,Munro Top,Munro Top,NA
167,Meall nan Tarmachan - Creag na Caillich,914.3,3000,256285,737700,NA,NA,NA,NA,NA,NA,Munro Top,Munro Top,Munro Top,Munro Top,NA,Deleted from the Munro Tops in September 2015 after surveys
150,Meall Ghaordaidh,1039.8,3411,251442,739704,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,NA
145,Beinn Sheasgarnaich [Beinn Heasgarnich],1077.4,3535,241380,738339,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,1891-1997: Beinn Heasgarnich
153,Beinn Sheasgarnaich - Stob an Fhir-Bhogha,1029,3376,241139,737238,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,NA,NA,NA,NA,NA,NA
148,Creag Mhor,1046.8,3434,239150,736111,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,NA
159,Creag Mhor - Stob nan Clach,956.5,3138,238709,735184,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,NA
152,Beinn Challuim [Ben Challum],1025,3363,238685,732235,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,1891- 1969: Beinn Chaluim; 1974-1997: Ben Challum
157,Beinn Challuim South Top [Ben Challum South Top],998,3274,238637,731579,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,1891-1969: Beinn Chaluim S.Top; 1974-1997: Ben Challum South Top
158,Meall Glas,959,3146,243148,732194,Munro Top,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,"1891: Given as a Top despite being correctly shown as higher than Beinn Chreathaich, see below"
161,Meall Glas - Beinn Cheathaich,937,3074,244406,732662,Munro,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,"1891: Beinn Dheiceach, made Munro despite recorded height being lower Meall Glas, see above. 6"" map gives 3074' for this hill and 3139' for Meall Glas."
165,Sgiath Chuil,920.1,3019,246290,731793,Munro Top,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,NA
166,Sgiath Chuil - Meall a' Churain,917.3,3010,246279,732482,Munro,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,1891: Meall Chuirn
178,Sgorr nam Fiannaidh (Aonach Eagach),967.7,3175,214044,758304,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,1891-1981: Sgor nam Fiannaidh
181,Sgorr nam Fiannaidh (Aonach Eagach) - Stob Coire Leith,939.5,3082,214932,758487,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,NA
179,Meall Dearg (Aonach Eagach),952.3,3124,216124,758363,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,NA
180,Meall Dearg (Aonach Eagach) - Am Bodach,941.9,3090,216832,758018,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,NA
196,Stob Dearg (Buachaille Etive Mor),1021.4,3351,222265,754254,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,GR of highest point (NN222542) not given until 1997; c.150m SW of summit cairn at NN223543
197,Stob Dearg (Buachaille Etive Mor) - Stob na Doire,1010.5,3315,220755,753271,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,NA
203,Stob na Broige (Buachaille Etive Mor),953.4,3128,219072,752568,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro,Munro,NA
206,Stob na Broige (Buachaille Etive Mor) - Stob Coire Altruim,938.8,3080,219714,753041,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,NA
202,Stob Dubh (Buachaille Etive Beag),958,3143,217910,753541,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,NA
209,Stob Coire Raineach (Buachaille Etive Beag),924.5,3033,219140,754796,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro,Munro,NA
191,Bidean nam Bian,1149.4,3771,214341,754211,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,NA
192,Bidean nam Bian - Stob Coire nan Lochan,1115.6,3660,214833,754867,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,1891-1933: Stob Coire an Lochan
193,Bidean nam Bian - Stob Coire nam Beith,1106.9,3632,213898,754600,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,NA
194,Stob Coire Sgreamhach,1072,3517,215487,753664,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro,Munro,1891: Stob Coire Sgrenach; 1921-1969: Beinn Fhada: Stob Coire Sgreamhach; 1974: Beinn Fhada-Stob Coire Sgriodain
204,Stob Coire Sgreamhach - Beinn Fhada,952,3123,215968,754056,NA,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,"1921-1974: Beinn Fhada (Centre Top). Comment in 1921  ""New top, not in the original Tables"""
208,Stob Coire Sgreamhach - Beinn Fhada NE Top,931,3054,216426,754319,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,1891: Beinn Fhada
195,Sgorr Dhearg (Beinn a' Bheithir),1024,3360,205684,755846,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,NA
198,Sgorr Dhonuill (Beinn a' Bheithir),1001,3284,204058,755540,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,NA
205,Sgorr Dhearg (Beinn a' Bheithir) - Sgorr Bhan,947,3107,206267,756051,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,NA
199,Sgurr na h-Ulaidh [Sgor na h-Ulaidh],994,3261,211117,751794,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,1891-1997: Sgor na h-Ulaidh
200,Sgurr na h-Ulaidh - Stob an Fhuarain,968,3176,211819,752316,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,NA
201,Beinn Fhionnlaidh,959,3146,209508,749769,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,NA
207,Beinn Sgulaird,937,3074,205303,746088,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,NA
232,Ben Cruachan,1127,3698,206962,730472,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,NA
234,Ben Cruachan - Stob Dearg [Taynuilt Peak],1103.1,3619,206236,730745,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,"1891, 2021 omit (Taynuilt Peak)"
243,Ben Cruachan - Drochaid Ghlas,1024.4,3361,208331,730770,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,1891-1981: Drochaid Glas
260,Ben Cruachan - Meall Cuanail,920.2,3019,206977,729562,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,NA
244,Stob Daimh [Stob Diamh],999.2,3278,209482,730858,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,1891-1997: Stob Diamh
250,Stob Daimh - Stob Garbh,981.7,3221,209558,730249,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,NA
253,Stob Daimh - Sron An Isean,966.6,3171,209926,731145,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,NA
249,Beinn Eunaich,989,3245,213562,732797,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,NA
251,Beinn a' Chochuill,980,3215,210978,732848,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,NA
254,Beinn nan Aighenan,960,3150,214851,740528,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,1891-1969: Beinn nan Aighean
238,Ben Starav,1079.5,3542,212576,742714,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,NA
242,Ben Starav - Stob Coire Dheirg,1027.7,3372,213134,742665,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,NA,NA,Munro Top,Munro Top,1981: given as 1068m but GR is at current position
239,Ben Starav - Stob Coire Dheirg (1984-1990 position),1068,3504,212838,742486,NA,NA,NA,NA,NA,NA,NA,Munro Top,Munro Top,NA,NA,1984-1990: Stob Coire Dheirg. Regarded as a mistake and corrected in 1997 tables
257,Ben Starav - Meall Cruidh,930,3051,212914,741562,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,NA
259,Ben Starav - Stob an Duine Ruaidh,918,3012,212464,741000,NA,NA,NA,NA,NA,NA,NA,NA,NA,Munro Top,Munro Top,NA
245,Glas Bheinn Mhor,997.7,3273,215327,742982,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,NA
241,Stob Coir' an Albannaich,1044,3425,216952,744303,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,2021: Stob Coire an Albannaich; spelt Coir' on all maps
258,Meall nan Eun,928,3045,219248,744903,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,NA
237,Stob Ghabhar,1090,3576,223017,745515,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,NA
247,Stob Ghabhar - Aonach Eagach,1000,3281,223542,745359,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,NA,NA,NA
248,Stob Ghabhar - Sron a' Ghearrain,990,3248,222102,745661,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,"1974: gives the 3202' spot at NN224457 on the 1968 6"" map but this is the col !"
252,Stob Ghabhar - Sron nan Giubhas,976,3202,223050,746188,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,NA,NA,1921-1969: ½ m NNE from Stob Ghabhar (1891: ½ m NE) may refer to the 972m minor summit 270m NE of the 976m top. 1974 summit is at current location.
256,Stob Ghabhar - Stob a' Bhruaich Leith,941,3087,220863,745985,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,1891: Stob a' Bruaich Leith
255,Stob a' Choire Odhair,945,3100,225731,745982,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,NA
235,Creise,1099.8,3608,223854,750645,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro,Munro,Munro,Munro,Munro,NA
240,Creise - Mam Coire Easain,1070,3510,223884,750001,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,NA,NA,NA,NA,NA,NA
236,Creise - Clach Leathad,1099,3606,224032,749320,Munro,Munro,Munro,Munro,Munro,Munro,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,NA
246,Creise - Stob a' Ghlais Choire,995.6,3266,223992,751622,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,"1891: Stob Glas Choire. 1891-1969: 3207' spot on 6"" map is an arbitrary point on the levelling line. 1974  gives the 3268' spot on the 1968 6"" map"
233,Meall a' Bhuiridh,1107.9,3635,225063,750346,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,NA
278,Ben Nevis,1344.53,4411,216666,771288,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,NA
280,Ben Nevis - Carn Dearg (NW),1221,4006,215942,771916,NA,NA,NA,NA,NA,NA,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,NA
283,Ben Nevis - Carn Dearg (NW) (old GR),1214,3983,215888,772131,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,NA,NA,NA,NA,NA,1891: Carn Dearg; 1921-1974: Carn Dearg (NW)
304,Ben Nevis - Carn Dearg (SW),1020,3346,215565,770110,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,1891: Carn Dearg
279,Aonach Beag,1234,4049,219707,771502,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,NA
294,Aonach Beag - Stob Coire Bhealaich,1101,3612,220153,770898,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,"1891: Top of Coire Bhealaich; misprint 1½ miles SE of Aonach Beag, corrected to ½m in 1921. 1974-2021 GR is for the slightly lower top 75m E"
316,Aonach Beag - Sgurr a' Bhuic,963,3159,220409,770169,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,1891: Sgor a' Bhuic
281,Aonach Mor,1220.4,4004,219306,772962,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,NA
299,Aonach Mor - Stob an Chul-Choire [Stob an Cul Choire],1070.1,3511,220309,773109,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,1891: Top of An Cul Choire; 1921-1997 Stob an Cul Choire
311,Aonach Mor - Stob Coire an Fhir Dhuibh,986,3235,220848,773611,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,NA,NA,NA,NA,NA,NA
322,Aonach Mor - Tom na Sroine,918.7,3014,220774,774515,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,Munro Top,NA
282,Carn Mor Dearg,1220,4003,217748,772172,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,Munro,NA
