INSTITUTION,ENROLLMENT,WOMEN,AMERICAN INDIAN / ALASKA NATIVE,ASIAN,BLACK,HISPANIC,NATIVE HAWAIIAN / PACIFIC ISLANDER,WHITE,TWO OR MORE RACES,UNKNOWN,"NON-
RESIDENT FOREIGN",TOTAL MINORITY
California State U. at Long BeachCalifornia,"36,809","20,989",213,"8,091","1,443","13,293",158,"7,722","1,636","1,611","2,642","24,834"
Texas State U.Texas,"36,739","20,852",109,819,"2,931","11,606",55,"18,983","1,163",576,497,"16,683"
Brigham Young U.-IdahoIdaho,"36,624","21,136",91,246,136,817,126,"20,074","1,450","9,943","3,741","2,866"
U. of North TexasTexas,"36,486","19,297",154,"1,881","4,197","6,873",41,"17,907","2,801",374,"2,258","15,947"
U. of Alabama at TuscaloosaAlabama,"36,047","19,816",138,394,"4,067","1,214",32,"27,486",885,144,"1,687","6,730"
East Los Angeles CollegeCalifornia,"36,012","17,706",67,"3,461","1,476","24,235",62,"2,320",126,"3,552",713,"29,427"
College of Southern NevadaNevada,"35,943","20,061",231,"3,385","4,240","9,534",653,"12,911","1,712","2,875",402,"19,755"
U. of Missouri at ColumbiaMissouri,"35,425","18,717",69,798,"2,553","1,165",15,"27,060",886,462,"2,417","5,486"
U. of CincinnatiOhio,"35,313","18,910",63,"1,145","2,517",985,38,"24,903",736,"1,833","3,093","5,484"
U. of GeorgiaGeorgia,"35,197","20,276",37,"2,859","2,805","1,637",37,"24,567","1,052",464,"1,739","8,427"
Texas Tech U.Texas,"35,158","16,152",113,850,"2,011","7,075",39,"20,965","1,053",247,"2,805","11,141"
Capella U.Minnesota,"35,061","26,432",196,507,"12,301","2,228",141,"13,889",713,"4,916",170,"16,086"
U. of California at DavisCalifornia,"34,508","19,508",78,"10,377",705,"5,697",145,"11,398","1,715",823,"3,570","18,717"
Iowa State U.Iowa,"34,435","15,145",80,940,891,"1,451",31,"24,843",672,"1,547","3,980","4,065"
North Carolina State U.North Carolina,"33,989","15,044",128,"1,679","2,212","1,392",27,"22,910",961,957,"3,723","6,399"
George Mason U.Virginia,"33,729","18,123",72,"5,001","3,153","3,420",122,"16,371","1,209","2,245","2,136","12,977"
San Diego State U.California,"33,483","18,661",87,"4,183","1,162","9,783",81,"11,723","1,977","2,103","2,384","17,273"
U. of South Carolina at ColumbiaSouth Carolina,"32,971","18,198",79,881,"3,438","1,309",30,"24,351","1,057",359,"1,467","6,794"
San Jose State U.California,"32,713","16,238",44,"10,381","1,029","7,407",242,"7,112","1,559","1,359","3,580","20,662"
St. Petersburg CollegeFlorida,"32,681","19,729",123,"1,083","4,474","3,637",84,"21,431",761,856,232,"10,162"
Georgia State U.Georgia,"32,556","19,208",62,"3,386","11,875","2,651",27,"10,788","1,335",926,"1,506","19,336"
U. of Colorado at BoulderColorado,"32,432","14,310",107,"1,617",512,"3,042",24,"22,878","1,236",692,"2,324","6,538"
Boston U.Massachusetts,"32,112","18,765",27,"3,448","1,190","2,419",34,"14,642",868,"3,072","6,412","7,986"
U. of UtahUtah,"31,515","14,028",126,"1,590",401,"2,718",171,"21,498",989,"1,218","2,804","5,995"
Colorado State U. at Fort CollinsColorado,"31,354","16,136",154,821,703,"2,862",33,"22,596",845,"1,430","1,910","5,418"
Utah Valley U.Utah,"31,332","13,973",223,356,277,"3,134",274,"25,033",623,690,722,"4,887"
Virginia TechVirginia,"31,224","13,241",41,"2,508","1,234","1,516",36,"20,735","1,177",964,"3,013","6,512"
Louisiana State U. at Baton RougeLouisiana,"31,044","15,969",82,"1,086","3,496","1,632",29,"22,194",697,198,"1,630","7,022"
Portland Community CollegeOregon,"30,929","16,624",318,"2,125","1,775","3,181",178,"18,720","1,655","2,177",800,"9,232"
Virginia Commonwealth U.Virginia,"30,848","17,863",84,"3,615","4,798","2,002",51,"16,093","1,282","1,251","1,672","11,832"
U. of California at San DiegoCalifornia,"30,709","14,102",43,"10,443",388,"4,493",94,"7,755","1,370",791,"5,332","16,831"
Indiana U.-Purdue U. at IndianapolisIndiana,"30,690","17,235",35,"1,294","2,945","1,557",21,"21,625",957,335,"1,921","6,809"
Brigham Young U.Utah,"30,484","13,680",112,593,157,"1,685",178,"25,208","1,029",358,"1,164","3,754"
U. of Tennessee at KnoxvilleTennessee,"30,386","15,415",73,"1,020","2,161",883,0,"23,162",744,"1,001","1,342","4,881"
Florida Atlantic U.Florida,"30,297","17,277",57,"1,318","5,678","7,255",36,"14,031",924,260,738,"15,268"
Salt Lake Community CollegeUtah,"30,248","15,495",277,"1,176",644,"4,596",347,"20,910",716,"1,239",343,"7,756"
South Texas CollegeTexas,"30,180","17,130",14,260,89,"28,206",16,871,59,663,2,"28,644"
Santa Monica CollegeCalifornia,"30,158","15,818",55,"3,095","2,743","11,564",73,"7,732","1,190",379,"3,327","18,720"
U. of California at IrvineCalifornia,"30,051","15,558",24,"10,872",545,"6,454",114,"5,971","1,190",656,"4,225","19,199"
U. at BuffaloNew York,"29,995","14,116",88,"3,322","1,726","1,435",21,"14,311",525,"1,952","6,615","7,117"
U. of IowaIowa,"29,970","15,461",50,"1,056",853,"1,730",26,"20,118",630,"1,794","3,713","4,345"
Santa Ana CollegeCalifornia,"29,590","11,251",75,"2,427",424,"15,180",88,"6,331",413,"4,387",265,"18,607"
Kent State U. at Kent (Ohio)Ohio,"29,477","17,641",69,448,"2,303",814,18,"21,353",790,"1,028","2,654","4,442"
College of DuPageIllinois,"29,476","15,730",65,"2,951","2,224","6,402",73,"16,126",594,789,252,"12,309"
San Francisco State U.California,"29,465","16,905",65,"7,888","1,378","6,737",186,"6,960","1,588","2,426","2,237","17,842"
California State U. at SacramentoCalifornia,"29,349","16,743",126,"5,910","1,608","7,794",248,"9,165","1,785","1,919",794,"17,471"
Ohio U.Ohio,"29,217","16,965",43,355,"1,488",754,21,"23,337",821,555,"1,843","3,482"
U. of KentuckyKentucky,"29,203","15,420",55,807,"1,989","1,031",26,"21,777",770,997,"1,751","4,678"
West Virginia U.West Virginia,"29,175","14,076",42,545,"1,232",935,25,"23,350",867,131,"2,048","3,646"
U. of North Carolina at Chapel HillNorth Carolina,"29,135","16,481",133,"2,410","2,304","1,895",70,"18,549","1,326",846,"1,602","8,138"
American River CollegeCalifornia,"29,133","15,759",227,"3,095","3,014","6,034",259,"13,524","1,707","1,118",155,"14,336"
Mt. San Antonio CollegeCalifornia,"29,045","14,944",50,"5,040","1,263","17,451",82,"3,504",859,299,497,"24,745"
Oregon State U.Oregon,"28,886","13,420",172,"1,901",395,"2,101",98,"18,505","1,653",859,"3,202","6,320"
Harvard U.Massachusetts,"28,791","13,969",56,"4,227","1,485","2,263",28,"13,136","1,046","1,762","4,788","9,105"
Washington State U.Washington,"28,686","14,728",169,"1,497",896,"3,077",100,"18,000","1,863","1,138","1,946","7,602"
U. of Massachusetts at AmherstMassachusetts,"28,635","14,148",47,"2,166","1,100","1,365",16,"18,404",644,"2,743","2,150","5,338"
U. of Texas at San AntonioTexas,"28,628","14,091",59,"1,485","2,471","13,849",55,"7,890",831,311,"1,677","18,750"
U. of Pittsburgh main campusPennsylvania,"28,617","14,902",17,"2,188","1,393",835,11,"19,623",733,895,"2,922","5,177"
Palm Beach State CollegeFlorida,"28,517","16,133",49,808,"6,676","7,698",55,"10,863",574,"1,291",503,"15,860"
U. of Nevada at Las VegasNevada,"28,515","15,804",94,"4,054","2,137","6,482",366,"11,278","2,308",629,"1,167","15,441"
El Paso Community CollegeTexas,"28,308","16,097",97,196,680,"24,203",43,"2,215",10,316,548,"25,229"
Pima Community CollegeArizona,"28,070","15,003",656,802,"1,205","11,576",86,"11,823",901,836,185,"15,226"
Collin CollegeTexas,"27,991","15,620",124,"2,396","3,383","5,191",80,"14,788",926,213,890,"12,100"
U. of Illinois at ChicagoIllinois,"27,969","15,010",29,"5,229","2,194","5,435",63,"11,211",618,594,"2,596","13,568"
San Jacinto College-Central CampusTexas,"27,911","15,561",47,"1,370","2,693","13,794",35,"7,960",589,925,498,"18,528"
U. of New MexicoNew Mexico,"27,844","15,375","1,421",912,682,"11,308",45,"10,762",854,571,"1,289","15,222"
Northern Arizona U.Arizona,"27,705","16,316",838,468,888,"5,368",62,"17,280","1,337",218,"1,246","8,961"
Portland State U.Oregon,"27,696","14,811",376,"2,024",886,"2,664",164,"16,493","1,314","1,446","2,329","7,428"
Utah State U.Utah,"27,662","14,958",491,291,234,"1,528",81,"21,932",474,"1,828",803,"3,099"
Tidewater Community CollegeVirginia,"27,646","16,435",153,"1,099","9,335","1,986",189,"13,252","1,295",231,106,"14,057"
U. of Wisconsin at MilwaukeeWisconsin,"27,596","14,575",119,"1,581","2,169","2,154",21,"19,084",843,61,"1,564","6,887"
Columbia U.New York,"27,589","13,993",69,"3,474","1,411","2,188",27,"9,585",734,"1,781","8,320","7,903"
Wayne State U.Michigan,"27,578","15,409",82,"2,057","4,881",983,35,"15,004",689,"1,572","2,275","8,727"
East Carolina U.North Carolina,"27,511","16,451",181,782,"4,359","1,498",26,"19,058",788,567,252,"7,634"
Hillsborough Community CollegeFlorida,"27,298","15,559",123,769,"4,757","6,966",50,"9,857",626,"3,326",824,"13,291"
U. of Oklahoma at NormanOklahoma,"27,261","13,323","1,078","1,352","1,432","2,196",38,"16,363","1,723","1,081","1,998","7,819"
U. of North Carolina at CharlotteNorth Carolina,"27,238","13,477",81,"1,343","4,410","2,000",30,"16,102",856,723,"1,693","8,720"
U. of KansasKansas,"27,180","13,950",142,"1,081","1,133","1,554",22,"19,137","1,096",579,"2,436","5,028"
Cuyahoga Community CollegeOhio,"27,084","16,290",160,616,"8,129","1,329",0,"14,357",636,"1,395",462,"10,870"
Central Michigan U.Michigan,"26,879","15,307",181,317,"3,016",901,24,"19,659",604,"1,067","1,110","5,043"
Central New Mexico Community CollegeNew Mexico,"26,771","15,081","1,848",565,767,"12,734",71,"8,309",611,890,976,"16,596"
Pasadena City CollegeCalifornia,"26,611","13,849",28,"6,150","1,200","12,963",33,"2,460","2,523",266,988,"22,897"
City U. of New York Borough of Manhattan Community CollegeNew York,"26,606","15,211",75,"3,083","7,190","11,656",105,"2,533",406,0,"1,558","22,515"
Suffolk County Community College Central AdministrationNew York,"26,600","14,058",83,755,"2,076","4,756",15,"13,767",149,"4,914",85,"7,834"
U. of ConnecticutConnecticut,"26,541","13,359",41,"2,320","1,353","1,928",16,"15,600",597,"1,986","2,700","6,255"
Drexel U.Pennsylvania,"26,359","13,833",40,"3,083","2,055","1,424",108,"14,559",691,"1,100","3,299","7,401"
U. of Arkansas at FayettevilleArkansas,"26,237","13,395",323,649,"1,330","1,666",22,"19,813",778,131,"1,525","4,768"
Oklahoma State U. at StillwaterOklahoma,"25,962","12,577","1,231",419,"1,140","1,344",19,"17,717","1,894",244,"1,954","6,047"
Weber State U.Utah,"25,954","13,866",95,317,320,"2,430",98,"12,902",425,"8,964",403,"3,685"
Auburn U.Alabama,"25,912","12,798",183,601,"1,886",599,0,"20,855",0,361,"1,427","3,269"
Kennesaw State U.Georgia,"25,714","14,933",60,861,"4,845","1,862",39,"15,708","1,018",773,548,"8,685"
George Washington U.District of Columbia,"25,613","14,603",61,"2,254","2,227","1,603",38,"13,430",561,"1,769","3,670","6,744"
Montgomery CollegeMaryland,"25,517","13,455",79,"2,849","7,255","5,440",72,"6,709",616,40,"2,457","16,311"
Florida State College at JacksonvilleFlorida,"25,514","15,280",79,913,"6,481","1,725",127,"12,470",563,"2,943",213,"9,888"
Grand Valley State U.Michigan,"25,094","14,961",95,476,"1,290","1,090",13,"20,877",744,108,401,"3,708"
Fullerton CollegeCalifornia,"25,051","12,852",71,"3,403",792,"13,042",95,"5,711",788,855,294,"18,191"
U. of Nebraska at LincolnNebraska,"25,006","11,944",57,564,625,"1,148",16,"18,914",585,612,"2,485","2,995"
Old Dominion U.Virginia,"24,932","13,718",89,995,"5,980","1,578",98,"13,037","1,319","1,016",820,"10,059"
Palomar CollegeCalifornia,"24,914","11,206",224,"1,643",773,"9,586",141,"10,440","1,102",750,255,"13,469"
U. of PennsylvaniaPennsylvania,"24,806","13,067",21,"3,717","1,483","1,799",8,"11,248",777,"1,194","4,559","7,805"
Kansas State U.Kansas,"24,766","12,216",94,381,954,"1,419",36,"18,549",695,391,"2,247","3,579"
State U. of New York at Stony BrookNew York,"24,607","12,022",33,"4,631","1,459","2,258",26,"9,703",461,"1,887","4,149","8,868"
California State U. at Los AngelesCalifornia,"24,488","14,269",26,"3,748","1,041","13,881",70,"2,215",433,"1,078","1,996","19,199"
Columbus State Community CollegeOhio,"24,448","13,150",89,774,"4,746","1,030",29,"15,378",895,"1,209",298,"7,563"
Long Beach City CollegeCalifornia,"24,403","13,303",53,"2,753","3,329","13,214",175,"3,561","1,043",120,155,"20,567"
DeVry U. of IllinoisIllinois,"24,220","13,265",122,877,"5,026","2,847",89,"10,537",248,"4,039",435,"9,209"
El Camino CollegeCalifornia,"24,207","12,487",35,"3,150","3,884","11,979",120,"3,212","1,069",170,588,"20,237"
San Diego Mesa CollegeCalifornia,"24,159","12,497",89,"3,833","1,571","8,022",155,"7,819","1,424",436,810,"15,094"
Nova Southeastern U.Florida,"24,148","16,836",42,"1,491","5,374","6,150",13,"7,942",428,"1,739",969,"13,498"
U. of OregonOregon,"24,096","12,597",162,"1,280",482,"2,042",99,"15,039","1,328",529,"3,135","5,393"
Oakland Community CollegeMichigan,"24,031","13,584",103,782,"5,821",694,51,"14,115",647,839,979,"8,098"
California State Polytechnic U. at PomonaCalifornia,"23,966","10,631",47,"5,733",782,"9,052",63,"4,966",918,"1,170","1,235","16,595"
U. of AkronOhio,"23,962","11,697",43,578,"2,806",554,17,"17,240",699,635,"1,390","4,697"
Western Michigan U.Michigan,"23,914","12,214",106,388,"2,634","1,117",28,"16,843",696,248,"1,854","4,969"
DePaul U.Illinois,"23,799","12,650",19,"1,777","2,123","3,388",37,"12,871",795,"1,408","1,381","8,139"
U. of VirginiaVirginia,"23,732","12,825",37,"2,392","1,309","1,242",11,"14,611",882,"1,235","2,013","5,873"
City College of San FranciscoCalifornia,"23,610","12,480",59,"7,972","1,954","5,627",166,"5,409","1,082",463,878,"16,860"
Des Moines Area Community CollegeIowa,"23,526","12,463",88,845,"1,440","1,509",14,"17,859",574,"1,012",185,"4,470"
Sacramento City CollegeCalifornia,"23,317","13,201",131,"4,578","2,883","6,858",287,"6,405","1,396",427,352,"16,133"
U. of Phoenix-CaliforniaCalifornia,"23,257","11,938",73,950,"2,519","5,578",407,"3,841","1,440","8,035",414,"10,967"
California State U. at FresnoCalifornia,"23,179","13,480",82,"3,424",822,"10,049",54,"5,645",671,"1,289","1,143","15,102"
Santa Rosa Junior CollegeCalifornia,"23,144","12,698",175,"1,127",600,"7,089",85,"12,747","1,151",132,38,"10,227"
City U. of New York Hunter CollegeNew York,"23,112","15,648",40,"4,645","2,510","5,623",133,"8,544",378,0,"1,239","13,329"
Georgia Institute of TechnologyGeorgia,"23,109","6,969",16,"3,583","1,298","1,290",18,"11,094",683,176,"4,951","6,888"
De Anza CollegeCalifornia,"23,104","11,187",33,"7,956",784,"6,081",88,"4,774","1,072",206,"2,110","16,014"
U. of Texas at DallasTexas,"23,095","9,991",42,"4,605","1,199","2,956",29,"7,674",713,425,"5,452","9,544"
U. of Texas at El PasoTexas,"23,079","12,457",53,209,636,"18,357",27,"1,978",135,148,"1,536","19,417"
U. of California at Santa BarbaraCalifornia,"23,051","11,878",45,"4,106",472,"5,366",24,"8,854","1,732",689,"1,763","11,745"
Macomb Community CollegeMichigan,"22,914","12,139",125,832,"2,711",512,29,"15,913",371,"2,106",315,"4,580"
Community College of Baltimore CountyMaryland,"22,887","13,867",96,"1,221","8,800","1,012",54,"9,960",782,105,857,"11,965"
U. of Colorado at DenverColorado,"22,791","12,898",91,"1,755",889,"3,243",29,"12,699",765,"1,585","1,735","6,772"
Middle Tennessee State U.Tennessee,"22,729","12,327",71,589,"4,407",917,22,"14,973",647,175,928,"6,653"
Mesa Community CollegeArizona,"22,711","11,514",855,897,"1,409","5,261",96,"11,467",465,"1,734",527,"8,983"
U. of DelawareDelaware,"22,680","12,757",17,"1,018","1,232","1,461",21,"16,007",576,339,"2,009","4,325"
Everest U.-South Orlando Campus (Fla.)Florida,"22,535","17,634",212,76,"10,830","1,221",98,"7,741",892,"1,465",0,"13,329"
U. of MississippiMississippi,"22,503","12,625",64,429,"3,178",610,23,"16,882",471,53,793,"4,775"
Eastern Michigan U.Michigan,"22,401","13,362",52,565,"4,059",830,15,"14,859",704,562,755,"6,225"
Nassau Community CollegeNew York,"22,374","11,276",56,"1,470","5,036","5,126",83,"9,210",3,"1,122",268,"11,774"
Fresno City CollegeCalifornia,"22,307","11,653",133,"3,213","1,392","11,534",41,"5,075",559,354,6,"16,872"
Towson U.Maryland,"22,285","13,813",33,"1,049","3,456","1,196",26,"13,974",813,"1,194",544,"6,573"
Boise State U.Idaho,"22,227","12,120",132,436,357,"2,149",71,"16,919",697,650,816,"3,842"
Clemson U.South Carolina,"21,857","10,160",41,389,"1,347",593,14,"16,876",465,563,"1,569","2,849"
Missouri State U.Missouri,"21,816","12,732",133,308,820,692,28,"17,456",613,404,"1,362","2,594"
Orange Coast CollegeCalifornia,"21,775","10,394",52,"4,312",346,"7,394",63,"7,349",933,370,956,"13,100"
Cerritos CollegeCalifornia,"21,774","11,906",549,"1,902","1,154","14,892",104,"1,602",343,"1,065",163,"18,944"
Cornell U.New York,"21,679","10,507",64,"3,129","1,059","1,994",15,"8,599",762,"1,673","4,384","7,023"
Metropolitan State College of DenverColorado,"21,674","11,705",140,764,"1,282","4,576",57,"13,111",818,816,110,"7,637"
U. of LouisvilleKentucky,"21,561","11,118",34,749,"2,247",813,14,"16,243",784,60,617,"4,641"
Colorado Technical U. OnlineColorado,"21,558","13,569",264,199,"7,806","1,372",114,"9,507",811,"1,475",10,"10,566"
Northwestern U.Illinois,"21,554","10,109",22,"2,865","1,058","1,662",12,"10,394",702,"1,502","3,337","6,321"
U. of California at RiversideCalifornia,"21,498","10,936",39,"7,044",920,"7,120",75,"3,550",791,320,"1,639","15,989"
Thomas Edison State U.New Jersey,"21,495","10,430",135,839,"3,153","1,807",138,"11,979",350,"2,872",222,"6,422"
Syracuse U.New York,"21,492","11,592",131,"1,354","1,656","1,855",19,"11,258",494,736,"3,989","5,509"
Wake Technical Community CollegeNorth Carolina,"21,384","11,813",105,595,"5,222","1,798",28,"10,744",628,683,"1,581","8,376"
Johns Hopkins U.Maryland,"21,372","11,109",35,"2,919","1,419","1,498",27,"10,176",690,838,"3,770","6,588"
Georgia State U.Õs Perimeter CollegeGeorgia,"21,371","12,458",50,"2,021","8,804","1,792",25,"6,573",744,241,"1,121","13,436"
Columbia Southern U.Alabama,"21,359","8,406",173,629,"5,373","1,248",44,"11,663",561,"1,652",16,"8,028"
San Antonio CollegeTexas,"21,280","12,450",63,602,"1,341","12,506",33,"5,949",667,21,98,"15,212"
Saint Louis Community College at Forest ParkMissouri,"21,218","12,578",65,739,"6,960",606,29,"11,663",705,173,278,"9,104"
U. of MemphisTennessee,"21,059","12,572",53,625,"7,135",757,26,"10,801",630,406,626,"9,226"
Los Angeles Pierce CollegeCalifornia,"21,034","11,357",40,"2,307","1,240","9,769",36,"6,065",641,743,193,"14,033"
U. of Texas-Pan AmericanTexas,"21,015","11,866",9,310,149,"18,694",16,760,74,456,547,"19,252"
James Madison U.Virginia,"20,855","12,428",31,889,863,"1,043",39,"16,110",709,676,495,"3,574"
Ball State U.Indiana,"20,655","12,538",26,215,"1,378",692,24,"16,267",411,849,793,"2,746"
U. of ToledoOhio,"20,626","10,295",36,594,"2,455",836,15,"13,798",480,724,"1,688","4,416"
Illinois State U.Illinois,"20,615","11,549",24,434,"1,454","1,711",18,"15,968",478,103,425,"4,119"
Northern Illinois U.Illinois,"20,611","10,442",30,984,"2,825","2,531",22,"12,318",569,242,"1,090","6,961"
Central Texas CollegeTexas,"20,547","9,797",210,606,"5,579","4,126",315,"8,264",528,872,47,"11,364"
Oakland U.Michigan,"20,519","11,927",79,955,"1,601",565,17,"15,136",492,"1,024",650,"3,709"
Georgia Southern U.Georgia,"20,517","10,716",89,280,"5,249","1,235",22,"12,516",383,386,357,"7,258"
Glendale Community College (Ariz.)Arizona,"20,506","10,925",312,908,"1,327","6,690",59,"9,352",443,"1,139",276,"9,739"
St. John's U. (N.Y.)New York,"20,445","11,611",42,"3,051","2,691","2,690",54,"8,597",642,"1,339","1,339","9,170"
City U. of New York La Guardia Community CollegeNew York,"20,231","11,555",70,"3,438","3,686","9,050",72,"2,291",195,0,"1,429","16,511"
Harrisburg Area Community CollegePennsylvania,"20,230","12,670",67,622,"2,154","2,011",43,"13,937",528,490,378,"5,425"
Rio Salado CollegeArizona,"20,215","12,497",355,658,"1,532","3,461",40,"10,709",273,"3,056",131,"6,319"
California Polytechnic State U. at San Luis ObispoCalifornia,"20,186","9,298",32,"2,344",142,"3,050",40,"11,827","1,385",986,380,"6,993"
Western Kentucky U.Kentucky,"20,171","11,710",46,210,"1,938",515,18,"15,314",444,252,"1,434","3,171"
Mississippi State U.Mississippi,"20,138","9,786",104,263,"3,871",457,17,"14,209",273,164,780,"4,985"
Diablo Valley CollegeCalifornia,"20,089","10,285",38,"3,107","1,127","4,626",90,"7,726","1,532",263,"1,580","10,520"
