rank,name,state_name,early_career_pay,mid_career_pay,make_world_better_percent,stem_percent
3,University of Arkansas for Medical Sciences,Arkansas,51700,89100,84,3
4,Harding University,Arkansas,49200,88600,47,10
5,John Brown University,Arkansas,47000,82700,53,9
6,Arkansas State University-Main Campus,Arkansas,44600,81400,52,7
7,University of Arkansas at Little Rock,Arkansas,45600,80800,55,13
8,Ouachita Baptist University,Arkansas,44100,80200,58,18
9,Southern Arkansas University Main Campus,Arkansas,42800,80100,56,53
10,Henderson State University,Arkansas,42900,79800,57,5
10,University of Central Arkansas,Arkansas,44900,79800,52,8
12,University of Arkansas at Monticello,Arkansas,43500,78300,61,2
13,Arkansas Tech University,Arkansas,45000,76900,54,7
14,University of the Ozarks,Arkansas,42300,74500,58,16
15,Lyon College,Arkansas,41200,74300,53,33
16,University of Arkansas-Fort Smith,Arkansas,40700,71100,55,9
17,University of Arkansas at Pine Bluff,Arkansas,40500,70500,67,22
18,Central Baptist College,Arkansas,36900,68000,NA,3
19,Philander Smith College,Arkansas,34600,61200,NA,26
1,Harvey Mudd College,California,88800,158200,55,85
2,Samuel Merritt University,California,91200,154100,90,0
3,California Institute of Technology,California,84100,151600,53,97
4,Stanford University,California,79000,145200,56,51
5,Charles R Drew University of Medicine and Science,California,78300,135700,NA,3
6,Santa Clara University,California,69900,134700,44,29
7,University of California-Berkeley,California,70700,131800,49,36
8,California State University Maritime Academy,California,70500,129600,57,15
9,Claremont McKenna College,California,68500,125400,43,16
10,University of California-San Diego,California,63400,123700,52,58
11,University of Southern California,California,64500,120600,47,23
12,California Polytechnic State University-San Luis Obispo,California,65600,119500,51,38
13,Pomona College,California,63800,117200,47,37
14,University of California-Santa Barbara,California,59700,116300,47,29
15,University of California-Los Angeles,California,62000,116100,48,31
16,University of California-Irvine,California,59600,116000,49,34
17,San Jose State University,California,63000,114700,53,28
18,Loyola Marymount University,California,58500,113300,39,9
19,University of California-Davis,California,61500,112600,52,35
20,Menlo College,California,61900,112400,59,0
21,California State Polytechnic University-Pomona,California,57700,110800,50,30
21,Saint Mary's College of California,California,59900,110800,51,5
23,University of San Francisco,California,60600,109900,52,6
24,Golden Gate University-San Francisco,California,59200,109800,49,3
25,University of San Diego,California,58900,109400,48,12
1,Colorado School of Mines,Colorado,75600,139600,60,93
2,United States Air Force Academy,Colorado,76300,138100,69,43
3,University of Colorado Boulder,Colorado,57800,109900,48,39
4,University of Denver,Colorado,55700,105100,48,12
5,Colorado College,Colorado,53100,97900,48,23
6,Colorado State University-Fort Collins,Colorado,53500,96100,51,28
7,University of Colorado Denver/Anschutz Medical Campus,Colorado,53200,95600,52,17
8,Regis University,Colorado,55500,94800,58,13
9,University of Colorado Colorado Springs,Colorado,52200,90900,53,21
10,Colorado State University-Pueblo,Colorado,48100,87600,62,13
11,Metropolitan State University of Denver,Colorado,49400,87200,51,11
12,University of Northern Colorado,Colorado,47700,87100,52,7
13,Fort Lewis College,Colorado,48300,82600,55,19
14,Western State Colorado University,Colorado,44800,81500,47,19
14,Colorado Mesa University,Colorado,47800,81500,55,7
16,Adams State University,Colorado,44400,81400,56,3
17,Colorado Christian University,Colorado,46800,80100,70,2
18,Johnson & Wales University-Denver,Colorado,41500,74800,39,0
19,Nazarene Bible College,Colorado,33600,60100,NA,0
1,Yale University,Connecticut,70300,138300,53,22
2,United States Coast Guard Academy,Connecticut,67300,118100,68,69
3,Wesleyan University,Connecticut,61600,117000,53,21
4,Fairfield University,Connecticut,62300,116900,41,17
5,Trinity College,Connecticut,60100,110900,49,22
6,University of Connecticut,Connecticut,59100,105200,48,24
7,University of Hartford,Connecticut,55200,101600,53,15
8,Connecticut College,Connecticut,57500,100800,36,30
9,Sacred Heart University,Connecticut,55000,100500,46,15
10,Quinnipiac University,Connecticut,55900,97700,46,10
11,University of New Haven,Connecticut,52100,94800,52,25
12,Central Connecticut State University,Connecticut,53100,93700,45,15
13,University of Bridgeport,Connecticut,49900,93600,59,31
14,University of Saint Joseph,Connecticut,49900,88800,63,9
15,Western Connecticut State University,Connecticut,51700,88100,50,6
16,St Vincent's College,Connecticut,46800,87900,NA,0
17,Eastern Connecticut State University,Connecticut,49200,87800,43,14
18,Charter Oak State College,Connecticut,49200,85900,68,2
18,Albertus Magnus College,Connecticut,49700,85900,62,2
20,Southern Connecticut State University,Connecticut,48500,83600,51,6
1,University of Delaware,Delaware,58600,105400,43,22
2,Goldey-Beacom College,Delaware,49800,86900,42,25
3,Delaware State University,Delaware,46300,81900,62,10
4,Wesley College,Delaware,45400,77300,50,2
5,Wilmington University,Delaware,45100,76600,50,4
1,Embry-Riddle Aeronautical University-Daytona Beach,Florida,63300,111200,58,35
2,Polytechnic University of Puerto Rico-Miami,Florida,60600,108300,61,10
3,Florida Institute of Technology,Florida,58300,105400,53,48
4,University of Florida,Florida,55800,102800,52,29
5,Polytechnic University of Puerto Rico-Orlando,Florida,57600,102200,66,29
6,University of Miami,Florida,56200,99600,48,22
7,Embry-Riddle Aeronautical University-Worldwide,Florida,55800,96800,67,3
8,Florida State University,Florida,50800,92700,49,18
9,The University of Tampa,Florida,49200,91500,48,8
10,University of South Florida-Main Campus,Florida,49700,91300,49,25
11,Florida Atlantic University,Florida,49400,91200,51,15
12,Jacksonville University,Florida,50100,90400,66,5
13,Florida International University,Florida,49600,90100,51,16
14,Adventist University of Health Sciences,Florida,51600,89800,88,5
14,Nova Southeastern University,Florida,50200,89800,60,9
16,University of Central Florida,Florida,49700,88600,50,16
17,Eckerd College,Florida,49200,88400,52,25
18,Rollins College,Florida,49000,87000,53,7
19,University of North Florida,Florida,48800,86600,51,11
20,New College of Florida,Florida,47300,86500,40,4
21,Stetson University,Florida,47000,86000,44,7
22,Lynn University,Florida,46100,85000,45,2
23,St Thomas University,Florida,47400,84500,57,4
24,Barry University,Florida,47400,84400,66,12
25,Florida Agricultural and Mechanical University,Florida,48000,83900,62,8
1,Georgia Institute of Technology-Main Campus,Georgia,72700,133400,48,80
2,Emory University,Georgia,62000,110800,44,20
3,University of Georgia,Georgia,54400,100700,45,14
4,Morehouse College,Georgia,55700,98700,58,26
5,Kennesaw State University,Georgia,52500,94600,46,22
6,Oglethorpe University,Georgia,52400,91400,50,12
7,Georgia State University,Georgia,50600,90800,47,18
8,Georgia Southern University,Georgia,49000,88000,49,17
9,University of North Georgia,Georgia,47300,85600,51,8
10,Spelman College,Georgia,50200,85400,52,24
11,Mercer University,Georgia,48500,85100,62,14
12,Berry College,Georgia,44900,84900,44,21
13,Augusta University,Georgia,47000,84400,69,10
14,Agnes Scott College,Georgia,46000,83600,57,26
15,University of West Georgia,Georgia,46700,82700,51,9
16,Armstrong State University,Georgia,46600,81500,60,10
17,Clayton  State University,Georgia,46400,81200,54,9
18,Clark Atlanta University,Georgia,46300,81100,54,15
19,Valdosta State University,Georgia,43400,81000,57,7
20,Georgia College & State University,Georgia,45300,80300,51,12
21,Savannah College of Art and Design,Georgia,46800,80100,34,3
22,Shorter University,Georgia,45600,79900,55,6
23,Middle Georgia State University,Georgia,44000,79800,57,11
24,Covenant College,Georgia,44400,79400,62,19
25,Columbus State University,Georgia,43300,77900,59,10
1,Brigham Young University-Hawaii,Hawaii,51700,93900,57,12
2,Hawaii Pacific University,Hawaii,52200,93500,56,15
3,University of Hawaii at Manoa,Hawaii,51600,91600,56,18
4,Chaminade University of Honolulu,Hawaii,45400,84000,55,3
5,University of Hawaii at Hilo,Hawaii,44000,77200,59,14
6,University of Hawaii-West Oahu,Hawaii,41300,74300,56,0
1,University of Idaho,Idaho,52300,97700,54,22
2,Brigham Young University-Idaho,Idaho,53700,93500,59,14
3,Idaho State University,Idaho,50800,91800,64,12
4,Boise State University,Idaho,50100,86400,55,14
5,The College of Idaho,Idaho,44700,82100,48,17
6,Northwest Nazarene University,Idaho,46200,80600,68,7
7,Lewis-Clark State College,Idaho,44900,77600,60,5
1,Illinois Institute of Technology,Illinois,64600,118500,47,64
2,Northwestern University,Illinois,63400,115400,46,20
3,University of Illinois at Urbana-Champaign,Illinois,62600,115300,44,36
4,University of Chicago,Illinois,64000,114200,41,22
5,Rush University,Illinois,63500,107600,88,6
6,Bradley University,Illinois,55600,104900,46,38
7,University of Illinois at Chicago,Illinois,56300,103800,48,31
8,DePaul University,Illinois,55700,102900,43,15
9,Lake Forest College,Illinois,55400,102600,46,21
10,St. John's College-Department of Nursing,Illinois,55100,100000,NA,0
11,Wheaton College (Illinois),Illinois,53700,99700,55,12
12,Illinois Wesleyan University,Illinois,53100,96000,44,18
12,Loyola University Chicago,Illinois,53400,96000,45,15
14,Northern Illinois University,Illinois,53000,95500,47,20
15,Knox College,Illinois,50600,95400,45,24
16,Illinois State University,Illinois,51200,95000,47,10
17,Principia College,Illinois,52600,94900,56,19
18,Lakeview College of Nursing,Illinois,55000,94100,83,0
19,North Central College,Illinois,50400,92900,45,9
20,Saint Xavier University,Illinois,49400,91200,60,10
21,Southern Illinois University-Carbondale,Illinois,49700,90900,54,17
22,Saint Francis Medical Center College of Nursing,Illinois,52800,90800,NA,0
23,Methodist College,Illinois,51400,90500,NA,0
24,Southern Illinois University-Edwardsville,Illinois,51400,90100,50,21
25,Lewis University,Illinois,49700,89800,53,14
1,Rose-Hulman Institute of Technology,Indiana,75000,135800,51,96
2,University of Notre Dame,Indiana,67000,130500,45,28
3,Wabash College,Indiana,62200,114400,40,34
4,Purdue University-Main Campus,Indiana,60900,110000,48,38
5,DePauw University,Indiana,56600,101000,47,24
6,Trine University,Indiana,55100,100300,56,26
7,Butler University,Indiana,51800,99300,53,9
8,Valparaiso University,Indiana,53300,98000,52,31
9,Indiana University-Bloomington,Indiana,53600,97100,47,16
10,Taylor University,Indiana,48700,90600,59,16
11,University of Evansville,Indiana,50300,89900,54,17
12,Saint Mary's College,Indiana,49700,89300,54,15
13,Earlham College,Indiana,49100,88400,57,31
14,Indiana University-Purdue University-Indianapolis,Indiana,50500,88200,55,15
15,Holy Cross College,Indiana,48100,87800,NA,0
16,Franklin College,Indiana,48900,86200,45,21
17,Indiana State University,Indiana,47900,85600,55,8
18,Hanover College,Indiana,47500,85100,53,24
19,Indiana Institute of Technology,Indiana,50000,84900,46,11
20,Manchester University,Indiana,46900,84700,56,10
21,University of Indianapolis,Indiana,47300,84500,55,5
22,Ball State University,Indiana,45600,83700,48,7
22,University of Saint Francis-Fort Wayne,Indiana,45700,83700,63,5
24,Indiana University-Purdue University-Fort Wayne,Indiana,47300,83200,52,17
25,Marian University (Indiana),Indiana,48400,82000,51,3
1,Iowa State University,Iowa,56100,101300,48,31
2,Drake University,Iowa,52800,99900,49,7
3,University of Iowa,Iowa,54100,99400,48,16
4,Grinnell College,Iowa,53400,96500,49,41
5,Allen College,Iowa,51600,91300,NA,0
6,Cornell College,Iowa,49600,90600,47,22
7,Loras College,Iowa,48000,90100,56,14
8,Dordt College,Iowa,51000,89600,57,17
9,Central College,Iowa,49000,88800,55,36
10,Graceland University-Lamoni,Iowa,48300,88700,66,5
11,Simpson College,Iowa,49900,88600,47,17
12,Wartburg College,Iowa,49300,88000,49,34
13,Coe College,Iowa,47200,86900,41,24
14,Luther College,Iowa,48200,85900,49,21
15,University of Northern Iowa,Iowa,47100,85300,46,8
16,Maharishi University of Management,Iowa,46800,85200,NA,65
17,Saint Ambrose University,Iowa,46900,84400,48,8
18,Northwestern College,Iowa,44800,82400,42,11
19,Morningside College,Iowa,44900,82100,60,6
20,Clarke University,Iowa,44900,80200,52,6
21,University of Dubuque,Iowa,44200,79700,48,7
22,Mount Mercy University,Iowa,47200,79000,51,4
23,William Penn University,Iowa,43900,78300,59,7
24,Upper Iowa University,Iowa,44200,78000,56,3
25,Iowa Wesleyan University,Iowa,42600,77200,60,8
1,University of Kansas,Kansas,53000,98600,52,16
2,Kansas State University,Kansas,52500,97200,51,18
3,Benedictine College,Kansas,48700,91800,69,13
4,Ottawa University-Ottawa,Kansas,49800,89900,57,7
5,University of Saint Mary,Kansas,49500,89700,61,6
6,Newman University,Kansas,48000,88500,66,11
7,Wichita State University,Kansas,48700,87300,57,24
8,Ottawa University-Online,Kansas,47300,84900,NA,7
8,Pittsburg State University,Kansas,47100,84900,51,8
10,Baker University,Kansas,47800,84200,55,2
11,Southwestern College (Kansas),Kansas,48500,83500,61,10
12,Washburn University,Kansas,47000,83000,54,4
13,Ottawa University-Kansas City,Kansas,45200,82600,NA,9
14,McPherson College,Kansas,44500,80900,59,9
15,Kansas Wesleyan University,Kansas,44700,79400,61,10
16,Fort Hays State University,Kansas,45100,79300,64,6
17,Sterling College,Kansas,42700,79100,73,7
18,MidAmerica Nazarene University,Kansas,46200,78500,60,1
19,Emporia State University,Kansas,43500,78000,60,9
20,Tabor College,Kansas,43300,77500,62,7
21,Friends University,Kansas,44700,76500,59,14
22,Bethel College-North Newton,Kansas,42700,73800,54,12
23,Bethany College (Kansas),Kansas,39100,73200,61,17
24,Manhattan Christian College,Kansas,39400,72200,NA,0
25,Central Christian College of Kansas,Kansas,37100,66100,NA,2
1,University of Kentucky,Kentucky,51700,96400,48,19
2,Thomas More College,Kentucky,50000,90900,56,8
3,Bellarmine University,Kentucky,49000,90700,54,11
4,Centre College,Kentucky,49500,88500,52,22
5,University of Louisville,Kentucky,49500,87600,50,18
6,Northern Kentucky University,Kentucky,49000,87400,46,12
7,Transylvania University,Kentucky,47900,85600,51,25
8,Western Kentucky University,Kentucky,45500,83100,49,10
9,Georgetown College,Kentucky,45000,81900,54,10
10,Brescia University,Kentucky,44300,81200,53,7
11,Eastern Kentucky University,Kentucky,45600,80700,56,5
12,Murray State University,Kentucky,44800,79900,56,9
13,Spalding University,Kentucky,44800,79200,71,0
14,Kentucky Wesleyan College,Kentucky,42100,76800,65,14
15,Union College (Kentucky),Kentucky,40400,76000,37,4
16,Morehead State University,Kentucky,41300,74900,56,9
17,University of the Cumberlands,Kentucky,39800,73800,63,8
18,Kentucky State University,Kentucky,40700,73100,57,13
19,Berea College,Kentucky,39500,71600,53,27
20,Asbury University,Kentucky,39400,70800,59,4
21,University of Pikeville,Kentucky,39000,70700,74,11
22,Kentucky Christian University,Kentucky,39600,70300,68,3
22,Midway University,Kentucky,39200,70300,53,3
24,Campbellsville University,Kentucky,37600,66800,50,7
25,Lindsey Wilson College,Kentucky,35300,64100,52,2
1,Tulane University of Louisiana,Louisiana,56800,105300,44,22
2,Louisiana State University and Agricultural & Mechanical College,Louisiana,54800,102900,53,24
3,Louisiana Tech University,Louisiana,53100,100700,57,24
4,Louisiana State University Health Sciences Center-New Orleans,Louisiana,52300,94200,86,2
5,University of Louisiana at Monroe,Louisiana,48500,92500,65,7
5,University of Louisiana at Lafayette,Louisiana,48200,92500,52,19
7,University of New Orleans,Louisiana,49900,91600,55,23
8,Franciscan Missionaries of Our Lady University,Louisiana,51200,90900,87,1
9,Loyola University New Orleans,Louisiana,47900,88600,47,4
10,Centenary College of Louisiana,Louisiana,47000,88400,37,26
11,McNeese State University,Louisiana,50200,88200,57,13
11,Xavier University of Louisiana,Louisiana,46700,88200,63,35
13,University of Holy Cross,Louisiana,48400,86300,69,3
14,Nicholls State University,Louisiana,44500,84300,53,5
15,Southeastern Louisiana University,Louisiana,46700,83900,51,8
16,Southern University and A&M College,Louisiana,48000,83100,65,17
17,Louisiana College,Louisiana,44800,79800,58,4
17,Louisiana State University-Shreveport,Louisiana,44500,79800,54,10
17,Dillard University,Louisiana,44700,79800,74,20
20,Northwestern State University of Louisiana,Louisiana,44300,79300,62,6
21,Grambling State University,Louisiana,43100,73100,66,10
22,Southern University at New Orleans,Louisiana,40100,71000,76,13
23,New Orleans Baptist Theological Seminary,Louisiana,33900,61500,NA,0
1,Maine Maritime Academy,Maine,67000,121800,65,48
2,Bowdoin College,Maine,61300,112000,54,37
3,Bates College,Maine,59500,111900,50,23
4,Colby College,Maine,59200,103300,50,25
5,University of Maine,Maine,52000,95000,50,24
6,University of New England,Maine,50100,91500,69,7
7,Saint Joseph's College of Maine,Maine,46900,84300,60,2
8,Thomas College,Maine,46100,81500,49,3
9,University of Southern Maine,Maine,46900,81300,55,8
10,Husson University,Maine,43300,77600,52,1
11,University of Maine at Fort Kent,Maine,43500,76300,73,5
12,University of Maine at Augusta,Maine,41600,73100,61,7
13,University of Maine at Farmington,Maine,41100,71700,64,5
14,University of Maine at Presque Isle,Maine,39000,70700,58,6
15,Unity College,Maine,38200,69500,NA,23
16,University of Maine at Machias,Maine,37100,66200,47,13
17,Maine College of Art,Maine,36300,64600,37,0
1,United States Naval Academy,Maryland,80100,152800,64,58
2,Capitol Technology University,Maryland,67400,118400,63,88
3,Johns Hopkins University,Maryland,67200,117100,57,31
4,University of Maryland-College Park,Maryland,61300,113400,50,33
5,Loyola University Maryland,Maryland,59900,111200,40,8
6,University of Maryland-Baltimore County,Maryland,58100,103600,54,45
7,St. John's College,Maryland,55900,101200,NA,0
8,"University of Maryland, Baltimore",Maryland,57300,99600,76,4
8,University of Maryland-University College,Maryland,55300,99600,59,27
10,Washington Adventist University,Maryland,55600,97600,63,9
11,St Mary's College of Maryland,Maryland,53300,95400,45,27
12,McDaniel College,Maryland,51100,94600,54,6
13,Mount St. Mary's University,Maryland,50200,94100,50,11
14,Washington College,Maryland,52800,93500,55,21
15,Stevenson University,Maryland,50400,91600,51,15
16,Towson University,Maryland,51200,91200,47,15
17,Goucher College,Maryland,49400,90600,42,11
18,Bowie State University,Maryland,50300,89900,65,11
19,Salisbury University,Maryland,50400,89800,51,12
20,University of Baltimore,Maryland,51000,89600,56,2
21,Frostburg State University,Maryland,49600,87000,48,19
22,University of Maryland Eastern Shore,Maryland,48300,86700,63,14
23,Notre Dame of Maryland University,Maryland,48300,86400,58,3
24,Maryland Institute College of Art,Maryland,49000,84500,40,0
25,Hood College,Maryland,47900,82600,49,32
1,Massachusetts Institute of Technology,Massachusetts,86300,155200,52,69
2,Harvard University,Massachusetts,74800,146800,54,19
3,Worcester Polytechnic Institute,Massachusetts,73600,135500,47,86
4,Babson College,Massachusetts,72000,133800,37,0
5,Williams College,Massachusetts,67500,127500,47,32
6,MCPHS University,Massachusetts,65900,121800,71,2
7,Tufts University,Massachusetts,65200,118100,49,25
8,Massachusetts Maritime Academy,Massachusetts,67900,117500,53,47
9,Bentley University,Massachusetts,66600,116600,36,7
10,Amherst College,Massachusetts,63800,116500,45,32
11,Boston College,Massachusetts,63600,115400,43,13
12,College of the Holy Cross,Massachusetts,61800,114600,46,24
13,Boston University,Massachusetts,61400,113600,43,25
14,Brandeis University,Massachusetts,60600,113200,48,29
15,Wentworth Institute of Technology,Massachusetts,62700,112700,53,39
16,Northeastern University,Massachusetts,62500,109700,46,40
17,University of Massachusetts-Lowell,Massachusetts,58800,109300,53,35
18,Wellesley College,Massachusetts,58900,106200,48,34
19,Stonehill College,Massachusetts,55900,103200,42,18
20,Western New England University,Massachusetts,56400,103000,44,21
20,University of Massachusetts-Amherst,Massachusetts,57400,103000,46,24
22,Merrimack College,Massachusetts,56000,102500,50,13
23,Clark University,Massachusetts,52600,101400,47,14
24,Smith College,Massachusetts,52700,98200,51,26
25,Wheaton College (Massachusetts),Massachusetts,52600,97500,46,28
1,Kettering University,Michigan,69900,125000,44,74
2,Michigan Technological University,Michigan,65000,116300,47,81
3,University of Michigan-Ann Arbor,Michigan,63500,112200,45,38
4,Lawrence Technological University,Michigan,57900,108400,49,60
5,Michigan State University,Michigan,55300,100800,46,20
6,University of Michigan-Dearborn,Michigan,55700,99500,39,37
7,Albion College,Michigan,52100,99300,44,23
8,Kalamazoo College,Michigan,51600,94500,52,31
9,Oakland University,Michigan,51300,93300,49,19
10,University of Detroit Mercy,Michigan,51800,92800,57,13
11,Western Michigan University,Michigan,50900,92200,47,16
12,Wayne State University,Michigan,50800,91700,53,21
13,Calvin College,Michigan,50200,91100,54,23
14,Hope College,Michigan,49200,90900,51,18
15,Alma College,Michigan,48400,89900,52,15
16,College for Creative Studies,Michigan,51200,89800,40,0
17,Ferris State University,Michigan,50000,89300,50,8
18,Eastern Michigan University,Michigan,47300,86700,50,6
19,Northwood University,Michigan,47800,86300,47,1
20,Walsh College of Accountancy and Business Administration,Michigan,49400,85200,42,5
21,Andrews University,Michigan,47600,85000,51,7
22,Cleary University,Michigan,47400,84700,50,0
23,Central Michigan University,Michigan,47700,83600,46,13
24,Lake Superior State University,Michigan,45900,83500,48,14
25,Saginaw Valley State University,Michigan,46400,82200,54,12
1,Carleton College,Minnesota,58800,109900,47,45
2,Saint Johns University,Minnesota,59400,108400,45,25
3,University of St Thomas (Minnesota),Minnesota,57500,106400,50,20
4,University of Minnesota-Twin Cities,Minnesota,57200,104000,51,30
5,St Olaf College,Minnesota,54100,101900,46,30
6,Macalester College,Minnesota,53600,100400,51,31
7,Gustavus Adolphus College,Minnesota,51200,96800,47,22
8,Dunwoody College of Technology,Minnesota,53400,96600,55,24
9,University of Minnesota-Duluth,Minnesota,53200,95700,48,30
10,Saint Mary's University of Minnesota,Minnesota,53000,93700,53,5
11,Saint Cloud State University,Minnesota,51600,91600,50,15
12,Augsburg University,Minnesota,50500,91000,52,11
13,Minnesota State University-Mankato,Minnesota,51600,90900,54,13
14,Hamline University,Minnesota,48100,90400,52,5
15,College of Saint Benedict,Minnesota,49100,88600,50,18
16,Concordia University-Saint Paul,Minnesota,49200,86800,58,5
16,Winona State University,Minnesota,49700,86800,51,10
16,The College of Saint Scholastica,Minnesota,51200,86800,64,12
19,University of Minnesota-Crookston,Minnesota,49200,86400,54,4
20,Metropolitan State University,Minnesota,50200,85900,53,11
21,Bethel University (Minnesota),Minnesota,51000,85700,65,9
22,University of Minnesota-Morris,Minnesota,46100,85300,53,27
23,Concordia College at Moorhead,Minnesota,46800,85200,63,21
24,Minneapolis College of Art and Design,Minnesota,47400,84700,39,0
25,St Catherine University,Minnesota,48800,82600,65,2
1,Mississippi State University,Mississippi,51100,94100,57,27
2,University of Mississippi,Mississippi,48500,89100,55,12
3,Millsaps College,Mississippi,49300,88700,56,24
4,University of Southern Mississippi,Mississippi,45100,83900,56,11
5,Mississippi College,Mississippi,45200,79500,57,20
6,Jackson State University,Mississippi,41700,74600,67,16
7,Belhaven University,Mississippi,41200,74300,60,2
8,Delta State University,Mississippi,40800,74200,63,5
9,William Carey University,Mississippi,41100,71800,61,6
10,Alcorn State University,Mississippi,40900,69500,67,19
10,Mississippi University for Women,Mississippi,39500,69500,63,2
12,Tougaloo College,Mississippi,36900,66400,69,18
13,Rust College,Mississippi,34800,62400,76,32
14,Mississippi Valley State University,Mississippi,32500,61900,70,11
1,Missouri University of Science and Technology,Missouri,67300,122600,50,80
2,Washington University in St Louis,Missouri,64800,114900,42,30
3,University of Missouri-Columbia,Missouri,52300,98600,49,17
4,Saint Louis University,Missouri,54200,95300,56,13
5,Barnes-Jewish College Goldfarb School of Nursing,Missouri,55000,95200,83,0
6,William Jewell College,Missouri,51400,94500,60,12
7,Rockhurst University,Missouri,54000,92500,59,11
8,Westminster College (Missouri),Missouri,49400,91600,52,25
9,University of Missouri-Kansas City,Missouri,50800,89600,55,24
10,University of Missouri-St Louis,Missouri,48700,87500,51,13
11,Missouri State University-Springfield,Missouri,45900,86800,50,9
12,Truman State University,Missouri,47900,85800,48,16
13,Northwest Missouri State University,Missouri,46900,85100,50,26
14,Park University,Missouri,48500,85000,56,7
15,Webster University,Missouri,46500,83500,50,2
16,University of Central Missouri,Missouri,46900,83300,54,45
17,Avila University,Missouri,45900,81200,68,3
18,Maryville University of Saint Louis,Missouri,46800,80100,53,2
19,Drury University,Missouri,42600,79400,60,12
20,Southeast Missouri State University,Missouri,43700,79100,52,9
21,Lindenwood University,Missouri,45100,78500,48,9
22,Kansas City Art Institute,Missouri,42500,77700,37,0
22,Missouri Western State University,Missouri,43400,77700,53,14
24,Stephens College,Missouri,42800,77200,47,6
25,Columbia College (Missouri),Missouri,44100,76600,52,2
1,Montana Tech of the University of Montana,Montana,61200,112600,64,61
2,Montana State University,Montana,53700,96200,54,31
3,Carroll College,Montana,48200,91400,55,25
4,The University of Montana,Montana,46500,87800,51,8
5,Rocky Mountain College,Montana,46000,82900,59,12
6,University of Providence,Montana,44700,81900,69,16
7,Montana State University-Billings,Montana,43300,77700,59,5
8,Montana State University-Northern,Montana,43400,75400,63,1
9,The University of Montana-Western,Montana,35400,63700,63,4
1,University of Nebraska-Lincoln,Nebraska,51500,96700,53,20
2,Creighton University,Nebraska,53500,95800,56,9
3,University of Nebraska Medical Center,Nebraska,53400,93000,79,6
4,Clarkson College,Nebraska,50900,91500,74,0
5,Nebraska Methodist College of Nursing & Allied Health,Nebraska,51300,89800,84,0
6,University of Nebraska at Omaha,Nebraska,49400,89500,52,18
7,Union College (Nebraska),Nebraska,49100,87800,55,9
8,Hastings College,Nebraska,48600,87100,55,14
9,Doane University-Arts & Sciences,Nebraska,47300,85300,51,21
10,Bellevue University,Nebraska,49400,84800,57,23
11,University of Nebraska at Kearney,Nebraska,44300,80800,52,8
12,Nebraska Wesleyan University,Nebraska,45700,80500,60,8
13,Midland University,Nebraska,43800,78100,60,7
14,College of Saint Mary,Nebraska,43900,77700,45,9
15,Doane University-Graduate and Professional Studies,Nebraska,43200,77000,54,0
16,Chadron State College,Nebraska,42300,76700,66,3
17,Peru State College,Nebraska,42600,74800,50,6
18,Wayne State College,Nebraska,40600,73400,54,11
19,Concordia University-Nebraska,Nebraska,39700,68900,48,5
1,Sierra Nevada College,Nevada,54000,95500,39,2
2,University of Nevada-Reno,Nevada,52700,95000,47,24
3,University of Nevada-Las Vegas,Nevada,50400,90400,46,12
1,Dartmouth College,New-Hampshire,71500,130900,44,35
2,Saint Anselm College,New-Hampshire,56400,100300,59,11
2,University of New Hampshire-Main Campus,New-Hampshire,54300,100300,50,23
4,University of New Hampshire at Manchester,New-Hampshire,51900,90900,50,32
