type,year,tuition_type,tuition_cost
All Institutions,2014-15,4 Year Constant,26051
All Institutions,2014-15,2 Year Constant,10409
All Institutions,2014-15,All Current,21729
All Institutions,2014-15,4 Year Current,25409
All Institutions,2014-15,2 Year Current,10153
All Institutions,2015-16,All Constant,22852
All Institutions,2015-16,4 Year Constant,26613
All Institutions,2015-16,2 Year Constant,10599
All Institutions,2015-16,All Current,22439
All Institutions,2015-16,4 Year Current,26132
All Institutions,2015-16,2 Year Current,10407
All Institutions,2016-17,All Constant,23091
All Institutions,2016-17,4 Year Constant,26593
All Institutions,2016-17,2 Year Constant,10598
All Institutions,2016-17,All Current,23091
All Institutions,2016-17,4 Year Current,26593
All Institutions,2016-17,2 Year Current,10598
Public,1985-86,All Constant,7964
Public,1985-86,4 Year Constant,8604
Public,1985-86,2 Year Constant,6647
Public,1985-86,All Current,3571
Public,1985-86,4 Year Current,3859
Public,1985-86,2 Year Current,2981
Public,1995-96,All Constant,9825
Public,1995-96,4 Year Constant,11016
Public,1995-96,2 Year Constant,6623
Public,1995-96,All Current,6256
Public,1995-96,4 Year Current,7014
Public,1995-96,2 Year Current,4217
Public,2000-01,All Constant,10514
Public,2000-01,4 Year Constant,11993
Public,2000-01,2 Year Constant,6706
Public,2000-01,All Current,7586
Public,2000-01,4 Year Current,8653
Public,2000-01,2 Year Current,4839
Public,2001-02,All Constant,10924
Public,2001-02,4 Year Constant,12523
Public,2001-02,2 Year Constant,6996
Public,2001-02,All Current,8022
Public,2001-02,4 Year Current,9196
Public,2001-02,2 Year Current,5137
Public,2002-03,All Constant,11328
Public,2002-03,4 Year Constant,13042
Public,2002-03,2 Year Constant,7464
Public,2002-03,All Current,8502
Public,2002-03,4 Year Current,9787
Public,2002-03,2 Year Current,5601
Public,2003-04,All Constant,12057
Public,2003-04,4 Year Constant,13919
Public,2003-04,2 Year Constant,7840
Public,2003-04,All Current,9247
Public,2003-04,4 Year Current,10674
Public,2003-04,2 Year Current,6012
Public,2004-05,All Constant,12487
Public,2004-05,4 Year Constant,14463
Public,2004-05,2 Year Constant,8070
Public,2004-05,All Current,9864
Public,2004-05,4 Year Current,11426
Public,2004-05,2 Year Current,6375
Public,2005-06,All Constant,12748
Public,2005-06,4 Year Constant,14765
Public,2005-06,2 Year Constant,7916
Public,2005-06,All Current,10454
Public,2005-06,4 Year Current,12108
Public,2005-06,2 Year Current,6492
Public,2012-13,All Constant,15755
Public,2012-13,4 Year Constant,18328
Public,2012-13,2 Year Constant,9363
Public,2012-13,All Current,15021
Public,2012-13,4 Year Current,17475
Public,2012-13,2 Year Current,8927
Public,2013-14,All Constant,16140
Public,2013-14,4 Year Constant,18692
Public,2013-14,2 Year Constant,9587
Public,2013-14,All Current,15628
Public,2013-14,4 Year Current,18100
Public,2013-14,2 Year Current,9283
Public,2014-15,All Constant,16597
Public,2014-15,4 Year Constant,19102
Public,2014-15,2 Year Constant,9828
Public,2014-15,All Current,16188
Public,2014-15,4 Year Current,18632
Public,2014-15,2 Year Current,9585
Public,2015-16,All Constant,17075
Public,2015-16,4 Year Constant,19558
Public,2015-16,2 Year Constant,10097
Public,2015-16,All Current,16766
Public,2015-16,4 Year Current,19204
Public,2015-16,2 Year Current,9914
Public,2016-17,All Constant,17237
Public,2016-17,4 Year Constant,19488
Public,2016-17,2 Year Constant,10091
Public,2016-17,All Current,17237
Public,2016-17,4 Year Current,19488
Public,2016-17,2 Year Current,10091
Private,1985-86,All Constant,19812
Private,1985-86,4 Year Constant,20578
Private,1985-86,2 Year Constant,14521
Private,1985-86,All Current,8885
Private,1985-86,4 Year Current,9228
Private,1985-86,2 Year Current,6512
Private,1995-96,All Constant,27027
Private,1995-96,4 Year Constant,27661
Private,1995-96,2 Year Constant,18161
Private,1995-96,All Current,17208
Private,1995-96,4 Year Current,17612
Private,1995-96,2 Year Current,11563
Private,2000-01,All Constant,29621
Private,2000-01,4 Year Constant,30290
Private,2000-01,2 Year Constant,20660
Private,2000-01,All Current,21373
Private,2000-01,4 Year Current,21856
Private,2000-01,2 Year Current,14907
Private,2001-02,All Constant,30522
Private,2001-02,4 Year Constant,31179
Private,2001-02,2 Year Constant,21550
Private,2001-02,All Current,22413
Private,2001-02,4 Year Current,22896
Private,2001-02,2 Year Current,15825
Private,2002-03,All Constant,31101
Private,2002-03,4 Year Constant,31696
Private,2002-03,2 Year Constant,23656
Private,2002-03,All Current,23340
Private,2002-03,4 Year Current,23787
Private,2002-03,2 Year Current,17753
Private,2003-04,All Constant,32109
Private,2003-04,4 Year Constant,32690
Private,2003-04,2 Year Constant,25503
Private,2003-04,All Current,24624
Private,2003-04,4 Year Current,25070
Private,2003-04,2 Year Current,19558
Private,2004-05,All Constant,32680
Private,2004-05,4 Year Constant,33241
Private,2004-05,2 Year Constant,25694
Private,2004-05,All Current,25817
Private,2004-05,4 Year Current,26260
Private,2004-05,2 Year Current,20297
Private,2005-06,All Constant,32812
Private,2005-06,4 Year Constant,33330
Private,2005-06,2 Year Constant,26101
Private,2005-06,All Current,26908
Private,2005-06,4 Year Current,27333
Private,2005-06,2 Year Current,21404
Private,2009-10,All Constant,35089
Private,2009-10,4 Year Constant,35655
Private,2009-10,2 Year Constant,27389
Private,2009-10,All Current,31341
Private,2009-10,4 Year Current,31847
Private,2009-10,2 Year Current,24463
Private,2013-14,All Constant,37173
Private,2013-14,4 Year Constant,37797
Private,2013-14,2 Year Constant,24652
Private,2013-14,All Current,35995
Private,2013-14,4 Year Current,36599
Private,2013-14,2 Year Current,23870
Private,2014-15,All Constant,38367
Private,2014-15,4 Year Constant,38947
Private,2014-15,2 Year Constant,24941
Private,2014-15,All Current,37422
Private,2014-15,4 Year Current,37988
Private,2014-15,2 Year Current,24327
Private,2015-16,All Constant,39734
Private,2015-16,4 Year Constant,40261
Private,2015-16,2 Year Constant,24824
Private,2015-16,All Current,39016
Private,2015-16,4 Year Current,39534
Private,2015-16,2 Year Current,24375
Private,2016-17,All Constant,40925
Private,2016-17,4 Year Constant,41468
Private,2016-17,2 Year Constant,24882
Private,2016-17,All Current,40925
Private,2016-17,4 Year Current,41468
Private,2016-17,2 Year Current,24882
