season,season_episode,series_episode,episode_name,episode_notes,air_date,judge1,judge2,judge3,appetizer,entree,dessert,contestant1,contestant1_info,contestant2,contestant2_info,contestant3,contestant3_info,contestant4,contestant4_info
1,11,11,"""Jumbo Shrimp, Pepperoncini, Cereal""",,"March 24, 2009",Geoffrey Zakarian,Alex Guarnaschelli,Amanda Freita," peanut butter, Granny Smith apples, jumbo shrimp "," kielbasa, pepperoncini, fingerling potatoes, tarragon "," marshmallow spread, chocolate puff cereal, semi-sweet chocolate chips, dried strawberries",Alina Eisenhauer, Pastry Chef  Sweet  Woodstock  CT , Todd Miller, Executive Chef  STK  New York  NY , Michael Giletto, Executive Chef  Cherry Valley Country Club  Skillman  NJ , Jackie Lee, Private Chef  New York  NY 
1,12,12,"""Chocolate, Mussels and Figs""",,"March 31, 2009",Aarón Sánchez,Alex Guarnaschelli,Geoffrey Zakarian," beef tenderloin, cucumber, Asian pears, bittersweet chocolate "," mussels, canned tomatoes, pita bread, celery root "," black mission figs, slivered almonds, lemons",Michael Selicious, Executive Chef  Wickets Inn  Onset  MA , Nigel Spence, Owner and Executive Chef  Ripe Kitchen and Bar  Mt. Vernon  NY , Melissa Levy, Executive Chef  IBM  Newburgh  NY , Gavin Mills, Executive Chef  Broadway East  New York  NY 
1,13,13,"""Strawberries, Turkey and Gummi Bears""",,"April 7, 2009",Scott Conant,Amanda Freitag,Aarón Sánchez," salmon, radicchio, ginger, strawberries "," turkey breast, baby turnips, pearl onions, coconut flakes "," blackberries, kiwi, wonton wrappers, gummy bears",Victor Cabezas, Chef and Owner  Misaví  Totowa  NJ , Jonathan Contes, Chef and Part Owner  Eat Mosaic  St. James  Long Island  NY , Amy Roth, Chef and Owner  Amy Kate Catering  New York  NY , Michael Carrino, Chef and Owner  Restaurant Passionné  Montclair  NJ 
2,1,14,"""A Prickly Situation""","The judges caught Chef Lemoine plating past time limits. As a result, the judges eliminated him.","June 14, 2009",Aarón Sánchez,Alex Guarnaschelli,Chris Santo," brioche, fennel, sea urchin "," blackstrap molasses, red snapper, parsley root, dried cranberries "," bulgur wheat, pomegranate juice, pineapple, green papaya",Peter Klein, Executive Chef and Part Owner  Chow Bar  New York  NY , Ross Gill, Executive Chef and General Manager  Home Restaurant  New York  NY , Yvan Lemoine, Chef  New York  NY , Natalia Machado, Junior Executive Chef  Industria Argentina  New York  NY 
2,2,15,"""Salty Veggies & Heated Battles""",,"June 16, 2009",Chris Santos,Alex Guarnaschelli,Marc Murphy," sea beans, ginger ale, pork tenderloin "," baby artichokes, cashew butter, monkfish, Thai chiles "," jicama, pepitas, blueberries",Fritz Knipschildt, Chef and Chocolatier  Knipschildt Chocolatier  Norwalk  CT , Cheryl Perry, Chef and Culinary Instructor  New York  NY , David Rotter, Executive Chef  Campo  New York  NY , Jason Zukas, Chef Consultant  Bocca Fina  Queens  NY 
2,3,16,"""High Hopes""",Chef Puzio did not finish her plates in Round 1 resulting in her elimination. The judges also were very disappointed in every first course. The bison in the second basket was a thick-cut sirloin steak.,"June 23, 2009",Scott Conant,Amanda Freitag,Marc Murphy," calamari, Brussels sprouts, Asian pears "," bison, dried mango, leeks, Belgian-style ale "," ancho chiles, semi-sweet chocolate, black plums",Nicole Puzio, Executive Chef  Ox Restaurant  Jersey City  NJ , David Kirschner, Sous chef  W Hotel  Hoboken  NJ , Michael Ferraro, Executive Chef  Delicatessen  New York  NY , John Lawson, Sous chef  Gordon Ramsay at The London  New York  NY 
2,4,17,"""Floundering Around""",,"June 30, 2009",Scott Conant,Amanda Freitag,Aarón Sánchez," beef shoulder, fish sauce, canned pumpkin "," flounder, yellow plantains, baby bok choy, mini watermelon "," tomatillos, crème fraîche, plain donuts",Massimo Felici, Executive Chef  Ristorante DeGrezia  New York  NY , Christine Campbell, Butcher and Private Chef  Long Island  NY , Julio Lazzarini, Executive Chef and Owner  Orillas Tapas Bar and Restaurant  Wilmington  DE , Marc Spooner, Production Chef  Great Performances Catering  New York  NY 
2,5,18,"""Pride on the Plate""","Throughout each course, Chef Matarese failed to complete any of his dishes. Chef Mansukhani went on to compete on the tenth season of Hell's Kitchen (under the surname 'Gurnani').","July 7, 2009",Chris Santos,Alex Guarnaschelli,Marc Murphy," duck breast, polenta, sharon fruit "," rainbow trout, baby turnips, tamarind concentrate, serrano ham "," sliced almonds, Okinawan sweet potatoes, brioche, sambuca",Shaya Klechevsky, Personal Chef and Instructor  At Your Palate  New York  NY , Pasquale Frola, Executive Sous Chef  Naples 45  New York  NY , Giuliano Matarese, Executive Chef  Arte Café  New York  NY , Roshni Mansukhani, Executive Sous chef and Private Chef  Boston  MA 
2,6,19,"""Pretty Please with a Pepper on Top""",,"July 14, 2009",Geoffrey Zakarian,Alex Guarnaschelli,Chris Santo," ground turkey, piquillo peppers, gooseberries "," top round of lamb, coconut flakes, snap peas, quick grits "," celery, blood oranges, frozen pie crust, jaggery",Barbara Sibley, Executive Chef and Owner  La Palapa Cocina Mexicana  New York  NY , Christopher Nguyen, Chef Consultant  Keo Asian Restaurant  York  PA , Paul Viggiano, Chef de cuisine  Docs Steakhouse  Sparta  NJ , Tyler Anderson, Executive Chef  The Copper Beech Inn  Essex  CT 
2,7,20,"""Pods, Grills and Sticky Fingers""",Chef Orchid got eliminated in the Appetizer for only getting shrimp on 1 plate and forgetting to plate the raisins.,"July 28, 2009",Scott Conant,Amanda Freitag,Geoffrey Zakarian," jumbo shrimp, edamame, golden raisins "," flank steak, grape juice, goat cheese, lemongrass "," coffee liqueur, avocados, boiled ginkgo nuts, honeycomb",Moha Orchid, Private Chef  New York  NY , Maristella Innocenti, Owner and Chef  Matilda  New York  NY , Matthew Zappoli, Owner and Executive Chef  Tre Amici  Long Branch  NJ , Joe Bayley, Sous chef  Cobblestone Foods  New York  NY 
2,8,21,"""A Wish Upon A Starfruit""",,"August 11, 2009",Aarón Sánchez,Alex Guarnaschelli,Marc Murphy," red currant jam, merguez sausage, broccoli "," chicken breast, dandelion greens, starfruit, cherry liqueur "," grape leaves, sesame seeds, honeydew melon, pickled ginger",Ming Lu, Line Cook  Le Cirque  New York  NY , Pedro Diáz, Sous chef  Fresh Direct  New York  NY , Lisa Schoen, Executive Chef and Food Stylist  Mad River Post and In Your Kitchen  New York  NY , Cody Utzman, Chef and Restaurateur  Brooklyn Standard  New York  NY 
2,9,22,"""Buckwheat Blunders and Twists of Fate""","Chef Amitzur cut himself in Round 1 and continued making his dish with no gloves, or band-aid however the producer made him throw his dish away forcing him to redo his dish.","August 25, 2009",Chris Santos,Alex Guarnaschelli,Aarón Sánchez," olive oil packed tuna, English cucumbers, buckwheat flour "," knockwurst, pretzels, ramps, mangosteen "," biscuit dough, pistachios, dried hibiscus flowers, black olives",Simon Lange, Chef and Restaurateur  Apartment 138  Brooklyn  NY , Rory O'Farrell, Executive Chef  Ayza Wine & Chocolate Bar  New York  NY , Mor Amitzur, Executive Chef  The View at the Marriott Marquis  New York  NY , Diane DiMeo, Private Chef  Red Box Bistro  New York  NY 
2,10,23,"""Chopped Champions Event, Round One: The Ultimate Face-off""","This is the first ""Chopped Champions"" event, featuring winners of past episodes. There were four loosely connected parts, wherein the winner of this episode got $10,000 and the chance to compete in the next special episode against three new past champions, potentially winning up to $40,000 with each round they get through.","September 8, 2009",Geoffrey Zakarian,Alex Guarnaschelli,Marc Murphy," crayfish, red seedless grapes, fiddlehead ferns "," quail, guava nectar, udon noodles, dinosaur kale "," baby kiwi, Israeli couscous, rice paper, saffron",Michael Carrino," Chef and Owner  Restaurant Passionné  Montclair  NJ  Episode 1.13 – ""Strawberries  Turkey and Gummi Bears"" ", Sandy Davis," Catering Chef  Union Theological Seminary  New York  NY  Episode 1.1 – ""Octopus  Duck  Animal Crackers"" ", Natalia Machado," Junior Executive Chef  Industria Argentina  New York  NY  Episode 2.6 – ""A Prickly Situation"" ", James Briscione," Chef Instructor  Institute of Culinary Education  New York  NY  Episode 1.9 – ""Mac & Cheese  Cola  Bacon""  advances to next episode "
2,11,24,"""Chopped Champions Event, Round Two: Best of the Best""","Three new Chopped champions competed against the winner of the Chopped Champions Event, Round One. The winner of this episode got $10,000 and the chance to compete in the next episode against three different past champions. The previous winner lost in the dessert basket, meaning a new chef got the chance to potentially add more money to their winnings in the next special episode (up to $30,000).","September 15, 2009",Scott Conant,Jody Williams,Aarón Sánchez," cockles, kohlrabi, pita bread "," ground chicken, green tea leaves, mustard oil, braeburn apples "," chocolate wafers, manchego cheese, passionfruit, goji berries",Pippa Calland," Owner and Chef  Chef for Hire LLC  Newville  Pennsylvania  Episode 1.2 – ""Tofu  Blueberries  Oysters"" ", Gavin Mills," Executive Chef  Broadway East  New York  NY  Episode 1.12 – ""Chocolate  Mussels and Figs"" ", James Briscione ,returning champion , Einat Admony," Chef and Owner  Taïm  New York  NY  Episode 1.4 – ""Banana  Collard Greens  Grits""  advances to next episode "
2,12,25,"""Chopped Champions Event, Round Three: All-Stars Showdown""","Three new Chopped champions competed against the winner of the Chopped Champions Event, Round Two. The winner of this episode got $10,000 and the chance to compete in the next episode against three different past champions. Once again, the previous winner got knocked out (in the entrée basket) so a new chef got the chance to potentially add more money to their winnings in the next special episode (up to $20,000).","September 22, 2009",Chris Santos,Geoffrey Zakarian,Marc Murphy," lavash bread, preserved lemons, squab "," bluefish, papaya, ginger snaps, beef jerky "," butter crackers, grapefruit, feta cheese, gin",Jackie Lee," Private Chef  New York  NY  Episode 1.11 – ""Jumbo Shrimp  Pepperoni  Cereal"" ", Einat Admony ,returning champion , Andre Marrero," Chef tournant  L’Atelier de Joël Robuchon  New York  NY  Episode 1.3 – ""Avocado  Tahini  Bran Flakes"" ", Cody Utzman," Chef and Restaurateur  Brooklyn Standard  New York  NY  Episode 2.8 – ""A Wish Upon a Starfruit""  advances to next episode "
2,13,26,"""Chopped Champions Event, Round Four: Bring It!""","This is the last of the special Chopped Champion Event episodes. Three Chopped champions competed against the winner of the Chopped Champions Event, Round Three. A new champion dethroned the previous winner in the appetizer round meaning none of the winners in all four episodes won more than one episode. The winner of this episode got $10,000.","September 29, 2009",Scott Conant,Alex Guarnaschelli,Aarón Sánchez," lobster, bananas, endive "," pork loin, watercress, galia melon, taro root "," matzo, pomegranate molasses, roasted chestnuts, baby fennel",Cody Utzman ,returning champion , Diane DiMeo," Private Chef  Red Box Bistro  New York  NY  Episode 2.9 – ""Buckwheat Blunders and Twists of Fate"" ", John Lawson," Sous chef  Gordon Ramsay at The London  New York  NY  Episode 2.2 – ""High Hopes"" ", Darius Peacock," Executive Chef  Exceptional Taste Catering  Trenton  NJ  Episode 1.10 – ""String Cheese  Jicama  Gingersnaps"" "
3,1,27,"""When Chefs Collide""",,"October 13, 2009",Geoffrey Zakarian,Scott Conant,Aarón Sánchez," Manila clams, kumquats, croissants "," ground pork, camembert, sweet vermouth, haricots verts "," carrots, goat cheese, quick grits, pomelo",Peter Giannakas, Chef and Restaurateur  Ovelia Psistaria Bar  New York  NY , Angie Shaghaghi, Chef Instructor  Creative Cooks  New York  NY , Cisse Elhadji, Chef and Restaurateur  Ponty Bistro  New York  NY , Dean Yasharian, Executive Sous chef  Bar Boulud  New York  NY 
3,2,28,"""Oh My Goshy, Umeboshi""","Chef Esmonde cut herself during the entrée round. After attempting to put on a glove that did not fit, she took it off and tossed her salad with her hands despite her open wound. As a result, the judges did not eat the salad and chopped her for her poor sanitation. Chef Baruch is a sous chef for semi-regular Chopped judge Sue Torres.","October 20, 2009",Aarón Sánchez,Jody Williams,Geoffrey Zakarian," peas, peaches, eel "," shrimp, oatmeal, butternut squash, umeboshi "," parsnips, limoncello, soda crackers, sharp cheddar cheese",Jeffrey Baruch, Executive Chef  London Lennie's Seafood Restaurant  New York  NY , Barbara Esmonde, Executive Chef  Mediterranean Catering  Wynnewood  PA , Peter Karapanagiotis, Executive Chef  Privé Mediterranean Restaurant  Philadelphia  PA , Jeremy Duclut, Executive Chef  Georges' Bar and Restaurant  Wayne  PA 
3,3,29,"""Judge Knows Best""",Chef Dobias did not get his plantain cake on the plate in the dessert round despite getting all 4 ingredients on the plate. The judges offered he could bring up his cakes. However his competitor had to offer his consent and said no. Despite this Chef Dobias won due to the mistakes his opponent made throughout the meal.,"October 27, 2009",Chris Santos,Scott Conant,Marc Murphy," hamachi, quail eggs, dried cherries "," beef tenderloin, mango, gruyère cheese, kochujang "," ripened plantains, prosecco, crystallized ginger, bacon",Fabian Ludwig, Executive Chef  Gramercy Park Hotel  New York  NY , Ayesha Nurdjaja, Executive Chef  Il Bordello  New York  NY , Joshua Whigham, Sous chef  Jack's Luxury Oyster Bar  New York  NY , Joe Dobias, Chef and Restaurateur  Joe Doe Restaurant  New York  NY 
3,4,30,"""A Nori Story""",,"November 3, 2009",Josh Capon,Alex Guarnaschelli,Geoffrey Zakarian," beef tenderloin, nori, maple syrup "," broccoli rabe, crystallized ginger, five year aged gouda, mahi-mahi "," cherries, pumpernickel bread, curry powder, yuzu juice",Adele DiBiase, Chef and Restaurateur  Bona Vita Osteria  Summit  NJ , Malik Fall, Chef and Restaurateur  Boucarou Lounge  New York  NY , Michael Bicocchi, Executive Chef  Flex Mussels  New York  NY , PJ Calapa, Sous chef  Nobu Fifty Seven  New York  NY 
3,5,31,"""Sticking To It""",,"November 10, 2009",Geoffrey Zakarian,Alex Guarnaschelli,Chris Santo," turkey breast, Kirby cucumbers, graham crackers "," black cod, puffed rice cereal, pineapple, chorizo "," mangoes, puff pastry, coffee beans, rose water",Melinda Beaulieu, Private Chef and Nutritionist  New York  NY , David Amorelli, Executive Chef  Coffee Shop  New York  NY , Dominick Feragola, Sous chef  Broadway East  New York  NY , Luisa Fernandes, Executive Chef  Georgia's Cafe and Bakery  New York  NY 
3,6,32,"""Season's Choppings""",The chefs were given 45 minutes in the entrée round rather than the normal 30 to allow time to properly cook the turkey.,"December 8, 2009",Scott Conant,Alex Guarnaschelli,Aarón Sánchez," venison tenderloin, quince, eggnog "," kale, rutabaga, marshmallows, turkey "," garnet yams, brie, sparkling wine, cranberries",Megan Fells, Chef and Restaurateur  The Artist's Palate  Poughkeepsie  NY , Jason Tilmann, Executive Chef  NYY Steak  New York  NY , Keith Geter, Chef  Artisanal  New York  NY , Jon Bignelli, Sous chef  wd~50  New York  NY 
3,7,33,"""Flower Power""",,"March 14, 2010",Geoffrey Zakarian,Sue Torres,Marc Murphy," chicken breast, kiwi, zucchini blossoms "," scallops, cranberry juice, artichokes, burdock root "," blackberries, apple cider, shredded phyllo dough, fresh chickpeas",Bill Feldman, Chef and Entrepreneur  New York  NY , Keith Jodway, Consulting Chef  New York  NY , Lola Garand, Consulting Chef  New York  NY , Tommy Lee, Executive Chef  Battery Gardens  New York  NY 
3,8,34,"""Sweet Redemption""",This was the first episode to feature four past runners-up competing for a chance to redeem themselves and win.,"March 21, 2010",Aarón Sánchez,Scott Conant,Marc Murphy," littleneck clams, Yukon Gold potatoes, rhubarb "," striped bass, corn tortillas, applesauce, okra "," carrot juice, white chocolate chips, baby beets, hominy",Michael Giletto," Executive Chef  Cherry Valley Country Club  Skillman  NJ  Episode 1.12 – ""Jumbo Shrimp  Pepperoni  Cereal"" ", Katie Rosenhouse," Pastry Chef  Olana Restaurant  New York  NY  Episode 1.1 – ""Octopus  Duck  Animal Crackers"" ", Chris Burke," Private Chef  New York  NY  Episode 1.3 – ""Avocado  Tahini  Bran Flakes"" ", Amy Roth," Chef and Owner  Amy Kate Catering  New York  NY  Episode 1.13 – ""Strawberries  Turkey and Gummi Bears"" "
3,9,35,"""Winging It""",,"March 28, 2010",Geoffrey Zakarian,Sue Torres,Chris Santo," sake, green seedless grapes, chicken wings "," horseradish, catfish, treviso, Japanese eggplant "," cherry tomatoes, silken tofu, ginger snaps, cocoa nibs",Linda Laestadius, Pastry Chef  The Bear Cafe  Woodstock  NY , Lizzie Singh-Brar, Executive Chef  Fanny  Brooklyn  NY , John Sierp, Executive Chef  White Cloud Catering  New York  NY , Justin Gaines, Executive Sous chef  Zanaro's Italian Restaurant  White Plains  NY 
3,10,36,"""In A Pinch""",This was the first episode where two female chefs faced each other in the final round.,"April 5, 2010",Scott Conant,Alex Guarnaschelli,Marc Murphy," red cherry peppers, mortadella, soft shell crabs "," baby bananas, black-eyed peas, poblano chiles, ostrich steak "," lychees, phyllo dough, Canadian bacon, candy canes",Damien Brassel, Executive Chef  Knife + Fork  New York  NY , Lonnie Dyner, Executive Chef  Le Petit Marché  New York  NY , Susan Crocker, Catering Chef  Holberts Catering and Backyard Bistro  Montgomery  NY , Pnina Peled, Chef de cuisine  The New York Helmsley Hotel  New York  NY 
3,11,37,"""Raw Enthusiasm""",,"April 12, 2010",Scott Conant,Alex Guarnaschelli,Aarón Sánchez," apricots, macadamia nuts, oysters "," cucumber, buttermilk, pork loin, canned jackfruit "," sugar cookie dough, bittersweet chocolate, figs, yellow miso paste",Mark Twersky, Cullinary Instructor  The French Culinary Institute  New York  NY , Deborah Gorman, Catering Chef  The Good Knife  New York  NY , Arvin Dhansew, Catering Chef  Relish Caterers  New York  NY , Martin Brock, Executive Chef  Atria  New York  NY 
3,12,38,"""Against the Tide""","This was the first episode to feature an ingredient, violet mustard, that the judges were not familiar with.","April 19, 2010",Mark Bittman,Amanda Freitag,Aarón Sánchez," habanero chiles, bittersweet chocolate, fresh sardines "," strawberries, celery root, lamb loin chops, Swiss cheese "," corn tortillas, dried chipotle peppers, blueberries, violet mustard",Michael Madigan, Chef and Restaurateur  Snails and Quails / Farm 2 Bistro  New York  NY / Nutley  NJ , Andres Barrera, Executive Chef  City Winery  New York  NY , Laurielle Clark, Private Chef  New York  NY , Erik Weatherspool, Chef and Restaurateur  Bistro 44  Toms River  NJ 
3,13,39,"""Chopped Liver""",,"May 2, 2010",Scott Conant,Alex Guarnaschelli,Chris Santo," raspberries, asparagus, chicken livers "," arugula, pickled daikon, fresh pasta, mackerel "," Greek yogurt, sugar cane, cactus pears, popcorn kernels",John-Michael Hamlet, Chef and Restaurateur  John-Michael's Restaurant  North Salem  NY , Hannah Hopkins, Chef and Restaurateur  Dish  Mahopac  NY , Bradley Boyle, Chef and Restaurateur  Salt Gastro Pub  Byram  NJ , Marc Pavlovic, Culinary Instructor  The French Culinary Institute  New York  NY 
4,1,40,"""Rattle & Roll""",Siggy only managed to make 1 plate in the first round resulting in her elimanation.,"April 6, 2010",Chris Santos,Alex Guarnaschelli,Geoffrey Zakarian," Asian pears, croissants, haricots verts, rattlesnake meat "," tapioca pearls, carrots, fruit leather, rabbit "," yucca, calimyrna figs, hoisin sauce, red jalapeños",Siggy Sollitto, Chef and Restaurateur  Siggy's Good Food  Brooklyn Heights  NY , Eric Paraskevas, Executive Chef  Terra Restaurant  Philadelphia  PA , Chris Coombs, Executive Chef  Dbar  Boston  MA , Mackenzie Hilton, Executive Chef  Mercato Restaurant  Philadelphia  PA 
4,2,41,"""My Froggy Clementine""",,"April 13, 2010",Scott Conant,Amanda Freitag,Aarón Sánchez," bourbon whiskey, anchovies, dates, frog legs "," hamachi, beets, tortilla chips, Malta "," clementine oranges, scotch whiskey, basil, toasted oats cereal",Sunshine Best, Special Diets Chef  Your Safe Kitchen  New York  NY , Warren Schierenbeck, Chef and Restaurateur  DoSi Cafe  Staten Island  NY , Erica Wides, Chef Instructor  Institute of Culinary Education  New York  NY , Mario Tolentino, Private Chef  Can Cook Personal Chef Services  New York  NY 
4,3,42,"""Jitters & Giant Eggs""",,"April 20, 2010",Scott Conant,Jody Williams,Marc Murphy," ground turkey, black garlic, raspberries, pickled watermelon rind "," fresh horseradish, goat chops, oatmeal, snap peas "," canned peaches, cherry tomatoes, pretzel sticks, emu eggs",Rory MacDonald, Head Pastry Chef  Tocqueville  New York  NY , Brian Kevorkian, Line Cook  New York  NY ," Maurice ""Mo"" Hurley", Executive Chef  Valbella  New York  NY , Jessica Mogardo, Pastry Chef  New York  NY 
4,4,43,"""Dr. Deckle & Mr. Fried""",Later reruns of this episode were dedicated to the memory of Michael Siry who died from cancer in June 2013.,"April 27, 2010",Scott Conant,Amanda Freitag,Aarón Sánchez," collard greens, jumbo shrimp, corn chips, olive loaf "," broccoli rabe, deckle of beef, hibiscus flowers in syrup, black-eyed peas "," avocadoes, oyster sauce, tofu skins, star fruit",Abigail Hitchcock, Chef and Restaurateur  Camaje Bistro  New York  NY , Shanna Pacifico, Chef de cuisine  Back Forty  New York  NY , John P. Greco III, Chef and Restaurateur  Philip Marie  New York  NY , Michael Siry, Corporate Executive Chef  Big Daddy's Diner  Duke's  and City Crab  New York  NY 
4,5,44,"""Mussels Mastery & Cotton Candy Can-Do""",This is Marcus Samuelsson's first episode as a judge.,"May 4, 2010",Marcus Samuelsson,Alex Guarnaschelli,Aarón Sánchez," mussels, asparagus, cactus pear, kidney beans "," sharp cheddar cheese, watermelon radish, squab, frozen waffles "," saltine crackers, green papaya, dried mangoes, cotton candy",Sean Mell, Omakase Chef  Nobu  New York  NY , Berthsy Ayide, Chef and Caterer  The Kitchen Sink  New York  NY , Jeremy Hanlon, Private Chef  My Fresh Chef  Lantana  FL , Christian Petroni, Chef and Restaurateur  Barcelona  Greenwich  CT 
