"","restaurant","item","calories","cal_fat","total_fat","sat_fat","trans_fat","cholesterol","sodium","total_carb","fiber","sugar","protein","vit_a","vit_c","calcium","salad"
"66","Chick Fil-A","4 piece Chicken Nuggets",130,54,6,1.5,0,40,490,5,1,0,14,0,2,2,"Other"
"67","Chick Fil-A","6 piece Chicken Nuggets",190,81,9,1.5,0,55,730,7,1,0,21,0,4,2,"Other"
"68","Chick Fil-A","8 piece Chicken Nuggets",260,110,12,3,0,70,990,9,1,1,28,0,2,4,"Other"
"69","Chick Fil-A","12 piece Chicken Nuggets",390,162,18,1.5,0,115,1460,14,2,1,41,0,8,4,"Other"
"70","Chick Fil-A","30 piece Chicken Nuggets",970,414,46,2.5,0,285,3660,35,4,1,103,NA,20,10,"Other"
"71","Chick Fil-A","Chicken Salad Sandwich",490,170,19,3,0,80,1130,55,5,12,28,35,8,15,"Other"
"72","Chick Fil-A","Chicken Sandwich",440,171,19,4,0,60,1350,40,2,5,28,2,4,15,"Other"
"73","Chick Fil-A","4 Piece Grilled Chicken Nuggets",70,18,2,1,0,35,220,1,0,0,13,0,6,0,"Other"
"74","Chick Fil-A","6 Piece Grilled Chicken Nuggets",110,27,3,1,0,50,330,2,0,0,19,0,8,0,"Other"
"75","Chick Fil-A","8 piece Grilled Chicken Nuggets",140,36,4,1,0,70,440,2,0,0,25,0,10,2,"Other"
"76","Chick Fil-A","12 Piece Grilled Chicken Nuggets",210,45,5,1,0,100,670,3,0,1,38,0,20,2,"Other"
"77","Chick Fil-A","Spicy Grilled Chicken Sub Sandwich",430,108,12,4.5,0,85,1310,47,5,9,33,NA,25,25,"Other"
"78","Chick Fil-A","Regular Grilled Chicken Sub Sandwich",450,117,13,6,0,75,1000,48,4,10,34,NA,50,25,"Other"
"79","Chick Fil-A","Smokehouse BBQ Bacon Sandwich",500,162,18,0,0,95,1200,46,2,10,33,45,40,20,"Other"
"80","Chick Fil-A","Spicy Chicken Sandwich",450,171,19,4,0,60,1620,41,1,5,29,4,2,15,"Other"
"81","Chick Fil-A","Spicy Deluxe",540,225,25,8,0,80,1760,43,2,6,34,30,10,30,"Other"
"82","Chick Fil-A","Chargrilled Chicken Cool Wrap",350,126,14,5,0,60,960,29,15,3,37,60,35,35,"Other"
"83","Chick Fil-A","Chicken Enchiladas Meal Kit",860,423,47,16,1,100,2520,70,NA,8,39,NA,NA,NA,"Other"
"84","Chick Fil-A","Chicken Parmesan Meal Kit",720,279,31,15,0,120,1780,65,NA,7,48,NA,NA,NA,"Other"
"85","Sonic","Hatch Green Chile Cheeseburger",710,380,43,17,2,120,1120,44,2,7,35,10,25,30,"Other"
"86","Sonic","Jalapeno Burger",640,330,37,14,2,100,930,42,2,6,31,4,2,20,"Other"
"87","Sonic","Jr. Burger",340,150,17,6,1,35,640,34,1,6,15,2,4,6,"Other"
"88","Sonic","Jr. Chili Cheeseburger",410,220,24,9,0.5,55,730,32,1,4,20,7,1,15,"Other"
"89","Sonic","Jr. Deluxe Burger",380,200,23,6,1,40,470,32,1,4,15,2,4,6,"Other"
"90","Sonic","Jr. Deluxe Cheeseburger",450,250,28,9,1,60,800,33,1,4,19,6,4,15,"Other"
"91","Sonic","Jr. Double Cheeseburger",600,350,38,16,2,110,1350,35,1,7,31,15,4,25,"Other"
"92","Sonic","Sonic Bacon Cheeseburger (w/mayo)",870,530,59,20,2,140,1350,45,2,7,39,10,8,30,"Other"
"93","Sonic","Sonic Burger W/ Mustard",640,330,37,14,2,100,790,43,2,7,31,6,8,20,"Other"
"94","Sonic","Sonic Burger W/ Ketchup",650,340,37,14,2,100,860,46,2,10,32,8,10,20,"Other"
"95","Sonic","Sonic Burger W/ Mayonnaise",740,430,48,15,2,110,760,44,2,7,31,6,8,20,"Other"
"96","Sonic","Sonic Cheeseburger W/ Mustard",710,380,43,17,2,120,1120,43,2,7,35,10,8,30,"Other"
"97","Sonic","Sonic Cheeseburger W/ Ketchup",720,380,43,17,2,120,1190,47,2,10,35,15,10,30,"Other"
"98","Sonic","Sonic Cheeseburger W/ Mayonnaise",800,480,54,18,2,130,1090,44,2,7,35,10,8,30,"Other"
"99","Sonic","Super Sonic Bacon Double Cheeseburger (w/mayo)",1280,830,92,36,4,260,1630,44,2,7,67,15,6,40,"Other"
"100","Sonic","Super Sonic Double Cheeseburger W/ Mustard",1120,680,76,32,4,235,1550,44,2,8,63,15,8,40,"Other"
"101","Sonic","Super Sonic Double Cheeseburger W/ Ketchup",1130,680,76,32,4,235,1620,47,2,11,63,20,10,40,"Other"
"102","Sonic","Super Sonic Double Cheeseburger W/ Mayo",1220,780,87,34,4,245,1520,45,2,8,63,15,8,40,"Other"
"103","Sonic","Super Sonic Jalapeno Double Cheeseburger",1120,680,76,32,4,235,1690,43,2,7,63,15,2,40,"Other"
"104","Sonic","Veggie Burger W/ Ketchup",450,130,14,4,0,10,1410,67,5,11,15,6,8,25,"Other"
"105","Sonic","Veggie Burger With Mustard",450,130,14,4,0,10,1350,64,5,8,15,6,8,27,"Other"
"106","Sonic","Veggie Burger W/ Mustard",450,130,14,4,0,10,1300,64,5,8,15,6,8,25,"Other"
"107","Sonic","Grilled Asiago Caesar Chicken Club Sandwich",610,270,30,7,0,110,1570,44,3,8,40,11,20,16,"Other"
"108","Sonic","Crispy Asiago Caesar Chicken Club Sandwich",680,350,39,9,0,80,1120,53,4,7,31,11,7,16,"Other"
"109","Sonic","Grilled Chicken Sandwich",430,180,20,4,0,80,940,33,2,6,28,6,8,10,"Other"
"110","Sonic","Crispy Chicken Sandwich",570,300,33,5,0,45,1060,47,4,6,23,6,8,10,"Other"
"111","Sonic","Chicken Strip Sandwich",450,220,24,4,0,35,740,43,1,4,19,0,0,4,"Other"
"112","Sonic","3 Piece Crispy Chicken Tender Dinner",280,130,14,2.5,0,0,800,16,0,0,22,NA,NA,NA,"Other"
"113","Sonic","5 Piece Crispy Chicken Tender Dinner",470,220,24,4.5,0,0,1340,26,0,0,37,NA,NA,NA,"Other"
"114","Sonic","Deluxe Ultimate Chicken Sandwich",740,350,39,8,0,90,1550,63,4,12,33,10,8,15,"Other"
"115","Sonic","Buffalo Dunked Ultimate Chicken Sandwich",1000,550,61,12,0.5,125,4520,70,5,12,23,NA,NA,NA,"Other"
"116","Sonic","Garlic Parmesan Dunked Ultimate Chicken Sandwich",1350,900,100,17,0,190,2180,69,4,10,23,NA,NA,NA,"Other"
"117","Sonic","Small Jumbo Popcorn Chicken",380,190,22,4,0,45,1250,27,3,1,18,0,0,2,"Other"
"118","Sonic","Large Jumbo Popcorn Chicken",560,290,32,6,1,65,1890,41,5,2,27,0,0,4,"Other"
"119","Sonic","Small Spicy Jumbo Popcorn Chicken",350,150,17,3,0,45,860,30,2,0,21,10,0,2,"Other"
"120","Sonic","Large Spicy Jumbo Popcorn Chicken",610,270,30,5,0,80,1500,51,3,0,36,17,0,3,"Other"
"121","Sonic","3 Piece Super Crunch Chicken Strip Dinner",970,410,46,8,1,55,2160,109,7,9,30,1,6,13,"Other"
"122","Sonic","4 Piece Super Crunch Chicken Strip Dinner",1080,460,51,9,1,75,2390,118,8,9,37,1,7,13,"Other"
"123","Sonic","5 Piece Super Crunch Chicken Strip Dinner",1190,510,57,10,1,90,2610,126,8,9,44,2,8,14,"Other"
"124","Sonic","3 Piece Super Crunch Chicken Strips",330,140,16,3,0,55,670,25,2,0,22,1,2,1,"Other"
"125","Sonic","4 Piece Super Crunch Chicken Strips",440,190,21,4,0,70,900,34,2,1,29,1,2,1,"Other"
"126","Sonic","5 Piece Super Crunch Chicken Strips",550,240,26,5,0,90,1120,42,3,1,36,1,3,2,"Other"
"127","Sonic","Traditional Ultimate Chicken Sandwich",730,350,39,8,0,90,1540,62,3,11,32,4,2,15,"Other"
"128","Sonic","Ultimate Chicken Club",100,580,64,15,0.5,100,2070,65,4,12,39,15,8,30,"Other"
"129","Sonic","All Beef All-american Style Dog – 6""",370,160,18,7,0,40,1180,40,1,15,12,2,4,8,"Other"
"130","Sonic","All Beef Chicago Dog – 6""",430,180,20,7,0,40,2310,49,1,17,14,4,6,10,"Other"
"131","Sonic","All Beef Chili Cheese Coney – 6""",410,230,26,11,0,65,1140,30,2,4,17,10,2,20,"Other"
"132","Sonic","All Beef New York Dog – 6""",340,170,19,7,0,40,1250,30,3,4,13,2,10,8,"Other"
"133","Sonic","All Beef Regular Hot Dog – 6""",320,160,18,7,0,40,870,27,1,3,11,0,2,8,"Other"
"134","Sonic","Cheesy Bacon Pretzel Dog - 6 In.",500,240,26,10,0,50,1410,46,2,7,15,1,3,8,"Other"
"135","Sonic","Corn Dog",210,100,11,4,0,20,530,23,2,4,6,0,0,4,"Other"
"136","Sonic","Footlong Quarter Pound Coney",830,490,54,22,1,85,1940,54,3,9,30,15,4,30,"Other"
"137","Sonic","The Original Pretzel Dog",320,160,18,7,0,35,910,27,1,2,11,0,0,4,"Other"
"138","Arbys","Arby's Melt",330,100,11,4,0,30,920,40,2,5,18,2,0,8,"Other"
"139","Arbys","Arby-Q Sandwich",400,90,10,3,0,30,1230,58,3,23,18,4,10,10,"Other"
"140","Arbys","Beef 'n Cheddar Classic",450,180,20,6,1,50,1280,45,2,9,23,2,2,15,"Other"
"141","Arbys","Beef 'n Cheddar Mid",630,290,32,11,1.5,100,2100,48,2,9,39,2,2,15,"Other"
"142","Arbys","Bourbon BBQ Brisket Sandwich",650,300,33,12,1,105,1460,51,2,15,38,NA,NA,NA,"Other"
"143","Arbys","Bourbon BBQ Chicken Sandwich",690,280,31,9,0,90,1990,66,3,16,38,NA,NA,NA,"Other"
"144","Arbys","Bourbon BBQ Steak Sandwich",690,280,31,9,0,90,1990,66,3,16,38,NA,NA,NA,"Other"
"145","Arbys","Buttermilk Buffalo Chicken Sandwich",540,220,24,4.5,0,60,2110,53,2,6,29,NA,NA,NA,"Other"
"146","Arbys","Buttermilk Chicken Bacon & Swiss",650,280,31,9,0,90,1750,56,2,9,39,NA,NA,NA,"Other"
"147","Arbys","Buttermilk Chicken Cordon Bleu Sandwich",690,310,35,10,0,110,2000,53,1,7,41,NA,NA,NA,"Other"
"148","Arbys","Buttermilk Crispy Chicken Sandwich",550,230,26,4.5,0,60,1480,52,2,6,29,NA,NA,NA,"Other"
"149","Arbys","Classic French Dip & Swiss/Au Jus",540,210,23,11,1,85,2500,50,2,3,35,2,8,15,"Other"
"150","Arbys","Classic Roast Beef",360,120,14,5,0.5,50,970,37,2,5,23,0,0,6,"Other"
"151","Arbys","Double Roast Beef",510,210,24,9,1.5,95,1610,38,2,5,38,0,0,6,"Other"
"152","Arbys","Fire-Roasted Philly Steak",640,290,32,11,0.5,105,1950,46,3,4,42,NA,NA,NA,"Other"
"153","Arbys","Grand Turkey Club",480,220,24,7,0,65,1610,37,2,9,30,15,10,15,"Other"
"154","Arbys","Greek Gyro",710,390,44,13,0,75,1360,55,4,6,23,NA,NA,NA,"Other"
"155","Arbys","Half Pound Beef 'n Cheddar Sandwich",740,350,39,14,2,130,2530,48,2,9,49,NA,NA,NA,"Other"
"156","Arbys","Half Pound French Dip & Swiss",750,330,36,17,2,150,3350,51,2,3,55,NA,NA,NA,"Other"
"157","Arbys","Half Pound Roast Beef Sandwich",610,270,30,12,2,130,2040,38,2,5,48,NA,NA,NA,"Other"
"158","Arbys","Ham & Swiss Melt",300,80,9,4,0,35,1030,37,2,6,18,2,0,15,"Other"
"159","Arbys","Loaded Italian Sandwich",680,360,40,14,0.5,100,2270,49,3,7,32,NA,NA,NA,"Other"
"160","Arbys","Pecan Chicken Salad Flatbread",710,410,46,7,0.5,65,980,53,4,9,22,NA,NA,NA,"Other"
"161","Arbys","Pecan Chicken Salad Sandwich",840,400,44,6,0.5,75,1210,81,6,20,33,10,8,25,"Other"
"162","Arbys","2 piece Prime-Cut Chicken Tenders",240,100,11,1.5,0,30,640,19,1,0,16,0,0,2,"Other"
"163","Arbys","3 piece Prime-Cut Chicken Tenders",360,150,17,2.5,0,45,950,28,2,0,23,0,4,2,"Other"
"164","Arbys","5 piece Prime-Cut Chicken Tenders",600,250,28,4,0,75,1590,47,3,0,39,0,8,2,"Other"
"165","Arbys","Reuben Sandwich",680,280,31,8,0.5,80,2420,62,4,5,37,6,20,35,"Other"
"166","Arbys","Roast Beef Gyro",550,260,29,7,1,60,1290,48,3,5,24,10,15,10,"Other"
"167","Arbys","Roast Turkey & Swiss Sandwich",710,260,28,7,0,65,1930,79,5,15,38,20,10,45,"Other"
"168","Arbys","Roast Turkey & Swiss Wrap",520,240,27,9,0,65,1640,39,4,6,30,20,10,35,"Other"
"169","Arbys","Roast Turkey, Ranch & Bacon Sandwich",800,310,34,10,0.5,80,2420,79,5,16,45,20,10,45,"Other"
"170","Arbys","Roast Turkey, Ranch & Bacon Wrap",620,310,34,11,0.5,85,2130,39,4,6,37,20,10,30,"Other"
"171","Arbys","Smoke Mountain w/ Beef Short Rib",740,320,35,13,1,125,2050,62,4,17,43,NA,NA,NA,"Other"
"172","Arbys","Smokehouse Beef Short Rib Sandwich",590,250,59,10,1,75,1510,59,4,14,26,NA,NA,NA,"Other"
"173","Arbys","Smokehouse Brisket",600,310,35,12,1,110,1240,42,2,7,33,4,8,20,"Other"
"174","Arbys","Super Roast Beef",430,160,17,5,1,45,1060,45,3,11,23,10,10,8,"Other"
"175","Arbys","Three Cheese Steak Sandwich",650,320,36,15,1,115,1760,44,2,9,30,NA,NA,NA,"Other"
"176","Arbys","Triple Decker Sandwich",1030,459,51,17,1,155,2940,83,5,19,62,NA,NA,NA,"Other"
"177","Arbys","Turkey Avocado Club",730,252,28,6,0,65,2140,80,6,16,41,NA,NA,NA,"Other"
"178","Arbys","Turkey Gyro",470,180,20,3.5,0,45,1520,48,3,5,25,10,15,10,"Other"
"179","Arbys","Ultimate BLT",980,495,55,14,0,85,2130,80,6,19,43,NA,NA,NA,"Other"
"180","Arbys","Buffalo Chicken Slider",290,120,13,2,0,20,860,31,2,2,12,NA,NA,NA,"Other"
"181","Arbys","Chicken Tender 'n Cheese Slider",290,110,12,3.5,0,25,720,30,1,1,15,NA,NA,NA,"Other"
"182","Arbys","Corned Beef 'n Cheese Slider",220,80,9,3.5,0,30,890,21,1,1,14,NA,NA,NA,"Other"
"183","Arbys","Ham 'n Cheese Slider",210,70,8,3,0,25,780,21,1,2,13,NA,NA,NA,"Other"
"184","Arbys","Jalapeno Roast Beef 'n Cheese Slider",240,90,11,4.5,0,30,670,21,1,1,14,NA,NA,NA,"Other"
"185","Arbys","Pizza Slider",300,150,17,6,0,35,930,23,1,2,13,NA,NA,NA,"Other"
"186","Arbys","Roast Beef 'n Cheese Slider",240,90,11,4.5,0,30,670,21,1,1,14,NA,NA,NA,"Other"
"187","Arbys","Turkey 'n Cheese Slider",200,60,7,2.5,0,25,760,21,1,2,14,NA,NA,NA,"Other"
"188","Arbys","Chopped Side Salad",70,45,5,2.5,0,15,100,4,1,2,5,35,10,10,"Other"
"189","Arbys","Crispy Chicken Farmhouse Salad",430,220,24,8,0,65,1000,26,4,4,28,60,20,25,"Other"
"190","Arbys","Greek Gyro Salad",420,340,37,9,0,55,700,11,2,4,10,NA,NA,NA,"Other"
"191","Arbys","Roast Turkey Farmhouse Salad",230,120,13,7,0,55,870,8,2,5,22,60,20,25,"Other"
"192","Arbys","Super Greek Salad",720,480,53,15,0,85,1310,39,5,7,22,NA,NA,NA,"Other"
"193","Burger King","American Brewhouse King",1550,1134,126,47,8,805,1820,21,3,7,134,NA,NA,NA,"Other"
"194","Burger King","Bacon & Swiss Sourdough King",1000,585,65,24,3,200,1320,48,2,8,56,NA,NA,NA,"Other"
"195","Burger King","Bacon Cheeseburger",330,140,16,7,0,55,830,32,1,7,18,NA,NA,NA,"Other"
"196","Burger King","Bacon Cheeseburger Deluxe",290,120,14,6,0.5,40,720,28,1,7,12,NA,NA,NA,"Other"
"197","Burger King","Bacon King",1040,630,48,28,2.5,220,1900,48,1,10,57,NA,NA,NA,"Other"
"198","Burger King","Bacon King Jr",730,351,39,9,0,90,1930,63,0,16,32,NA,NA,NA,"Other"
"199","Burger King","BBQ Bacon King",1100,675,75,29,3,220,1850,51,NA,13,57,NA,NA,NA,"Other"
"200","Burger King","Cheeseburger",300,130,14,6,0,45,710,28,1,6,16,NA,NA,NA,"Other"
"201","Burger King","Double Bacon Cheeseburger",520,280,31,14,1,105,1180,33,1,8,31,NA,NA,NA,"Other"
"202","Burger King","Double Cheeseburger",450,230,26,12,1,95,960,29,1,6,26,NA,NA,NA,"Other"
"203","Burger King","Double Hamburger",360,160,18,8,0,70,520,28,1,6,22,NA,NA,NA,"Other"
"204","Burger King","Double Quarter Pound King",900,486,54,25,3,210,1740,50,2,11,56,NA,NA,NA,"Other"
"205","Burger King","Extra Long Cheeseburger",580,300,33,13,1.5,85,1030,45,2,9,26,NA,NA,NA,"Other"
"206","Burger King","Farmhouse King",1220,720,80,28,3,335,2050,62,NA,15,NA,NA,NA,NA,"Other"
"207","Burger King","Hamburger",260,90,10,4,0,35,490,28,1,6,13,NA,NA,NA,"Other"
"208","Burger King","Homestyle Cheeseburger",550,250,27,12,1.5,95,1140,48,2,10,30,NA,NA,NA,"Other"
"209","Burger King","Jalapeno King Sandwich",990,585,65,24,3,205,1550,46,2,7,55,NA,NA,NA,"Other"
"210","Burger King","Mushroom & Swiss King",940,567,63,21,2.5,175,1380,45,NA,8,49,NA,NA,NA,"Other"
"211","Burger King","Rodeo Burger",310,110,13,4,0.5,25,450,38,1,9,9,NA,NA,NA,"Other"
"212","Burger King","Rodeo King",1250,738,82,31,3.5,230,2270,69,3,14,60,NA,NA,NA,"Other"
"213","Burger King","Sourdough King Single",730,387,43,16,1.5,125,1570,52,2,12,35,NA,NA,NA,"Other"
"214","Burger King","Sourdough King Double",970,549,61,24,3,205,1640,52,2,12,55,NA,NA,NA,"Other"
"215","Burger King","Steakhouse King",1100,666,74,24,1,180,1620,59,NA,13,50,NA,NA,NA,"Other"
"216","Burger King","Bacon & Cheese Whopper",770,432,48,16,2,95,1360,47,2,9,29,NA,NA,NA,"Other"
"217","Burger King","DOUBLE WHOPPER w/o Cheese",900,510,57,19,2,140,1050,51,3,11,47,NA,NA,NA,"Other"
"218","Burger King","DOUBLE WHOPPER w/ Cheese",990,580,65,24,2,160,1480,53,3,11,52,NA,NA,NA,"Other"
"219","Burger King","WHOPPER w/o Cheese",660,360,40,12,1.5,90,980,49,2,11,28,NA,NA,NA,"Other"
"220","Burger King","WHOPPER w/ Cheese",760,430,47,16,1,100,1410,53,3,11,33,NA,NA,NA,"Other"
"221","Burger King","WHOPPER JR. w/o Cheese",340,170,19,5,0,40,510,28,2,6,14,NA,NA,NA,"Other"
"222","Burger King","WHOPPER JR. w/ Cheese",380,210,23,8,1,55,730,29,2,6,16,NA,NA,NA,"Other"
"223","Burger King","Bacon Cheddar Ranch Chicken Salad w/ grilled Chicken & Dressing",590,360,40,12,0,150,1540,18,3,6,42,NA,NA,NA,"Other"
"224","Burger King","Bacon Cheddar Ranch Chicken Salad w/ crispy Chicken & Dressing",720,450,50,13,0,120,1960,32,5,7,36,NA,NA,NA,"Other"
"225","Burger King","Chicken BLT Salad w/ Grilled Chicken",550,330,37,10,0,115,1640,17,3,5,36,NA,NA,NA,"Other"
