tconst,parent_tconst,season_number,episode_number,primary_title,original_title,year,runtime_minutes,genres,simple_title,average_rating,num_votes,parent_title_type,parent_primary_title,parent_original_title,parent_start_year,parent_end_year,parent_runtime_minutes,parent_genres,parent_simple_title,parent_average_rating,parent_num_votes,christmas,hanukkah,kwanzaa,holiday
tt0330150,tt0313093,1,11,A Christmas Carol,A Christmas Carol,1953,60,Drama,a christmas carol,2.9,13,tvSeries,Ponds Theater,Kraft Television Theatre,1953,NA,60,Drama,ponds theater,7.6,47,TRUE,FALSE,FALSE,FALSE
tt0338144,tt0098929,3,20,It's a Wonderful Tiny Toons Christmas Special,It's a Wonderful Tiny Toons Christmas Special,1992,22,"Adventure,Animation,Comedy",its a wonderful tiny toons christmas special,7.4,180,tvSeries,Tiny Toon Adventures,Tiny Toon Adventures,1990,1995,21,"Adventure,Animation,Comedy",tiny toon adventures,7.5,14032,TRUE,FALSE,FALSE,FALSE
tt0353393,tt0132666,45,6,Eloise at Christmastime,Eloise at Christmastime,2003,89,"Adventure,Comedy,Drama",eloise at christmastime,6.9,2463,tvSeries,The Wonderful World of Disney,The Wonderful World of Disney,1997,2023,120,"Adventure,Comedy,Drama",the wonderful world of disney,7.4,1005,TRUE,FALSE,FALSE,FALSE
tt0365495,tt0096657,1,7,"Merry Christmas, Mr. Bean","Merry Christmas, Mr. Bean",1992,30,"Comedy,Family",merry christmas mr bean,8.9,2633,tvSeries,Mr. Bean,Mr. Bean,1990,1995,25,"Comedy,Family",mr bean,8.6,129873,TRUE,FALSE,FALSE,FALSE
tt0387300,tt0043208,6,11,The I Love Lucy Christmas Show,The I Love Lucy Christmas Show,1956,30,"Comedy,Family",the i love lucy christmas show,8.2,549,tvSeries,I Love Lucy,I Love Lucy,1951,1957,30,"Comedy,Family",i love lucy,8.5,28290,TRUE,FALSE,FALSE,FALSE
tt0394400,tt0115128,2,13,A Christmas Peril/Ms. Banshee's Holiday Hits/Good Morning Dr. Harvey/Fright Before Christmas,A Christmas Peril/Ms. Banshee's Holiday Hits/Good Morning Dr. Harvey/Fright Before Christmas,1996,NA,"Adventure,Animation,Comedy",a christmas perilms banshees holiday hitsgood morning dr harveyfright before christmas,5.4,13,tvSeries,The Spooktacular New Adventures of Casper,Casper,1996,1998,25,"Adventure,Animation,Comedy",the spooktacular new adventures of casper,5.8,1194,TRUE,FALSE,FALSE,TRUE
tt0394793,tt0115275,4,9,A Class Act Christmas,A Class Act Christmas,1998,21,"Comedy,Drama,Family",a class act christmas,7.5,28,tvSeries,Moesha,Moesha,1996,2001,30,"Comedy,Drama,Family",moesha,5.9,4032,TRUE,FALSE,FALSE,FALSE
tt0394896,tt0098913,NA,NA,Christmas Special - The French Collection,Christmas Special - The French Collection,1993,95,"Action,Drama",christmas special  the french collection,7.6,15,tvSeries,Spender,Spender,1991,1993,50,"Action,Drama",spender,7.6,343,TRUE,FALSE,FALSE,FALSE
tt0419132,tt0377260,2,0,Christmas in Chatsworth,Christmas in Chatsworth,2004,75,"Comedy,Crime,Drama",christmas in chatsworth,8.1,276,tvSeries,Shameless,Shameless,2004,2013,90,"Comedy,Crime,Drama",shameless,8,18005,TRUE,FALSE,FALSE,FALSE
tt0424386,tt1528548,8,4,Billie Holiday: Sensational Lady,Billie Holiday: Sensational Lady,2001,57,Documentary,billie holiday sensational lady,7.8,14,tvSeries,Reputations,Reputations,1994,2002,50,Documentary,reputations,7.5,20,FALSE,FALSE,FALSE,TRUE
tt0435713,tt0075471,14,1,P.J.'s Unfunnybunny Christmas,P.J.'s Unfunnybunny Christmas,1993,22,"Adventure,Animation,Comedy",pjs unfunnybunny christmas,5.9,10,tvSeries,ABC Weekend Specials,ABC Weekend Specials,1977,1995,30,"Adventure,Animation,Comedy",abc weekend specials,7.9,338,TRUE,FALSE,FALSE,FALSE
tt0451017,tt9319744,NA,NA,Christmas in Rockefeller Center,Christmas in Rockefeller Center 2004,2004,60,NA,christmas in rockefeller center,6.5,15,tvSeries,Christmas in Rockefeller Center,Christmas in Rockefeller Center,1990,NA,NA,NA,christmas in rockefeller center,5.6,10,TRUE,FALSE,FALSE,FALSE
tt0467583,tt0088475,NA,NA,The Homemade Xmas Video,The Homemade Xmas Video,1987,30,Comedy,the homemade xmas video,8.8,61,tvSeries,Alas Smith & Jones,Alas Smith & Jones,1984,1998,30,Comedy,alas smith  jones,7.4,1891,TRUE,FALSE,FALSE,FALSE
tt0469836,tt1190823,1,2,"Berry, Merry Christmas","Berry, Merry Christmas",2003,43,"Animation,Family,Musical",berry merry christmas,6.8,82,tvSeries,Strawberry Shortcake,Strawberry Shortcake,2003,2008,30,"Animation,Family,Musical",strawberry shortcake,5.4,510,TRUE,FALSE,FALSE,FALSE
tt0501004,tt0218744,1,20,A Very Canine Christmas,A Very Canine Christmas,2000,NA,"Comedy,Family,Fantasy",a very canine christmas,5.1,12,tvSeries,100 Deeds for Eddie McDowd,100 Deeds for Eddie McDowd,1999,2002,30,"Comedy,Family,Fantasy",100 deeds for eddie mcdowd,7,821,TRUE,FALSE,FALSE,FALSE
tt0501975,tt0092312,2,11,Christmas in Saigon,Christmas in Saigon,1987,47,"Crime,Drama,Mystery",christmas in saigon,7.8,162,tvSeries,21 Jump Street,21 Jump Street,1987,1991,60,"Crime,Drama,Mystery",21 jump street,7.2,13749,TRUE,FALSE,FALSE,FALSE
tt0501987,tt0092312,4,25,Everyday Is Christmas,Everyday Is Christmas,1990,47,"Crime,Drama,Mystery",everyday is christmas,7.6,85,tvSeries,21 Jump Street,21 Jump Street,1987,1991,60,"Crime,Drama,Mystery",21 jump street,7.2,13749,TRUE,FALSE,FALSE,FALSE
tt0502085,tt0088470,5,12,Guess Who's Not Coming to Christmas,Guess Who's Not Coming to Christmas,1989,25,Comedy,guess whos not coming to christmas,7.9,21,tvSeries,227,227,1985,1990,30,Comedy,227,6.7,3860,TRUE,FALSE,FALSE,FALSE
tt0502096,tt0088470,1,13,Mary's Christmas,Mary's Christmas,1985,24,Comedy,marys christmas,7,31,tvSeries,227,227,1985,1990,30,Comedy,227,6.7,3860,TRUE,FALSE,FALSE,FALSE
tt0503772,tt0115083,10,11,X-Mas,X-Mas,2005,44,"Comedy,Drama,Family",xmas,6.4,74,tvSeries,7th Heaven,7th Heaven,1996,2007,60,"Comedy,Drama,Family",7th heaven,5.2,26674,TRUE,FALSE,FALSE,FALSE
tt0503786,tt0312081,3,12,A Very C.J. Christmas,A Very C.J. Christmas,2004,NA,"Comedy,Drama",a very cj christmas,7.2,92,tvSeries,8 Simple Rules,8 Simple Rules... for Dating My Teenage Daughter,2002,2005,30,"Comedy,Drama",8 simple rules,7,26665,TRUE,FALSE,FALSE,FALSE
tt0503787,tt0312081,1,12,All I Want for Christmas,All I Want for Christmas,2002,20,"Comedy,Drama",all i want for christmas,6.8,142,tvSeries,8 Simple Rules,8 Simple Rules... for Dating My Teenage Daughter,2002,2005,30,"Comedy,Drama",8 simple rules,7,26665,TRUE,FALSE,FALSE,FALSE
tt0503825,tt0312081,2,9,Merry Christmas: The Story of Anne Frank and Skeevy,Merry Christmas: The Story of Anne Frank and Skeevy,2003,20,"Comedy,Drama",merry christmas the story of anne frank and skeevy,7.4,106,tvSeries,8 Simple Rules,8 Simple Rules... for Dating My Teenage Daughter,2002,2005,30,"Comedy,Drama",8 simple rules,7,26665,TRUE,FALSE,FALSE,FALSE
tt0504171,tt0084967,1,8,Holiday in the Hills,Holiday in the Hills,1983,49,"Action,Adventure,Crime",holiday in the hills,7.1,418,tvSeries,The A-Team,The A-Team,1983,1987,60,"Action,Adventure,Crime",the ateam,7.5,41005,FALSE,FALSE,FALSE,TRUE
tt0504387,tt0090390,2,12,ALF's Special Christmas: Part 1,ALF's Special Christmas: Part 1,1987,48,"Comedy,Family,Sci-Fi",alfs special christmas part 1,8.3,502,tvSeries,ALF,ALF,1986,2004,30,"Comedy,Family,Sci-Fi",alf,7.4,38205,TRUE,FALSE,FALSE,FALSE
tt0504388,tt0090390,2,13,ALF's Special Christmas: Part 2,ALF's Special Christmas: Part 2,1987,21,"Comedy,Family,Sci-Fi",alfs special christmas part 2,8.2,424,tvSeries,ALF,ALF,1986,2004,30,"Comedy,Family,Sci-Fi",alf,7.4,38205,TRUE,FALSE,FALSE,FALSE
tt0504856,tt0285351,1,10,An According to Jiminy Christmas,An According to Jiminy Christmas,2001,22,"Comedy,Romance",an according to jiminy christmas,6.6,191,tvSeries,According to Jim,According to Jim,2001,2009,30,"Comedy,Romance",according to jim,6.5,37734,TRUE,FALSE,FALSE,FALSE
tt0504911,tt0285351,2,10,The Christmas Party,The Christmas Party,2002,20,"Comedy,Romance",the christmas party,6.9,177,tvSeries,According to Jim,According to Jim,2001,2009,30,"Comedy,Romance",according to jim,6.5,37734,TRUE,FALSE,FALSE,FALSE
tt0505251,tt0062539,7,11,Christmas,Christmas,1974,25,"Crime,Drama",christmas,8.3,86,tvSeries,Adam-12,Adam-12,1968,1975,30,"Crime,Drama",adam12,7.7,4801,TRUE,FALSE,FALSE,FALSE
tt0505295,tt0062539,1,13,Log 122: Christmas - The Yellow Dump Truck,Log 122: Christmas - The Yellow Dump Truck,1968,25,"Crime,Drama",log 122 christmas  the yellow dump truck,7.8,139,tvSeries,Adam-12,Adam-12,1968,1975,30,"Crime,Drama",adam12,7.7,4801,TRUE,FALSE,FALSE,FALSE
tt0505416,tt0057729,2,15,Christmas with the Addams Family,Christmas with the Addams Family,1965,25,"Comedy,Family,Horror",christmas with the addams family,8,262,tvSeries,The Addams Family,The Addams Family,1964,1966,30,"Comedy,Family,Horror",the addams family,8,21381,TRUE,FALSE,FALSE,FALSE
tt0506070,tt0047705,1,3,The Orphans' Christmas,The Orphans' Christmas,1957,NA,"Adventure,Family",the orphans christmas,8,53,tvSeries,The Adventures of Long John Silver,The Adventures of Long John Silver,1956,1957,30,"Adventure,Family",the adventures of long john silver,7.1,177,TRUE,FALSE,FALSE,FALSE
tt0506087,tt0044230,6,11,Christmas Tree Lot,Christmas Tree Lot,1957,30,"Comedy,Drama,Family",christmas tree lot,7.6,46,tvSeries,The Adventures of Ozzie and Harriet,The Adventures of Ozzie and Harriet,1952,1966,30,"Comedy,Drama,Family",the adventures of ozzie and harriet,7.4,1553,TRUE,FALSE,FALSE,FALSE
tt0506142,tt0105933,3,11,O' Christmas Pete,O' Christmas Pete,1995,NA,"Comedy,Drama,Family",o christmas pete,7.9,96,tvSeries,The Adventures of Pete & Pete,The Adventures of Pete & Pete,1992,1996,30,"Comedy,Drama,Family",the adventures of pete  pete,8.4,9861,TRUE,FALSE,FALSE,FALSE
tt0506210,tt0046576,2,16,Rin Tin Tin and the Christmas Story,Rin Tin Tin and the Christmas Story,1955,30,"Family,Western",rin tin tin and the christmas story,7.8,15,tvSeries,The Adventures of Rin Tin Tin,The Adventures of Rin Tin Tin,1954,1959,30,"Family,Western",the adventures of rin tin tin,7,831,TRUE,FALSE,FALSE,FALSE
tt0506368,tt0047706,3,13,The Christmas Goose,The Christmas Goose,1957,25,"Action,Adventure,Family",the christmas goose,7.6,41,tvSeries,The Adventures of Robin Hood,The Adventures of Robin Hood,1955,1960,30,"Action,Adventure,Family",the adventures of robin hood,7.6,852,TRUE,FALSE,FALSE,FALSE
tt0508128,tt0047708,1,23,Back for Christmas,Back for Christmas,1956,30,Drama,back for christmas,7.6,1098,tvSeries,Alfred Hitchcock Presents,Alfred Hitchcock Presents,1955,1962,25,Drama,alfred hitchcock presents,8.5,18874,TRUE,FALSE,FALSE,FALSE
tt0508772,tt0073955,6,9,Mel's Christmas Carol,Mel's Christmas Carol,1981,24,Comedy,mels christmas carol,7.5,72,tvSeries,Alice,Alice,1976,1985,30,Comedy,alice,6.8,5328,TRUE,FALSE,FALSE,FALSE
tt0509097,tt0387714,2,9,The Finster Who Stole Christmas,The Finster Who Stole Christmas,2005,23,"Action,Adventure,Animation",the finster who stole christmas,7,53,tvSeries,All Grown Up!,All Grown Up!,2003,2008,30,"Action,Adventure,Animation",all grown up,5.5,5635,TRUE,FALSE,FALSE,FALSE
tt0509425,tt0163924,1,41,Christmas Spice,Christmas Spice,1998,44,Drama,christmas spice,9.7,44,tvSeries,All Saints,All Saints,1998,2009,60,Drama,all saints,7.1,1589,TRUE,FALSE,FALSE,FALSE
tt0509484,tt0163924,2,43,Ghosts of Christmas Past,Ghosts of Christmas Past,1999,43,Drama,ghosts of christmas past,8.4,13,tvSeries,All Saints,All Saints,1998,2009,60,Drama,all saints,7.1,1589,TRUE,FALSE,FALSE,FALSE
tt0509842,tt0066626,2,13,Christmas Day at the Bunkers',Christmas Day at the Bunkers',1971,26,"Comedy,Drama",christmas day at the bunkers,8.3,267,tvSeries,All in the Family,All in the Family,1971,1979,30,"Comedy,Drama",all in the family,8.4,18175,TRUE,FALSE,FALSE,FALSE
tt0509858,tt0066626,4,15,Edith's Christmas Story,Edith's Christmas Story,1973,25,"Comedy,Drama",ediths christmas story,8.1,207,tvSeries,All in the Family,All in the Family,1971,1979,30,"Comedy,Drama",all in the family,8.4,18175,TRUE,FALSE,FALSE,FALSE
tt0510009,tt0362404,3,11,Who Took the Merry Out of Christmas,Who Took the Merry Out of Christmas,2005,20,Comedy,who took the merry out of christmas,7.9,68,tvSeries,All of Us,All of Us,2003,2023,30,Comedy,all of us,5.8,1654,TRUE,FALSE,FALSE,FALSE
tt0510274,tt0118254,3,8,Blue Christmas,Blue Christmas,1999,42,"Comedy,Drama,Fantasy",blue christmas,7.5,168,tvSeries,Ally McBeal,Ally McBeal,1997,2002,45,"Comedy,Drama,Fantasy",ally mcbeal,6.9,35682,TRUE,FALSE,FALSE,FALSE
tt0510318,tt0118254,4,7,Love on Holiday,Love on Holiday,2000,41,"Comedy,Drama,Fantasy",love on holiday,7.7,237,tvSeries,Ally McBeal,Ally McBeal,1997,2002,45,"Comedy,Drama,Fantasy",ally mcbeal,6.9,35682,FALSE,FALSE,FALSE,TRUE
tt0511250,tt0090395,2,11,The Twelve Songs of Christmas,The Twelve Songs of Christmas,1987,22,Comedy,the twelve songs of christmas,7.9,20,tvSeries,Amen,Amen,1986,1991,30,Comedy,amen,6.8,2251,TRUE,FALSE,FALSE,FALSE
tt0511272,tt0090395,1,11,Your Christmas Show of Shows,Your Christmas Show of Shows,1986,24,Comedy,your christmas show of shows,7,26,tvSeries,Amen,Amen,1986,1991,30,Comedy,amen,6.8,2251,TRUE,FALSE,FALSE,FALSE
tt0511655,tt0429305,2,16,Hairy Christmas,Hairy Christmas,2006,21,"Action,Adventure,Animation",hairy christmas,8.2,65,tvSeries,American Dragon: Jake Long,American Dragon: Jake Long,2005,2007,30,"Action,Adventure,Animation",american dragon jake long,6.6,13242,TRUE,FALSE,FALSE,FALSE
tt0511789,tt0111880,1,16,Dr. Death Takes a Holiday,Dr. Death Takes a Holiday,1996,46,"Drama,Horror,Thriller",dr death takes a holiday,7.3,79,tvSeries,American Gothic,American Gothic,1995,1998,60,"Drama,Horror,Thriller",american gothic,8.1,4785,FALSE,FALSE,FALSE,TRUE
tt0512035,tt0043175,2,13,The Christmas Story,The Christmas Story,1952,30,Comedy,the christmas story,8.5,32,tvSeries,The Amos 'n Andy Show,The Amos 'n Andy Show,1951,1953,30,Comedy,the amos n andy show,8.6,809,TRUE,FALSE,FALSE,FALSE
tt0512460,tt0053479,1,11,Christmas Story,Christmas Story,1960,26,"Comedy,Family",christmas story,9.2,727,tvSeries,The Andy Griffith Show,The Andy Griffith Show,1960,1968,30,"Comedy,Family",the andy griffith show,8.4,16504,TRUE,FALSE,FALSE,FALSE
tt0513202,tt0105941,1,50,Slippin' on the Ice Song/'Twas the Day Before Christmas/Jingle Boo/The Great Wakkorotti: The Holiday Concert/Toy Shop Terror/Yakko's Universe,Slippin' on the Ice Song/'Twas the Day Before Christmas/Jingle Boo/The Great Wakkorotti: The Holiday Concert/Toy Shop Terror/Yakko's Universe,1993,22,"Adventure,Animation,Comedy",slippin on the ice songtwas the day before christmasjingle boothe great wakkorotti the holiday concerttoy shop terroryakkos universe,8.1,161,tvSeries,Animaniacs,Animaniacs,1993,1998,21,"Adventure,Animation,Comedy",animaniacs,7.9,25382,TRUE,FALSE,FALSE,TRUE
tt0513405,tt0328732,1,14,The Anna Nicole Show Holiday Special,The Anna Nicole Show Holiday Special,2002,21,"Comedy,Reality-TV",the anna nicole show holiday special,7.8,24,tvSeries,The Anna Nicole Show,The Anna Nicole Show,2002,2004,30,"Comedy,Reality-TV",the anna nicole show,4.4,827,FALSE,FALSE,FALSE,TRUE
tt0514063,tt0297494,1,18,Cybernetic Ghost of Christmas Past from the Future,Cybernetic Ghost of Christmas Past from the Future,2002,11,"Animation,Comedy",cybernetic ghost of christmas past from the future,8.5,301,tvSeries,Aqua Teen Hunger Force,Aqua Teen Hunger Force,2000,2023,15,"Animation,Comedy",aqua teen hunger force,7.7,26470,TRUE,FALSE,FALSE,FALSE
tt0514308,tt0078562,4,11,Father Christmas,Father Christmas,1982,NA,Comedy,father christmas,7,36,tvSeries,Archie Bunker's Place,Archie Bunker's Place,1979,1983,30,Comedy,archie bunkers place,6.3,1439,TRUE,FALSE,FALSE,FALSE
tt0514486,tt0068040,3,9,Christmas Crackers,Christmas Crackers,1975,28,Comedy,christmas crackers,7.8,225,tvSeries,Are You Being Served?,Are You Being Served?,1972,1985,28,Comedy,are you being served,8,8984,TRUE,FALSE,FALSE,FALSE
tt0514508,tt0068040,2,5,Hoorah for the Holidays,Hoorah for the Holidays,1974,28,Comedy,hoorah for the holidays,7.8,224,tvSeries,Are You Being Served?,Are You Being Served?,1972,1985,28,Comedy,are you being served,8,8984,FALSE,FALSE,FALSE,TRUE
tt0514531,tt0068040,4,7,The Father Christmas Affair,The Father Christmas Affair,1976,28,Comedy,the father christmas affair,7.7,185,tvSeries,Are You Being Served?,Are You Being Served?,1972,1985,28,Comedy,are you being served,8,8984,TRUE,FALSE,FALSE,FALSE
tt0516948,tt0054518,4,13,Too Many Christmas Trees,Too Many Christmas Trees,1965,52,"Action,Comedy,Crime",too many christmas trees,8.4,437,tvSeries,The Avengers,The Avengers,1961,1969,NA,"Action,Comedy,Crime",the avengers,8.3,8658,TRUE,FALSE,FALSE,FALSE
tt0517592,tt0125602,1,5,Baby-sitters Special Christmas,Baby-sitters Special Christmas,1990,30,"Adventure,Comedy,Family",babysitters special christmas,7.8,22,tvSeries,The Baby-Sitters Club,The Baby-Sitters Club,1990,1990,366,"Adventure,Comedy,Family",the babysitters club,7.4,724,TRUE,FALSE,FALSE,FALSE
tt0517979,tt0203248,7,13,Christmas Special,Christmas Special,2005,68,"Crime,Drama",christmas special,7.3,35,tvSeries,Bad Girls,Bad Girls,1999,2006,90,"Crime,Drama",bad girls,7.9,2533,TRUE,FALSE,FALSE,FALSE
tt0519009,tt0072472,3,10,Christmas Story,Christmas Story,1976,30,"Comedy,Drama",christmas story,8.1,144,tvSeries,Barney Miller,Barney Miller,1975,1982,30,"Comedy,Drama",barney miller,8.3,7112,TRUE,FALSE,FALSE,FALSE
tt0519578,tt0103359,1,38,Christmas with the Joker,Christmas with the Joker,1992,22,"Action,Adventure,Animation",christmas with the joker,7.9,2619,tvSeries,Batman: The Animated Series,Batman: The Animated Series,1992,1995,23,"Action,Adventure,Animation",batman the animated series,9,113296,TRUE,FALSE,FALSE,FALSE
tt0519589,tt0103359,3,6,Harley's Holiday,Harley's Holiday,1994,22,"Action,Adventure,Animation",harleys holiday,8.6,1529,tvSeries,Batman: The Animated Series,Batman: The Animated Series,1992,1995,23,"Action,Adventure,Animation",batman the animated series,9,113296,FALSE,FALSE,FALSE,TRUE
tt0519694,tt0118266,1,1,Holiday Knights,Holiday Knights,1997,22,"Action,Adventure,Animation",holiday knights,7.6,895,tvSeries,The New Batman Adventures,The New Batman Adventures,1997,1999,30,"Action,Adventure,Animation",the new batman adventures,8.4,18645,FALSE,FALSE,FALSE,TRUE
tt0520654,tt0174378,4,10,The Ghost of Christmas Presents,The Ghost of Christmas Presents,2001,NA,Comedy,the ghost of christmas presents,7.6,102,tvSeries,Becker,Becker,1998,2004,22,Comedy,becker,7.3,13900,TRUE,FALSE,FALSE,FALSE
tt0521453,tt0063869,14,2,Holiday,Holiday,1983,50,Comedy,holiday,7.6,45,tvSeries,The Benny Hill Show,The Benny Hill Show,1969,1989,30,Comedy,the benny hill show,7.6,5390,FALSE,FALSE,FALSE,TRUE
tt0521491,tt0307726,2,4,Mervyn's Christmas Pudding,Mervyn's Christmas Pudding,1962,NA,Comedy,mervyns christmas pudding,8.5,11,tvSeries,Benny Hill,Benny Hill,1962,1963,25,Comedy,benny hill,7.6,1363,TRUE,FALSE,FALSE,FALSE
tt0521531,tt0078569,6,13,Home for Christmas,Home for Christmas,1984,NA,"Comedy,Family",home for christmas,7.2,21,tvSeries,Benson,Benson,1979,1986,30,"Comedy,Family",benson,7.1,4008,TRUE,FALSE,FALSE,FALSE
tt0521628,tt0081831,2,5,Almost Like a Holiday,Almost Like a Holiday,1983,50,"Crime,Drama,Mystery",almost like a holiday,7.2,61,tvSeries,Bergerac,Bergerac,1981,1991,90,"Crime,Drama,Mystery",bergerac,6.8,2155,FALSE,FALSE,FALSE,TRUE
tt0521641,tt0081831,3,3,Holiday Snaps,Holiday Snaps,1983,50,"Crime,Drama,Mystery",holiday snaps,7.2,55,tvSeries,Bergerac,Bergerac,1981,1991,90,"Crime,Drama,Mystery",bergerac,6.8,2155,FALSE,FALSE,FALSE,TRUE
tt0521841,tt0285341,1,7,A Christmas Story,A Christmas Story,2001,22,"Comedy,Drama,Family",a christmas story,7.5,62,tvSeries,The Bernie Mac Show,The Bernie Mac Show,2001,2023,30,"Comedy,Drama,Family",the bernie mac show,7.2,8295,TRUE,FALSE,FALSE,FALSE
tt0522440,tt0055662,2,14,Christmas at the Clampetts,Christmas at the Clampetts,1963,30,"Comedy,Family",christmas at the clampetts,7.6,139,tvSeries,The Beverly Hillbillies,The Beverly Hillbillies,1962,1971,25,"Comedy,Family",the beverly hillbillies,7.3,10711,TRUE,FALSE,FALSE,FALSE
