year,week,dataset_name,variables,observations
2019,21,per-capita-plastic-waste-vs-gdp-per-capita,6,22204
2019,22,winemag-data-130k-v2,14,129971
2019,23,ramen_ratings,6,3180
2019,24,meteorites,10,45716
2019,25,bird_counts,6,18706
2019,26,ufo_sightings,11,80332
2019,27,media_franchises,7,321
2019,28,codes,2,212
2019,28,squads,9,552
2019,28,wwc_outcomes,7,568
2019,29,r4ds_members,21,678
2019,30,wildlife_impacts,21,56978
2019,31,video_games,10,26688
2019,32,bob-ross,69,403
2019,33,emperors,16,68
2019,34,nuclear_explosions,16,2051
2019,35,simpsons-guests,1,1386
2019,36,cpu,6,176
2019,36,gpu,8,112
2019,36,ram,10,47
2019,37,saferparks,23,8351
2019,37,tx_injuries,13,542
2019,38,gas_price,3,87
2019,38,national_parks,12,21560
2019,38,state_pop,3,5916
2019,39,school_diversity,15,27944
2019,40,pizza_barstool,22,463
2019,40,pizza_datafiniti,10,10000
2019,40,pizza_jared,9,375
2019,41,ipf_lifts,16,41152
2019,42,big_epa_cars,83,41804
2019,43,horror_movies,12,3328
2019,44,nyc_squirrels,36,3023
2019,45,commute,9,3496
2019,46,loc_cran_packages,7,34477
2019,47,BOTY-votes-2019,8,43460
2019,47,nz_bird,4,217300
2019,48,loans,10,291
2019,49,tickets,7,1260891
2019,50,diseases,6,18870
2019,50,gun_murders,2,23
2019,50,international_murders,4,8
2019,50,nyc_regents,6,102
2019,51,dog_descriptions,36,58180
2019,51,dog_moves,5,90
2019,51,dog_travel,8,6194
2019,52,christmas_lyrics,8,7525
2019,52,christmas_songs,13,387
2020,2,IDCJAC0009_009151_1800_Data,8,19360
2020,2,IDCJAC0009_023011_1800_Data,8,49644
2020,2,IDCJAC0009_040383_1800_Data,8,18571
2020,2,IDCJAC0009_040913_1800_Data,8,7676
2020,2,IDCJAC0009_066062_1800_Data,8,59174
2020,2,IDCJAC0009_070351_1800_Data,8,4388
2020,2,IDCJAC0009_086232_1800_Data,8,20460
2020,2,MODIS_C6_Australia_and_New_Zealand_7d,13,34270
2020,2,fire_nrt_M6_94771,14,149111
2020,2,rainfall,11,179273
2020,2,temperature,5,528278
2020,3,passwords,9,507
2020,4,spotify_songs,23,32833
2020,5,Street_Tree_Map,18,193270
2020,5,sf_trees,12,192987
2020,6,attendance,8,10846
2020,6,games,19,5324
2020,6,standings,15,638
2020,7,H1,31,40060
2020,7,H2,31,79330
2020,7,hotels,32,119390
2020,8,food_consumption,4,1430
2020,9,measles,16,66113
2020,10,game_goals,25,49384
2020,10,season_goals,23,4810
2020,10,top_250,9,251
2020,11,diversity_school,5,50655
2020,11,historical_tuition,4,270
2020,11,salary_potential,7,935
2020,11,tuition_cost,10,2973
2020,11,tuition_income,7,209012
2020,12,office_ratings,6,188
2020,13,dod_tbi_2006,1,6840
2020,13,tbi_age,5,231
2020,13,tbi_military,5,450
2020,13,tbi_year,5,216
2020,14,beer_states,4,1872
2020,14,beer_taxed,10,1580
2020,14,brewer_size,6,137
2020,14,brewing_materials,9,1440
2020,15,stage_data,11,255752
2020,15,tdf_stages,8,2236
2020,15,tdf_winners,19,106
2020,16,polls,9,535
2020,16,rankings,12,311
2020,17,gdpr_text,7,425
2020,17,gdpr_violations,11,250
2020,18,cpi,2,423
2020,18,grosses,14,47524
2020,18,pre-1985-starts,2,19
2020,18,synopses,2,1122
2020,19,critic,4,107
2020,19,items,16,4565
2020,19,user_reviews,4,2999
2020,19,villagers,11,391
2020,20,eruptions,15,11178
2020,20,events,10,41322
2020,20,sulfur,3,2252
2020,20,tree_rings,3,2252
2020,20,volcano,26,958
2020,21,vb_matches,65,76756
2020,22,boston_cocktails,6,3643
2020,22,cocktails,13,2104
2020,23,marbles,14,256
2020,24,firsts,5,479
2020,24,science,7,120
2020,25,african_names,11,91490
2020,25,blackpast,6,896
2020,25,census,8,102
2020,25,slave_routes,8,36110
2020,26,individuals,14,286
2020,26,locations,7,249450
2020,27,character_visualization,7,9800
2020,27,characters,34,4209
2020,27,comic_bechdel,9,308
2020,27,covers,6,184
2020,27,issue_collaborators,4,190
2020,27,locations,4,1413
2020,27,xmen_bechdel,4,545
2020,28,coffee_ratings,43,1339
2020,29,astronauts,24,1277
2020,30,animal_complaints,5,42413
2020,30,animal_outcomes,12,664
2020,30,brisbane_complaints,7,31330
2020,31,penguins,8,344
2020,31,penguins_raw,17,344
2020,32,country_totals,7,185
2020,32,energy_types,7,296
2020,33,avatar,11,13385
2020,33,scene_description,2,7626
2020,34,actions,8,3000
2020,34,plants,24,500
2020,34,threats,8,6000
2020,35,chopped,21,569
2020,36,arable_land_pin,4,11280
2020,36,cereal_crop_yield_vs_fertilizer_application,5,11965
2020,36,cereal_yields_vs_tractor_inputs_in_agriculture,6,49403
2020,36,key_crop_yields,14,13075
2020,36,land_use_vs_yield_change_in_cereal_production,6,49259
2020,37,friends,6,67373
2020,37,friends_emotions,5,12606
2020,37,friends_info,8,236
2020,38,kids,6,23460
2020,39,expeditions,16,10364
2020,39,members,21,76519
2020,39,peaks,8,468
2020,40,beyonce_lyrics,6,22616
2020,40,charts,8,140
2020,40,sales,8,48
2020,40,taylor_swift_lyrics,4,132
2020,41,tournament,19,2092
2020,42,datasaurus,3,1846
2020,43,beer_awards,7,4970
2020,44,wind-turbine,15,6698
2020,45,ikea,14,3694
2020,46,landline,7,6974
2020,46,mobile,7,6277
2020,47,black_in_data,4,6
2020,48,hike_data,8,1958
2020,49,shelters,13,115916
2020,50,women,6,100
2020,51,ninja_warrior,5,889
2020,52,big-mac,19,1386
2021,2,transit_cost,20,544
2021,3,artists,9,3532
2021,3,artwork,20,69201
2021,4,crops,11,48
2021,4,gender,5,48
2021,4,households,4,48
2021,5,plastics,14,13380
2021,6,bach_students,19,41
2021,6,female_bach_students,19,28
2021,6,female_hs_students,19,28
2021,6,hbcu_all,12,32
2021,6,hbcu_black,12,32
2021,6,hs_students,19,48
2021,6,male_bach_students,19,28
2021,6,male_hs_students,19,28
2021,7,home_owner,3,123
2021,7,income_aggregate,5,1854
2021,7,income_distribution,9,2916
2021,7,income_limits,6,3090
2021,7,income_mean,5,3708
2021,7,income_time,3,156
2021,7,lifetime_earn,3,6
2021,7,lifetime_wealth,4,44
2021,7,race_wealth,4,96
2021,7,retirement,3,30
2021,7,student_debt,4,30
2021,8,census,8,102
2021,8,city_rural,2,4
2021,8,conjugal,5,6
2021,8,freed_slaves,3,9
2021,8,furniture,2,6
2021,8,georgia_pop,3,11
2021,8,income,7,7
2021,8,occupation,3,10
2021,9,earn,8,4224
2021,9,employed,7,8184
2021,10,youtube,25,247
2021,11,movies,34,1794
2021,11,raw_bechdel,5,8839
2021,12,games,7,83631
2021,13,issues,3,5745
2021,13,roll_calls,9,6202
2021,13,unvotes,4,869937
2021,14,allCategories,9,5307
2021,14,allNumbers,9,3117
2021,14,allShades,13,6816
2021,14,sephora,8,4371
2021,14,ulta,8,4004
2021,15,brazil_loss,14,13
2021,15,forest,4,475
2021,15,forest_area,4,7846
2021,15,soybean_use,6,9897
2021,15,vegetable_oil,5,143832
2021,16,post_offices,29,166140
2021,17,netflix_titles,12,7787
2021,18,departures,19,9423
2021,19,water,13,473293
2021,20,broadband,5,3143
2021,20,broadband_zip,8,32735
2021,21,survey,18,26232
2021,22,drivers,6,2250
2021,22,records,9,2334
2021,23,castaways,18,744
2021,23,challenges,8,5023
2021,23,jury_votes,5,909
2021,23,summary,19,40
2021,23,viewers,9,596
2021,24,fishing,7,65706
2021,24,stocked,31,56232
2021,25,tweets,13,445
2021,26,parks,28,713
2021,27,animal_rescues,31,7544
2021,28,holidays,12,216
2021,29,scoobydoo,75,603
2021,30,drought,10,325728
2021,31,olympics,15,271116
2021,31,regions,3,230
2021,32,athletes,10,19547
2021,33,chain_investment,5,6035
2021,33,investment,5,6106
2021,33,ipd,5,6106
2021,34,computer,14,2214
2021,35,lemur_data,54,82609
2021,35,taxonomy,3,27
2021,36,bird_baths,5,161057
2021,37,circuits,9,77
2021,37,constructor_results,5,11860
2021,37,constructor_standings,7,12626
2021,37,constructors,5,211
2021,37,driver_standings,7,33206
2021,37,drivers,9,853
2021,37,lap_times,6,504917
2021,37,pit_stops,7,8496
2021,37,qualifying,9,8953
2021,37,races,8,1058
2021,37,results,18,25220
2021,37,seasons,2,72
2021,37,status,2,137
2021,38,audio_features,22,29503
2021,38,billboard,10,327895
2021,39,nominees,10,29678
2021,40,authors,4,15437
2021,40,paper_authors,2,67090
2021,40,paper_programs,2,53996
2021,40,papers,4,29434
2021,40,programs,3,21
2021,41,nurses,22,1242
2021,42,aquaculture-farmed-fish-production,4,11657
2021,42,capture-fisheries-vs-aquaculture,5,14674
2021,42,capture-fishery-production,4,14516
2021,42,fish-and-seafood-consumption-per-capita,4,11028
2021,42,fish-stocks-within-sustainable-levels,5,51
2021,42,global-fishery-catch-by-sector,8,61
2021,42,seafood-and-fish-production-thousand-tonnes,10,10326
2021,43,pumpkins,14,28065
2021,44,race,13,1207
2021,44,ultra_rankings,8,137803
2021,48,directors,2,172
2021,48,episodes,12,172
2021,48,imdb,6,160
2021,48,writers,2,185
2021,49,matches,24,1237
2021,50,spiders,10,49785
2021,51,lyrics,9,1885
2021,51,related_artists,5,89
2021,51,studio_album_tracks,25,31
2021,52,starbucks,15,1147
2022,2,colony,10,1222
2022,2,stressor,5,7332
2022,3,chocolate,10,2530
2022,4,details,23,21631
2022,4,ratings,10,21831
2022,5,breed_rank,11,195
2022,5,breed_traits,17,195
2022,5,trait_description,4,16
2022,6,airmen,16,1006
2022,8,freedom,8,4979
2022,9,stations,70,59927
2022,10,erasmus,24,164635
2022,11,bioc,4,608016
2022,11,cran,5,109408
2022,12,applicants,3,276
2022,12,babynames,5,1924665
2022,12,births,2,109
2022,12,lifetables,9,2880
2022,12,maorinames,6,120
2022,12,nz_births,4,86
2022,12,nz_lifetables,12,85446
2022,12,nz_names,4,69374
2022,13,sports,28,132327
2022,14,news_orgs,40,741
2022,15,death_fuel,7,8091
2022,15,death_source,4,8010
2022,15,death_timeseries,7,8091
2022,15,fuel_access,4,3995
2022,15,fuel_gdp,7,57108
2022,15,indoor_pollution,4,8010
2022,16,big_dave,9,214794
2022,16,times,9,100661
2022,17,hidden_gems,12,300
2022,18,average_cost,4,13
2022,18,capacity,7,49
2022,18,solar,3,328
2022,18,wind,3,328
2022,19,nyt_full,1,60386
2022,19,nyt_titles,8,7431
2022,20,eurovision,18,2005
2022,20,eurovision-votes,8,56312
2022,21,fifteens,15,1468
2022,21,sevens,16,7966
2022,22,poll,8,500
2022,22,reputation,5,700
2022,23,contribution_data_all_states,13,13210
2022,23,corp_by_politician,4,103
2022,23,donors,5,5497
2022,23,fortune_agg,4,117
2022,23,fortune_aggregates,4,117
2022,23,pride_aggregates,4,31
2022,23,pride_sponsors,6,364
2022,23,static_list,6,126
2022,24,drought,14,73344
2022,24,drought-fips,4,3771791
2022,25,african_names,11,91490
2022,25,blackpast,6,896
2022,25,census,8,102
2022,25,firsts,5,479
2022,25,science,7,120
2022,25,slave_routes,8,36110
2022,26,paygap,27,48711
2022,27,new_construction,10,261
2022,27,rent,17,200796
2022,27,sf_permits,44,86103
2022,28,flights,14,688099
2022,29,technology,7,491636
2022,31,frogs,16,311
2022,32,wheels,22,73
2022,33,characters,7,889
2022,33,myers_briggs,7,14224
2022,33,psych_stats,10,356489
2022,34,chips,5,23
2022,35,pell,6,100474
2022,37,bigfoot,28,5021
2022,38,HydroWASTE_v10,25,58502
2022,39,artists,7,3380
2022,40,product_hunt,12,76822
2022,41,yarn,24,100000
2022,42,episodes,6,34
2022,42,stranger_things_all_dialogue,8,32519
2022,43,bakers,24,120
2022,43,challenges,7,1136
2022,43,episodes,10,94
2022,43,ratings,11,94
2022,44,horror_movies,20,32540
2022,45,state_stations,6,17186
2022,45,station_info,6,2065
2022,47,museums,35,4191
2022,48,wcmatches,15,900
2022,48,worldcups,10,21
2022,49,elevators,29,76088
2022,50,coverage_codes,2,5
2022,50,state_retail,9,27456
2022,51,cities,11,236
2022,51,outlook_meanings,2,23
2022,51,weather_forecasts,10,651968
2022,52,tlBooks,14,2122
2022,52,tlFootnotes,2,493
2023,2,PFW_2021_public,22,100000
2023,2,PFW_count_site_data_public_2021,62,254355
2023,3,artists,14,3162
2023,4,episodes,11,98
2023,4,loadouts,6,940
2023,4,seasons,8,9
2023,4,survivalists,16,94
2023,5,cats_uk,11,18215
2023,5,cats_uk_reference,16,101
2023,6,big_tech_companies,2,14
2023,6,big_tech_stock_prices,8,45088
2023,7,age_gaps,13,1155
2023,8,bob_ross,27,403
2023,9,afrisenti,4,111720
2023,9,country_regions,2,15
2023,9,language_countries,2,23
2023,9,language_scripts,2,15
2023,9,languages,2,14
2023,10,numbats,16,805
2023,11,drugs,28,1988
2023,12,languages,49,4303
2023,13,countries,2,240
2023,13,timezone_countries,2,428
2023,13,timezones,4,337
2023,13,transitions,6,37284
2023,14,soccer21-22,22,380
2023,15,cage-free-percentages,4,96
2023,15,egg-production,6,220
2023,16,founder_crops,24,4490
2023,17,london_marathon,8,42
2023,17,winners,5,163
2023,18,plots,2,8
2023,18,species,15,21
2023,18,surveys,22,28364
2023,19,childcare_costs,61,34567
2023,19,counties,4,3144
2023,20,tornados,27,68693
2023,21,squirrel_data,31,3023
2023,22,centenarians,8,200
2023,23,owid-energy,129,21890
2023,24,safi_data,14,131
2023,25,day_parts_map,12,26409
2023,25,places,10,14417
2023,25,ufo_sightings,12,96429
2023,26,us_place_history,3,27704
2023,26,us_place_names,9,187519
2023,27,historical_markers,17,42724
2023,27,no_markers,2,103
2023,28,global_temps,19,144
2023,28,nh_temps,19,144
2023,28,sh_temps,19,144
2023,28,zonann_temps,15,143
2023,29,detectors,9,6185
2023,30,scurvy,8,12
2023,31,state_name_etymology,5,56
2023,31,states,14,50
2023,32,episodes,8,300
2023,32,sauces,4,210
2023,32,seasons,5,21
2023,33,spam,7,4601
2023,34,population,16,64809
2023,35,fair_use_cases,7,251
2023,35,fair_use_findings,9,251
2023,36,demographics,8,1327
2023,36,states,11,10200
2023,36,wages,9,1247
2023,37,all_countries,7,4776
2023,37,country_regions,15,248
2023,37,global_economic_activity,3,24
2023,37,global_human_day,3,24
2023,38,cran_20230905,67,19838
2023,38,cran_graph_edges,3,126988
2023,38,cran_graph_nodes,5,15419
2023,38,package_authors,2,51281
2023,39,richmondway,16,34
2023,40,grant_opportunity_details,68,2000
2023,40,grants,17,74669
2023,41,haunted_places,10,10992
2023,42,taylor_album_songs,29,194
2023,42,taylor_albums,5,14
2023,42,taylor_all_songs,29,274
2023,43,patient_risk_profiles,100,100
2023,44,horror_articles,7,253
2023,45,house,20,32452
2023,46,diwali_sales_data,13,11251
2023,47,rladies_chapters,6,4268
2023,48,drwho_directors,2,175
2023,48,drwho_episodes,12,175
2023,48,drwho_writers,2,186
2023,49,life_expectancy,4,20755
2023,49,life_expectancy_different_ages,9,20755
2023,49,life_expectancy_female_male,4,19922
2023,50,holiday_movie_genres,2,4531
2023,50,holiday_movies,14,2265
2023,51,holiday_episode_genres,2,4743
2023,51,holiday_episodes,26,2288
2023,52,cran_20221122,94,24095
2023,52,external_calls,4,154139
2023,52,internal_calls,3,22564
2024,2,canada_births_1991_2022,3,384
2024,2,nhl_player_births,9,8474
2024,2,nhl_rosters,18,54883
2024,2,nhl_teams,2,59
2024,3,polling_places,15,461445
2024,4,english_education,31,1104
2024,5,groundhogs,17,75
2024,5,predictions,4,1462
2024,6,heritage,3,3
2024,7,gifts_age,9,6
2024,7,gifts_gender,9,2
2024,7,historical_spending,10,13
2024,8,isc_grants,7,85
2024,9,births,4,121
2024,9,deaths,4,62
2024,9,events,2,37
2024,10,trashwheel,16,998
2024,11,fiscal_sponsor_directory,12,370
2024,12,mutant_moneyball,45,26
2024,13,public-picks,9,64
2024,13,team-results,20,236
2024,14,dubois_week10,2,6
2024,15,eclipse_annular_2023,10,811
2024,15,eclipse_partial_2023,9,31363
2024,15,eclipse_partial_2024,9,28844
2024,15,eclipse_total_2024,10,3330
2024,16,package_details,63,18474
2024,16,shiny_revdeps,3,146135
2024,17,outer_space_objects,4,1175
2024,18,wwbi_country,29,202
2024,18,wwbi_data,4,141985
2024,18,wwbi_series,2,302
2024,19,rolling_stone,21,691
2024,20,coffee_survey,57,4042
2024,21,emissions,7,12551
2024,22,harvest_2020,5,781
2024,22,harvest_2021,5,726
2024,22,planting_2020,7,93
2024,22,planting_2021,7,102
2024,22,spending_2020,6,65
2024,22,spending_2021,5,18
2024,23,cheeses,19,1187
2024,24,pride_index,5,238
2024,24,pride_index_tags,18,238
2024,25,federal_holidays,6,11
2024,25,proposed_federal_holidays,4,9
2024,26,lgbtq_movies,12,7165
