rcid,session,importantvote,date,unres,amend,para,short,descr
21,1,0,1946-12-01,R/1/1061A,1,0,INDIANS IN SOUTH AFRICA,"TO ADOPT S. AFRICA AMENDMENT (A/205/ADD.1) TO JOINT 1ST/6TH COMM. DRAFT RESOLUTION (A/205), PROVIDING THAT THE TREATMENT OF INDIANS IN SOUTH AFRICA SHOULD BE IN CONFORMITYWITH INTERNATIONAL OBLIGATIONS PROVIDED UNDER THE CHARTER AND BY AGREEMEN"
22,1,0,1946-12-01,R/1/1061B,0,0,INDIANS IN SOUTH AFRICA,TO ADOPT JOINT 1ST/6TH COMM. DRAFT RESOLUTION (A/205) PROVIDING THAT THE TREATMENT OF INDIANS IN SOUTH AFRICA SHOULD BE IN CONFORMITY WITH INTERNATIONAL OBLIGATIONS PROVIDED UNDER THE CHARTER AND BY AGREEMENTS BETWEEN INDIA AND SOUTH AFRICA.
23,1,0,1946-12-05,R/1/1222,0,0,"U.N. MEMBERS, RELATIONS WITH SPAIN","TO ADOPT WHOLE 1ST COMM. DRAFT RESOLUTION (A/241) RECOMMENDING THE SECURITY COUNCIL TO CONSIDER ADEQUATE REMEDIAL MEASURES, IF THERE SHOULD NOT BE ESTABLISHED IN SPAIN WITHIN A REASONABLE PERIOD OF TIME A FREELY-ELECTED, FULLY-REPRESENTATIVE DE"
24,1,0,1946-12-05,R/1/1229,0,0,ECOSOC ELECTIONS,"TO ADOPT BELGIAN ORAL PROPOSAL TO SURRENDER BELGIUM'S SEAT IN THE E.S.C., PROVIDING THAT THE NETHERLANDS AND TURKEY BE THEREBY ELECTED TO THE 2 REMAINING VACANCIES."
25,1,0,1946-12-06,R/1/1264,0,0,SECURITY COUNCIL PROCEDURES,TO ADOPT 1ST COMM. DRAFT RESOLUTION (A/235) REQUESTING MODERATED USE OF THE VETO IN THE SECURITY COUNCIL THROUGH CONSULTATION BETWEEN PERMANENT MEMBERS AND RECOMMENDING ADOPTION BY SAID COUNCIL OF PRACTICES AND PROCEDURES DIMINISHING THE DEFECT
26,1,0,1946-12-06,R/1/1286,0,0,TRUSTEESHIP AGREEMENTS,"TO ADOPT USSR ORAL RESOL. REJECTING 8 DRAFT TRUSTEESHIP AGREEMENTS (A/258 AND ADD. 1 AND CORR. 2, CORR. 3, AND REV. 1) SUBMITTED TO THE ASSEMBLY BY ADMINISTERING POWERS AS BEING CONTRARY TO THE REQUIREMENTS OF THE CHARTER CONCERNING THE INTERNA"
27,1,0,1946-12-06,R/1/1287/A,0,0,NEW GUINEA TRUSTEESHIP,"TO ADOPT THE TRUSTEESHIP AGREEMENT FOR NEW GUINEA SUBMITTED BY AUSTRALIA, ON THE BASIS OF 4TH COMM. DRAFT RESOL. (A/258 AND ADD. 1, CORR. 2, CORR. 3, REV.1) WHICH APPROVES EACH OF THE 8 TRUSTEESHIP AGREEMENTS."
28,1,0,1946-12-06,R/1/1287/B,0,0,RUANDA-URUNDI TRUSTEESHIP,"TO ADOPT THE TRUSTEESHIP AGREEMENT FOR RUANDA-URUNDI SUBMITTED BY BELGIUM, INCLUDING THE PROPOSAL ON THE PREAMBLE.  THE AGREEMENT INCLUDING PROPOSAL IS APPROVED BY THE 4TH COMM. DRAFT RESOL. (A/258 AND ADD. 1, CORR. 2, CORR. 3, REV. 1)"
29,1,0,1946-12-06,R/1/1287C,0,0,FRENCH CAMEROONS TRUSTEESHIP,"TO ADOPT THE TRUSTEESHIP AGREEMENT FOR THE FRENCH CAMEROONS  SUBMITTED BY FRANCE, INCLUDING THE PROPOSAL ON THE PREAMBLE. THE AGREEMENT AND PROPOSAL ARE APPROVED BY THE 4TH COM. COMM. DRAFT RESOL. (A/258 AND ADD. 1, CORR. 2, CORR. 3, REV.1)."
30,1,0,1946-12-06,R/1/1288A,0,0,FRENCH TOGOLAND TRUSTEESHIP,"TO ADOPT THE TRUSTEESHIP AGREEMENT FOR FRENCH TOGOLAND SUBMITTED BY FRANCE; SAID AGREEMENT APPROVED IN 4TH COMM DRAFT RESOL. (A/258 AND ADD. 1, CORR. 2, CORR. 3 AND REV.1)."
31,1,0,1946-12-06,GOAR/1/1288B,0,0,WESTERN SAMOA TRUSTEESHIP,"TO ADOPT TRUSTEESHIP AGREEMENT FOR WESTERN SAMOA SUBMITTED BY NEW ZEALAND; SAID AGREEMENT WAS APPROVED IN 4TH COMM. DRAFT RESOL. (A/258 AND ADD. 1, CORR. 2, CORR. 3, AND REV.1)."
32,1,0,1946-12-06,R/1/1288C,0,0,TANGANYIKA TRUSTEESHIP,"TO ADOPT TRUSTEESHIP AGREEMENT FOR TANGANYIKA SUBMITTED BY THE U.K.; AGREEMENT WAS APPROVED IN 4TH COMMITTEE DRAFT RESOL. (A/258 AND ADD. 1, CORR. 2, CORR. 3, REV.1)."
33,1,0,1946-12-06,R/1/1288D,0,0,BRITISH CAMEROONS TRUSTEESHIP,"TO ADOPT TRUSTEESHIP AGREEMENT FOR THE BRITISH CAMEROONS SUBMITTED BY THE U.K., APPROVED IN A 4TH COMM. DRAFT RESOLUTION (A/258 AND ADD. 1, CORR. 2, CORR. 3, REV.1)."
34,1,0,1946-12-06,R/1/1288E,0,0,BRITISH TOGOLAND TRUSTEESHIP,"TO ADOPT THE TRUSTEESHIP AGREEMENT FOR BRITISH TOGOLAND SUBMITTED BY THE U.K.; AGREEMENT WAS APPROVED IN 4TH COMM. DRAFT RESOL. (A/258 AND ADD. 1, CORR. 2, CORR. 3, REV.1)."
35,1,0,1946-12-07,R/1/1327,0,0,S.W. AFRICA TRUSTEESHIP,"TO ADOPT 3-POWER DRAFT RESOL. (A/250/ADD.1/REV.1) INVITING THE UNION OF SOUTH AFRICA TO SUBMIT A TRUSTEESHIP AGREEMENT FOR SOUTH WEST AFRICA, FOR THE GENERAL ASSEMBLY WILL NOT ACCEDE TO INCORPORATION OF THAT TERRITORY INTO SOUTH AFRICA."
36,1,0,1946-12-07,R/1/1355,0,0,S.W. AFRICA TRUSTEESHIP,TO REQUIRE A 2/3 MAJORITY RULE IN VOTING ON THE 4TH COMMITTEE DRAFT RESOL. (A/251) PROVIDING FOR REGIONAL CONFERENCES OF REPRESENTATIVES OF NON-SELF-GOVERNING TERRITORIES TO BE HELD IN ORDER TO DETERMINE THE WILL OF SAID TERRITORIES
37,1,0,1946-12-07,R/1/1356,1,0,"NON-SELF GOVERNING TERRITORIES, AMENDMENT","TO ADOPT A CUBAN AMENDMENT TO A 4TH COMMITTEE DRAFT RESOLUTION (A/251), SAID AMENDMENT PROVIDING THAT THE ADMINISTERING POWERS (INSTEAD OF THE ECONOMIC AND SOCIAL COUNCIL) CONVOKE A FULLY REPRESENTATIVE CONFERENCE OF APPOINTED OR ELECTED REPRES"
38,1,0,1946-12-07,R/1/1357,1,0,"NON SELF GOVERNING TERRITORIES, CONFERENCES",TO ADOPT 4TH COMM.DRAFT RESOL. (A/251) AS AMENDED BY THE CUBAN PROPOSAL THAT THE CONFERENCE BE CONVOKED BY THE ADMINISTERING POWERS.
39,1,0,1946-12-07,R/1/1369,0,1,"NON SELF GOVERNING TERRITORIES, INFORMATION","TO ADOPT PARAGRAPHS 4, 5 AND 6 OF THE 4TH COMM. DRAFT RESOL. (A/249) ON THE TRANSMISSION OF INFORMATION FROM NON-SELF-GOVERNING TERRITORIES, SAID PARAGRAPHS INVITING THE SECRETARY-GENERAL TO CONVENE AN AD. HOC. COMMITTEE CONSISTING OF REPRESENT"
40,1,0,1946-12-07,R/1/1375,0,0,U.N. HEADQUARTERS,TO ADOPT THE PERMANENT HEADQUARTERS COMMITTEE DRAFT RESOLUTIONS I AND II (A/277) ACCEPTING THE TERMS OF THE NEW YORK CITY ENDOWMENT AND PROVIDING FOR A PLANNING COMMISSION TO DEVELOP THE NEW UN HEADQUARTERS SITE.
41,1,0,1946-12-01,R/1/1414A,1,0,ECOSOC CONSULTANTS,"TO ADOPT A USSR AMENDMENT TO JOINT 2ND/3RD COMM. DRAFT RESOL. (A/246), ADDING THE WORDS \AND ALSO THE RIGHTS TO PRESENT WRITTEN AND VERBAL STATEMENTS TO THE ECONOMIC AND SOCIAL COUNCIL ON ALL MATTERS OF CONCERN FOR THE FEDERATION.\\ THE DRAFT R"""
42,1,0,1946-12-01,R/1/1414B,0,0,ECOSOC CONSULTANTS,TO ADOPT THE JOINT 2ND/3RD COMM. DRAFT RESOL. (A/246) ALLOWING THE WORLD FEDERATION OF TRADE UNIONS TO SUBMIT ITEMS FOR INCLUSION IN THE E.S.C. PROVISIONAL AGENDA.
43,1,0,1946-12-01,R/1/1415,0,0,ECOSOC CONSULTANTS,TO ADOPT THE JOINT 2ND/3RD COMMITTEE DRAFT RESOLUTION (A/264) CONCERNING CONSULTATION ARRANGEMENTS WITH NON-GOVERNMENTAL ORGANIZATIONS.
44,1,0,1946-12-01,R/1/1453,0,0,REFUGEE ORGANIZATION,TO ADOPT 5TH COMM. DRAFT RESOL. (A/275) ON THE FINANCING AND BUDGET OF THE INTERNATIONAL REFUGEE ORGANIZATION.
45,1,0,1946-12-01,R/1/1465,0,0,U.N SESSION IN EUROPE,TO ADOPT THE UKRAINIAN DRAFT RESOL. (A/281) CONVENING THE 2ND GENERAL ASSEMBLY REGULAR SESSION IN EUROPE AND AUTHORIZING THE SEC. GEN. TO DETERMINE THE SPECIFIC PLACE THERE.
46,2,0,1947-09-04,R/2/299,0,0,"KOREA, AGENDA","TO ADOPT A GENERAL COMM. RECOMMENDATION (A/392) TO INCLUDE ITEM 60 ON THE QUESTION OF KOREAN INDEPENDENCE, IN THE AGENDA."
47,2,0,1947-10-05,R/2/355,1,0,"TRAFFIC IN WOMEN, CHILDREN",TO ADOPT A UK AMENDMENT (A/417) TO THE 3RD COMM. DRAFT RESOL. (A/412) APPROVING THE HEREIN-ANNEXED PROTOCOLS EFFECTING TRANSFER TO THE UN OF THE LEAGUE OF NATIONS FUNCTIONS AND POWERS OVER TRAFFIC IN WOMEN AND CHILDREN AND IN OBSCENE PUBLICATIO
48,2,0,1947-10-06,R/2/461,0,0,BALKANS,"TO ADOPT 1ST COMMITTEE REPORT (A/409/CORR.1) INCLUDING A RESOLUTION ESTABLISHING A SPECIAL COMMITTEE TO SUPERVISE COMPLIANCE OF ALBANIA, BULGARIA, YUGOSLAVIA AND GREECE WITH PEACE MEASURES RECOMMENDED THEREIN.  THE 1ST COMMITTEE REPORT RELATES"
49,2,0,1947-10-06,R/2/463,0,0,GREECE TROOP WITHDRAWL,"TO ADOPT POLISH DRAFT RESOL. (A/411) CALLING FOR WITHDRAWAL OF ALL FOREIGN TROOPS, MISSIONS, INSTRUCTORS, AND EXPERTS FROM GREECE."
50,2,0,1947-10-06,R/2/465,0,0,GREECE TROOP WITHDRAWL,TO ADOPT USSR DRAFT RESOL. (A/C91/199) CALLING FOR IMMEDIATE WITHDRAWAL OF ANGLO-AMERICAN FORCES AND SPECIALISTS FROM GREECE.
51,2,0,1947-10-02,R/2/561,0,0,ECAFE PARTICIPATION,TO ADOPT USSR DRAFT RESOL. (A/439) PROVIDING FOR DIRECT APPLICATION BY NON-SELF-GOVERNING TERRITORIES FOR PARTICIPATION IN THE E.C.A.F.E.
52,2,0,1947-11-06,R/2/650,0,0,TRUSTEESHIP AGREEMENTS,"TO REQUIRE 2/3 MAJORITY RULE IN THE VOTING ON 4TH COMMITTEE DRAFT RESOL. (A/422), REQUESTING FROM SOUTH AFRICA A TRUSTEESHIP AGREEMENT FOR SOUTH WEST AFRICA."
53,2,0,1947-11-06,R/2/651,1,1,S.W. AFRICA TRUSTEESHIP,"TO ADOPT DANISH AMENDMENT (A/429) TO 4TH COMM. DRAFT RESOL. (A/422), SAID AMENDMENT DELETING THE 4TH PREAMBULAR PARAGRAPH STATING THAT IT IS THE CLEAR INTENT OF CHAPTER   XII OF THE UN CHARTER THAT ALL TERRITORIES FORMERLY UNDER MANDATE SHALL B"
54,2,0,1947-11-06,R/2/651,1,0,S.W. AFRICA TRUSTEESHIP,TO ADOPT 4TH COMMITTEE DRAFT RESOL. (A/422) AS AMENDED BY DANISH PROPOSAL.
55,2,0,1947-11-06,R/2/667,1,0,TRUSTEESHIP AGREEMENTS,"TO ADOPT 4TH COMMITTEE DRAFT RESOL. (A/423) REQUESTING ADMINISTERING AUTHORITIES TO SUBMIT TRUSTEESHIP AGREEMENTS FOR THEIR SELF-GOVERNING TERRITORIES; AS AMENDED BY THE CUBAN PROPOSAL (A/442) REPLACING \THE SUREST AND QUICKEST MEANS\\ WITH \\""A"""
56,2,0,1947-11-01,R/2/719,1,0,"NON SELF GOVERNING TERRITORIES, INFORMATION",TO ADOPT A 7-POWER AMENDMENT (A/436) TO 4TH COMM. DRAFT RESOL. II (A/424) AUTHORIZING THE SEC. GENERAL TO UTILIZE ANY DOCUMENTARY MATERIALS FROM ADMINISTERING AUTHORITIES SUPPLEMENTING THEIR INFORMATION ON NON-SELF-GOVERNING TERRITORIES TRANSMI
57,2,0,1947-11-01,R/2/743,0,0,"NON SELF GOVERNING TERRITORIES, INFORMATION","TO REQUIRE 2/3 MAJORITY RULE IN VOTING ON 4TH COMMITTEE DRAFT RESOLUTION V (A/424), WHICH RESOLUTION PROVIDES FOR THE ESTABLISHMENT OF A SPECIAL COMMITTEE TO EXAMINE INFORMATION ON NON-SELF-GOVERNING TERRITORIES SUBMITTED BY ADMINISTERING POWER"
58,2,0,1947-11-01,R/2/744,1,1,"NON SELF GOVERNING TERRITORIES, INFORMATION","TO ADOPT INDIAN AMENDMENT (A/446) TO 4TH COMM. DRAFT RESOL. V (A/424), INSERTING \AS AN EXPERIMENTAL MEASURE\\  AFTER WORDS \\""ELECTED FOR A PERIOD OF TWO YEARS\\"" IN PARAGRAPH 1. THE 4TH COMMITTEE DRAFT RESOLUTION V PROVIDES FOR THE ESTABLISHMEN"""
59,2,0,1947-11-05,R/2/858,0,0,KOREA INDEPENDENCE,TO ADOPT USSR ORAL RESOL. CALLING FOR WITHDRAWAL OF ALL OCCUPATION TROOPS FROM KOREA TO ALLOW EXERCISE OF SELF-DETERMINATION BY THAT STATE.
60,2,0,1947-11-06,R/2/940A,1,0,GENERAL ASSEMBLY MEETING PLACE,"TO ADOPT CUBAN AMENDMENT (A/481) TO THE 2-POWER DRAFT RESOL. (A/452) PROPOSING TO HOLD THE 3RD REGULAR SESSION OF THE UN IN EUROPE, SAID AMENDMENT REQUESTING THE SEC. GENERAL AND HIS 9-MAN ADVISORY COMMITTEE TO SELECT THE TOWN WHEREIN THE ASSEM"
61,2,0,1947-11-06,R/2/940B,0,0,GENERAL ASSEMBLY MEETING PLACE,TO ADOPT 2-POWER DRAFT RESOLUTION (A/452) PROPOSING TO HOLD THE 3RD ASSEMBLY OF THE UN IN EUROPE.
62,2,0,1947-11-01,R/2/1078A,0,0,ADMISSION OF NEW MEMBERS,TO ADOPT 1ST COMM. DRAFT RESOL. III (A/471) RECOMMENDING TO THE SECURITY COUNCIL THE ADMISSION OF IRELAND TO THE UN.
63,2,0,1947-11-01,R/2/1078B,0,0,"ADMISSION, PORTUGAL",TO ADOPT 1ST COMM. DRAFT RESOL. IV (A/471) RECOMMENDING TO SECURITY COUNCIL THE ADMISSION OF PORTUGAL TO THE UN.
64,2,0,1947-11-01,R/2/1079A,0,0,ADMISSION TRANSJORDAN,TO ADOPT 1ST COMMITTEE DRAFT RESOL. V (A/471) RECOMMENDING TO SECURITY COUNCIL THE ADMISSION OF TRANSJORDAN TO THE UN.
65,2,0,1947-11-01,R/2/1079B,0,0,ADMISSION ITALY,TO ADOPT 1ST COMMITTEE DRAFT RESOL. VI (A/471) RECOMMENDING TO SECURITY COUNCIL THE ADMISSION OF ITALY TO THE UN.
66,2,0,1947-11-01,R/2/1079C,0,0,ADMISSION FINLAND,TO ADOPT 1ST COMM. DRAFT RESOL. VII (A/471) RECOMMENDING TO THE SECURITY COUNCIL THE ADMISSION OF FINLAND TO THE UN.
67,2,0,1947-11-01,R/2/1080,0,0,ADMISSION AUSTRIA,TO ADOPT 1ST COMM. DRAFT RESOL. VIII (A/471) RECOMMENDING TO THE SECURITY COUNCIL THE ADMISSION OF AUSTRIA TO THE UN.
68,2,0,1947-11-01,R/2/1095A,0,1,"U.N. MEMBERS, RELATIONS WITH SPAIN",TO ADOPT PARAGRAPH 1 OF THE FIRST COMMITTEE DRAFT RESOLUTION (A/479) DEALING WITH RELATIONS OF UN MEMBERS WITH FRANCO-SPAIN.  PARAGRAPH 1 ACKNOWLEDGES THE SEC. GENERAL'S REPORT ON THE ACTIONS OF UN MEMBER-STATES IN PURSUANCE OF THE ASSEMBLY REC
69,2,0,1947-11-01,R/2/1095B,0,1,"U.N. MEMBERS, RELATIONS WITH SPAIN","TO ADOPT PARAGRAPH 2 OF THE 1ST COMM. DRAFT RESOL. (A/479), SAID PARAGRAPH AFFIRMING THE 12 DEC. 46 RESOLUTION ON RELATIONS OF UN MEMBERS WITH FRANCO-SPAIN."
70,2,0,1947-11-01,R/2/1096,0,1,"U.N. MEMBERS, RELATIONS WITH SPAIN","TO ADOPT PARAGRAPH 3 OF THE 1ST COMM. DRAFT RESOL. (A/479), SAID PARAGRAPH PROVIDING THAT THE SECURITY COUNCIL EXERCISE ITS RESPONSIBILITIES AS THE SITUATION IN SPAIN REQUIRES."
71,2,0,1947-11-04,R/2/1169,0,0,INDIANS IN SOUTH AFRICA,"TO ADOPT 1ST COMM. DRAFT RESOL. (A/492) REQUESTING INDIA, PAKISTAN AND S. AFRICA TO HOLD A ROUND-TABLE CONFERENCE ON THE TREATMENT OF INDIANS IN S. AFRICA."
72,2,0,1947-11-04,R/2/1170,0,0,INDIANS IN SOUTH AFRICA,"TO ADOPT 5-POWER DRAFT RESOL. (A/496) INVITING INDIA, PAKISTAN AND SOUTH AFRICA TO SUBMIT THE QUESTION OF TREATMENT OF INDIANS IN SOUTH AFRICA TO THE INTERNATIONAL COURT OF JUSTICE FOR AN ADVISORY OPINION, SHOULD THE ROUND-TABLE CONFERENCE SUGG"
73,2,0,1947-11-04,R/2/1214,0,1,U.N. BUDGET,"TO ADOPT SUB-PARAGRAPH 4 (G) OF THE 5TH COMM. DRAFT RESOL. III (A/498) ON THE \WORKING CAPITAL FUND\\ OF THE 1948 UN BUDGET, SAID SUB-PARAGRAPH AUTHORIZING THE SEC. GENERAL TO ADVANCE FROM THIS FUND SUCH SUMS, NOT TO EXCEED $5 MILLION FOR EMERG"""
74,2,0,1947-11-05,R/2/1305,1,0,GENOCIDE,"TO ADOPT CHINA AMENDMENT (A/514) TO THE 3-POWER AMENDMENT (A/512) TO 6TH COMM. DRAFT RESOL. (A/510), WHICH CHINESE AMENDMENT ADDS AFTER THE WORD \CONVENTION\\:  \\""..TAKING INTO ACCOUNT THAT THE INTERNATIONAL LAW COMMISSION WHICH WILL BE SET UP """
75,2,0,1947-11-05,R/2/1306A,1,0,GENOCIDE,TO ADOPT 3-POWER AMENDMENT (A/512) TO 6TH COMM. DRAFT RESOL. (A/510) INCLUDING CHINESE TEXT; WHICH AMENDMENT WOULD HAVE THE E.S.C. UNDERTAKE STUDIES WITH A VIEW TOWARD PREPARING THE DRAFT CONVENTION ON GENOCIDE.
76,2,0,1947-11-05,R/2/1306B,1,0,GENOCIDE,"TO ADOPT 6TH COMMITTEE DRAFT RESOLUTION (A/510), AS AMENDED BY THE AMENDED 3-POWER AMENDMENT."
77,2,0,1947-11-06,R/2/1424,0,0,"PALESTINE, ECONOMIC UNION","TO ADOPT THE REPORT AND RESOLUTIONS A AND B (A/516) OF THE AD HOC COMM. ON THE PALESTINE QUESTION, PROVIDING AND APPROVING A PLAN OF PARTITION WITH ECONOMIC UNION, FOR PALESTINE."
78,3,0,1948-09-02,R/3/103,0,0,ADMISSION OF NEW MEMBERS,"TO ADOPT USSR PROPOSAL TO DELETE ITEM 14 (C) FROM THE AGENDA RECOMMENDED IN THE GENERAL COMM. REPORT (A/653).  ITEM 14 (C) IS AN APPLICATION OF CHARTER ARTICLE 27 ON THE PRINCIPLE OF UNANIMITY AMONG PERMANENT SECURITY COUNCIL MEMBERS, TO THE QU"
79,3,0,1948-09-02,R/3/108,0,0,SOVIET WIVES,"TO ADOPT USSR PROPOSAL TO DELETE ITEM 42, ON USSR VIOLATIONS OF FUNDAMENTAL HUMAN RIGHTS, DIPLOMATIC PRACTICE AND OTHER CHARTER PRINCIPLES, FROM THE GENERAL COMMITTEE-RECOMMENDED AGENDA (A/653)"
80,3,0,1948-10-05,R/3/367,0,0,ADMINISTRATIVE VACANCIES,"TO ADOPT POLISH DRAFT RESOLUTION (A/686) TERMINATING MR. JAN PAPANEK'S MEMBERSHIP CAPACITY ON THE COMMITTEE OF ADMINISTRATIVE AND BUDGETARY QUESTIONS AND THE COMMITTEE ON CONTRIBUTIONS, AND CALLING FOR NEW ELECTIONS TO FILL THE VACANCIES."
