Total,"Total, percent of all persons age 25 and over","Standard Errors - Total, percent of all persons age 25 and over",White1,Standard Errors - White1,Black1,Standard Errors - Black1,Hispanic,Standard Errors - Hispanic,Total - Asian/Pacific Islander,Standard Errors - Total - Asian/Pacific Islander,Asian/Pacific Islander - Asian,Standard Errors - Asian/Pacific Islander - Asian,Asian/Pacific Islander - Pacific Islander,Standard Errors - Asian/Pacific Islander - Pacific Islander,"American Indian/
Alaska Native","Standard Errors - American Indian/
Alaska Native",Two or more race,Standard Errors - Two or more race
2001,26.1,-0.16,28.6,-0.19,16.100000000000001,-0.43,11.2,-0.32,48,-0.92,—,(†),—,(†),—,(†),—,(†)
2002,26.7,-0.11,29.4,-0.14000000000000001,17.2,-0.31,11.1,-0.21,47.7,-0.66,—,(†),—,(†),—,(†),—,(†)
2003,27.2,-0.11,30,-0.14000000000000001,17.399999999999999,-0.31,11.4,-0.21,48.8,-0.65,50,-0.67,27,-2.56,12.6,-1.3,22,-1.17
2004,27.7,-0.11,30.6,-0.14000000000000001,17.7,-0.31,12.1,-0.21,48.9,-0.64,49.7,-0.66,32.4,-2.81,14.3,-1.36,21.8,-1.1299999999999999
2005,27.7,-0.23,30.6,-0.28999999999999998,17.600000000000001,-0.45,12,-0.31,49.3,-0.91,50.4,-0.93,24.6,-3.67,14.5,-1.51,23.2,-1.19
2006,28,-0.2,31,-0.25,18.600000000000001,-0.47,12.4,-0.32,49.1,-1.04,50,-1.06,26.9,-3.42,12.9,-1.6,23.1,-1.28
2007,28.7,-0.21,31.8,-0.27,18.7,-0.51,12.7,-0.31,51.2,-1.02,52.5,-1.03,23.8,-3.3,13.1,-1.24,23.7,-1.3
2008,29.4,-0.21,32.6,-0.26,19.7,-0.51,13.3,-0.28999999999999998,51.9,-0.95,52.9,-0.97,28.4,-2.86,14.9,-1.52,24.4,-1.36
2009,29.5,-0.21,32.9,-0.26,19.399999999999999,-0.45,13.2,-0.34,51.6,-0.91,52.8,-0.95,28.3,-2.68,17.5,-2.08,25.5,-1.34
2010,29.9,-0.19,33.200000000000003,-0.24,20,-0.51,13.9,-0.31,51.6,-1.04,52.8,-1.0900000000000001,25.6,-2.89,16,-1.77,25.3,-1.3
2011,30.4,-0.19,34,-0.24,20.2,-0.5,14.1,-0.34,49.5,-0.92,50.8,-0.96,22.1,-2.73,16.100000000000001,-1.73,27.4,-1.27
2012,30.9,-0.21,34.5,-0.27,21.4,-0.53,14.5,-0.35,50.7,-0.92,51.9,-0.94,24.5,-2.75,16.7,-1.82,27.1,-1.34
2013,31.7,-0.21,35.200000000000003,-0.26,22,-0.49,15.1,-0.34,52.5,-0.92,53.9,-0.93,25.6,-2.66,15.4,-1.72,30.6,-1.35
2014,32,-0.27,35.6,-0.35,22.8,-0.66,15.2,-0.39,51.3,-1,52.7,-1.02,22.3,-3.27,13.8,-1.43,31.2,-1.81
2015,32.5,-0.22,36.200000000000003,-0.28000000000000003,22.9,-0.52,15.5,-0.31,52.9,-0.84,54.4,-0.87,22.8,-2.39,19.8,-1.32,30.6,-1.52
2016,33.4,-0.24,37.299999999999997,-0.31,23.5,-0.46,16.399999999999999,-0.4,55.1,-0.87,56.4,-0.89,27.5,-2.92,16.8,-1.39,30.6,-1.52
