ParentCoFinal,HDPE,LDPE,O,PET,PP,PS,PVC,Grand Total,number of events,number of volunteers
FARO Water,0,0,0,20,0,0,0,20,145,1416
Del,0,0,20,0,0,0,0,20,145,1416
Quick Chow,0,9,11,0,0,0,0,20,145,1416
Corona,0,0,20,0,0,0,0,20,145,1416
"Yum! Brands, Inc.",0,0,14,0,1,4,0,19,145,1416
Bogyman,0,13,6,0,0,0,0,19,145,1416
KSK Food Products,0,10,9,0,0,0,0,19,145,1416
Phungnoi Bakery,0,0,19,0,0,0,0,19,145,1416
Dixie,0,5,0,0,2,12,0,19,145,1416
Chi ltd,0,0,0,18,0,0,0,18,145,1416
Le pan,0,18,0,0,0,0,0,18,145,1416
FunO,0,0,18,0,0,0,0,18,145,1416
Clean detergent,0,0,0,18,0,0,0,18,145,1416
Nutri-Milk CWAY,0,0,0,18,0,0,0,18,145,1416
Chick fil a,0,0,0,0,0,18,0,18,145,1416
DARK RUM,0,0,0,18,0,0,0,18,145,1416
Namboon,0,0,0,18,0,0,0,18,145,1416
Tesco,0,0,6,3,9,0,0,18,145,1416
SNTM200,18,0,0,0,0,0,0,18,145,1416
Confirm Bitter,0,0,0,18,0,0,0,18,145,1416
Amstle Malt,0,0,0,18,0,0,0,18,145,1416
olÃ¡,0,0,17,0,0,0,0,17,145,1416
Sunshine,0,0,17,0,0,0,0,17,145,1416
Liwayway,0,11,6,0,0,0,0,17,145,1416
Chaudhary Group,0,0,17,0,0,0,0,17,145,1416
Limca,3,0,0,14,0,0,0,17,145,1416
Stewart's,17,0,0,0,0,0,0,17,145,1416
SAN Yoghourt,0,0,0,17,0,0,0,17,145,1416
Reckitt Benckiser,0,0,16,1,0,0,0,17,145,1416
Shock Top,0,0,17,0,0,0,0,17,145,1416
Aro,0,0,0,17,0,0,0,17,145,1416
AriZona Beverages,0,0,12,3,2,0,0,17,145,1416
Nutri-Asia Inc.,0,16,0,0,0,0,0,16,145,1416
goreng,0,0,16,0,0,0,0,16,145,1416
Johnson & Johnson,0,1,14,1,0,0,0,16,145,1416
Portugues,0,0,16,0,0,0,0,16,145,1416
portuguÃªs,0,0,16,0,0,0,0,16,145,1416
Ej,0,0,0,16,0,0,0,16,145,1416
Surya,0,0,16,0,0,0,0,16,145,1416
Société Bic,0,0,11,1,0,0,4,16,145,1416
Aji Frozen USA Corporation,0,0,15,0,0,0,0,15,145,1416
Chikito,0,0,15,0,0,0,0,15,145,1416
Yale biscuit,0,15,0,0,0,0,0,15,145,1416
Crown,0,0,0,15,0,0,0,15,145,1416
Stewart Shops,0,4,0,0,11,0,0,15,145,1416
continente,0,3,4,3,5,0,0,15,145,1416
Proud source,0,0,15,0,0,0,0,15,145,1416
Lacasera,15,0,0,0,0,0,0,15,145,1416
Munch It,0,15,0,0,0,0,0,15,145,1416
Nong Fu Spring,0,0,0,15,0,0,0,15,145,1416
Tuborg,0,0,15,0,0,0,0,15,145,1416
Muna sachet water,0,15,0,0,0,0,0,15,145,1416
Magic Sarap 8gm,0,0,15,0,0,0,0,15,145,1416
Fru-Fru,0,0,0,15,0,0,0,15,145,1416
Amsterdam,0,0,0,14,0,0,0,14,145,1416
moonchips,0,14,0,0,0,0,0,14,145,1416
CrissCross,0,14,0,0,0,0,0,14,145,1416
Sutter Home,0,0,1,13,0,0,0,14,145,1416
ITC,0,7,7,0,0,0,0,14,145,1416
Wendy's,0,0,1,1,1,11,0,14,145,1416
Route 99,0,0,0,14,0,0,0,14,145,1416
San Miguel Corporation,14,0,0,0,0,0,0,14,145,1416
Refreshing,0,0,0,14,0,0,0,14,145,1416
EC Choco Flakes,0,0,13,0,0,0,0,13,145,1416
Cook Out,0,0,0,0,0,13,0,13,145,1416
Silverswan,0,13,0,0,0,0,0,13,145,1416
Lidl,1,0,6,1,4,1,0,13,145,1416
SuperBee,0,13,0,0,0,0,0,13,145,1416
The Kroger Company,0,1,8,4,0,0,0,13,145,1416
pompoms,0,0,0,12,0,0,0,12,145,1416
Jack's Abbey,0,0,12,0,0,0,0,12,145,1416
DIA,3,0,5,4,0,0,0,12,145,1416
First Class,0,6,6,0,0,0,0,12,145,1416
Bolt,0,0,0,0,12,0,0,12,145,1416
Pri-food Corp,0,5,7,0,0,0,0,12,145,1416
Dollar General,0,8,2,2,0,0,0,12,145,1416
Hana,0,0,12,0,0,0,0,12,145,1416
Joy Dishwashing,0,4,8,0,0,0,0,12,145,1416
Zonrox,10,0,2,0,0,0,0,12,145,1416
SilverSwan,0,0,12,0,0,0,0,12,145,1416
Dart,0,7,0,0,0,5,0,12,145,1416
Beta malt,0,0,0,12,0,0,0,12,145,1416
CALYPSO,0,0,0,12,0,0,0,12,145,1416
Family Sardines,0,0,11,0,0,0,0,11,145,1416
Happy Eater,0,0,0,0,11,0,0,11,145,1416
AMANHECER,0,0,6,5,0,0,0,11,145,1416
Kimberly-Clark,0,0,11,0,0,0,0,11,145,1416
Telford International Company,0,0,0,11,0,0,0,11,145,1416
Bobo Drink,1,0,0,10,0,0,0,11,145,1416
Graham,0,0,11,0,0,0,0,11,145,1416
Astra,0,0,11,0,0,0,0,11,145,1416
Halohalo,0,11,0,0,0,0,0,11,145,1416
Vodka,0,0,10,0,0,0,0,10,145,1416
Unique Toothpaste,0,0,10,0,0,0,0,10,145,1416
Lotus,0,0,10,0,0,0,0,10,145,1416
Tootsie Roll Industries,0,1,7,0,2,0,0,10,145,1416
Aqua Varun,0,0,0,10,0,0,0,10,145,1416
Brittania,0,0,10,0,0,0,0,10,145,1416
The Wine Group,0,0,10,0,0,0,0,10,145,1416
cheese It,0,0,10,0,0,0,0,10,145,1416
Franzia,0,0,10,0,0,0,0,10,145,1416
vitalis,0,0,0,10,0,0,0,10,145,1416
NutriSnack,0,0,0,10,0,0,0,10,145,1416
Hostess,0,1,6,0,2,0,0,9,145,1416
A.S. Watson Group,0,0,0,7,2,0,0,9,145,1416
Albertsons-Safeway,0,0,9,0,0,0,0,9,145,1416
JT,0,0,9,0,0,0,0,9,145,1416
Jungle Bites,0,0,9,0,0,0,0,9,145,1416
Wow Sarap,0,0,9,0,0,0,0,9,145,1416
White Owl,0,0,9,0,0,0,0,9,145,1416
Supreme Icecream,9,0,0,0,0,0,0,9,145,1416
Shenzhen Ganten Food & Beverage Co.,0,0,0,9,0,0,0,9,145,1416
Power Pack,0,0,0,0,9,0,0,9,145,1416
Siga,0,9,0,0,0,0,0,9,145,1416
luso,0,0,0,9,0,0,0,9,145,1416
Nagoya Sardines,0,0,9,0,0,0,0,9,145,1416
Eight oClock 30gm,0,0,8,0,0,0,0,8,145,1416
HP HOOD LLC,8,0,0,0,0,0,0,8,145,1416
Georgi,0,0,0,4,4,0,0,8,145,1416
Jekok water,0,0,0,8,0,0,0,8,145,1416
JPS,0,0,8,0,0,0,0,8,145,1416
Nutritive Snack Food Corporation,0,6,2,0,0,0,0,8,145,1416
Mavrick,0,0,0,0,0,8,0,8,145,1416
JWell Group,0,4,4,0,0,0,0,8,145,1416
Jim's Coffee,0,0,8,0,0,0,0,8,145,1416
Otsuka,0,0,2,5,1,0,0,8,145,1416
HEBEI TOMATO INDUSTRY CO LTD,0,8,0,0,0,0,0,8,145,1416
P&S,0,0,8,0,0,0,0,8,145,1416
Apex water,0,0,0,8,0,0,0,8,145,1416
quickchow,0,8,0,0,0,0,0,8,145,1416
penacova,0,0,0,8,0,0,0,8,145,1416
Absolute Manufacturing,0,0,0,8,0,0,0,8,145,1416
yoggi,8,0,0,0,0,0,0,8,145,1416
jupiler,0,0,8,0,0,0,0,8,145,1416
Rain Magic,0,8,0,0,0,0,0,8,145,1416
Super Bee,0,0,8,0,0,0,0,8,145,1416
dutch,0,0,6,2,0,0,0,8,145,1416
gardenia,0,0,8,0,0,0,0,8,145,1416
Creed Ice,0,0,8,0,0,0,0,8,145,1416
Parle,0,0,8,0,0,0,0,8,145,1416
PZ Cussons,8,0,0,0,0,0,0,8,145,1416
Peerless Products Manufactoring Inc,0,3,5,0,0,0,0,8,145,1416
Faro Water,7,0,0,0,0,0,0,7,145,1416
Fiji,0,0,0,4,3,0,0,7,145,1416
Carlsberg,0,0,6,0,0,1,0,7,145,1416
White Claw,0,0,7,0,0,0,0,7,145,1416
Siga 10gm,0,0,7,0,0,0,0,7,145,1416
American Spirit,0,0,7,0,0,0,0,7,145,1416
Captain Jack,0,0,0,7,0,0,0,7,145,1416
Sparkling Ice,0,0,7,0,0,0,0,7,145,1416
Squadron dry gin,0,0,0,7,0,0,0,7,145,1416
The Keg,0,0,7,0,0,0,0,7,145,1416
Export A,0,0,7,0,0,0,0,7,145,1416
KP Snacks / Intersnack,0,0,7,0,0,0,0,7,145,1416
pingo doce,1,1,3,2,0,0,0,7,145,1416
Gala meat sausage,0,7,0,0,0,0,0,7,145,1416
Price Chopper's,0,7,0,0,0,0,0,7,145,1416
Price Chopper,0,7,0,0,0,0,0,7,145,1416
Happy 100gm,0,0,7,0,0,0,0,7,145,1416
National Grape Cooperative Association,1,0,6,0,0,0,0,7,145,1416
Ocean Spray,0,0,3,2,2,0,0,7,145,1416
"OK Foods, Inc.",0,7,0,0,0,0,0,7,145,1416
Polar Pop,0,0,0,0,0,7,0,7,145,1416
ICE,0,0,7,0,0,0,0,7,145,1416
Pladis,0,1,3,0,2,0,0,6,145,1416
QuickTrip,0,0,0,0,3,3,0,6,145,1416
Storck,0,3,2,1,0,0,0,6,145,1416
CDO Franks,0,0,6,0,0,0,0,6,145,1416
AFRO GROOVE,0,0,0,0,6,0,0,6,145,1416
Nordbrand,0,0,6,0,0,0,0,6,145,1416
CVS,0,5,0,1,0,0,0,6,145,1416
Papilon,6,0,0,0,0,0,0,6,145,1416
Domex,2,0,4,0,0,0,0,6,145,1416
Argentina Corned Beef,0,0,6,0,0,0,0,6,145,1416
Target,0,6,0,0,0,0,0,6,145,1416
calippo,0,0,6,0,0,0,0,6,145,1416
Bimbo,0,1,5,0,0,0,0,6,145,1416
Food Lion,0,3,0,3,0,0,0,6,145,1416
Wings 75gm,0,6,0,0,0,0,0,6,145,1416
Pacifico,0,0,6,0,0,0,0,6,145,1416
Trader joes,0,0,2,4,0,0,0,6,145,1416
Vogue,0,0,6,0,0,0,0,6,145,1416
Superkids,0,6,0,0,0,0,0,6,145,1416
Bentley Hotel,0,0,6,0,0,0,0,6,145,1416
Chic fil a,0,0,0,0,0,6,0,6,145,1416
SM,0,0,0,6,0,0,0,6,145,1416
Emergen-C,0,0,6,0,0,0,0,6,145,1416
Canadian Classic,0,0,6,0,0,0,0,6,145,1416
Somersby,0,0,1,0,0,5,0,6,145,1416
Insomnia,0,0,6,0,0,0,0,6,145,1416
Rea nuts,0,6,0,0,0,0,0,6,145,1416
Jack in the Box,0,0,3,2,0,1,0,6,145,1416
Gudang Baru,0,0,6,0,0,0,0,6,145,1416
QQæ˜Ÿ,0,0,0,6,0,0,0,6,145,1416
DuMaurier,0,0,6,0,0,0,0,6,145,1416
Chateau,0,0,1,5,0,0,0,6,145,1416
STK Royal,0,0,0,0,6,0,0,6,145,1416
Alenter Food Inc,0,6,0,0,0,0,0,6,145,1416
amanhecer,0,1,0,4,0,0,0,5,145,1416
Alaska Corporation,0,0,5,0,0,0,0,5,145,1416
ACS Manufacturing Corporation,0,0,5,0,0,0,0,5,145,1416
Beck's,0,0,5,0,0,0,0,5,145,1416
August Storck KG,0,0,5,0,0,0,0,5,145,1416
ç”˜ç¢§,0,0,0,5,0,0,0,5,145,1416
Aloma bitters,0,0,0,5,0,0,0,5,145,1416
JSP,0,0,5,0,0,0,0,5,145,1416
Kendee,0,0,5,0,0,0,0,5,145,1416
malboro,0,0,5,0,0,0,0,5,145,1416
dia,0,0,2,3,0,0,0,5,145,1416
"Vitamin A,D & E",0,0,5,0,0,0,0,5,145,1416
mimosa,4,0,1,0,0,0,0,5,145,1416
serra da estrela,0,0,0,5,0,0,0,5,145,1416
heats,0,0,5,0,0,0,0,5,145,1416
AMANHACER,1,0,0,4,0,0,0,5,145,1416
mayfair,0,0,5,0,0,0,0,5,145,1416
Ajinomoto Group,0,0,5,0,0,0,0,5,145,1416
Circle K,0,0,1,0,0,4,0,5,145,1416
UFC Catsup,5,0,0,0,0,0,0,5,145,1416
PINGO DOCE,0,0,0,5,0,0,0,5,145,1416
Niagara Bottling,0,0,1,4,0,0,0,5,145,1416
Compliment,0,0,5,0,0,0,0,5,145,1416
Publix,0,2,0,3,0,0,0,5,145,1416
Pure bliss,0,0,0,5,0,0,0,5,145,1416
Coffee Mate 5gm,0,0,5,0,0,0,0,5,145,1416
RFM Corporation,0,0,0,0,5,0,0,5,145,1416
Myra E,0,0,5,0,0,0,0,5,145,1416
Finie,0,0,5,0,0,0,0,5,145,1416
Solo Cup,0,0,0,5,0,0,0,5,145,1416
Mayfair,0,0,5,0,0,0,0,5,145,1416
Super Bihon,0,0,5,0,0,0,0,5,145,1416
British American Tobacco,0,0,5,0,0,0,0,5,145,1416
Surf Fabcon,0,5,0,0,0,0,0,5,145,1416
Swedish Match,0,0,5,0,0,0,0,5,145,1416
Captain Sid,0,0,5,0,0,0,0,5,145,1416
Maggi,1,0,4,0,0,0,0,5,145,1416
Bikaji,0,0,5,0,0,0,0,5,145,1416
MIMOSA,5,0,0,0,0,0,0,5,145,1416
Tokyo San,0,0,5,0,0,0,0,5,145,1416
Thermolink Food,4,0,0,0,0,0,0,4,145,1416
NOS Energy Drink,0,0,4,0,0,0,0,4,145,1416
Windpack,0,0,0,0,0,4,0,4,145,1416
renova,0,4,0,0,0,0,0,4,145,1416
scrumpy,4,0,0,0,0,0,0,4,145,1416
White Claw Seltzer Works,0,0,4,0,0,0,0,4,145,1416
Hi Coffee,0,0,4,0,0,0,0,4,145,1416
silverswan,0,4,0,0,0,0,0,4,145,1416
Harrogate Spring,0,0,0,4,0,0,0,4,145,1416
Life Saver's,0,0,0,0,4,0,0,4,145,1416
Winpak,0,0,0,0,4,0,0,4,145,1416
Harmless Harvest,0,0,0,2,2,0,0,4,145,1416
Nature's Bakery,0,0,4,0,0,0,0,4,145,1416
Nature's Promise,0,0,0,4,0,0,0,4,145,1416
Protein2O,0,0,0,4,0,0,0,4,145,1416
Hanizyn,0,0,4,0,0,0,0,4,145,1416
Power Oil NV,0,3,0,1,0,0,0,4,145,1416
Old english,0,0,4,0,0,0,0,4,145,1416
è¾²å¤«å±±æ³‰,0,0,0,0,4,0,0,4,145,1416
Haldiram's,0,0,4,0,0,0,0,4,145,1416
è„ˆå‹•,0,0,0,4,0,0,0,4,145,1416
NOS Energy,0,0,4,0,0,0,0,4,145,1416
International Pharmaceuticals Incorporated,0,3,1,0,0,0,0,4,145,1416
Tesco water,0,0,0,4,0,0,0,4,145,1416
john middleton co.,0,0,4,0,0,0,0,4,145,1416
co-op,0,0,3,1,0,0,0,4,145,1416
backwoods,0,1,0,3,0,0,0,4,145,1416
Krombacher,0,0,4,0,0,0,0,4,145,1416
LA Casera,0,0,0,4,0,0,0,4,145,1416
LD,0,0,4,0,0,0,0,4,145,1416
donut,0,0,4,0,0,0,0,4,145,1416
Malboro,0,0,4,0,0,0,0,4,145,1416
Mandelez Global,0,0,4,0,0,0,0,4,145,1416
SumOl + COmpal,0,0,3,1,0,0,0,4,145,1416
Stewart's Shops,0,4,0,0,0,0,0,4,145,1416
Rathaus,0,0,4,0,0,0,0,4,145,1416
Mark,0,0,4,0,0,0,0,4,145,1416
Zest-O Corporation,0,0,4,0,0,0,0,4,145,1416
Wise,0,0,4,0,0,0,0,4,145,1416
Sheetz,0,0,0,0,0,4,0,4,145,1416
naturis,0,0,0,4,0,0,0,4,145,1416
Sazerac,0,0,0,4,0,0,0,4,145,1416
Sauce Pottles,0,0,0,4,0,0,0,4,145,1416
Ross,0,3,1,0,0,0,0,4,145,1416
Ricola,0,0,4,0,0,0,0,4,145,1416
Tim Horton's,0,0,2,0,2,0,0,4,145,1416
123,0,0,0,1,3,0,0,4,145,1416
Greencross Alcohol,4,0,0,0,0,0,0,4,145,1416
Fiddlehead Brewery,0,0,4,0,0,0,0,4,145,1416
Crystal water,0,4,0,0,0,0,0,4,145,1416
Continente,2,0,1,1,0,0,0,4,145,1416
Essentia,0,0,0,2,2,0,0,4,145,1416
Colts,0,0,4,0,0,0,0,4,145,1416
Burton,0,0,4,0,0,0,0,4,145,1416
Datu Puti 200ml,0,0,4,0,0,0,0,4,145,1416
Davaus water,0,0,0,4,0,0,0,4,145,1416
Bojangles,0,0,0,0,0,4,0,4,145,1416
Emerge,0,0,2,2,0,0,0,4,145,1416
Delfi Foods,0,4,0,0,0,0,0,4,145,1416
GlaxoSmithKline,1,0,2,1,0,0,0,4,145,1416
Big Bus Tours,0,4,0,0,0,0,0,4,145,1416
Cheeze Miss,0,4,0,0,0,0,0,4,145,1416
Florida Natural,0,0,0,2,2,0,0,4,145,1416
BA Sports Nutrition,0,0,0,4,0,0,0,4,145,1416
EMEE,0,0,0,0,4,0,0,4,145,1416
24/7,0,0,4,0,0,0,0,4,145,1416
Strongbow,0,0,3,0,0,0,0,3,145,1416
Boston Beer Company,0,0,3,0,0,0,0,3,145,1416
Stellar beverages Ltd,0,0,0,3,0,0,0,3,145,1416
Buxton,0,0,1,2,0,0,0,3,145,1416
Calla,0,3,0,0,0,0,0,3,145,1416
Four Loko,0,0,3,0,0,0,0,3,145,1416
LG,0,0,3,0,0,0,0,3,145,1416
Brachs,0,0,3,0,0,0,0,3,145,1416
Britvic,0,0,0,3,0,0,0,3,145,1416
Freeway,0,0,3,0,0,0,0,3,145,1416
Sutter Homes,0,0,0,3,0,0,0,3,145,1416
Kingsmill,0,0,3,0,0,0,0,3,145,1416
Swiss Delice,0,0,3,0,0,0,0,3,145,1416
Tasty Tom,0,3,0,0,0,0,0,3,145,1416
Flip top lids,0,0,3,0,0,0,0,3,145,1416
Tempura,0,2,1,0,0,0,0,3,145,1416
