city,state,lon,lat,koppen,elevation,distance_to_coast,wind,elevation_change_four,elevation_change_eight,avg_annual_precip
TUCSON,AZ,-110.95635,32.13153,BSh,777.63,159.27,2.5,77.17,234.61,11.774
TULSA,OK,-95.89,36.2,Cfa,192.13,448.81,2.97,67.25,85.55,43.358
TUPELO,MS,-88.77,34.27,Cfa,104.86,249.02,3.61,29.53,32.2,59.772
W_PALM_BEACH,FL,-80.1,26.69,Af,4.2,4.84,2.33,1.57,1.65,64.269
WACO,TX,-97.23,31.62,Cfa,153.05,198.07,4.21,51.06,67.89,39.09
WASHINGTON,DC,-77.03,38.85,Cfa,-0.67,0.35,4.18,111.6,117.2,48.545
WATERTOWN,SD,-97.15,44.9,Dfa,528.65,879.76,5,23.15,48.63,26.245
WICHITA,KS,-97.43,37.65,Cfa,401.49,569.27,4.34,34.29,34.29,36.441
WICHITA_FALLS,TX,-98.49,33.98,Cfa,303.62,376.12,4.52,16.05,31.77,32.95
WILKES_BARRE,PA,-75.73,41.34,Dfb,281.06,103.22,2.62,202.2,292.62,49.346
WILLISTON,ND,-103.75,48.26,BSk,711.59,944.57,4.82,98.84,147.54,15.735
WILMINGTON,DE,-75.61,39.67,Cfa,15.18,1.87,2.87,14.88,106.71,50.38
WINNEMUCCA,NV,-117.80722,40.90194,BSk,1310.73,320.94,2.66,613.42,613.42,12.261
WORCESTER,MA,-71.87,42.27,Dfb,297.63,45.39,4.01,162.6,183.92,50.936
YAKIMA,WA,-120.5348,46.56402,Csb,320.96,135.32,2.03,326.91,326.91,10.21
YOUNGSTOWN,OH,-80.67,41.25,Dfb,356.86,296.66,3.42,60.92,72.9,46.675
YUMA,AZ,-114.593,32.65944,BWh,64.04,56.25,2.61,27.29,46.15,3.895
