objectid,province_territory,project_name,total_project_capacity_mw,turbine_identifier,turbine_number_in_project,turbine_rated_capacity_k_w,rotor_diameter_m,hub_height_m,manufacturer,model,commissioning_date,latitude,longitude,notes
30,Alberta,Summerview,136.2,SVW1,1/61,1800,80,65,Vestas,V80/1800,2002,49.5828457749616,-113.79132358495,NA
31,Alberta,Waterton Wind Turbines,3.78,WWT6,6/6,660,47,50,Vestas,V47/660,2002,49.1904597052264,-113.640544532818,NA
32,Alberta,McBride Lake,75,MBL2,2/115,660,50,47,Vestas,V47/660,2003,49.6271284659032,-113.46770893789,NA
33,Alberta,McBride Lake,75,MBL3,3/115,660,50,47,Vestas,V47/660,2003,49.6262465987286,-113.466388219537,NA
34,Alberta,McBride Lake,75,MBL4,4/115,660,50,47,Vestas,V47/660,2003,49.6252487665541,-113.465158722153,NA
35,Alberta,McBride Lake,75,MBL5,5/115,660,50,47,Vestas,V47/660,2003,49.6242021183593,-113.463953051352,NA
36,Alberta,McBride Lake,75,MBL6,6/115,660,50,47,Vestas,V47/660,2003,49.6232600382777,-113.462693227578,NA
37,Alberta,McBride Lake,75,MBL7,7/115,660,50,47,Vestas,V47/660,2003,49.6221721418911,-113.461478998449,NA
38,Alberta,McBride Lake,75,MBL8,8/115,660,50,47,Vestas,V47/660,2003,49.6210472620003,-113.460488697444,NA
39,Alberta,McBride Lake,75,MBL9,9/115,660,50,47,Vestas,V47/660,2003,49.6270662097467,-113.477080103505,NA
40,Alberta,McBride Lake,75,MBL10,10/115,660,50,47,Vestas,V47/660,2003,49.6260709865301,-113.476057108796,NA
41,Alberta,McBride Lake,75,MBL11,11/115,660,50,47,Vestas,V47/660,2003,49.6247956213121,-113.474915979201,NA
42,Alberta,McBride Lake,75,MBL12,12/115,660,50,47,Vestas,V47/660,2003,49.623392844996,-113.473741971487,NA
43,Alberta,McBride Lake,75,MBL13,13/115,660,50,47,Vestas,V47/660,2003,49.6225748200083,-113.472984440294,NA
44,Alberta,McBride Lake,75,MBL14,14/115,660,50,47,Vestas,V47/660,2003,49.6217102818549,-113.472278712205,NA
45,Alberta,McBride Lake,75,MBL15,15/115,660,50,47,Vestas,V47/660,2003,49.6206494858921,-113.471381533915,NA
46,Alberta,McBride Lake,75,MBL16,16/115,660,50,47,Vestas,V47/660,2003,49.619584296706,-113.469565880698,NA
47,Alberta,McBride Lake,75,MBL17,17/115,660,50,47,Vestas,V47/660,2003,49.6185063748667,-113.467641956489,NA
48,Alberta,McBride Lake,75,MBL18,18/115,660,50,47,Vestas,V47/660,2003,49.617917680728,-113.466029573272,NA
49,Alberta,McBride Lake,75,MBL19,19/115,660,50,47,Vestas,V47/660,2003,49.6174458075003,-113.464314297576,NA
50,Alberta,McBride Lake,75,MBL20,20/115,660,50,47,Vestas,V47/660,2003,49.6248519128548,-113.483993398044,NA
51,Alberta,McBride Lake,75,MBL21,21/115,660,50,47,Vestas,V47/660,2003,49.6242141311415,-113.48210607886,NA
52,Alberta,McBride Lake,75,MBL22,22/115,660,50,47,Vestas,V47/660,2003,49.6235683776592,-113.48025330375,NA
53,Alberta,McBride Lake,75,MBL23,23/115,660,50,47,Vestas,V47/660,2003,49.623753838283,-113.496740095307,NA
54,Alberta,McBride Lake,75,MBL24,24/115,660,50,47,Vestas,V47/660,2003,49.6228955383823,-113.495283400943,NA
55,Alberta,McBride Lake,75,MBL25,25/115,660,50,47,Vestas,V47/660,2003,49.6221661003622,-113.493736365256,NA
56,Alberta,McBride Lake,75,MBL26,26/115,660,50,47,Vestas,V47/660,2003,49.6216014722955,-113.492002284809,NA
57,Alberta,McBride Lake,75,MBL27,27/115,660,50,47,Vestas,V47/660,2003,49.6210771481143,-113.490304075874,NA
58,Alberta,McBride Lake,75,MBL28,28/115,660,50,47,Vestas,V47/660,2003,49.6204285015488,-113.488460781667,NA
59,Alberta,McBride Lake,75,MBL29,29/115,660,50,47,Vestas,V47/660,2003,49.6199086551579,-113.48671349626,NA
60,Alberta,McBride Lake,75,MBL30,30/115,660,50,47,Vestas,V47/660,2003,49.6193018652113,-113.485042374063,NA
61,Alberta,McBride Lake,75,MBL31,31/115,660,50,47,Vestas,V47/660,2003,49.6187284882731,-113.483257978687,NA
62,Alberta,McBride Lake,75,MBL32,32/115,660,50,47,Vestas,V47/660,2003,49.6180954134897,-113.481395625995,NA
63,Alberta,McBride Lake,75,MBL33,33/115,660,50,47,Vestas,V47/660,2003,49.6175595041212,-113.479732226972,NA
64,Alberta,McBride Lake,75,MBL34,34/115,660,50,47,Vestas,V47/660,2003,49.6169537080249,-113.477907773943,NA
65,Alberta,McBride Lake,75,MBL35,35/115,660,50,47,Vestas,V47/660,2003,49.61913195747,-113.501613931324,NA
66,Alberta,McBride Lake,75,MBL36,36/115,660,50,47,Vestas,V47/660,2003,49.6181892536639,-113.500139084297,NA
67,Alberta,McBride Lake,75,MBL37,37/115,660,50,47,Vestas,V47/660,2003,49.6172142300098,-113.498916102212,NA
68,Alberta,McBride Lake,75,MBL38,38/115,660,50,47,Vestas,V47/660,2003,49.6162280530281,-113.497578855854,NA
69,Alberta,McBride Lake,75,MBL39,39/115,660,50,47,Vestas,V47/660,2003,49.6153838672154,-113.496317175664,NA
70,Alberta,McBride Lake,75,MBL40,40/115,660,50,47,Vestas,V47/660,2003,49.6147971453939,-113.494564777125,NA
71,Alberta,McBride Lake,75,MBL41,41/115,660,50,47,Vestas,V47/660,2003,49.6142642839958,-113.492854688303,NA
72,Alberta,McBride Lake,75,MBL42,42/115,660,50,47,Vestas,V47/660,2003,49.6137091385698,-113.491070459399,NA
73,Alberta,McBride Lake,75,MBL43,43/115,660,50,47,Vestas,V47/660,2003,49.6130538875959,-113.489272818254,NA
74,Alberta,McBride Lake,75,MBL44,44/115,660,50,47,Vestas,V47/660,2003,49.6125051365188,-113.487522067624,NA
75,Alberta,McBride Lake,75,MBL45,45/115,660,50,47,Vestas,V47/660,2003,49.6119130886808,-113.485806294991,NA
76,Alberta,McBride Lake,75,MBL46,46/115,660,50,47,Vestas,V47/660,2003,49.6112758897944,-113.483939593234,NA
77,Alberta,McBride Lake,75,MBL47,47/115,660,50,47,Vestas,V47/660,2003,49.6107265946743,-113.482099716701,NA
78,Alberta,McBride Lake,75,MBL48,48/115,660,50,47,Vestas,V47/660,2003,49.6106629916616,-113.501630510902,NA
79,Alberta,McBride Lake,75,MBL49,49/115,660,50,47,Vestas,V47/660,2003,49.6100129228872,-113.49980382914,NA
80,Alberta,McBride Lake,75,MBL50,50/115,660,50,47,Vestas,V47/660,2003,49.6095144586657,-113.498001482085,NA
81,Alberta,McBride Lake,75,MBL51,51/115,660,50,47,Vestas,V47/660,2003,49.6088568364302,-113.496307198994,NA
82,Alberta,McBride Lake,75,MBL52,52/115,660,50,47,Vestas,V47/660,2003,49.6082993196861,-113.494517738746,NA
83,Alberta,McBride Lake,75,MBL53,53/115,660,50,47,Vestas,V47/660,2003,49.6076619134695,-113.492717411675,NA
84,Alberta,McBride Lake,75,MBL54,54/115,660,50,47,Vestas,V47/660,2003,49.607185142772,-113.490997578036,NA
85,Alberta,McBride Lake,75,MBL55,55/115,660,50,47,Vestas,V47/660,2003,49.6053603823663,-113.501548423375,NA
86,Alberta,McBride Lake,75,MBL56,56/115,660,50,47,Vestas,V47/660,2003,49.6047306563802,-113.499819416121,NA
87,Alberta,McBride Lake,75,MBL57,57/115,660,50,47,Vestas,V47/660,2003,49.6042888960408,-113.498034261277,NA
88,Alberta,McBride Lake,75,MBL58,58/115,660,50,47,Vestas,V47/660,2003,49.6037481538365,-113.496390921432,NA
89,Alberta,McBride Lake,75,MBL59,59/115,660,50,47,Vestas,V47/660,2003,49.6031936178205,-113.494474948875,NA
90,Alberta,McBride Lake,75,MBL60,60/115,660,50,47,Vestas,V47/660,2003,49.6025778703927,-113.492831505637,NA
91,Alberta,McBride Lake,75,MBL61,61/115,660,50,47,Vestas,V47/660,2003,49.6019472524307,-113.490999628748,NA
92,Alberta,McBride Lake,75,MBL62,62/115,660,50,47,Vestas,V47/660,2003,49.6027960097482,-113.510846077444,NA
93,Alberta,McBride Lake,75,MBL63,63/115,660,50,47,Vestas,V47/660,2003,49.6020031290194,-113.508439984703,NA
94,Alberta,McBride Lake,75,MBL64,64/115,660,50,47,Vestas,V47/660,2003,49.6012849029606,-113.506180648755,NA
95,Alberta,McBride Lake,75,MBL65,65/115,660,50,47,Vestas,V47/660,2003,49.6005282499821,-113.503810374014,NA
96,Alberta,McBride Lake,75,MBL66,66/115,660,50,47,Vestas,V47/660,2003,49.5997078617888,-113.501520272844,NA
97,Alberta,McBride Lake,75,MBL67,67/115,660,50,47,Vestas,V47/660,2003,49.5992184667837,-113.499778261229,NA
98,Alberta,McBride Lake,75,MBL68,68/115,660,50,47,Vestas,V47/660,2003,49.5985486860556,-113.4980878684,NA
99,Alberta,McBride Lake,75,MBL69,69/115,660,50,47,Vestas,V47/660,2003,49.5979799851263,-113.496300594942,NA
100,Alberta,McBride Lake,75,MBL70,70/115,660,50,47,Vestas,V47/660,2003,49.5974718010297,-113.494508151572,NA
101,Alberta,McBride Lake,75,MBL71,71/115,660,50,47,Vestas,V47/660,2003,49.5966671031721,-113.492120925023,NA
102,Alberta,McBride Lake,75,MBL72,72/115,660,50,47,Vestas,V47/660,2003,49.5958162513924,-113.489892952091,NA
103,Alberta,McBride Lake,75,MBL73,73/115,660,50,47,Vestas,V47/660,2003,49.5951616915886,-113.487472847326,NA
104,Alberta,McBride Lake,75,MBL74,74/115,660,50,47,Vestas,V47/660,2003,49.5941459403249,-113.473689507187,NA
105,Alberta,McBride Lake,75,MBL75,75/115,660,50,47,Vestas,V47/660,2003,49.593385920535,-113.472014388391,NA
106,Alberta,McBride Lake,75,MBL76,76/115,660,50,47,Vestas,V47/660,2003,49.5926739779372,-113.4706087541,NA
107,Alberta,McBride Lake,75,MBL77,77/115,660,50,47,Vestas,V47/660,2003,49.5919699597922,-113.468983494632,NA
108,Alberta,McBride Lake,75,MBL78,78/115,660,50,47,Vestas,V47/660,2003,49.5910871061267,-113.467367651606,NA
109,Alberta,McBride Lake,75,MBL79,79/115,660,50,47,Vestas,V47/660,2003,49.5902577897596,-113.465928781559,NA
110,Alberta,McBride Lake,75,MBL80,80/115,660,50,47,Vestas,V47/660,2003,49.5895735006154,-113.464142465452,NA
111,Alberta,McBride Lake,75,MBL81,81/115,660,50,47,Vestas,V47/660,2003,49.5888698176219,-113.462848910794,NA
112,Alberta,McBride Lake,75,MBL82,82/115,660,50,47,Vestas,V47/660,2003,49.5881142090425,-113.461101261581,NA
113,Alberta,McBride Lake,75,MBL83,83/115,660,50,47,Vestas,V47/660,2003,49.5872399584268,-113.459494209867,NA
114,Alberta,McBride Lake,75,MBL84,84/115,660,50,47,Vestas,V47/660,2003,49.5865115225476,-113.458008968967,NA
115,Alberta,McBride Lake,75,MBL85,85/115,660,50,47,Vestas,V47/660,2003,49.5894540464021,-113.485264238641,NA
116,Alberta,McBride Lake,75,MBL86,86/115,660,50,47,Vestas,V47/660,2003,49.5887637232084,-113.483457674817,NA
117,Alberta,McBride Lake,75,MBL87,87/115,660,50,47,Vestas,V47/660,2003,49.5880562845323,-113.481780837684,NA
118,Alberta,McBride Lake,75,MBL88,88/115,660,50,47,Vestas,V47/660,2003,49.5874565617062,-113.480198943143,NA
119,Alberta,McBride Lake,75,MBL89,89/115,660,50,47,Vestas,V47/660,2003,49.5867360077729,-113.478570525624,NA
120,Alberta,McBride Lake,75,MBL90,90/115,660,50,47,Vestas,V47/660,2003,49.5860663456088,-113.476950200715,NA
121,Alberta,McBride Lake,75,MBL91,91/115,660,50,47,Vestas,V47/660,2003,49.5853670371697,-113.475260738676,NA
122,Alberta,McBride Lake,75,MBL92,92/115,660,50,47,Vestas,V47/660,2003,49.584634334556704,-113.473641719022,NA
123,Alberta,McBride Lake,75,MBL93,93/115,660,50,47,Vestas,V47/660,2003,49.5840050102048,-113.471880533378,NA
124,Alberta,McBride Lake,75,MBL94,94/115,660,50,47,Vestas,V47/660,2003,49.5833340999697,-113.470359680962,NA
125,Alberta,McBride Lake,75,MBL95,95/115,660,50,47,Vestas,V47/660,2003,49.5826395486343,-113.468676672439,NA
126,Alberta,McBride Lake,75,MBL96,96/115,660,50,47,Vestas,V47/660,2003,49.5817835970587,-113.467139108202,NA
127,Alberta,McBride Lake,75,MBL97,97/115,660,50,47,Vestas,V47/660,2003,49.580943388193,-113.465586614876,NA
128,Alberta,McBride Lake,75,MBL98,98/115,660,50,47,Vestas,V47/660,2003,49.5801186791973,-113.464029876547,NA
129,Alberta,McBride Lake,75,MBL99,99/115,660,50,47,Vestas,V47/660,2003,49.5793638314329,-113.462649946901,NA
130,Alberta,McBride Lake,75,MBL100,100/115,660,50,47,Vestas,V47/660,2003,49.5785771237676,-113.461039812771,NA
131,Alberta,McBride Lake,75,MBL101,101/115,660,50,47,Vestas,V47/660,2003,49.5778049499684,-113.459381284291,NA
132,Alberta,McBride Lake,75,MBL102,102/115,660,50,47,Vestas,V47/660,2003,49.5770361921399,-113.457890443882,NA
133,Alberta,McBride Lake,75,MBL103,103/115,660,50,47,Vestas,V47/660,2003,49.5910690035332,-113.517755430196,NA
134,Alberta,McBride Lake,75,MBL104,104/115,660,50,47,Vestas,V47/660,2003,49.5903313066847,-113.516053755848,NA
135,Alberta,McBride Lake,75,MBL105,105/115,660,50,47,Vestas,V47/660,2003,49.5897870915459,-113.514603091864,NA
136,Alberta,McBride Lake,75,MBL106,106/115,660,50,47,Vestas,V47/660,2003,49.5889242558081,-113.512673829332,NA
137,Alberta,McBride Lake,75,MBL107,107/115,660,50,47,Vestas,V47/660,2003,49.588279653272,-113.511136872508,NA
138,Alberta,McBride Lake,75,MBL108,108/115,660,50,47,Vestas,V47/660,2003,49.5874858254258,-113.509550632362,NA
139,Alberta,McBride Lake,75,MBL109,109/115,660,50,47,Vestas,V47/660,2003,49.5868694979984,-113.507787500967,NA
140,Alberta,McBride Lake,75,MBL110,110/115,660,50,47,Vestas,V47/660,2003,49.5861647387949,-113.506283851893,NA
141,Alberta,McBride Lake,75,MBL111,111/115,660,50,47,Vestas,V47/660,2003,49.5854385652219,-113.504608509664,NA
142,Alberta,McBride Lake,75,MBL112,112/115,660,50,47,Vestas,V47/660,2003,49.584683215141,-113.502853530065,NA
143,Alberta,McBride Lake,75,MBL113,113/115,660,50,47,Vestas,V47/660,2003,49.5840102133331,-113.501156670244,NA
144,Alberta,McBride Lake,75,MBL114,114/115,660,50,47,Vestas,V47/660,2003,49.583361308738,-113.499677794916,NA
145,Alberta,McBride Lake,75,MBL115,115/115,660,50,47,Vestas,V47/660,2003,49.5826462262854,-113.497994456729,NA
146,Alberta,Macleod Flats,3,MAF1,1/1,3000,90,67,Vestas,V90/3000,2004,49.686706,-113.475207,NA
147,Alberta,Magrath,30,MAG1,1/20,1500,77,65,GE,GE 1.5SLE,2004,49.4061987876591,-112.973951947056,NA
148,Alberta,Magrath,30,MAG2,2/20,1500,77,65,GE,GE 1.5SLE,2004,49.4036961702195,-112.97295583505,NA
149,Alberta,Magrath,30,MAG3,3/20,1500,77,65,GE,GE 1.5SLE,2004,49.4017258705841,-112.972243505553,NA
150,Alberta,Magrath,30,MAG4,4/20,1500,77,65,GE,GE 1.5SLE,2004,49.3998028467738,-112.971736981001,NA
151,Alberta,Magrath,30,MAG5,5/20,1500,77,65,GE,GE 1.5SLE,2004,49.3985381010792,-112.969335410893,NA
152,Alberta,Magrath,30,MAG6,6/20,1500,77,65,GE,GE 1.5SLE,2004,49.3972115859222,-112.966679415482,NA
153,Alberta,Magrath,30,MAG7,7/20,1500,77,65,GE,GE 1.5SLE,2004,49.397066538089,-112.962188814328,NA
154,Alberta,Magrath,30,MAG8,8/20,1500,77,65,GE,GE 1.5SLE,2004,49.3954414270846,-112.960072390388,NA
155,Alberta,Magrath,30,MAG9,9/20,1500,77,65,GE,GE 1.5SLE,2004,49.3940415541261,-112.958573649585,NA
156,Alberta,Magrath,30,MAG10,10/20,1500,77,65,GE,GE 1.5SLE,2004,49.3876929334563,-112.951052604663,NA
157,Alberta,Magrath,30,MAG11,11/20,1500,77,65,GE,GE 1.5SLE,2004,49.3860025329412,-112.94897292982,NA
158,Alberta,Magrath,30,MAG12,12/20,1500,77,65,GE,GE 1.5SLE,2004,49.3818900423556,-112.951534131714,NA
159,Alberta,Magrath,30,MAG13,13/20,1500,77,65,GE,GE 1.5SLE,2004,49.3803333562346,-112.949512991314,NA
160,Alberta,Magrath,30,MAG14,14/20,1500,77,65,GE,GE 1.5SLE,2004,49.3786256081244,-112.947608072416,NA
161,Alberta,Magrath,30,MAG15,15/20,1500,77,65,GE,GE 1.5SLE,2004,49.3769985396579,-112.945613880126,NA
162,Alberta,Magrath,30,MAG16,16/20,1500,77,65,GE,GE 1.5SLE,2004,49.3752444504742,-112.943518461882,NA
163,Alberta,Magrath,30,MAG17,17/20,1500,77,65,GE,GE 1.5SLE,2004,49.3740101038916,-112.940822944638,NA
164,Alberta,Magrath,30,MAG18,18/20,1500,77,65,GE,GE 1.5SLE,2004,49.3726236227057,-112.938693481928,NA
165,Alberta,Magrath,30,MAG19,19/20,1500,77,65,GE,GE 1.5SLE,2004,49.3712537015442,-112.936535326815,NA
166,Alberta,Magrath,30,MAG20,20/20,1500,77,65,GE,GE 1.5SLE,2004,49.3694163358156,-112.93422590503,NA
167,Alberta,Optimist Wind Energy,0.9,OWE2,2/2,750,51.5,75,Lagerwey,LW750-52,2004,49.531345,-113.910888,NA
168,Alberta,Summerview,136.2,SVW2,2/61,1800,80,65,Vestas,V80/1800,2004,49.5975418499723,-113.80613086209,NA
169,Alberta,Summerview,136.2,SVW3,3/61,1800,80,65,Vestas,V80/1800,2004,49.5952696585844,-113.804889746702,NA
170,Alberta,Summerview,136.2,SVW4,4/61,1800,80,65,Vestas,V80/1800,2004,49.5930327564621,-113.803148754171,NA
171,Alberta,Summerview,136.2,SVW5,5/61,1800,80,65,Vestas,V80/1800,2004,49.5905748157923,-113.801032662953,NA
172,Alberta,Summerview,136.2,SVW6,6/61,1800,80,65,Vestas,V80/1800,2004,49.5882220125459,-113.799455704906,NA
173,Alberta,Summerview,136.2,SVW7,7/61,1800,80,65,Vestas,V80/1800,2004,49.5860678449181,-113.797671865238,NA
174,Alberta,Summerview,136.2,SVW8,8/61,1800,80,65,Vestas,V80/1800,2004,49.6248564895177,-113.80611914273,NA
175,Alberta,Summerview,136.2,SVW9,9/61,1800,80,65,Vestas,V80/1800,2004,49.6228061006894,-113.804140473073,NA
176,Alberta,Summerview,136.2,SVW10,10/61,1800,80,65,Vestas,V80/1800,2004,49.6207082411378,-113.802398030106,NA
177,Alberta,Summerview,136.2,SVW11,11/61,1800,80,65,Vestas,V80/1800,2004,49.6187977260789,-113.800789110231,NA
178,Alberta,Summerview,136.2,SVW12,12/61,1800,80,65,Vestas,V80/1800,2004,49.616817909694,-113.799531337537,NA
179,Alberta,Summerview,136.2,SVW13,13/61,1800,80,65,Vestas,V80/1800,2004,49.6148590473729,-113.797831510578,NA
180,Alberta,Summerview,136.2,SVW14,14/61,1800,80,65,Vestas,V80/1800,2004,49.6035056046457,-113.789522388494,NA
181,Alberta,Summerview,136.2,SVW15,15/61,1800,80,65,Vestas,V80/1800,2004,49.6014418183309,-113.787760147099,NA
182,Alberta,Summerview,136.2,SVW16,16/61,1800,80,65,Vestas,V80/1800,2004,49.5991825646352,-113.78508558218,NA
183,Alberta,Summerview,136.2,SVW17,17/61,1800,80,65,Vestas,V80/1800,2004,49.5971537053825,-113.783035637302,NA
184,Alberta,Summerview,136.2,SVW18,18/61,1800,80,65,Vestas,V80/1800,2004,49.5952446871047,-113.780572356873,NA
185,Alberta,Summerview,136.2,SVW19,19/61,1800,80,65,Vestas,V80/1800,2004,49.5930828261676,-113.778414940207,NA
186,Alberta,Summerview,136.2,SVW20,20/61,1800,80,65,Vestas,V80/1800,2004,49.5909582797261,-113.77617691424,NA
187,Alberta,Summerview,136.2,SVW21,21/61,1800,80,65,Vestas,V80/1800,2004,49.6383175635223,-113.805730371101,NA
188,Alberta,Summerview,136.2,SVW22,22/61,1800,80,65,Vestas,V80/1800,2004,49.6359930923524,-113.804061211145,NA
189,Alberta,Summerview,136.2,SVW23,23/61,1800,80,65,Vestas,V80/1800,2004,49.6335021163654,-113.802378429751,NA
190,Alberta,Summerview,136.2,SVW24,24/61,1800,80,65,Vestas,V80/1800,2004,49.6311651322426,-113.800726728441,NA
191,Alberta,Summerview,136.2,SVW25,25/61,1800,80,65,Vestas,V80/1800,2004,49.6287334138346,-113.799117595842,NA
192,Alberta,Summerview,136.2,SVW26,26/61,1800,80,65,Vestas,V80/1800,2004,49.6263095838854,-113.797326661473,NA
193,Alberta,Summerview,136.2,SVW27,27/61,1800,80,65,Vestas,V80/1800,2004,49.6250865001071,-113.79243994104,NA
194,Alberta,Summerview,136.2,SVW28,28/61,1800,80,65,Vestas,V80/1800,2004,49.622937662627,-113.790334645934,NA
195,Alberta,Summerview,136.2,SVW29,29/61,1800,80,65,Vestas,V80/1800,2004,49.6208618875643,-113.788183756906,NA
196,Alberta,Summerview,136.2,SVW30,30/61,1800,80,65,Vestas,V80/1800,2004,49.6186635713637,-113.785869725973,NA
197,Alberta,Summerview,136.2,SVW31,31/61,1800,80,65,Vestas,V80/1800,2004,49.6165839715919,-113.783789103261,NA
198,Alberta,Summerview,136.2,SVW32,32/61,1800,80,65,Vestas,V80/1800,2004,49.6145171095781,-113.781629444612,NA
199,Alberta,Summerview,136.2,SVW33,33/61,1800,80,65,Vestas,V80/1800,2004,49.6123424995644,-113.779320031948,NA
200,Alberta,Summerview,136.2,SVW34,34/61,1800,80,65,Vestas,V80/1800,2004,49.6079918957403,-113.778419567455,NA
201,Alberta,Summerview,136.2,SVW35,35/61,1800,80,65,Vestas,V80/1800,2004,49.6058177674366,-113.776161642864,NA
202,Alberta,Summerview,136.2,SVW36,36/61,1800,80,65,Vestas,V80/1800,2004,49.6035848668568,-113.774008991567,NA
203,Alberta,Summerview,136.2,SVW37,37/61,1800,80,65,Vestas,V80/1800,2004,49.6015116313599,-113.770572756976,NA
204,Alberta,Summerview,136.2,SVW38,38/61,1800,80,65,Vestas,V80/1800,2004,49.5994575483007,-113.768284637723,NA
205,Alberta,Summerview,136.2,SVW39,39/61,1800,80,65,Vestas,V80/1800,2004,49.5973560556338,-113.766025590012,NA
206,Alberta,Chin Chute,30,CHC1,1/20,1500,77,65,GE,GE 1.5SLE,2006,49.6921945983017,-112.351116309543,NA
207,Alberta,Chin Chute,30,CHC2,2/20,1500,77,65,GE,GE 1.5SLE,2006,49.6908395838324,-112.349434253145,NA
208,Alberta,Chin Chute,30,CHC3,3/20,1500,77,65,GE,GE 1.5SLE,2006,49.6869705256467,-112.342731897636,NA
209,Alberta,Chin Chute,30,CHC4,4/20,1500,77,65,GE,GE 1.5SLE,2006,49.6863078785741,-112.340021411619,NA
210,Alberta,Chin Chute,30,CHC5,5/20,1500,77,65,GE,GE 1.5SLE,2006,49.6856335618287,-112.337513540767,NA
211,Alberta,Chin Chute,30,CHC6,6/20,1500,77,65,GE,GE 1.5SLE,2006,49.684975831891,-112.334755116876,NA
212,Alberta,Chin Chute,30,CHC7,7/20,1500,77,65,GE,GE 1.5SLE,2006,49.6931907615636,-112.334089744465,NA
213,Alberta,Chin Chute,30,CHC8,8/20,1500,77,65,GE,GE 1.5SLE,2006,49.6922927391074,-112.331437799927,NA
214,Alberta,Chin Chute,30,CHC9,9/20,1500,77,65,GE,GE 1.5SLE,2006,49.6913398353369,-112.329184172314,NA
