artist_name,artist_id,album_id,album_release_date,album_release_year,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,track_id,time_signature,duration_ms,track_name,track_number,album_name,key_name,mode_name,key_mode
Spice Girls,0uq5PttqEjj3IH1bzwcrXF,4jbWZmf7kRxCBD6tgVepYh,2000-01-01,2000,0.552,0.694,4,-4.489,1,0.026,0.0846,0,0.117,0.359,136.019,6ZNw9Cnc85OeHZrjMAZJfY,4,275426,Goodbye,11,Forever,E,major,E major
Spice Girls,0uq5PttqEjj3IH1bzwcrXF,3sr6lAuO3nmB1u8ZuQgpiX,1997-01-01,1997,0.556,0.993,1,-5.067,1,0.0464,0.0105,0.0341,0.403,0.702,124.016,5qGwqO0lkbBXw4xNfzT7SF,4,173666,Spice Up Your Life,1,Spiceworld,C#,major,C# major
Spice Girls,0uq5PttqEjj3IH1bzwcrXF,3sr6lAuO3nmB1u8ZuQgpiX,1997-01-01,1997,0.722,0.845,2,-4.446,0,0.0308,0.287,0,0.0561,0.965,130.13,3FteycP8CaXS1MhjcXekVT,4,204753,Stop,2,Spiceworld,D,minor,D minor
Spice Girls,0uq5PttqEjj3IH1bzwcrXF,3sr6lAuO3nmB1u8ZuQgpiX,1997-01-01,1997,0.333,0.631,2,-4.992,1,0.0461,0.484,0,0.332,0.342,80.14,1RQnYh2xw2BPpnzQFbO5r5,4,271933,Too Much,3,Spiceworld,D,major,D major
Spice Girls,0uq5PttqEjj3IH1bzwcrXF,3sr6lAuO3nmB1u8ZuQgpiX,1997-01-01,1997,0.625,0.675,11,-8.373,0,0.0598,0.122,4.43e-4,0.0307,0.578,168.722,3M83cWfWcFXtkavdM8NuEZ,4,265893,Saturday Night Divas,4,Spiceworld,B,minor,B minor
Spice Girls,0uq5PttqEjj3IH1bzwcrXF,3sr6lAuO3nmB1u8ZuQgpiX,1997-01-01,1997,0.707,0.905,5,-5.534,0,0.0376,0.00674,0.0331,0.138,0.641,116.997,6RQnRYot6B3TPZsMbbSJ20,4,270200,Never Give Up On The Good Times,5,Spiceworld,F,minor,F minor
Spice Girls,0uq5PttqEjj3IH1bzwcrXF,3sr6lAuO3nmB1u8ZuQgpiX,1997-01-01,1997,0.724,0.934,7,-5.271,1,0.0887,0.0083,9e-5,0.0782,0.857,104.027,3P50dC4GwZYiToIXQGWIAC,4,166533,Move Over,6,Spiceworld,G,major,G major
Spice Girls,0uq5PttqEjj3IH1bzwcrXF,3sr6lAuO3nmB1u8ZuQgpiX,1997-01-01,1997,0.672,0.859,11,-5.367,0,0.0352,0.0529,0,0.31,0.804,98.736,4oB9UvwZUkic3nWWZKULqs,4,243995,Do It,7,Spiceworld,B,minor,B minor
Spice Girls,0uq5PttqEjj3IH1bzwcrXF,3sr6lAuO3nmB1u8ZuQgpiX,1997-01-01,1997,0.589,0.702,6,-6.702,1,0.0882,0.133,0,0.0613,0.787,190.159,3RTHY1WOLAkXoDW9oh5Cgb,4,226960,Denying,8,Spiceworld,F#,major,F# major
Spice Girls,0uq5PttqEjj3IH1bzwcrXF,3sr6lAuO3nmB1u8ZuQgpiX,1997-01-01,1997,0.473,0.698,6,-8.133,1,0.0349,0.0648,0.231,0.136,0.21,168.817,6BPDPcnbDMDf58srVzbfX9,4,310666,Viva Forever,9,Spiceworld,F#,major,F# major
Spice Girls,0uq5PttqEjj3IH1bzwcrXF,3sr6lAuO3nmB1u8ZuQgpiX,1997-01-01,1997,0.301,0.523,10,-5.859,1,0.0387,0.316,0,0.369,0.533,80.286,0l7H48aO4jEa7Ee37h1rX4,4,190973,The Lady Is A Vamp,10,Spiceworld,A#,major,A# major
Spice Girls,0uq5PttqEjj3IH1bzwcrXF,3x2jF7blR6bFHtk4MccsyJ,1996-01-01,1996,0.768,0.864,11,-6.145,1,0.0324,0.101,0,0.162,0.891,110.008,1Je1IMUlBXcx1Fz0WE7oPT,4,173026,Wannabe,1,Spice,B,major,B major
Spice Girls,0uq5PttqEjj3IH1bzwcrXF,3x2jF7blR6bFHtk4MccsyJ,1996-01-01,1996,0.726,0.679,1,-6.219,1,0.0473,0.0149,1.49e-6,0.0837,0.751,107.02,1yTQ39my3MoNROlFw3RDNy,4,235973,Say You'll Be There,2,Spice,C#,major,C# major
Spice Girls,0uq5PttqEjj3IH1bzwcrXF,3x2jF7blR6bFHtk4MccsyJ,1996-01-01,1996,0.646,0.665,6,-7.878,1,0.0268,0.326,1.97e-5,0.238,0.7,143.966,36AWdhZIGLUTkWpJDhe7va,4,241026,2 Become 1,3,Spice,F#,major,F# major
Spice Girls,0uq5PttqEjj3IH1bzwcrXF,3x2jF7blR6bFHtk4MccsyJ,1996-01-01,1996,0.8,0.743,2,-7.931,1,0.0519,0.0263,0,0.0698,0.76,110.059,61PwiYyJhF1HLi0OXomzQE,4,218573,Love Thing,4,Spice,D,major,D major
Spice Girls,0uq5PttqEjj3IH1bzwcrXF,3x2jF7blR6bFHtk4MccsyJ,1996-01-01,1996,0.721,0.669,8,-7.791,0,0.0488,0.00738,0.733,0.0762,0.95,88.115,5SAGopoaraFmLS08bNjLxB,4,251533,Last Time Lover,5,Spice,G#,minor,G# minor
Spice Girls,0uq5PttqEjj3IH1bzwcrXF,3x2jF7blR6bFHtk4MccsyJ,1996-01-01,1996,0.615,0.734,8,-9.328,1,0.0321,0.345,0.543,0.0963,0.811,95.848,3dNv3OuX6ol9si6PZ9KSAh,4,304960,Mama,6,Spice,G#,major,G# major
Spice Girls,0uq5PttqEjj3IH1bzwcrXF,3x2jF7blR6bFHtk4MccsyJ,1996-01-01,1996,0.727,0.83,6,-6.658,0,0.0376,0.0226,0.00356,0.73,0.899,118.002,1jI1aLmm5HTwiMtvsbwDJw,4,240706,Who Do You Think You Are,7,Spice,F#,minor,F# minor
Spice Girls,0uq5PttqEjj3IH1bzwcrXF,3x2jF7blR6bFHtk4MccsyJ,1996-01-01,1996,0.691,0.587,4,-8.423,0,0.029,0.00821,0.138,0.071,0.759,102.011,6qL8tweXFMqztcMwNB4r7y,4,245026,Something Kinda Funny,8,Spice,E,minor,E minor
Spice Girls,0uq5PttqEjj3IH1bzwcrXF,3x2jF7blR6bFHtk4MccsyJ,1996-01-01,1996,0.544,0.755,0,-9.09,0,0.0367,0.0857,0.0417,0.0772,0.499,160.063,2QMa85sq03n0NhDAjQe5eQ,4,265640,Naked,9,Spice,C,minor,C minor
Spice Girls,0uq5PttqEjj3IH1bzwcrXF,3x2jF7blR6bFHtk4MccsyJ,1996-01-01,1996,0.7,0.786,11,-8.621,0,0.14,0.0606,1.19e-5,0.069,0.536,103.783,6bh25NILjNfJnIvGRT2emC,4,228533,If U Can't Dance,10,Spice,B,minor,B minor
