
DV_DEVICE_NUMBER,Device Status,DV_DEVICE_STATUS_DESCRIPTION,BIN,TAX_BLOCK,TAX_LOT,HOUSE_NUMBER,STREET_NAME,ZIP_CODE,Borough,Device Type,DV_LASTPER_INSP_DATE,DV_LASTPER_INSP_DISP,DV_APPROVAL_DATE,DV_MANUFACTURER,DV_TRAVEL_DISTANCE,DV_SPEED_FPM,DV_CAPACITY_LBS,DV_CAR_BUFFER_TYPE,DV_GOVERNOR_TYPE,DV_MACHINE_TYPE,DV_SAFETY_TYPE,DV_MODE_OPERATION,DV_STATUS_DATE,DV_FLOOR_FROM,DV_FLOOR_TO,,LATITUDE,LONGITUDE
1D10016,A,ACTIVE,1024854,1026,32,848,7TH AVE,100190000,Manhattan,Dumbwaiter (D),20150929,DF,19961223,,,,,,,,,,20090115,,,,40.76407113174826,-73.98149915294333
1D10017,A,ACTIVE,1025080,1037,105,365,WEST 46 STREET,100360000,Manhattan,Dumbwaiter (D),20130905,NV,19961230,,,,,,,,,,20090115,,,,40.760937694326046,-73.99008401254208
1D10018,A,ACTIVE,1025080,1037,105,365,WEST 46 STREET,100360000,Manhattan,Dumbwaiter (D),20130905,NV,19961230,,,,,,,,,,20090115,,,,40.760937694326046,-73.99008401254208
1D10019,A,ACTIVE,1006737,464,6,29,3 AVENUE,10003,Manhattan,Dumbwaiter (D),20140502,DF,19961231,,,,,,,,,,20090116,,,,40.72972981893812,-73.98926241044786
1D10020,A,ACTIVE,1006363,450,8,144,2 AVE,100030000,Manhattan,Dumbwaiter (D),20150427,NV,19961231,,,,,,,,,,20090114,,,,40.728947327151545,-73.98697144468147
1D10021,A,ACTIVE,1032769,1230,43,2288,BWAY,100240000,Manhattan,Dumbwaiter (D),20150616,DF,19970113,,,,,,,,,,20090115,,,,40.7860448370496,-73.9777447119953
1D10022,A,ACTIVE,1007320,488,7501,52,THOMPSON STREET,10012,Manhattan,Dumbwaiter (D),20131105,NV,19990602,,,,,,,,,,20090115,,,,40.72383179104966,-74.00327582944574
1D10024,A,ACTIVE,1001589,145,21,97,READE STREET,10013,Manhattan,Dumbwaiter (D),20150218,DF,19970617,,,,,,,,,,20090115,,,,40.715534136188055,-74.00823184159711
1D10025,D,DISMANTLED,1080756,847,62,113,5 AVENUE,0,Manhattan,Dumbwaiter (D),20140731,NV,20091230,,14',50,500,S,,BD,,C,20100111,6,7,,40.73854884250357,-73.99075492419007
1D10027,A,ACTIVE,1006742,464,19,218,EAST 9 STREET,100030000,Manhattan,Dumbwaiter (D),,,19970305,,,,,,,,,,20090115,,,,40.7295513445802,-73.98858412554999
1D10028,A,ACTIVE,1024795,1021,26,1614,BROADWAY,100190000,Manhattan,Dumbwaiter (D),20150918,DF,20060307,,"16'4""",50,500,S,,,I,A,20090331,B,1,,40.760884847531415,-73.98391135013163
1D10032,A,ACTIVE,1047089,1504,62,14,E 93RD ST,101280000,Manhattan,Dumbwaiter (D),20121002,NV,19970506,,,,,,,,,,20090114,,,,40.78536350677873,-73.9563276477186
1D10038,A,ACTIVE,1084594,16,10,40, 1 PLACE,0,Manhattan,Dumbwaiter (D),20150115,NV,19970916,,,,,,,,,,20090115,,,,40.70598938854138,-74.01860014420072
1D10039,A,ACTIVE,1027156,1102,29,787,11 AVE,100190000,Manhattan,Dumbwaiter (D),20150623,DF,19970818,,,,,,,,,,20090115,,,,40.768908643789956,-73.99309010864953
1D10041,A,ACTIVE,1083573,718,1,175,9 AV,100110000,Manhattan,Dumbwaiter (D),20110210,NV,19991208,,,,,,,,,,20090115,,,,40.74550435105259,-74.00374966300039
1D10042,A,ACTIVE,1057327,1894,47,2861,BROADWAY,100250000,Manhattan,Dumbwaiter (D),20130917,DF,19970811,,,,,,,,,,20090116,,,,40.805096020092584,-73.9664792815331
1D10043,D,DISMANTLED,1058638,1930,1,2310,FREDERICK DOUGLASS BLVD,100270000,Manhattan,Dumbwaiter (D),20131024,DF,20150325,,,,,,,,,,20150327,,,,40.809671477217584,-73.95112429832166
1D10045,A,ACTIVE,1083347,94,1,80,BEEKMAN STREET,0,Manhattan,Dumbwaiter (D),20150211,NV,19970818,,,,,,,,,,20090115,,,,40.7092516139995,-74.00360695255905
1D10046,A,ACTIVE,1012256,662,11,PIER 59,NORTH RIVER,0,Manhattan,Dumbwaiter (D),20140508,DF,19970813,,,,,,,,,,20090115,,,,40.74561649013959,-74.01025655457703
1D10047,D,DISMANTLED,1018123,882,3,373,PARK AVENUE SOUTH,100160000,Manhattan,Dumbwaiter (D),20150820,NV,20141003,,,,,,,,,,20141020,,,,40.74211358079713,-73.98433810462848
1D10050,A,ACTIVE,1024894,1028,17,1752,BWAY,100190000,Manhattan,Dumbwaiter (D),20150923,NV,19970915,,,,,,,,,,20090115,,,,40.76547369011972,-73.98146988335598
1D10051,A,ACTIVE,1024821,1023,59,256,W 52 ST,100190000,Manhattan,Dumbwaiter (D),20140929,NV,19971119,,,,,,,,,,20090116,,,,40.763113694070405,-73.98475913107485
1D10052,A,ACTIVE,1083136,575,17,66,W 12 ST,100110000,Manhattan,Dumbwaiter (D),20150330,NV,19970910,,,,,,,,,,20090115,,,,40.735439376861585,-73.99729011400663
1D10057,A,ACTIVE,1029902,1143,61,170,WEST 72 ST,0,Manhattan,Dumbwaiter (D),20150521,DF,19971217,,,,,,,,,,20090115,,,,40.778209268893704,-73.98140856833616
1D10058,A,ACTIVE,1042364,1399,28,171,EAST 64 STREET,100210000,Manhattan,Dumbwaiter (D),20131212,NV,19981204,,,,300,,,GL,,P,20090115,1,5,,40.76522283866655,-73.96500481636119
1D10059,A,ACTIVE,1003979,307,17,295,GRAND STREET,100020000,Manhattan,Dumbwaiter (D),20150421,NV,19971117,,,,,,,,,,20090331,,,,40.71740334003525,-73.99208177079504
1D10060,A,ACTIVE,1034197,1258,18,33,WEST 42 ST,100360000,Manhattan,Dumbwaiter (D),20100916,DF,20060307,,,,,,,OG,I,,20090115,,,,40.75448659237817,-73.98217677310707
1D10061,A,ACTIVE,1081314,1581,23,100,EAST END AVENUE,100280000,Manhattan,Dumbwaiter (D),20141031,DF,20001128,,,,500,,,OG,,A,20090114,4,5,,40.77401518418024,-73.9461030436898
1D10063,A,ACTIVE,1051415,1599,6,81,WEST 115 STREET,100260000,Manhattan,Dumbwaiter (D),20141215,DF,19980518,,,,,,,,,,20090115,,,,40.80130756907807,-73.9494292151763
1D10064,A,ACTIVE,1076746,2139,1,161,FORT WASHINGTON AVENUE,0,Manhattan,Dumbwaiter (D),20141124,NV,19980106,,,,,,,,,,20090331,,,,40.84126789033083,-73.94346085397667
1D10065,A,ACTIVE,1036459,1305,60,566,LEXINGTON AVE,100220000,Manhattan,Dumbwaiter (D),20130222,NV,19980121,,,,,,,,,,20090115,,,,40.75707570574823,-73.9724050491627
1D10066,J,NO JURIST,1047467,1508,10,123,E 79TH ST,100210000,Manhattan,Dumbwaiter (D),20121005,DF,19980220,BRAZILIAN MISSION,,,,,,,,,20121214,,,,40.77545611781875,-73.95935255578829
1D10067,W,WK IN PROG,1002398,200,28,63,MOTT STREET,100130000,Manhattan,Dumbwaiter (D),,,,,,,,,,,,,19980202,,,,40.716119054588795,-73.99848853115988
1D10069,A,ACTIVE,1042055,1397,7505,138,EAST 63 ST,100210000,Manhattan,Dumbwaiter (D),20140814,DF,19980205,,,,,,,,,,20090114,,,,40.764399772955855,-73.96620013878103
1D10073,A,ACTIVE,1013993,769,53,226,W 20 ST,100110000,Manhattan,Dumbwaiter (D),20150601,NV,20000911,,,,200,,,,,A,20090115,1,9,,40.74262515950734,-73.99849514735395
1D10076,W,WK IN PROG,1042473,1402,33,167,E 67 ST,100210000,Manhattan,Dumbwaiter (D),,,,,,,,,,,,,19980311,,,,40.766844391651695,-73.96311589667272
1D10077,A,ACTIVE,1014332,780,1,267,WEST 30 STREET,100010000,Manhattan,Dumbwaiter (D),20150623,NV,19980505,,,,,,,,,,20090116,,,,40.74965436245198,-73.99497607694548
1D10078,A,ACTIVE,1034194,1257,1,476,FIFTH AVENUE,10018,Manhattan,Dumbwaiter (D),20150930,NV,19980519,,,,400,,,,,P,20090115,B,7,,40.753202065128974,-73.98226735010505
1D10079,A,ACTIVE,1034194,1257,1,476,FIFTH AVENUE,10018,Manhattan,Dumbwaiter (D),20150930,NV,19980519,,,,400,,,,,,20090115,B,7,,40.753202065128974,-73.98226735010505
1D10081,A,ACTIVE,1083630,834,11,1260,BROADWAY,0,Manhattan,Dumbwaiter (D),20150723,DF,19980603,,,,,,,,,,20090114,,,,40.74834457278095,-73.98772194666262
1D10082,A,ACTIVE,1083630,834,11,1260,BROADWAY,0,Manhattan,Dumbwaiter (D),20150723,DF,19980603,,,,,,,,,,20090114,,,,40.74834457278095,-73.98772194666262
1D10084,A,ACTIVE,1082598,1411,1,101,EAST   76 STREET,0,Manhattan,Dumbwaiter (D),20150819,DF,19980508,,,,,,,,,,20090114,,,,40.77365334533454,-73.96085559969245
1D10085,A,ACTIVE,1082598,1411,1,101,EAST   76 STREET,0,Manhattan,Dumbwaiter (D),20150819,DF,19980508,,,,,,,,,,20090114,,,,40.77365334533454,-73.96085559969245
1D10086,A,ACTIVE,1050025,1549,1,301,EAST 86TH ST,100280000,Manhattan,Dumbwaiter (D),20141021,NV,19980908,,,,500,,,OG,,P,20090116,C,1,,40.77796697557059,-73.95082982975931
1D10087,A,ACTIVE,1050025,1549,1,301,EAST 86TH ST,100280000,Manhattan,Dumbwaiter (D),20141021,NV,19980908,,,,500,,,,,,20090116,C,1,,40.77796697557059,-73.95082982975931
1D10089,A,ACTIVE,1045209,1452,23,1479,1 AVENUE,100210000,Manhattan,Dumbwaiter (D),20130802,DF,19980909,,,,500,,,OD,,A,20090114,C1,3,,40.771210654618116,-73.95378805087768
1D10090,D,DISMANTLED,1084564,1139,7503,1992,BWAY,100230000,Manhattan,Dumbwaiter (D),20150506,NV,20111006,,,,500,,,OG,,A,20111021,SC,C,,40.77480306146778,-73.98147811885326
1D10091,D,DISMANTLED,1084564,1139,7503,1992,BWAY,100230000,Manhattan,Dumbwaiter (D),20150506,NV,19981027,,,,500,,,OG,,A,20111217,SC,1,,40.77480306146778,-73.98147811885326
1D10093,A,ACTIVE,1024665,1013,12,234,WEST 42 STREET,100360000,Manhattan,Dumbwaiter (D),20150922,DF,20000801,,,,500,,,OG,,P,20090115,1,4,,40.75634835858263,-73.98874196067216
1D10094,A,ACTIVE,1041822,1392,25,53,E 77TH ST,100210000,Manhattan,Dumbwaiter (D),20150807,DF,20060515,,,25,500,,,OD,,P,20090115,SB,3,,40.77501804506987,-73.96255535011107
1D10096,A,ACTIVE,1046958,1500,53,40,EAST 89 ST,101280000,Manhattan,Dumbwaiter (D),20131007,DF,19990105,,,,500,,,BD,,P,20090115,B,1,,40.78248738069969,-73.9572755952554
1D10097,A,ACTIVE,1038223,1323,1,201,E 49 ST,100170000,Manhattan,Dumbwaiter (D),20150402,DF,19980921,,23,50,500,,,BD,I,A,20090331,B,2,,40.755181432918086,-73.97078880487082
1D10098,A,ACTIVE,1035794,1292,1264,725,FIFTH AVE,100220000,Manhattan,Dumbwaiter (D),20141110,NV,19981009,,,,500,,,,,,20090115,5,6,,40.762310279437,-73.97389373860733
1D10099,A,ACTIVE,1035794,1292,1264,725,FIFTH AVE,100220000,Manhattan,Dumbwaiter (D),20141110,NV,19981009,,,,500,,,,,,20090115,5,6,,40.762310279437,-73.97389373860733
1D10100,A,ACTIVE,1032791,1231,55,2309,BROADWAY,100240000,Manhattan,Dumbwaiter (D),20150619,DF,20010830,,,,,,,,,,20090115,,,,40.78703576292666,-73.97814883142215
1D10102,A,ACTIVE,1079109,458,1,325,BOWERY,100030000,Manhattan,Dumbwaiter (D),20150430,DF,19981123,,,,,,,,,,20090115,,,,40.725634845265795,-73.99171640097758
1D10103,A,ACTIVE,1036175,1299,23,137,EAST 44TH ST,100170000,Manhattan,Dumbwaiter (D),20150302,NV,19981123,,,,,,,,,,20090114,,,,40.75271477783148,-73.97445694153555
1D10105,A,ACTIVE,1028619,1124,42,12,W 72ND ST,100230000,Manhattan,Dumbwaiter (D),20150424,DF,19981120,,,,75,,,,,A,20090114,B,1,,40.77640795557917,-73.97714857476369
1D10106,A,ACTIVE,1008839,548,45,15,WAVERLY PL,100030000,Manhattan,Dumbwaiter (D),20150331,DF,19990416,,,,500,,,OD,,A,20090114,B,1,,40.73042734898693,-73.9943533254302
1D10107,A,ACTIVE,1022670,999,53,146,W 47 ST,100360000,Manhattan,Dumbwaiter (D),20130510,DF,19990413,,,,300,,,OD,,A,20090114,B,1,,40.75856276130283,-73.98367728552138
1D10108,A,ACTIVE,1022670,999,53,146,W 47 ST,100360000,Manhattan,Dumbwaiter (D),20130510,DF,19990413,,,,500,,,OD,,A,20090114,B,3,,40.75856276130283,-73.98367728552138
1D10109,A,ACTIVE,1001789,163,18,69,BAYARD STREET,100130000,Manhattan,Dumbwaiter (D),20150416,DF,19990113,,,,300,,,OG,,A,20090115,B,1,,40.71542188415946,-73.99839836480785
1D10110,A,ACTIVE,1001789,163,18,69,BAYARD STREET,100130000,Manhattan,Dumbwaiter (D),20150416,DF,19990113,,,,300,,,OG,,A,20090115,B,1,,40.71542188415946,-73.99839836480785
1D10111,A,ACTIVE,1017223,867,64,10,E 38TH ST,100160000,Manhattan,Dumbwaiter (D),20150821,DF,19981109,,,,3000,,,OD,,,20090114,B,2,,40.75041061497003,-73.98199379538859
1D10115,D,DISMANTLED,1072068,1392,7501,40,EAST   78 STREET,0,Manhattan,Dumbwaiter (D),20140904,NV,20150420,,,,,,,,,,20150511,,,,40.775287036358776,-73.96257686203494
1D10116,A,ACTIVE,1003132,239,33,100,BOWERY,100130000,Manhattan,Dumbwaiter (D),20150312,NV,19990209,STORE BUILDING,,,,,,,,,20090114,,,,40.717793280229024,-73.99549794630802
1D10117,A,ACTIVE,1003132,239,33,100,BOWERY,100130000,Manhattan,Dumbwaiter (D),20150312,NV,19990209,,,,,,,,,,20090114,,,,40.717793280229024,-73.99549794630802
1D10118,A,ACTIVE,1034840,1271,53,24,WEST 56 STREET,100190000,Manhattan,Dumbwaiter (D),20130404,DF,19990426,,,,,,,,,,20090115,,,,40.76267852584541,-73.97596564588484
1D10119,A,ACTIVE,1034840,1271,53,24,WEST 56 STREET,100190000,Manhattan,Dumbwaiter (D),20130405,DF,19990426,,,,,,,,,,20090115,,,,40.76267852584541,-73.97596564588484
1D10121,A,ACTIVE,1001111,68,7,81,MAIDEN LANE,100380000,Manhattan,Dumbwaiter (D),20150202,DF,19981204,,,,200,,,BD,,A,20090115,1,2,,40.707535958024614,-74.00736160070646
1D10123,D,DISMANTLED,1024782,1020,51,224,W 49TH ST,100190000,Manhattan,Dumbwaiter (D),20150917,DF,20120702,,,,,,,,,,20120709,,,,40.760970146798435,-73.98551045025638
1D10124,A,ACTIVE,1078853,1015,61,694,   8 AVENUE,0,Manhattan,Dumbwaiter (D),20150922,NV,19991025,,,,,,,,,,20090115,,,,40.75828064896647,-73.98864056507055
1D10125,W,WK IN PROG,1042394,1399,111,129,E 64 ST,100210000,Manhattan,Dumbwaiter (D),,,,,,,,,,,,,19990219,,,,40.76576942643171,-73.96629330404392
1D10126,J,NO JURIST,1042848,1407,24,151,EAST 72 STREET,10021,Manhattan,Dumbwaiter (D),,,19990706,,,,,,,,,,20111227,,,,40.770464198602774,-73.96156869706593
1D10127,A,ACTIVE,1036215,1302,29,143,EAST 47 STREET,100170000,Manhattan,Dumbwaiter (D),20150309,NV,19990426,,,,,,,,,,20090114,,,,40.75444906531037,-73.97274542088041
1D10128,W,WK IN PROG,1033112,1232,34,510,AMSTERDAM AVENUE,100240000,Manhattan,Dumbwaiter (D),,,,,,,,,,,,,19990406,,,,40.78690358685448,-73.97599301262088
1D10131,A,ACTIVE,1029660,1141,120,131,WEST 69 STREET,100230000,Manhattan,Dumbwaiter (D),20140506,DF,19991208,,,,,,,,,,20090114,,,,40.77612872221091,-73.9811852935468
1D10132,A,ACTIVE,1001688,162,11,20,MOTT STREET,100130000,Manhattan,Dumbwaiter (D),20150415,DF,19990614,,,,,,,,,,20090331,,,,40.714373387149365,-73.99852464304293
1D10133,D,DISMANTLED,1024828,1024,38,810,7TH AVE,100190000,Manhattan,Dumbwaiter (D),20150918,NV,20120823,,,,,,,,,,20120906,,,,40.76291301059854,-73.98252467449645
1D10134,A,ACTIVE,1028237,1120,9,35,WEST 67 STREET,100230000,Manhattan,Dumbwaiter (D),20150430,DF,19990803,,,,,,,,,,20090115,,,,40.774045287017294,-73.98011718539709
1D10135,A,ACTIVE,1036452,1305,20,557,LEXINGTON AVE,100220000,Manhattan,Dumbwaiter (D),20150313,DF,19990614,,,,,,,,,,20090115,,,,40.75659527434309,-73.97198654429195
1D10136,A,ACTIVE,1061160,2053,125,756,ST NICHOLAS AVENUE,100310000,Manhattan,Dumbwaiter (D),20141212,DF,20061212,,,,,,,,,,20090115,,,,40.82586706094091,-73.94295724171513
1D10139,A,ACTIVE,1085682,995,5,1472,BROADWAY,100360000,Manhattan,Dumbwaiter (D),20150904,DF,20010106,,,,500,,,OG,,A,20090114,SB,G,,40.75602140439227,-73.98576419068903
1D10140,A,ACTIVE,1026906,1070,1,534,11TH AVE,100360000,Manhattan,Dumbwaiter (D),20150611,NV,19990706,,,,,,,,,,20090115,,,,40.76033700846384,-73.9982167988287
1D10141,W,WK IN PROG,1034194,1257,1,476,FIFTH AVENUE,10018,Manhattan,Dumbwaiter (D),,,,,,,,,,,,,19991124,,,,40.753202065128974,-73.98226735010505
1D10142,A,ACTIVE,1001688,162,11,20,MOTT STREET,100130000,Manhattan,Dumbwaiter (D),20150415,DF,19990614,,,,,,,,,,20090331,,,,40.714373387149365,-73.99852464304293
1D10144,A,ACTIVE,1024665,1013,12,234,WEST 42 STREET,100360000,Manhattan,Dumbwaiter (D),20150924,NV,20000508,,,,500,,,OD,,P,20090115,L,CC,,40.75634835858263,-73.98874196067216
1D10146,A,ACTIVE,1080443,1274,6,40,CENTRAL PARK SOUTH,0,Manhattan,Dumbwaiter (D),20141015,NV,20100802,,8',50,500,,,BD,,A,20100802,B,1,,40.764995039701056,-73.97573377175684
1D10147,A,ACTIVE,1035367,1279,6,3,E 44TH ST,100170000,Manhattan,Dumbwaiter (D),20141024,DF,19990812,,,,,,,,,,20090116,,,,40.754697432709094,-73.97916646587572
1D10148,A,ACTIVE,1035367,1279,6,3,E 44TH ST,100170000,Manhattan,Dumbwaiter (D),20141024,DF,19990812,,,,,,,,,,20090116,,,,40.754697432709094,-73.97916646587572
1D10149,A,ACTIVE,1034313,1262,1,63,WEST 46TH STREET,100360000,Manhattan,Dumbwaiter (D),20151001,DF,19990921,,,,,,,,,,20090115,,,,40.757368488140614,-73.98162373957842
1D10153,A,ACTIVE,1001692,162,15,28,MOTT STREET,100130000,Manhattan,Dumbwaiter (D),20150415,NV,19991025,,,,,,,,,,20090116,,,,40.71463688471962,-73.99856431689426
1D10154,A,ACTIVE,1014445,786,51,492,7TH AVE,100180000,Manhattan,Dumbwaiter (D),20150622,NV,19991019,,,,,,,,,,20090115,,,,40.752848926050994,-73.99002746759722
1D10155,A,ACTIVE,1038244,1323,109,217,EAST 49 STREET,100170000,Manhattan,Dumbwaiter (D),20150402,DF,19990903,,,,,,,,,,20090115,,,,40.75500564088728,-73.97028717115312
1D10157,A,ACTIVE,1083860,1266,1,626,FIFTH AVENUE,0,Manhattan,Dumbwaiter (D),20141009,NV,19991006,,,,,,,,,,20090115,,,,40.75953082235904,-73.97858740602739
1D10158,A,ACTIVE,1083860,1266,1,626,FIFTH AVENUE,0,Manhattan,Dumbwaiter (D),20141009,NV,19991006,,,,,,,,,,20090115,,,,40.75953082235904,-73.97858740602739
1D10160,A,ACTIVE,1080105,548,4,5,UNIVERSITY PLACE,100030000,Manhattan,Dumbwaiter (D),20150401,NV,19990922,,,,,,,,,,20090115,,,,40.73094612910127,-73.99480790545405
1D10161,D,DISMANTLED,1087237,936,1,546, 2 AVENUE,0,Manhattan,Dumbwaiter (D),20150209,DF,20140528,,,,,,,,,,20150519,,,,40.74268046572006,-73.97676678779183
1D10163,A,ACTIVE,1080105,548,4,5,UNIVERSITY PLACE,100030000,Manhattan,Dumbwaiter (D),20150401,NV,,,,,,,,,,,20090115,,,,40.73094612910127,-73.99480790545405
1D10165,A,ACTIVE,1000031,11,9,18,BEAVER ST,100040000,Manhattan,Dumbwaiter (D),20150109,NV,20000120,,,,,,,,,,20090115,,,,40.70481821058566,-74.01238545137794
1D10166,A,ACTIVE,1046786,1495,33,46,E 84 ST,100280000,Manhattan,Dumbwaiter (D),20150923,NV,19991208,,,,,,,,,,20090115,,,,40.77895003155784,-73.95896768578602
1D10167,A,ACTIVE,1030096,1146,7504,170,WEST 75 STREET,100230000,Manhattan,Dumbwaiter (D),20150518,DF,19991122,,,,,,,,,,20090115,,,,40.780284078912395,-73.98014781969543
1D10168,W,WK IN PROG,1047396,1506,10,13,E 94TH ST,101280000,Manhattan,Dumbwaiter (D),,,,,,,,,,,,,19991014,,,,40.78639253060166,-73.95566974671574
1D10170,A,ACTIVE,1039637,1343,134,344,EAST 51 STREET,100220000,Manhattan,Dumbwaiter (D),20150406,DF,20001102,,,,500,,,OD,,P,20090115,1,4,,40.75463958335282,-73.96661295458412
1D10171,A,ACTIVE,1019917,910,4,421,3 AVENUE,100160000,Manhattan,Dumbwaiter (D),20150210,DF,19991220,,,,,,,,,,20090115,,,,40.74273045800093,-73.97988474345435
1D10172,A,ACTIVE,1046843,1497,71,1048,5 AVENUE,10028,Manhattan,Dumbwaiter (D),20150928,DF,20010402,,,,250,,,BD,,A,20090114,B,1,,40.78124233471127,-73.96024812588891
1D10173,A,ACTIVE,1003522,281,57,15,DIVISION ST,100020000,Manhattan,Dumbwaiter (D),20150423,NV,20000119,,,,,,,,,,20090114,,,,40.71391497436403,-73.99670662191193
1D10181,A,ACTIVE,1002013,179,25,155,FRANKLIN STREET,10013,Manhattan,Dumbwaiter (D),20140228,DF,20010907,,,,,,,,,,20090114,,,,40.71901449918195,-74.0081312619948
1D10182,A,ACTIVE,1013993,769,53,226,W 20 ST,100110000,Manhattan,Dumbwaiter (D),20150601,NV,20000911,,,,300,,,,,A,20090115,B,1,,40.74262515950734,-73.99849514735395
1D10184,A,ACTIVE,1013614,761,4,492,9 AVE,100180000,Manhattan,Dumbwaiter (D),20150518,DF,20000703,,,,500,,,BG,,A,20090115,B,ST,,40.75547045346166,-73.99438729708366
1D10185,A,ACTIVE,1041355,1386,12,11,E 71ST ST,100210000,Manhattan,Dumbwaiter (D),20130611,DF,20040917,,,,,,,,,,20090114,,,,40.77151692357554,-73.96633010858173
1D10186,A,ACTIVE,1009393,571,13,20,EAST 14 STREET,100030000,Manhattan,Dumbwaiter (D),20150418,DF,20000414,,,,,,,,,,20090331,,,,40.735258028217885,-73.99277245422475
1D10190,A,ACTIVE,1001689,162,12,22,MOTT ST,100130000,Manhattan,Dumbwaiter (D),20150415,NV,20000417,,,,,,,,,,20090115,,,,40.71443926155555,-73.99853546328467
1D10191,A,ACTIVE,1001689,162,12,22,MOTT ST,100130000,Manhattan,Dumbwaiter (D),20150415,NV,20000417,,,,,,,,,,20090115,,,,40.71443926155555,-73.99853546328467
1D10192,A,ACTIVE,1047405,1506,58,28,E 95TH ST,101280000,Manhattan,Dumbwaiter (D),20121008,DF,20040622,,,,,,,,,,20090116,,,,40.78649386482267,-73.95509911951235
1D10194,A,ACTIVE,1028838,1138,7503,157,WEST 66 ST,100230000,Manhattan,Dumbwaiter (D),20150504,DF,20000601,,,,500,,,BD,,A,20090114,B,1,,40.7745096321732,-73.98315707705459
1D10195,A,ACTIVE,1000031,11,9,18,BEAVER ST,100040000,Manhattan,Dumbwaiter (D),20150109,NV,20000615,,,,300,,,LT,,A,20090115,B,3,,40.70481821058566,-74.01238545137794
1D10196,W,WK IN PROG,1042429,1400,7501,1110,3 AVE,100210000,Manhattan,Dumbwaiter (D),,,,,,,,,,,,,20000331,,,,40.765678146354176,-73.96396850461223
1D10197,A,ACTIVE,1046646,1492,64,12,E 81ST ST,100280000,Manhattan,Dumbwaiter (D),20110803,DF,20010326,,,,200,,,BD,,P,20090114,1,2,,40.77777635200598,-73.96208441264494
1D10198,A,ACTIVE,1003133,239,34,98,BOWERY,100130000,Manhattan,Dumbwaiter (D),20120731,DF,20000807,,,,300,,,,,A,20090115,B,1,,40.71773289705531,-73.99553763191385
1D10200,A,ACTIVE,1085777,1074,24,651,TENTH AVENUE,0,Manhattan,Dumbwaiter (D),20150615,NV,20010424,,24 FT,50,,,,,,,20090115,C,G,,40.762214287556645,-73.9943398011213
1D10201,A,ACTIVE,1031214,1197,2,483,COLUMBUS AVENUE,100240000,Manhattan,Dumbwaiter (D),20131209,NV,20000724,,,,300,,,BD,,P,20090115,B,1,,40.78456719628335,-73.9731700274264
1D10202,A,ACTIVE,1017207,867,37,56,PARK AVENUE,100160000,Manhattan,Dumbwaiter (D),20150105,DF,20020606,,,,500,,,,,,20090115,S,2,,40.74944964025967,-73.98009204408699
