cartodb_id,the_geom,the_geom_webmercator,county,year,totalproduction,sfproduction,mfproduction,mhproduction,source
43,NA,NA,Contra Costa County,2003,5357,4552,836,-31,DOF_E-8
44,NA,NA,Contra Costa County,2004,6576,5100,1491,-15,DOF_E-8
45,NA,NA,Contra Costa County,2005,8208,5296,2925,-13,DOF_E-8
46,NA,NA,Contra Costa County,2006,5351,4476,890,-15,DOF_E-8
47,NA,NA,Contra Costa County,2007,3825,3165,688,-28,DOF_E-8
48,NA,NA,Contra Costa County,2008,2576,1619,977,-20,DOF_E-8
49,NA,NA,Contra Costa County,2009,1008,792,238,-22,DOF_E-8
50,NA,NA,Contra Costa County,2010,1797,1161,745,-109,DOF_E-5
51,NA,NA,Contra Costa County,2011,1436,644,792,0,DOF_E-5
52,NA,NA,Contra Costa County,2012,1287,897,390,0,DOF_E-5
53,NA,NA,Contra Costa County,2013,1716,1478,238,0,DOF_E-5
54,NA,NA,Contra Costa County,2014,1833,1593,240,0,DOF_E-5
55,NA,NA,Contra Costa County,2015,2122,1344,778,0,DOF_E-5
56,NA,NA,Contra Costa County,2016,2415,1690,726,-1,DOF_E-5
57,NA,NA,Contra Costa County,2017,1725,1496,215,14,DOF_E-5
58,NA,NA,Contra Costa County,2018,2139,1480,658,1,DOF_E-5
59,NA,NA,Marin County,1990,711,408,273,30,DOF_E-8
60,NA,NA,Marin County,1991,800,264,495,41,DOF_E-8
61,NA,NA,Marin County,1992,352,195,118,39,DOF_E-8
62,NA,NA,Marin County,1993,295,199,54,42,DOF_E-8
63,NA,NA,Marin County,1994,279,145,94,40,DOF_E-8
64,NA,NA,Marin County,1995,278,229,11,38,DOF_E-8
65,NA,NA,Marin County,1996,537,270,226,41,DOF_E-8
66,NA,NA,Marin County,1997,575,222,314,39,DOF_E-8
67,NA,NA,Marin County,1998,497,359,96,42,DOF_E-8
68,NA,NA,Marin County,1999,797,573,185,39,DOF_E-8
69,NA,NA,Marin County,2000,624,791,-168,1,DOF_E-8
70,NA,NA,Marin County,2001,728,824,-80,-16,DOF_E-8
71,NA,NA,Marin County,2002,755,741,27,-13,DOF_E-8
72,NA,NA,Marin County,2003,721,845,-106,-18,DOF_E-8
73,NA,NA,Marin County,2004,886,920,-19,-15,DOF_E-8
74,NA,NA,Marin County,2005,490,711,-203,-18,DOF_E-8
75,NA,NA,Marin County,2006,874,642,248,-16,DOF_E-8
76,NA,NA,Marin County,2007,394,638,-228,-16,DOF_E-8
77,NA,NA,Marin County,2008,381,540,-144,-15,DOF_E-8
78,NA,NA,Marin County,2009,410,584,-159,-15,DOF_E-8
79,NA,NA,Marin County,2010,182,225,-42,-1,DOF_E-5
80,NA,NA,Marin County,2011,110,104,4,2,DOF_E-5
81,NA,NA,Marin County,2012,106,38,68,0,DOF_E-5
82,NA,NA,Marin County,2013,117,52,64,1,DOF_E-5
83,NA,NA,Marin County,2014,150,90,60,0,DOF_E-5
84,NA,NA,Marin County,2015,106,71,32,3,DOF_E-5
85,NA,NA,Marin County,2016,87,77,4,6,DOF_E-5
86,NA,NA,Marin County,2017,295,86,207,2,DOF_E-5
87,NA,NA,Marin County,2018,100,89,5,6,DOF_E-5
88,NA,NA,Napa County,1990,616,515,87,14,DOF_E-8
89,NA,NA,Napa County,1991,556,511,4,41,DOF_E-8
90,NA,NA,Napa County,1992,656,417,237,2,DOF_E-8
91,NA,NA,Napa County,1993,354,288,57,9,DOF_E-8
92,NA,NA,Napa County,1994,409,378,25,6,DOF_E-8
93,NA,NA,Napa County,1995,281,319,-33,-5,DOF_E-8
94,NA,NA,Napa County,1996,285,301,-17,1,DOF_E-8
95,NA,NA,Napa County,1997,233,272,-39,0,DOF_E-8
96,NA,NA,Napa County,1998,345,393,-41,-7,DOF_E-8
97,NA,NA,Napa County,1999,582,598,-9,-7,DOF_E-8
98,NA,NA,Napa County,2000,533,408,143,-18,DOF_E-8
99,NA,NA,Napa County,2001,731,711,44,-24,DOF_E-8
100,NA,NA,Napa County,2002,728,569,179,-20,DOF_E-8
101,NA,NA,Napa County,2003,1175,538,658,-21,DOF_E-8
102,NA,NA,Napa County,2004,709,648,75,-14,DOF_E-8
103,NA,NA,Napa County,2005,770,672,104,-6,DOF_E-8
104,NA,NA,Napa County,2006,641,326,327,-12,DOF_E-8
105,NA,NA,Napa County,2007,445,368,92,-15,DOF_E-8
106,NA,NA,Napa County,2008,270,179,103,-12,DOF_E-8
107,NA,NA,Napa County,2009,205,164,44,-3,DOF_E-8
108,NA,NA,Napa County,2010,159,112,50,-3,DOF_E-5
109,NA,NA,Napa County,2011,107,107,0,0,DOF_E-5
110,NA,NA,Napa County,2012,95,94,-1,2,DOF_E-5
111,NA,NA,Napa County,2013,71,58,10,3,DOF_E-5
112,NA,NA,Napa County,2014,104,103,0,1,DOF_E-5
113,NA,NA,Napa County,2015,121,67,48,6,DOF_E-5
114,NA,NA,Napa County,2016,187,83,101,3,DOF_E-5
115,NA,NA,Napa County,2017,-410,-500,88,2,DOF_E-5
116,NA,NA,Napa County,2018,23,-15,38,0,DOF_E-5
117,NA,NA,San Francisco County,1990,2145,418,1693,34,DOF_E-8
118,NA,NA,San Francisco County,1991,2160,534,1582,44,DOF_E-8
119,NA,NA,San Francisco County,1992,1269,616,608,45,DOF_E-8
120,NA,NA,San Francisco County,1993,877,540,292,45,DOF_E-8
121,NA,NA,San Francisco County,1994,1266,548,674,44,DOF_E-8
122,NA,NA,San Francisco County,1995,1428,620,763,45,DOF_E-8
123,NA,NA,San Francisco County,1996,1089,668,376,45,DOF_E-8
124,NA,NA,San Francisco County,1997,1774,731,999,44,DOF_E-8
125,NA,NA,San Francisco County,1998,2263,722,1496,45,DOF_E-8
126,NA,NA,San Francisco County,1999,2837,697,2095,45,DOF_E-8
127,NA,NA,San Francisco County,2000,2540,1241,1285,14,DOF_E-8
128,NA,NA,San Francisco County,2001,2852,1387,1461,4,DOF_E-8
129,NA,NA,San Francisco County,2002,3840,1367,2468,5,DOF_E-8
130,NA,NA,San Francisco County,2003,2055,1410,641,4,DOF_E-8
131,NA,NA,San Francisco County,2004,2224,1410,810,4,DOF_E-8
132,NA,NA,San Francisco County,2005,2723,1408,1311,4,DOF_E-8
133,NA,NA,San Francisco County,2006,2976,1383,1589,4,DOF_E-8
134,NA,NA,San Francisco County,2007,3496,1400,2091,5,DOF_E-8
135,NA,NA,San Francisco County,2008,4112,1430,2678,4,DOF_E-8
136,NA,NA,San Francisco County,2009,3926,1375,2547,4,DOF_E-8
137,NA,NA,San Francisco County,2010,865,345,519,1,DOF_E-5
138,NA,NA,San Francisco County,2011,299,-4,303,0,DOF_E-5
139,NA,NA,San Francisco County,2012,1279,20,1259,0,DOF_E-5
140,NA,NA,San Francisco County,2013,2377,24,2353,0,DOF_E-5
141,NA,NA,San Francisco County,2014,3514,14,3500,0,DOF_E-5
142,NA,NA,San Francisco County,2015,2848,-45,2893,0,DOF_E-5
143,NA,NA,San Francisco County,2016,5114,49,5065,0,DOF_E-5
144,NA,NA,San Francisco County,2017,4464,-5,4469,0,DOF_E-5
145,NA,NA,San Francisco County,2018,2289,12,2277,0,DOF_E-5
146,NA,NA,San Mateo County,1990,1272,894,356,22,DOF_E-8
147,NA,NA,San Mateo County,1991,608,700,-80,-12,DOF_E-8
148,NA,NA,San Mateo County,1992,343,462,-112,-7,DOF_E-8
149,NA,NA,San Mateo County,1993,365,315,51,-1,DOF_E-8
150,NA,NA,San Mateo County,1994,414,457,-39,-4,DOF_E-8
151,NA,NA,San Mateo County,1995,816,836,-10,-10,DOF_E-8
152,NA,NA,San Mateo County,1996,929,741,196,-8,DOF_E-8
153,NA,NA,San Mateo County,1997,1065,1109,-41,-3,DOF_E-8
154,NA,NA,San Mateo County,1998,1144,1361,-210,-7,DOF_E-8
155,NA,NA,San Mateo County,1999,1720,1238,481,1,DOF_E-8
156,NA,NA,San Mateo County,2000,1295,1208,90,-3,DOF_E-8
157,NA,NA,San Mateo County,2001,1736,901,871,-36,DOF_E-8
158,NA,NA,San Mateo County,2002,1552,835,735,-18,DOF_E-8
159,NA,NA,San Mateo County,2003,973,831,165,-23,DOF_E-8
160,NA,NA,San Mateo County,2004,1135,693,480,-38,DOF_E-8
161,NA,NA,San Mateo County,2005,438,528,-45,-45,DOF_E-8
162,NA,NA,San Mateo County,2006,414,477,-46,-17,DOF_E-8
163,NA,NA,San Mateo County,2007,1350,627,756,-33,DOF_E-8
164,NA,NA,San Mateo County,2008,876,607,311,-42,DOF_E-8
165,NA,NA,San Mateo County,2009,734,568,205,-39,DOF_E-8
166,NA,NA,San Mateo County,2010,477,196,302,-21,DOF_E-5
167,NA,NA,San Mateo County,2011,720,167,555,-2,DOF_E-5
168,NA,NA,San Mateo County,2012,319,102,217,0,DOF_E-5
169,NA,NA,San Mateo County,2013,1055,137,917,1,DOF_E-5
170,NA,NA,San Mateo County,2014,1080,225,855,0,DOF_E-5
171,NA,NA,San Mateo County,2015,1424,367,1058,-1,DOF_E-5
172,NA,NA,San Mateo County,2016,1153,217,934,2,DOF_E-5
173,NA,NA,San Mateo County,2017,855,222,631,2,DOF_E-5
174,NA,NA,San Mateo County,2018,1204,348,853,3,DOF_E-5
175,NA,NA,Santa Clara County,1990,2476,1418,1132,-74,DOF_E-8
176,NA,NA,Santa Clara County,1991,3262,1382,2050,-170,DOF_E-8
177,NA,NA,Santa Clara County,1992,2614,1808,896,-90,DOF_E-8
178,NA,NA,Santa Clara County,1993,2757,1990,1032,-265,DOF_E-8
179,NA,NA,Santa Clara County,1994,2494,2258,391,-155,DOF_E-8
180,NA,NA,Santa Clara County,1995,2253,1937,411,-95,DOF_E-8
181,NA,NA,Santa Clara County,1996,2723,2605,212,-94,DOF_E-8
182,NA,NA,Santa Clara County,1997,6343,4025,2410,-92,DOF_E-8
183,NA,NA,Santa Clara County,1998,6849,4118,2826,-95,DOF_E-8
184,NA,NA,Santa Clara County,1999,6392,3641,2845,-94,DOF_E-8
185,NA,NA,Santa Clara County,2000,5916,3515,2494,-93,DOF_E-8
186,NA,NA,Santa Clara County,2001,6183,3158,3088,-63,DOF_E-8
187,NA,NA,Santa Clara County,2002,5980,2889,3154,-63,DOF_E-8
188,NA,NA,Santa Clara County,2003,5033,3152,1960,-79,DOF_E-8
189,NA,NA,Santa Clara County,2004,6535,2959,3627,-51,DOF_E-8
190,NA,NA,Santa Clara County,2005,5302,3370,1997,-65,DOF_E-8
191,NA,NA,Santa Clara County,2006,5256,3114,2203,-61,DOF_E-8
192,NA,NA,Santa Clara County,2007,5810,3271,2597,-58,DOF_E-8
193,NA,NA,Santa Clara County,2008,4061,2218,1906,-63,DOF_E-8
194,NA,NA,Santa Clara County,2009,3056,1959,1150,-53,DOF_E-8
195,NA,NA,Santa Clara County,2010,1608,1045,572,-9,DOF_E-5
196,NA,NA,Santa Clara County,2011,3605,617,2983,5,DOF_E-5
197,NA,NA,Santa Clara County,2012,2698,1017,1677,4,DOF_E-5
198,NA,NA,Santa Clara County,2013,5245,1174,4070,1,DOF_E-5
199,NA,NA,Santa Clara County,2014,7316,1299,6020,-3,DOF_E-5
200,NA,NA,Santa Clara County,2015,5353,1171,4188,-6,DOF_E-5
201,NA,NA,Santa Clara County,2016,4515,1061,3525,-71,DOF_E-5
202,NA,NA,Santa Clara County,2017,6095,1016,5133,-54,DOF_E-5
203,NA,NA,Santa Clara County,2018,3469,1970,1495,4,DOF_E-5
204,NA,NA,Solano County,1990,2623,2508,119,-4,DOF_E-8
205,NA,NA,Solano County,1991,1709,1307,398,4,DOF_E-8
206,NA,NA,Solano County,1992,1279,1600,-327,6,DOF_E-8
207,NA,NA,Solano County,1993,1367,1475,-116,8,DOF_E-8
208,NA,NA,Solano County,1994,1199,1413,-219,5,DOF_E-8
209,NA,NA,Solano County,1995,1062,1175,-117,4,DOF_E-8
210,NA,NA,Solano County,1996,1030,1190,-163,3,DOF_E-8
211,NA,NA,Solano County,1997,1585,1505,65,15,DOF_E-8
212,NA,NA,Solano County,1998,1214,1541,-291,-36,DOF_E-8
213,NA,NA,Solano County,1999,1715,1697,31,-13,DOF_E-8
214,NA,NA,Solano County,2000,2063,1192,899,-28,DOF_E-8
215,NA,NA,Solano County,2001,2498,2256,251,-9,DOF_E-8
216,NA,NA,Solano County,2002,2477,1676,814,-13,DOF_E-8
217,NA,NA,Solano County,2003,1966,1414,539,13,DOF_E-8
218,NA,NA,Solano County,2004,2990,2025,977,-12,DOF_E-8
219,NA,NA,Solano County,2005,2871,2449,421,1,DOF_E-8
220,NA,NA,Solano County,2006,1789,1511,271,7,DOF_E-8
221,NA,NA,Solano County,2007,916,796,110,10,DOF_E-8
222,NA,NA,Solano County,2008,633,348,279,6,DOF_E-8
223,NA,NA,Solano County,2009,463,335,142,-14,DOF_E-8
224,NA,NA,Solano County,2010,607,585,21,1,DOF_E-5
225,NA,NA,Solano County,2011,420,372,48,0,DOF_E-5
226,NA,NA,Solano County,2012,499,499,0,0,DOF_E-5
227,NA,NA,Solano County,2013,671,504,167,0,DOF_E-5
228,NA,NA,Solano County,2014,658,559,95,4,DOF_E-5
229,NA,NA,Solano County,2015,935,713,222,0,DOF_E-5
230,NA,NA,Solano County,2016,1180,869,311,0,DOF_E-5
231,NA,NA,Solano County,2017,1231,926,296,9,DOF_E-5
232,NA,NA,Solano County,2018,800,773,12,15,DOF_E-5
233,NA,NA,Sonoma County,1990,2531,2251,308,-28,DOF_E-8
234,NA,NA,Sonoma County,1991,2827,1980,884,-37,DOF_E-8
235,NA,NA,Sonoma County,1992,2524,2261,279,-16,DOF_E-8
236,NA,NA,Sonoma County,1993,1717,1789,-33,-39,DOF_E-8
237,NA,NA,Sonoma County,1994,2196,2196,43,-43,DOF_E-8
238,NA,NA,Sonoma County,1995,1583,1458,176,-51,DOF_E-8
239,NA,NA,Sonoma County,1996,1506,1699,-123,-70,DOF_E-8
240,NA,NA,Sonoma County,1997,1461,1639,-129,-49,DOF_E-8
241,NA,NA,Sonoma County,1998,1893,1973,-42,-38,DOF_E-8
242,NA,NA,Sonoma County,1999,3089,2313,812,-36,DOF_E-8
243,NA,NA,Sonoma County,2000,2883,2597,304,-18,DOF_E-8
244,NA,NA,Sonoma County,2001,2425,1926,511,-12,DOF_E-8
245,NA,NA,Sonoma County,2002,2451,1782,691,-22,DOF_E-8
246,NA,NA,Sonoma County,2003,1965,1425,533,7,DOF_E-8
247,NA,NA,Sonoma County,2004,1776,1566,217,-7,DOF_E-8
248,NA,NA,Sonoma County,2005,2328,1576,753,-1,DOF_E-8
249,NA,NA,Sonoma County,2006,2062,1552,506,4,DOF_E-8
250,NA,NA,Sonoma County,2007,2807,1595,1195,17,DOF_E-8
251,NA,NA,Sonoma County,2008,1577,1037,539,1,DOF_E-8
252,NA,NA,Sonoma County,2009,1749,780,968,1,DOF_E-8
253,NA,NA,Sonoma County,2010,426,334,75,17,DOF_E-5
254,NA,NA,Sonoma County,2011,525,300,216,9,DOF_E-5
255,NA,NA,Sonoma County,2012,502,294,193,15,DOF_E-5
256,NA,NA,Sonoma County,2013,672,377,284,11,DOF_E-5
257,NA,NA,Sonoma County,2014,365,285,64,16,DOF_E-5
258,NA,NA,Sonoma County,2015,504,293,198,13,DOF_E-5
259,NA,NA,Sonoma County,2016,647,246,398,3,DOF_E-5
260,NA,NA,Sonoma County,2017,-4474,-4667,192,1,DOF_E-5
261,NA,NA,Sonoma County,2018,1397,737,652,8,DOF_E-5
