x,qx,lx,dx,Lx,Tx,ex,sex,year
63,0.03112,49825,1551,49050,724976,14.55,M,1900
64,0.03302,48275,1594,47478,675926,14,M,1900
65,0.03554,46681,1659,45851,628448,13.46,M,1900
66,0.03827,45022,1723,44160,582597,12.94,M,1900
67,0.03986,43299,1726,42436,538437,12.44,M,1900
68,0.04376,41573,1819,40663,496001,11.93,M,1900
69,0.04579,39753,1820,38843,455338,11.45,M,1900
70,0.04887,37933,1854,37006,416495,10.98,M,1900
71,0.05267,36079,1900,35129,379488,10.52,M,1900
72,0.0573,34179,1958,33200,344359,10.08,M,1900
73,0.06049,32221,1949,31246,311159,9.66,M,1900
74,0.06249,30272,1892,29326,279913,9.25,M,1900
75,0.06575,28380,1866,27447,250587,8.83,M,1900
76,0.07065,26514,1873,25578,223139,8.42,M,1900
77,0.07488,24641,1845,23719,197562,8.02,M,1900
78,0.07999,22796,1823,21884,173843,7.63,M,1900
79,0.08371,20973,1756,20095,151959,7.25,M,1900
80,0.09204,19217,1769,18333,131864,6.86,M,1900
81,0.09753,17448,1702,16597,113531,6.51,M,1900
82,0.1024,15747,1612,14940,96934,6.16,M,1900
83,0.11353,14134,1605,13332,81993,5.8,M,1900
84,0.12095,12530,1515,11772,68661,5.48,M,1900
85,0.13187,11014,1452,10288,56890,5.17,M,1900
86,0.14038,9562,1342,8891,46602,4.87,M,1900
87,0.15028,8219,1235,7602,37711,4.59,M,1900
88,0.16689,6984,1166,6401,30109,4.31,M,1900
89,0.17336,5819,1009,5314,23708,4.07,M,1900
90,0.18509,4810,890,4365,18394,3.82,M,1900
91,0.19691,3920,772,3534,14029,3.58,M,1900
92,0.21241,3148,669,2813,10495,3.33,M,1900
93,0.23458,2479,582,2188,7682,3.1,M,1900
94,0.25351,1898,481,1657,5493,2.89,M,1900
95,0.27339,1417,387,1223,3836,2.71,M,1900
96,0.29246,1029,301,879,2613,2.54,M,1900
97,0.31316,728,228,614,1735,2.38,M,1900
98,0.33011,500,165,418,1120,2.24,M,1900
99,0.35368,335,119,276,703,2.1,M,1900
100,0.37561,217,81,176,427,1.97,M,1900
101,0.39247,135,53,109,251,1.86,M,1900
102,0.41986,82,34,65,142,1.73,M,1900
103,0.44411,48,21,37,77,1.62,M,1900
104,0.46967,26,12,20,40,1.52,M,1900
105,0.49678,14,7,11,20,1.42,M,1900
106,0.52404,7,4,5,9,1.33,M,1900
107,0.55161,3,2,2,4,1.25,M,1900
108,0.57962,2,1,1,2,1.17,M,1900
109,0.60819,1,0,0,1,1.1,M,1900
110,0.63746,0,0,0,0,1.03,M,1900
111,0.66752,0,0,0,0,0.97,M,1900
112,0.69852,0,0,0,0,0.91,M,1900
113,0.73053,0,0,0,0,0.85,M,1900
114,0.76365,0,0,0,0,0.79,M,1900
115,0.79799,0,0,0,0,0.74,M,1900
116,0.83363,0,0,0,0,0.69,M,1900
117,0.87066,0,0,0,0,0.64,M,1900
118,0.90919,0,0,0,0,0.6,M,1900
119,0.94927,0,0,0,0,0.55,M,1900
0,0.11969,100000,11969,92047,5828405,58.28,F,1900
1,0.03061,88031,2694,86683,5736358,65.16,F,1900
2,0.01489,85336,1270,84701,5649675,66.2,F,1900
3,0.01011,84066,850,83641,5564974,66.2,F,1900
4,0.00823,83216,684,82874,5481333,65.87,F,1900
5,0.00585,82532,483,82290,5398459,65.41,F,1900
6,0.00428,82049,351,81873,5316168,64.79,F,1900
7,0.00306,81697,250,81572,5234295,64.07,F,1900
8,0.00232,81447,189,81353,5152723,63.26,F,1900
9,0.0018600000000000001,81258,151,81183,5071371,62.41,F,1900
10,0.00203,81107,164,81025,4990188,61.53,F,1900
11,0.00198,80943,160,80863,4909163,60.65,F,1900
12,0.00195,80783,157,80704,4828300,59.77,F,1900
13,0.00227,80626,183,80534,4747595,58.88,F,1900
14,0.00233,80442,187,80349,4667061,58.02,F,1900
15,0.00256,80255,205,80152,4586712,57.15,F,1900
16,0.00304,80050,243,79928,4506560,56.3,F,1900
17,0.00364,79806,290,79661,4426632,55.47,F,1900
18,0.00785,79516,624,79204,4346971,54.67,F,1900
19,0.00518,78892,408,78688,4267767,54.1,F,1900
20,0.00535,78484,420,78274,4189079,53.38,F,1900
21,0.00458,78064,357,77885,4110805,52.66,F,1900
22,0.00468,77707,363,77525,4032920,51.9,F,1900
23,0.00479,77343,370,77158,3955395,51.14,F,1900
24,0.00471,76973,363,76792,3878237,50.38,F,1900
25,0.00477,76610,365,76428,3801445,49.62,F,1900
26,0.00487,76245,371,76060,3725017,48.86,F,1900
27,0.00458,75874,347,75701,3648957,48.09,F,1900
28,0.00472,75527,356,75349,3573257,47.31,F,1900
29,0.00476,75171,358,74992,3497908,46.53,F,1900
30,0.00445,74813,333,74647,3422916,45.75,F,1900
31,0.00447,74481,333,74314,3348269,44.95,F,1900
32,0.00432,74147,321,73987,3273955,44.15,F,1900
33,0.00426,73827,315,73670,3199967,43.34,F,1900
34,0.00437,73512,321,73352,3126298,42.53,F,1900
35,0.00458,73192,335,73024,3052946,41.71,F,1900
36,0.00494,72856,360,72677,2979922,40.9,F,1900
37,0.00482,72497,350,72322,2907245,40.1,F,1900
38,0.00451,72147,325,71985,2834923,39.29,F,1900
39,0.00448,71822,322,71661,2762939,38.47,F,1900
40,0.0046,71500,329,71336,2691278,37.64,F,1900
41,0.00469,71171,334,71004,2619942,36.81,F,1900
42,0.00476,70838,337,70669,2548937,35.98,F,1900
43,0.00503,70500,355,70323,2478269,35.15,F,1900
44,0.00505,70146,354,69968,2407946,34.33,F,1900
45,0.00526,69791,367,69608,2337978,33.5,F,1900
46,0.00539,69424,374,69237,2268370,32.67,F,1900
47,0.00575,69050,397,68852,2199133,31.85,F,1900
48,0.00592,68653,406,68450,2130281,31.03,F,1900
49,0.00628,68247,429,68033,2061831,30.21,F,1900
50,0.00656,67818,445,67596,1993798,29.4,F,1900
51,0.00727,67373,490,67128,1926202,28.59,F,1900
52,0.00765,66883,511,66627,1859074,27.8,F,1900
53,0.00805,66372,534,66105,1792447,27.01,F,1900
54,0.00807,65837,531,65572,1726342,26.22,F,1900
55,0.00837,65306,547,65033,1660770,25.43,F,1900
56,0.00914,64760,592,64464,1595737,24.64,F,1900
57,0.0099,64168,635,63850,1531273,23.86,F,1900
58,0.01038,63533,660,63203,1467423,23.1,F,1900
59,0.01108,62873,696,62525,1404220,22.33,F,1900
60,0.01237,62177,769,61792,1341695,21.58,F,1900
61,0.01331,61408,817,60999,1279903,20.84,F,1900
62,0.01474,60590,893,60144,1218904,20.12,F,1900
63,0.01606,59697,959,59217,1158761,19.41,F,1900
64,0.01674,58738,983,58247,1099543,18.72,F,1900
65,0.01794,57755,1036,57237,1041297,18.03,F,1900
66,0.01949,56719,1105,56167,984060,17.35,F,1900
67,0.02081,55614,1157,55035,927893,16.68,F,1900
68,0.02165,54457,1179,53867,872858,16.03,F,1900
69,0.02296,53278,1223,52666,818991,15.37,F,1900
70,0.02513,52054,1308,51400,766325,14.72,F,1900
71,0.02737,50747,1389,50052,714924,14.09,F,1900
72,0.03027,49358,1494,48611,664872,13.47,F,1900
73,0.03229,47864,1546,47091,616261,12.88,F,1900
74,0.03419,46318,1583,45526,569170,12.29,F,1900
75,0.03628,44735,1623,43923,523644,11.71,F,1900
76,0.03935,43112,1697,42263,479721,11.13,F,1900
77,0.04218,41415,1747,40542,437457,10.56,F,1900
78,0.04627,39668,1836,38750,396916,10.01,F,1900
79,0.04954,37833,1874,36895,358165,9.47,F,1900
80,0.0562,35958,2021,34948,321270,8.93,F,1900
81,0.06011,33938,2040,32918,286322,8.44,F,1900
82,0.06453,31898,2058,30869,253404,7.94,F,1900
83,0.07291,29839,2175,28752,222536,7.46,F,1900
84,0.07979,27664,2207,26560,193784,7,F,1900
85,0.08888,25457,2263,24325,167224,6.57,F,1900
86,0.0966,23194,2241,22074,142899,6.16,F,1900
87,0.10639,20953,2229,19839,120825,5.77,F,1900
88,0.11968,18724,2241,17604,100986,5.39,F,1900
89,0.1269,16483,2092,15437,83383,5.06,F,1900
90,0.13718,14392,1974,13404,67945,4.72,F,1900
91,0.14864,12417,1846,11495,54541,4.39,F,1900
92,0.16007,10572,1692,9726,43046,4.07,F,1900
93,0.18423,8879,1636,8062,33321,3.75,F,1900
94,0.20021,7244,1450,6519,25259,3.49,F,1900
95,0.22006,5793,1275,5156,18741,3.23,F,1900
96,0.23851,4518,1078,3980,13585,3.01,F,1900
97,0.25991,3441,894,2994,9605,2.79,F,1900
98,0.27881,2546,710,2191,6611,2.6,F,1900
99,0.30675,1837,563,1555,4420,2.41,F,1900
100,0.32915,1273,419,1064,2865,2.25,F,1900
101,0.34475,854,294,707,1802,2.11,F,1900
102,0.3726,560,209,455,1095,1.96,F,1900
103,0.39781,351,140,281,639,1.82,F,1900
104,0.42451,211,90,167,358,1.69,F,1900
105,0.45317,122,55,94,191,1.57,F,1900
106,0.48253,67,32,50,97,1.46,F,1900
107,0.5127,34,18,26,47,1.36,F,1900
108,0.54382,17,9,12,21,1.26,F,1900
109,0.57602,8,4,5,9,1.17,F,1900
110,0.60944,3,2,2,4,1.09,F,1900
111,0.64414,1,1,1,1,1.01,F,1900
112,0.68038,0,0,0,0,0.94,F,1900
113,0.71823,0,0,0,0,0.87,F,1900
114,0.75783,0,0,0,0,0.8,F,1900
115,0.79799,0,0,0,0,0.74,F,1900
116,0.83363,0,0,0,0,0.69,F,1900
117,0.87066,0,0,0,0,0.64,F,1900
118,0.90919,0,0,0,0,0.6,F,1900
119,0.94927,0,0,0,0,0.55,F,1900
0,0.12006,100000,12006,91343,5619187,56.19,M,1910
1,0.02284,87994,2010,86989,5527844,62.82,M,1910
2,0.01104,85984,949,85510,5440855,63.28,M,1910
3,0.00833,85035,709,84681,5355346,62.98,M,1910
4,0.0058,84327,489,84082,5270665,62.5,M,1910
5,0.0041,83838,343,83666,5186582,61.86,M,1910
6,0.00353,83495,295,83347,5102916,61.12,M,1910
7,0.00283,83200,235,83082,5019569,60.33,M,1910
8,0.00355,82965,294,82818,4936487,59.5,M,1910
9,0.00235,82670,194,82573,4853669,58.71,M,1910
10,0.00216,82476,178,82387,4771096,57.85,M,1910
11,0.00214,82298,176,82210,4688708,56.97,M,1910
12,0.00194,82122,159,82043,4606498,56.09,M,1910
13,0.00218,81963,179,81874,4524456,55.2,M,1910
14,0.00233,81784,190,81689,4442582,54.32,M,1910
15,0.00261,81594,213,81488,4360892,53.45,M,1910
16,0.00284,81381,231,81266,4279405,52.58,M,1910
17,0.003,81150,243,81028,4198139,51.73,M,1910
18,0.00352,80907,285,80764,4117111,50.89,M,1910
19,0.0037,80622,298,80472,4036347,50.07,M,1910
20,0.00374,80323,300,80173,3955874,49.25,M,1910
21,0.00381,80023,304,79871,3875701,48.43,M,1910
22,0.00356,79719,284,79577,3795830,47.62,M,1910
23,0.00359,79434,285,79292,3716254,46.78,M,1910
24,0.00374,79149,296,79002,3636962,45.95,M,1910
25,0.00379,78854,299,78704,3557960,45.12,M,1910
26,0.00396,78555,311,78399,3479256,44.29,M,1910
27,0.00385,78244,301,78093,3400857,43.47,M,1910
28,0.00341,77943,265,77810,3322764,42.63,M,1910
29,0.00331,77677,257,77549,3244954,41.77,M,1910
30,0.0034,77420,263,77289,3167405,40.91,M,1910
31,0.00345,77157,266,77024,3090117,40.05,M,1910
32,0.00353,76891,272,76755,3013093,39.19,M,1910
33,0.00358,76619,275,76482,2936338,38.32,M,1910
34,0.00375,76345,286,76202,2859855,37.46,M,1910
35,0.00411,76059,313,75903,2783653,36.6,M,1910
36,0.0037200000000000002,75746,282,75606,2707751,35.75,M,1910
37,0.00381,75465,287,75321,2632145,34.88,M,1910
38,0.00399,75177,300,75027,2556824,34.01,M,1910
39,0.00415,74877,310,74722,2481797,33.14,M,1910
40,0.00436,74567,325,74405,2407075,32.28,M,1910
41,0.00486,74242,361,74062,2332670,31.42,M,1910
42,0.00519,73881,383,73689,2258609,30.57,M,1910
43,0.00559,73498,411,73292,2184919,29.73,M,1910
44,0.00567,73087,415,72880,2111627,28.89,M,1910
45,0.00617,72673,448,72448,2038747,28.05,M,1910
46,0.00681,72224,492,71978,1966299,27.22,M,1910
47,0.0075,71733,538,71464,1894320,26.41,M,1910
48,0.00817,71195,582,70904,1822857,25.6,M,1910
49,0.00913,70613,645,70291,1751953,24.81,M,1910
50,0.01033,69968,723,69607,1681662,24.03,M,1910
51,0.01104,69246,764,68864,1612055,23.28,M,1910
52,0.01228,68482,841,68061,1543191,22.53,M,1910
53,0.01335,67641,903,67189,1475130,21.81,M,1910
54,0.01412,66738,942,66267,1407940,21.1,M,1910
55,0.0152,65796,1000,65296,1341674,20.39,M,1910
56,0.01676,64796,1086,64253,1276378,19.7,M,1910
57,0.01804,63710,1149,63135,1212125,19.03,M,1910
58,0.02036,62560,1274,61924,1148990,18.37,M,1910
59,0.02185,61287,1339,60617,1087067,17.74,M,1910
60,0.02348,59948,1407,59244,1026450,17.12,M,1910
61,0.02473,58541,1448,57817,967205,16.52,M,1910
62,0.02704,57093,1544,56321,909389,15.93,M,1910
63,0.02852,55550,1584,54757,853067,15.36,M,1910
64,0.0297,53965,1603,53164,798310,14.79,M,1910
65,0.03122,52363,1635,51545,745146,14.23,M,1910
66,0.03341,50728,1695,49881,693600,13.67,M,1910
67,0.03514,49033,1723,48172,643720,13.13,M,1910
68,0.03771,47310,1784,46418,595548,12.59,M,1910
69,0.03964,45526,1805,44624,549130,12.06,M,1910
70,0.04312,43721,1885,42779,504506,11.54,M,1910
71,0.04553,41836,1905,40884,461727,11.04,M,1910
72,0.04792,39932,1914,38975,420843,10.54,M,1910
73,0.05286,38018,2010,37013,381868,10.04,M,1910
74,0.05641,36009,2031,34993,344855,9.58,M,1910
75,0.06095,33978,2071,32942,309862,9.12,M,1910
76,0.06523,31907,2081,30866,276920,8.68,M,1910
77,0.06982,29825,2082,28784,246054,8.25,M,1910
78,0.0754,27743,2092,26697,217270,7.83,M,1910
79,0.07903,25651,2027,24638,190572,7.43,M,1910
80,0.08448,23624,1996,22626,165935,7.02,M,1910
81,0.09042,21628,1956,20651,143308,6.63,M,1910
82,0.09652,19673,1899,18723,122658,6.23,M,1910
83,0.10764,17774,1913,16817,103934,5.85,M,1910
84,0.11561,15861,1834,14944,87117,5.49,M,1910
85,0.12587,14027,1766,13144,72173,5.15,M,1910
86,0.13612,12262,1669,11427,59028,4.81,M,1910
87,0.14854,10593,1573,9806,47601,4.49,M,1910
88,0.16026,9019,1445,8296,37796,4.19,M,1910
89,0.1782,7574,1350,6899,29499,3.89,M,1910
90,0.19257,6224,1199,5625,22600,3.63,M,1910
91,0.20698,5025,1040,4505,16976,3.38,M,1910
92,0.22877,3985,912,3529,12470,3.13,M,1910
93,0.24908,3074,766,2691,8941,2.91,M,1910
94,0.27105,2308,626,1995,6250,2.71,M,1910
95,0.29359,1682,494,1435,4255,2.53,M,1910
96,0.31553,1188,375,1001,2819,2.37,M,1910
97,0.33642,813,274,677,1818,2.23,M,1910
98,0.35583,540,192,444,1141,2.11,M,1910
99,0.37338,348,130,283,698,2.01,M,1910
100,0.39134,218,85,175,415,1.9,M,1910
101,0.4098,133,54,105,240,1.81,M,1910
102,0.42883,78,34,61,134,1.71,M,1910
103,0.44849,45,20,35,73,1.63,M,1910
104,0.46882,25,12,19,38,1.54,M,1910
105,0.4899,13,6,10,19,1.46,M,1910
106,0.51178,7,3,5,9,1.38,M,1910
107,0.53451,3,2,2,4,1.31,M,1910
108,0.55816,2,1,1,2,1.24,M,1910
109,0.58277,1,0,0,1,1.17,M,1910
110,0.6084,0,0,0,0,1.1,M,1910
111,0.63511,0,0,0,0,1.04,M,1910
112,0.66295,0,0,0,0,0.98,M,1910
113,0.69197,0,0,0,0,0.92,M,1910
114,0.72225,0,0,0,0,0.86,M,1910
115,0.75383,0,0,0,0,0.81,M,1910
116,0.78679,0,0,0,0,0.76,M,1910
117,0.82118,0,0,0,0,0.71,M,1910
118,0.85707,0,0,0,0,0.66,M,1910
119,0.89447,0,0,0,0,0.61,M,1910
0,0.09826,100000,9826,93083,6370909,63.71,F,1910
1,0.02159,90174,1947,89201,6277826,69.62,F,1910
2,0.00987,88227,870,87792,6188626,70.14,F,1910
3,0.00782,87357,683,87015,6100834,69.84,F,1910
4,0.00536,86673,465,86441,6013819,69.38,F,1910
5,0.0037200000000000002,86208,320,86048,5927378,68.76,F,1910
6,0.00311,85888,267,85754,5841329,68.01,F,1910
7,0.00243,85621,208,85517,5755575,67.22,F,1910
8,0.00332,85413,283,85272,5670058,66.38,F,1910
9,0.00205,85130,175,85043,5584786,65.6,F,1910
10,0.00184,84955,157,84877,5499744,64.74,F,1910
11,0.00178,84799,151,84723,5414867,63.86,F,1910
12,0.00164,84648,139,84578,5330144,62.97,F,1910
13,0.0018600000000000001,84509,157,84430,5245565,62.07,F,1910
14,0.00203,84352,171,84266,5161135,61.19,F,1910
15,0.00238,84181,201,84080,5076869,60.31,F,1910
16,0.00267,83980,224,83868,4992788,59.45,F,1910
17,0.00283,83756,237,83637,4908920,58.61,F,1910
18,0.0033,83519,275,83381,4825283,57.78,F,1910
19,0.00346,83243,288,83099,4741902,56.96,F,1910
20,0.00341,82955,283,82814,4658803,56.16,F,1910
21,0.00351,82672,290,82527,4575990,55.35,F,1910
22,0.00335,82382,276,82244,4493462,54.54,F,1910
23,0.00326,82106,267,81973,4411218,53.73,F,1910
24,0.00331,81839,271,81704,4329245,52.9,F,1910
25,0.00336,81568,274,81431,4247542,52.07,F,1910
26,0.00357,81294,290,81149,4166111,51.25,F,1910
27,0.00333,81004,269,80869,4084961,50.43,F,1910
28,0.00298,80735,240,80615,4004092,49.6,F,1910
29,0.00285,80494,229,80380,3923477,48.74,F,1910
30,0.00277,80265,222,80154,3843097,47.88,F,1910
31,0.00273,80043,219,79934,3762943,47.01,F,1910
32,0.00264,79824,211,79719,3683010,46.14,F,1910
33,0.0028,79613,223,79502,3603291,45.26,F,1910
34,0.00282,79390,224,79278,3523789,44.39,F,1910
35,0.00288,79166,228,79052,3444511,43.51,F,1910
36,0.0028,78939,221,78828,3365459,42.63,F,1910
37,0.00279,78718,220,78608,3286630,41.75,F,1910
38,0.00284,78498,223,78386,3208023,40.87,F,1910
39,0.00283,78275,222,78164,3129636,39.98,F,1910
40,0.00297,78053,232,77937,3051472,39.09,F,1910
41,0.00318,77821,248,77697,2973535,38.21,F,1910
42,0.00332,77573,257,77444,2895838,37.33,F,1910
43,0.00346,77316,268,77182,2818394,36.45,F,1910
44,0.00351,77048,270,76913,2741212,35.58,F,1910
45,0.00365,76778,280,76638,2664299,34.7,F,1910
46,0.00399,76497,305,76345,2587661,33.83,F,1910
47,0.00436,76192,332,76026,2511316,32.96,F,1910
48,0.00466,75860,354,75683,2435290,32.1,F,1910
49,0.00494,75506,373,75320,2359607,31.25,F,1910
50,0.00543,75134,408,74929,2284287,30.4,F,1910
51,0.00588,74725,439,74506,2209357,29.57,F,1910
52,0.00638,74286,474,74049,2134852,28.74,F,1910
53,0.00685,73812,505,73560,2060803,27.92,F,1910
54,0.00722,73307,529,73042,1987243,27.11,F,1910
55,0.00751,72778,547,72505,1914201,26.3,F,1910
56,0.00808,72231,583,71940,1841696,25.5,F,1910
57,0.00876,71648,628,71334,1769756,24.7,F,1910
58,0.00982,71020,697,70672,1698422,23.91,F,1910
59,0.01041,70323,732,69957,1627751,23.15,F,1910
60,0.01123,69591,782,69200,1557794,22.39,F,1910
61,0.01197,68809,824,68397,1488594,21.63,F,1910
62,0.01272,67985,865,67553,1420197,20.89,F,1910
63,0.0135,67120,906,66667,1352644,20.15,F,1910
64,0.01414,66214,936,65746,1285977,19.42,F,1910
65,0.01465,65278,956,64800,1220231,18.69,F,1910
66,0.01575,64322,1013,63815,1155431,17.96,F,1910
67,0.01694,63309,1073,62773,1091615,17.24,F,1910
68,0.01831,62236,1140,61666,1028843,16.53,F,1910
69,0.01951,61097,1192,60501,967176,15.83,F,1910
70,0.02194,59905,1314,59248,906676,15.14,F,1910
71,0.02346,58591,1374,57903,847428,14.46,F,1910
72,0.02529,57216,1447,56493,789525,13.8,F,1910
73,0.02808,55769,1566,54986,733032,13.14,F,1910
74,0.03057,54203,1657,53375,678046,12.51,F,1910
75,0.03347,52546,1759,51667,624671,11.89,F,1910
76,0.03654,50788,1856,49860,573005,11.28,F,1910
77,0.03991,48932,1953,47955,523145,10.69,F,1910
78,0.04363,46979,2050,45954,475189,10.11,F,1910
79,0.04707,44929,2115,43872,429235,9.55,F,1910
80,0.05072,42815,2172,41729,385363,9,F,1910
81,0.05507,40643,2238,39524,343635,8.45,F,1910
82,0.0604,38405,2320,37245,304111,7.92,F,1910
83,0.06893,36085,2487,34841,266866,7.4,F,1910
84,0.07585,33598,2548,32324,232025,6.91,F,1910
85,0.08466,31049,2629,29735,199701,6.43,F,1910
86,0.09392,28421,2669,27086,169966,5.98,F,1910
87,0.10383,25752,2674,24415,142880,5.55,F,1910
88,0.11634,23078,2685,21735,118465,5.13,F,1910
89,0.13286,20393,2709,19038,96730,4.74,F,1910
90,0.14762,17684,2610,16378,77691,4.39,F,1910
91,0.16227,15073,2446,13850,61313,4.07,F,1910
92,0.18119,12627,2288,11483,47463,3.76,F,1910
93,0.20041,10339,2072,9303,35979,3.48,F,1910
94,0.22104,8267,1827,7354,26676,3.23,F,1910
95,0.24247,6440,1561,5659,19323,3,F,1910
96,0.26366,4878,1286,4235,13663,2.8,F,1910
97,0.2842,3592,1021,3082,9428,2.62,F,1910
98,0.30367,2571,781,2181,6346,2.47,F,1910
99,0.32165,1790,576,1503,4166,2.33,F,1910
100,0.34031,1215,413,1008,2663,2.19,F,1910
101,0.35969,801,288,657,1655,2.07,F,1910
102,0.37992,513,195,416,998,1.95,F,1910
103,0.40106,318,128,254,582,1.83,F,1910
104,0.42317,191,81,150,328,1.72,F,1910
105,0.44633,110,49,85,178,1.62,F,1910
106,0.47062,61,29,47,92,1.52,F,1910
107,0.49612,32,16,24,46,1.42,F,1910
108,0.5229,16,8,12,22,1.33,F,1910
109,0.55105,8,4,6,10,1.25,F,1910
110,0.58064,3,2,2,4,1.17,F,1910
111,0.61177,1,1,1,2,1.09,F,1910
112,0.64453,1,0,0,1,1.01,F,1910
113,0.67903,0,0,0,0,0.94,F,1910
114,0.71533,0,0,0,0,0.87,F,1910
115,0.75357,0,0,0,0,0.81,F,1910
116,0.78679,0,0,0,0,0.76,F,1910
117,0.82118,0,0,0,0,0.71,F,1910
118,0.85707,0,0,0,0,0.66,F,1910
119,0.89447,0,0,0,0,0.61,F,1910
0,0.08594,100000,8594,93479,6176546,61.77,M,1920
1,0.01538,91407,1406,90704,6083067,66.55,M,1920
2,0.00752,90001,677,89663,5992363,66.58,M,1920
3,0.00564,89324,504,89072,5902701,66.08,M,1920
4,0.00388,88821,345,88648,5813628,65.45,M,1920
5,0.00301,88476,267,88342,5724980,64.71,M,1920
6,0.00263,88209,232,88093,5636638,63.9,M,1920
7,0.00222,87977,195,87880,5548545,63.07,M,1920
8,0.00196,87782,172,87696,5460665,62.21,M,1920
9,0.00176,87610,154,87533,5372969,61.33,M,1920
10,0.00153,87457,134,87390,5285436,60.43,M,1920
11,0.00149,87323,130,87258,5198046,59.53,M,1920
12,0.00151,87192,132,87127,5110789,58.62,M,1920
13,0.00162,87061,141,86990,5023662,57.7,M,1920
14,0.00182,86920,158,86840,4936672,56.8,M,1920
15,0.00205,86761,178,86672,4849832,55.9,M,1920
16,0.00237,86583,205,86481,4763159,55.01,M,1920
17,0.00251,86378,217,86270,4676678,54.14,M,1920
18,0.00233,86161,201,86061,4590408,53.28,M,1920
19,0.00234,85960,201,85860,4504347,52.4,M,1920
20,0.00244,85759,209,85655,4418487,51.52,M,1920
21,0.00265,85550,227,85436,4332833,50.65,M,1920
22,0.00287,85323,245,85201,4247396,49.78,M,1920
23,0.00353,85078,300,84928,4162196,48.92,M,1920
24,0.00369,84778,313,84622,4077267,48.09,M,1920
25,0.00359,84466,304,84314,3992645,47.27,M,1920
26,0.00231,84162,195,84065,3908331,46.44,M,1920
27,0.00217,83967,182,83876,3824267,45.54,M,1920
28,0.0021,83785,176,83697,3740390,44.64,M,1920
