Year,Sex,Name,Count
2006,Female,Abigail,82
2007,Female,Abigail,103
2008,Female,Abigail,83
2009,Female,Abigail,89
2010,Female,Abigail,114
2011,Female,Abigail,97
2012,Female,Abigail,94
2013,Female,Abigail,79
2014,Female,Abigail,99
2015,Female,Abigail,98
2016,Female,Abigail,72
2017,Female,Abigail,74
1998,Female,Acacia,10
2003,Female,Acacia,10
2004,Female,Acacia,19
2005,Female,Acacia,16
2006,Female,Acacia,12
2007,Female,Acacia,19
2008,Female,Acacia,20
2009,Female,Acacia,13
2010,Female,Acacia,18
2011,Female,Acacia,12
2016,Female,Acacia,10
2017,Female,Acacia,10
1900,Female,Ada,67
1901,Female,Ada,59
1902,Female,Ada,64
1903,Female,Ada,79
1904,Female,Ada,73
1905,Female,Ada,73
1906,Female,Ada,63
1907,Female,Ada,68
1908,Female,Ada,67
1909,Female,Ada,47
1910,Female,Ada,57
1911,Female,Ada,52
1912,Female,Ada,57
1913,Female,Ada,44
1914,Female,Ada,46
1915,Female,Ada,51
1916,Female,Ada,53
1917,Female,Ada,43
1918,Female,Ada,42
1919,Female,Ada,34
1920,Female,Ada,39
1921,Female,Ada,31
1922,Female,Ada,27
1923,Female,Ada,33
1924,Female,Ada,20
1925,Female,Ada,23
1926,Female,Ada,23
1927,Female,Ada,22
1929,Female,Ada,10
1930,Female,Ada,19
1931,Female,Ada,15
1932,Female,Ada,12
1935,Female,Ada,12
1936,Female,Ada,12
1937,Female,Ada,16
1938,Female,Ada,12
1939,Female,Ada,12
1940,Female,Ada,10
1941,Female,Ada,11
2009,Female,Ada,10
2011,Female,Ada,19
2012,Female,Ada,13
2013,Female,Ada,19
2014,Female,Ada,23
2015,Female,Ada,29
2016,Female,Ada,25
2017,Female,Ada,30
2017,Female,Adaline,10
2015,Female,Adalyn,12
2006,Female,Addison,15
2007,Female,Addison,44
2008,Female,Addison,43
2009,Female,Addison,71
2010,Female,Addison,76
2011,Female,Addison,80
2012,Female,Addison,71
2013,Female,Addison,63
2014,Female,Addison,55
2015,Female,Addison,59
2016,Female,Addison,42
2017,Female,Addison,68
2014,Female,Addisyn,10
1900,Female,Adelaide,10
1901,Female,Adelaide,13
1902,Female,Adelaide,16
1904,Female,Adelaide,13
1905,Female,Adelaide,22
1908,Female,Adelaide,10
1909,Female,Adelaide,11
1910,Female,Adelaide,16
1911,Female,Adelaide,12
1912,Female,Adelaide,13
1913,Female,Adelaide,13
1918,Female,Adelaide,10
2009,Female,Adelaide,10
2011,Female,Adelaide,16
2012,Female,Adelaide,10
2013,Female,Adelaide,12
2014,Female,Adelaide,12
2015,Female,Adelaide,13
2017,Female,Adelaide,11
1938,Female,Adele,21
1939,Female,Adele,15
1940,Female,Adele,21
1941,Female,Adele,12
1944,Female,Adele,14
1946,Female,Adele,17
1947,Female,Adele,16
1948,Female,Adele,15
1949,Female,Adele,16
1950,Female,Adele,12
1951,Female,Adele,31
1952,Female,Adele,26
1953,Female,Adele,19
1954,Female,Adele,23
1955,Female,Adele,22
1956,Female,Adele,29
1957,Female,Adele,26
1958,Female,Adele,28
1959,Female,Adele,32
1960,Female,Adele,40
1961,Female,Adele,30
1962,Female,Adele,26
1963,Female,Adele,31
1964,Female,Adele,36
1965,Female,Adele,30
1966,Female,Adele,35
1967,Female,Adele,26
1968,Female,Adele,46
1969,Female,Adele,38
1970,Female,Adele,40
1971,Female,Adele,44
1972,Female,Adele,37
1973,Female,Adele,48
1974,Female,Adele,31
1975,Female,Adele,18
1976,Female,Adele,30
1977,Female,Adele,28
1978,Female,Adele,23
1979,Female,Adele,19
1980,Female,Adele,26
1981,Female,Adele,32
1982,Female,Adele,25
1983,Female,Adele,17
1984,Female,Adele,17
1985,Female,Adele,18
1986,Female,Adele,13
1987,Female,Adele,15
1988,Female,Adele,16
1989,Female,Adele,11
1990,Female,Adele,12
1991,Female,Adele,12
1993,Female,Adele,16
1994,Female,Adele,13
1998,Female,Adele,13
2012,Female,Adele,11
2013,Female,Adele,10
2014,Female,Adele,15
2015,Female,Adele,11
1905,Female,Adeline,11
1906,Female,Adeline,13
1907,Female,Adeline,12
1910,Female,Adeline,12
1911,Female,Adeline,10
1912,Female,Adeline,11
1914,Female,Adeline,11
1915,Female,Adeline,15
1918,Female,Adeline,11
1921,Female,Adeline,10
2015,Female,Adeline,16
2016,Female,Adeline,22
2017,Female,Adeline,23
1993,Female,Adriana,14
2003,Female,Adriana,12
2010,Female,Adriana,10
2012,Female,Adriana,10
1960,Female,Adrianne,10
1961,Female,Adrianne,10
1962,Female,Adrianne,11
1931,Female,Adrienne,13
1932,Female,Adrienne,15
1933,Female,Adrienne,15
1934,Female,Adrienne,17
1935,Female,Adrienne,22
1936,Female,Adrienne,23
1937,Female,Adrienne,20
1938,Female,Adrienne,27
1939,Female,Adrienne,33
1940,Female,Adrienne,42
1941,Female,Adrienne,38
1942,Female,Adrienne,44
1943,Female,Adrienne,48
1944,Female,Adrienne,48
1945,Female,Adrienne,50
1946,Female,Adrienne,54
1947,Female,Adrienne,69
1948,Female,Adrienne,63
1949,Female,Adrienne,58
1950,Female,Adrienne,86
1951,Female,Adrienne,64
1952,Female,Adrienne,82
1953,Female,Adrienne,61
1954,Female,Adrienne,64
1955,Female,Adrienne,81
1956,Female,Adrienne,71
1957,Female,Adrienne,69
1958,Female,Adrienne,78
1959,Female,Adrienne,95
1960,Female,Adrienne,77
1961,Female,Adrienne,90
1962,Female,Adrienne,68
1963,Female,Adrienne,66
1964,Female,Adrienne,65
1965,Female,Adrienne,46
1966,Female,Adrienne,50
1967,Female,Adrienne,53
1968,Female,Adrienne,42
1969,Female,Adrienne,34
1970,Female,Adrienne,63
1971,Female,Adrienne,34
1972,Female,Adrienne,40
1973,Female,Adrienne,29
1974,Female,Adrienne,34
1975,Female,Adrienne,25
1976,Female,Adrienne,24
1977,Female,Adrienne,24
1978,Female,Adrienne,11
1979,Female,Adrienne,18
1980,Female,Adrienne,15
1981,Female,Adrienne,11
1982,Female,Adrienne,12
1983,Female,Adrienne,13
1984,Female,Adrienne,13
1985,Female,Adrienne,12
1986,Female,Adrienne,11
1987,Female,Adrienne,12
1988,Female,Adrienne,11
1992,Female,Adrienne,10
1998,Female,Adrienne,10
2000,Female,Adrienne,11
1900,Female,Agnes,117
1901,Female,Agnes,105
1902,Female,Agnes,113
1903,Female,Agnes,131
1904,Female,Agnes,91
1905,Female,Agnes,122
1906,Female,Agnes,131
1907,Female,Agnes,108
1908,Female,Agnes,135
1909,Female,Agnes,118
1910,Female,Agnes,123
1911,Female,Agnes,116
1912,Female,Agnes,132
1913,Female,Agnes,127
1914,Female,Agnes,113
1915,Female,Agnes,103
1916,Female,Agnes,106
1917,Female,Agnes,111
1918,Female,Agnes,85
1919,Female,Agnes,90
1920,Female,Agnes,80
1921,Female,Agnes,62
1922,Female,Agnes,76
1923,Female,Agnes,72
1924,Female,Agnes,65
1925,Female,Agnes,64
1926,Female,Agnes,58
1927,Female,Agnes,58
1928,Female,Agnes,51
1929,Female,Agnes,41
1930,Female,Agnes,33
1931,Female,Agnes,47
1932,Female,Agnes,28
1933,Female,Agnes,37
1934,Female,Agnes,30
1935,Female,Agnes,34
1936,Female,Agnes,28
1937,Female,Agnes,27
1938,Female,Agnes,18
1939,Female,Agnes,13
1940,Female,Agnes,16
1941,Female,Agnes,20
1942,Female,Agnes,17
1943,Female,Agnes,14
1944,Female,Agnes,14
1945,Female,Agnes,21
1946,Female,Agnes,17
1947,Female,Agnes,12
1948,Female,Agnes,10
1949,Female,Agnes,12
1950,Female,Agnes,18
1951,Female,Agnes,11
1952,Female,Agnes,11
1953,Female,Agnes,10
1954,Female,Agnes,10
1956,Female,Agnes,10
1957,Female,Agnes,15
1958,Female,Agnes,18
1959,Female,Agnes,14
1960,Female,Agnes,11
1961,Female,Agnes,12
1963,Female,Agnes,12
1965,Female,Agnes,13
1967,Female,Agnes,12
1969,Female,Agnes,10
1971,Female,Agnes,11
1973,Female,Agnes,10
1974,Female,Agnes,12
1979,Female,Agnes,10
1984,Female,Agnes,10
1986,Female,Agnes,14
1989,Female,Agnes,11
1993,Female,Agnes,10
2002,Female,Agnes,12
2008,Female,Agnes,12
2011,Female,Agnes,10
2013,Female,Agnes,12
2014,Female,Agnes,10
1900,Female,Aileen,24
1901,Female,Aileen,19
1902,Female,Aileen,14
1903,Female,Aileen,29
1904,Female,Aileen,19
1905,Female,Aileen,17
1906,Female,Aileen,19
1907,Female,Aileen,28
1908,Female,Aileen,21
1909,Female,Aileen,17
1910,Female,Aileen,21
1911,Female,Aileen,25
1912,Female,Aileen,27
1913,Female,Aileen,33
1914,Female,Aileen,34
1915,Female,Aileen,25
1916,Female,Aileen,28
1917,Female,Aileen,21
1918,Female,Aileen,15
1919,Female,Aileen,31
1920,Female,Aileen,24
1921,Female,Aileen,25
1922,Female,Aileen,31
1923,Female,Aileen,50
1924,Female,Aileen,24
1925,Female,Aileen,38
1926,Female,Aileen,38
1927,Female,Aileen,41
1928,Female,Aileen,34
1929,Female,Aileen,39
1930,Female,Aileen,42
1931,Female,Aileen,28
1932,Female,Aileen,32
1933,Female,Aileen,25
1934,Female,Aileen,24
1935,Female,Aileen,28
1936,Female,Aileen,27
1937,Female,Aileen,26
1938,Female,Aileen,26
1939,Female,Aileen,28
1940,Female,Aileen,29
1941,Female,Aileen,25
1942,Female,Aileen,18
1943,Female,Aileen,20
1944,Female,Aileen,24
1945,Female,Aileen,18
1946,Female,Aileen,25
1947,Female,Aileen,25
1948,Female,Aileen,20
1949,Female,Aileen,16
1950,Female,Aileen,25
1951,Female,Aileen,15
1952,Female,Aileen,21
1953,Female,Aileen,20
1954,Female,Aileen,16
1955,Female,Aileen,15
1956,Female,Aileen,13
1958,Female,Aileen,14
1959,Female,Aileen,16
1960,Female,Aileen,11
1961,Female,Aileen,11
1962,Female,Aileen,13
1963,Female,Aileen,11
1965,Female,Aileen,11
1909,Female,Ailsa,13
1910,Female,Ailsa,19
1911,Female,Ailsa,12
1912,Female,Ailsa,14
1913,Female,Ailsa,18
1914,Female,Ailsa,24
1915,Female,Ailsa,18
1916,Female,Ailsa,23
1917,Female,Ailsa,24
1918,Female,Ailsa,28
1919,Female,Ailsa,23
1920,Female,Ailsa,31
1921,Female,Ailsa,23
1922,Female,Ailsa,34
1923,Female,Ailsa,20
1924,Female,Ailsa,32
1925,Female,Ailsa,30
1926,Female,Ailsa,44
1927,Female,Ailsa,40
1928,Female,Ailsa,39
1929,Female,Ailsa,33
1930,Female,Ailsa,35
1931,Female,Ailsa,33
1932,Female,Ailsa,27
1933,Female,Ailsa,32
1934,Female,Ailsa,39
1935,Female,Ailsa,22
1936,Female,Ailsa,21
1937,Female,Ailsa,25
1938,Female,Ailsa,22
1939,Female,Ailsa,19
1940,Female,Ailsa,12
1941,Female,Ailsa,18
1942,Female,Ailsa,20
1943,Female,Ailsa,21
1944,Female,Ailsa,28
1945,Female,Ailsa,25
1946,Female,Ailsa,21
1947,Female,Ailsa,12
1948,Female,Ailsa,12
1949,Female,Ailsa,10
1950,Female,Ailsa,10
1951,Female,Ailsa,11
1953,Female,Ailsa,13
1954,Female,Ailsa,13
1955,Female,Ailsa,15
1956,Female,Ailsa,10
1961,Female,Ailsa,11
1975,Female,Aimee,13
1976,Female,Aimee,24
1977,Female,Aimee,31
1978,Female,Aimee,44
1979,Female,Aimee,66
1980,Female,Aimee,83
1981,Female,Aimee,81
1982,Female,Aimee,113
1983,Female,Aimee,125
1984,Female,Aimee,104
1985,Female,Aimee,109
1986,Female,Aimee,96
1987,Female,Aimee,96
1988,Female,Aimee,87
1989,Female,Aimee,107
1990,Female,Aimee,89
1991,Female,Aimee,98
1992,Female,Aimee,99
1993,Female,Aimee,91
1994,Female,Aimee,80
1995,Female,Aimee,77
1996,Female,Aimee,58
1997,Female,Aimee,80
1998,Female,Aimee,95
1999,Female,Aimee,79
2000,Female,Aimee,71
2001,Female,Aimee,61
2002,Female,Aimee,56
2003,Female,Aimee,51
2004,Female,Aimee,54
2005,Female,Aimee,62
2006,Female,Aimee,44
2007,Female,Aimee,39
2008,Female,Aimee,39
2009,Female,Aimee,25
2010,Female,Aimee,31
2011,Female,Aimee,21
2012,Female,Aimee,26
2013,Female,Aimee,14
2014,Female,Aimee,18
2016,Female,Aimee,15
2001,Female,Aisha,12
2002,Female,Aisha,13
2003,Female,Aisha,12
2004,Female,Aisha,13
2005,Female,Aisha,10
2006,Female,Aisha,11
2007,Female,Aisha,13
2008,Female,Aisha,13
2010,Female,Aisha,10
2011,Female,Aisha,16
2012,Female,Aisha,12
2014,Female,Aisha,18
2015,Female,Aisha,17
2017,Female,Aisha,18
2016,Female,Aiyana,13
2017,Female,Aiyana,10
1981,Female,Alaina,11
1982,Female,Alaina,11
1984,Female,Alaina,12
1986,Female,Alaina,10
1965,Female,Alana,12
1966,Female,Alana,10
1967,Female,Alana,10
1968,Female,Alana,17
1969,Female,Alana,20
1970,Female,Alana,31
1971,Female,Alana,10
1972,Female,Alana,15
1973,Female,Alana,22
1974,Female,Alana,19
1975,Female,Alana,25
1976,Female,Alana,21
1977,Female,Alana,16
1978,Female,Alana,18
1979,Female,Alana,39
1980,Female,Alana,54
1981,Female,Alana,64
1982,Female,Alana,89
1983,Female,Alana,95
1984,Female,Alana,87
1985,Female,Alana,81
1986,Female,Alana,78
1987,Female,Alana,67
1988,Female,Alana,54
1989,Female,Alana,59
1990,Female,Alana,77
1991,Female,Alana,79
1992,Female,Alana,88
1993,Female,Alana,64
1994,Female,Alana,50
1995,Female,Alana,48
1996,Female,Alana,38
1997,Female,Alana,60
1998,Female,Alana,34
1999,Female,Alana,32
2000,Female,Alana,33
2001,Female,Alana,28
2002,Female,Alana,24
2003,Female,Alana,24
2004,Female,Alana,26
2005,Female,Alana,29
2006,Female,Alana,18
2007,Female,Alana,30
2008,Female,Alana,20
2009,Female,Alana,25
2010,Female,Alana,15
2011,Female,Alana,13
2012,Female,Alana,14
2013,Female,Alana,14
2014,Female,Alana,12
2015,Female,Alana,10
2016,Female,Alana,14
2017,Female,Alana,17
1991,Female,Alanah,10
1994,Female,Alanah,10
1990,Female,Alanna,12
1986,Female,Alannah,16
1990,Female,Alannah,35
1991,Female,Alannah,38
1992,Female,Alannah,24
1993,Female,Alannah,17
1994,Female,Alannah,14
1997,Female,Alannah,14
2002,Female,Alannah,10
2014,Female,Alayna,11
2016,Female,Alayna,13
2017,Female,Alayna,12
2014,Female,Alba,11
2015,Female,Alba,10
2016,Female,Alba,13
2017,Female,Alba,14
1986,Female,Alecia,10
1991,Female,Alecia,10
2017,Female,Aleena,10
2000,Female,Aleesha,11
2001,Female,Aleesha,10
1980,Female,Aleisha,10
1982,Female,Aleisha,13
1983,Female,Aleisha,10
1984,Female,Aleisha,12
1985,Female,Aleisha,22
1986,Female,Aleisha,29
1987,Female,Aleisha,31
1988,Female,Aleisha,33
1989,Female,Aleisha,29
1990,Female,Aleisha,37
1991,Female,Aleisha,32
1992,Female,Aleisha,53
1993,Female,Aleisha,46
1994,Female,Aleisha,50
1995,Female,Aleisha,38
1996,Female,Aleisha,35
1997,Female,Aleisha,34
1998,Female,Aleisha,36
1999,Female,Aleisha,28
2001,Female,Aleisha,20
2002,Female,Aleisha,15
2003,Female,Aleisha,21
2004,Female,Aleisha,17
1984,Female,Alesha,17
1985,Female,Alesha,18
1986,Female,Alesha,14
1987,Female,Alesha,20
1988,Female,Alesha,29
1989,Female,Alesha,15
1990,Female,Alesha,12
1991,Female,Alesha,12
1992,Female,Alesha,20
1993,Female,Alesha,19
1994,Female,Alesha,12
1995,Female,Alesha,11
1996,Female,Alesha,13
1997,Female,Alesha,21
1998,Female,Alesha,11
1999,Female,Alesha,16
2005,Female,Alesha,12
1989,Female,Alex,11
1990,Female,Alex,14
1991,Female,Alex,12
1992,Female,Alex,13
1993,Female,Alex,33
1994,Female,Alex,21
1995,Female,Alex,16
1996,Female,Alex,23
1997,Female,Alex,22
1998,Female,Alex,28
1999,Female,Alex,15
2000,Female,Alex,13
2001,Female,Alex,24
2002,Female,Alex,17
2003,Female,Alex,23
2004,Female,Alex,23
2005,Female,Alex,18
2006,Female,Alex,25
2007,Female,Alex,18
2008,Female,Alex,18
2009,Female,Alex,12
2012,Female,Alex,10
2015,Female,Alex,10
1988,Female,Alexa,12
2004,Female,Alexa,11
2005,Female,Alexa,11
2008,Female,Alexa,10
2009,Female,Alexa,15
2010,Female,Alexa,13
2011,Female,Alexa,17
2012,Female,Alexa,12
2013,Female,Alexa,18
2014,Female,Alexa,20
2015,Female,Alexa,15
2016,Female,Alexa,13
2017,Female,Alexa,18
1901,Female,Alexandra,10
1902,Female,Alexandra,24
1949,Female,Alexandra,12
1952,Female,Alexandra,13
1953,Female,Alexandra,16
1955,Female,Alexandra,13
1956,Female,Alexandra,16
1957,Female,Alexandra,18
1958,Female,Alexandra,10
1959,Female,Alexandra,14
1960,Female,Alexandra,11
1961,Female,Alexandra,16
1962,Female,Alexandra,16
1963,Female,Alexandra,16
1964,Female,Alexandra,27
1965,Female,Alexandra,24
1966,Female,Alexandra,20
1967,Female,Alexandra,18
1968,Female,Alexandra,13
1969,Female,Alexandra,22
1970,Female,Alexandra,15
1971,Female,Alexandra,22
1972,Female,Alexandra,26
1973,Female,Alexandra,27
1974,Female,Alexandra,18
1975,Female,Alexandra,22
1976,Female,Alexandra,28
1977,Female,Alexandra,28
1978,Female,Alexandra,26
1979,Female,Alexandra,31
1980,Female,Alexandra,33
1981,Female,Alexandra,39
1982,Female,Alexandra,38
1983,Female,Alexandra,40
1984,Female,Alexandra,45
1985,Female,Alexandra,74
1986,Female,Alexandra,75
1987,Female,Alexandra,91
1988,Female,Alexandra,109
1989,Female,Alexandra,110
1990,Female,Alexandra,161
1991,Female,Alexandra,133
1992,Female,Alexandra,155
1993,Female,Alexandra,157
1994,Female,Alexandra,157
1995,Female,Alexandra,129
1996,Female,Alexandra,105
1997,Female,Alexandra,123
1998,Female,Alexandra,99
1999,Female,Alexandra,94
2000,Female,Alexandra,93
2001,Female,Alexandra,115
2002,Female,Alexandra,75
2003,Female,Alexandra,74
2004,Female,Alexandra,85
2005,Female,Alexandra,80
2006,Female,Alexandra,70
2007,Female,Alexandra,52
2008,Female,Alexandra,51
2009,Female,Alexandra,48
2010,Female,Alexandra,42
2011,Female,Alexandra,48
2012,Female,Alexandra,45
2013,Female,Alexandra,49
2014,Female,Alexandra,46
2015,Female,Alexandra,38
2016,Female,Alexandra,36
2017,Female,Alexandra,36
1988,Female,Alexandria,14
1989,Female,Alexandria,11
1990,Female,Alexandria,13
1991,Female,Alexandria,13
1993,Female,Alexandria,17
1994,Female,Alexandria,20
1995,Female,Alexandria,14
1996,Female,Alexandria,14
2001,Female,Alexandria,12
2002,Female,Alexandria,13
2004,Female,Alexandria,13
2005,Female,Alexandria,13
2007,Female,Alexandria,12
2013,Female,Alexandria,10
2016,Female,Alexandria,13
2008,Female,Alexi,12
2009,Female,Alexi,11
1980,Female,Alexia,12
1981,Female,Alexia,10
1982,Female,Alexia,10
1988,Female,Alexia,12
1992,Female,Alexia,12
1995,Female,Alexia,17
2002,Female,Alexia,11
2004,Female,Alexia,10
2005,Female,Alexia,13
2006,Female,Alexia,15
2007,Female,Alexia,18
2008,Female,Alexia,19
2009,Female,Alexia,27
2010,Female,Alexia,21
2011,Female,Alexia,23
2012,Female,Alexia,17
2013,Female,Alexia,22
2014,Female,Alexia,13
2015,Female,Alexia,10
2016,Female,Alexia,14
2017,Female,Alexia,18
1946,Female,Alexis,10
1953,Female,Alexis,10
1957,Female,Alexis,10
1980,Female,Alexis,10
1983,Female,Alexis,17
1984,Female,Alexis,16
1985,Female,Alexis,17
1988,Female,Alexis,13
1991,Female,Alexis,13
1993,Female,Alexis,17
1994,Female,Alexis,11
1995,Female,Alexis,11
1997,Female,Alexis,19
1998,Female,Alexis,17
1999,Female,Alexis,11
2000,Female,Alexis,21
2001,Female,Alexis,28
2002,Female,Alexis,22
2003,Female,Alexis,27
2004,Female,Alexis,42
2005,Female,Alexis,31
2006,Female,Alexis,42
2007,Female,Alexis,53
2008,Female,Alexis,76
2009,Female,Alexis,57
2010,Female,Alexis,75
2011,Female,Alexis,105
2012,Female,Alexis,91
2013,Female,Alexis,79
2014,Female,Alexis,85
2015,Female,Alexis,59
2016,Female,Alexis,73
2017,Female,Alexis,41
2017,Female,Alia,15
1900,Female,Alice,183
1901,Female,Alice,192
1902,Female,Alice,202
1903,Female,Alice,204
1904,Female,Alice,188
1905,Female,Alice,211
1906,Female,Alice,240
1907,Female,Alice,218
1908,Female,Alice,217
1909,Female,Alice,218
1910,Female,Alice,181
1911,Female,Alice,176
1912,Female,Alice,195
1913,Female,Alice,181
1914,Female,Alice,176
1915,Female,Alice,179
1916,Female,Alice,156
1917,Female,Alice,149
1918,Female,Alice,123
1919,Female,Alice,126
1920,Female,Alice,132
1921,Female,Alice,113
1922,Female,Alice,98
1923,Female,Alice,103
1924,Female,Alice,84
1925,Female,Alice,88
1926,Female,Alice,83
1927,Female,Alice,67
1928,Female,Alice,53
1929,Female,Alice,60
1930,Female,Alice,54
1931,Female,Alice,57
1932,Female,Alice,47
1933,Female,Alice,46
1934,Female,Alice,37
1935,Female,Alice,42
1936,Female,Alice,45
1937,Female,Alice,44
1938,Female,Alice,39
1939,Female,Alice,27
1940,Female,Alice,30
1941,Female,Alice,32
1942,Female,Alice,27
1943,Female,Alice,28
1944,Female,Alice,32
1945,Female,Alice,28
1946,Female,Alice,37
1947,Female,Alice,28
1948,Female,Alice,20
1949,Female,Alice,23
1950,Female,Alice,24
1951,Female,Alice,25
1952,Female,Alice,25
1953,Female,Alice,22
1954,Female,Alice,23
1955,Female,Alice,25
1956,Female,Alice,24
1957,Female,Alice,26
1958,Female,Alice,21
1959,Female,Alice,24
1960,Female,Alice,17
1961,Female,Alice,30
1962,Female,Alice,20
1963,Female,Alice,17
1964,Female,Alice,29
1965,Female,Alice,26
1966,Female,Alice,30
1967,Female,Alice,26
1968,Female,Alice,12
1969,Female,Alice,26
1970,Female,Alice,17
1971,Female,Alice,22
1972,Female,Alice,17
1973,Female,Alice,18
1974,Female,Alice,25
1975,Female,Alice,31
1976,Female,Alice,27
1977,Female,Alice,46
1978,Female,Alice,47
1979,Female,Alice,59
1980,Female,Alice,59
1981,Female,Alice,81
1982,Female,Alice,92
1983,Female,Alice,71
1984,Female,Alice,89
1985,Female,Alice,76
1986,Female,Alice,98
1987,Female,Alice,93
1988,Female,Alice,107
1989,Female,Alice,127
1990,Female,Alice,112
1991,Female,Alice,123
1992,Female,Alice,111
1993,Female,Alice,105
1994,Female,Alice,99
1995,Female,Alice,115
1996,Female,Alice,104
1997,Female,Alice,96
1998,Female,Alice,70
1999,Female,Alice,81
2000,Female,Alice,54
2001,Female,Alice,86
2002,Female,Alice,66
2003,Female,Alice,66
2004,Female,Alice,70
2005,Female,Alice,59
2006,Female,Alice,63
2007,Female,Alice,64
2008,Female,Alice,47
2009,Female,Alice,70
2010,Female,Alice,72
2011,Female,Alice,82
2012,Female,Alice,85
2013,Female,Alice,67
2014,Female,Alice,77
2015,Female,Alice,80
2016,Female,Alice,94
2017,Female,Alice,96
1969,Female,Alicia,10
1970,Female,Alicia,10
1972,Female,Alicia,10
1973,Female,Alicia,13
1974,Female,Alicia,18
1975,Female,Alicia,15
1976,Female,Alicia,21
1977,Female,Alicia,29
1978,Female,Alicia,19
1979,Female,Alicia,25
1980,Female,Alicia,26
1981,Female,Alicia,65
1982,Female,Alicia,52
1983,Female,Alicia,58
1984,Female,Alicia,70
1985,Female,Alicia,68
1986,Female,Alicia,60
1987,Female,Alicia,61
1988,Female,Alicia,82
1989,Female,Alicia,62
