id,image_url,imdb_rating,imdb_votes,number_in_season,number_in_series,original_air_date,original_air_year,production_code,season,title,us_viewers_in_millions,video_url,views
480,http://static-media.fxx.com/img/FX_Networks_-_FXX/330/159/Simpsons_22_16.jpg,6.1,481,16,480,2011-03-13,2011,NABF09,22,A Midsummer's Nice Dream,5.44,http://www.simpsonsworld.com/video/254821955889,38893
482,http://static-media.fxx.com/img/FX_Networks_-_FXX/372/651/Simpsons_22_18.jpg,7,491,18,482,2011-04-10,2011,NABF11,22,The Great Simpsina,4.99,http://www.simpsonsworld.com/video/254866499808,41560
485,http://static-media.fxx.com/img/FX_Networks_-_FXX/386/315/Simpsons_22_21.jpg,7.3,505,21,485,2011-05-15,2011,NABF14,22,500 Keys,6,http://www.simpsonsworld.com/video/254880835816,46660
487,http://static-media.fxx.com/img/FX_Networks_-_FXX/751/263/TheFalconandtheDohman.jpg,7.2,672,1,487,2011-09-25,2011,NABF16,23,The Falcon and the D'ohman,8.08,http://www.simpsonsworld.com/video/273517123847,39209
489,http://static-media.fxx.com/img/FX_Networks_-_FXX/680/507/reehouseofHorrorXXII.jpg,6.6,654,3,489,2011-10-30,2011,NABF19,23,Treehouse of Horror XXII,8.1,http://www.simpsonsworld.com/video/230493251807,63816
491,http://static-media.fxx.com/img/FX_Networks_-_FXX/184/682/TheFoodWife.jpg,7.2,562,5,491,2011-11-13,2011,NABF20,23,The Food Wife,7.5,http://www.simpsonsworld.com/video/233194563539,42746
494,http://static-media.fxx.com/img/FX_Networks_-_FXX/702/479/TheTenPerCentSolution.jpg,6.2,476,8,494,2011-12-04,2011,PABF02,23,The Ten-Per-Cent Solution,9.01,http://www.simpsonsworld.com/video/230516291714,39002
496,http://static-media.fxx.com/img/FX_Networks_-_FXX/733/735/Simpsons_23_10.jpg,6.1,549,10,496,2012-01-08,2012,PABF03,23,"Politically Inept, with Homer Simpson",5.07,http://www.simpsonsworld.com/video/230549059731,44074
498,http://static-media.fxx.com/img/FX_Networks_-_FXX/738/115/Simpsons_23_12.jpg,5.7,562,12,498,2012-01-29,2012,PABF05,23,Moe Goes from Rags to Riches,5.12,http://www.simpsonsworld.com/video/230553667901,39838
504,http://static-media.fxx.com/img/FX_Networks_-_FXX/838/515/Beware_my_cheating.jpg,7.1,470,18,504,2012-04-15,2012,PABF11,23,Beware My Cheating Bart,4.86,http://www.simpsonsworld.com/video/311189571768,43422
506,http://static-media.fxx.com/img/FX_Networks_-_FXX/771/823/TheSpyWhoLearnedMe.jpg,6.9,405,20,506,2012-05-06,2012,PABF13,23,The Spy Who Learned Me,4.84,http://www.simpsonsworld.com/video/230588995967,43544
508,http://static-media.fxx.com/img/FX_Networks_-_FXX/180/779/LisaGoesGaga.jpg,4.5,1215,22,508,2012-05-20,2012,PABF14,23,Lisa Goes Gaga,4.82,http://www.simpsonsworld.com/video/233190467851,44434
513,http://static-media.fxx.com/img/FX_Networks_-_FXX/481/391/Penny_Wiseguys.jpg,6.3,426,5,513,2012-11-18,2012,PABF19,24,Penny-Wiseguys,5.06,http://www.simpsonsworld.com/video/221694531617,36897
516,http://static-media.fxx.com/img/FX_Networks_-_FXX/217/651/To_Cur_with_Love.jpg,7.2,441,8,516,2012-12-16,2012,RABF01,24,To Cur with Love,3.77,http://www.simpsonsworld.com/video/222491715618,40726
518,http://static-media.fxx.com/img/FX_Networks_-_FXX/119/3/A_Test_Before_Trying.jpg,7,408,10,518,2013-01-13,2013,RABF03,24,A Test Before Trying,5.04,http://www.simpsonsworld.com/video/222388291945,41542
520,http://static-media.fxx.com/img/FX_Networks_-_FXX/1009/710/Love_is_a_Many_Splintered_Thing.jpg,6.5,471,12,520,2013-02-10,2013,RABF07,24,Love is a Many-Splintered Thing,4.19,http://www.simpsonsworld.com/video/257681987573,41828
522,http://static-media.fxx.com/img/FX_Networks_-_FXX/1014/591/Gorgeous_Grampa.jpg,6.2,423,14,522,2013-03-03,2013,RABF06,24,Gorgeous Grampa,4.66,http://www.simpsonsworld.com/video/257687107857,39510
525,http://static-media.fxx.com/img/FX_Networks_-_FXX/26/226/What_Animated_Women_Want.jpg,6.5,425,17,525,2013-04-14,2013,RABF08,24,What Animated Women Want,4.11,http://www.simpsonsworld.com/video/257724483545,43471
527,http://static-media.fxx.com/img/FX_Networks_-_FXX/38/439/Whiskey_Business__009804.jpg,6.8,371,19,527,2013-05-05,2013,RABF13,24,Whiskey Business,4.43,http://www.simpsonsworld.com/video/257737283653,42810
531,http://static-media.fxx.com/img/FX_Networks_-_FXX/98/3/homer_land.jpg,7,635,1,531,2013-09-29,2013,RABF20,25,Homerland,6.37,http://www.simpsonsworld.com/video/307191875741,47531
534,http://static-media.fxx.com/img/FX_Networks_-_FXX/577/235/YOLO.jpg,6.7,489,4,534,2013-11-10,2013,RABF22,25,YOLO,4.2,http://www.simpsonsworld.com/video/304473155645,44551
536,http://static-media.fxx.com/img/FX_Networks_-_FXX/203/755/The_Kid_is_all_right.jpg,6.5,468,6,536,2013-11-24,2013,SABF02,25,The Kid Is All Right,6.78,http://www.simpsonsworld.com/video/310523971648,39590
538,http://static-media.fxx.com/img/FX_Networks_-_FXX/104/859/White%20Christmas%20Blues.jpg,6.5,449,8,538,2013-12-15,2013,SABF01,25,White Christmas Blues,8.48,http://www.simpsonsworld.com/video/307199043880,39290
541,http://static-media.fxx.com/img/FX_Networks_-_FXX/109/739/Specs_and_the_city.jpg,7.2,431,11,541,2014-01-26,2014,SABF06,25,Specs and the City,3.87,http://www.simpsonsworld.com/video/307204163997,44119
543,http://static-media.fxx.com/img/FX_Networks_-_FXX/112/667/Simpsons_25_13.jpg,6.7,468,13,543,2014-03-09,2014,SABF07,25,The Man Who Grew Too Much,3.75,http://www.simpsonsworld.com/video/307207235909,44512
545,http://static-media.fxx.com/img/FX_Networks_-_FXX/770/147/Simpsons_25_16.jpg,7,414,15,545,2014-03-23,2014,SABF10,25,The War of Art,3.98,http://www.simpsonsworld.com/video/311117891947,41726
547,http://static-media.fxx.com/img/FX_Networks_-_FXX/603/610/Simpsons_25_18.jpg,6.5,415,17,547,2014-04-06,2014,SABF12,25,Luca$,4.3,http://www.simpsonsworld.com/video/304500803520,45184
550,http://static-media.fxx.com/img/FX_Networks_-_FXX/889/791/brick_like_me.jpg,7.7,705,20,550,2014-05-04,2014,RABF21,25,Brick Like Me,4.39,http://www.simpsonsworld.com/video/311243331763,65613
552,http://static-media.fxx.com/img/FX_Networks_-_FXX/124/379/the_yellow_badge_of_cowardge.jpg,6.7,416,22,552,2014-05-18,2014,SABF18,25,The Yellow Badge of Cowardge,3.28,http://www.simpsonsworld.com/video/307219523604,46408
554,http://static-media.fxx.com/img/FX_Networks_-_FXX/947/391/Simpsons_26_02.jpg,6.9,490,2,554,2014-10-05,2014,SABF17,26,The Wreck of the Relationship,4.27,http://www.simpsonsworld.com/video/346737219924,38411
557,http://static-media.fxx.com/img/FX_Networks_-_FXX/309/823/TheSimpsons_SABF22_2500_1280x720_351438403698.jpg,6.3,442,5,557,2014-11-02,2014,SABF22,26,Opposites A-Frack,4.22,http://www.simpsonsworld.com/video/351437379941,36410
559,http://static-media.fxx.com/img/FX_Networks_-_FXX/571/1003/Simpsons_26_07.jpg,6.9,456,7,559,2014-11-16,2014,TABF01,26,Blazed and Confused,6.7,http://www.simpsonsworld.com/video/359228483622,43513
562,http://static-media.fxx.com/img/FX_Networks_-_FXX/752/215/TheSimpsons_RABF15_2500_1280x720_379818051609.jpg,6.8,578,10,562,2015-01-04,2015,RABF15,26,The Man Who Came to Be Dinner,10.62,http://www.simpsonsworld.com/video/379818563729,36622
564,http://static-media.fxx.com/img/FX_Networks_-_FXX/76/255/TheSimpsons_TABF04_2500_1280x720_388772419542.jpg,5.8,439,12,564,2015-01-25,2015,TABF04,26,The Musk Who Fell to Earth,3.29,http://www.simpsonsworld.com/video/388773443652,35848
570,http://static-media.fxx.com/img/FX_Networks_-_FXX/887/903/TheSimpsons_TABF11_1280x720_430425155986.jpg,6.7,334,18,570,2015-04-19,2015,TABF11,26,Peeping Mom,3.23,http://www.simpsonsworld.com/video/430426691868,40157
573,http://static-media.fxx.com/img/FX_Networks_-_FXX/475/879/TheSimpsons_TABF15_1280x720_442878531850.jpg,6.8,335,21,573,2015-05-10,2015,TABF15,26,Bull-E,2.77,http://www.simpsonsworld.com/video/442879555692,43978
576,http://static-media.fxx.com/img/FX_Networks_-_FXX/690/39/TheSimpsons_TABF17_1280x720_538102339785.jpg,6.7,395,2,576,2015-10-04,2015,TABF17,27,Cue Detective,6.02,http://www.simpsonsworld.com/video/770595395906,178
580,http://static-media.fxx.com/img/FX_Networks_-_FXX/539/163/Simpsons_27_06.jpg,6.8,335,6,580,2015-11-08,2015,TABF21,27,Friend with Benefit,3.48,http://www.simpsonsworld.com/video/770437187884,175
583,http://static-media.fxx.com/img/FX_Networks_-_FXX/526/474/fox_TheSimpsons_VABF02_hulu.jpg,8.4,698,9,583,2015-12-13,2015,VABF02,27,Barthood,5.97,http://www.simpsonsworld.com/video/770423875541,182
585,http://static-media.fxx.com/img/FX_Networks_-_FXX/532/331/Simpsons_27_11.jpg,6.8,309,11,585,2016-01-10,2016,VABF04,27,Teenage Mutant Milk-Caused Hurdles,8.33,http://www.simpsonsworld.com/video/770430019813,172
598,NA,NA,NA,2,598,2016-10-02,2016,VABF18,28,"Friends and Family""[203]",NA,NA,NA
599,NA,NA,NA,3,599,2016-10-09,2016,VABF17,28,"The Town""[205]",NA,NA,NA
600,NA,NA,NA,4,600,2016-10-16,2016,VABF16,28,"Treehouse of Horror XXVII""[207]",NA,NA,NA
588,http://static-media.fxx.com/img/FX_Networks_-_FXX/552/851/simp_Gal_of_Constant_Sorrow-VABF06Sc1117_hires2.jpg,6.6,293,14,588,2016-02-21,2016,VABF06,27,Gal of Constant Sorrow,3.1,http://www.simpsonsworld.com/video/770451523845,144
590,http://static-media.fxx.com/img/FX_Networks_-_FXX/972/271/simp_The_Marg-ian_Chronicles_VABF09-Sc3022_hires2.jpg,7.3,262,16,590,2016-03-13,2016,VABF09,27,The Marge-ian Chronicles,3.07,http://www.simpsonsworld.com/video/770891331927,201
593,http://static-media.fxx.com/img/FX_Networks_-_FXX/975/199/simp_Fland_Canyon_VABF12Sc2032_hires2.jpg,7.1,229,19,593,2016-04-24,2016,VABF12,27,Fland Canyon,2.77,http://www.simpsonsworld.com/video/770894403718,192
595,http://static-media.fxx.com/img/FX_Networks_-_FXX/973/247/fox_TheSimpsons_VABF13_hulu.jpg,6.4,227,21,595,2016-05-15,2016,VABF13,27,Simprovised,2.8,http://www.simpsonsworld.com/video/770892355976,228
465,http://static-media.fxx.com/img/FX_Networks_-_FXX/433/79/ElementarySchoolMusical.jpg,6.3,691,1,465,2010-09-26,2010,MABF21,22,Elementary School Musical,7.75,http://www.simpsonsworld.com/video/263519811935,31638
463,http://static-media.fxx.com/img/FX_Networks_-_FXX/334/867/The_Bob_Next_Door.jpg,7.2,545,22,463,2010-05-16,2010,MABF11,21,The Bob Next Door,6.26,http://www.simpsonsworld.com/video/250531907855,43446
451,http://static-media.fxx.com/img/FX_Networks_-_FXX/189/347/Once_Upon_a_Time_in_Springfield.jpg,6.7,552,10,451,2010-01-10,2010,LABF20,21,Once Upon a Time in Springfield,14.62,http://www.simpsonsworld.com/video/250379331672,40194
459,http://static-media.fxx.com/img/FX_Networks_-_FXX/319/227/Chief_of_Hearts.jpg,6.9,482,18,459,2010-04-18,2010,MABF09,21,Chief of Hearts,5.93,http://www.simpsonsworld.com/video/250515523850,41528
461,http://static-media.fxx.com/img/FX_Networks_-_FXX/326/559/Simpsons_21_20.jpg,7.2,519,20,461,2010-05-02,2010,MABF12,21,To Surveil with Love,6.06,http://www.simpsonsworld.com/video/250523203904,45738
479,http://static-media.fxx.com/img/FX_Networks_-_FXX/326/255/Simpsons_22_15.jpg,6.7,489,15,479,2011-03-06,2011,NABF08,22,The Scorpion's Tale,6.2,http://www.simpsonsworld.com/video/254817859928,42142
477,http://static-media.fxx.com/img/FX_Networks_-_FXX/318/447/Simpsons_22_13.jpg,6.9,461,13,477,2011-02-13,2011,NABF06,22,The Blue and the Gray,5.61,http://www.simpsonsworld.com/video/254809667917,42028
454,http://static-media.fxx.com/img/FX_Networks_-_FXX/595/799/The_Color_Yellow.jpg,6.6,496,13,454,2010-02-21,2010,MABF06,21,The Color Yellow,6.08,http://www.simpsonsworld.com/video/255100483932,41059
470,http://static-media.fxx.com/img/FX_Networks_-_FXX/456/526/TheFoolMonty.jpg,6.5,479,6,470,2010-11-21,2010,NABF01,22,The Fool Monty,6.58,http://www.simpsonsworld.com/video/263544387571,38097
453,http://static-media.fxx.com/img/FX_Networks_-_FXX/195/203/Boy_Meets_Curl.jpg,6.8,525,12,453,2010-02-14,2010,MABF05,21,Boy Meets Curl,5.87,http://www.simpsonsworld.com/video/250385475646,44945
481,http://static-media.fxx.com/img/FX_Networks_-_FXX/338/466/Simpsons_22_17.jpg,6.5,470,17,481,2011-03-27,2011,NABF10,22,Love Is a Many Strangled Thing,6.14,http://www.simpsonsworld.com/video/254830659539,41202
484,http://static-media.fxx.com/img/FX_Networks_-_FXX/381/935/Simpsons_22_20.jpg,7.2,483,20,484,2011-05-08,2011,NABF13,22,Homer Scissorhands,5.48,http://www.simpsonsworld.com/video/254876227684,46154
456,http://static-media.fxx.com/img/FX_Networks_-_FXX/206/439/Simpsons_21_15.jpg,7,554,15,456,2010-03-21,2010,MABF07,21,Stealing First Base,5.69,http://www.simpsonsworld.com/video/250397251688,40487
471,http://static-media.fxx.com/img/FX_Networks_-_FXX/457/1003/HowMunchedisthatBirdie.jpg,6.4,489,7,471,2010-11-28,2010,NABF02,22,How Munched is That Birdie in the Window?,9.38,http://www.simpsonsworld.com/video/263545923923,37568
483,http://static-media.fxx.com/img/FX_Networks_-_FXX/376/55/Simpsons_22_19.jpg,6.6,486,19,483,2011-05-01,2011,NABF12,22,The Real Housewives of Fat Tony,6.1,http://www.simpsonsworld.com/video/254870083832,41638
474,http://static-media.fxx.com/img/FX_Networks_-_FXX/214/790/Simpsons_22_10.jpg,6.3,464,10,474,2011-01-09,2011,NABF03,22,Moms I'd Like to Forget,12.6,http://www.simpsonsworld.com/video/256848451515,41253
467,http://static-media.fxx.com/img/FX_Networks_-_FXX/444/315/Simpsons_22_03.jpg,6.8,501,3,467,2010-10-10,2010,MABF18,22,MoneyBart,6.72,http://www.simpsonsworld.com/video/263531587720,39073
475,http://static-media.fxx.com/img/FX_Networks_-_FXX/490/210/Simpsons_22_11.jpg,6.9,520,11,475,2011-01-16,2011,NABF04,22,Flaming Moe,6.47,http://www.simpsonsworld.com/video/263579715535,42734
488,http://static-media.fxx.com/img/FX_Networks_-_FXX/752/739/BartStopstoSmelltheRoose.jpg,7,528,2,488,2011-10-02,2011,NABF17,23,Bart Stops to Smell the Roosevelts,6.19,http://www.simpsonsworld.com/video/273518659843,37642
490,http://static-media.fxx.com/img/FX_Networks_-_FXX/960/747/ReplaceableYou.jpg,6.7,491,4,490,2011-11-06,2011,NABF21,23,Replaceable You,7.97,http://www.simpsonsworld.com/video/273736771817,38034
497,http://static-media.fxx.com/img/FX_Networks_-_FXX/736/663/Simpsons_23_11.jpg,7,553,11,497,2012-01-15,2012,PABF04,23,The D'oh-cial Network,11.48,http://www.simpsonsworld.com/video/230552131592,43275
540,http://static-media.fxx.com/img/FX_Networks_-_FXX/220/347/married_to_the_blob.jpg,7.1,475,10,540,2014-01-12,2014,SABF03,25,Married to the Blob,4.83,http://www.simpsonsworld.com/video/310541379637,40646
507,http://static-media.fxx.com/img/FX_Networks_-_FXX/70/302/NednEdnasBlend.jpg,6.7,408,21,507,2012-05-13,2012,PABF15,23,Ned 'n Edna's Blend,4.07,http://www.simpsonsworld.com/video/277098051530,47005
512,http://static-media.fxx.com/img/FX_Networks_-_FXX/476/11/Gone_Abie_Gone.jpg,6.7,415,4,512,2012-11-11,2012,PABF16,24,Gone Abie Gone,6.86,http://www.simpsonsworld.com/video/221688899887,35136
517,http://static-media.fxx.com/img/FX_Networks_-_FXX/113/647/Homer_Goes_to_Prep_School.jpg,6.9,411,9,517,2013-01-06,2013,RABF02,24,Homer Goes to Prep School,8.97,http://www.simpsonsworld.com/video/222382659887,42306
533,http://static-media.fxx.com/img/FX_Networks_-_FXX/290/90/Four_regrettings_and.jpg,6.5,482,3,533,2013-11-03,2013,RABF18,25,Four Regrettings and a Funeral,5.43,http://www.simpsonsworld.com/video/311688259548,39301
537,http://static-media.fxx.com/img/FX_Networks_-_FXX/580/663/Simpsons_25_10.jpg,7,440,7,537,2013-12-08,2013,SABF04,25,Yellow Subterfuge,6.85,http://www.simpsonsworld.com/video/304476739664,43717
505,http://static-media.fxx.com/img/FX_Networks_-_FXX/756/143/ATotallyFunThingThatBartWill.jpg,7.4,568,19,505,2012-04-29,2012,PABF12,23,A Totally Fun Thing That Bart Will Never Do Again,5,http://www.simpsonsworld.com/video/273522243657,53058
492,http://static-media.fxx.com/img/FX_Networks_-_FXX/400/295/TheBookJob.jpg,7.8,712,6,492,2011-11-20,2011,NABF22,23,The Book Job,5.77,http://www.simpsonsworld.com/video/264559171655,42780
499,http://static-media.fxx.com/img/FX_Networks_-_FXX/746/423/TheDaughterAlsoRises.jpg,6.5,490,13,499,2012-02-12,2012,PABF06,23,The Daughter Also Rises,4.26,http://www.simpsonsworld.com/video/230562371905,40669
539,http://static-media.fxx.com/img/FX_Networks_-_FXX/203/255/Steal_this_Episode.jpg,7.6,648,9,539,2014-01-05,2014,SABF05,25,Steal This Episode,12.04,http://www.simpsonsworld.com/video/310523459925,45354
501,http://static-media.fxx.com/img/FX_Networks_-_FXX/572/355/Exit%20through.jpg,6.9,425,15,501,2012-03-04,2012,PABF09,23,Exit Through the Kwik-E-Mart,5.09,http://www.simpsonsworld.com/video/304468035701,45133
523,http://static-media.fxx.com/img/FX_Networks_-_FXX/1017/18/Black_Eyed_Please.jpg,7,418,15,523,2013-03-10,2013,RABF09,24,"Black Eyed, Please",4.85,http://www.simpsonsworld.com/video/257689667578,42925
503,http://static-media.fxx.com/img/FX_Networks_-_FXX/774/751/ThemRobot.jpg,7.1,493,17,503,2012-03-18,2012,PABF10,23,"Them, Robot",5.25,http://www.simpsonsworld.com/video/230592067926,43615
532,http://static-media.fxx.com/img/FX_Networks_-_FXX/975/803/Simpsons_25_01.jpg,7.1,654,2,532,2013-10-06,2013,RABF16,25,Treehouse of Horror XXIV,6.42,http://www.simpsonsworld.com/video/310259779794,64758
526,http://static-media.fxx.com/img/FX_Networks_-_FXX/30/131/Pulpit_Friction.jpg,6.5,405,18,526,2013-04-28,2013,RABF11,24,Pulpit Friction,4.54,http://www.simpsonsworld.com/video/257728579751,41184
519,http://static-media.fxx.com/img/FX_Networks_-_FXX/1011/663/The_Changing_of_the_Guardian.jpg,6.6,405,11,519,2013-01-27,2013,RABF04,24,The Changing of the Guardian,5.23,http://www.simpsonsworld.com/video/257684035668,42215
509,http://static-media.fxx.com/img/FX_Networks_-_FXX/478/963/Moonshine_River.jpg,6.4,597,1,509,2012-09-30,2012,PABF21,24,Moonshine River,8.08,http://www.simpsonsworld.com/video/221691971633,36570
514,http://static-media.fxx.com/img/FX_Networks_-_FXX/979/907/A_Tree_Grows_in_Springfield.jpg,6.5,430,6,514,2012-11-25,2012,PABF22,24,A Tree Grows in Springfield,7.46,http://www.simpsonsworld.com/video/229733443727,43211
510,http://static-media.fxx.com/img/FX_Networks_-_FXX/482/367/Simpsons_24_02.jpg,7.3,600,2,510,2012-10-07,2012,PABF17,24,Treehouse of Horror XXIII,6.57,http://www.simpsonsworld.com/video/221695555645,67484
515,http://static-media.fxx.com/img/FX_Networks_-_FXX/105/839/The_Day_the_Earth_Stood_Cool.jpg,7.2,493,7,515,2012-12-09,2012,PABF20,24,The Day the Earth Stood Cool,7.44,http://www.simpsonsworld.com/video/222374467937,40649
521,http://static-media.fxx.com/img/FX_Networks_-_FXX/1014/91/Hardly_Kirking.jpg,7,406,13,521,2013-02-17,2013,RABF05,24,Hardly Kirk-ing,4.57,http://www.simpsonsworld.com/video/257686595928,42807
528,http://static-media.fxx.com/img/FX_Networks_-_FXX/60/411/The_Fabulous_Faker_Boy.jpg,6.3,410,20,528,2013-05-12,2013,RABF12,24,The Fabulous Faker Boy,4.16,http://www.simpsonsworld.com/video/257760323921,42426
535,http://static-media.fxx.com/img/FX_Networks_-_FXX/757/958/Labor_Pains.jpg,7.1,442,5,535,2013-11-17,2013,RABF19,25,Labor Pains,4.08,http://www.simpsonsworld.com/video/311105091548,40671
530,http://static-media.fxx.com/img/FX_Networks_-_FXX/67/743/Dangers_on_a_Train.jpg,7,396,22,530,2013-05-19,2013,RABF17,24,Dangers on a Train,4.52,http://www.simpsonsworld.com/video/257768003795,44984
544,http://static-media.fxx.com/img/FX_Networks_-_FXX/114/619/Simpsons_25_15.jpg,6.6,407,14,544,2014-03-16,2014,SABF09,25,The Winter of His Content,4.02,http://www.simpsonsworld.com/video/307209283970,44271
549,http://static-media.fxx.com/img/FX_Networks_-_FXX/119/499/what_to_expect_when_barts.jpg,5.8,445,19,549,2014-04-27,2014,SABF14,25,What to Expect When Bart's Expecting,3.45,http://www.simpsonsworld.com/video/307214403888,48760
560,http://static-media.fxx.com/img/FX_Networks_-_FXX/371/575/TheSimpsons_TABF02_2500_1280x720_362237507766.jpg,6.5,431,8,560,2014-11-23,2014,TABF02,26,Covercraft,3.45,http://www.simpsonsworld.com/video/362239555757,38432
565,http://static-media.fxx.com/img/FX_Networks_-_FXX/532/854/TheSimpsons_TABF06_2500_1280x720_395693635752.jpg,6.3,377,13,565,2015-02-08,2015,TABF06,26,Walking Big & Tall,2.78,http://www.simpsonsworld.com/video/395694659511,36221
579,http://static-media.fxx.com/img/FX_Networks_-_FXX/535/259/TheSimpsons_TABF18_1280x720_551644227791.jpg,6.8,385,5,579,2015-10-25,2015,TABF18,27,Treehouse of Horror XXVI,6.75,http://www.simpsonsworld.com/video/770433091920,195
584,http://static-media.fxx.com/img/FX_Networks_-_FXX/536/734/Simpsons_27_10.jpg,6.6,356,10,584,2016-01-03,2016,VABF03,27,The Girl Code,4.41,http://www.simpsonsworld.com/video/770434627559,166
551,http://static-media.fxx.com/img/FX_Networks_-_FXX/605/563/pay_pal.jpg,6.7,402,21,551,2014-05-11,2014,SABF15,25,Pay Pal,3.66,http://www.simpsonsworld.com/video/304502851923,51132
575,http://static-media.fxx.com/img/FX_Networks_-_FXX/529/403/TheSimpsons_TABF14_1280x720_533027395692.jpg,5.9,532,1,575,2015-09-27,2015,TABF14,27,Every Man's Dream,3.28,http://www.simpsonsworld.com/video/770426947744,187
572,http://static-media.fxx.com/img/FX_Networks_-_FXX/307/715/TheSimpsons_TABF13_1280x720_438403139879.jpg,6.2,330,20,572,2015-05-03,2015,TABF13,26,Let's Go Fly a Coot,3.12,http://www.simpsonsworld.com/video/438408259807,40783
569,http://static-media.fxx.com/img/FX_Networks_-_FXX/72/71/TheSimpsons_TABF10_b_1280x720_420421187988.jpg,6.7,374,17,569,2015-03-15,2015,TABF10,26,Waiting for Duffman,3.59,http://www.simpsonsworld.com/video/420981315819,37874
581,http://static-media.fxx.com/img/FX_Networks_-_FXX/520/119/fox_TheSimpsons_TABF20_hulu.jpg,6.3,328,7,581,2015-11-22,2015,TABF20,27,Lisa with an 'S',5.64,http://www.simpsonsworld.com/video/770417219938,145
563,http://static-media.fxx.com/img/FX_Networks_-_FXX/716/351/TheSimpsons_TABF05_2500_1280x720_383000643563.jpg,7.3,434,11,563,2015-01-11,2015,TABF05,26,Bart's New Friend,4.28,http://www.simpsonsworld.com/video/383002179865,39702
587,http://static-media.fxx.com/img/FX_Networks_-_FXX/541/615/Simpsons_27_13.jpg,6.3,252,13,587,2016-02-14,2016,VABF07,27,Love Is in the N2-O2-Ar-CO2-Ne-He-CH4,2.89,http://www.simpsonsworld.com/video/770439747712,158
571,http://static-media.fxx.com/img/FX_Networks_-_FXX/850/987/TheSimpsons_TABF12_1280x720_434681923645.jpg,6.9,347,19,571,2015-04-26,2015,TABF12,26,The Kids Are All Fight,3.33,http://www.simpsonsworld.com/video/434682947703,42123
568,http://static-media.fxx.com/img/FX_Networks_-_FXX/880/1014/TheSimpsons_TABF09_2500_1280x720_410016835657.jpg,6.9,377,16,568,2015-03-08,2015,TABF09,26,Sky Police,3.79,http://www.simpsonsworld.com/video/410018371522,43023
553,http://static-media.fxx.com/img/FX_Networks_-_FXX/942/347/Simpsons_26_01.jpg,5.8,652,1,553,2014-09-28,2014,SABF20,26,Clown in the Dumps,8.53,http://www.simpsonsworld.com/video/334920771636,29526
555,http://static-media.fxx.com/img/FX_Networks_-_FXX/154/303/Simpsons_26_03.jpg,6.5,457,3,555,2014-10-12,2014,SABF19,26,Super Franchise Me,7.33,http://www.simpsonsworld.com/video/340536899599,42912
