timestamp,how_old_are_you,industry,job_title,additional_context_on_job_title,annual_salary,other_monetary_comp,currency,currency_other,additional_context_on_income,country,state,city,overall_years_of_professional_experience,years_of_experience_in_field,highest_level_of_education_completed,gender,race
4/27/2021 11:03:57,35-44,Government and Public Administration,Staff Services Manager II,"Mid-level manager, team of 13",78000,0,USD,NA,NA,USA,California,Sacramento,8 - 10 years,5-7 years,Master's degree,Woman,White
4/27/2021 11:03:59,25-34,"Accounting, Banking & Finance",Receptionist,NA,37000,0,USD,NA,NA,USA,Texas,Dallas,2 - 4 years,2 - 4 years,College degree,Woman,White
4/27/2021 11:04:01,45-54,Engineering or Manufacturing,Lead Engineer,supervisor level with no direct reports,100000,50000,USD,NA,NA,USA,Georgia,waynesboro,21 - 30 years,21 - 30 years,College degree,Woman,White
4/27/2021 11:04:01,35-44,"Marketing, Advertising & PR",Senior Copywriter,NA,35000,6000,GBP,NA,NA,UK,NA,Liverpool,11 - 20 years,11 - 20 years,College degree,Woman,White
4/27/2021 11:04:02,25-34,Government and Public Administration,Manager of Data Integrity and Prospect Research,NA,65000,0,USD,NA,NA,USA,Virginia,Richmond,5-7 years,5-7 years,College degree,Man,White
4/27/2021 11:04:04,25-34,Computing or Tech,Principal Software Engineer,NA,187500,5000,USD,NA,NA,United States,Pennsylvania,Pittsburgh,8 - 10 years,5-7 years,College degree,Woman,White
4/27/2021 11:04:04,25-34,Computing or Tech,Intelligence Analyst,NA,110000,20000,USD,NA,"Around 20,000 a year in stock",USA,Virginia,"Arlington, VA",8 - 10 years,8 - 10 years,Master's degree,Man,White
4/27/2021 11:04:04,25-34,Nonprofits,Project Manager,NA,66625,1500,USD,NA,NA,US,Massachusetts,Boston,8 - 10 years,8 - 10 years,College degree,Woman,"Hispanic, Latino, or Spanish origin, White"
4/27/2021 11:04:07,35-44,Computing or Tech,Mobile developer,NA,144600,2500,USD,NA,NA,USA,Massachusetts,Boston,5-7 years,5-7 years,PhD,Woman,White
4/27/2021 11:04:09,35-44,Computing or Tech,Product Design Director,NA,200850,40000,USD,NA,NA,USA,North Carolina,Chapel Hill,11 - 20 years,11 - 20 years,College degree,Woman,White
4/27/2021 11:04:10,25-34,Engineering or Manufacturing,Engineering specialist,NA,120000,1500,CAD,NA,NA,Canada,NA,Vancouver,11 - 20 years,8 - 10 years,College degree,Woman,White
4/27/2021 11:04:10,25-34,Retail,"Manager, Total Rewards",NA,97500,10000,CAD,NA,NA,Canada,NA,Toronto,8 - 10 years,8 - 10 years,College degree,Woman,White
4/27/2021 11:04:11,35-44,Education (Higher Education),Research and Development Engineer 3,Process Engineer in a University Cleanroom,96000,NA,USD,NA,NA,United States,California,Berkeley,5-7 years,5-7 years,PhD,Woman,White
4/27/2021 11:04:11,25-34,Education (Primary/Secondary),Science Teacher (Public High School),NA,53000,1000,USD,NA,NA,United States,Minnesota,Apple Valley,5-7 years,1 year or less,Master's degree,Woman,White
4/27/2021 11:04:15,25-34,"Marketing, Advertising & PR","Senior Manager, Programmatic",NA,95000,10000,USD,NA,NA,United States,Illinois,Chicago,8 - 10 years,8 - 10 years,College degree,Woman,White
4/27/2021 11:04:19,35-44,Computing or Tech,Managed Services Sales Coordinator,Primarily proposal writing,72000,3000,USD,NA,NA,United States,Michigan,Troy,11 - 20 years,5-7 years,Master's degree,Woman,White
4/27/2021 11:04:22,35-44,Media & Digital,Editor,NA,52000,0,CAD,NA,NA,Canada,NA,Toronto,11 - 20 years,11 - 20 years,College degree,Woman,Asian or Asian American
4/27/2021 11:04:23,35-44,Engineering or Manufacturing,Water Resources Engineer,NA,106000,0,USD,NA,NA,United States,Massachusetts,Boston,21 - 30 years,11 - 20 years,Master's degree,Woman,White
4/27/2021 11:04:24,25-34,Government and Public Administration,Program Officer,NA,115000,NA,USD,NA,NA,United States,District of Columbia,DC,5-7 years,5-7 years,PhD,Woman,"Hispanic, Latino, or Spanish origin"
4/27/2021 11:04:26,25-34,Business or Consulting,Account Supervisor,Program Manager for Government contractor,100500,3000,USD,NA,NA,US,District of Columbia,Washington,11 - 20 years,5-7 years,College degree,Woman,White
4/27/2021 11:04:27,25-34,Law,Legal Secretary,NA,33200,0,USD,NA,NA,US,New Jersey,Linden,8 - 10 years,2 - 4 years,Some college,Woman,White
4/27/2021 11:04:27,35-44,Government and Public Administration,Policy Lead,Middle manager policy role in public sector.,52000,0,GBP,NA,NA,United Kingdom,NA,Bristol,11 - 20 years,11 - 20 years,Master's degree,Woman,White
4/27/2021 11:04:28,25-34,Education (Higher Education),Coordinator,NA,52000,NA,USD,NA,NA,United States,Illinois,Champaign,8 - 10 years,8 - 10 years,College degree,Woman,White
4/27/2021 11:04:29,25-34,Government and Public Administration,Senior Advisor,NA,79000,NA,CAD,NA,NA,Canada,NA,Nova Scotia,8 - 10 years,5-7 years,Master's degree,Woman,White
4/27/2021 11:04:29,65 or over,Property or Construction,Safety Director,NA,104000,25000,USD,NA,Extra money comes from overtime,USA,Georgia,Atlanta,41 years or more,21 - 30 years,College degree,Man,White
4/27/2021 11:04:31,25-34,Education (Primary/Secondary),Secondary School Educator,NA,75000,NA,CAD,NA,NA,Canada,NA,Ottawa,5-7 years,2 - 4 years,College degree,Woman,Asian or Asian American
4/27/2021 11:04:32,18-24,Biotechnology,Downstream Process Development Research Associate I,NA,52000,NA,USD,NA,NA,United States,Texas,Bryan,2 - 4 years,2 - 4 years,College degree,Woman,White
4/27/2021 11:04:33,25-34,Education (Higher Education),Research Programmer,Software engineering without the job title,70000,0,USD,NA,"Technically 37.5 hours, but ends up being pretty similar",USA,Rhode Island,Providence,5-7 years,2 - 4 years,Master's degree,Non-binary,White
4/27/2021 11:04:34,25-34,Nonprofits,"Manager, Natural Climate Solutions Development",This is NOT a non-profit development/fundraising role.,84000,8400,USD,NA,NA,United States,District of Columbia,District of Columbia,5-7 years,5-7 years,Master's degree,Woman,White
4/27/2021 11:04:35,35-44,Health care,AR Manager,NA,53000,0,USD,NA,NA,United States,Illinois,Bloomington,21 - 30 years,11 - 20 years,Master's degree,Woman,White
4/27/2021 11:04:36,25-34,Computing or Tech,Technical specialist,NA,34000,2000,USD,NA,NA,United States,Minnesota,Minneapolis,5-7 years,5-7 years,College degree,Woman,White
4/27/2021 11:04:38,25-34,Nonprofits,Programming Coordinator,NA,38000,NA,USD,NA,NA,US,Colorado,Denver,5-7 years,2 - 4 years,Master's degree,Woman,White
4/27/2021 11:04:39,25-34,Government and Public Administration,City Research Scientist II,Public Health Research and Data Analysis,87000,0,USD,NA,NA,United States,New York,New York City,5-7 years,2 - 4 years,Master's degree,Man,White
4/27/2021 11:04:39,35-44,Aerospace contracting,Project engineer,Cost/schedule analyst,122000,3600,USD,NA,NA,United States,NA,Colorado Springs,11 - 20 years,11 - 20 years,Master's degree,Woman,White
4/27/2021 11:04:40,25-34,Insurance,Pricing Analyst,NA,45000,2000,GBP,NA,NA,UK,NA,Southampton,5-7 years,2 - 4 years,Master's degree,Woman,White
4/27/2021 11:04:41,25-34,Engineering or Manufacturing,Marketing Coordinator,NA,45000,NA,USD,NA,NA,United States,South Carolina,Columbia,5-7 years,5-7 years,Some college,Woman,White
4/27/2021 11:04:41,35-44,Computing or Tech,Tech Writer,NA,88000,NA,USD,NA,NA,USA,Maryland,prefer not to answer,11 - 20 years,8 - 10 years,College degree,Woman,Another option not listed here or prefer not to answer
4/27/2021 11:04:43,35-44,Nonprofits,Supervisory Archivist,at a historical society,71000,0,USD,NA,NA,US,New York,NYC (remotely),11 - 20 years,8 - 10 years,Master's degree,Woman,White
4/27/2021 11:04:43,45-54,Education (Higher Education),Program Manager,NA,71000,NA,USD,NA,NA,USA,Illinois,Champaign,11 - 20 years,11 - 20 years,PhD,Woman,White
4/27/2021 11:04:45,35-44,Education (Primary/Secondary),High School Teacher at an independent school,NA,75000,0,USD,NA,NA,United States,Georgia,Atlanta,11 - 20 years,11 - 20 years,Master's degree,Woman,White
4/27/2021 11:04:48,35-44,Education (Higher Education),Manager of Market Research and Data,"My group is responsible for data gathering, analysis and reporting to state and federal stakeholders as well as strategic initiatives and grant applications. We also manage the organization's CRM system.",80000,0,USD,NA,NA,USA,North Carolina,Raleigh,21 - 30 years,11 - 20 years,Master's degree,Woman,White
4/27/2021 11:04:49,35-44,Computing or Tech,Senior Business Analyst,NA,125000,NA,USD,NA,NA,US,New York,New York,11 - 20 years,8 - 10 years,Master's degree,Woman,White
4/27/2021 11:04:50,35-44,Education (Higher Education),Special Collections Cataloger,Tenure-track faculty,65000,NA,USD,NA,NA,United States,Pennsylvania,-----,11 - 20 years,11 - 20 years,Master's degree,Woman,White
4/27/2021 11:04:52,45-54,Education (Primary/Secondary),Teacher,NA,36000,NA,GBP,NA,NA,Scotland,NA,Edinburgh,21 - 30 years,21 - 30 years,College degree,Woman,White
4/27/2021 11:04:55,25-34,Nonprofits,Graphic Designer / Webmaster,NA,55000,NA,USD,NA,NA,U.S.,Minnesota,St. Paul,2 - 4 years,2 - 4 years,College degree,Woman,White
4/27/2021 11:04:55,25-34,Art & Design,Senior UX Designer,NA,90000,1000,USD,NA,NA,USA,Pennsylvania,Philadelphia,11 - 20 years,8 - 10 years,College degree,Woman,White
4/27/2021 11:04:58,35-44,Engineering or Manufacturing,Senior Engineer,NA,105000,13000,USD,NA,NA,United States,Pennsylvania,Philadelphia (suburbs),8 - 10 years,5-7 years,College degree,Woman,White
4/27/2021 11:05:01,35-44,Nonprofits,Office Administrator,NA,60000,0,CAD,NA,NA,Canada,NA,"Kitchener, Ontario",11 - 20 years,11 - 20 years,High School,Man,White
4/27/2021 11:05:01,35-44,Education (Higher Education),Digital Archivist,NA,65000,0,USD,NA,NA,United States,Pennsylvania,Philadelphia,11 - 20 years,8 - 10 years,Master's degree,Woman,White
4/27/2021 11:05:02,25-34,Business or Consulting,Associate Program Manager,Associate Program Manager of a utility sponsored energy efficiency program,85000,8500,USD,NA,Bonuses are variable based on company's performance and the amount referenced is the full amount I'm possible to receive,USA,Illinois,Chicago,5-7 years,2 - 4 years,Master's degree,Woman,White
4/27/2021 11:05:02,25-34,Sales,CSR,NA,39520,NA,USD,NA,NA,United States,Oregon,Portland,8 - 10 years,2 - 4 years,Some college,Woman,White
4/27/2021 11:05:04,45-54,Computing or Tech,Director of Engineering,NA,115000,NA,CAD,NA,NA,Canada,NA,Ottawa,21 - 30 years,21 - 30 years,Master's degree,Man,White
4/27/2021 11:05:05,25-34,Energy,Fuel Efficiency Program Analyst,NA,76000,0,USD,NA,NA,United States,District of Columbia,Washington,8 - 10 years,5-7 years,College degree,Woman,White
4/27/2021 11:05:05,55-64,Business or Consulting,Senior Vice President of Marketing,NA,180000,60000,USD,NA,NA,USA,Massachusetts,Boston,31 - 40 years,11 - 20 years,Master's degree,Woman,White
4/27/2021 11:05:07,25-34,"Accounting, Banking & Finance",Accounting Manager,NA,90000,0,USD,NA,NA,US,Tennessee,Nashville,5-7 years,5-7 years,Master's degree,Woman,White
4/27/2021 11:05:07,25-34,Government and Public Administration,Technical Assistant,Data Entry and Processing for local government,19300,0,GBP,NA,NA,United Kingdom,NA,"Newcastle, UK",5-7 years,5-7 years,Some college,Man,White
4/27/2021 11:05:07,55-64,Business or Consulting,Senior Administrative Assistant and Project Specialist,NA,65000,5000,USD,NA,NA,US,Washington,Seattle,31 - 40 years,11 - 20 years,Master's degree,Woman,White
4/27/2021 11:05:08,45-54,Computing or Tech,senior web application developer,NA,98166,0,USD,NA,NA,United States,Indiana,Indianapolis,21 - 30 years,21 - 30 years,College degree,Man,White
4/27/2021 11:05:08,25-34,Education (Primary/Secondary),Director of Development,NA,63500,NA,USD,NA,NA,United States,Tennessee,Nashville,5-7 years,1 year or less,Master's degree,Woman,White
4/27/2021 11:05:08,55-64,Environmental regulation,Quality Assurance Lead,NA,58,NA,USD,NA,NA,USA,Maryland,Baltimore,21 - 30 years,8 - 10 years,Master's degree,Woman,White
4/27/2021 11:05:08,25-34,Nonprofits,Program & Administrative Assistant,NA,47700,2000,USD,NA,NA,USA,District of Columbia,Washington,5-7 years,2 - 4 years,College degree,Woman,White
4/27/2021 11:05:08,55-64,Computing or Tech,Chief Engineer,NA,87000,8000,USD,NA,NA,USA,Ohio,Solon,31 - 40 years,31 - 40 years,Some college,Man,White
4/27/2021 11:05:12,35-44,Media & Digital,Production Co-ordinator,Ecomm Studio,48000,NA,CAD,NA,NA,Canada,NA,Montreal,8 - 10 years,8 - 10 years,College degree,Woman,White
4/27/2021 11:05:14,25-34,Education (Higher Education),Administrative Support Assistant,NA,39635,305,USD,NA,NA,United States,Florida,Gainesville,2 - 4 years,2 - 4 years,College degree,Woman,"Asian or Asian American, White"
4/27/2021 11:05:14,25-34,Government and Public Administration,Administrative Officer,Budget Officer + Office Manager,53000,NA,USD,NA,NA,United States,North Carolina,Troy,8 - 10 years,5-7 years,College degree,Man,White
4/27/2021 11:05:17,45-54,Education (Primary/Secondary),Executive Secretary/Secretary to Board of School Trustees,NA,47255,0,USD,NA,NA,United States,Indiana,Lafayette,31 - 40 years,21 - 30 years,Some college,Woman,White
4/27/2021 11:05:17,35-44,Property or Construction,Senior Project Manager,NA,196000,10000,USD,NA,NA,United States,New York,New York,11 - 20 years,11 - 20 years,College degree,Man,White
4/27/2021 11:05:17,45-54,Health care,Customer Service Representative,Pharma call center,34361,0,USD,NA,NA,USA,Arizona,Phoenix,21 - 30 years,11 - 20 years,College degree,Woman,"Hispanic, Latino, or Spanish origin, White"
4/27/2021 11:05:17,45-54,Engineering or Manufacturing,Senior Device Engineer,"develop delivery systems for pharmaceuticals (syringes, autoinjectors..)",150000,20000,USD,NA,NA,USA,Colorado,Boulder,21 - 30 years,21 - 30 years,College degree,Woman,White
4/27/2021 11:05:17,25-34,Hospitality & Events,Graphic Designer,Solo in-house graphic designer & illustrator,75000,0,USD,NA,NA,United States,New York,New York City,5-7 years,5-7 years,College degree,Woman,White
4/27/2021 11:05:18,35-44,Education (Higher Education),Graduate Student,NA,20000,NA,USD,NA,Doesn't include tuition remission,United States,Minnesota,Minneapolis,5-7 years,2 - 4 years,College degree,Woman,White
4/27/2021 11:05:21,25-34,Computing or Tech,Senior Financial Analyst,NA,107220,16083,USD,NA,NA,US,Texas,Austin,8 - 10 years,5-7 years,Master's degree,Woman,Asian or Asian American
4/27/2021 11:05:22,35-44,Government and Public Administration,Case Manager,Worker's Comp,78000,NA,CAD,NA,NA,Canada,NA,Halifax,11 - 20 years,5-7 years,College degree,Woman,"Asian or Asian American, White"
4/27/2021 11:05:23,45-54,Education (Higher Education),Professor,NA,95000,10000,USD,NA,"I am, like most professors, a ""9 month"" employee, which means that our contract year has three months ""off"" - which is when we have to do most of our research.",USA,Michigan,Detroit,21 - 30 years,11 - 20 years,PhD,Man,White
4/27/2021 11:05:23,45-54,Sales,Office Manager,NA,42000,NA,USD,NA,NA,USA,New Hampshire,Portsmouth,21 - 30 years,11 - 20 years,Master's degree,Woman,White
4/27/2021 11:05:24,25-34,"Accounting, Banking & Finance",Finance Manager,Ad Sales,100000,5000,USD,NA,NA,USA,New York,New York,5-7 years,5-7 years,Master's degree,Woman,White
4/27/2021 11:05:25,25-34,Computing or Tech,Software engineer,NA,50000,NA,GBP,NA,NA,United Kingdom,NA,Nottingham,5-7 years,2 - 4 years,High School,Man,White
4/27/2021 11:05:25,35-44,Education (Higher Education),Medical Education Director,NA,119000,2500,USD,NA,NA,USA,California,Prefer not to answer,11 - 20 years,8 - 10 years,College degree,Woman,White
4/27/2021 11:05:26,45-54,"Accounting, Banking & Finance",Finance acountant,NA,66000,5000,GBP,NA,NA,UK,NA,Glasgow,21 - 30 years,21 - 30 years,Master's degree,Woman,White
4/27/2021 11:05:27,35-44,Transport or Logistics,Program manager,NA,60000,3000,EUR,NA,NA,The Netherlands,NA,The hague,11 - 20 years,11 - 20 years,Master's degree,Woman,"Hispanic, Latino, or Spanish origin, White"
4/27/2021 11:05:27,25-34,Education (Higher Education),Associate Director of Donor Relations,NA,75000,NA,USD,NA,NA,USA,Massachusetts,Boston,11 - 20 years,11 - 20 years,College degree,Woman,White
4/27/2021 11:05:28,35-44,Education (Higher Education),Assistant Professor of Law,NA,145000,15000,USD,NA,NA,United States,New York,New York City,2 - 4 years,2 - 4 years,PhD,Woman,White
4/27/2021 11:05:33,25-34,"Accounting, Banking & Finance",investment advisor,NA,95000,10000,CAD,NA,NA,Canada,NA,Calgary,2 - 4 years,2 - 4 years,College degree,Woman,White
4/27/2021 11:05:33,25-34,"Marketing, Advertising & PR",Content Writer,NA,48000,2000,USD,NA,NA,United States,Missouri,Kansas City,5-7 years,5-7 years,Master's degree,Woman,White
4/27/2021 11:05:33,45-54,"Accounting, Banking & Finance",Assistant Director of Finance,NA,75000,10000,USD,NA,NA,USA,Illinois,Chicago,21 - 30 years,21 - 30 years,College degree,Woman,White
4/27/2021 11:05:34,35-44,Media & Digital,Digital Marketing Specialist,NA,42000,0,USD,NA,NA,United States,Pennsylvania,Scranton,11 - 20 years,11 - 20 years,College degree,Woman,White
4/27/2021 11:05:36,35-44,Nonprofits,Archivist,NA,54000,100,USD,NA,NA,US,Iowa,Dubuque,21 - 30 years,8 - 10 years,Master's degree,Woman,White
4/27/2021 11:05:37,35-44,Education (Higher Education),Assistant Professor,NA,92000,NA,CAD,NA,NA,Canada,NA,"London, ON CAN",5-7 years,5-7 years,PhD,Woman,White
4/27/2021 11:05:42,45-54,Government and Public Administration,Head of Public Sector Data Sharing,NA,50870,0,GBP,NA,NA,United Kingdom,NA,Cardiff,21 - 30 years,11 - 20 years,Master's degree,Woman,White
4/27/2021 11:05:43,55-64,Medical Devices,QC Supervisor,NA,60000,500,USD,NA,NA,USA,California,San Diego,31 - 40 years,31 - 40 years,College degree,Woman,Middle Eastern or Northern African
4/27/2021 11:05:44,55-64,Nonprofits,Content Development Manager,NA,101500,0,USD,NA,NA,United States,District of Columbia,Washington,31 - 40 years,21 - 30 years,College degree,Woman,White
4/27/2021 11:05:44,25-34,Academic research (Psychology),Clinical Research Assistant II,NA,36883,150,USD,NA,NA,USA,Massachusetts,Belmont,2 - 4 years,2 - 4 years,College degree,Woman,White
4/27/2021 11:05:45,25-34,Media & Digital,news editor,NA,85000,0,USD,NA,NA,USA,New York,New York City,11 - 20 years,11 - 20 years,College degree,Woman,White
4/27/2021 11:05:45,25-34,Education (Higher Education),Senior Administrative Assistant,NA,62000,0,USD,NA,NA,United States,Massachusetts,Cambridge,5-7 years,5-7 years,College degree,Woman,White
4/27/2021 11:05:46,35-44,Computing or Tech,Product Manager,NA,130000,0,USD,NA,NA,United States,NA,Philadelphia,11 - 20 years,11 - 20 years,College degree,Man,White
4/27/2021 11:05:46,55-64,Education (Higher Education),career services professional,NA,55000,NA,USD,NA,NA,United States,NA,Indianapolis,21 - 30 years,21 - 30 years,Master's degree,Woman,White
4/27/2021 11:05:47,25-34,Government and Public Administration,Project Coordinator,NA,59015,NA,USD,NA,NA,United States,New Jersey,Whippany,8 - 10 years,8 - 10 years,College degree,Woman,White
4/27/2021 11:05:48,25-34,Business or Consulting,"Associate Manager, Education",Beauty industry education for sales teams,71000,3000,USD,NA,NA,USA,New York,New York City,5-7 years,5-7 years,College degree,Woman,White
4/27/2021 11:05:49,45-54,Social Work,Director,NA,53000,NA,USD,NA,NA,USA,Wisconsin,Jefferson,21 - 30 years,8 - 10 years,Master's degree,Woman,White
4/27/2021 11:05:49,25-34,public library,Senior Librarian,NA,63000,0,USD,NA,NA,USA,Virginia,Manassas,5-7 years,5-7 years,Master's degree,Woman,White
4/27/2021 11:05:49,35-44,Engineering or Manufacturing,Project Estimator,NA,95000,5000,USD,NA,"Bonus average was used; it varied depending on profitability.  Also, have 4 weeks PTO.",United States,Michigan,Detroit Metro area,21 - 30 years,21 - 30 years,College degree,Woman,White
4/27/2021 11:05:51,35-44,Surveying,Accounts manager,NA,85000,0,AUD/NZD,NA,NA,Australia,NA,Perth,11 - 20 years,8 - 10 years,Master's degree,Man,White
4/27/2021 11:05:51,35-44,Nonprofits,Customer Advocate,Customer support,35000,3000,USD,NA,NA,United States,Pennsylvania,Newtown Square,11 - 20 years,11 - 20 years,Some college,Woman,White
