town11cd,town11nm,population_2011,size_flag,rgn11nm,coastal,coastal_detailed,ttwa11cd,ttwa11nm,ttwa_classification,job_density_flag,income_flag,university_flag,level4qual_residents35_64_2011,ks4_2012_2013_counts,key_stage_2_attainment_school_year_2007_to_2008,key_stage_4_attainment_school_year_2012_to_2013,level_2_at_age_18,level_3_at_age_18,activity_at_age_19_full_time_higher_education,activity_at_age_19_sustained_further_education,activity_at_age_19_appprenticeships,activity_at_age_19_employment_with_earnings_above_0,activity_at_age_19_employment_with_earnings_above_10_000,activity_at_age_19_out_of_work,highest_level_qualification_achieved_by_age_22_less_than_level_1,highest_level_qualification_achieved_by_age_22_level_1_to_level_2,highest_level_qualification_achieved_by_age_22_level_3_to_level_5,highest_level_qualification_achieved_by_age_22_level_6_or_above,highest_level_qualification_achieved_b_age_22_average_score,education_score
E34000068,Studley BUA,6203,Small Towns,West Midlands,Non-coastal,Smaller non-coastal town,E30000169,Birmingham,Majority conurbation,Working,Lower deprivation towns,No university,Medium,77,85.71428571428571,68.83116883116884,92.20779220779221,62.33766233766234,45.45454545454545,19.480519480519483,NA,42.857142857142854,20.77922077922078,NA,NA,16,50.7,33.3,3.883116883116883,4.304494117
E34000086,Irthlingborough BUA,7502,Small Towns,East Midlands,Non-coastal,Smaller non-coastal town,E30000224,Kettering and Wellingborough,Majority town and city (small),Residential,Mid deprivation towns,No university,Low,92,68.23529411764706,55.434782608695656,75,34.78260869565217,16.304347826086957,31.521739130434785,21.73913043478261,47.82608695652174,27.173913043478258,11.956521739130435,NA,30.9,51.1,NA,3,-4.001866891
E34000109,Freshwater BUA,7829,Small Towns,South East,Coastal,Smaller seaside town,E30000070,Isle of Wight,Majority town and city (small),Residential,Higher deprivation towns,No university,Medium,71,56.060606060606055,46.478873239436616,76.05633802816901,42.25352112676056,28.169014084507044,25.352112676056336,14.084507042253522,54.929577464788736,30.985915492957744,NA,NA,30,44.3,NA,3.2253521126760565,-5.023115005
E34000115,Barnoldswick BUA,10435,Small Towns,North West,Non-coastal,Smaller non-coastal town,E30000182,Burnley,Majority town and city (Large Towns),Mixed,Mid deprivation towns,No university,Low,129,67.71653543307087,58.91472868217055,85.27131782945736,49.6124031007752,27.131782945736433,27.131782945736433,14.728682170542637,51.93798449612403,31.782945736434108,8.527131782945736,NA,16.8,57.3,22.9,3.4031007751937983,-1.26838592
E34000156,Wirksworth BUA,5038,Small Towns,East Midlands,Non-coastal,Smaller non-coastal town,E30000200,Derby,Majority town and city (Large Towns),Residential,Mid deprivation towns,No university,Medium,57,70.9090909090909,59.64912280701754,75.43859649122807,47.368421052631575,26.31578947368421,24.561403508771928,NA,43.859649122807014,31.57894736842105,NA,NA,30.9,49.1,NA,3.3157894736842106,-1.264372252
E34000161,Dalton-in-Furness BUA,7827,Small Towns,North West,Non-coastal,Smaller non-coastal town,E30000163,Barrow-in-Furness,Majority town and city (small),Residential,Mid deprivation towns,No university,Low,112,78.64077669902912,57.14285714285714,79.46428571428571,42.857142857142854,26.785714285714285,38.392857142857146,26.785714285714285,50.89285714285714,32.142857142857146,NA,NA,22.3,53.6,22.3,3.419642857142857,-0.718396082
E34000174,Bedlington BUA,16974,Small Towns,North East,Non-coastal,Smaller non-coastal town,E30000173,Blyth and Ashington,Majority town and city (small),Residential,Higher deprivation towns,No university,Low,213,59.72222222222222,51.173708920187785,86.85446009389672,40.375586854460096,25.821596244131456,35.2112676056338,25.352112676056336,50.70422535211267,23.943661971830984,12.676056338028168,NA,31.2,42.8,23.3,3.3098591549295775,-4.061010691
E34000175,Brigg BUA,6787,Small Towns,Yorkshire and The Humber,Non-coastal,Smaller non-coastal town,E30000260,Scunthorpe,Majority town and city (Large Towns),Working,Higher deprivation towns,No university,Low,62,74.6268656716418,72.58064516129032,88.70967741935483,48.38709677419355,32.25806451612903,20.967741935483872,NA,41.935483870967744,17.741935483870968,NA,NA,21.7,60,NA,3.3870967741935485,0.742113567
E34000181,Widnes BUA,61464,Medium Towns,North West,Non-coastal,Large non-coastal town,E30000284,Warrington and Wigan,Majority conurbation,Mixed,Higher deprivation towns,No university,Low,734,74.96542185338866,62.94277929155313,80.24523160762944,51.089918256130794,31.33514986376022,20.98092643051771,12.942779291553133,46.73024523160763,22.070844686648503,11.1716621253406,2.6,24.4,47.1,25.9,3.456403269754768,0.263105429
E34000182,Hethersett BUA,5520,Small Towns,East of England,Non-coastal,Smaller non-coastal town,E30000248,Norwich,Majority town and city (Large Towns),Residential,Lower deprivation towns,No university,Medium,63,76.19047619047619,68.25396825396825,90.47619047619048,55.55555555555556,31.746031746031743,20.634920634920633,17.46031746031746,57.14285714285714,19.047619047619047,NA,NA,18.5,47.7,NA,3.5555555555555554,1.608629917
E34000184,Coningsby Airfield BUA,5021,Small Towns,East Midlands,Non-coastal,Smaller non-coastal town,E30000174,Boston,Majority town and city (small),Mixed,Mid deprivation towns,No university,Low,48,73.46938775510205,54.166666666666664,75,29.166666666666668,20.833333333333336,31.25,22.916666666666664,54.166666666666664,29.166666666666668,NA,NA,36,44,NA,3.0208333333333335,-3.9569896
E34000188,Amble BUA,6025,Small Towns,North East,Coastal,Smaller seaside town,E30000173,Blyth and Ashington,Majority town and city (small),Residential,Higher deprivation towns,No university,Low,69,53.65853658536586,40.57971014492754,65.21739130434783,30.434782608695656,28.985507246376812,23.18840579710145,17.391304347826086,39.130434782608695,20.28985507246377,NA,NA,35.7,40,NA,3.1739130434782608,-7.090910923
E34000193,Skelton (Redcar and Cleveland) BUA,6535,Small Towns,North East,Non-coastal,Smaller non-coastal town,E30000093,Middlesbrough and Stockton,Majority town and city (Large Towns),Residential,Higher deprivation towns,No university,Low,91,85.0574712643678,60.43956043956044,86.81318681318682,50.54945054945055,27.472527472527474,24.175824175824175,16.483516483516482,47.25274725274725,14.285714285714285,10.989010989010989,NA,14.6,60.7,NA,3.5384615384615383,1.381818433
E34000231,Seaford BUA,22584,Medium Towns,South East,Coastal,Large seaside town,E30000204,Eastbourne,Majority town and city (Large Towns),Residential,Mid deprivation towns,No university,Medium,223,71.29186602870813,64.12556053811659,86.99551569506725,52.01793721973094,31.390134529147986,14.349775784753364,8.520179372197308,53.36322869955157,25.56053811659193,5.829596412556054,NA,17.9,56.7,24.6,3.5112107623318387,0.183946279
E34000234,Ryhill BUA,5150,Small Towns,Yorkshire and The Humber,Non-coastal,Smaller non-coastal town,E30000283,Wakefield and Castleford,Majority town and city (Large Towns),Residential,Higher deprivation towns,No university,Low,56,61.53846153846154,60.71428571428571,76.78571428571429,39.285714285714285,17.857142857142858,NA,NA,48.214285714285715,23.214285714285715,NA,NA,41.1,39.3,NA,3.017857142857143,-3.813706933
E34000242,Budleigh Salterton BUA,5185,Small Towns,South West,Coastal,Smaller seaside town,E30000206,Exeter,Majority town and city (Large Towns),Residential,Lower deprivation towns,No university,Medium,41,78.04878048780488,65.85365853658537,82.92682926829268,51.21951219512195,48.78048780487805,NA,NA,48.78048780487805,NA,NA,NA,24.4,34.1,NA,3.6341463414634148,1.419986073
E34000250,Great Dunmow BUA,7749,Small Towns,East of England,Non-coastal,Smaller non-coastal town,E30000188,Chelmsford,Majority town and city (Large Towns),Mixed,Lower deprivation towns,No university,Medium,76,82.85714285714286,60.526315789473685,86.8421052631579,43.42105263157895,26.31578947368421,14.473684210526317,NA,59.210526315789465,36.84210526315789,NA,NA,32,46.7,NA,3.25,-0.309563755
E34000271,Wideopen BUA,8976,Small Towns,North East,Non-coastal,Smaller non-coastal town,E30000245,Newcastle,Majority conurbation,Mixed,Mid deprivation towns,No university,Low,78,74.71264367816092,60.256410256410255,83.33333333333334,41.02564102564102,25.64102564102564,34.61538461538461,25.64102564102564,58.97435897435898,29.48717948717949,NA,NA,20.5,50,NA,3.448717948717949,-0.955169026
E34000273,Frodsham BUA,9032,Small Towns,North West,Non-coastal,Smaller non-coastal town,E30000284,Warrington and Wigan,Majority conurbation,Residential,Lower deprivation towns,No university,Medium,108,81.81818181818183,72.22222222222221,81.48148148148148,59.25925925925925,46.2962962962963,18.51851851851852,11.11111111111111,44.44444444444444,16.666666666666664,NA,NA,21.3,33.3,41.7,3.9166666666666665,3.999734957
E34000278,Rothwell BUA,7694,Small Towns,East Midlands,Non-coastal,Smaller non-coastal town,E30000224,Kettering and Wellingborough,Majority town and city (small),Residential,Higher deprivation towns,No university,Low,96,63.63636363636363,41.66666666666667,75,31.25,15.625,21.875,14.583333333333334,62.5,29.166666666666668,10.416666666666668,NA,38.3,42.6,NA,3.0208333333333335,-6.163408673
E34000290,Chard BUA,13074,Small Towns,South West,Non-coastal,Smaller non-coastal town,E30000293,Yeovil,Majority rural,Mixed,Higher deprivation towns,No university,Low,166,68.45238095238095,41.566265060240966,77.10843373493977,42.168674698795186,21.084337349397593,26.506024096385545,15.66265060240964,51.80722891566265,29.518072289156628,13.253012048192772,NA,34.8,44.5,18.3,3.1506024096385543,-4.268131254
E34000306,Hook (Hart) BUA,7934,Small Towns,South East,Non-coastal,Smaller non-coastal town,E30000164,Basingstoke,Majority town and city (Large Towns),Working,Lower deprivation towns,No university,High,100,75.75757575757575,71,86,61,55.00000000000001,11,NA,53,23,NA,NA,17.2,34.3,45.5,4.11,3.860304863
E34000310,Rainworth BUA,7693,Small Towns,East Midlands,Non-coastal,Smaller non-coastal town,E30000240,Mansfield,Majority town and city (Large Towns),Residential,Higher deprivation towns,No university,Low,87,70.45454545454545,60.91954022988506,80.45977011494253,51.724137931034484,28.735632183908045,31.03448275862069,18.39080459770115,52.87356321839081,33.33333333333333,13.793103448275861,NA,27.1,49.4,NA,3.5172413793103448,-0.241286848
E34000313,Beverley BUA,30587,Medium Towns,Yorkshire and The Humber,Non-coastal,Large non-coastal town,E30000220,Hull,Majority town and city (Large Towns),Working,Lower deprivation towns,No university,Medium,342,81.12676056338029,64.91228070175438,87.71929824561403,58.47953216374269,38.01169590643275,22.807017543859647,15.497076023391813,45.614035087719294,19.005847953216374,8.771929824561402,NA,15.2,51,32.3,3.7865497076023393,2.763057391
E34000327,Haverhill BUA,27041,Medium Towns,East of England,Non-coastal,Large non-coastal town,E30000186,Cambridge,Majority town and city (Large Towns),Mixed,Mid deprivation towns,No university,Low,322,65.53846153846153,57.14285714285714,92.2360248447205,42.54658385093168,27.95031055900621,18.944099378881987,13.043478260869565,58.38509316770186,34.47204968944099,7.453416149068323,NA,34.3,41.4,23.1,3.3198757763975157,-2.564226331
E34000353,St Leonards BUA,5984,Small Towns,South West,Non-coastal,Smaller non-coastal town,E30000175,Bournemouth,Majority town and city (Large Towns),Residential,Lower deprivation towns,No university,Medium,39,93.33333333333333,69.23076923076923,92.3076923076923,69.23076923076923,51.28205128205128,NA,NA,53.84615384615385,NA,NA,NA,NA,43.2,NA,4.153846153846154,6.610611497
E34000360,Upton (Wakefield) BUA,5874,Small Towns,Yorkshire and The Humber,Non-coastal,Smaller non-coastal town,E30000283,Wakefield and Castleford,Majority town and city (Large Towns),Residential,Higher deprivation towns,No university,Low,85,73.25581395348837,75.29411764705883,94.11764705882352,41.17647058823529,23.52941176470588,22.35294117647059,14.117647058823529,47.05882352941176,30.58823529411765,NA,NA,31.3,55.4,NA,3.1294117647058823,-0.513536679
E34000363,Wincanton BUA,5435,Small Towns,South West,Non-coastal,Smaller non-coastal town,E30000293,Yeovil,Majority rural,Working,Mid deprivation towns,No university,Low,63,66.66666666666666,36.507936507936506,76.19047619047619,33.33333333333333,23.809523809523807,23.809523809523807,NA,55.55555555555556,28.57142857142857,NA,NA,35.5,45.2,NA,3.0634920634920637,-6.01236232
E34000387,Chinnor BUA,5473,Small Towns,South East,Non-coastal,Smaller non-coastal town,E30000218,High Wycombe and Aylesbury,Majority town and city (Large Towns),Residential,Lower deprivation towns,No university,Medium,74,80.28169014084507,44.5945945945946,79.72972972972973,54.054054054054056,40.54054054054054,14.864864864864865,NA,50,24.324324324324326,NA,NA,29.2,33.3,34.7,3.635135135135135,-0.164720472
E34000396,Thurcroft BUA,5115,Small Towns,Yorkshire and The Humber,Non-coastal,Smaller non-coastal town,E30000261,Sheffield,Majority conurbation,Residential,Higher deprivation towns,No university,Low,62,66.66666666666666,45.16129032258064,72.58064516129032,32.25806451612903,16.129032258064516,29.03225806451613,19.35483870967742,35.483870967741936,NA,16.129032258064516,NA,41.7,45,NA,2.661290322580645,-6.371799113
E34000403,Exmouth BUA,34432,Medium Towns,South West,Coastal,Large seaside town,E30000206,Exeter,Majority town and city (Large Towns),Residential,Mid deprivation towns,No university,Medium,389,67.36292428198433,51.670951156812336,83.80462724935732,42.9305912596401,25.70694087403599,16.709511568123396,12.853470437017995,48.84318766066838,23.13624678663239,6.169665809768637,NA,38.2,39.5,20.7,3.151670951156812,-3.325032651
E34000409,Bolton-le-Sands BUA,6995,Small Towns,North West,Non-coastal,Smaller non-coastal town,E30000076,Lancaster and Morecambe,Majority town and city (small),Residential,Lower deprivation towns,No university,Medium,70,84,82.85714285714286,97.14285714285714,65.71428571428571,57.14285714285714,NA,NA,51.42857142857142,17.142857142857142,NA,NA,20,37.1,42.9,4.085714285714285,6.357287162
E34000416,Crediton BUA,7835,Small Towns,South West,Non-coastal,Smaller non-coastal town,E30000206,Exeter,Majority town and city (Large Towns),Working,Mid deprivation towns,No university,Medium,94,72,58.51063829787234,84.04255319148936,43.61702127659575,21.27659574468085,22.340425531914892,10.638297872340425,50,23.404255319148938,NA,NA,34,43.6,NA,3.234042553191489,-1.812283999
E34000430,Henley-on-Thames BUA,11494,Small Towns,South East,Non-coastal,Smaller non-coastal town,E30000256,Reading,Majority town and city (Large Towns),Working,Lower deprivation towns,No university,High,100,81,68,83,64,50,NA,NA,50,24,NA,NA,17.8,44.6,34.7,3.72,3.362878498
E34000440,Snodland BUA,10211,Small Towns,South East,Non-coastal,Smaller non-coastal town,E30000242,Medway,Majority town and city (Large Towns),Residential,Higher deprivation towns,No university,Low,125,85.48387096774194,54.400000000000006,79.2,39.2,16,16,10.4,51.2,32.800000000000004,10.4,NA,44.1,37.8,NA,2.896,-1.970367969
E34000458,Meltham BUA,7836,Small Towns,Yorkshire and The Humber,Non-coastal,Smaller non-coastal town,E30000219,Huddersfield,Majority conurbation,Residential,Mid deprivation towns,No university,Medium,97,81.9047619047619,79.38144329896907,95.87628865979381,64.94845360824742,51.546391752577314,18.556701030927837,16.49484536082474,48.45360824742268,20.618556701030926,NA,NA,NA,48.5,41.2,4.123711340206185,5.804185058
E34000469,Minehead BUA,11981,Small Towns,South West,Coastal,Smaller seaside town,E30000095,Minehead,Majority rural,Working,Higher deprivation towns,No university,Low,111,64.81481481481481,48.64864864864865,88.28828828828829,45.94594594594595,27.027027027027028,26.126126126126124,10.81081081081081,50.45045045045045,23.423423423423422,NA,NA,31.3,41.1,26.8,3.4414414414414414,-2.847094207
E34000473,Daventry BUA,23879,Medium Towns,East Midlands,Non-coastal,Large non-coastal town,E30000247,Northampton,Majority town and city (Large Towns),Working,Mid deprivation towns,No university,Low,315,71.77914110429448,50.476190476190474,73.96825396825398,37.46031746031746,28.57142857142857,18.095238095238095,12.063492063492063,58.730158730158735,30.158730158730158,8.253968253968253,3.2,35.4,37.7,23.7,3.193650793650794,-3.297142446
E34000482,Keyworth BUA,6733,Small Towns,East Midlands,Non-coastal,Smaller non-coastal town,E30000249,Nottingham,Majority conurbation,Residential,Lower deprivation towns,No university,Medium,71,90.41095890410958,70.4225352112676,94.36619718309859,63.38028169014085,49.29577464788733,21.12676056338028,14.084507042253522,42.25352112676056,23.943661971830984,NA,NA,19.7,36.6,42.3,4.070422535211268,5.628841984
E34000490,Deal BUA,30555,Medium Towns,South East,Coastal,Large seaside town,E30000241,Margate and Ramsgate,Majority town and city (small),Residential,Higher deprivation towns,No university,Low,350,68.4971098265896,46.57142857142857,78.85714285714286,45.14285714285714,30,17.71428571428571,8.285714285714285,40,20.57142857142857,10,3.1,35.2,36.1,25.6,3.28,-3.141037157
E34000499,Hythe BUA,20201,Medium Towns,South East,Non-coastal,Large non-coastal town,E30000267,Southampton,Majority town and city (Large Towns),Residential,Lower deprivation towns,No university,Medium,233,75.20661157024794,55.36480686695279,78.96995708154506,42.48927038626609,21.45922746781116,23.605150214592275,15.450643776824036,56.65236051502146,33.47639484978541,9.871244635193133,NA,30.9,47.6,19.3,3.184549356223176,-1.985380107
E34000504,Ibstock BUA,5650,Small Towns,East Midlands,Non-coastal,Smaller non-coastal town,E30000230,Leicester,Majority town and city (Large Towns),Residential,Mid deprivation towns,No university,Low,89,58.69565217391305,51.68539325842697,86.51685393258427,49.43820224719101,33.70786516853933,23.595505617977526,15.730337078651685,57.30337078651685,35.95505617977528,NA,NA,28.6,41.8,27.5,3.460674157303371,-2.899667069
E34000508,Market Deeping BUA,13574,Small Towns,East Midlands,Non-coastal,Smaller non-coastal town,E30000108,Peterborough,Majority town and city (Large Towns),Residential,Lower deprivation towns,No university,Medium,186,80.45977011494253,67.20430107526882,86.55913978494624,64.51612903225806,40.32258064516129,22.58064516129032,13.978494623655912,55.376344086021504,27.419354838709676,NA,NA,18.7,44.9,34.8,3.806451612903226,3.507476118
E34000509,Horncastle BUA,6815,Small Towns,East Midlands,Non-coastal,Smaller non-coastal town,E30000264,Skegness and Louth,Majority town and city (small),Working,Higher deprivation towns,No university,Low,73,84.72222222222221,65.75342465753424,82.1917808219178,54.794520547945204,41.0958904109589,17.80821917808219,NA,49.31506849315068,23.28767123287671,NA,NA,25.7,33.8,40.5,3.958904109589041,3.418697624
E34000521,Glastonbury BUA,8471,Small Towns,South West,Non-coastal,Smaller non-coastal town,E30000274,Street and Wells,Majority rural,Working,Higher deprivation towns,No university,Medium,89,71.26436781609196,60.67415730337079,83.14606741573034,51.68539325842697,28.08988764044944,16.853932584269664,12.359550561797752,42.69662921348314,14.606741573033707,NA,NA,22.5,53.9,NA,3.3820224719101124,-0.550202426
E34000527,Witham BUA,25353,Medium Towns,East of England,Non-coastal,Large non-coastal town,E30000188,Chelmsford,Majority town and city (Large Towns),Working,Higher deprivation towns,No university,Low,270,65.27777777777779,56.666666666666664,82.22222222222221,37.03703703703704,20.37037037037037,16.296296296296298,10.74074074074074,54.44444444444444,34.074074074074076,11.851851851851853,NA,46.3,36.2,16.8,3.037037037037037,-3.92266164
E34000550,Holmes Chapel BUA,5605,Small Towns,North West,Non-coastal,Smaller non-coastal town,E30000197,Crewe,Majority town and city (small),Mixed,Lower deprivation towns,No university,High,73,86.3013698630137,75.34246575342466,93.15068493150685,68.4931506849315,47.94520547945205,20.54794520547945,19.17808219178082,50.68493150684932,24.65753424657534,NA,NA,NA,42.7,46.7,4.273972602739726,6.657041755
E34000553,Whaley Bridge BUA,5140,Small Towns,East Midlands,Non-coastal,Smaller non-coastal town,E30000239,Manchester,Majority conurbation,Mixed,Lower deprivation towns,No university,Medium,67,70.3125,70.1492537313433,91.04477611940298,68.65671641791045,52.23880597014925,NA,NA,46.26865671641791,23.88059701492537,NA,NA,NA,50.8,38.5,4.104477611940299,3.806320645
E34000567,Gerrards Cross BUA,20633,Medium Towns,South East,Non-coastal,Large non-coastal town,E30000218,High Wycombe and Aylesbury,Majority town and city (Large Towns),Working,Lower deprivation towns,No university,High,246,88.26530612244898,85.36585365853658,96.73469387755102,80,71.13821138211382,7.723577235772358,4.471544715447155,36.58536585365854,10.569105691056912,NA,NA,6.5,32.5,58.9,4.650406504065041,9.95812099
E34000573,Ulverston BUA,11356,Small Towns,North West,Non-coastal,Smaller non-coastal town,E30000163,Barrow-in-Furness,Majority town and city (small),Working,Lower deprivation towns,No university,Medium,117,82.25806451612904,58.97435897435898,81.19658119658119,52.13675213675214,21.367521367521366,40.17094017094017,23.076923076923077,47.863247863247864,23.931623931623932,10.256410256410255,NA,24.1,56.9,NA,3.230769230769231,0.193445297
E34000574,Chapeltown BUA,23056,Medium Towns,Yorkshire and The Humber,Non-coastal,Large non-coastal town,E30000261,Sheffield,Majority conurbation,Mixed,Mid deprivation towns,No university,Low,269,73.70370370370371,70.26022304832715,84.38661710037175,50.92936802973978,29.739776951672862,27.509293680297397,18.587360594795538,60.223048327137555,29.36802973977695,10.037174721189592,NA,20.2,52.4,26.2,3.5985130111524164,1.220084116
E34000589,Hornsea BUA,8432,Small Towns,Yorkshire and The Humber,Coastal,Smaller seaside town,E30000220,Hull,Majority town and city (Large Towns),Residential,Higher deprivation towns,No university,Medium,98,81.1881188118812,68.36734693877551,81.63265306122449,53.06122448979592,30.612244897959183,23.46938775510204,15.306122448979592,46.93877551020408,18.367346938775512,NA,NA,31.3,43.4,25.3,3.4081632653061225,1.573747159
E34000591,Wem BUA,5870,Small Towns,West Midlands,Non-coastal,Smaller non-coastal town,E30000262,Shrewsbury,Majority town and city (Large Towns),Residential,Mid deprivation towns,No university,Low,70,82.35294117647058,64.28571428571429,87.14285714285714,57.14285714285714,35.714285714285715,20,NA,44.285714285714285,17.142857142857142,NA,NA,18.6,50,NA,3.5714285714285716,2.12673052
E34000597,Loughborough BUA,59932,Medium Towns,East Midlands,Non-coastal,Large non-coastal town,E30000230,Leicester,Majority town and city (Large Towns),Working,Mid deprivation towns,University,Medium,497,72.83018867924528,50.70422535211267,79.47686116700201,43.460764587525155,36.21730382293762,19.919517102615693,11.87122736418511,48.49094567404427,22.736418511066397,6.639839034205232,3.4,29.9,36.7,30.1,3.466800804828974,-1.853352661
E34000628,Maghull BUA,26997,Medium Towns,North West,Non-coastal,Large non-coastal town,E30000233,Liverpool,Majority conurbation,Residential,Lower deprivation towns,No university,Medium,304,84.15841584158416,69.07894736842105,88.81578947368422,53.94736842105263,47.69736842105263,23.355263157894736,14.802631578947366,58.55263157894737,18.092105263157894,5.263157894736842,NA,18.3,42.2,39.2,4.009868421052632,3.747497559
E34000633,Southport BUA,91703,Large Towns,North West,Coastal,Large seaside town,E30000233,Liverpool,Majority conurbation,Mixed,Higher deprivation towns,No university,Medium,1005,78.95266868076536,63.98009950248756,87.16417910447761,58.00995024875621,42.78606965174129,17.611940298507463,9.850746268656717,45.77114427860697,14.527363184079602,7.263681592039801,1.9,18.1,46.6,33.4,3.7671641791044777,2.319207046
E34000645,Thornbury BUA,11687,Small Towns,South West,Non-coastal,Smaller non-coastal town,E30000180,Bristol,Majority town and city (Large Towns),Mixed,Lower deprivation towns,No university,Medium,160,82.16560509554141,66.25,84.375,60.62499999999999,46.875,18.75,15,60,26.875,NA,NA,21.7,40.4,37.3,3.81875,3.299333602
E34000656,Street BUA,12911,Small Towns,South West,Non-coastal,Smaller non-coastal town,E30000274,Street and Wells,Majority rural,Working,Mid deprivation towns,No university,Low,146,73.28767123287672,63.6986301369863,82.87671232876713,58.9041095890411,34.24657534246575,16.43835616438356,8.21917808219178,49.31506849315068,24.65753424657534,8.904109589041095,NA,23.8,44.2,30.6,3.5821917808219177,1.190595416
