Breed,Affectionate With Family,Good With Young Children,Good With Other Dogs,Shedding Level,Coat Grooming Frequency,Drooling Level,Coat Type,Coat Length,Openness To Strangers,Playfulness Level,Watchdog/Protective Nature,Adaptability Level,Trainability Level,Energy Level,Barking Level,Mental Stimulation Needs
Bullmastiffs,4,3,3,3,1,3,Smooth,Short,3,3,5,3,4,4,1,4
Samoyeds,5,5,3,3,3,1,Double,Long,5,5,4,4,4,4,5,4
Scottish Terriers,5,3,2,2,3,2,Wiry,Medium,3,4,5,4,3,3,4,4
Soft Coated Wheaten Terriers,5,5,3,1,4,2,Wavy,Medium,3,3,3,3,3,4,3,3
Whippets,5,5,5,2,1,1,Smooth,Short,3,4,3,3,3,4,1,4
Pointers (German Wirehaired),5,3,3,2,2,2,Wiry,Medium,4,4,3,4,5,5,3,4
Chinese Shar-Pei,4,3,3,3,1,3,Smooth,Short,3,3,4,4,3,3,3,3
Airedale Terriers,3,3,3,1,3,1,Wiry,Short,3,3,5,3,3,3,3,3
Wirehaired Pointing Griffons,5,5,3,3,2,3,Wiry,Medium,5,4,3,4,5,5,3,5
Bull Terriers,4,3,1,3,2,1,Smooth,Short,4,4,3,3,3,4,3,4
Alaskan Malamutes,3,3,3,3,3,1,Double,Medium,3,3,4,3,5,4,3,3
Cardigan Welsh Corgis,4,4,3,3,2,1,Double,Medium,4,4,3,3,4,4,5,4
Giant Schnauzers,5,3,3,3,4,2,Wiry,Medium,3,4,5,4,5,5,3,4
Old English Sheepdogs,5,5,3,3,4,3,Double,Long,3,4,4,4,4,3,3,4
Italian Greyhounds,5,3,5,3,1,1,Smooth,Short,5,4,3,4,4,3,3,3
Great Pyrenees,5,3,3,3,2,3,Double,Medium,3,3,5,3,3,3,3,3
Dogues de Bordeaux,5,3,3,4,1,5,Smooth,Short,3,3,5,4,4,3,3,4
Russell Terriers,5,3,5,3,2,1,Wiry,Short,5,5,4,4,3,5,4,5
Cairn Terriers,4,3,3,2,2,1,Wiry,Medium,3,4,4,3,3,3,4,3
Irish Wolfhounds,5,3,4,3,2,2,Wiry,Medium,3,3,5,3,3,3,1,3
Setters (Irish),5,5,5,3,3,2,Silky,Medium,5,5,3,4,4,5,3,4
Greater Swiss Mountain Dogs,5,5,3,3,2,3,Smooth,Short,5,4,4,3,4,4,3,4
Miniature Pinschers,5,3,4,3,1,1,Smooth,Short,3,4,5,4,3,5,5,5
Lhasa Apsos,5,3,3,1,3,1,Silky,Long,3,3,5,5,3,3,3,3
Chinese Crested,4,3,3,1,2,1,Hairless,Short,4,3,3,4,4,3,3,3
Coton de Tulear,5,5,5,2,4,1,Double,Long,5,4,3,4,4,3,1,3
Staffordshire Bull Terriers,5,5,3,2,2,3,Smooth,Short,4,4,5,5,5,4,3,4
American Staffordshire Terriers,5,3,3,2,1,1,Smooth,Short,4,3,5,3,3,3,3,3
Rat Terriers,5,5,3,3,2,1,Smooth,Short,5,5,4,4,5,4,3,5
Chow Chows,4,3,2,3,3,3,Smooth,Medium,2,3,5,3,3,3,1,3
Anatolian Shepherd Dogs,1,3,3,3,2,1,Smooth,Short,1,3,5,3,2,3,3,3
Basenjis,3,3,3,2,1,1,Smooth,Short,3,3,3,3,2,4,1,4
Spaniels (Boykin),3,5,5,3,3,1,Double,Medium,3,4,3,4,4,4,3,3
Lagotti Romagnoli,5,3,5,1,2,2,Double,Medium,4,4,3,4,4,4,2,4
Brussels Griffons,4,3,3,3,3,1,Wiry,Short,4,4,3,4,4,3,4,3
Retrievers (Nova Scotia Duck Tolling),5,5,4,3,2,2,Double,Medium,3,5,3,4,5,5,2,4
Norwegian Elkhounds,5,3,3,3,2,2,Double,Medium,4,4,5,4,4,4,4,4
Standard Schnauzers,5,5,3,1,3,3,Wiry,Medium,3,4,5,4,5,3,3,5
Dogo Argentinos,5,3,3,4,1,3,Smooth,Short,4,4,5,4,5,5,3,4
Bouviers des Flandres,3,3,3,3,4,2,Rough,Medium,3,3,4,3,4,4,3,3
Pekingese,5,3,3,3,3,1,Double,Long,3,4,4,4,3,3,1,3
Keeshonden,5,5,5,3,3,2,Double,Long,5,5,5,5,5,4,4,4
Border Terriers,4,5,3,2,2,1,Wiry,Short,4,4,3,4,4,3,3,3
Leonbergers,5,5,3,4,4,3,Double,Long,5,3,4,4,5,3,3,4
Tibetan Terriers,5,3,3,3,3,2,Double,Long,3,3,4,4,3,4,3,4
Neapolitan Mastiffs,3,3,3,3,2,5,Smooth,Short,3,2,5,3,3,2,1,3
Setters (English),5,4,4,3,3,3,Double,Medium,4,4,3,4,4,3,3,4
Retrievers (Flat-Coated),5,5,5,3,2,2,Smooth,Medium,5,5,3,5,5,5,3,4
Borzois,3,3,3,3,2,1,Curly,Medium,3,3,3,3,2,4,2,4
Fox Terriers (Wire),5,5,3,2,3,2,Wiry,Medium,5,4,4,4,4,4,4,4
Miniature Bull Terriers,5,3,3,2,1,2,Smooth,Short,3,4,4,4,3,4,5,4
Belgian Tervuren,3,3,3,3,2,1,Double,Medium,3,3,4,3,5,4,3,4
Setters (Gordon),5,3,3,3,2,4,Double,Medium,3,3,4,4,5,5,3,4
Silky Terriers,5,3,3,2,3,1,Silky,Long,4,4,5,4,4,3,4,3
Norwich Terriers,5,5,3,3,2,1,Wiry,Short,5,4,4,4,3,4,4,4
Spinoni Italiani,5,3,4,3,2,3,Wiry,Medium,3,3,3,3,4,3,2,3
Japanese Chin,5,3,5,3,2,1,Silky,Medium,3,3,3,4,3,3,2,3
Welsh Terriers,5,5,3,2,3,2,Wiry,Medium,5,4,4,4,4,4,4,4
Toy Fox Terriers,5,3,3,3,2,1,Smooth,Short,5,4,5,4,5,4,4,4
Schipperkes,5,3,3,3,2,1,Double,Short,3,4,5,4,4,3,4,3
Parson Russell Terriers,5,3,5,2,2,1,Smooth,Short,3,4,3,4,4,5,3,4
Pointers,5,3,5,3,2,2,Smooth,Short,4,4,3,4,5,4,3,4
Belgian Sheepdogs,3,3,3,3,2,1,Double,Medium,3,3,4,3,5,4,3,4
Tibetan Spaniels,5,5,3,3,2,2,Double,Medium,4,4,4,4,3,3,3,3
American Eskimo Dogs,5,5,3,3,3,1,Double,Medium,5,3,3,4,4,4,3,3
Irish Terriers,5,5,1,2,1,1,Wiry,Medium,3,3,5,4,3,3,3,4
Beaucerons,3,3,3,4,3,1,Smooth,Short,2,3,4,3,3,5,3,3
Afghan Hounds,3,3,3,1,4,1,Silky,Long,3,3,3,3,1,4,3,3
Boerboels,5,4,2,3,2,3,Smooth,Short,3,3,5,3,4,3,3,4
Fox Terriers (Smooth),5,3,3,3,2,1,Smooth,Short,3,4,5,4,3,4,5,3
Bearded Collies,4,5,5,3,4,1,Silky,Long,4,4,3,4,3,4,5,3
Black Russian Terriers,3,3,3,3,4,3,Double,Medium,2,3,5,4,4,4,3,4
Black and Tan Coonhounds,4,5,5,3,2,3,Smooth,Short,3,3,2,4,3,3,4,3
Spaniels (Welsh Springer),5,5,4,3,2,2,Double,Medium,1,3,3,4,5,4,3,4
American Hairless Terriers,5,5,3,1,1,1,Hairless,Short,3,3,3,5,5,3,3,3
Norfolk Terriers,5,5,3,3,2,1,Wiry,Short,5,4,4,4,3,4,4,4
Xoloitzcuintli,5,3,3,1,1,1,Hairless,Short,3,4,3,4,4,4,3,4
Manchester Terriers,5,4,3,2,2,1,Smooth,Short,3,4,4,4,4,4,4,3
Kerry Blue Terriers,5,4,2,1,3,2,Wavy,Medium,3,3,5,3,3,4,4,4
Australian Terriers,3,5,3,1,2,1,Wiry,Short,3,4,4,3,4,4,5,4
Spaniels (Clumber),4,3,3,3,2,4,Wavy,Medium,4,3,3,4,4,3,1,3
Lakeland Terriers,5,3,3,2,2,1,Wiry,Short,3,4,3,4,3,3,3,4
Bluetick Coonhounds,3,3,5,3,2,2,Smooth,Short,3,3,2,3,4,4,4,3
English Toy Spaniels,5,5,5,3,3,2,Double,Medium,3,4,3,4,3,3,2,3
German Pinschers,5,3,3,3,1,1,Smooth,Short,3,4,4,3,5,5,3,4
Tibetan Mastiffs,4,3,3,4,3,3,Double,Medium,1,3,5,3,3,3,3,4
Bedlington Terriers,3,3,3,1,3,1,Curly,Medium,3,3,4,3,3,4,3,3
Greyhounds,4,3,4,2,1,1,Smooth,Short,3,3,3,4,3,4,3,3
Pulik,5,3,3,1,5,2,Corded,Long,3,3,5,4,5,3,3,5
Salukis,5,3,3,2,1,1,Smooth,Short,3,3,1,3,3,4,3,5
Barbets,4,5,5,1,3,1,Curly,Medium,3,3,3,3,4,3,3,3
Redbone Coonhounds,5,5,5,3,2,3,Smooth,Short,3,3,3,4,3,3,4,4
Swedish Vallhunds,5,5,3,4,2,2,Double,Short,3,4,3,4,4,4,3,4
Sealyham Terriers,5,3,3,3,3,1,Wiry,Medium,4,3,5,4,4,3,4,4
Spanish Water Dogs,5,4,3,1,4,2,Corded,Medium,3,4,3,3,4,4,3,5
Briards,3,3,3,1,4,2,Double,Long,3,3,4,3,3,3,1,3
Berger Picards,3,3,3,3,1,1,Wiry,Medium,3,3,4,3,4,4,2,4
Entlebucher Mountain Dogs,5,3,5,3,1,2,Smooth,Short,3,3,5,4,3,5,3,4
Treeing Walker Coonhounds,5,5,5,3,1,3,Smooth,Short,3,4,3,4,5,5,4,5
Icelandic Sheepdogs,5,5,4,3,2,2,Double,Medium,3,3,4,4,5,4,4,5
Wirehaired Vizslas,5,5,3,3,1,2,Wiry,Short,5,5,3,4,5,5,3,5
Pumik,5,3,3,1,2,2,Curly,Medium,3,4,4,4,5,5,3,5
Portuguese Podengo Pequenos,5,5,5,3,2,1,Wiry,Medium,3,4,3,4,3,4,3,4
Spaniels (American Water),3,3,3,1,3,1,Double,Medium,3,3,3,3,5,3,3,3
Retrievers (Curly-Coated),5,5,3,2,1,1,Double,Short,3,4,4,4,4,4,3,3
Spaniels (Field),5,5,4,3,2,2,Smooth,Medium,4,3,3,4,5,3,3,3
Lowchen,5,5,3,2,2,1,Wavy,Long,3,4,4,4,4,3,3,3
Nederlandse Kooikerhondjes,5,3,3,3,2,2,Double,Medium,4,3,3,4,5,4,3,4
Affenpinschers,3,3,3,3,3,1,Wiry,Short,5,3,3,4,3,3,3,3
Petits Bassets Griffons Vendeens,4,5,5,2,2,2,Rough,Long,4,4,4,4,3,4,5,4
Finnish Lapphunds,5,4,3,4,2,2,Double,Medium,4,3,3,4,4,3,5,3
Scottish Deerhounds,5,3,5,3,1,1,Wiry,Medium,3,3,3,3,3,3,1,3
Plott Hounds,0,0,0,0,0,0,Plott Hounds,Plott Hounds,0,0,0,0,0,0,0,0
Norwegian Buhunds,5,3,3,3,2,1,Double,Medium,3,3,4,4,3,4,4,4
Glen of Imaal Terriers,5,3,3,2,3,2,Wiry,Medium,3,3,3,4,3,3,2,3
Setters (Irish Red and White),5,5,5,2,2,2,Double,Medium,5,3,3,5,5,5,3,3
Ibizan Hounds,5,3,5,2,1,1,Wiry,Short,3,4,3,4,3,5,3,5
Spaniels (Sussex),5,3,3,3,3,3,Double,Medium,3,4,3,4,4,3,3,3
Bergamasco Sheepdogs,3,3,3,1,1,2,Corded,Long,3,3,4,3,3,3,1,3
Spaniels (Irish Water),5,3,3,1,3,2,Curly,Medium,3,5,3,4,5,3,1,4
Polish Lowland Sheepdogs,5,3,3,2,4,2,Double,Long,3,4,5,5,4,3,4,4
Otterhounds,5,3,3,2,2,3,Rough,Medium,4,3,3,4,4,3,5,3
Kuvaszok,5,3,3,3,2,2,Double,Medium,3,3,5,4,5,3,3,3
Komondorok,5,3,2,1,4,2,Corded,Long,3,3,5,3,4,3,3,3
Cirnechi dell’Etna,4,3,4,1,1,1,Smooth,Short,3,4,3,4,4,3,2,3
Pharaoh Hounds,5,3,5,3,2,1,Smooth,Short,3,3,3,3,4,4,3,4
Dandie Dinmont Terriers,4,3,3,2,3,1,Double,Medium,4,3,4,3,4,3,3,3
Pyrenean Shepherds,5,3,3,3,2,2,Smooth,Medium,3,5,5,4,5,5,4,5
Skye Terriers,5,3,3,3,3,1,Double,Long,3,3,3,3,3,3,3,3
Canaan Dogs,3,3,3,4,2,1,Smooth,Short,3,3,4,3,4,3,5,3
American English Coonhounds,3,3,5,2,1,1,Smooth,Short,3,3,3,3,3,4,4,3
Chinooks,4,5,5,3,3,1,Smooth,Medium,3,3,4,4,4,3,5,3
Finnish Spitz,5,5,4,3,2,2,Double,Medium,3,3,3,4,3,5,5,4
Grand Basset Griffon Vendeens,5,3,4,3,2,2,Wiry,Medium,5,4,3,4,3,5,4,4
Sloughis,4,3,3,3,1,1,Smooth,Short,2,3,2,3,3,4,2,3
Harriers,5,5,5,3,1,2,Double,Short,4,4,3,4,4,4,5,4
Cesky Terriers,4,5,3,2,2,1,Wavy,Medium,4,3,3,4,3,3,3,3
American Foxhounds,3,5,5,3,1,1,Smooth,Short,3,3,3,3,3,4,5,3
Azawakhs,3,3,3,2,2,1,Smooth,Short,1,3,3,3,2,3,1,3
English Foxhounds,5,5,5,3,1,2,Double,Short,4,4,3,4,4,4,5,4
Norwegian Lundehunds,3,3,3,3,2,1,Double,Short,3,3,3,3,3,3,3,3
