State,Year,Total Employed RN,Employed Standard Error (%),Hourly Wage Avg,Hourly Wage Median,Annual Salary Avg,Annual Salary Median,Wage/Salary standard error (%),Hourly 10th Percentile,Hourly 25th Percentile,Hourly 75th Percentile,Hourly 90th Percentile,Annual 10th Percentile,Annual 25th Percentile,Annual 75th Percentile,Annual 90th Percentile,Location Quotient,Total Employed (National)_Aggregate,"Total Employed (Healthcare, National)_Aggregate","Total Employed (Healthcare, State)_Aggregate",Yearly Total Employed (State)_Aggregate
North Carolina,2020,99110,1,33.15,32.13,68950,66820,0.4,24.43,27.61,38.35,44.83,50820,57430,79770,93250,1.08,140019790,8632190,274580,4288450
North Dakota,2020,9970,14.2,33.47,33.08,69630,68800,2.3,25.58,28.29,38.08,42.68,53200,58850,79200,88780,1.16,140019790,8632190,28270,400040
Ohio,2020,129090,3.2,33.53,32.49,69750,67580,0.7,25.66,28.17,38.09,43.93,53370,58600,79230,91370,1.17,140019790,8632190,364510,5137540
Oklahoma,2020,32950,7.6,32.02,31.58,66600,65680,1,22.96,27.01,37.05,40.94,47760,56190,77060,85160,0.98,140019790,8632190,102260,1562780
Oregon,2020,36840,5.2,46.27,46.54,96230,96790,1,34.07,40.11,52.99,60.8,70860,83420,110220,126470,0.95,140019790,8632190,100230,1806950
Pennsylvania,2020,146640,2.4,35.66,35.08,74170,72970,0.7,25.92,29.57,40.5,48.01,53910,61510,84240,99870,1.24,140019790,8632190,397990,5512120
Rhode Island,2020,12150,4.8,39.81,39.93,82790,83060,2,28.59,33.59,46.3,50.55,59460,69860,96300,105150,1.28,140019790,8632190,31970,442910
South Carolina,2020,45930,3.4,32.28,31.75,67140,66050,1,22.71,27.08,37.32,41.42,47240,56320,77630,86150,1.06,140019790,8632190,126340,2015260
South Dakota,2020,13130,1.7,29.31,28.84,60960,60000,1.1,21.42,24.83,33.66,38.41,44550,51650,70020,79900,1.49,140019790,8632190,31950,411250
Tennessee,2020,61040,2.5,30.83,29.91,64120,62220,1.2,21.46,25.59,35.73,41.43,44640,53230,74330,86170,0.98,140019790,8632190,196770,2903810
Texas,2020,219330,1.7,36.92,36.21,76800,75320,0.7,26.35,30.43,42.83,49.54,54800,63300,89080,103040,0.84,140019790,8632190,670560,12102370
Utah,2020,23690,2,33.83,32.3,70370,67180,0.9,26.23,28.47,38.21,44.31,54560,59220,79470,92160,0.74,140019790,8632190,72300,1489020
Vermont,2020,6810,3.2,34.68,33.5,72140,69670,1.7,25.57,28.33,40.1,47.3,53190,58920,83410,98380,1.13,140019790,8632190,19070,281080
Virginia,2020,66450,2.7,35.76,34.82,74380,72420,0.9,25.45,28.95,41.71,49.18,52940,60210,86750,102300,0.84,140019790,8632190,212000,3701220
Washington,2020,59300,5,43.9,43.1,91310,89650,0.9,31.44,35.93,51.8,60.56,65400,74730,107740,125970,0.86,140019790,8632190,171850,3195200
West Virginia,2020,19800,3.7,31.31,30.37,65130,63180,1.2,21.87,26.42,36.64,41.92,45490,54960,76210,87180,1.42,140019790,8632190,57050,650010
Wisconsin,2020,63630,2.8,35.94,35.35,74760,73540,0.9,26.94,30.54,40.52,47.63,56040,63530,84280,99060,1.09,140019790,8632190,175920,2709940
Wyoming,2020,5010,2.9,34.9,33.87,72600,70450,1.1,26,28.78,39.32,46.09,54090,59860,81790,95870,0.89,140019790,8632190,14010,261690
Guam,2020,690,1.8,29.91,28.36,62200,58980,5.4,18.89,22.62,35.17,42.36,39290,47060,73150,88120,0.5,140019790,8632190,2110,64820
Puerto Rico,2020,19250,2.4,17.05,15.94,35450,33150,2.5,12.08,13.62,18.66,23.22,25130,28320,38800,48300,1.09,140019790,8632190,49380,819750
Virgin Islands,2020,520,3.7,33.74,34.67,70190,72120,2.3,21.05,29.91,38.62,44.75,43790,62210,80340,93080,0.68,140019790,8632190,1550,35650
Alabama,2018,49490,1.6,28.59,27.85,59470,57930,0.7,20.45,23.45,32.96,38.17,42540,48780,68560,79380,1.25,145671780,8701110,131000,1943760
Alaska,2018,5730,4.1,42.94,42.14,89310,87650,2.1,29.96,34.92,49.92,58.66,62310,72640,103840,122010,0.89,145671780,8701110,17750,315250
Arizona,2018,54690,2.1,37.02,36.43,77000,75770,0.7,26.72,31.33,42.87,48.42,55580,65170,89170,100720,0.96,145671780,8701110,161490,2789520
Arkansas,2018,25380,4.2,29.22,28.68,60780,59650,1.3,20.56,24.07,34.18,38.72,42770,50060,71090,80530,1.03,145671780,8701110,80890,1210120
California,2018,294510,1.5,51.42,50.2,106950,104410,1,31.94,40.2,62.56,75.56,66440,83620,130120,157160,0.85,145671780,8701110,838440,17007690
Colorado,2018,51760,2.3,35.69,35.03,74240,72870,0.6,26.02,29.57,41.48,47.76,54110,61500,86280,99330,0.97,145671780,8701110,146200,2620640
Connecticut,2018,31400,3,39.05,38.42,81220,79920,1,27.88,32.89,45.71,50.75,57980,68420,95080,105550,0.93,145671780,8701110,102710,1660200
Delaware,2018,11840,2.6,35.96,35.11,74800,73030,1.9,26.58,30.1,40.27,48.11,55280,62610,83760,100060,1.29,145671780,8701110,31680,448510
District of Columbia,2018,11110,2,44.4,42.69,92350,88800,4.8,28.26,34.67,50.22,63.17,58780,72110,104450,131400,0.76,145671780,8701110,32710,712370
Florida,2018,177600,2.3,31.83,30.96,66210,64400,0.7,22.63,26.66,36.74,42.61,47070,55450,76420,88630,1.01,145671780,8701110,532310,8608660
Georgia,2018,76640,2,33.15,32.63,68950,67870,0.7,23.68,27.36,38.27,45.08,49250,56900,79610,93770,0.86,145671780,8701110,247850,4394740
Hawaii,2018,11310,6,47.16,50.62,98080,105300,2.3,30.43,38.44,57.3,61.42,63300,79960,119180,127750,0.86,145671780,8701110,31660,641790
Idaho,2018,13790,7.3,32.26,32.11,67110,66780,1.4,24.03,27.33,37.19,42.92,49980,56850,77360,89270,0.96,145671780,8701110,40080,706140
Illinois,2018,129400,2.1,35.53,34.74,73890,72250,0.9,24.61,28.58,42.03,48.87,51190,59450,87420,101650,1.06,145671780,8701110,354250,5991270
Indiana,2018,67870,2.8,31.18,29.96,64860,62330,0.8,22.08,25.88,36.03,41.59,45920,53840,74950,86510,1.09,145671780,8701110,195120,3048100
Iowa,2018,33770,2.3,28.43,27.97,59130,58170,1.1,20.96,24.4,31.87,37.44,43610,50760,66290,77870,1.07,145671780,8701110,87560,1541700
Kansas,2018,27810,5.6,29.34,28.69,61030,59680,1.1,21.09,24.69,34,38.51,43880,51350,70720,80100,0.99,145671780,8701110,81700,1375380
Kentucky,2018,46130,4.1,30.34,29.7,63100,61780,0.8,21.35,25.27,35.37,39.37,44410,52570,73570,81900,1.2,145671780,8701110,124270,1889870
Louisiana,2018,43110,2.7,30.76,30,63970,62400,1.1,21.08,25.6,35.7,39.91,43840,53250,74260,83020,1.1,145671780,8701110,131860,1913770
Maine,2018,14460,3.3,32.51,31.55,67610,65630,2,24.07,27.1,37.54,44.13,50070,56370,78080,91790,1.17,145671780,8701110,41280,605550
Maryland,2018,54080,4.4,36.93,36.38,76820,75660,0.7,26.36,30.59,43.49,48.9,54840,63620,90450,101720,0.99,145671780,8701110,173210,2684010
Massachusetts,2018,80630,4.1,44.3,41.76,92140,86860,1.7,28.18,33.66,54.14,66.93,58620,70020,112620,139220,1.11,145671780,8701110,242690,3571360
Michigan,2018,96680,2.9,34.29,33.94,71330,70590,0.7,25.84,29.05,38.46,44.99,53750,60430,80000,93590,1.1,145671780,8701110,283410,4317830
Minnesota,2018,69000,9.3,37.94,37.47,78920,77940,1.3,27,31.98,44.55,49.37,56150,66530,92660,102680,1.18,145671780,8701110,190720,2867700
Mississippi,2018,29860,4.4,28.12,27.62,58490,57440,1.2,20.04,23.24,32.48,37.95,41690,48340,67560,78930,1.3,145671780,8701110,79780,1123830
Missouri,2018,71770,3.5,31.31,29.94,65130,62270,1,21.18,25.06,36.46,43.25,44060,52120,75830,89960,1.25,145671780,8701110,191550,2804780
Montana,2018,10100,7.7,32.43,31.71,67450,65960,1,24.97,27.49,36.85,42.22,51930,57180,76640,87820,1.07,145671780,8701110,30360,463280
Nebraska,2018,22970,2.1,31,30.16,64470,62730,0.7,23.12,26.51,35.66,39.92,48090,55140,74170,83040,1.15,145671780,8701110,62770,978290
Nevada,2018,22560,2,41.16,40.97,85620,85210,1.4,31.12,34.88,47.34,53.7,64720,72550,98480,111690,0.82,145671780,8701110,62820,1347130
New Hampshire,2018,13630,2.4,34.98,34.44,72760,71640,1.1,25.52,28.82,40.5,47.18,53090,59950,84230,98140,1.02,145671780,8701110,39380,652920
New Jersey,2018,79530,2.9,39.78,39.34,82750,81820,0.8,28.81,33.6,46.31,51.34,59930,69890,96330,106790,0.96,145671780,8701110,236330,4050170
New Mexico,2018,16730,2.2,34.49,34.29,71730,71310,1.4,25.78,29.2,39.09,45.83,53620,60730,81310,95320,1.01,145671780,8701110,46930,811680
New York,2018,182490,1.3,41.16,41.01,85610,85300,1.1,26.66,32.36,48.77,58.12,55450,67300,101440,120890,0.95,145671780,8701110,545670,9385620
North Carolina,2018,102500,0.9,31.18,30.26,64850,62940,0.7,22.18,25.97,36.25,41.66,46130,54020,75400,86650,1.15,145671780,8701110,278880,4383210
North Dakota,2018,8770,7.1,31.61,30.71,65740,63870,0.9,25.05,27.2,35.96,39.79,52110,56570,74800,82770,1.03,145671780,8701110,25810,416550
Ohio,2018,125380,2,32.13,30.87,66820,64200,0.7,24.6,27.05,36.69,42.54,51160,56270,76320,88490,1.13,145671780,8701110,362550,5416810
Oklahoma,2018,29330,2.8,30.33,29.69,63080,61750,0.7,21.62,25.66,35.04,38.88,44970,53380,72880,80870,0.9,145671780,8701110,97030,1594370
Oregon,2018,36020,6.1,43.79,43.86,91080,91220,1,32.13,37.29,50.25,58.23,66830,77560,104510,121120,0.94,145671780,8701110,102780,1886090
Pennsylvania,2018,148520,1.8,33.84,33.26,70390,69170,0.7,24.98,28.09,38.75,45.95,51950,58430,80610,95580,1.25,145671780,8701110,408340,5847690
Rhode Island,2018,12630,17.5,37.7,37.33,78420,77650,1,27.34,31.76,43.84,48.64,56870,66070,91190,101160,1.29,145671780,8701110,33110,482030
South Carolina,2018,44350,1.2,31.22,30.25,64940,62910,1.9,21.88,26.06,35.81,39.69,45510,54200,74490,82560,1.05,145671780,8701110,125690,2062280
South Dakota,2018,12760,1.5,28.05,27.65,58340,57510,1,20.45,23.5,32.21,37.21,42530,48870,67000,77400,1.48,145671780,8701110,31250,422310
Tennessee,2018,60360,3.2,29.48,28.91,61320,60120,0.9,20.83,24.61,34.43,38.61,43340,51190,71620,80310,1,145671780,8701110,195400,2956920
Texas,2018,210350,1.6,35.04,34.61,72890,72000,0.6,25.28,28.95,40.62,47.2,52590,60210,84500,98170,0.85,145671780,8701110,679150,12113810
Utah,2018,21700,2.3,31.57,30.56,65670,63570,0.7,23.61,26.66,36.28,40.84,49110,55450,75470,84950,0.73,145671780,8701110,69840,1455910
Vermont,2018,6460,13.4,33.25,31.61,69160,65740,2.2,25.01,27.43,38,45.47,52020,57050,79040,94570,1.04,145671780,8701110,19180,305210
Virginia,2018,64750,3,33.55,32.69,69790,68000,0.9,23.02,27.15,38.78,46.41,47890,56480,80660,96520,0.83,145671780,8701110,210960,3832840
Washington,2018,56290,5.2,39.75,38.42,82670,79920,1.2,26.81,32.09,47.11,55.89,55760,66740,97990,116250,0.85,145671780,8701110,165250,3259150
West Virginia,2018,19930,5.9,29.7,29.27,61780,60890,1.2,20.69,25.19,34.81,39.2,43040,52390,72410,81540,1.4,145671780,8701110,59000,696620
Wisconsin,2018,59030,2.4,34.36,33.73,71470,70150,0.8,26.1,29.01,38.58,45.33,54290,60340,80250,94290,1.02,145671780,8701110,171400,2848560
Wyoming,2018,5010,2,32.38,31.3,67360,65100,1.2,23.72,26.88,36.88,41.86,49330,55910,76700,87070,0.91,145671780,8701110,14690,269320
Guam,2018,600,2.9,28.38,27.56,59030,57320,1.9,19.88,22.53,33.54,39.1,41350,46860,69770,81320,0.49,145671780,8701110,2200,60170
Puerto Rico,2018,19230,3.1,16.8,15.77,34940,32800,2.5,11.48,13.34,18.43,23.39,23880,27760,38340,48650,1.11,145671780,8701110,50910,846010
Virgin Islands,2018,350,3.2,29.59,29.3,61550,60950,1.8,19.06,25.41,34.93,39.19,39640,52860,72660,81510,0.54,145671780,8701110,1260,32290
Alabama,2015,44000,2.6,27.35,26.7,56890,55530,0.7,19.98,22.55,31.1,36.53,41550,46890,64690,75980,1.17,138885360,8076300,122780,1883310
Alaska,2015,5910,20.8,42.55,42.37,88510,88130,1.3,31.35,35.56,49.52,56.22,65200,73960,103010,116940,0.91,138885360,8076300,16760,327250
Arizona,2015,49800,4,34.51,34.38,71790,71510,0.9,25.18,29.16,39.96,46.21,52380,60660,83120,96130,0.97,138885360,8076300,142470,2587070
Arkansas,2015,22480,5.5,27.34,26.76,56870,55660,1.1,19.27,22.17,31.63,36.88,40080,46110,65800,76710,0.96,138885360,8076300,74210,1176130
California,2015,255010,1.7,48.68,48.27,101260,100400,0.9,30.97,37.88,59.33,70.72,64410,78800,123420,147090,0.83,138885360,8076300,749930,15496600
Colorado,2015,45760,4.2,33.65,32.95,69990,68540,0.7,24.63,27.73,38.77,45.74,51240,57680,80650,95140,0.94,138885360,8076300,130580,2451490
Connecticut,2015,32440,7.8,37.18,36.76,77330,76460,1,26.57,31.66,43.53,48.41,55260,65860,90540,100690,0.98,138885360,8076300,102210,1659430
Delaware,2015,10370,11.6,34.33,34.16,71410,71060,1.9,25.88,29.62,39.01,44.86,53840,61600,81140,93300,1.2,138885360,8076300,28220,433840
District of Columbia,2015,10530,2.9,38.25,38.28,79560,79630,1.4,26.57,31.02,44.72,49.91,55260,64520,93030,103810,0.78,138885360,8076300,30100,676060
Florida,2015,168870,2.2,30.75,29.87,63960,62140,0.5,22.16,25.82,35.37,39.86,46100,53700,73560,82910,1.07,138885360,8076300,492720,7925300
Georgia,2015,68980,2.4,30.38,30.36,63190,63140,0.8,21.25,25.61,35.42,38.9,44200,53270,73660,80910,0.84,138885360,8076300,226350,4107960
Hawaii,2015,10990,9.2,43.33,44.37,90130,92290,2.1,30.46,37.11,51.1,57.39,63350,77180,106280,119380,0.89,138885360,8076300,30220,619960
Idaho,2015,12140,4.1,29.46,29.31,61280,60960,1.3,21.42,25.31,34.37,37.7,44560,52650,71490,78420,0.95,138885360,8076300,35150,642700
Illinois,2015,113040,2,33.54,32.28,69760,67140,1,21.91,26.37,39.88,47.9,45570,54850,82940,99640,0.97,138885360,8076300,332380,5852710
Indiana,2015,60890,2.7,28.32,27.83,58910,57890,0.8,20.14,23.03,33.58,37.81,41900,47910,69840,78650,1.04,138885360,8076300,177990,2947380
Iowa,2015,31630,3.9,26.46,25.92,55040,53910,1.1,19.55,21.87,30.09,35.48,40670,45490,62590,73800,1.04,138885360,8076300,83310,1526950
Kansas,2015,27200,5.6,27.6,27.08,57410,56320,1.1,20.04,22.61,32.2,36.81,41690,47020,66990,76560,1,138885360,8076300,78610,1371630
Kentucky,2015,43630,4.6,28.26,27.87,58770,57970,0.9,20.49,23.53,32.91,37.02,42620,48940,68440,77010,1.19,138885360,8076300,123750,1838220
Louisiana,2015,42270,2.2,30.03,28.74,62450,59780,2.1,20.63,24.31,34.67,40.03,42900,50550,72110,83260,1.09,138885360,8076300,126610,1939300
Maine,2015,14210,2.5,30.92,30.21,64310,62840,1.9,22.32,25.85,35.9,41.3,46420,53770,74680,85900,1.21,138885360,8076300,41150,591520
Maryland,2015,51100,9.4,35.19,34.66,73200,72090,0.9,25.69,29.27,40.93,46.89,53440,60880,85130,97530,0.99,138885360,8076300,164160,2596630
Massachusetts,2015,83780,2.4,42.62,40.36,88650,83950,1.7,26.52,32.26,52.85,64.88,55160,67100,109920,134950,1.24,138885360,8076300,233920,3396840
Michigan,2015,91130,4.6,32.54,31.65,67690,65830,1.6,24.31,27.12,36.57,42.97,50570,56420,76070,89380,1.1,138885360,8076300,261950,4146600
Minnesota,2015,59640,3.9,34.77,34.68,72310,72130,1.7,23.75,27.73,42.36,47.33,49410,57680,88110,98450,1.08,138885360,8076300,167800,2772240
Mississippi,2015,27810,3.2,27.39,26.74,56980,55620,1.3,19.35,22.21,31.98,37.28,40240,46190,66530,77550,1.26,138885360,8076300,75310,1106550
Missouri,2015,65860,3,28.44,27.77,59150,57770,0.9,19.82,22.8,33.85,38.51,41220,47410,70410,80100,1.22,138885360,8076300,181690,2712240
Montana,2015,9640,3.5,30.12,29.19,62650,60720,1,22.76,25.95,34.53,39.06,47340,53970,71830,81240,1.08,138885360,8076300,28990,447180
Nebraska,2015,20600,2.7,28.35,27.87,58970,57960,0.7,20.6,23.66,32.92,37.32,42840,49210,68470,77620,1.08,138885360,8076300,57130,953710
Nevada,2015,19470,1.6,39.16,39.12,81460,81370,1.2,28.29,33.06,45.53,50.11,58840,68770,94690,104220,0.79,138885360,8076300,52550,1232800
New Hampshire,2015,12720,2.6,32.3,31.46,67190,65440,1.2,22.66,26.38,38.21,44.72,47130,54870,79480,93010,1.01,138885360,8076300,37200,635360
New Jersey,2015,78460,2.4,38.38,38.09,79840,79230,0.6,27.52,32.45,44.7,49.47,57250,67500,92980,102890,1.01,138885360,8076300,222070,3906800
New Mexico,2015,15110,14.4,31.74,31.11,66030,64710,1.5,24.42,26.98,36.3,41.88,50790,56120,75490,87110,0.95,138885360,8076300,45050,798150
New York,2015,171880,1.6,37.96,37.49,78950,77980,0.7,25.16,30.3,45.58,53.39,52330,63030,94810,111040,0.96,138885360,8076300,510770,8984890
North Carolina,2015,95670,0.7,29.07,28.34,60460,58950,0.6,20.81,24.15,33.83,38.31,43280,50240,70370,79680,1.16,138885360,8076300,256650,4125070
North Dakota,2015,8370,6.4,28.31,27.83,58890,57880,1.2,20.87,24.41,31.91,36.41,43400,50780,66380,75740,0.94,138885360,8076300,24570,447820
Ohio,2015,126270,3.3,30.19,29.46,62800,61280,0.8,22.68,25.85,34.76,38.53,47180,53770,72300,80140,1.2,138885360,8076300,353160,5280850
Oklahoma,2015,26080,3.1,28.39,28.1,59040,58460,0.9,20.51,24.06,32.92,37,42650,50040,68480,76960,0.82,138885360,8076300,94700,1597130
Oregon,2015,32490,3.2,40.29,40.96,83800,85190,1.2,29.35,34.34,46.54,52.39,61050,71420,96810,108980,0.94,138885360,8076300,92570,1735220
Pennsylvania,2015,136090,2.6,32.47,31.58,67550,65690,0.9,22.67,26.66,37.63,45.04,47150,55450,78270,93690,1.2,138885360,8076300,377580,5709480
Rhode Island,2015,11950,8.4,36.74,36.68,76410,76300,1.5,26.64,31.08,42.99,47.1,55420,64650,89420,97970,1.27,138885360,8076300,31000,471290
South Carolina,2015,42440,1.8,29.38,28.53,61110,59340,1.5,20.28,24.4,34.05,38.49,42170,50750,70820,80070,1.11,138885360,8076300,117270,1928140
South Dakota,2015,11950,1.2,26.49,25.68,55100,53420,0.9,19.73,21.8,30.44,35.9,41040,45340,63320,74660,1.45,138885360,8076300,28700,413260
Tennessee,2015,55710,3.3,27.67,27.33,57560,56840,0.7,20.1,23.08,32.04,36.7,41800,48010,66630,76340,0.99,138885360,8076300,183990,2814230
Texas,2015,198650,1.7,33.6,32.98,69890,68590,0.7,24.11,27.51,38.89,45.65,50140,57220,80890,94950,0.86,138885360,8076300,615160,11572540
Utah,2015,19930,2.4,29.33,28.69,61000,59670,1,21.26,24.75,33.95,38.09,44230,51470,70610,79230,0.76,138885360,8076300,62790,1324460
Vermont,2015,6360,7.8,31.65,30.18,65840,62770,2.5,23.04,26.12,37.06,43.74,47920,54320,77090,90970,1.05,138885360,8076300,18720,303550
Virginia,2015,63340,3.1,31.41,30.6,65340,63640,1.2,20.86,24.82,36.63,43.72,43380,51620,76180,90940,0.86,138885360,8076300,198840,3682450
Washington,2015,52880,5.5,37.56,37.03,78130,77020,1.1,25.41,29.92,45.16,52.9,52840,62230,93940,110030,0.89,138885360,8076300,152460,2983930
West Virginia,2015,20020,5.3,27.89,27.26,58010,56710,1.3,19.45,22.85,32.28,37.71,40470,47530,67140,78440,1.42,138885360,8076300,56950,707000
Wisconsin,2015,55460,4.3,31.94,31.32,66440,65150,1.1,24.01,26.82,36.77,43.25,49930,55780,76490,89970,1,138885360,8076300,158480,2771600
Wyoming,2015,4910,1.6,29.84,29.22,62080,60780,1.1,21.16,25.25,34.72,38.92,44020,52520,72210,80960,0.87,138885360,8076300,14140,283830
Guam,2015,520,2.5,25.7,25.15,53450,52310,1.8,16.44,19.47,31.34,36.62,34190,40490,65180,76180,0.43,138885360,8076300,1800,60580
Puerto Rico,2015,17490,2.6,16.51,15.45,34350,32130,2.1,11.81,13.22,18.15,22.97,24560,27510,37750,47780,0.99,138885360,8076300,51740,890760
Virgin Islands,2015,250,19.2,22.91,23.47,47650,48820,6.3,13.13,14.89,28.58,34.04,27320,30980,59440,70810,0.34,138885360,8076300,940,37370
Alabama,2013,43600,2.8,26.86,26.2,55870,54490,0.7,19.59,22.19,30.75,35.4,40740,46160,63970,73640,1.18,133614660,7807260,119780,1844080
Alaska,2013,5790,21,40.21,40.08,83640,83370,1.4,29.67,33.66,46.51,53.26,61720,70020,96730,110770,0.89,133614660,7807260,16210,322660
Arizona,2013,46290,3.8,34.34,34.14,71430,71010,0.7,25.26,29.61,39.83,44.57,52540,61590,82850,92700,0.93,133614660,7807260,136300,2475660
Arkansas,2013,23480,4.8,27,26.56,56150,55240,0.6,19.06,21.97,31.53,35.84,39650,45690,65590,74540,1.01,133614660,7807260,73700,1152600
California,2013,252940,1.6,46.62,45.34,96980,94310,1,30.61,36.46,56.69,67.8,63670,75840,117910,141030,0.86,133614660,7807260,730270,14714530
Colorado,2013,41860,3,33.16,32.73,68980,68080,0.8,23.97,27.35,38.96,44.49,49860,56900,81030,92540,0.91,133614660,7807260,119290,2295000
Connecticut,2013,34820,3.8,36.67,36.08,76280,75050,0.9,26.67,31.31,42.71,47.94,55480,65120,88830,99730,1.06,133614660,7807260,101290,1635590
