cheese,url,milk,country,region,family,type,fat_content,calcium_content,texture,rind,color,flavor,aroma,vegetarian,vegan,synonyms,alt_spellings,producers
Ailsa Craig,https://www.cheese.com/ailsa-craig/,goat,"Scotland, United Kingdom",Stewarton,NA,"semi-soft, artisan",NA,NA,"creamy, fluffy",rindless,white,creamy,goaty,TRUE,FALSE,NA,Paddy's Milestone,Dunlop Dairy
Airedale,https://www.cheese.com/airedale/,cow,New Zealand,Airedale farming district,NA,"semi-soft, artisan",NA,NA,smooth,waxed,pale yellow,"full-flavored, milky, salty, tangy","grassy, strong",TRUE,FALSE,NA,Aged Airedale,Whitestone Cheese
Aisy Cendre,https://www.cheese.com/aisy-cendre/,cow,France,Burgundy,NA,"semi-soft, smear-ripened",50%,NA,"creamy, smooth",washed,white,"full-flavored, herbaceous, salty, smokey","earthy, nutty, smokey",FALSE,FALSE,"Cendre d'Aisy, Ashen Aisy",NA,NA
Alex James Co. No 1 Cheddar,https://www.cheese.com/alex-james-co-no-1-cheddar/,cow,United Kingdom,NA,NA,hard,NA,NA,"creamy, crumbly",NA,yellow,sweet,NA,NA,NA,NA,NA,NA
Alex James Co. No 2 Blue Monday,https://www.cheese.com/alex-james-co-no-2-blue-monday/,cow,United Kingdom,NA,NA,semi-soft,NA,NA,"creamy, semi firm",NA,blue,NA,"spicy, sweet",NA,NA,NA,NA,NA
Alex James Co. No 3 Valley Brie,https://www.cheese.com/alex-james-co-no-3-valley-brie/,cow,United Kingdom,NA,NA,"soft, semi-soft",NA,NA,"buttery, creamy, semi firm, smooth, soft",NA,pale white,NA,NA,NA,NA,NA,NA,NA
Alex James Co. No 4 Goats',https://www.cheese.com/alex-james-co-no-4-goats/,goat,United Kingdom,NA,NA,fresh soft,NA,NA,"smooth, springy",NA,pale white,NA,NA,NA,NA,NA,NA,NA
Alex James Co. No 5 Grunge,https://www.cheese.com/alex-james-co-no-5-grunge/,cow,United Kingdom,NA,NA,"soft, semi-soft, organic",NA,NA,"creamy, soft",washed,orange,NA,NA,NA,NA,NA,NA,NA
Alisia-Victoria,https://www.cheese.com/alisia-victoria/,cow,Switzerland,NA,NA,firm,NA,NA,smooth,natural,golden yellow,buttery,nutty,NA,NA,NA,NA,Eyeweid
Allgauer Emmentaler,https://www.cheese.com/allgauer-emmentaler/,cow,Germany,Swabia,NA,hard,45%,NA,firm,natural,yellow,nutty,pungent,FALSE,FALSE,NA,NA,NA
Allium Piper,https://www.cheese.com/allium-piper/,goat,Australia,South Australia,NA,"fresh soft, artisan",45%,NA,"creamy, soft",NA,white,"garlicky, spicy","fresh, garlicky, spicy",TRUE,FALSE,"Woodside Chevre - Allium Piper, Woodside Allium Piper",NA,Woodside Cheese Wrights
Alma Vorarlberger Alpkäse (3-5 months),https://www.cheese.com/alma-vorarlberger-alpkase-3-5-months/,cow,Austria,Vorarlberg,NA,"hard, artisan",34%,NA,firm,natural,yellow,"mild, spicy","mild, spicy",FALSE,FALSE,Vorarlberg Alpine cheese 3-5 months,NA,Rupp AG
Alma Vorarlberger Alpkäse (6-9 months),https://www.cheese.com/alma-vorarlberger-alpkase-6-9-months/,cow,Austria,Vorarlberg,NA,"hard, artisan",34%,NA,firm,natural,yellow,"spicy, strong","spicy, strong",FALSE,FALSE,Vorarlberg Alpine cheese 6-9 months,NA,Rupp AG
Alma Vorarlberger Bergkäse (10 months),https://www.cheese.com/alma-vorarlberger-bergkase-10-months/,cow,Austria,"Bregenzerwald, Kleinwalsertal, Großwalsertal, Laiblachtal (Pfänderstock) and Rheintal",NA,"hard, artisan",34%,NA,"brittle, firm, flaky, open",natural,yellow,"piquant, spicy, strong, tangy","aromatic, strong",FALSE,FALSE,Rupp Vorarlberger Bergkäse,Vorarlberger Bergkase 10 months,Rupp AG
Alma Vorarlberger Bergkäse (12 months),https://www.cheese.com/alma-vorarlberger-bergkase-12-months/,cow,Austria,"Bregenzerwald, Kleinwalsertal, Großwalsertal, Laiblachtal (Pfänderstock) and Rheintal",NA,"hard, artisan",34%,NA,"brittle, firm, flaky, open",natural,yellow,"piquant, spicy, strong, tangy","aromatic, strong",FALSE,FALSE,Rupp Vorarlberger Bergkäse,Vorarlberger Bergkase 12 months,Rupp AG
Alma Vorarlberger Bergkäse (6 months),https://www.cheese.com/alma-vorarlberger-bergkase-6-months/,cow,Austria,"Bregenzerwald, Kleinwalsertal, Großwalsertal, Laiblachtal (Pfänderstock) and Rheintal",NA,"hard, artisan",34%,NA,"firm, open, supple",natural,cream,"piquant, spicy, tangy",aromatic,FALSE,FALSE,Rupp Vorarlberger Bergkäse,Vorarlberger Bergkase 6 months,Rupp AG
Almnäs Tegel,https://www.cheese.com/almnas-tegel/,cow,Sweden,Västra Götaland,NA,"hard, smear-ripened",NA,NA,"open, smooth",washed,straw,"caramel, fruity, nutty","fruity, sweet",FALSE,FALSE,NA,Almnas Tegel,Almnäs Bruk
Alpe di Frabosa,https://www.cheese.com/alpe-di-frabosa/,cow,Italy,NA,NA,semi-soft,NA,NA,,NA,NA,bitter,"milky, mushroom",FALSE,FALSE,NA,NA,NA
Alpha Tolman,https://www.cheese.com/alpha-tolman/,cow,United States,"Greensboro, VT",Swiss Cheese,"semi-hard, artisan",NA,NA,"dense, elastic, smooth",washed,yellow,"buttery, caramel, fruity, full-flavored, nutty","fruity, nutty",NA,NA,NA,NA,Jasper Hill Farm
Alpicrème,https://www.cheese.com/alpicreme/,goat,France,NA,NA,soft,NA,NA,,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA
Alpine Gold,https://www.cheese.com/alpine-gold/,cow,Canada,British Columbia,NA,"semi-soft, brined",NA,NA,supple,washed,cream,"floral, grassy, savory","earthy, floral, rich",FALSE,FALSE,NA,NA,The Farm House Natural Cheeses
Alpkäse,https://www.cheese.com/alpkase/,cow,Switzerland,NA,NA,hard,NA,NA,dense,natural,golden yellow,herbaceous,rich,FALSE,FALSE,Alpkase,NA,Jumi
Alps Rebel,https://www.cheese.com/alps-rebel/,cow,Austria,Sulzberg,NA,"semi-hard, artisan",48%,NA,"creamy, open",natural,yellow,"buttery, citrusy, milky, piquant","fruity, lactic, milky, nutty",NA,NA,Alpenrebell,NA,Sulzberger Käserebellen Sennerei GmbH
Alta Badia,https://www.cheese.com/alta-badia/,cow,Italy,NA,NA,semi-soft,33.5 g/100g,NA,firm,NA,NA,"milky, sharp, tangy",NA,FALSE,FALSE,NA,NA,Mila LATTE MONTAGNA ALTO ADIGE
Alverca,https://www.cheese.com/alverca/,"goat, sheep",Portugal,NA,NA,semi-hard,40-50%,NA,,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA
Amablu Blue cheese,https://www.cheese.com/amablu-blue-cheese/,cow,United States,NA,Blue,"semi-soft, artisan, blue-veined",NA,NA,crumbly,NA,NA,tangy,NA,FALSE,FALSE,NA,NA,Caves of Faribault
Amalthée,https://www.cheese.com/amalthee/,goat,France,Charentes-Poitou,NA,"soft, soft-ripened",NA,NA,,bloomy,NA,"grassy, mild, sweet","goaty, grassy, mild, sweet",FALSE,FALSE,NA,NA,NA
Amarelo de Beira Baixa,https://www.cheese.com/amarelo-de-beira-baixa/,"goat, sheep",Portugal,Beira Baixa Province,NA,"semi-firm, artisan",45-60%,NA,,NA,yellow,acidic,NA,FALSE,FALSE,"Amarelo da Beira Baixa Cheese (DOP), Queijo amarelo da Beira Baixa",NA,NA
Ameribella,https://www.cheese.com/ameribella/,cow,United States,Indiana,NA,"semi-soft, artisan",NA,NA,"creamy, runny, smooth, spreadable",washed,straw,"mushroomy, salty, savory, sweet","earthy, grassy, lactic",NA,NA,Arabella,NA,Jacobs & Brichford Farmstead Cheese
American Cheese,https://www.cheese.com/american-cheese/,cow,United States,NA,NA,"semi-soft, processed",NA,NA,smooth,rindless,yellow,NA,mild,FALSE,FALSE,NA,NA,NA
Ami du Chambertin,https://www.cheese.com/ami-du-chambertin/,cow,France,"Gevrey-Chambertin, Burgundy",NA,"semi-soft, artisan, brined",45%,NA,smooth,washed,white,"buttery, sharp",NA,FALSE,FALSE,L'Ami du Chambertin,NA,NA
Amish Frolic,https://www.cheese.com/amish-frolic/,cow,United States,"Milford, NJ",NA,"hard, artisan",NA,NA,"flaky, open",natural,pale yellow,"grassy, nutty, sweet",grassy,FALSE,FALSE,NA,NA,Bobolink Dairy
Amou,https://www.cheese.com/amou/,sheep,France,"Amou, Gascony",NA,firm,45%,NA,,NA,golden yellow,NA,NA,FALSE,FALSE,"l'Amou, Amu",NA,NA
Amsterdammer (British Columbia),https://www.cheese.com/amsterdammer-british-columbia/,,Canada,"Comox Valley, Vancouver Island",NA,"semi-soft, firm",30%,NA,"buttery, creamy",natural,pale yellow,"buttery, creamy","aromatic, buttery",FALSE,FALSE,NA,NA,Natural Pastures Cheese Company
Amul Cheese Spread,https://www.cheese.com/amul-cheese-spread/,cow,India,Gujarat,NA,"soft, processed",NA,NA,"creamy, spreadable",NA,NA,"creamy, salty, savory, spicy",NA,TRUE,FALSE,NA,NA,Gujarat Cooperative Milk Marketing Federation (Amul)
Amul Emmental,https://www.cheese.com/amul-emmental/,cow,India,Gujarat,Swiss Cheese,semi-hard,46%,488 mg/100g,"firm, open",artificial,yellow,sweet,nutty,TRUE,FALSE,NA,NA,Gujarat Cooperative Milk Marketing Federation (Amul)
Amul Gouda,https://www.cheese.com/amul-gouda/,cow,India,Gujarat,Gouda,semi-hard,46%,492 mg/100g,"compact, dense, firm, springy",plastic,yellow,"fruity, sweet",mild,TRUE,FALSE,NA,NA,Gujarat Cooperative Milk Marketing Federation (Amul)
Amul Pizza Mozzarella Cheese,https://www.cheese.com/amul-pizza-mozzarella-cheese/,cow,India,Gujarat,Mozzarella,"semi-soft, processed",30-40%,492 mg/100g,"elastic, stringy",artificial,yellow,salty,pleasant,TRUE,FALSE,NA,NA,Gujarat Cooperative Milk Marketing Federation (Amul)
Amul Processed Cheese,https://www.cheese.com/amul-processed-cheese/,"cow, water buffalo",India,Gujarat,Cheddar,"hard, processed",26%,343 mg/100g,"crumbly, dense",artificial,yellow,"buttery, creamy, salty",NA,TRUE,FALSE,NA,NA,Gujarat Cooperative Milk Marketing Federation (Amul)
Anari,https://www.cheese.com/anari/,"goat, sheep",Cyprus,island wide,Cottage,"fresh soft, hard, artisan",8%,NA,"brittle, creamy, flaky",natural,white,"creamy, mild, salty",NA,NA,NA,"Dry Anari, Fresh Anari",NA,NA
Anejo Enchilado,https://www.cheese.com/anejo-enchilado/,"cow, goat",Mexico,NA,NA,semi-hard,NA,NA,"crumbly, firm",NA,white,"salty, sharp, spicy, strong",strong,FALSE,FALSE,"Queso Añejo, Añejo",NA,NA
Anneau du Vic-Bilh,https://www.cheese.com/anneau-du-vic-bilh/,goat,France,Pyrenees-Atlantiques,Cottage,"soft, artisan",45%,NA,"creamy, smooth",NA,white,"acidic, nutty, salty, smokey","earthy, nutty, smokey",FALSE,FALSE,NA,NA,NA
Anniversary Ale Cheddar,https://www.cheese.com/anniversary-ale-cheddar/,cow,United States,Northwest,Cheddar,"semi-hard, artisan",NA,NA,"dense, firm",NA,NA,"creamy, mild, sweet","floral, fruity",TRUE,FALSE,NA,NA,Rogue Creamery
Anster,https://www.cheese.com/anster/,cow,Scotland,Fife,NA,"semi-hard, artisan",NA,NA,"crumbly, dry",NA,ivory,milky,"milky, rich",NA,NA,NA,NA,St Andrews Farmhouse Cheese Company
Anthotyro,https://www.cheese.com/anthotyro/,"goat, sheep",Greece,"Macedonia, Thrace, Thessalia, Peloponissos, Ionian Islands, Aegean islands, Crete Island and Epirus",NA,"hard, whey",30%,318 mg/100g,crumbly,natural,white,"salty, tangy",strong,NA,NA,"Anthotyro Fresco, Anthotyro","Anthotiro, Antotiro",NA
Anthotyro Fresco,https://www.cheese.com/anthotyro-fresco/,"goat, sheep",Greece,"Macedonia, Thrace, Thessalia, Peloponissos, Ionian Islands, Aegean islands, Crete Island and Epirus",NA,"semi-soft, whey",20%,NA,"creamy, smooth",rindless,white,sweet,NA,NA,NA,"Fresh Anthotyro, Anthotiro",NA,NA
Aphrodite Goat Milk Halloumi,https://www.cheese.com/aphrodite-haloumi/,goat,Cyprus,NA,NA,"semi-soft, artisan",NA,NA,soft,rindless,white,"lemony, tangy",strong,NA,NA,Aphrodite Artisan Goat Milk Halloumi,NA,NA
Appalachian,https://www.cheese.com/appalachian/,cow,United States,Virginia,Tomme,"semi-soft, artisan",NA,NA,firm,mold ripened,white,"buttery, lemony, mushroomy","earthy, grassy, lactic",NA,NA,NA,NA,Meadow Creek Dairy
Appenzeller,https://www.cheese.com/appenzeller/,cow,Switzerland,NA,NA,"hard, artisan",NA,NA,firm,washed,NA,"fruity, nutty",strong,NA,NA,NA,"Appenzeller Classic, Appenzeller Surchoix, Appenzeller Extra",NA
Apple Walnut Smoked,https://www.cheese.com/apple-walnut-smoked/,cow,United States,Utah,Cheddar,"hard, artisan",NA,NA,"creamy, smooth",NA,yellow,"nutty, smokey , sweet","nutty, smokey, sweet",TRUE,FALSE,"Smoked Apple Walnut, Promontory Apple Walnut Smoked",NA,Beehive Cheese Company
Appleby's Double Gloucester,https://www.cheese.com/applebys-double-gloucester/,cow,"England, Great Britain, United Kingdom",Gloucestershire,NA,"hard, artisan",54.23 g/100g,NA,"crumbly, dense, firm, flaky, smooth",natural,golden yellow,"mellow, milky, nutty, subtle, tangy","subtle, sweet",TRUE,FALSE,NA,NA,Appleby's
Applewood,https://www.cheese.com/applewood/,cow,"England, Great Britain, United Kingdom",Somerset,Cheddar,semi-hard,NA,NA,"crumbly, dense",natural,yellow,"smokey , spicy",smokey,TRUE,FALSE,Applewood smoked cheddar,NA,Ilchester Cheese Company
Applewood Smoked Chevre,https://www.cheese.com/applewood-smoked-chevre/,goat,United States,Colorado,NA,"semi-soft, artisan",NA,NA,"creamy, crumbly, firm",rindless,white,subtle,woody,TRUE,FALSE,NA,NA,Haystack Mountain Creamery
Aragon,https://www.cheese.com/aragon/,,Spain,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ardi Gasna,https://www.cheese.com/ardi-gasna/,sheep,France,Midi-Pyrénées,NA,"hard, artisan",45%,NA,"firm, supple",washed,pale yellow,"mild, nutty, sharp",fresh,FALSE,FALSE,NA,NA,NA
Ardrahan,https://www.cheese.com/ardrahan/,cow,Ireland,Duhallow,NA,"semi-soft, brined",25%,NA,"chalky, smooth",washed,yellow,"acidic, buttery, nutty","earthy, pungent",TRUE,FALSE,NA,NA,Ardrahan Dairy Products Ltd.
Ardsallagh Hard Goat's Cheese,https://www.cheese.com/ardsallagh-hard-goats-cheese/,goat,Ireland,Carrigtwohill,NA,"semi-hard, artisan",NA,NA,"firm, smooth",natural,white,"nutty, salty, smooth",NA,TRUE,FALSE,NA,NA,Ardsallagh Goats Farm
Ardsallagh Smoked Cheese,https://www.cheese.com/ardsallagh-smoked-cheese/,goat,Ireland,Carrigtwohill,NA,"semi-hard, artisan",NA,NA,"firm, smooth",natural,white,"mild, nutty, smokey , sweet",NA,TRUE,FALSE,NA,NA,Ardsallagh Goats Farm
Ardsallagh Soft Goat's Cheese,https://www.cheese.com/ardsallagh-soft-goats-cheese/,,,Carrigtwohill,NA,NA,NA,NA,,natural,white,NA,NA,TRUE,FALSE,NA,NA,Ardsallagh Goats Farm
Armenian String Cheese,https://www.cheese.com/armenian-string-cheese/,"cow, goat, sheep",Armenia,NA,NA,semi-soft,NA,NA,"creamy, smooth, springy",NA,white,mild,NA,NA,NA,"Syrian String Cheese, Chechil",NA,NA
Aromes au Gene de Marc,https://www.cheese.com/aromes-au-gene-de-marc/,"cow, goat",France,Rhône-Alpes,NA,"semi-soft, artisan",25%,NA,"creamy, flaky",natural,white,strong,"fermented, pungent",FALSE,FALSE,NA,NA,NA
Arådalen,https://www.cheese.com/aradalen/,cow,Sweden,Oviken,Blue,"soft, artisan, blue-veined",34%,NA,creamy,mold ripened,ivory,sweet,NA,NA,NA,NA,NA,Oviken cheese
Ascutney Mountain,https://www.cheese.com/ascutney-mountain/,cow,United States,Vermont,Swiss Cheese,"hard, artisan",NA,NA,"chewy, dense",natural,NA,"mild, nutty, sweet","herbal, sweet",TRUE,FALSE,NA,NA,Cobb Hill Farm
Asher Blue,https://www.cheese.com/asher-blue/,cow,United States,Georgia,Blue,"semi-soft, blue-veined",NA,NA,"creamy, crumbly",natural,straw,"grassy, milky, mushroomy, salty, sweet, tangy","earthy, rich, strong",TRUE,FALSE,NA,NA,Sweet Grass Dairy
Ashley,https://www.cheese.com/ashley/,cow,United States,Colorado,NA,"soft, artisan, soft-ripened",NA,NA,"creamy, soft",ash coated,cream,sweet,NA,NA,NA,MouCo Ashley,NA,MouCo Cheese Company
Asiago DOP,https://www.cheese.com/asiago/,cow,Italy,"Veneto, Trentino",NA,hard,34-48%,NA,"compact, crumbly, open, smooth",natural,yellow,"full-flavored, milky, sharp",pungent,FALSE,FALSE,NA,NA,NA
Asiago d’Allevo DOP,https://www.cheese.com/asiago-dallevo/,cow,Italy,Veneto,NA,hard,34%,NA,compact,natural,pale yellow,savory,"pleasant, yeasty",FALSE,FALSE,"Asiago Aged, Asiago D’Allevo DOP Mitica®, Asiago Mezzano",NA,NA
Asiago Pressato DOP,https://www.cheese.com/asiago-pressato/,cow,Italy,Veneto,NA,semi-soft,48%,NA,"creamy, smooth",natural,white,"nutty, sweet",fresh,FALSE,FALSE,"Asiago Fresco, Asiago Fresco DOP Mitica®",Pressato,NA
Aspen Ash,https://www.cheese.com/aspen-ash/,goat,United States,Colorado,NA,"soft, soft-ripened",NA,NA,creamy,ash coated,white,"acidic, creamy",earthy,TRUE,FALSE,NA,NA,Haystack Mountain Creamery
Assa,https://www.cheese.com/assa/,goat,United States,"Tomales, California",NA,NA,NA,NA,,natural,NA,NA,NA,NA,NA,NA,NA,Tomales Farmstead Creamery
Aubisque Pyrenees,https://www.cheese.com/aubisque-pyrenees/,"cow, sheep",France,Béarnaise in Pyrénées-Atlantique,NA,semi-hard,NA,NA,smooth,natural,NA,"mild, smooth",NA,FALSE,FALSE,NA,NA,NA
Auld Lochnagar,https://www.cheese.com/auld-lochnagar/,cow,Scotland,NA,NA,hard,NA,NA,"compact, crumbly",natural,orange,"grassy, mellow, subtle, tangy",mild,NA,NA,NA,NA,The Cambus O’May Cheese Company
Auld Reekie,https://www.cheese.com/auld-reekie/,cow,Scotland,NA,NA,hard,NA,NA,"buttery, compact, crumbly",natural,orange,"smokey , tangy, woody","fruity, smokey, woody",FALSE,FALSE,NA,NA,The Cambus O’May Cheese Company
Aura,https://www.cheese.com/aura/,cow,Finland,Äänekoski,Blue,"semi-soft, blue-veined",NA,NA,creamy,mold ripened,pale yellow,"salty, sharp, strong, tangy",NA,FALSE,FALSE,Auro Gold,NA,Valio
Austrian Alps cheese,https://www.cheese.com/austrian-alps/,cow,Switzerland,NA,NA,NA,NA,NA,smooth,NA,NA,"nutty, spicy","aromatic, nutty, spicy",FALSE,FALSE,NA,NA,NA
Autun,https://www.cheese.com/autun/,"cow, goat",France,Burgundy,NA,"fresh soft, artisan",40-45%,NA,creamy,rindless,white,acidic,NA,FALSE,FALSE,NA,NA,NA
Avaxtskyr,https://www.cheese.com/avaxtskyr/,cow,Iceland,NA,NA,fresh soft,NA,NA,,NA,NA,NA,NA,TRUE,FALSE,"Skyr, Rjomaskyr",NA,NA
Avonlea Clothbound Cheddar,https://www.cheese.com/avonlea-clothbound-cheddar/,cow,Canada,Prince Edward Island,Cheddar,"hard, artisan",32%,NA,"creamy, crumbly, firm",cloth wrapped,straw,"fruity, mushroomy, savory",NA,TRUE,FALSE,NA,NA,COWS Inc.
