year,months,state,colony_n,colony_max,colony_lost,colony_lost_pct,colony_added,colony_reno,colony_reno_pct
2015,October-December,Tennessee,8500,10000,1100,11,70,420,4
2015,October-December,Texas,125000,250000,25000,10,13000,2000,1
2015,October-December,Utah,28000,28000,1900,7,120,100,NA
2015,October-December,Vermont,6500,6500,940,15,10,10,NA
2015,October-December,Virginia,7500,7500,750,10,NA,350,5
2015,October-December,Washington,87000,89000,6500,7,330,170,NA
2015,October-December,West Virginia,7000,7000,610,9,190,140,2
2015,October-December,Wisconsin,48000,48000,6500,14,210,10,NA
2015,October-December,Wyoming,24000,25000,1300,5,30,NA,NA
2015,October-December,Other States,11360,12560,1630,13,100,50,NA
2015,October-December,United States,2874760,NA,412380,14,117150,158790,6
2016,January-March,Alabama,7500,7500,1700,23,1200,180,2
2016,January-March,Arizona,30000,30000,4700,16,2200,960,3
2016,January-March,Arkansas,27000,27000,5000,19,4700,2200,8
2016,January-March,California,1140000,1410000,210000,15,175000,63000,5
2016,January-March,Colorado,6000,7000,570,8,NA,20,NA
2016,January-March,Connecticut,2700,2700,270,10,70,10,NA
2016,January-March,Florida,245000,265000,45000,17,36000,18500,7
2016,January-March,Georgia,100000,100000,20000,20,28000,6000,6
2016,January-March,Hawaii,15000,15000,280,2,570,1100,7
2016,January-March,Idaho,90000,97000,6500,7,5500,6500,7
2016,January-March,Illinois,7000,7500,1300,17,470,20,NA
2016,January-March,Indiana,6500,6500,770,12,40,NA,NA
2016,January-March,Iowa,16500,16500,3200,19,90,NA,NA
2016,January-March,Kansas,4700,4700,980,21,NA,200,4
2016,January-March,Kentucky,7000,7000,1300,19,110,70,1
2016,January-March,Louisiana,68000,69000,9500,14,7500,5500,8
2016,January-March,Maine,2200,3700,170,5,NA,NA,NA
2016,January-March,Maryland,6500,6500,1400,22,40,20,NA
2016,January-March,Massachusetts,3000,3000,370,12,120,330,11
2016,January-March,Michigan,25000,37000,5000,14,2300,110,NA
2016,January-March,Minnesota,37000,39000,6000,15,4400,10,NA
2016,January-March,Mississippi,24000,77000,6500,8,11000,1700,2
2016,January-March,Missouri,11500,11500,1200,10,930,290,3
2016,January-March,Montana,15500,48000,840,2,11500,NA,NA
2016,January-March,Nebraska,10500,21000,330,2,40,30,NA
2016,January-March,New Jersey,8500,8500,1000,12,80,40,1
2016,January-March,New Mexico,6000,6500,1700,26,10,70,1
2016,January-March,New York,31000,31000,4000,13,140,1400,5
2016,January-March,North Carolina,18500,24000,2500,10,80,840,4
2016,January-March,North Dakota,82000,173000,17000,10,NA,NA,NA
2016,January-March,Ohio,16000,16000,4200,26,760,100,1
2016,January-March,Oklahoma,6000,6000,2900,48,60,510,9
2016,January-March,Oregon,70000,92000,2800,3,3800,1800,2
2016,January-March,Pennsylvania,12500,12500,2900,23,220,340,3
2016,January-March,South Carolina,16500,16500,3400,21,2100,1800,11
2016,January-March,South Dakota,30000,91000,770,1,30,NA,NA
2016,January-March,Tennessee,9000,9000,1700,19,100,150,2
2016,January-March,Texas,240000,290000,29000,10,73000,42000,15
2016,January-March,Utah,12000,12500,1700,14,710,100,1
2016,January-March,Vermont,5500,5500,410,8,NA,NA,NA
2016,January-March,Virginia,6500,6500,1100,17,500,130,2
2016,January-March,Washington,78000,135000,13000,10,4200,2000,2
2016,January-March,West Virginia,6500,7500,1700,23,NA,10,NA
2016,January-March,Wisconsin,22000,23000,2900,13,530,NA,NA
2016,January-March,Wyoming,2700,5000,340,7,NA,NA,NA
2016,January-March,Other States,7290,7890,900,11,60,10,NA
2016,January-March,United States,2594590,NA,428800,17,378160,158050,6
2016,April-June,Alabama,8000,8000,930,12,1200,690,9
2016,April-June,Arizona,22000,23000,3700,16,14000,1600,7
2016,April-June,Arkansas,24000,24000,3400,14,12000,1600,7
2016,April-June,California,1110000,1150000,108000,9,240000,185000,16
2016,April-June,Colorado,9500,29000,1800,6,9000,680,2
2016,April-June,Connecticut,2500,2500,100,4,390,60,2
2016,April-June,Florida,240000,240000,29000,12,43000,21000,9
2016,April-June,Georgia,108000,111000,11000,10,17500,3600,3
2016,April-June,Hawaii,13500,13500,830,6,870,NA,NA
2016,April-June,Idaho,60000,80000,6000,8,19000,5500,7
2016,April-June,Illinois,9000,9000,740,8,2200,380,4
2016,April-June,Indiana,4300,7000,220,3,2700,900,13
2016,April-June,Iowa,10500,26000,2400,9,26000,760,3
2016,April-June,Kansas,4700,6000,960,16,3000,900,15
2016,April-June,Kentucky,5500,6000,450,8,2100,270,5
2016,April-June,Louisiana,52000,53000,4300,8,10000,9500,18
2016,April-June,Maine,3600,25000,4200,17,510,560,2
2016,April-June,Maryland,8000,9000,320,4,2800,400,4
2016,April-June,Massachusetts,4200,8500,300,4,1100,440,5
2016,April-June,Michigan,40000,103000,7500,7,13500,3200,3
2016,April-June,Minnesota,27000,126000,13000,10,24000,4200,3
2016,April-June,Mississippi,85000,90000,3700,4,9000,61000,68
2016,April-June,Missouri,12000,12500,770,6,1800,730,6
2016,April-June,Montana,62000,157000,7000,4,25000,13500,9
2016,April-June,Nebraska,19500,43000,6000,14,8000,28000,65
2016,April-June,New Jersey,4200,18000,1500,8,1900,110,1
2016,April-June,New Mexico,6500,6500,1400,22,2700,100,2
2016,April-June,New York,31000,46000,4000,9,13500,1500,3
2016,April-June,North Carolina,23000,24000,1600,7,10000,550,2
2016,April-June,North Dakota,110000,530000,27000,5,23000,95000,18
2016,April-June,Ohio,14000,16500,1700,10,6000,1100,7
2016,April-June,Oklahoma,12000,13000,310,2,4000,10000,77
2016,April-June,Oregon,77000,132000,4300,3,19000,16000,12
2016,April-June,Pennsylvania,11000,14000,1300,9,6500,1100,8
2016,April-June,South Carolina,12500,13500,1300,10,2200,410,3
2016,April-June,South Dakota,51000,182000,11000,6,15000,13000,7
2016,April-June,Tennessee,8000,8000,580,7,3900,200,3
2016,April-June,Texas,340000,350000,36000,10,74000,54000,15
2016,April-June,Utah,14500,25000,4800,19,12000,7000,28
2016,April-June,Vermont,5000,6500,20,NA,480,30,NA
2016,April-June,Virginia,6000,6500,230,4,2200,480,7
2016,April-June,Washington,91000,143000,6000,4,21000,11500,8
2016,April-June,West Virginia,7000,7000,990,14,2600,160,2
2016,April-June,Wisconsin,18500,78000,5500,7,17500,3600,5
2016,April-June,Wyoming,6500,27000,2600,10,7500,580,2
2016,April-June,Other States,7970,15530,1070,7,3270,270,2
2016,April-June,United States,2801470,NA,329820,12,736920,561160,20
2016,July-September,Alabama,8000,8000,1200,15,440,50,1
2016,July-September,Arizona,30000,32000,6000,19,3200,2600,8
2016,July-September,Arkansas,32000,32000,1500,5,270,60,NA
2016,July-September,California,740000,820000,82000,10,33000,78000,10
2016,July-September,Colorado,33000,37000,6500,18,1100,740,2
2016,July-September,Connecticut,3100,3100,270,9,890,180,6
2016,July-September,Florida,200000,220000,25000,11,62000,14500,7
2016,July-September,Georgia,102000,103000,13000,13,12500,2300,2
2016,July-September,Hawaii,13500,13500,600,4,430,820,6
2016,July-September,Idaho,79000,131000,13000,10,1900,2800,2
2016,July-September,Illinois,11000,11000,1300,12,850,310,3
2016,July-September,Indiana,9500,9500,600,6,450,550,6
2016,July-September,Iowa,50000,50000,5500,11,10500,2400,5
2016,July-September,Kansas,8000,8000,2600,33,310,190,2
2016,July-September,Kentucky,7500,7500,1000,13,900,230,3
2016,July-September,Louisiana,51000,60000,7000,12,2600,2100,4
2016,July-September,Maine,5500,5500,420,8,240,140,3
2016,July-September,Maryland,7000,7000,200,3,400,20,NA
2016,July-September,Massachusetts,9500,9500,530,6,450,40,NA
2016,July-September,Michigan,108000,108000,15000,14,11000,9500,9
2016,July-September,Minnesota,132000,138000,26000,19,1300,1900,1
2016,July-September,Mississippi,19000,20000,3300,17,750,740,4
2016,July-September,Missouri,13500,13500,650,5,480,170,1
2016,July-September,Montana,147000,158000,11500,7,4100,6500,4
2016,July-September,Nebraska,45000,47000,8500,18,390,27000,57
2016,July-September,New Jersey,18000,18000,270,2,120,80,NA
2016,July-September,New Mexico,6500,6500,1100,17,2000,1000,15
2016,July-September,New York,56000,56000,10000,18,1900,800,1
2016,July-September,North Carolina,25000,25000,1400,6,1400,1200,5
2016,July-September,North Dakota,510000,550000,71000,13,25000,104000,19
2016,July-September,Ohio,21000,21000,1600,8,980,630,3
2016,July-September,Oklahoma,3700,3700,560,15,30,30,1
2016,July-September,Oregon,107000,112000,7500,7,2900,4300,4
2016,July-September,Pennsylvania,19000,22000,1300,6,680,780,4
2016,July-September,South Carolina,13000,13500,920,7,990,50,NA
2016,July-September,South Dakota,178000,191000,25000,13,4200,9500,5
2016,July-September,Tennessee,10000,10000,950,10,340,290,3
2016,July-September,Texas,129000,143000,12000,8,12500,810,1
2016,July-September,Utah,27000,33000,3200,10,1200,120,NA
2016,July-September,Vermont,6500,6500,400,6,170,50,1
2016,July-September,Virginia,8000,8000,810,10,460,360,5
2016,July-September,Washington,57000,74000,5000,7,7500,2000,3
2016,July-September,West Virginia,7500,7500,190,3,130,220,3
2016,July-September,Wisconsin,71000,75000,12000,16,880,640,1
2016,July-September,Wyoming,32000,40000,7000,18,1800,1000,3
2016,July-September,Other States,11880,11890,1920,16,1690,430,4
2016,July-September,United States,3181180,NA,397290,12,217320,282130,9
2016,October-December,Alabama,7000,7000,610,9,50,10,NA
2016,October-December,Arizona,29000,31000,6500,21,4600,3100,10
2016,October-December,Arkansas,28000,28000,2500,9,20,10,NA
2016,October-December,California,770000,1330000,205000,15,40000,35000,3
2016,October-December,Colorado,30000,30000,4500,15,2500,NA,NA
2016,October-December,Connecticut,3100,3100,240,8,NA,NA,NA
2016,October-December,Florida,255000,300000,41000,14,31000,11500,4
2016,October-December,Georgia,96000,112000,11000,10,12000,450,NA
2016,October-December,Hawaii,13500,13500,970,7,60,840,6
2016,October-December,Idaho,121000,143000,15500,11,5000,420,NA
2016,October-December,Illinois,9000,9000,720,8,NA,NA,NA
2016,October-December,Indiana,7500,7500,1200,16,20,NA,NA
2016,October-December,Iowa,54000,54000,4700,9,NA,20,NA
2016,October-December,Kansas,5000,5000,1300,26,200,NA,NA
2016,October-December,Kentucky,7500,7500,950,13,60,80,1
2016,October-December,Louisiana,48000,57000,2000,4,250,340,1
2016,October-December,Maine,3500,3500,280,8,NA,NA,NA
2016,October-December,Maryland,7500,9500,500,5,20,30,NA
2016,October-December,Massachusetts,8000,8000,740,9,NA,NA,NA
2016,October-December,Michigan,101000,101000,12500,12,10,130,NA
2016,October-December,Minnesota,113000,114000,13500,12,NA,NA,NA
2016,October-December,Mississippi,17500,30000,2400,8,330,60,NA
2016,October-December,Missouri,9000,9000,590,7,1400,640,7
2016,October-December,Montana,124000,124000,16000,13,2700,NA,NA
2016,October-December,Nebraska,37000,37000,4300,12,190,NA,NA
2016,October-December,New Jersey,12000,12000,340,3,400,NA,NA
2016,October-December,New Mexico,7000,7000,1600,23,1100,20,NA
2016,October-December,New York,48000,49000,9000,18,240,130,NA
2016,October-December,North Carolina,25000,25000,5500,22,220,50,NA
2016,October-December,North Dakota,385000,390000,44000,11,13500,2500,1
2016,October-December,Ohio,19500,19500,2100,11,20,140,1
2016,October-December,Oklahoma,3100,44000,2700,6,120,30,NA
2016,October-December,Oregon,98000,124000,9500,8,1500,1000,1
2016,October-December,Pennsylvania,21000,21000,3100,15,120,180,1
2016,October-December,South Carolina,12000,17000,1300,8,760,370,2
2016,October-December,South Dakota,146000,146000,11000,8,NA,2400,2
2016,October-December,Tennessee,9000,9000,840,9,120,10,NA
2016,October-December,Texas,136000,310000,39000,13,2200,650,NA
2016,October-December,Utah,30000,30000,1600,5,440,50,NA
2016,October-December,Vermont,6500,6500,260,4,20,10,NA
2016,October-December,Virginia,7000,7000,730,10,230,10,NA
2016,October-December,Washington,65000,97000,9000,9,3100,130,NA
2016,October-December,West Virginia,7500,7500,1000,13,80,60,1
2016,October-December,Wisconsin,59000,59000,7500,13,10,20,NA
2016,October-December,Wyoming,25000,27000,2200,8,50,NA,NA
2016,October-December,Other States,6360,6460,580,9,20,NA,NA
2016,October-December,United States,3032060,NA,502350,17,124660,60390,2
2017,January-March,Alabama,7000,7000,1600,23,570,730,10
2017,January-March,Arizona,31000,32000,6000,19,2900,NA,NA
2017,January-March,Arkansas,18000,20000,3500,18,430,190,1
2017,January-March,California,1150000,1440000,172000,12,215000,92000,6
2017,January-March,Colorado,9500,21000,1100,5,100,NA,NA
2017,January-March,Connecticut,3100,3100,380,12,100,110,4
2017,January-March,Florida,260000,265000,30000,11,80000,33000,12
2017,January-March,Georgia,123000,125000,14000,11,36000,21000,17
2017,January-March,Hawaii,13000,13000,190,1,510,50,NA
2017,January-March,Idaho,95000,99000,8500,9,2000,280,NA
2017,January-March,Illinois,11000,11000,2900,26,3100,150,1
2017,January-March,Indiana,7000,7500,1900,25,1700,70,1
2017,January-March,Iowa,10000,15500,3000,19,70,NA,NA
2017,January-March,Kansas,3800,3800,1000,26,930,380,10
2017,January-March,Kentucky,6500,7000,1300,19,950,430,6
2017,January-March,Louisiana,44000,47000,2700,6,11000,1900,4
2017,January-March,Maine,2700,3100,1000,32,100,NA,NA
2017,January-March,Maryland,9000,9000,2100,23,770,260,3
2017,January-March,Massachusetts,3300,3300,1500,45,120,110,3
2017,January-March,Michigan,29000,59000,5000,8,600,130,NA
2017,January-March,Minnesota,27000,41000,3500,9,3300,NA,NA
2017,January-March,Mississippi,31000,68000,2600,4,23000,7500,11
2017,January-March,Missouri,6500,7500,1200,16,400,10,NA
2017,January-March,Montana,18500,46000,470,1,3100,6000,13
2017,January-March,Nebraska,7500,13000,750,6,120,NA,NA
2017,January-March,New Jersey,6000,6500,490,8,10,NA,NA
2017,January-March,New Mexico,5500,5500,2100,38,3600,NA,NA
2017,January-March,New York,32000,33000,6000,18,520,NA,NA
2017,January-March,North Carolina,16000,23000,2500,11,3700,1200,5
2017,January-March,North Dakota,50000,123000,640,1,1100,10,NA
2017,January-March,Ohio,15500,17500,4400,25,1300,530,3
2017,January-March,Oklahoma,26000,26000,550,2,9500,1600,6
2017,January-March,Oregon,71000,90000,8000,9,7500,1400,2
2017,January-March,Pennsylvania,17000,18000,4200,23,810,410,2
2017,January-March,South Carolina,17000,17500,1600,9,4700,970,6
2017,January-March,South Dakota,21000,48000,2700,6,1500,440,1
2017,January-March,Tennessee,8500,8500,1600,19,1500,160,2
2017,January-March,Texas,270000,330000,35000,11,148000,68000,21
2017,January-March,Utah,16000,18500,2700,15,2900,60,NA
2017,January-March,Vermont,6500,6500,440,7,NA,NA,NA
2017,January-March,Virginia,8000,8000,1400,18,1900,280,4
2017,January-March,Washington,68000,104000,9000,9,8500,NA,NA
2017,January-March,West Virginia,5500,8000,800,10,450,100,1
2017,January-March,Wisconsin,17000,22000,4400,20,450,70,NA
2017,January-March,Wyoming,6500,17000,3600,21,1300,NA,NA
2017,January-March,Other States,6190,6490,1540,24,130,50,1
2017,January-March,United States,2615590,NA,361850,14,586240,239580,9
2017,April-June,Alabama,6500,6500,440,7,1200,500,8
2017,April-June,Arizona,22000,22000,2600,12,12500,3000,14
2017,April-June,Arkansas,17000,17000,1900,11,5000,1300,8
2017,April-June,California,1140000,1180000,82000,7,210000,235000,20
2017,April-June,Colorado,16500,29000,3500,12,5500,7500,26
2017,April-June,Connecticut,3000,3000,140,5,2200,350,12
2017,April-June,Florida,245000,250000,25000,10,40000,50000,20
2017,April-June,Georgia,125000,142000,10500,7,21000,33000,23
2017,April-June,Hawaii,12000,12000,60,1,520,910,8
2017,April-June,Idaho,61000,78000,9500,12,24000,31000,40
2017,April-June,Illinois,12000,12500,1200,10,3600,1600,13
2017,April-June,Indiana,7500,11000,1200,11,3000,510,5
2017,April-June,Iowa,12500,23000,2000,9,24000,3900,17
2017,April-June,Kansas,4400,4900,380,8,2500,890,18
2017,April-June,Kentucky,6500,7000,560,8,2900,600,9
2017,April-June,Louisiana,56000,56000,2600,5,4600,9000,16
2017,April-June,Maine,2200,40000,910,2,790,1400,4
2017,April-June,Maryland,8000,9500,190,2,3200,930,10
2017,April-June,Massachusetts,1900,8000,130,2,1900,490,6
2017,April-June,Michigan,55000,79000,4600,6,22000,11500,15
2017,April-June,Minnesota,34000,128000,5000,4,18500,9000,7
2017,April-June,Mississippi,89000,89000,3800,4,5500,42000,47
2017,April-June,Missouri,7000,7500,260,3,1700,1000,13
2017,April-June,Montana,46000,134000,3800,3,15000,20000,15
2017,April-June,Nebraska,8500,63000,640,1,6000,39000,62
2017,April-June,New Jersey,6000,21000,430,2,1600,660,3
2017,April-June,New Mexico,7000,7500,1700,23,2300,3900,52
2017,April-June,New York,25000,41000,1300,3,16000,7500,18
2017,April-June,North Carolina,24000,25000,1600,6,3900,2700,11
2017,April-June,North Dakota,112000,385000,10500,3,19500,37000,10
2017,April-June,Ohio,13500,14500,1100,8,8000,2500,17
2017,April-June,Oklahoma,25000,25000,200,1,6500,1600,6
2017,April-June,Oregon,84000,108000,5000,5,18000,24000,22
