ref,company_manufacturer,company_location,review_date,country_of_bean_origin,specific_bean_origin_or_bar_name,cocoa_percent,ingredients,most_memorable_characteristics,rating
1015,A. Morin,France,2013,Venezuela,Chuao,70%,"4- B,S,C,L","oily, nut, caramel, raspberry",4
1019,A. Morin,France,2013,Peru,Chanchamayo Province,63%,"3- B,S,C","sweet, cocoa, tangerine",4
1315,A. Morin,France,2014,Venezuela,"Carenero, Criollo",70%,"4- B,S,C,L","harsh, leather, earthy",2.75
1315,A. Morin,France,2014,Cuba,Cuba,70%,"4- B,S,C,L","sliglty dry, papaya",3.5
1315,A. Morin,France,2014,Venezuela,"Sur del Lago, Criollo",70%,"4- B,S,C,L","nutty, mild choco, roasty",3.5
1319,A. Morin,France,2014,Venezuela,"Puerto Cabello, Criollo",70%,"4- B,S,C,L","astringent, nutty, chocolatey",3.75
1319,A. Morin,France,2014,Peru,Pablino,70%,"4- B,S,C,L","delicate, hazelnut, brownie",4
1676,A. Morin,France,2015,Togo,Kpime,70%,"4- B,S,C,L","burnt wood, earthy, choco",2.75
1676,A. Morin,France,2015,Togo,Atsane,70%,"4- B,S,C,L","roasty, acidic, nutty",3
1680,A. Morin,France,2015,Togo,Akata,70%,"4- B,S,C,L","mild profile, chocolaty, spice",3.5
1704,A. Morin,France,2015,Peru,Quilla,70%,"4- B,S,C,L","grainy texture, cocoa, sweet",3.5
1876,A. Morin,France,2016,Sao Tome,Agua Grande,63%,"4- B,S,C,L","sweet, chocolatey, vegetal",3.75
2206,A. Morin,France,2018,Venezuela,Porcelana,70%,"4- B,S,C,L","alluring aroma, powdery,nutty",3.5
2206,A. Morin,France,2018,Peru,Absolu,63%,"4- B,S,C,L","sweet, dairy, spice, cocoa",3.75
2648,A. Morin,France,2021,Mexico,La Joya,70%,"4- B,S,C,L","light color, fruit, yogurt",4
1462,Acalli,U.S.A.,2015,Peru,"Chulucanas, El Platanal, batch 001",70%,"2- B,S",yellow fruit,3.75
1470,Acalli,U.S.A.,2015,Peru,"Tumbes, Norandino",70%,"2- B,S","intense, nutty, cherry, cocoa",3.75
2462,Acalli,U.S.A.,2020,Mexico,"Teapa, Tabasco, batch 2",74%,"2- B,S","herbal, molasses, hammy",3.25
2470,Acalli,U.S.A.,2020,Peru,"Barataria, El Plantal and Norandino Tumbes blend",70%,"2- B,S","hot cocoa, rich, molasses",3.5
705,Adi aka Fijiana (Easy In Ltd),Fiji,2011,Fiji,Vanua Levu,60%,"3- B,S,C","sweet, sublte strawberry",2.75
705,Adi aka Fijiana (Easy In Ltd),Fiji,2011,Fiji,"Vanua Levu, Toto-A",80%,"3- B,S,C",spicy and candy-like,3.25
705,Adi aka Fijiana (Easy In Ltd),Fiji,2011,Fiji,Vanua Levu,88%,"3- B,S,C","orange, floral, lemon",3.5
705,Adi aka Fijiana (Easy In Ltd),Fiji,2011,Fiji,"Vanua Levu, Ami-Ami-CA",72%,"3- B,S,C",cocoa and powerful tang,3.5
2438,Aelan,Vanuatu,2019,Vanuatu,"Malekula Island, batch M10/19",70%,"2- B,S","unrefined, sweet, metallic",2.5
2438,Aelan,Vanuatu,2019,Vanuatu,"Malo Island, batch Ma20/19",70%,"2- B,S","basic, sweet, cocoa, woody",2.75
2442,Aelan,Vanuatu,2019,Vanuatu,"Santo Island, batch S15/19",70%,"2- B,S","sweet, cocoa, rubbery",2.75
2438,Aelan,Vanuatu,2019,Vanuatu,"EPI Island, batch E 11/19",70%,"2- B,S","sandy, woody, spicy, sweet",3
370,Aequare (Gianduja),Ecuador,2009,Ecuador,"Los Rios, Quevedo, Arriba",55%,"4- B,S,C,V","sandy, sweet, banana cream",2.75
370,Aequare (Gianduja),Ecuador,2009,Ecuador,"Los Rios, Quevedo, Arriba",70%,"4- B,S,C,V","roasty, nutty, coffee",3
316,Ah Cacao,Mexico,2009,Mexico,Tabasco,70%,"3- B,S,C","gritty, spice, cocoa",3
502,Akesson's (Pralus),U.K.,2010,Madagascar,"Madagascar, Ambolikapiky P.",75%,"4- B,S,C,L","strong pepper, musty",2.75
508,Akesson's (Pralus),U.K.,2010,Brazil,"Monte Alegre, D. Badero",75%,"4- B,S,C,L","fatty, intense, woody",2.75
636,Akesson's (Pralus),U.K.,2011,Indonesia,"Bali (west), Sukrama Family, Melaya area",75%,"4- B,S,C,L","hay, nut, berry",3.75
1061,Alain Ducasse,France,2013,Venezuela,Chuao,75%,"5- B,S,C,V,L","sandy, dirt, ashey",2.5
1173,Alain Ducasse,France,2013,Peru,"Piura, Perou",75%,"5- B,S,C,V,L","cardboard, dirt, roasty",2.5
1215,Alain Ducasse,France,2014,Trinidad,Trinite,65%,"6-B,S,C,V,L,Sa","roasty, sweet, savory",2.75
1215,Alain Ducasse,France,2014,Vietnam,Vietnam,75%,"5-B,S,C,V,Sa","nutty, roasty, odd dairy",2.75
1215,Alain Ducasse,France,2014,Madagascar,Madagascar,75%,"5-B,S,C,V,Sa","citrus, fatty, dairy",3
1992,Alain Ducasse,France,2017,Mexico,"Porcelana, Mexique",75%,"6-B,S,C,V,L,Sa","strawberry, cream, gateway",3.5
1944,Alexandre,Netherlands,2017,Ecuador,"Winak Coop, Napo",70%,"3- B,S,C","sandy, green, floral",3.5
1944,Alexandre,Netherlands,2017,Nicaragua,"La Dalia, Matagalpa",70%,"3- B,S,C","sandy, sweet, nibby",3.5
1944,Alexandre,Netherlands,2017,Tanzania,"Makwale Village, Kyela",70%,"3- B,S,C","sandy, melon, banana",3.5
1944,Alexandre,Netherlands,2017,Vietnam,Tien Giang,70%,"3- B,S,C","sandy, sweet, roasty",3.5
1125,Altus aka Cao Artisan,U.S.A.,2013,Venezuela,Sur del Lago,60%,"4- B,S,C,L","sweet, moldy, off",2.5
1125,Altus aka Cao Artisan,U.S.A.,2013,Dominican Republic,"Conacado, batch 130",60%,"4- B,S,C,L","sandy, sweet, dairy, spice",3
1133,Altus aka Cao Artisan,U.S.A.,2013,Bolivia,"Bolivia, batch 154",60%,"4- B,S,C,L","grit, sweet, caramel, fruit",3
1129,Altus aka Cao Artisan,U.S.A.,2013,Bolivia,"Bolivia, batch 101",80%,"4- B,S,C,L","gritty, berry, mild bitter",3.25
1133,Altus aka Cao Artisan,U.S.A.,2013,Peru,"Peru, batch 148",60%,"4- B,S,C,L","gritty, too sweet, fruit",3.25
1732,Altus aka Cao Artisan,U.S.A.,2016,Bolivia,CIAAB Coop,60%,"3- B,S,C","sandy, sweet, pungent",2.5
1732,Altus aka Cao Artisan,U.S.A.,2016,Peru,Villa Andina,60%,"3- B,S,C","sandy, sweet, sour, off",2.5
1728,Altus aka Cao Artisan,U.S.A.,2016,Nicaragua,Momotombo,60%,"3- B,S,C","powdery, sweet, molasses",2.75
1732,Altus aka Cao Artisan,U.S.A.,2016,Ecuador,Gruppo Salinas,60%,"3- B,S,C","sandy, nutty, earthy, roasty",2.75
1728,Altus aka Cao Artisan,U.S.A.,2016,Peru,Acopagro,60%,"3- B,S,C","dry, sweet, caramel",3
2044,Altus aka Cao Artisan,U.S.A.,2018,Dominican Republic,Oko Caribe,70%,"3- B,S,C","sweet, coarse, nutty",3
147,Amano,U.S.A.,2007,Venezuela,Cuyagua,70%,"4- B,S,C,V","waxy, nutty, mint",3
129,Amano,U.S.A.,2007,Madagascar,Madagascar,70%,"4- B,S,C,V","spice, nut, cocoa, fruit",3.5
175,Amano,U.S.A.,2007,Venezuela,Ocumare,70%,"4- B,S,C,V","spicy, strawberry",3.75
304,Amano,U.S.A.,2008,Indonesia,"Bali, Jembrana",70%,"4- B,S,C,V","sticky, nutty, high acidity",2.75
363,Amano,U.S.A.,2009,Venezuela,Montanya,70%,"4- B,S,C,V","hot spice, roasty",3
544,Amano,U.S.A.,2010,Venezuela,Chuao,70%,"4- B,S,C,V","woody, red berry, sour",3
470,Amano,U.S.A.,2010,Dominican Republic,Dos Rios,70%,"4- B,S,C,V","orange, cinamon",3.75
470,Amano,U.S.A.,2010,Ecuador,Guayas,70%,"4- B,S,C,V","strong spice, intense pepper",4
725,Amano,U.S.A.,2011,Papua New Guinea,Morobe,70%,"4- B,S,C,V","tart, lemon, smoke",4
327,Amatller (Simon Coll),Spain,2009,Ecuador,Ecuador,70%,"2- B,S","waxy mouthfeel, spicy",2.75
464,Amatller (Simon Coll),Spain,2009,Ecuador,Ecuador,85%,"2- B,S","fatty, mushroom, off notes",2.75
322,Amatller (Simon Coll),Spain,2009,Ghana,Ghana,70%,"2- B,S","dry, chalky, fudge-like",3
464,Amatller (Simon Coll),Spain,2009,Ghana,Ghana,85%,"2- B,S","roasty,oddly sweet,marshmallow",3
1964,Amazing Cacao,Russia,2017,Peru,Maranon,70%,,"raisins, pungent",3
1964,Amazing Cacao,Russia,2017,Peru,Platan Bajo,70%,,"few grits, blackcherry, licorice",3.5
1145,Amazona,Peru,2013,Peru,"LamasdelChanka, San Martin, Oro Verde coop",72%,"3- B,S,C","oily, vanilla, melon, cocoa",3.25
1145,Amazona,Peru,2013,Peru,"Bellavista Gran Pajeten, San Martin",73%,"3- B,S,C","oily, vegetal, nutty, cocoa",3.5
1494,Ambrosia,Canada,2015,Belize,Belize,64%,"4- B,S,C,L","roasty, brownie, nutty",3
1494,Ambrosia,Canada,2015,Madagascar,Madagascar,66%,"2- B,S","fruity, sour",3.25
1498,Ambrosia,Canada,2015,Dominican Republic,Dominican Republic,75%,"2- B,S","high roast, high astringnet",3.25
1498,Ambrosia,Canada,2015,Papua New Guinea,Papua New Guinea,63%,"2- B,S","smokey, savory",3.25
1498,Ambrosia,Canada,2015,Venezuela,Venezuela,70%,"2- B,S","sandy, roasty, nutty",3.25
1498,Ambrosia,Canada,2015,Peru,Peru,68%,"2- B,S","rich, sour, mild smoke",3.5
75,Amedei,Italy,2006,Blend,Toscano Black,66%,"4- B,S,C,V","red wine, rich cocoa, long",3.75
123,Amedei,Italy,2007,Ecuador,Ecuador,70%,"4- B,S,C,V","creamy, earthy, vegetal",3
123,Amedei,Italy,2007,Jamaica,Jamaica,70%,"4- B,S,C,V","sandy, woody, spicy",3
123,Amedei,Italy,2007,Grenada,Grenada,70%,"4- B,S,C,V",fruity with coffee notes,3.5
129,Amedei,Italy,2007,Trinidad,Trinidad,70%,"4- B,S,C,V","coffee, fruit, woodsy",3.5
170,Amedei,Italy,2007,Blend,Toscano Black,63%,"4- B,S,C,V","fatty, dairy, caramel, cocoa",3.5
123,Amedei,Italy,2007,Venezuela,Venezuela,70%,"4- B,S,C,V","creamy, fruit, cocoa",3.75
979,Amedei,Italy,2012,Peru,"Piura, Blanco de Criollo",70%,"4- B,S,C,V","creamy, raspberry, nutty",3.75
2088,Amedei,Italy,2018,Madagascar,Madagascar,70%,"4- B,S,C,V","vanilla, mint, roasty",3
2088,Amedei,Italy,2018,Venezuela,Chuao,70%,"4- B,S,C,V","vanilla, nuts, roasty",3
2092,Amedei,Italy,2018,Venezuela,Porcelana,70%,"4- B,S,C,V","nutty, mild roasty, vanilla",3
2092,Amedei,Italy,2018,Blend,Nine,75%,"4- B,S,C,V","sweet, delicate, complex",3.5
2434,Amedei,Italy,2019,Blend,Toscano Black,70%,"3- B,S,C","nut, fatty, rubbery, rich",2.75
572,AMMA,Brazil,2010,Brazil,"Monte Alegre, 3 diff. plantations",85%,"4- B,S,C,L","creamy, red berry, bitter",2.75
572,AMMA,Brazil,2010,Brazil,"Monte Alegre, 3 diff. plantations",50%,"4- B,S,C,L","very sweet, bright red, banana",3.75
572,AMMA,Brazil,2010,Brazil,"Monte Alegre, 3 diff. plantations",75%,"4- B,S,C,L","roasty, fatty, nutty, coffee",3.75
572,AMMA,Brazil,2010,Brazil,"Monte Alegre, 3 diff. plantations",60%,"4- B,S,C,L","creamy, sweet,cocoa,banana",4
1065,AMMA,Brazil,2013,Brazil,Catongo,75%,"4- B,S,C,L","grainy, sweet, poor aftertaste",3.25
1259,Anahata,U.S.A.,2014,Dominican Republic,Elvesia,75%,"2- B,S","chalky, mild fruit, burnt",3
1852,Animas,U.S.A.,2016,Bolivia,Alto Beni,75%,"2- B,S","light roast, caramel, cocoa",3.5
2586,Animas,U.S.A.,2021,Belize,"Maya Mountain, batch 39",75%,"2- B,S","burnt toast, cherry",3
2586,Animas,U.S.A.,2021,Guatemala,"Alta Verapaz, Cahabon & Lanquin regions, b. 4243",75%,"2- B,S","orange citrus, harsh earthiness",3.25
1379,Ara,France,2014,Mexico,Chiapas,72%,"3- B,S,C","earthy, sour milk, leather",2.5
1379,Ara,France,2014,Ecuador,Equateur,75%,"3- B,S,C","bitter, floral, leather",2.75
1375,Ara,France,2014,Madagascar,Madagascar,75%,"3- B,S,C","sandy, fruity, short",3
1379,Ara,France,2014,Venezuela,Trincheras,75%,"3- B,S,C","nutty, mild spice, mild earthy",3
1602,Arete,U.S.A.,2015,Brazil,Fazenda Camboa,75%,"2- B,S","floral, chemical off",2.75
1602,Arete,U.S.A.,2015,Guatemala,Guatemala,70%,"2- B,S","strawberry, butterscotch, off",3.25
1534,Arete,U.S.A.,2015,Brazil,Fazenda Camboa,70%,"2- B,S","creamy, rich, rum, roasty",3.5
1534,Arete,U.S.A.,2015,Peru,Nacional,68%,"2- B,S","floral, nutty, rich cocoa",3.5
1598,Arete,U.S.A.,2015,Dominican Republic,Oko Caribe,70%,"2- B,S","spicy, brownie, nutty",3.5
1602,Arete,U.S.A.,2015,Ecuador,Camino Verde,75%,"3- B,S,C","intense, floral, bourbon",3.5
1534,Arete,U.S.A.,2015,Ecuador,"Puerto Quito, heirloom",70%,"2- B,S","spicy, cocoa",3.75
1598,Arete,U.S.A.,2015,Belize,Maya Mountain,70%,"2- B,S","floral, strawberry, metallic",3.75
1598,Arete,U.S.A.,2015,Nicaragua,Chuno,70%,"2- B,S","creamy,sticky, peanut butter",4
1904,Arete,U.S.A.,2016,Ecuador,Hacienda Victoria,70%,"3- B,S,C","sticky, floral, roasty",3.25
1904,Arete,U.S.A.,2016,Ecuador,Costa Esmeraldas,70%,"3- B,S,C","chewy, mild floral",3.25
1928,Arete,U.S.A.,2016,Fiji,Matasawalevu,70%,"2- B,S","smoke, hammy, cocoa base",3.25
1928,Arete,U.S.A.,2016,Vietnam,Lam Dong,73%,"2- B,S","earthy, nutty, cardboard",3.25
1724,Arete,U.S.A.,2016,Trinidad,San Juan,70%,"2- B,S","delicate, simple",3.5
1900,Arete,U.S.A.,2016,Vietnam,Tien Giang,73%,"3- B,S,C","cashew, roasty, chunky melt",3.5
1904,Arete,U.S.A.,2016,Guatemala,Lachua,70%,"2- B,S","subtle, mysterious",3.5
1908,Arete,U.S.A.,2016,Honduras,"La Masica, FHIA",70%,"2- B,S","nutty, green",3.5
1724,Arete,U.S.A.,2016,Tanzania,Kokoa Kamili,70%,"2- B,S","appealing smoke, woody",3.75
1904,Arete,U.S.A.,2016,Nicaragua,Rugoso,70%,"3- B,S,C","muddy, rich cocoa, raspberry",3.75
1928,Arete,U.S.A.,2016,Dominican Republic,Elvesia,70%,"2- B,S","dark berry, chocolatey",3.75
1908,Arete,U.S.A.,2016,Costa Rica,"Coto Brus, Terciopelo",70%,"2- B,S","balanced, cherry, choco",4
1924,Arete,U.S.A.,2016,Peru,Phantom,70%,"2- B,S","creamy, complex, balanced",4
2020,Arete,U.S.A.,2017,India,Anamalai,70%,"2- B,S","slight roasty, basic cocoa",3.5
2020,Arete,U.S.A.,2017,Madagascar,Sambirano Valley,70%,"3- B,S,C",sour fruit,3.5
2020,Arete,U.S.A.,2017,Vietnam,Ben Tre,73%,"3- B,S,C","rich cocoa, mild roasty",3.5
2028,Arete,U.S.A.,2017,Peru,Ucayali,70%,"3- B,S,C","dried fruit, fig, anise",3.5
2024,Arete,U.S.A.,2017,Bolivia,Beniano,70%,"2- B,S","creamy, bright fruit",4
2028,Arete,U.S.A.,2017,Haiti,Pisa,70%,"2- B,S","long lasting, cocoa",4
2068,Arete,U.S.A.,2018,Trinidad,Ramnath E.,70%,"2- B,S","nuts, dried fruit, short",3
2254,Arete,U.S.A.,2018,Colombia,Tumaco,70%,"2- B,S","smooth, nutty, cocoa",4
2450,Arete,U.S.A.,2019,India,Idukki,70%,"3- B,S,C","burn butterscotch, rubbery",3
2330,Arete,U.S.A.,2019,India,Jangareddygudem,70%,"3- B,S,C","herbs, mushroom, acidic",3.25
2166,Argencove,Nicaragua,2018,Nicaragua,Apoyo,70%,"2- B,S","cocoa, earthy, hammy",3
2162,Argencove,Nicaragua,2018,Nicaragua,Masaya,70%,"2- B,S","melon, late hammy",3.25
2162,Argencove,Nicaragua,2018,Nicaragua,Mombacho,70%,"2- B,S","smooth, vegetal",3.5
2162,Argencove,Nicaragua,2018,Nicaragua,Cocibolca,70%,"2- B,S","roasty, rich cocoa",3.5
300,Artisan du Chocolat,U.K.,2008,Congo,Congo,72%,"3- B,S,C","spicy, minty, vegetal",3.75
363,Artisan du Chocolat,U.K.,2009,Brazil,Brazil Rio Doce,72%,"3- B,S,C","cocoa, dominate off note",1.75
355,Artisan du Chocolat,U.K.,2009,Venezuela,"Ocumare, Venezuela",75%,"3- B,S,C","oily, nutty, burnt, sour",2.5
355,Artisan du Chocolat,U.K.,2009,Indonesia,Java,72%,"3- B,S,C","gritty, very smokey, sour",2.75
363,Artisan du Chocolat,U.K.,2009,Madagascar,Madagascar,80%,"3- B,S,C","sl. bitter, cherry, rich",3
363,Artisan du Chocolat,U.K.,2009,Peru,Peru,75%,"3- B,S,C","spicey, mild metallic",3
363,Artisan du Chocolat,U.K.,2009,Dominican Republic,Dominican Republic,72%,"3- B,S,C","spice, cocoa, short",3.25
486,Artisan du Chocolat,U.K.,2010,Venezuela,Venezuela,100%,,"very nutty, very bitter",1.75
600,Artisan du Chocolat,U.K.,2010,Costa Rica,Costa Rica,72%,"3- B,S,C","chewy, grassy, nutty",3.25
600,Artisan du Chocolat,U.K.,2010,Vietnam,Ba Ria Vung Tau Province,72%,"3- B,S,C","unrefined, distinct spicey",3.25
600,Artisan du Chocolat,U.K.,2010,Indonesia,Bali,72%,"3- B,S,C",black pepper and banana,3.5
531,Artisan du Chocolat,U.K.,2010,Jamaica,Jamaica,72%,"3- B,S,C","grassy, black licorice, mint",3.75
745,Artisan du Chocolat,U.K.,2011,Panama,Panama,72%,"3- B,S,C","blackpepper,chemical,rubber",2.75
729,Artisan du Chocolat,U.K.,2011,Haiti,Haiti,72%,"3- B,S,C","nuts, butterscotch, brownie",4
947,Artisan du Chocolat,U.K.,2012,Colombia,"Colombia, Casa Luker",72%,"3- B,S,C","marshmallow, roasty, nutty",3.75
1193,Artisan du Chocolat,U.K.,2013,Trinidad,"Trinidad, Heritage, Limited ed.",72%,"3- B,S,C","gritty, nutty",3.25
1181,Artisan du Chocolat (Casa Luker),U.K.,2013,Colombia,"Orinoqua Region, Arauca",72%,"4- B,S,C,L","creamy, marshmallow, off",2.75
2562,Aruntam,Italy,2021,India,"Idukki Kerala, lot IN728221",72%,"4- B,S,C,L","cinamon, nutmeg, fatty",3.25
2562,Aruntam,Italy,2021,Madagascar,"Bejofo E., Akesson, lot MA72820",72%,"4- B,S,C,L","strawberry, sour",3.25
2566,Aruntam,Italy,2021,Tanzania,"Kokoa Kamili, lot TZ72199",72%,"4- B,S,C,L","caramel, sour milk",3.5
141,Askinosie,U.S.A.,2007,Mexico,Xoconusco,75%,"2- B,S","leather, black licorice, off",2.5
175,Askinosie,U.S.A.,2007,Ecuador,San Jose del Tambo,70%,"2- B,S","smooth, astringent, cocoa",3
331,Askinosie,U.S.A.,2009,Philippines,Davao,77%,"2- B,S","strawberries, mild tart, roasty",3.75
647,Askinosie,U.S.A.,2011,Tanzania,"Tenende, Uwate",72%,"2- B,S","creamy, woody, cocoa",3.75
661,Askinosie,U.S.A.,2011,Honduras,Cortes,70%,"2- B,S","grapes, woody, roasty",3.75
1780,Askinosie,U.S.A.,2016,Tanzania,Mababa,68%,"3- B,S,C","creamy, rich, blueberry",3.75
2434,Atypic,Australia,2019,Solomon Islands,Solomon Islands,70%,"4- B,S,C,L","off aroma,vegetal,honey,sandy",3
2056,Auro,Philippines,2018,Philippines,Davao,77%,"4- B,S,V,L","sandy, vanilla",2.75
2056,Auro,Philippines,2018,Philippines,"Paquibao E., 2016",70%,"3- B,S,C","waxy, dried fruit",3
2056,Auro,Philippines,2018,Philippines,South Cotabato,70%,"3- B,S,C","sandy, roasty, nutty",3
2056,Auro,Philippines,2018,Philippines,"Saloy E., 2016",70%,"3- B,S,C","long, bright fruit, sweet, sour",3.5
2672,Avanaa,Canada,2021,Colombia,Tumaco,70%,"2- B,S","chemical, spice, earthy",2.5
2672,Avanaa,Canada,2021,Dominican Republic,Zorzal,70%,"2- B,S","intense, sour tart plum, rubber",3
999,Bahen & Co.,Australia,2012,Brazil,Bahia,70%,"2- B,S","chalky, intense, chemical",2.5
999,Bahen & Co.,Australia,2012,Blend,Houseblend,70%,"2- B,S","chalky, fragrant, then off",2.5
995,Bahen & Co.,Australia,2012,Madagascar,Sambirano,70%,"2- B,S","unrefined, flat, grassy",3
1474,Bahen & Co.,Australia,2015,Blend,Houseblend,80%,"2- B,S","coarse, smokey, metallic",3.25
1474,Bahen & Co.,Australia,2015,Papua New Guinea,Papua New Guinea,70%,"2- B,S","smoke, ham, papaya",3.5
2146,Baiani,Brazil,2018,Brazil,"Bahia, Vale Potumujo",70%,"2- B,S","bland, sugary, large grits",3
1454,Bakau,Peru,2015,Peru,"Bambamarca, 2015",70%,"3- B,S,C","molasses, caramel, pungent",2.75
1454,Bakau,Peru,2015,Peru,"Huallabamba, 2015",70%,"3- B,S,C","black pepper, cardamom",3.5
2290,Bankston,U.S.A.,2019,Belize,Belize,72%,"3- B,S,C","gritty, fatty, sour, off",2.5
2294,Bankston,U.S.A.,2019,Uganda,Uganda,82%,"3- B,S,C","bitter, fatty, mild fruit",2.75
2294,Bankston,U.S.A.,2019,Tanzania,Kokoa Kamili,72%,"3- B,S,C","base cocoa, mild fruit, roasty",3.25
983,Bar Au Chocolat,U.S.A.,2012,Dominican Republic,Duarte Province,70%,"2- B,S","complex,black pepper,coffee",3.25
983,Bar Au Chocolat,U.S.A.,2012,Mexico,Chiapas,70%,"2- B,S","molasses,toffee,coffee grounds",3.5
983,Bar Au Chocolat,U.S.A.,2012,Madagascar,Sambirano,70%,"2- B,S","raspberry, mild sour",3.75
1295,Bar Au Chocolat,U.S.A.,2014,Peru,Maranon Canyon,70%,"2- B,S","creamy, rounded, orange",4
1554,Bar Au Chocolat,U.S.A.,2015,Brazil,Bahia,70%,"2- B,S","intense, smokey, dried fruit",3.5
1980,Bar Au Chocolat,U.S.A.,2017,Costa Rica,"Turrialba, Cartago P.",72%,"2- B,S","slightly dry, cocoa, berry",3.5
1980,Bar Au Chocolat,U.S.A.,2017,Trinidad,Montserrat Hills,80%,"2- B,S","intense, tangy, alcohol",3.5
955,Baravelli's,Wales,2012,Costa Rica,single estate,80%,"4- B,S,C,V","gritty, floral, vanilla",2.75
1880,Batch,U.S.A.,2016,Ecuador,Ecuador,65%,"3- B,S,C","sandy, floral, sweet",3.25
1840,Batch,U.S.A.,2016,Dominican Republic,"Dominican Republic, Batch 3",65%,"3- B,S,C","creamy, sweet, fudgey",3.5
1868,Batch,U.S.A.,2016,Brazil,Brazil,70%,"3- B,S,C","strawberry, candy flavor",3.75
2374,Bean,U.K.,2019,Peru,Peru,70%,"4- B,S,C,V","strong vanilla, off notes",2.25
1948,Beau Cacao,U.K.,2017,Malaysia,"Asajaya E, NW Borneo, b. #132/4500",73%,"3- B,S,C","caramel, spice, earthy",3
1948,Beau Cacao,U.K.,2017,Malaysia,"Serian E., NW Borneo, b. #134/3800",72%,"3- B,S,C","smokey, woody, tobacco",3.25
1784,Beehive,U.S.A.,2016,Brazil,"Brazil, Batch 20316",80%,"3- B,S,C","intense, bitter, dry",2.75
1784,Beehive,U.S.A.,2016,Dominican Republic,"Dominican Republic, Batch 31616",70%,"3- B,S,C","sandy, sweet, molasses",2.75
1784,Beehive,U.S.A.,2016,Ecuador,"Ecuador, Batch 31516",70%,"3- B,S,C","intense, floral, black pepper",2.75
1788,Beehive,U.S.A.,2016,Ecuador,Ecuador,90%,"3- B,S,C","intense floral, bitter, earthy",2.75
586,Belcolade,Belgium,2010,Costa Rica,Costa Rica,64%,"4- B,S,C,L","pastey, nutty",2.75
586,Belcolade,Belgium,2010,Papua New Guinea,Papua New Guinea,64%,"4- B,S,C,L","intense, smokey",2.75
586,Belcolade,Belgium,2010,Peru,Peru,64%,"4- B,S,C,L","sticky, moss, nuts",2.75
586,Belcolade,Belgium,2010,Ecuador,Ecuador,71%,"4- B,S,C,L","dry, cinamon, nutmeg",3.5
1804,Bellflower,U.S.A.,2016,Bolivia,"Alto Beni, Palos Blanco",70%,"3- B,S,C","oily, complex, pungent",3.25
1800,Bellflower,U.S.A.,2016,Tanzania,"Kokao Kamili, Kilombero Valley",70%,"3- B,S,C","sticky, delicate, melon",3.5
1864,Bellflower,U.S.A.,2016,Dominican Republic,"Oko Caribe, Duarte P.",70%,"2- B,S","caramel, mild dried fruit",3.5
2190,Belvie,Vietnam,2018,Vietnam,Lam Dong,75%,"3- B,S,C","high acidity, nutty, roasty",3.25
2648,Belvie,Vietnam,2021,Vietnam,"Ben Tre, batch 70301",70%,"3- B,S,C",dominate cocoa notes,3.75
1768,Belyzium,Germany,2016,Belize,"Belize south, low fermentation",83%,"3- B,S,C","unbalanced, tangy, pungent",2.75
1768,Belyzium,Germany,2016,Belize,Belize south,78%,"3- B,S,C","sweet, nibby, green",3
