name,contact_name,contact_url,description,title,provider_name,service_name,license_name,license_url,terms_of_service
adyen.com:BalanceControlService,Adyen Developer Experience team,https://www.adyen.help/hc/en-us/community/topics,"The Balance Control API lets you transfer funds between merchant accounts that belong to the same legal entity and are under the same company account.

## Authentication
To connect to the Balance Control API, you must authenticate your requests with an [API key or basic auth username and password](https://docs.adyen.com/development-resources/api-authentication). To learn how you can generate these, see [API credentials](https://docs.adyen.com/development-resources/api-credentials).Here is an example of authenticating a request with an API key:

```
curl
-H ""X-API-Key: Your_API_key"" \
-H ""Content-Type: application/json"" \
...
```
Note that when going live, you need to generate API credentials to access the [live endpoints](https://docs.adyen.com/development-resources/live-endpoints).

## Versioning
The Balance Control API supports [versioning](https://docs.adyen.com/development-resources/versioning) using a version suffix in the endpoint URL. This suffix has the following format: ""vXX"", where XX is the version number.

For example:

```
https://pal-test.adyen.com/pal/servlet/BalanceControl/v1/balanceTransfer
```
",Adyen Balance Control API,adyen.com,BalanceControlService,NA,NA,https://www.adyen.com/legal/terms-and-conditions
adyen.com:BalancePlatformConfigurationNotification-v1,Adyen Developer Experience team,https://www.adyen.help/hc/en-us/community/topics,"Adyen sends notifications through webhooks to inform your system about events that occur in your platform. These events include, for example, when an account holder's capabilities are updated, or when a sweep configuration is created or updated. 
When an event occurs, Adyen makes an HTTP POST request to a URL on your server and includes the details of the event in the request body.

You can use these webhooks to build your implementation. For example, you can use this information to update internal statuses when the status of a capability is changed.",Configuration webhooks,adyen.com,BalancePlatformConfigurationNotification-v1,NA,NA,https://www.adyen.com/legal/terms-and-conditions
adyen.com:BalancePlatformPaymentNotification-v1,Adyen Developer Experience team,https://www.adyen.help/hc/en-us/community/topics,"The payment webhooks are deprecated. Use the [accounting webhooks](https://docs.adyen.com/api-explorer/transfer-webhooks/latest/overview) instead.

Adyen sends notifications through webhooks to inform your system about the creation of payment resources and money movements in your platform.

You can use these webhooks to build your implementation. For example, you can use this information to update balances in your own dashboards or to keep track of incoming funds.",Payment webhooks (deprecated),adyen.com,BalancePlatformPaymentNotification-v1,NA,NA,https://www.adyen.com/legal/terms-and-conditions
adyen.com:BalancePlatformReportNotification-v1,Adyen Developer Experience team,https://www.adyen.help/hc/en-us/community/topics,"Adyen sends notifications through webhooks to inform your system that reports were generated and are ready to be downloaded.

You can download reports programmatically by making an HTTP GET request, or manually from your [Balance Platform Customer Area](https://balanceplatform-test.adyen.com/balanceplatform).",Report webhooks,adyen.com,BalancePlatformReportNotification-v1,NA,NA,https://www.adyen.com/legal/terms-and-conditions
adyen.com:BalancePlatformService,Adyen Developer Experience team,https://www.adyen.help/hc/en-us/community/topics,"The Configuration API enables you to create a platform where you can onboard your users as account holders and create balance accounts, cards, and business accounts.

## Authentication
Your Adyen contact will provide your API credential and an API key. To connect to the API, add an `X-API-Key` header with the API key as the value, for example:

 ```
curl
-H ""Content-Type: application/json"" \
-H ""X-API-Key: YOUR_API_KEY"" \
...
```

Alternatively, you can use the username and password to connect to the API using basic authentication. For example:

```
curl
-H ""Content-Type: application/json"" \
-U ""ws@BalancePlatform.YOUR_BALANCE_PLATFORM"":""YOUR_WS_PASSWORD"" \
...
```
## Versioning
The Configuration API supports [versioning](https://docs.adyen.com/development-resources/versioning) using a version suffix in the endpoint URL. This suffix has the following format: ""vXX"", where XX is the version number.

For example:
```
https://balanceplatform-api-test.adyen.com/bcl/v2/accountHolders
```
## Going live
When going live, your Adyen contact will provide your API credential for the live environment. You can then use the API key or the username and password to send requests to `https://balanceplatform-api-live.adyen.com/bcl/v2`.",Configuration API,adyen.com,BalancePlatformService,NA,NA,https://www.adyen.com/legal/terms-and-conditions
adyen.com:BalancePlatformTransferNotification-v3,Adyen Developer Experience team,https://www.adyen.help/hc/en-us/community/topics,"Adyen sends notifications through webhooks to inform your system about incoming and outgoing transfers in your platform.

You can use these webhooks to build your implementation. For example, you can use this information to update balances in your own dashboards or to keep track of incoming funds.",Transfer webhooks,adyen.com,BalancePlatformTransferNotification-v3,NA,NA,https://www.adyen.com/legal/terms-and-conditions
adyen.com:BinLookupService,Adyen Developer Experience team,https://www.adyen.help/hc/en-us/community/topics,"The BIN Lookup API provides endpoints for retrieving information, such as cost estimates, and 3D Secure supported version based on a given BIN.

## Authentication
You need an [API credential](https://docs.adyen.com/development-resources/api-credentials) to authenticate to the API.

If using an API key, add an `X-API-Key` header with the API key as the value, for example:

 ```
curl
-H ""Content-Type: application/json"" \
-H ""X-API-Key: YOUR_API_KEY"" \
...
```

Alternatively, you can use the username and password to connect to the API using basic authentication, for example:

```
curl
-U ""ws@Company.YOUR_COMPANY_ACCOUNT"":""YOUR_BASIC_AUTHENTICATION_PASSWORD"" \
-H ""Content-Type: application/json"" \
...
```

## Versioning
The BinLookup API supports [versioning](https://docs.adyen.com/development-resources/versioning) using a version suffix in the endpoint URL. This suffix has the following format: ""vXX"", where XX is the version number.

For example:
```
https://pal-test.adyen.com/pal/servlet/BinLookup/v54/get3dsAvailability
```## Going live

To authneticate to the live endpoints, you need an [API credential](https://docs.adyen.com/development-resources/api-credentials) from your live Customer Area.

The live endpoint URLs contain a prefix which is unique to your company account:
```

https://{PREFIX}-pal-live.adyenpayments.com/pal/servlet/BinLookup/v54/get3dsAvailability
```

Get your `{PREFIX}` from your live Customer Area under **Developers** > **API URLs** > **Prefix**.",Adyen BinLookup API,adyen.com,BinLookupService,NA,NA,https://www.adyen.com/legal/terms-and-conditions
adyen.com:CheckoutService,Adyen Developer Experience team,https://www.adyen.help/hc/en-us/community/topics,"Adyen Checkout API provides a simple and flexible way to initiate and authorise online payments. You can use the same integration for payments made with cards (including 3D Secure), mobile wallets, and local payment methods (for example, iDEAL and Sofort).

This API reference provides information on available endpoints and how to interact with them. To learn more about the API, visit [online payments documentation](https://docs.adyen.com/online-payments).

## Authentication
Each request to Checkout API must be signed with an API key. For this, [get your API key](https://docs.adyen.com/development-resources/api-credentials#generate-api-key) from your Customer Area, and set this key to the `X-API-Key` header value, for example:

```
curl
-H ""Content-Type: application/json"" \
-H ""X-API-Key: YOUR_API_KEY"" \
...
```
## Versioning
Checkout API supports [versioning](https://docs.adyen.com/development-resources/versioning) using a version suffix in the endpoint URL. This suffix has the following format: ""vXX"", where XX is the version number.

For example:
```
https://checkout-test.adyen.com/v70/payments
```

## Going live

To access the live endpoints, you need an API key from your live Customer Area.

The live endpoint URLs contain a prefix which is unique to your company account, for example:
```
https://{PREFIX}-checkout-live.adyenpayments.com/checkout/v70/payments
```

Get your `{PREFIX}` from your live Customer Area under **Developers** > **API URLs** > **Prefix**.

When preparing to do live transactions with Checkout API, follow the [go-live checklist](https://docs.adyen.com/online-payments/go-live-checklist) to make sure you've got all the required configuration in place.

## Release notes
Have a look at the [release notes](https://docs.adyen.com/online-payments/release-notes?integration_type=api&version=70) to find out what changed in this version!",Adyen Checkout API,adyen.com,CheckoutService,NA,NA,https://www.adyen.com/legal/terms-and-conditions
adyen.com:CheckoutUtilityService,Adyen Support,https://support.adyen.com/,"A web service containing utility functions available for merchants integrating with Checkout APIs.
## Authentication
Each request to the Checkout Utility API must be signed with an API key. For this, obtain an API Key from your Customer Area, as described in [How to get the Checkout API key](https://docs.adyen.com/developers/user-management/how-to-get-the-checkout-api-key). Then set this key to the `X-API-Key` header value, for example:

```
curl
-H ""Content-Type: application/json"" \
-H ""X-API-Key: Your_Checkout_API_key"" \
...
```
Note that when going live, you need to generate a new API Key to access the [live endpoints](https://docs.adyen.com/developers/api-reference/live-endpoints).

## Versioning
Checkout API supports versioning of its endpoints through a version suffix in the endpoint URL. This suffix has the following format: ""vXX"", where XX is the version number.

For example:
```
https://checkout-test.adyen.com/v1/originKeys
```",Adyen Checkout Utility Service,adyen.com,CheckoutUtilityService,NA,NA,https://docs.adyen.com/legal/terms-conditions
adyen.com:DataProtectionService,Adyen Developer Experience team,https://www.adyen.help/hc/en-us/community/topics,"Adyen Data Protection API provides a way for you to process [Subject Erasure Requests](https://gdpr-info.eu/art-17-gdpr/) as mandated in GDPR.

Use our API to submit a request to delete shopper's data, including payment details and other related information (for example, delivery address or shopper email).## Authentication
Each request to the Data Protection API must be signed with an API key. Get your API Key from your Customer Area, as described in [How to get the API key](https://docs.adyen.com/development-resources/api-credentials#generate-api-key). Then set this key to the `X-API-Key` header value, for example:

```
curl
-H ""Content-Type: application/json"" \
-H ""X-API-Key: Your_API_key"" \
...
```
Note that when going live, you need to generate a new API Key to access the [live endpoints](https://docs.adyen.com/development-resources/live-endpoints).

## Versioning
Data Protection Service API supports [versioning](https://docs.adyen.com/development-resources/versioning) using a version suffix in the endpoint URL. This suffix has the following format: ""vXX"", where XX is the version number.

For example:
```
https://ca-test.adyen.com/ca/services/DataProtectionService/v1/requestSubjectErasure
```",Adyen Data Protection API,adyen.com,DataProtectionService,NA,NA,https://www.adyen.com/legal/terms-and-conditions
adyen.com:FundService,Adyen Developer Experience team,https://www.adyen.help/hc/en-us/community/topics,"This API is used for the classic integration. If you are just starting your implementation, refer to our [new integration guide](https://docs.adyen.com/marketplaces-and-platforms) instead.

The Fund API provides endpoints for managing the funds in the accounts on your platform. These management operations include, for example, the transfer of funds from one account to another, the payout of funds to an account holder, and the retrieval of balances in an account.

For more information, refer to our [documentation](https://docs.adyen.com/marketplaces-and-platforms/classic/).
## Authentication
Your Adyen contact will provide your API credential and an API key. To connect to the API, add an `X-API-Key` header with the API key as the value, for example:

 ```
curl
-H ""Content-Type: application/json"" \
-H ""X-API-Key: YOUR_API_KEY"" \
...
```

Alternatively, you can use the username and password to connect to the API using basic authentication. For example:

```
curl
-U ""ws@MarketPlace.YOUR_PLATFORM_ACCOUNT"":""YOUR_WS_PASSWORD"" \
-H ""Content-Type: application/json"" \
...
```
When going live, you need to generate new web service user credentials to access the [live endpoints](https://docs.adyen.com/development-resources/live-endpoints).

## Versioning
The Fund API supports [versioning](https://docs.adyen.com/development-resources/versioning) using a version suffix in the endpoint URL. This suffix has the following format: ""vXX"", where XX is the version number.

For example:
```
https://cal-test.adyen.com/cal/services/Fund/v6/accountHolderBalance
```",Fund API,adyen.com,FundService,NA,NA,https://www.adyen.com/legal/terms-and-conditions
adyen.com:HopService,Adyen Developer Experience team,https://www.adyen.help/hc/en-us/community/topics,"This API is used for the classic integration. If you are just starting your implementation, refer to our [new integration guide](https://docs.adyen.com/marketplaces-and-platforms) instead.

The Hosted onboarding API provides endpoints that you can use to generate links to Adyen-hosted pages, such as an [onboarding page](https://docs.adyen.com/marketplaces-and-platforms/classic/hosted-onboarding-page) or a [PCI compliance questionnaire](https://docs.adyen.com/marketplaces-and-platforms/classic/platforms-for-partners). You can provide these links to your account holders so that they can complete their onboarding.

## Authentication
Your Adyen contact will provide your API credential and an API key. To connect to the API, add an `X-API-Key` header with the API key as the value, for example:

 ```
curl
-H ""Content-Type: application/json"" \
-H ""X-API-Key: YOUR_API_KEY"" \
...
```

Alternatively, you can use the username and password to connect to the API using basic authentication. For example:

```
curl
-U ""ws@MarketPlace.YOUR_PLATFORM_ACCOUNT"":""YOUR_WS_PASSWORD"" \
-H ""Content-Type: application/json"" \
...
```
When going live, you need to generate new web service user credentials to access the [live endpoints](https://docs.adyen.com/development-resources/live-endpoints).

## Versioning
The Hosted onboarding API supports [versioning](https://docs.adyen.com/development-resources/versioning) using a version suffix in the endpoint URL. This suffix has the following format: ""vXX"", where XX is the version number.

For example:
```
https://cal-test.adyen.com/cal/services/Hop/v6/getOnboardingUrl
```",Hosted onboarding API,adyen.com,HopService,NA,NA,https://www.adyen.com/legal/terms-and-conditions
adyen.com:LegalEntityService,Adyen Developer Experience team,https://www.adyen.help/hc/en-us/community/topics,"The Legal Entity Management API enables you to manage legal entities that contain information required for verification. 
## Authentication
To connect to the Legal Entity Management API, you must use the basic authentication credentials of your web service user. If you don't have one, contact the [Adyen Support Team](https://www.adyen.help/hc/en-us/requests/new). Use the web service user credentials to authenticate your request, for example:

```
curl
-U ""ws_123456@Scope.BalancePlatform_YourBalancePlatform"":""YourWsPassword"" \
-H ""Content-Type: application/json"" \
...
```
Note that when going live, you need to generate new web service user credentials to access the [live endpoints](https://docs.adyen.com/development-resources/live-endpoints).

## Versioning
The Legal Entity Management API supports versioning of its endpoints through a version suffix in the endpoint URL. This suffix has the following format: ""vXX"", where XX is the version number.

For example:
```
https://kyc-test.adyen.com/lem/v3/legalEntities
```
## Going live
When going live, your Adyen contact will provide your API credential for the live environment. You can then use the username and password to send requests to `https://kyc-live.adyen.com/lem/v3`.

",Legal Entity Management API,adyen.com,LegalEntityService,NA,NA,https://www.adyen.com/legal/terms-and-conditions
adyen.com:ManagementNotificationService-v1,Adyen Developer Experience team,https://www.adyen.help/hc/en-us/community/topics,"Adyen uses webhooks to inform your system about events that happen with your Adyen company and merchant accounts, stores, payment terminals, and payment methods when using [Management API](https://docs.adyen.com/api-explorer/#/ManagementService/latest/overview).

When an event occurs, Adyen makes an HTTP POST request to a URL on your server and includes the details of the event in the request body.

See [Webhooks](https://docs.adyen.com/development-resources/webhooks) for more information.",Management Webhooks,adyen.com,ManagementNotificationService-v1,NA,NA,https://www.adyen.com/legal/terms-and-conditions
adyen.com:ManagementService,Adyen Developer Experience team,https://www.adyen.help/hc/en-us/community/topics,"Configure and manage your Adyen company and merchant accounts, stores, and payment terminals.
## Authentication
Each request to the Management API must be signed with an API key. [Generate your API key](https://docs.adyen.com/development-resources/api-credentials#generate-api-key) in the Customer Area and then set this key to the `X-API-Key` header value.

To access the live endpoints, you need to generate a new API key in your live Customer Area.
## Versioning

Management API handles versioning as part of the endpoint URL. For example, to send a request to version 1 of the `/companies/{companyId}/webhooks` endpoint, use:

```text
https://management-test.adyen.com/v1/companies/{companyId}/webhooks
```

## Going live

To access the live endpoints, you need an API key from your live Customer Area. Use this API key to make requests to:

```text
https://management-live.adyen.com/v1
```",Management API,adyen.com,ManagementService,NA,NA,https://www.adyen.com/legal/terms-and-conditions
adyen.com:MarketPayNotificationService,Adyen Developer Experience team,https://www.adyen.help/hc/en-us/community/topics,"This API is used for the classic integration. If you are just starting your implementation, refer to our [new integration guide](https://docs.adyen.com/marketplaces-and-platforms) instead.

The Notification API sends notifications to the endpoints specified in a given subscription. 
Subscriptions are managed through the Notification Configuration API. The API specifications listed here detail the format of each notification.

For more information, refer to our [documentation](https://docs.adyen.com/marketplaces-and-platforms/classic/notifications).",Classic Platforms - Notifications,adyen.com,MarketPayNotificationService,NA,NA,https://www.adyen.com/legal/terms-and-conditions
adyen.com:NotificationConfigurationService,Adyen Developer Experience team,https://www.adyen.help/hc/en-us/community/topics,"This API is used for the classic integration. If you are just starting your implementation, refer to our [new integration guide](https://docs.adyen.com/marketplaces-and-platforms) instead.

The Notification Configuration API provides endpoints for setting up and testing notifications that inform you of events on your platform, for example when a verification check or a payout has been completed.

For more information, refer to our [documentation](https://docs.adyen.com/marketplaces-and-platforms/classic/notifications).
## Authentication
Your Adyen contact will provide your API credential and an API key. To connect to the API, add an `X-API-Key` header with the API key as the value, for example:

 ```
curl
-H ""Content-Type: application/json"" \
-H ""X-API-Key: YOUR_API_KEY"" \
...
```

Alternatively, you can use the username and password to connect to the API using basic authentication. For example:

```
curl
-U ""ws@MarketPlace.YOUR_PLATFORM_ACCOUNT"":""YOUR_WS_PASSWORD"" \
-H ""Content-Type: application/json"" \
...
```
When going live, you need to generate new web service user credentials to access the [live endpoints](https://docs.adyen.com/development-resources/live-endpoints).

## Versioning
The Notification Configuration API supports [versioning](https://docs.adyen.com/development-resources/versioning) using a version suffix in the endpoint URL. This suffix has the following format: ""vXX"", where XX is the version number.

For example:
```
https://cal-test.adyen.com/cal/services/Notification/v6/createNotificationConfiguration
```",Notification Configuration API,adyen.com,NotificationConfigurationService,NA,NA,https://www.adyen.com/legal/terms-and-conditions
adyen.com:PaymentService,Adyen Developer Experience team,https://www.adyen.help/hc/en-us/community/topics,"A set of API endpoints that allow you to initiate, settle, and modify payments on the Adyen payments platform. You can use the API to accept card payments (including One-Click and 3D Secure), bank transfers, ewallets, and many other payment methods.

To learn more about the API, visit [Classic integration](https://docs.adyen.com/classic-integration).

## Authentication
You need an [API credential](https://docs.adyen.com/development-resources/api-credentials) to authenticate to the API.

If using an API key, add an `X-API-Key` header with the API key as the value, for example:

 ```
curl
-H ""Content-Type: application/json"" \
-H ""X-API-Key: YOUR_API_KEY"" \
...
```

Alternatively, you can use the username and password to connect to the API using basic authentication, for example:

```
curl
-U ""ws@Company.YOUR_COMPANY_ACCOUNT"":""YOUR_BASIC_AUTHENTICATION_PASSWORD"" \
-H ""Content-Type: application/json"" \
...
```

## Versioning
Payments API supports [versioning](https://docs.adyen.com/development-resources/versioning) using a version suffix in the endpoint URL. This suffix has the following format: ""vXX"", where XX is the version number.

For example:
```
https://pal-test.adyen.com/pal/servlet/Payment/v68/authorise
```

## Going live

To authenticate to the live endpoints, you need an [API credential](https://docs.adyen.com/development-resources/api-credentials) from your live Customer Area.

The live endpoint URLs contain a prefix which is unique to your company account:
```

https://{PREFIX}-pal-live.adyenpayments.com/pal/servlet/Payment/v68/authorise
```

Get your `{PREFIX}` from your live Customer Area under **Developers** > **API URLs** > **Prefix**.",Adyen Payment API,adyen.com,PaymentService,NA,NA,https://www.adyen.com/legal/terms-and-conditions
adyen.com:PayoutService,Adyen Developer Experience team,https://www.adyen.help/hc/en-us/community/topics,"A set of API endpoints that allow you to store payout details, confirm, or decline a payout.

For more information, refer to [Online payouts](https://docs.adyen.com/online-payments/online-payouts).
## Authentication
To use the Payout API, you need to have [two API credentials](https://docs.adyen.com/online-payments/online-payouts#payouts-to-bank-accounts-and-wallets): one for storing payout details and submitting payouts, and another one for confirming or declining payouts. If you don't have the required API credentials, contact our [Support Team](https://www.adyen.help/hc/en-us/requests/new).

Both of these API credentials must be authenticated with [basic authentication](https://docs.adyen.com/development-resources/api-credentials#basic-authentication).The following example shows how to authenticate your request when submitting a payout:

```
curl
-U ""storePayout@Company.YOUR_COMPANY_ACCOUNT"":""YOUR_BASIC_AUTHENTICATION_PASSWORD"" \
-H ""Content-Type: application/json"" \
...
```

## Versioning
Payments API supports [versioning](https://docs.adyen.com/development-resources/versioning) using a version suffix in the endpoint URL. This suffix has the following format: ""vXX"", where XX is the version number.

For example:
```
https://pal-test.adyen.com/pal/servlet/Payout/v68/payout
```

## Going live

To authenticate to the live endpoints, you need [API credentials](https://docs.adyen.com/development-resources/api-credentials) from your live Customer Area.

The live endpoint URLs contain a prefix which is unique to your company account:
```

https://{PREFIX}-pal-live.adyenpayments.com/pal/servlet/Payout/v68/payout
```

Get your `{PREFIX}` from your live Customer Area under **Developers** > **API URLs** > **Prefix**.",Adyen Payout API,adyen.com,PayoutService,NA,NA,https://www.adyen.com/legal/terms-and-conditions
adyen.com:RecurringService,Adyen Developer Experience team,https://www.adyen.help/hc/en-us/community/topics,"The Recurring APIs allow you to manage and remove your tokens or saved payment details. Tokens should be created with validation during a payment request.

For more information, refer to our [Tokenization documentation](https://docs.adyen.com/online-payments/tokenization).
## Authentication
You need an [API credential](https://docs.adyen.com/development-resources/api-credentials) to authenticate to the API.

If using an API key, add an `X-API-Key` header with the API key as the value, for example:

 ```
curl
-H ""Content-Type: application/json"" \
-H ""X-API-Key: YOUR_API_KEY"" \
...
```

Alternatively, you can use the username and password to connect to the API using basic authentication, for example:

```
curl
-U ""ws@Company.YOUR_COMPANY_ACCOUNT"":""YOUR_BASIC_AUTHENTICATION_PASSWORD"" \
-H ""Content-Type: application/json"" \
...
```

## Versioning
Recurring API supports [versioning](https://docs.adyen.com/development-resources/versioning) using a version suffix in the endpoint URL. This suffix has the following format: ""vXX"", where XX is the version number.

For example:
```
https://pal-test.adyen.com/pal/servlet/Recurring/v68/disable
```

## Going live

To authenticate to the live endpoints, you need an [API credential](https://docs.adyen.com/development-resources/api-credentials) from your live Customer Area.

The live endpoint URLs contain a prefix which is unique to your company account:
```

https://{PREFIX}-pal-live.adyenpayments.com/pal/servlet/Recurring/v68/disable
```

Get your `{PREFIX}` from your live Customer Area under **Developers** > **API URLs** > **Prefix**.",Adyen Recurring API,adyen.com,RecurringService,NA,NA,https://www.adyen.com/legal/terms-and-conditions
adyen.com:StoredValueService,Adyen Developer Experience team,https://www.adyen.help/hc/en-us/community/topics,A set of API endpoints to manage stored value products.,Adyen Stored Value API,adyen.com,StoredValueService,NA,NA,https://www.adyen.com/legal/terms-and-conditions
adyen.com:TestCardService,Adyen Developer Experience team,https://www.adyen.help/hc/en-us/community/topics,"The Test Cards API provides endpoints for generating custom test card numbers. For more information, refer to [Custom test cards](https://docs.adyen.com/development-resources/testing/create-test-cards) documentation.",Adyen Test Cards API,adyen.com,TestCardService,NA,NA,https://www.adyen.com/legal/terms-and-conditions
