Year,Sugar,Glucose,Coffee_substitute,Seed_oil,Ethyl_alcohol_1,Ethyl_alcohol_2,Beer
1951,655009,227449,123416,448470,319301,337499,1167044
1952,669051,253014,128091,376320,386940,437719,1478771
1953,686729,279387,141446,457420,436569,337850,1342183
1954,790513,317961,159822,459640,326814,391002,1410980
1955,1077484,334918,172180,687403,290089,428871,1534311
1956,898566,359535,182679,1049796,393031,421617,1675801
1957,778167,406673,186281,1044656,428450,547613,1697474
1958,1009135,428429,193462,1148094,496807,420748,1958842
1959,1292526,428328,189833,1343863,481095,700265,2071089
1960,918302,433336,188266,1335098,384850,835143,2488889
1961,903013,496896,183403,1599674,494437,630798,3053887
1962,917424,537870,179970,1903364,444516,661561,3779407
1963,840267,597351,181366,2507478,449596,1016713,3687295
1964,993762,591872,172676,2599755,491368,818807,4283181
1965,1142129,624238,181129,2949217,501291,858307,4547342
1966,1234767,650902,172108,3540694,436304,694943,5178506
1967,1542829,709165,162839,4037762,501578,669081,5552503
1968,1186849,789335,160960,3632629,640726,925525,5383907
1969,1273732,885189,168812,3735069,680879,1006801,5748391
1970,1102329,1016528,151657,4312983,537288,1219725,5937897
1971,1140699,1116969,142594,4415681,630677,1220666,6284607
1972,1153276,1216786,132444,4180473,811476,675386,6529339
1973,1144783,1362284,NA,4030004,986836,802995,6637342
1974,1053284,1513417,NA,3603004,1173311,1214050,8063857
1975,1474132,1451039,NA,3441445,950985,1503237,6492661
1976,1612936,1795015,NA,2956367,1394453,980378,7257140
1977,1229039,1675068,NA,3146991,1396351,635661,7310558
1978,1510183,1854915,NA,3560594,1324360,544309,7996738
1979,1563910,1846356,NA,3929363,1127193,953233,8930963
1980,1815783,2021330,NA,4435485,885924,1905315,8538419
1981,2011316,2223565,NA,4157149,879003,2203087,9019465
1982,1247837,1183796,NA,NA,NA,2004409,10155257
1983,1259697,1105856,NA,NA,NA,2309955,10120682
1984,1286682,NA,NA,NA,NA,NA,NA
1985,1189601,NA,NA,NA,NA,NA,NA
