title,url,rating,subtitle,author,published,claim
Dallas Copper Bandits,https://www.snopes.com/fact-check/dallas-copper-thieves/,undetermined,Rumor: A graphic image set illustrates the gruesome fates of two copper thieves in Dallas.,David Mikkelson,2015-04-17,A graphic image set illustrates the gruesome fates of two copper thieves in Dallas.
Baby Killed by Electric Shock from Cord,https://www.snopes.com/fact-check/shock-schlocktrine/,mostly false,Rumor: Image depicts a toddler who was electrocuted after playing with an electrical cord.,David Mikkelson,2015-03-31,Image depicts a toddler who was electrocuted after playing with an electrical cord.
Is This Photo of an 'Inhuman' Handprint Left on a Window Real?,https://www.snopes.com/fact-check/inhuman-handprint-2/,false,This creepy picture is often used to illustrate a fictional story about a missing college student — complete with fake Snopes rating.,David Mikkelson,2015-03-29,Photograph shows an unnaturally large handprint left on the window of a missing college student's dorm room.
Kids Using Burt's Bees on Eyelids to Get High?,https://www.snopes.com/fact-check/kids-using-burts-bees-eyelids-get-high/,false,Rumor: Kids are rubbing Burt's Bees lip balm on their eyelids to get high.,David Mikkelson,2015-03-20,Kids are rubbing Burt's Bees lip balm on their eyelids to get high.
Can 9-Volt Batteries Cause House Fires?,https://www.snopes.com/fact-check/ash-fault-and-battery/,mixture,A rumor holds that improperly stored or discarded 9-volt batteries can touch off house fires.,David Mikkelson,2015-01-30,Improperly stored or discarded 9-volt batteries can touch off house fires.
1962 Halloween Massacre,https://www.snopes.com/fact-check/black-mask-of-death/,false,Image purportedly documents a masked partygoer who fatally stabbed seven people with a kitchen knife on Halloween 1962.,David Mikkelson,2014-10-19,Photograph shows a masked partygoer who killed seven people on Halloween 1962.
Spider Lives in Man's Scar?,https://www.snopes.com/fact-check/bali-awry/,probably false,A vacationing man discovered that increasing pain he was experiencing was due to a tropical spider's living under his skin?,David Mikkelson,2014-10-16,A vacationing man discovered that increasing pain he was experiencing was due to a tropical spider's living under his skin.
Is This a Photograph of a Venomous 'Asp' Caterpillar?,https://www.snopes.com/fact-check/venomous-asp-caterpillar/,true,This deceptively fluffy-looking caterpillar has a painful sting.,David Mikkelson,2014-09-07,Photographs show a venomous caterpillar known as an asp.
Did a Teenager Die Attempting the Ice Bucket Challenge?,https://www.snopes.com/fact-check/ice-bucket-challenge-deaths/,false,Did a teenager die attempting the ALS 'ice bucket challenge'?,David Mikkelson,2014-08-19,A teenager died attempting the ALS 'ice bucket challenge.'
Smoking Bedbugs to Get High,https://www.snopes.com/fact-check/smoking-bedbugs/,false,Rumor: Schoolkids are smoking and injecting crushed bedbugs to get high from a hallucinogenic substance they contain.,David Mikkelson,2014-04-09,Schoolkids are smoking and injecting crushed bedbugs to get high from a hallucinogenic substance they contain.
Razor Blades Found in Playground Equipment,https://www.snopes.com/fact-check/deadly-playground/,true,Razor blades were discovered glued to playground equipment in a public park.,David Mikkelson,2014-03-24,Razor blades were discovered glued to playground equipment in a public park.
Did a Family Die After Drinking From a Tea Kettle Poisoned By a Deadly Spider?,https://www.snopes.com/fact-check/family-die-spider-tea-kettle/,false,"Milk, sugar, and poison is not how one typically takes their tea.",Barbara Mikkelson,2014-03-11,A family perished after drinking tea from a kettle in which a deadly spider had died.
Husband Convicted of Manslaughter After Dutch Oven Goes 'Horribly Wrong',https://www.snopes.com/fact-check/dutch-oven/,false,Was a man convicted of manslaughter for accidentally killing his wife with a 'Dutch oven'?,David Mikkelson,2013-12-05,"A man was convicted of manslaughter for accidentally killing his wife with a ""Dutch oven."""
Was the Russian Sleep Experiment Real?,https://www.snopes.com/fact-check/russian-sleep-experiment-orange-soda/,false,An account describing the horrific results of a 'Russian Sleep Experiment' from the late 1940s is a work of modern creepy fiction.,David Mikkelson,2013-08-27,"Account describes the horrific results of a ""Russian Sleep Experiment"" from the late 1940s."
Burglar Discovers Suicide,https://www.snopes.com/fact-check/criminal-discovery/,true,A burglar discovered a suicide in the home he'd broken into.,Barbara Mikkelson,2013-06-23,A burglar discovered a suicide in the home he'd broken into.
Killer's Reflection,https://www.snopes.com/fact-check/upon-reflection/,legend,Wet footprints behind the sofa prove that a teen babysitter barely escaped from a knife-wielding intruder.,Barbara Mikkelson,2013-06-11,Wet footprints behind the sofa prove that a teen babysitter barely escaped from a knife-wielding intruder.
Black-Eyed Children,https://www.snopes.com/fact-check/black-eyed-children/,legend,Spooky tale of mysterious black-eyed children who show up at the homes of unsuspecting residents.,David Mikkelson,2013-04-28,Mysterious black-eyed children show up at the homes of unsuspecting residents.
The Expressionless Ghost,https://www.snopes.com/fact-check/the-expressionless/,legend,Did an 'expressionless' apparition in a blood-covered gown appear at Cedars-Sinai hospital in 1972?,David Mikkelson,2013-01-24,"An ""expressionless"" apparition in a blood-covered gown appeared at Cedars-Sinai hospital in 1972."
LQP-79 Zombie Virus,https://www.snopes.com/fact-check/lqp-79-zombie-virus/,false,A virus known as LQP-79 produces 'zombie-like' cannibalistic behavior in humans?,David Mikkelson,2012-05-31,"A virus known as LQP-79 produces ""zombie-like"" cannibalistic behavior in humans."
Razor Blade Found in Footies,https://www.snopes.com/fact-check/footie-loose/,true,Razor blade discovered in child's footies (footed pajamas) injures baby?,Barbara Mikkelson,2012-03-06,"A razor blade discovered in a child's ""footies"" (footed pajamas) injured a baby."
Hair Weave Worms,https://www.snopes.com/fact-check/the-writhing-weave/,false,Weave made from dead person's hair causes worms to grow in recipient's scalp.,Barbara Mikkelson,2010-11-04,Weave made from dead person's hair causes worms to grow in recipient's scalp.
Silly Bandz Danger,https://www.snopes.com/fact-check/wrist-risk/,true,A child injured his arm through extended wearing of Silly Bandz?,David Mikkelson,2010-11-03,A child injured his arm through extended wearing of Silly Bandz.
Did a Soldier Return From Deployment to Find Their Family Dead?,https://www.snopes.com/fact-check/soldier-return-family-dead/,true,The horrifying homecoming is a long-running legend that might be based on a true tragedy.,Barbara Mikkelson,2010-09-30,"A soldier returning from deployment discovered his wife had died during his absence, and their children had starved to death."
Cannibal Restaurant Hoax,https://www.snopes.com/fact-check/flesh-potted/,false,A Berlin restaurant plans to offer meals made from human body parts?,Barbara Mikkelson,2010-09-05,A Berlin restaurant plans to offer meals made from human body parts.
Fatal Laptop Fire,https://www.snopes.com/fact-check/fatal-laptop-fire/,mixture,An overheated laptop in a bed caused a fatal house fire?,Barbara Mikkelson,2010-08-17,An overheated laptop used in a bed caused a fatal house fire.
Cockroach Eggs in Drinking Straws,https://www.snopes.com/fact-check/straw-bedded/,false,Do cockroach eggs in drinking straws pose a general danger to restaurant patrons?,Barbara Mikkelson,2010-03-22,Cockroach eggs in drinking straws pose a general danger to restaurant patrons.
Are These Photos of an Alligator Attack on a Golfer?,https://www.snopes.com/fact-check/alligator-attack-on-golfer/,miscaptioned,Yet another reason to avoid water traps.,David Mikkelson,2010-01-12,Photographs show a golfer whose arm was torn off by an alligator.
Prophetic Vanishing Hitchhiker,https://www.snopes.com/fact-check/the-vanishing-prophet/,legend,"Hitchhiker utters prophecy about Judgment Day being upon us, then vanishes?",Barbara Mikkelson,2009-05-02,"Hitchhiker utters prophecy about Judgment Day being upon us, then vanishes."
Acid in Hand Soap,https://www.snopes.com/fact-check/hand-soap-warning/,false,Acid was placed into in hand soap dispensers in the restrooms of rest stops in Alabama and Florida?,Barbara Mikkelson,2009-03-14,Acid was placed into in hand soap dispensers in the restrooms of rest stops in Alabama and Florida.
Razor Blades in Merchandise,https://www.snopes.com/fact-check/blade-runner/,partly true,"Razor blades found in products sold at Wal-Mart in Lewistown, Pennsylvania?",Barbara Mikkelson,2008-12-02,"Razor blades have been found amidst merchandise sold at a Wal-Mart store in Lewistown, Pennsylvania."
Is Dracula Killed with a Wooden Stake?,https://www.snopes.com/fact-check/dracula/,false,You may be surprised by how Dracula is actually dispatched in Bram Stoker's iconic vampire novel.,David Mikkelson,2008-10-30,Bram Stoker's novel 'Dracula' features a titular vampire who cannot expose himself to sunlight and is killed with a wooden stake.
Cell Phone Calls After Death,https://www.snopes.com/fact-check/calls-from-beyond/,true,Did a man's cell phone place calls to his loved ones after his demise?,Barbara Mikkelson,2008-10-05,A man's cell phone placed calls to his loved ones after his demise.
Korean Fan Death,https://www.snopes.com/fact-check/fan-death/,false,Do electric fans left running overnight kill persons sleeping in the breeze they generate?,Barbara Mikkelson,2008-09-04,Electric fans left running overnight kill persons sleeping in the breeze they generate.
Golf Club Death,https://www.snopes.com/fact-check/shafted/,true,Rumor: A golfer angered by a bad shot was killed by the club he threw in frustration.,Barbara Mikkelson,2008-07-01,A golfer angered by a bad shot was killed by the club he threw in frustration.
Was a Man Killed by an Exploding Lava Lamp?,https://www.snopes.com/fact-check/lava-lamp-death/,true,"Ordinary objects used in unconventional ways can be harmful, even fatal.",Barbara Mikkelson,2008-05-11,A man was killed by an exploding lava lamp.
Ghostly Moth Saves Train,https://www.snopes.com/fact-check/ghostly-moth-saves-train/,legend,Did a ghostly figure produced by a moth save a train from traversing a washed-out bridge?,Barbara Mikkelson,2008-01-16,A ghostly figure produced by a moth saved a train from traversing a washed-out bridge.
Webkinz Murderer,https://www.snopes.com/fact-check/webkinz-murderer/,false,Are children's Webkinz being murdered online?,Barbara Mikkelson,2008-01-01,Children's Webkinz are being murdered online.
The True Story of the Flying Lawnmower Death,https://www.snopes.com/fact-check/grim-reaper/,true,Snopes recounts the tragic account of a spectator at a 1979 football game who was killed by a flying model lawnmower.,David Mikkelson,2007-10-31,A spectator at a football game was killed by a flying model lawnmower.
Lightning and iPods and Cell Phones,https://www.snopes.com/fact-check/ifried/,true,Can electronic devices such as iPods and cell phones make lightning strike injuries worse?,Barbara Mikkelson,2007-07-15,The presence of electronic devices (such as iPods and cell phones) on one's body can make lightning strike injuries more severe.
Bulimic Students Destroy Plumbing?,https://www.snopes.com/fact-check/plumbing-pudding/,legend,Rumor: Sorority house plumbing was destroyed by the stomach acids of bulimic students.,Barbara Mikkelson,2007-07-10,Sorority house plumbing was destroyed by the stomach acids of bulimic students.
Fire Hydrant Death,https://www.snopes.com/fact-check/fire-plugged/,true,A pedestrian was killed by a flying fire hydrant?,Barbara Mikkelson,2007-06-27,A pedestrian was killed by a flying fire hydrant.
Henna Tattoo Scarring,https://www.snopes.com/fact-check/henna-pecked/,partly true,Can temporary black henna tattoos permanently scar children?,Barbara Mikkelson,2007-06-18,Temporary black henna tattoos can cause permanent scarring.
Grieving Parents Accidentally Kill Other Child,https://www.snopes.com/fact-check/grief-toll/,false,Parents of murdered Virginia Tech co-ed unthinkingly back over other child on way to airport?,Barbara Mikkelson,2007-04-19,Parents of a murdered Virginia Tech co-ed unthinkingly back over another of their children on the way to the airport.
2006 Darwin Awards,https://www.snopes.com/fact-check/2006-darwin-awards/,mixture,Does an Internet-circulated list titled '2006 Darwin Awards' detail actual deaths?,Barbara Mikkelson,2007-04-02,"Internet-circulated list titled ""2006 Darwin Awards"" details actual deaths."
Baby Smothered Under Pile of Coats?,https://www.snopes.com/fact-check/coat-check/,legend,Tragic tale tells of a baby left on a bed who is smothered under coats carelessly dropped by Christmas guests.,Barbara Mikkelson,2007-01-02,A baby left on a bed is smothered under coats dropped by Christmas visitors.
Foiled Child Abduction in Tupelo Rumor,https://www.snopes.com/fact-check/mexican-kindergrabbing/,false,"Mexican woman attempts to abduct tot from store in Tupelo, MS?",Barbara Mikkelson,2006-12-14,"E-mail claims a Mexican woman attempted to abduct a tot from a store in Tupelo, Mississippi."
Foiled Child Abduction Rumor,https://www.snopes.com/fact-check/foiled-abduction/,false,Father foils attempted abduction of North Texas child?,Barbara Mikkelson,2006-10-27,Father foils attempted abduction at a Blockbuster store of North Texas child.
Carmen Winstead,https://www.snopes.com/fact-check/carmen-winstead/,false,The ghost of a teen named Carmen Winstead supposedly strikes down those who don't repost her story on Facebook.,Barbara Mikkelson,2006-10-09,The ghost of a teen named Carmen Winstead strikes down those who don't repost her story on Facebook.
Died Onstage,https://www.snopes.com/fact-check/died-onstage/,true,A (surprisingly) long list of deaths that took place either onstage or in front of the cameras.,Barbara Mikkelson,2006-08-21,Several actors have kicked the bucket in front of an audience.
Boy Infected with HIV from Tainted Pineapple,https://www.snopes.com/fact-check/blood-hounded/,false,Rumor claims a child contracted AIDS through eating a pineapple that a vendor had bled upon.,Barbara Mikkelson,2006-08-13,A child contracted AIDS through eating a pineapple that a vendor had bled upon.
Hippo Eats Dwarf,https://www.snopes.com/fact-check/hippo-eats-dwarf/,false,The improbable tale of a circus dwarf who bounced sideways off a trampoline and was swallowed by a hippopotamus.,David Mikkelson,2006-07-19,A circus dwarf bounced sideways off a trampoline and was swallowed by a hippopotamus.
Last Dance,https://www.snopes.com/fact-check/last-dance/,false,Kid dies doing the latest dance step in a video,Barbara Mikkelson,2006-05-30,Kid dies doing the latest dance step in a video.
2003 Darwin Awards,https://www.snopes.com/fact-check/2003-darwin-awards/,mixture,Does the '2003 Darwin Awards' list detail actual deaths?,Barbara Mikkelson,2006-05-04,"Internet-circulated list entitled ""2003 Darwin Awards"" details actual deaths."
Chubby Bunny Marshmallows Choking Death,https://www.snopes.com/fact-check/chubby-bunny-death/,true,Account of a child's death while playing the 'Chubby Bunny' marshmallow-stuffing game.,Barbara Mikkelson,2006-03-16,"A child suffocated while playing a ""Chubby Bunny"" marshmallow-stuffing game."
Was a Suicide Mistaken for Halloween Decoration?,https://www.snopes.com/fact-check/boughd-out/,true,“The body was in plain view of the entire apartment complex [and] they all didn’t do anything.”,Barbara Mikkelson,2005-10-27,Bodies of suicide victims have been mistaken for Halloween decorations.
Did the Ghosts of Two Teens Return to Kill and Skin Their Parents?,https://www.snopes.com/fact-check/skinned-flick/,false,"Details from the grisly story of the Smith Sisters of Plainfield, Wisconsin bring up quite a few questions.",Barbara Mikkelson,2005-09-01,Ghosts of two murdered teen girls return to kill and skin parents who failed to tell their subsequent son of the girls' existence.
2005 Darwin Awards,https://www.snopes.com/fact-check/2005-darwin-awards/,mixture,Does an Internet-circulated list entitled '2005 Darwin Awards' detail actual deaths and mishaps,Barbara Mikkelson,2005-08-07,"An Internet-circulated list entitled ""2005 Darwin Awards"" details actual mishaps and demises."
2004 Darwin Awards,https://www.snopes.com/fact-check/2004-darwin-awards/,mixture,Does an Internet-circulated list titled '2004 Darwin Awards' detail actual demises?,Barbara Mikkelson,2005-07-26,"Internet-circulated list titled ""2004 Darwin Awards"" details actual demises."
Was 'Amityville Horror' Based on a True Story?,https://www.snopes.com/fact-check/the-amityville-horror/,false,"""I remember going by that house and how scary it was.""",Snopes Staff,2005-04-15,'The Amityville Horror' is based on a true story.
Trombone Death,https://www.snopes.com/fact-check/trombone-of-contention/,false,Was a band musician killed by a slide trombone?,David Mikkelson,2004-11-10,A band musician received a fatal head injury from a trombone slide.
