Company,Pride?,HRC Business Pledge,Amount Contributed Across States,# of Politicians Contributed to,# of States Where Contributions Made
International Paper,FALSE,FALSE,6500,8,3
Cox Enterprises,TRUE,FALSE,6500,6,2
PepsiCo,FALSE,TRUE,6250,7,2
Abbott Laboratories,FALSE,FALSE,6050,3,2
Truist,TRUE,FALSE,6000,7,1
AbbVie,FALSE,FALSE,6000,2,2
United Airlines Holdings,FALSE,FALSE,5000,1,1
Tyson Foods,FALSE,FALSE,5000,5,1
Occidental Petroleum,FALSE,FALSE,5000,1,1
McDonald's,FALSE,FALSE,5000,1,1
Eastman Chemical,FALSE,FALSE,5000,1,1
Constellation Brands,FALSE,FALSE,5000,1,1
Cheniere Energy,FALSE,FALSE,5000,1,1
Unum Group,FALSE,FALSE,4850,7,1
Walgreens,TRUE,FALSE,4500,6,3
Erie Insurance Group,FALSE,FALSE,4500,7,1
McKesson,FALSE,TRUE,4450,5,2
Sysco,TRUE,FALSE,4000,2,2
Regions Financial,FALSE,FALSE,3000,5,2
Oneok,FALSE,FALSE,3000,1,1
LKQ,FALSE,FALSE,3000,5,3
Community Health Systems,FALSE,FALSE,3000,4,1
Citigroup,TRUE,FALSE,3000,2,2
Capital One,TRUE,TRUE,2500,1,1
Applied Materials,FALSE,FALSE,2500,1,1
Taylor Morrison Home,FALSE,FALSE,2000,3,2
Microsoft,TRUE,TRUE,2000,2,1
Lowe's,FALSE,FALSE,2000,2,1
Johnson & Johnson,TRUE,TRUE,1750,3,3
Prudential Financial (U.S.),FALSE,FALSE,1250,2,1
Nationwide,FALSE,FALSE,1250,3,2
Visa,FALSE,FALSE,1000,1,1
Trulieve,TRUE,FALSE,1000,1,1
Southern Company,FALSE,FALSE,1000,1,1
Mosaic,FALSE,FALSE,1000,2,1
Lennar,FALSE,FALSE,1000,1,1
Intel,FALSE,TRUE,1000,2,1
Gilead,TRUE,FALSE,1000,1,1
Frontier Communications,FALSE,FALSE,1000,1,1
Cummins,FALSE,FALSE,1000,2,1
3M,FALSE,FALSE,1000,1,1
Republic Services,FALSE,FALSE,950,3,1
Target,TRUE,TRUE,500,1,1
Quest Diagnostics,FALSE,FALSE,500,1,1
Outfront,TRUE,FALSE,500,1,1
Honeywell International,FALSE,FALSE,500,1,1
Amgen,FALSE,FALSE,500,1,1
Tractor Supply,FALSE,FALSE,225.16,1,1
Grand Total,NA,NA,3683269.1400000006,101,6
