voyage_id,ship_name,port_origin,place_of_purchase,port_arrival,year_arrival,n_slaves_arrived,captains_name
81765,Heart of Oak,Liverpool,Cape Coast Castle,"Tortola, port unspecified",1787,143,"Jones, Richard"
81766,Heart of Oak,Liverpool,Iles de Los,"Grenada, port unspecified",1793,277,"Fell, William"
81770,Hector,Liverpool,"West Central Africa and St. Helena, port unspecified","Grenada, port unspecified",1784,310,"Ash, John"
81775,Hector,Liverpool,Calabar,"Trinidad, port unspecified",1803,339,"Williams, Joseph"
81776,Hector,Liverpool,Calabar,Demerara,1804,300,"Williams, Joseph"
81777,Hector,Liverpool,"Africa., port unspecified","Trinidad, port unspecified",1801,NA,"Mawdsley, Peter"
81778,Hector,Liverpool,"West Central Africa and St. Helena, port unspecified",Havana,1802,263,"Blair, James<br/> Handyside, William"
81779,Hector,Liverpool,"Africa., port unspecified",Suriname,1804,249,"Irvin, George"
81780,Hector,Liverpool,Congo River,Charleston,1806,240,"Harney, Thomas"
81781,Hector,Liverpool,Windward Coast (Nunez - Assini),"Barbados, port unspecified",1807,NA,"Payne, Thomas"
81782,Hector,Liverpool,Bonny,Kingston,1799,NA,"Stringer, William"
81783,Hector,Liverpool,"West Central Africa and St. Helena, port unspecified",Kingston,1801,370,"Bent, Theophilous<br/> Blackie, William"
81784,Helen,Liverpool,Grenada Point,"Grenada, port unspecified",1791,318,"Grice, William"
81785,Helen,Liverpool,"Africa., port unspecified","Grenada, port unspecified",1794,NA,"Ashburner, Thomas<br/> Rigby, John"
81786,Helen,Liverpool,"Africa., port unspecified",NA,1796,NA,"Brine, Jonathan"
81787,Helen,London,"Africa., port unspecified",NA,1797,NA,Anderson
81788,Helen,London,Goree,"Trinidad, port unspecified",1802,200,"Gordon, J"
81789,Helen,London,"Africa., port unspecified","Trinidad, port unspecified",1803,187,"Gordon, J"
81790,Helen,Liverpool,"Africa., port unspecified","Dominica, port unspecified",1806,NA,"Mackee, James<br/> Norris, Thomas<br/> Smith, William"
81791,Helen,Liverpool,"Bight of Biafra and Gulf of Guinea Islands, port unspecified","Dominica, port unspecified",1807,NA,"Gardner, Thomas"
81792,Henrietta,Liverpool,Gambia,NA,1787,NA,"Miller, William"
81793,Henrietta,Liverpool,Cameroons,Kingston,1806,195,"Davidson, Richard<br/> Henderson, William"
82949,Nimble,Liverpool,"Africa., port unspecified",St. Thomas,1804,257,"Bridge, Thomas"
82950,Nymph,Liverpool,"Africa., port unspecified","Trinidad, port unspecified",1803,165,"Barrows, Richard<br/> Heywood, John"
82957,Ocean,Liverpool,"Bight of Biafra and Gulf of Guinea Islands, port unspecified","Barbados, port unspecified",1794,NA,"Boardman, Timothy"
82958,Ocean,Liverpool,"West Central Africa and St. Helena, port unspecified",Basse-Terre,1795,NA,"Boardman, Timothy"
82959,Ocean,Liverpool,NA,NA,1799,NA,"Martin, Richard"
82960,Ocean,NA,Iles de Los,Demerara,1798,73,NA
82961,Old Dick,Liverpool,"West Central Africa and St. Helena, port unspecified","Grenada, port unspecified",1793,344,"Threlfall, Joseph"
82962,Old Dick,Liverpool,Loango,"Grenada, port unspecified",1794,345,"Bird, James"
82963,Old Dick,Liverpool,Bonny,Kingston,1796,340,"Bird, James"
82964,Old England,Liverpool,"Gold Coast, port unspecified",Charleston,1784,181,"Harrison, Edward<br/> Garnet, John"
82965,Old England,Lancaster,Bassa,Kingston,1785,194,"Hort, Josiah<br/> Gellin, John"
82966,Onslow,Liverpool,"Bight of Benin, port unspecified","Barbados, port unspecified",1796,274,"Cartmell, William"
82967,Onslow,Liverpool,NA,NA,1797,NA,"Bailiff, James"
82968,Orange Grove,Liverpool,"Bight of Benin, port unspecified",Havana,1791,230,"Irving, Andrew<br/> Williams, John K"
82969,Orange Grove,Liverpool,"Africa., port unspecified",Kingston,1792,214,"Carrol, William<br/> Lawson, John"
82970,Orange Grove,Liverpool,New Calabar,???,1802,254,"Payne, Thomas"
82971,Orange Grove,Liverpool,Loango,Basse-Terre,1803,NA,"Payne, Thomas"
82972,Ormond,Liverpool,NA,NA,1786,NA,"Kennedy, Henry"
82973,Oronoko,Liverpool,Calabar,"Grenada, port unspecified",1785,270,"Thornborrow, Robert"
82974,Oronoko,Liverpool,Cameroons,"Barbados, port unspecified",1786,195,"Thornborrow, Robert<br/> Reed, Samuel"
82976,Othello,Liverpool,Sierra Leone estuary,Kingston,1782,190,"Johnson, James"
82977,Othello,Liverpool,Windward Coast (Nunez - Assini),"Tortola, port unspecified",1783,NA,"Johnson, James"
82978,Othello,Liverpool,Cameroons,"Dominica, port unspecified",1788,150,"McGauley, James"
82979,Othello,Liverpool,Calabar,"Grenada, port unspecified",1790,277,"Powell, John"
82980,Othello,Liverpool,Calabar,"Jamaica, port unspecified",1791,250,"Powell, John<br/> Hewitt, William"
82981,Othello,Liverpool,Calabar,Montego Bay,1793,283,"Hewitt, William<br/> Jolly, Thomas"
82982,Othello,Liverpool,"West Central Africa and St. Helena, port unspecified",Kingston,1794,342,"Christian, David"
82983,Othello,Liverpool,Bonny,NA,1795,NA,"Christian, David"
82989,Otter,Liverpool,Cabinda,Kingston,1799,410,"Grierson, Alexander"
82990,Otter,Liverpool,Porto Novo,Suriname,1801,NA,"Hackney, Alexander"
82991,Otter,Liverpool,Congo River,"St. Kitts, port unspecified",1802,274,"Hart, Richard"
82992,Otter,Liverpool,Congo River,Kingston,1803,267,"Hart, Richard<br/> Laughton, John"
82993,Otter,Liverpool,Cameroons,Demerara,1804,245,"Taylor, Robert"
82994,Otter,Liverpool,"Bight of Biafra and Gulf of Guinea Islands, port unspecified",St. Thomas,1806,NA,"Boardman, Timothy"
82995,Otter,Liverpool,"Bight of Biafra and Gulf of Guinea Islands, port unspecified",Demerara,1807,190,"Boardman, Timothy"
82996,Otway,Liverpool,"West Central Africa and St. Helena, port unspecified",Kingston,1801,334,"Heron, John"
82997,Otway,Liverpool,Bonny,Kingston,1802,321,"Mann, Luke"
82998,Otway,Liverpool,Bonny,Kingston,1803,302,"Mann, Luke<br/> Lyon, Leigh"
82999,Otway,Liverpool,Congo River,Kingston,1805,332,"Stewart, Duncan"
83662,Swallow,Liverpool,Gabon,Basse-Terre,1806,NA,"Vardy, Joseph<br/> Kirkpatrick"
83663,Swallow,Liverpool,Cape Coast Castle,St. Croix,1797,98,"Andow, Richard"
83664,Swallow,NA,Cape Coast Castle,Zion Hill,1799,57,NA
83665,Swallow,Liverpool,Cameroons,"Dominica, port unspecified",1787,179,"Threlfall, Joseph"
83670,Swallow,Liverpool,"West Central Africa and St. Helena, port unspecified",Cayenne,1798,NA,"White, Robert"
83672,Swan,London,"Gold Coast, port unspecified",Charleston,1806,194,"Smith, D"
83676,Swift,London,"Africa., port unspecified",Cap Francais,1780,NA,"Good, J"
83677,Swift,Liverpool,NA,NA,1784,NA,"Scott, John"
83678,Swift,Liverpool,Gambia,"Grenada, port unspecified",1793,NA,"Kendall, John"
83679,Swift,Liverpool,Gambia,"Barbados, port unspecified",1794,NA,"Kendall, John"
83680,Swift,"St. Kitts, port unspecified",Iles de Los,NA,1795,NA,NA
83681,Swift,Liverpool,"Africa., port unspecified",Havana,1804,112,"Landy, Richard"
83682,Swift,Liverpool,"West Central Africa and St. Helena, port unspecified",Kingston,1805,119,"Robinson, Batty"
83685,Swift,Liverpool,NA,NA,1795,NA,"Fell, William"
83686,Swift,Liverpool,NA,NA,1795,NA,"Hodgson, Joseph"
83688,Swift,Liverpool,Windward Coast (Nunez - Assini),"Barbados, port unspecified",1796,225,"Jones, Owen"
83689,Swift,NA,Sierra Leone estuary,"Grenada, port unspecified",1799,164,NA
83690,Swift,Liverpool,Malembo,Kingston,1799,389,"Williams, William"
83700,Talbot,London,"Gold Coast, port unspecified","St. Vincent, port unspecified",1792,130,"Carter, T<br/> McElheran, David"
83701,Talbot,London,Anomabu,"St. Vincent, port unspecified",1793,131,"Haliburton, George<br/> Frazer, John"
83702,Tamazin,Liverpool,"Africa., port unspecified",NA,1792,NA,"Noble, James"
83703,Tamer,Liverpool,"West Central Africa and St. Helena, port unspecified","Bahamas, port unspecified",1801,NA,"Brown, William"
83704,Tamer,Liverpool,"West Central Africa and St. Helena, port unspecified",St. Croix,1802,375,"May, Vincent"
83705,Tamer,Liverpool,Cabinda,"Barbados, port unspecified",1803,NA,"May, Vincent"
83706,Tamerlane,Liverpool,"West Central Africa and St. Helena, port unspecified",Kingston,1793,194,"White, Robert<br/> Mule, Robert"
83707,Tarleton,Liverpool,Calabar,"Grenada, port unspecified",1785,510,"Fairweather, Patrick"
83708,Tarleton,Liverpool,Calabar,"Dominica, port unspecified",1786,360,"Fairweather, Patrick<br/> Smith, Thomas"
83709,Tarleton,Liverpool,Calabar,"Dominica, port unspecified",1788,308,"Smith, Thomas<br/> Fairweather, Patrick"
83710,Tarleton,Liverpool,NA,NA,1788,NA,"Christian<br/> Mitchell, John"
83711,Tarleton,Liverpool,"Bight of Biafra and Gulf of Guinea Islands, port unspecified",Kingston,1797,423,"Cannell, Thomas"
83712,Tarleton,Liverpool,Loango,"Martinique, port unspecified",1796,381,"Shimmins, Radcliffe"
83713,Tarleton,Liverpool,Bonny,"St. Vincent, port unspecified",1797,435,"Shimmins, Radcliffe"
83714,Tarleton,Liverpool,NA,NA,1798,NA,"Shimmins, Radcliffe"
83715,Tartar,Liverpool,NA,NA,1799,NA,"Sowerby, John<br/> Hewitt"
83721,Tartar,Liverpool,Banana Islands,St. Eustatius,1781,430,"Houghton, John"
83722,Tartar,Liverpool,"West Central Africa and St. Helena, port unspecified",Kingston,1782,500,"Houghton, John"
83723,Tartar,Liverpool,"West Central Africa and St. Helena, port unspecified","Jamaica, port unspecified",1783,528,"Mashiter, William"
83724,Tartar,Liverpool,"Bight of Biafra and Gulf of Guinea Islands, port unspecified",Kingston,1784,432,"Mashiter, William"
83725,Tartar,Liverpool,Benin,"Dominica, port unspecified",1787,240,"Dalzel, Archibald"
83726,Tartar,Liverpool,Benin,"British Caribbean, colony unspecified",1788,NA,"Hughes, John<br/> Phillips, John"
83727,Tartar,Liverpool,Congo River,Charleston,1807,240,"Mitchell, John"
83729,Telegraph,Liverpool,"West Central Africa and St. Helena, port unspecified","St. Kitts, port unspecified",1799,135,"Maginnis, John"
960,Santiago,Santiago de Cuba,River Brass,"Cuba, port unspecified",1830,105,"Rivet, J"
961,Catalana,Barcelona,Sao Tome,"Cuba, port unspecified",1830,NA,"Ricoma, Jaime"
962,Andromaca,NA,"Africa., port unspecified","Cuba, port unspecified",1830,NA,"Villavaso, Jose Lucas"
963,Emilio (a) Caesar,Santiago de Cuba,New Calabar,"Cuba, port unspecified",1830,190,"Lescaya, Fernando"
964,Amistad Habanera,Havana,Sao Tome,Havana,1830,NA,"Arrarte, Juan Bautista"
965,Asuncion,Havana,Sao Tome,Havana,1830,NA,"Aspeitia, Francisco"
966,Iberia,Havana,"Africa., port unspecified","Cuba, port unspecified",1830,NA,"Solan, A<br/> Mancebo, Antonio"
967,Urraca,Havana,"Africa., port unspecified",Trinidad de Cuba,1830,NA,"Casas, L<br/> Vega, Jozé Fernando de la"
968,Indagadora,Havana,"Africa., port unspecified","Cuba, port unspecified",1830,NA,"Rodriguez, J J"
969,Negrito,NA,"Africa., port unspecified","Cuba, port unspecified",1830,NA,"Malbar, A"
970,Barbarita,Havana,Sao Tome,Havana,1830,NA,"Prats, Gaspar"
971,Fenix (a) Phoenix,Havana,"Africa., port unspecified",New Orleans,1830,82,"Torre, Francisco de la<br/> Torre, Pablo de la"
972,Ligera,Havana,"Africa., port unspecified","Cuba, port unspecified",1830,NA,"Zavala, J R"
973,Vengador,Havana,"Africa., port unspecified","Cuba, port unspecified",1830,600,"Capera, A"
974,Marinerito,Havana,"Africa., port unspecified","Cuba, port unspecified",1830,NA,"Aguilleiro, R<br/> Pulles, Antonio"
975,Segunda Gallega,Havana,"Africa., port unspecified","Cuba, port unspecified",1830,NA,"Manzana, S"
978,Desengano Feliz,"Southeast Brazil, port unspecified",Benguela,Rio de Janeiro,1829,471,"Viana, João"
979,Seis de Fevereiro,Rio de Janeiro,Luanda,Rio de Janeiro,1829,246,"Santos, José Freitas dos"
980,Torquato,Rio de Janeiro,Cabinda,Rio de Janeiro,1829,272,"Roberto, Vítor"
981,Restaurador,"Southeast Brazil, port unspecified",Cabinda,Rio de Janeiro,1829,498,"Ferreira, Luiz da Costa"
982,Esmênia,"Southeast Brazil, port unspecified",Malembo,Rio de Janeiro,1829,245,"Silva, João Antônio da"
983,Economia,Rio de Janeiro,Benguela,Rio de Janeiro,1829,332,"Caldas, Francisco Elesbão Correa"
984,Ulisses,Rio de Janeiro,Luanda,Rio de Janeiro,1829,589,"Fidalgo, Antônio dos Reis<br/> Araújo, Joaquim Sampaio"
985,Júlia,"Southeast Brazil, port unspecified",Malembo,Rio de Janeiro,1829,207,"Neves, Jacinto de Souza"
986,Penha,Rio de Janeiro,Ambriz,Rio de Janeiro,1829,190,"Oliveira, Antônio Francisco de"
987,Maria Teresa,Lisbon,Lourenco Marques,Rio de Janeiro,1829,237,"Santos, Vicente Tomás dos"
988,Seis de Fevereiro,Rio de Janeiro,Congo River,Rio de Janeiro,1829,193,"Branco, Joaquim Lúcio"
989,Velha de Deus,"Southeast Brazil, port unspecified",Congo River,Rio de Janeiro,1829,322,"Teixeira, José Antônio"
990,General Rêgo,"Southeast Brazil, port unspecified",Ambriz,Rio de Janeiro,1829,586,"Braga, Antônio Manoel de Azevedo"
991,Susana,Rio de Janeiro,Luanda,Rio de Janeiro,1829,390,"Cunha, Manoel José Fortunato da"
992,Dois Irmãos,Rio de Janeiro,Congo River,Rio de Janeiro,1829,298,"Maria, Boaventura José"
993,Urânia,"Southeast Brazil, port unspecified",Luanda,Rio de Janeiro,1829,297,"Ferreira, J M<br/> Maria, Luís José"
994,Primavera,"Southeast Brazil, port unspecified",Benguela,Rio de Janeiro,1829,273,"Ferreira, Joaquim Manoel<br/> Cunha, José Fortunato da"
995,Amizade,Rio de Janeiro,Luanda,Rio de Janeiro,1829,508,"Medeiros, Francisco Antônio de<br/> Silva, Germano Lourenço da"
996,Loteria,"Southeast Brazil, port unspecified",Malembo,Rio de Janeiro,1829,159,"Soares, Antonio Joaquim"
997,Invencível,Rio de Janeiro,Ambriz,Rio de Janeiro,1829,284,"Conceição, José Maria da"
998,Imperador do Brasil,Rio de Janeiro,Cabinda,Rio de Janeiro,1829,460,"Gomes, João"
999,Mercantil,"Southeast Brazil, port unspecified",Malembo,Rio de Janeiro,1829,172,"Maria, L J"
1000,Emília,Rio de Janeiro,Luanda,Rio de Janeiro,1829,361,"Faria, Gregório José de"
1001,Estrela do Rio,"Southeast Brazil, port unspecified",Cabinda,Rio de Janeiro,1829,287,"Rosa, Antônio Gomes"
1002,Fluminense,Rio de Janeiro,Lourenco Marques,Rio de Janeiro,1829,671,"Machado, Francisco Domingos"
1003,Imperador Feliz,"Southeast Brazil, port unspecified",Cabinda,Rio de Janeiro,1829,416,"Batista, Martinho Jose"
1004,Altivo,"Southeast Brazil, port unspecified",Ambriz,Rio de Janeiro,1829,602,"Amaral, Miguel Ribeiro do"
1005,Tejo,"Southeast Brazil, port unspecified",Benguela,Rio de Janeiro,1829,536,"Monteiro, Luís Queiróz"
1006,Dido,Rio de Janeiro,Cabinda,Rio de Janeiro,1829,423,"Faria, Manoel de Jesus"
90748,Rose,Liverpool,Whydah,Basse-Terre,1760,NA,"Lawson, William<br/> Bagshaw, William"
90749,Industry,Liverpool,"Windward Coast, port unspecified",Saint John (Antigua),1759,122,"Banks, John"
90750,Industry,Liverpool,NA,NA,1759,NA,"Banks, John"
90751,Surprize,Liverpool,Bonny,Saint John (Antigua),1758,NA,"Erskine, Robert"
90752,Surprize,Liverpool,Bonny,"Martinique, port unspecified",1760,NA,"Erskine, Robert"
90753,Surprize,Liverpool,Bonny,Havana,1764,214,"Erskine, Robert"
90754,Surprize,Liverpool,Bonny,"St. Kitts, port unspecified",1766,290,"Gardner, Caleb"
90755,Spencer,Liverpool,Sierra Leone estuary,"Jamaica, port unspecified",1758,NA,"Cooke, Daniel"
90757,Jupiter,Liverpool,"Windward Coast, port unspecified","Jamaica, port unspecified",1758,268,"Patrick, Thomas"
90758,Jupiter,NA,"West Central Africa and St. Helena, port unspecified",Basse-Terre,1761,115,"Barrow<br/> Patrick, Thomas"
90759,Alice,Liverpool,Loango,"Jamaica, port unspecified",1758,279,"Murdock, Samuel"
90760,Alice,Liverpool,Loango,Rappahannock,1761,122,"Murdock, Samuel"
90762,Betty,Liverpool,Anomabu,"Jamaica, port unspecified",1759,NA,"Coward, James"
90763,True Blue,Liverpool,Anomabu,North Potomac,1759,242,"Rice, William"
90764,True Blue,Liverpool,Benin,"Jamaica, port unspecified",1761,340,"Rice, William"
90765,True Blue,Liverpool,Benin,Kingston,1762,330,"Hatton, Joshua<br/> Rice, William"
90766,Juba,Liverpool,"Windward Coast, port unspecified",NA,1758,NA,"Lowe, William"
90767,Jenny,Liverpool,Cabinda,Londontowne,1760,333,"Wilkinson, John"
11730,Jupiter,Texel,Cacheu,Cadiz,1671,NA,"Graaf, Jacob Alberts"
11733,Hoop,Amsterdam,"West Central Africa and St. Helena, port unspecified",Curacao,1670,NA,"Meijndertse, Ide"
2024,Caballero,NA,Corisco,"Cuba, port unspecified",1840,NA,Huffington
2025,Hudson,NA,Cabinda,"Cuba, port unspecified",1840,NA,Clift
2026,NA,NA,"Africa., port unspecified","Cuba, port unspecified",1840,NA,NA
2027,Crawford,Havana,Gallinhas,"Cuba, port unspecified",1840,NA,Brown
2028,Trovão,NA,"Africa., port unspecified",Havana,1840,450,NA
2029,Theopilus Chase,Havana,Gallinhas,"Cuba, port unspecified",1840,NA,Coffin
2030,NA,NA,"Africa., port unspecified",Bahia Honda,1840,340,NA
2031,S Francisco,NA,"Africa., port unspecified","Cuba, port unspecified",1840,180,NA
2032,Marinero,NA,"Africa., port unspecified",Havana,1840,160,NA
2033,Dido,NA,Princes Island,"Cuba, port unspecified",1840,NA,Strand
2034,União,NA,"Gold Coast, port unspecified","Cuba, port unspecified",1840,500,NA
2035,NA,NA,"Africa., port unspecified","Cuba, port unspecified",1840,NA,NA
2036,Voador,NA,Grand Sestos,"Cuba, port unspecified",1840,NA,NA
2037,Feliz,NA,"Africa., port unspecified",Matanzas,1840,300,NA
2038,Ligeira,"Southeast Brazil, port unspecified",Benguela,Paranagua,1839,321,"Silveira, Antônio da"
2039,Resolução,Rio de Janeiro,Quilimane,Ilha de Marambaia,1839,421,NA
2040,Dois Irmãos,Rio de Janeiro,Quilimane,Rio de Janeiro,1840,580,"Abreu, F F de"
2041,Esperança,Rio de Janeiro,Luanda,Rio de Janeiro,1840,375,"Mendonça, F J de"
2042,Feliz Animoso,Rio de Janeiro,Luanda,Rio de Janeiro,1840,NA,"Lima, F S"
2043,Duque de Vitória,"Southeast Brazil, port unspecified",Luanda,Rio de Janeiro,1840,420,"Santos, A J dos"
2044,Paquete de Luanda,"Southeast Brazil, port unspecified",Luanda,Rio de Janeiro,1840,350,"Salgueiro, B F"
2045,Paquete,"Southeast Brazil, port unspecified",Luanda,Rio de Janeiro,1840,NA,"Ferreira, J C"
2046,Constante,"Southeast Brazil, port unspecified",Luanda,Rio de Janeiro,1840,NA,"Guimarães, F M"
2047,Leopoldina,"Southeast Brazil, port unspecified",Quilimane,Rio de Janeiro,1840,560,"Chaves, A R"
2048,Coquete,"Bahia, port unspecified","Africa., port unspecified","Bahia, port unspecified",1840,NA,"Picão, A"
2049,Sociedade Feliz,"Bahia, port unspecified",Princes Island,"Bahia, port unspecified",1840,230,"Francisco, José"
2050,Gratidão,"Bahia, port unspecified","Lagos, Onim","Bahia, port unspecified",1840,380,"Martins, M"
2051,Juliana,"Bahia, port unspecified",Princes Island,"Bahia, port unspecified",1840,256,"Autino, J"
2052,Graciosa Vingativa,"Bahia, port unspecified",Sao Tome,"Bahia, port unspecified",1840,80,"Pereira, J"
2053,Maria Rita,"Pernambuco, port unspecified",Luanda,Catuamo and Maria Farinha,1840,350,"Ribeiro, Pedro Marques da Silva"
2054,Formiga,"Pernambuco, port unspecified",Luanda,Catuamo and Maria Farinha,1840,NA,Goncabro
2055,S José,"Pernambuco, port unspecified","Africa., port unspecified",Catuamo and Maria Farinha,1840,NA,"Oliveira, T"
2056,Vinte e Quatro de Julho,Rio de Janeiro,Mozambique,Catuamo and Maria Farinha,1840,468,"Viana, A P"
2057,Paquete da Madeira,"Pernambuco, port unspecified",Mozambique,Ilha de Itamaric,1840,268,"Bastos, J"
2058,Cospe Fogo,"Pernambuco, port unspecified",Luanda,"Pernambuco, port unspecified",1840,145,"Silva, A I da"
2059,Experiência,"Pernambuco, port unspecified",Benguela,Catuamo and Maria Farinha,1840,387,"Antônio, Manoel"
2060,Amélia,NA,Luanda,Maranhao,1840,NA,"Nonato, Raimundo"
2061,Águia,NA,Princes Island,Maranhao,1840,NA,"Lima, Raimundo Antônio de"
2062,V de Sá da Bandeira,NA,"Africa., port unspecified",Maranhao,1840,NA,"Avelar, J S de"
2063,Águia,Maranhao,Sao Tome,Maranhao,1840,NA,"Lima, Raimundo Antônio de"
2064,NA,NA,"Africa., port unspecified","Cuba, port unspecified",1840,427,NA
2065,Vigilante,NA,"Africa., port unspecified","Cuba, port unspecified",1840,560,NA
2066,Águila,Havana,NA,NA,1840,NA,NA
2067,NA,NA,"Africa., port unspecified","Cuba, port unspecified",1840,240,NA
2068,NA,NA,"Africa., port unspecified",Mariel,1840,230,NA
2069,NA,NA,"Africa., port unspecified","Cuba, port unspecified",1840,286,NA
2070,Gabriel,NA,"Africa., port unspecified",Havana,1840,476,NA
2071,Jesús María,St. Thomas,Sherbro,"Cuba, port unspecified",1840,246,"Ruíz, Lorenzo"
2072,Jacinto,Havana,"Africa., port unspecified","Cuba, port unspecified",1840,377,NA
2073,NA,NA,"Africa., port unspecified","Cuba, port unspecified",1841,321,NA
2074,Estrela,NA,"Africa., port unspecified",Havana,1841,311,NA
2075,NA,NA,"Africa., port unspecified",Mariel,1841,413,NA
2076,Montecu (a) Volador,NA,"Africa., port unspecified","Cuba, port unspecified",1841,NA,NA
2077,Vênus (a) Duquesa de Bragança,Havana,Mozambique,Mariel,1841,711,"Barbosa, José"
2078,Segunda Rosália,Havana,Rio Pongo,"Cuba, port unspecified",1841,292,"Peirano, Francisco"
2079,NA,NA,"Africa., port unspecified",Havana,1841,345,NA
2080,Corina,NA,"Africa., port unspecified",Sagua,1841,190,"Galindez, F"
2081,NA,NA,"Africa., port unspecified",Mariel,1841,440,NA
2082,Três de Fevereiro,NA,"Africa., port unspecified","Cuba, port unspecified",1841,636,NA
2083,Pampeiro,NA,Congo River,Mariel,1841,457,NA
2084,Gabriel,Havana,Gallinhas,Havana,1841,344,"Pereira, Antônio da Costa"
2085,Paquete do Porto,NA,"Africa., port unspecified",Guanimar,1841,250,NA
2086,Trovão,Havana,Whydah,Bahia Honda,1841,400,NA
2087,Águila,Havana,Popo,Bahia Honda,1841,503,NA
2088,Três de Fevereiro,Havana,Popo,Guanimar,1841,230,NA
2089,Estrela do Cabo,Rio de Janeiro,Benguela,"Cuba, south coast",1841,NA,"Pimenta, Manoel José"
2090,Aurélia,Santiago de Cuba,Bissau,Santiago de Cuba,1841,240,NA
2091,Paz,Havana,"Africa., port unspecified",Guanimar,1841,400,NA
2092,Voador (a) Escorpião,Havana,"Africa., port unspecified",Guanimar,1841,238,NA
2093,Matancera,NA,"Africa., port unspecified",Mariel,1841,158,NA
2094,Vênus (a) Duquesa de Bragança,NA,"Africa., port unspecified",Mariel,1841,600,NA
