year,accomplishment,person,gender,category
1858,First African-American woman college instructor,"Sarah Jane Woodson Early, Wilberforce College[26]",Female African American Firsts,Education & Science
1861,First North American military unit with African-American officers,1st Louisiana Native Guard of the Confederate Army,African-American Firsts,Military
1861,First African-American US federal government civil servant,William Cooper Nell[27],African-American Firsts,Politics
1862,First African-American woman to earn a B.A.,"Mary Jane Patterson, Oberlin College[28]",Female African American Firsts,Education & Science
1862,First recognized U.S. Army African-American combat unit,1st South Carolina Volunteers,African-American Firsts,Military
1863,First college owned and operated by African-Americans,Wilberforce University in Ohio[29][Note 3] (See also,African-American Firsts,Arts & Entertainment
1863,First African-American president of a college,Bishop Daniel Payne (Wilberforce University)[30],African-American Firsts,Education & Science
1864,First African-American woman in the United States to earn an M.D.,Dr. Rebecca Davis Lee Crumpler[31],Female African American Firsts,Education & Science
1865,First African-American field officer in the U.S. Army,Martin Delany[32],African-American Firsts,Military
1865,First African-American attorney admitted to the bar of the U.S. Supreme Court,John Stewart Rock[33],African-American Firsts,Law
1865,First African-American to be commissioned as captain in the Regular U.S. Army,"Orindatus Simon Bolivar Wall, known as OSB Wall[34]",African-American Firsts,Military
1866,First African-American to earn a Ph.D.,"Father Patrick Francis Healy from University of Leuven, Belgium[21] (See also 1851, 1874)",African-American Firsts,Education & Science
1866,First African-American woman enlistee in the U.S. Army,Cathay Williams[35],Female African American Firsts,Military
1866,First African-American woman to serve as a professor,"Sarah Jane Woodson Early; Xenia, Ohio's Wilberforce University hired her to teach Latin and English",Female African American Firsts,Military
1868,First elected African-American Lieutenant Governor,Oscar Dunn (Louisiana).[36],African-American Firsts,Politics
1868,First African-American mayor,"Pierre Caliste Landry, Donaldsonville, Louisiana[37]",African-American Firsts,Politics
1868,First African-American elected to the U.S. House of Representatives,"John Willis Menard.[38] His opponent contested his election, and opposition to his election prevented him from being seated in Congress. (See also",African-American Firsts,Politics
1869,First African-American U.S. diplomat,"Ebenezer Don Carlos Bassett, minister to Haiti[39]",African-American Firsts,Politics
1869,First African-American woman school principal,Fanny Jackson Coppin (Institute for Colored Youth)[40],Female African American Firsts,Education & Science
1870,"First African-American to vote in an election under the 15th Amendment to the United States Constitution, granting voting rights regardless of race",Thomas Mundy Peterson[41],African-American Firsts,Social & Jobs
1870,First African-American to graduate from Harvard College,Richard Theodore Greener.[42],African-American Firsts,Education & Science
1870,"First African-American elected to the U.S. Senate, and first to serve in the U.S. Congress",Hiram Rhodes Revels (R–MS).[43][Note 4],African-American Firsts,Military
1870,First African-American to serve in the U.S. House of Representatives,Joseph Rainey (R-SC).[44][Note 5],African-American Firsts,Military
1872,First African-American midshipman admitted to the United States Naval Academy,John H. Conyers (nominated by Robert B. Elliott of South Carolina).[45],African-American Firsts,Military
1872,First African-American governor (non-elected),P. B. S. Pinchback of Louisiana (See also,African-American Firsts,Politics
1872,First African-American nominee for Vice President of the United States,Frederick Douglass by the Equal Rights Party.[47][Note 6],African-American Firsts,Politics
1874,First African-American president of a major college/university,"Father Patrick Francis Healy, S.J. of Georgetown College.[21] (See also",African-American Firsts,Education & Science
1874,First African-American to preside over the House of Representatives as Speaker pro tempore,Joseph Rainey[48],African-American Firsts,Politics
1875,First African-American Roman Catholic bishop,"Bishop James Augustine Healy, of Portland, Maine.[24] (See also",African-American Firsts,Religion
1876,First African-American to earn a doctorate degree from an American university,"Edward Alexander Bouchet (Yale College Ph.D., physics; also first African American to graduate from Yale, 1874)[49] (See also",African-American Firsts,Education & Science
1877,First African-American graduate of West Point and first African-American commissioned officer in the U.S. military,Henry Ossian Flipper.[50],African-American Firsts,Military
1878,"First African-American police officer in Boston, Massachusetts",Sergeant Horatio J. Homer.[51],African-American Firsts,Military
1878,First African-American baseball player in organized professional baseball,John W. Bud Fowler.[52],African-American Firsts,Education & Science
1879,First African-American to graduate from a formal nursing school,"Mary Eliza Mahoney, Boston, Massachusetts.[53]",African-American Firsts,Arts & Entertainment
1880,First African-American to command a U.S. ship,Captain Michael Healy.[54],African-American Firsts,Military
1881,First African-American whose signature appeared on U.S. paper currency,"Blanche K. Bruce, Register of the Treasury.[55]",African-American Firsts,Social & Jobs
1882,First fully state-supported four-year institution of higher learning for African-Americans,Virginia State University,Female African American Firsts,Education & Science
1883,First known African-American woman to graduate from one of the Seven Sisters colleges,Hortense Parker (Mount Holyoke College)[56][Note 7],Female African American Firsts,Social & Jobs
1884,First African-American to play professional baseball at the major-league level,Moses Fleetwood Walker.[57] (See also,African-American Firsts,Education & Science
1884,First African-American woman to hold a patent,"Judy W. Reed, for an improved dough kneader, Washington, D.C.[58][Note 8]",Female African American Firsts,Education & Science
1884,First African-American to enlist in the U.S. Signal Corps,William Hallett Greene[59][60],African-American Firsts,Military
1884,First African-American to chair a political party's National Convention,"John R. Lynch, Republican National Convention.[61]",African-American Firsts,Politics
1884,First African-American to deliver a keynote address at a political party's National Convention,"John R. Lynch, Republican National Convention.[61]",African-American Firsts,Politics
1886,First African-American Roman Catholic priest publicly known at the time to be African-American,"Augustine Tolton, Quincy and Chicago, Illinois[62] (See also",African-American Firsts,Social & Jobs
1890,First African-American woman to earn a dental degree in the United States,"Ida Rollins, University of Michigan.[63][64]",Female African American Firsts,Education & Science
1890,First African-American to record a best-selling phonograph record,"George Washington Johnson, The Laughing Song and The Whistling Coon.[65]",African-American Firsts,Education & Science
1890,First woman and African-American to earn a military pension for their own military service,Ann Bradford Stokes.[66],Female African American Firsts,Military
1891,First African-American police officer in present-day New York City,"Wiley Overton, hired by the Brooklyn Police Department prior to 1898 incorporation of the five boroughs into the City of New York.[67] (See also",African-American Firsts,Military
1892,First African-American to sing at Carnegie Hall,Matilda Sissieretta Joyner Jones[68],African-American Firsts,Arts & Entertainment
1892,First African-American named to a College Football All-America Team,"William H. Lewis, Harvard University[69]",African-American Firsts,Education & Science
1895,First African-American woman to work for the United States Postal Service,Mary Fields[70],Female African American Firsts,Politics
1895,First African-American to earn a doctorate degree (Ph.D.) from Harvard University,W.E.B. Du Bois[71],African-American Firsts,Education & Science
1898,First African-American appointed to serve as U.S. Army Paymaster,Richard R. Wright,African-American Firsts,Military
1899,First African-American to achieve world championship in any sport,"Major Taylor, for 1-mile track cycling[72]",African-American Firsts,Sports
1901,First African-American invited to dine at the White House,Booker T. Washington[73],African-American Firsts,Social & Jobs
1902,First African-American professional basketball player,Harry Lew (New England Professional Basketball League)[74] (See also,African-American Firsts,Education & Science
1902,"First African-American boxing champion, Joe Gans a lightweight",NA,African-American Firsts,Sports
1903,"First Broadway musical written by African-Americans, and the first to star African Americans",In Dahomey,African-American Firsts,Arts & Entertainment
1903,First African-American woman to found and become president of a bank,"Maggie L. Walker, St. Luke Penny Savings Bank (since 1930 the Consolidated Bank & Trust Company), Richmond, Virginia[75]",Female African American Firsts,Politics
1904,First Greek-letter fraternal organization established by African-Americans,Sigma Pi Phi,Female African American Firsts,Social & Jobs
1904,"First African-American to participate in the Olympic Games, and first to win a medal",George Poage (two bronze medals)[76],African-American Firsts,Education & Science
1906,First intercollegiate Greek-letter organization established by African-Americans,"Alpha Phi Alpha (ΑΦΑ), at Cornell University",Female African American Firsts,Social & Jobs
1907,First African-American Greek Orthodox priest and missionary in America,Very Rev. Fr. Robert Josias Morgan[77],African-American Firsts,Social & Jobs
1908,First African-American heavyweight boxing champion,Jack Johnson[78],African-American Firsts,Sports
1908,First African-American Olympic gold medal winner,John Taylor (track and field medley relay team).[79] (See also,African-American Firsts,Education & Science
1908,First intercollegiate Greek-letter sorority established by African-Americans,Alpha Kappa Alpha (ΑΚΑ) at Howard University,Female African American Firsts,Social & Jobs
1910,First African-American woman millionaire,Madam C. J. Walker[80],Female African American Firsts,Social & Jobs
1911,First intercollegiate Greek-letter fraternity established by African-Americans at a historically black college,"Omega Psi Phi (ΩΨΦ), at Howard University",Female African American Firsts,Social & Jobs
1911,First African-American police officer in New York City,"Samuel J. Battle, following the 1898 incorporation of the five boroughs into the City of New York, and the hiring of three African-American officers in the Brooklyn Police Department. Battle was also the NYPD's first African-American sergeant (1926), lieutenant (1935), and parole commissioner (1941).[67] (See also",African-American Firsts,Military
1911,First African-American attorney admitted to the American Bar Association,"Butler R. Wilson (June 1911), William Henry Lewis (August 1911), and William R. Morris (October 1911)[81][82]",African-American Firsts,Law
1914,First African-American military pilot,Eugene Jacques Bullard,African-American Firsts,Military
1915,First African-American alderman of Chicago,Oscar Stanton De Priest[83],African-American Firsts,Politics
1916,First African-American to play in a Rose Bowl game,"Fritz Pollard, Brown University[84]",African-American Firsts,Sports
1916,First African-American to become a colonel in the U.S. Army,Charles Young[85][86],African-American Firsts,Military
1917,First African-American woman to win a major sports title,"Lucy Diggs Slowe, American Tennis Association[87]",Female African American Firsts,Sports
1917,First African-American to enter the University of Oregon,Mabel Byrd[88],African-American Firsts,Education & Science
1919,First African-American special agent for the FBI,James Wormley Jones[89][90],African-American Firsts,Law
1919,First African-American women appointed as police officers,"Cora I. Parchment at the New York Police Department (NYPD)[91] and Georgia Ann Robinson, by the Los Angeles Police Department (LAPD)[92]",African-American Firsts,Military
1920,First African-American NFL football players,Fritz Pollard (Akron Pros) and Bobby Marshall (Rock Island Independents)[93],African-American Firsts,Sports
1920,First African-American bishops of the Methodist Episcopal Church,Robert Elijah Jones and Matthew Wesley Clair.[94],African-American Firsts,Religion
1921,"First African-American woman to become an aviation pilot, first American to hold an international pilot license",Bessie Coleman[95],Female African American Firsts,Social & Jobs
1921,First African-American NFL football coach,"Fritz Pollard, co-head coach, Akron Pros, while continuing to play running back[93]",African-American Firsts,Sports
1921,First African-American woman to earn a Ph.D. in the U.S.,"Sadie Tanner Mossell, Ph.D. in Economics from the University of Pennsylvania[96]",Female African American Firsts,Education & Science
1924,First African-American to win individual Olympic gold medal,"DeHart Hubbard (long jump, 1924 Summer Olympics).[97] (See also",African-American Firsts,Education & Science
1925,First African-American Foreign Service Officer,Clifton R. Wharton Sr.[98],African-American Firsts,Military
1927,First African-American to become an officer in the New York Fire Department in New York City,Wesley Augustus Williams.[99],African-American Firsts,Military
1927,First African-American to star in an international motion picture,Josephine Baker in La Sirène des tropiques.[100],African-American Firsts,Arts & Entertainment
1928,First post-Reconstruction African-American elected to U.S. House of Representatives,Oscar Stanton De Priest (Republican; Illinois)[101],African-American Firsts,Politics
1928,First African-American woman to serve in a state legislature,"Minnie Buckingham Harper, West Virginia[102]",Female African American Firsts,Military
1929,First African-American sportscaster,"Sherman Jocko Maxwell (WNJR, Newark, New Jersey)[103]",African-American Firsts,Sports
1931,First African-American composer to have their symphony performed by a leading orchestra,"William Grant Still, Symphony No. 1, by Rochester Philharmonic Orchestra[104]",African-American Firsts,Arts & Entertainment
1931,First African-American woman to graduate from Yale Law School,Jane Matilda Bolin,Female African American Firsts,Law
1932,First African-American on a presidential ticket in the 20th century,"James W. Ford (Communist Party USA, as vice-presidential candidate running with William Z. Foster)[105]",African-American Firsts,Politics
1934,First African-American elected to the U.S. House of Representatives as a Democrat,Arthur W. Mitchell (Illinois)[106],African-American Firsts,Politics
1934,First trade union set up for African-American domestic workers by Dora Lee Jones[relevant?  – discuss],NA,African-American Firsts,Politics
1935,First known interracial jazz group,"Benny Goodman Trio (Benny Goodman, Teddy Wilson, Gene Krupa)[107]",African-American Firsts,Social & Jobs
1936,First African-American to conduct a major U.S. orchestra,William Grant Still (Los Angeles Philharmonic)[108],African-American Firsts,Arts & Entertainment
1936,First African-American women selected for the Olympic Games,Tidye Pickett and Louise Stokes.[109] Stokes did not compete; Picket competed in the 80-meter hurdles)[110]:86,African-American Firsts,Politics
1937,First African-American federal magistrate,William H. Hastie (later the first African-American governor of the United States Virgin Islands)[111],African-American Firsts,Politics
1938,First African-American woman federal agency head,Mary McLeod Bethune (National Youth Administration)[112],Female African American Firsts,Politics
1938,First African-American woman elected to a state legislature,Crystal Bird Fauset (Pennsylvania General Assembly),Female African American Firsts,Politics
1939,First African-American to star in her own television program,"Ethel Waters, The Ethel Waters Show, on NBC[113]",Female African American Firsts,Arts & Entertainment
1940,First African-American to win an Oscar,"Hattie McDaniel (Best Supporting Actress, Gone with the Wind, 1939)[114]",African-American Firsts,Arts & Entertainment
1940,First African-American to be portrayed on a U.S. postage stamp,Booker T. Washington[115],African-American Firsts,Social & Jobs
1940,First African-American flag officer,"BG Benjamin O. Davis Sr., U.S. Army[116][Note 9]",African-American Firsts,Military
1941,First African-American to give a White House Command Performance,Josh White[117],African-American Firsts,Military
1942,First African-American to be awarded the Navy Cross,Doris Miller,African-American Firsts,Military
1942,First African-American member of the U.S. Marine Corps,Alfred Masters[118],African-American Firsts,Military
1943,"Martin A. Martin, first African-American to become a member of the Trial Bureau of the United States Department of Justice, was sworn in on May 31, 1943.[119]",NA,African-American Firsts,Politics
1943,First African-American artists to have a #1 hit on the Billboard charts,"Mills Brothers (Paper Doll), topped Best Sellers in Stores chart on November 6 (See also",African-American Firsts,Arts & Entertainment
1944,First African-American commissioned officers in the U.S. Navy,The Golden Thirteen[120],African-American Firsts,Military
1944,First African-American commissioned as a U.S. Navy officer from the Naval Reserve Officer Training Corps,Samuel Gravely.[121][Note 10],African-American Firsts,Military
1944,First African-American to co-pastor with a white minister at the first interracial church,"Dr. Howard Thurman with Dr. Alfred Fisk, Church for the Fellowship of All Peoples, San Francisco[relevant?  – discuss]",African-American Firsts,Religion
1944,First African-American to receive a contract with a major American opera company,Camilla Williams[122],African-American Firsts,Arts & Entertainment
1944,First known African-American comic book artist,Matt Baker in Jumbo Comics #69 for Fiction House[123],African-American Firsts,Arts & Entertainment
1944,First African-American reporter to attend a U.S. presidential news conference,Harry McAlpin[124],African-American Firsts,Social & Jobs
1945,First African-American member of the New York City Opera,Todd Duncan[relevant?  – discuss],African-American Firsts,Arts & Entertainment
1945,First African-American U.S. Marine Corps officer,Frederick C. Branch[125],African-American Firsts,Military
1947,First African-American Major League Baseball player of the modern era,Jackie Robinson (Brooklyn Dodgers).[126] (See also,African-American Firsts,Education & Science
1947,First African-American consensus college All-American basketball player,Don Barksdale[127],African-American Firsts,Education & Science
1947,First African-American artist to receive sole credit for a #1 hit on the Billboard charts,"Count Basie (Open the Door, Richard), topped Best Sellers in Stores chart on February 22 (See also",African-American Firsts,Arts & Entertainment
1947,First comic book produced entirely by African-Americans,All-Negro Comics[128],African-American Firsts,Arts & Entertainment
1947,First African-American full-time faculty member at a predominantly white law school,William Robert Ming (University of Chicago Law School)[20],African-American Firsts,Law
1947,First African-American female member of the U.S. House and Senate press galleries,Alice Allison Dunnigan (See also,Female African American Firsts,Social & Jobs
1948,First African-American man to receive an Oscar,"James Baskett (Honorary Academy Award for his portrayal of Uncle Remus in Song of the South, 1946)[129] (See also",African-American Firsts,Arts & Entertainment
1948,First African-American U.S. Navy aviator,Jesse L. Brown[130],African-American Firsts,Military
1948,First African-American composer to have an opera performed by a major U.S. company,"William Grant Still (Troubled Island, New York City Opera)[131]",African-American Firsts,Arts & Entertainment
1948,First African-American woman to win an Olympic gold medal,Alice Coachman[132],Female African American Firsts,Education & Science
1948,First African-American since Reconstruction to enroll at a traditionally white university of the South,Silas Hunt (University of Arkansas Law School)[133][Note 11],African-American Firsts,Education & Science
1948,First known African-American star of a regularly scheduled network television series,"Bob Howard, The Bob Howard Show[113][135][136][Note 12] (See also",African-American Firsts,Arts & Entertainment
1948,First African-American to star in network television sitcom,"Amanda Randolph, The Laytons[113][137]",African-American Firsts,Arts & Entertainment
1948,First African-American male to graduate from Oregon State College,William Tebeau[138],African-American Firsts,Education & Science
1948,First African-American female reporter to travel with a U.S. president (Harry S. Truman's election campaign),Alice Allison Dunnigan[124] (See also,Female African American Firsts,Social & Jobs
1949,First African-American graduate of the U.S. Naval Academy,Wesley Brown[139],African-American Firsts,Military
1949,First African-American to hold rank of Ambassador of the United States,"Edward R. Dudley, ambassador, and previously minister, to Liberia[140] (See also",African-American Firsts,Education & Science
1949,First African-American to win an MVP award in Major League Baseball,"Jackie Robinson (Brooklyn Dodgers, National League)[141] (See also",African-American Firsts,Education & Science
1949,First African-American-owned and -operated radio station,"WERD, established October 3, 1949 in Atlanta, Georgia by Jesse B. Blayton Sr.[142]",African-American Firsts,Arts & Entertainment
1949,First African-American woman president of an NAACP chapter nationwide,Florence LeSueur of Boston's NAACP chapter.[143],Female African American Firsts,Politics
1950,First African-American to win a Tony Award,"Juanita Hall (Best Featured Actress in a Musical, South Pacific)[144]",African-American Firsts,Arts & Entertainment
1950,First African-American to win Pulitzer Prize,"Gwendolyn Brooks (Book of poetry, Annie Allen, 1949)[145]",African-American Firsts,Arts & Entertainment
1950,First African-American to win Nobel Peace Prize,Ralph Bunche[146],African-American Firsts,Education & Science
1950,First African-American to receive a lifetime appointment as federal judge,"William H. Hastie, U.S. Court of Appeals for the Third Circuit[147]",African-American Firsts,Law
1950,First African-American woman to compete on the world tennis tour,Althea Gibson[148],Female African American Firsts,Sports
1950,First African-American solo singer to have a #1 hit on the Billboard charts,"Nat King Cole (Mona Lisa), topped Best Sellers in Stores chart on July 15 (See also",African-American Firsts,Arts & Entertainment
1950,First African-American delegate to the United Nations,Edith S. Sampson[149] (See also,African-American Firsts,Politics
1950,First African-American NBA basketball players,"Nat Sweetwater Clifton (New York Knicks), Chuck Cooper (Boston Celtics), and Earl Lloyd (Washington Capitols).[150] Note",African-American Firsts,Education & Science
1951,First African-American named to the College Football Hall of Fame,"Duke Slater, University of Iowa (1918–1921)[154]",African-American Firsts,Education & Science
1951,First African-American quarterback to become a regular starter for a professional football team,Bernie Custis (Hamilton Tiger-Cats)[155],African-American Firsts,Sports
1952,First African-American driver in NASCAR,Wendell Scott (See also,African-American Firsts,Sports
1952,First African-American woman elected to a U.S. state senate,"Cora Brown, (Michigan)[156]",Female African American Firsts,Politics
1952,First African-American U.S. Marine Corps aviator,Frank E. Petersen[157],African-American Firsts,Military
1952,First African-American woman to be nominated for a national political office,"Charlotta Bass, Vice President (Progressive Party) (See also",Female African American Firsts,Politics
1952,First African-American graduate from University of Arkansas for Medical Sciences,Edith Irby Jones[159],African-American Firsts,Education & Science
1953,First African-American basketball player to play in the NBA All-Star Game,Don Barksdale in the 1953 NBA All-Star Game[127],African-American Firsts,Education & Science
1953,First African-American quarterback to play in the National Football League during the modern (post-World War II) era,Willie Thrower (Chicago Bears)[160],African-American Firsts,Education & Science
1954,First African-American U.S. Navy Diver,Carl Brashear[161],African-American Firsts,Military
1954,First African-American woman to be nominated for the Academy Award for Best Actress,"Dorothy Dandridge (Carmen Jones, 1954).[162][Note 14]",Female African American Firsts,Arts & Entertainment
1954,First individual African-American woman as subject on the cover of Life magazine,"Dorothy Dandridge, November 1, 1954[162]",Female African American Firsts,Arts & Entertainment
1954,"First African-American page for the U.S. Supreme Court, and first to be enrolled in the Capitol Page School",Charles V. Bush[163],African-American Firsts,Education & Science
1955,First African-American member of the Metropolitan Opera,Marian Anderson[164],African-American Firsts,Arts & Entertainment
1955,First African-American male dancer in a major ballet company,"Arthur Mitchell (New York City Ballet); also first African-American principal dancer of a major ballet company (NYCB), 1956.[165] (See also",African-American Firsts,Arts & Entertainment
1955,First African-American singer to appear in a telecast opera,Leontyne Price in NBC's production of Tosca[relevant?  – discuss],African-American Firsts,Arts & Entertainment
1955,First African-American pilot of a scheduled US airline,August Martin (cargo airline Seaboard & Western Airlines)[166][167] (See also,African-American Firsts,Social & Jobs
1955,First African-American to serve as a presidential executive assistant,"E. Frederic Morrow, appointed by President Eisenhower as Administrative Officer for Special Projects.[168]",African-American Firsts,Military
1956,First African-American star of a nationwide network TV show,"Nat King Cole of The Nat King Cole Show, NBC (See also",African-American Firsts,Arts & Entertainment
1956,First African-American U.S. Secret Service agent,Charles Gittens[169][170],African-American Firsts,Law
1956,"First African-American to win the Cy Young Award as the top pitcher in Major League Baseball, in the award's inaugural year",Don Newcombe (Brooklyn Dodgers)[171],Female African American Firsts,Education & Science
1957,First African-American woman Wimbledon Tennis Champion,Althea Gibson,Female African American Firsts,Sports
1957,First African-American assistant coach in the NFL,Lowell W. Perry (See also,African-American Firsts,Sports
1957,First African-American to win the Best Actor Award at the Cannes Film Festival,John Kitzmiller (Dolina Miru)[173],African-American Firsts,Education & Science
1957,"First African-American to win Major League Baseball's Gold Glove, in the award's inaugural year",Willie Mays (New York Giants)[174][Note 15],African-American Firsts,Education & Science
1958,First African-American to reach number 1 on the Billboard Hot 100,"Tommy Edwards (It's All in the Game), September 29 (See also",African-American Firsts,Arts & Entertainment
1958,First African-American flight attendant,Ruth Carol Taylor (Mohawk Airlines)[175],African-American Firsts,Social & Jobs
1959,"First African-American Grammy Award winners, in the award's inaugural year",Ella Fitzgerald and Count Basie (two awards each)[176],African-American Firsts,Arts & Entertainment
1959,First African-American television journalist,Louis Lomax,African-American Firsts,Arts & Entertainment
1959,First African-American group to reach #1 on the Billboard Hot 100,"The Platters (Smoke Gets in Your Eyes), January 19 (See also",African-American Firsts,Arts & Entertainment
1959,First African-American to win a major national player of the year award in college basketball,"Oscar Robertson, USBWA Player of the Year[Note 16] (in that award's inaugural year)",African-American Firsts,Education & Science
1960,First African-American U.S. presidential candidate,"Rev. Clennon King, on the Independent Afro-American party",African-American Firsts,Politics
1960,First African-American child to attend an all-white elementary school in the South,Ruby Bridges,African-American Firsts,Education & Science
1961,First African-American to win the Heisman Trophy,Ernie Davis,African-American Firsts,Sports
1961,First African-American to serve on a U.S. district court,"James Benton Parsons, appointed to the U.S. District Court for the Northern District of Illinois",African-American Firsts,Military
1961,First African-American tenor to sing leading roles for the Metropolitan Opera,George Shirley,African-American Firsts,Arts & Entertainment
1961,First African-American delegate to the North Atlantic Treaty Organization,Edith S. Sampson (See also,African-American Firsts,Politics
1961,First African-American to go over Niagara Falls,Nathan Boya a.k.a. William FitzGerald,African-American Firsts,Social & Jobs
1961,First African-American to join the PGA Tour,Charlie Sifford[177],African-American Firsts,Sports
1962,First African-American to be inducted into the Baseball Hall of Fame,Jackie Robinson (See also,African-American Firsts,Education & Science
1962,First African-American coach in Major League Baseball,John Jordan Buck O'Neil (Chicago Cubs),African-American Firsts,Education & Science
1962,First African-American attorney general of a state,Edward Brooke (Massachusetts) (See also,African-American Firsts,Military
1963,First African-American bank examiner for the United States Department of the Treasury,Roland Burris,African-American Firsts,Politics
1963,First African-American named as Time magazine's Man of the Year,Martin Luther King Jr.[178],African-American Firsts,Arts & Entertainment
1963,First African-American police officer of the NYPD to be named a precinct commander,"Lloyd Sealy, commander of the NYPD's 28th Precinct in Harlem.[67]",African-American Firsts,Military
1963,First African-American to be named American League MVP,Elston Howard (New York Yankees) (See also,African-American Firsts,Education & Science
1963,First African-American chess master,Walter Harris[179][180],African-American Firsts,Social & Jobs
1963,First African-American to appear as a series regular on a primetime dramatic television series,"Cicely Tyson, East Side/West Side (CBS).",African-American Firsts,Arts & Entertainment
1963,First African-American to be nominated for a Primetime Emmy Award,"Diahann Carroll, for Outstanding Single Performance by an Actress in a Lead Role, for episode A Horse Has a Big Head, Let Him Worry of Naked City (See also",African-American Firsts,Arts & Entertainment
1963,First African-Americans inducted to the Basketball Hall of Fame,"New York Renaissance, inducted as a team. (See also",African-American Firsts,Education & Science
1963,First African-American to graduate from the U.S. Air Force Academy,Charles V. Bush.,African-American Firsts,Military
1964,First African-American pilot for a major commercial airline,"David Harris, American Airlines[181][Note 17] (See also",African-American Firsts,Social & Jobs
1964,First movie with African-American interracial marriage,"One Potato, Two Potato,[183] actors Bernie Hamilton and Barbara Barrie, written by Orville H. Hampton, Raphael Hayes, directed by Larry Peerce",African-American Firsts,Arts & Entertainment
1964,First African-American baseball player to be named the Major League Baseball World Series MVP,"Bob Gibson, St. Louis Cardinals[184]",African-American Firsts,Education & Science
1965,First African-American nationally syndicated cartoonist,Morrie Turner (Wee Pals),African-American Firsts,Arts & Entertainment
1965,First African-American title character of a comic book series,Lobo (Dell Comics).[185][Note 18] (See also,African-American Firsts,Arts & Entertainment
