speciesId,species_lsid,family,genus,species,subspecies,author,year,parentheses,distribution
52,urn:lsid:nmbe.ch:spidersp:020831,Agelenidae,Agelena,borbonica,NA,Vinson,1863,0,Réunion
53,urn:lsid:nmbe.ch:spidersp:020832,Agelenidae,Agelena,canariensis,NA,Lucas,1838,0,"Canary Is., Morocco, Algeria"
54,urn:lsid:nmbe.ch:spidersp:040191,Agelenidae,Agelena,chayu,NA,"Zhang, Zhu & Song",2005,0,China
55,urn:lsid:nmbe.ch:spidersp:020833,Agelenidae,Agelena,choi,NA,Paik,1965,0,Korea
56,urn:lsid:nmbe.ch:spidersp:020834,Agelenidae,Agelena,consociata,NA,Denis,1965,0,Gabon
57,urn:lsid:nmbe.ch:spidersp:040192,Agelenidae,Agelena,cuspidata,NA,"Zhang, Zhu & Song",2005,0,China
58,urn:lsid:nmbe.ch:spidersp:020839,Agelenidae,Agelena,doris,NA,Hogg,1922,0,Vietnam
59,urn:lsid:nmbe.ch:spidersp:020840,Agelenidae,Agelena,dubiosa,NA,Strand,1908,0,"Ethiopia, Rwanda"
60,urn:lsid:nmbe.ch:spidersp:020841,Agelenidae,Mistaria,fagei,NA,Caporiacco,1949,1,Kenya
61,urn:lsid:nmbe.ch:spidersp:020842,Agelenidae,Agelena,funerea,NA,Simon,1909,0,East Africa
62,urn:lsid:nmbe.ch:spidersp:020843,Agelenidae,Agelena,gaerdesi,NA,Roewer,1955,0,Namibia
63,urn:lsid:nmbe.ch:spidersp:020844,Agelenidae,Agelena,gautami,NA,Tikader,1962,0,India
64,urn:lsid:nmbe.ch:spidersp:020845,Agelenidae,Agelena,gomerensis,NA,Wunderlich,1992,0,Canary Is.
65,urn:lsid:nmbe.ch:spidersp:020846,Agelenidae,Agelena,gonzalezi,NA,Schmidt,1980,0,Canary Is.
66,urn:lsid:nmbe.ch:spidersp:020848,Agelenidae,Agelena,hirsutissima,NA,Caporiacco,1940,0,Ethiopia
67,urn:lsid:nmbe.ch:spidersp:020849,Agelenidae,Agelena,howelli,NA,Benoit,1978,0,Tanzania
68,urn:lsid:nmbe.ch:spidersp:020850,Agelenidae,Agelena,incertissima,NA,Caporiacco,1939,0,Ethiopia
69,urn:lsid:nmbe.ch:spidersp:020851,Agelenidae,Agelena,inda,NA,Simon,1897,0,India
70,urn:lsid:nmbe.ch:spidersp:020852,Agelenidae,Agelena,injuria,NA,Fox,1936,0,China
71,urn:lsid:nmbe.ch:spidersp:020853,Agelenidae,Mistaria,jaundea,NA,Roewer,1955,1,Cameroon
72,urn:lsid:nmbe.ch:spidersp:020854,Agelenidae,Agelena,jirisanensis,NA,Paik,1965,0,Korea
73,urn:lsid:nmbe.ch:spidersp:020855,Agelenidae,Mistaria,jumbo,NA,Strand,1913,1,"DR Congo, Rwanda"
74,urn:lsid:nmbe.ch:spidersp:020856,Agelenidae,Mistaria,kiwuensis,NA,Strand,1913,1,DR Congo
75,urn:lsid:nmbe.ch:spidersp:020857,Agelenidae,Mistaria,keniana,NA,Roewer,1955,1,Kenya
76,urn:lsid:nmbe.ch:spidersp:020858,Agelenidae,Mistaria,kiboschensis,NA,Lessert,1915,1,"Central, East Africa"
77,urn:lsid:nmbe.ch:spidersp:020860,Agelenidae,Agelena,labyrinthica,NA,Clerck,1757,1,"Europe to Central Asia, Mongolia, China, Korea, Japan"
78,urn:lsid:nmbe.ch:spidersp:020861,Agelenidae,Mistaria,lawrencei,NA,Roewer,1955,1,Zimbabwe
79,urn:lsid:nmbe.ch:spidersp:020862,Agelenidae,Agelena,limbata,NA,Thorell,1897,0,"China, Myanmar, Laos"
80,urn:lsid:nmbe.ch:spidersp:020863,Agelenidae,Agelena,lingua,NA,Strand,1913,0,Central Africa
81,urn:lsid:nmbe.ch:spidersp:020864,Agelenidae,Agelena,littoricola,NA,Strand,1913,0,Central Africa
82,urn:lsid:nmbe.ch:spidersp:020865,Agelenidae,Mistaria,longimamillata,NA,Roewer,1955,1,Mozambique
84,urn:lsid:nmbe.ch:spidersp:020867,Agelenidae,Agelena,lukla,NA,Nishikawa,1980,0,"Nepal, China"
85,urn:lsid:nmbe.ch:spidersp:020868,Agelenidae,Agelena,maracandensis,NA,Charitonov,1946,1,Central Asia
88,urn:lsid:nmbe.ch:spidersp:020872,Agelenidae,Mistaria,moschiensis,NA,Roewer,1955,1,Tanzania
89,urn:lsid:nmbe.ch:spidersp:020873,Agelenidae,Mistaria,mossambica,NA,Roewer,1955,1,Mozambique
90,urn:lsid:nmbe.ch:spidersp:020874,Agelenidae,Mistaria,nairobii,NA,Caporiacco,1949,1,"Central, East Africa"
91,urn:lsid:nmbe.ch:spidersp:020875,Agelenidae,Agelena,nigra,NA,Caporiacco,1940,0,Ethiopia
92,urn:lsid:nmbe.ch:spidersp:020876,Agelenidae,Mistaria,nyassana,NA,Roewer,1955,1,Malawi
93,urn:lsid:nmbe.ch:spidersp:020877,Agelenidae,Agelena,oaklandensis,NA,Barman,1979,0,India
94,urn:lsid:nmbe.ch:spidersp:020879,Agelenidae,Agelena,orientalis,NA,C. L. Koch,1837,0,"Italy to Central Asia, Iran"
95,urn:lsid:nmbe.ch:spidersp:020881,Agelenidae,Agelena,poliosata,NA,Wang,1991,0,China
96,urn:lsid:nmbe.ch:spidersp:020882,Agelenidae,Agelena,republicana,NA,Darchen,1967,0,Gabon
97,urn:lsid:nmbe.ch:spidersp:020884,Agelenidae,Agelena,satmila,NA,Tikader,1970,0,India
98,urn:lsid:nmbe.ch:spidersp:020885,Agelenidae,Allagelena,scopulata,NA,Wang,1991,1,China
99,urn:lsid:nmbe.ch:spidersp:020886,Agelenidae,Agelena,secsuensis,NA,Lendl,1898,0,China
100,urn:lsid:nmbe.ch:spidersp:020887,Agelenidae,Agelena,sherpa,NA,Nishikawa,1980,0,Nepal
101,urn:lsid:nmbe.ch:spidersp:020888,Agelenidae,Agelena,shillongensis,NA,Tikader,1969,0,India
102,urn:lsid:nmbe.ch:spidersp:039417,Agelenidae,Agelena,silvatica,NA,Oliger,1983,0,"Russia (Far East), Korea, Japan, China, Taiwan"
103,urn:lsid:nmbe.ch:spidersp:020891,Agelenidae,Agelena,suboculata,NA,Simon,1910,0,Botswana
104,urn:lsid:nmbe.ch:spidersp:020892,Agelenidae,Benoitia,tadzhika,NA,Andreeva,1976,1,Russia (Europe) to Central Asia
105,urn:lsid:nmbe.ch:spidersp:020893,Agelenidae,Agelena,tenerifensis,NA,Wunderlich,1992,0,Canary Is.
106,urn:lsid:nmbe.ch:spidersp:020894,Agelenidae,Agelena,tenuella,NA,Roewer,1955,0,Cameroon
107,urn:lsid:nmbe.ch:spidersp:020895,Agelenidae,Agelena,tenuis,NA,Hogg,1922,0,Vietnam
108,urn:lsid:nmbe.ch:spidersp:020896,Agelenidae,Mistaria,teteana,NA,Roewer,1955,1,Mozambique
109,urn:lsid:nmbe.ch:spidersp:020898,Agelenidae,Agelena,tungchis,NA,Lee,1998,0,Taiwan
110,urn:lsid:nmbe.ch:spidersp:020899,Agelenidae,Mistaria,zorica,NA,Strand,1913,1,"Central, East Africa"
111,urn:lsid:nmbe.ch:spidersp:020900,Agelenidae,Mistaria,zuluana,NA,Roewer,1955,1,South Africa
112,urn:lsid:nmbe.ch:spidersp:020901,Agelenidae,Agelenella,pusilla,NA,Pocock,1903,1,"Yemen (mainland, Socotra)"
113,urn:lsid:nmbe.ch:spidersp:020902,Agelenidae,Agelenopsis,actuosa,NA,Gertsch & Ivie,1936,1,"USA, Canada"
114,urn:lsid:nmbe.ch:spidersp:020903,Agelenidae,Agelenopsis,aleenae,NA,Chamberlin & Ivie,1935,0,USA
115,urn:lsid:nmbe.ch:spidersp:020904,Agelenidae,Agelenopsis,aperta,NA,Gertsch,1934,1,"USA, Mexico"
116,urn:lsid:nmbe.ch:spidersp:020905,Agelenidae,Agelenopsis,emertoni,NA,Chamberlin & Ivie,1935,0,USA
117,urn:lsid:nmbe.ch:spidersp:020906,Agelenidae,Agelenopsis,kastoni,NA,Chamberlin & Ivie,1941,0,USA
118,urn:lsid:nmbe.ch:spidersp:020907,Agelenidae,Agelenopsis,longistyla,NA,Banks,1901,1,USA
119,urn:lsid:nmbe.ch:spidersp:020908,Agelenidae,Agelenopsis,naevia,NA,Walckenaer,1841,1,"USA, Canada"
120,urn:lsid:nmbe.ch:spidersp:020909,Agelenidae,Agelenopsis,oklahoma,NA,Gertsch,1936,1,"USA, Canada"
121,urn:lsid:nmbe.ch:spidersp:020910,Agelenidae,Agelenopsis,oregonensis,NA,Chamberlin & Ivie,1935,0,"USA, Canada"
122,urn:lsid:nmbe.ch:spidersp:020911,Agelenidae,Agelenopsis,pennsylvanica,NA,C. L. Koch,1843,1,USA
123,urn:lsid:nmbe.ch:spidersp:020912,Agelenidae,Agelenopsis,potteri,NA,Blackwall,1846,1,"North America. Introduced to Ukraine, Russia (Europe, Far East), Kirgizstan"
124,urn:lsid:nmbe.ch:spidersp:020913,Agelenidae,Agelenopsis,spatula,NA,Chamberlin & Ivie,1935,0,USA
125,urn:lsid:nmbe.ch:spidersp:020914,Agelenidae,Agelenopsis,utahana,NA,Chamberlin & Ivie,1933,1,"USA, Canada"
126,urn:lsid:nmbe.ch:spidersp:020835,Agelenidae,Ageleradix,cymbiforma,NA,Wang,1991,1,China
127,urn:lsid:nmbe.ch:spidersp:020880,Agelenidae,Ageleradix,otiforma,NA,Wang,1991,1,China
128,urn:lsid:nmbe.ch:spidersp:040193,Agelenidae,Ageleradix,sichuanensis,NA,Xu & Li,2007,0,China
129,urn:lsid:nmbe.ch:spidersp:041662,Agelenidae,Ageleradix,schwendingeri,NA,"Zhang, Li & Xu",2008,0,China
130,urn:lsid:nmbe.ch:spidersp:041663,Agelenidae,Ageleradix,sternseptum,NA,"Zhang, Li & Xu",2008,0,China
131,urn:lsid:nmbe.ch:spidersp:041664,Agelenidae,Ageleradix,zhishengi,NA,"Zhang, Li & Xu",2008,0,China
132,urn:lsid:nmbe.ch:spidersp:020915,Agelenidae,Agelescape,affinis,NA,Kulczyński,1911,1,"Syria, Israel, Lebanon?"
133,urn:lsid:nmbe.ch:spidersp:040194,Agelenidae,Persiscape,caucasica,NA,"Guseinov, Marusik & Koponen",2005,1,"Greece, Turkey, Georgia, Azerbaijan"
135,urn:lsid:nmbe.ch:spidersp:020916,Agelenidae,Persiscape,gideoni,NA,Levy,1996,1,"Turkey, Georgia, Azerbaijan, Israel, Iran"
136,urn:lsid:nmbe.ch:spidersp:040196,Agelenidae,Persiscape,levyi,NA,"Guseinov, Marusik & Koponen",2005,1,"Azerbaijan, Iran"
137,urn:lsid:nmbe.ch:spidersp:020917,Agelenidae,Agelescape,livida,NA,Simon,1875,1,Mediterranean
139,urn:lsid:nmbe.ch:spidersp:020918,Agelenidae,Ahua,dentata,NA,Forster & Wilton,1973,0,New Zealand
140,urn:lsid:nmbe.ch:spidersp:020919,Agelenidae,Ahua,insula,NA,Forster & Wilton,1973,0,New Zealand
141,urn:lsid:nmbe.ch:spidersp:020920,Agelenidae,Ahua,kaituna,NA,Forster & Wilton,1973,0,New Zealand
142,urn:lsid:nmbe.ch:spidersp:020921,Agelenidae,Ahua,vulgaris,NA,Forster & Wilton,1973,0,New Zealand
143,urn:lsid:nmbe.ch:spidersp:020830,Agelenidae,Allagelena,bistriata,NA,Grube,1861,1,"Russia (Far East), China"
144,urn:lsid:nmbe.ch:spidersp:020837,Agelenidae,Allagelena,difficilis,NA,Fox,1936,1,"China, Korea"
145,urn:lsid:nmbe.ch:spidersp:020838,Agelenidae,Allagelena,donggukensis,NA,Kim,1996,1,"Korea, Japan"
146,urn:lsid:nmbe.ch:spidersp:020847,Agelenidae,Allagelena,gracilens,NA,C. L. Koch,1841,1,Europe to Central Asia
147,urn:lsid:nmbe.ch:spidersp:020859,Agelenidae,Allagelena,koreana,NA,Paik,1965,1,"China, Korea"
148,urn:lsid:nmbe.ch:spidersp:040198,Agelenidae,Allagelena,monticola,NA,"Chami-Kranon, Likhitrakarn & Dankittipakul",2007,0,Thailand
149,urn:lsid:nmbe.ch:spidersp:020878,Agelenidae,Allagelena,opulenta,NA,L. Koch,1878,1,"Korea, Japan"
150,urn:lsid:nmbe.ch:spidersp:022651,Agelenidae,Alloclubionoides,amurensis,NA,Ovtchinnikov,1999,1,Russia (Far East)
151,urn:lsid:nmbe.ch:spidersp:022729,Agelenidae,Alloclubionoides,bifidus,NA,Paik,1976,1,Korea
154,urn:lsid:nmbe.ch:spidersp:041104,Agelenidae,Alloclubionoides,cochlea,NA,"Kim, Lee & Kwon",2007,1,Korea
155,urn:lsid:nmbe.ch:spidersp:024419,Agelenidae,Alloclubionoides,coreanus,NA,Paik,1992,0,Korea
156,urn:lsid:nmbe.ch:spidersp:022652,Agelenidae,Alloclubionoides,dimidiatus,NA,Paik,1974,1,Korea
157,urn:lsid:nmbe.ch:spidersp:022653,Agelenidae,Alloclubionoides,euini,NA,Paik,1976,1,Korea
158,urn:lsid:nmbe.ch:spidersp:022654,Agelenidae,Alloclubionoides,grandivulvus,NA,Yaginuma,1969,1,Japan
159,urn:lsid:nmbe.ch:spidersp:041835,Agelenidae,Alloclubionoides,jaegeri,NA,Kim,2007,1,Korea
160,urn:lsid:nmbe.ch:spidersp:042786,Agelenidae,Alloclubionoides,jirisanensis,NA,Kim,2009,0,Korea
161,urn:lsid:nmbe.ch:spidersp:022656,Agelenidae,Alloclubionoides,kimi,NA,Paik,1974,1,Korea
162,urn:lsid:nmbe.ch:spidersp:022657,Agelenidae,Alloclubionoides,lunatus,NA,Paik,1976,1,Korea
163,urn:lsid:nmbe.ch:spidersp:022658,Agelenidae,Alloclubionoides,mandzhuricus,NA,Ovtchinnikov,1999,1,Russia (Far East)
164,urn:lsid:nmbe.ch:spidersp:022811,Agelenidae,Alloclubionoides,meniscatus,NA,Zhu & Wang,1991,1,China
165,urn:lsid:nmbe.ch:spidersp:022659,Agelenidae,Alloclubionoides,napolovi,NA,Ovtchinnikov,1999,1,Russia (Far East)
166,urn:lsid:nmbe.ch:spidersp:022822,Agelenidae,Alloclubionoides,nariceus,NA,Zhu & Wang,1994,1,China
167,urn:lsid:nmbe.ch:spidersp:022660,Agelenidae,Alloclubionoides,ovatus,NA,Paik,1976,1,Korea
168,urn:lsid:nmbe.ch:spidersp:022661,Agelenidae,Alloclubionoides,paiki,NA,Ovtchinnikov,1999,1,Russia (Far East)
169,urn:lsid:nmbe.ch:spidersp:022834,Agelenidae,Alloclubionoides,paikwunensis,NA,Kim & Jung,1993,1,Korea
170,urn:lsid:nmbe.ch:spidersp:040914,Agelenidae,Alloclubionoides,pseudonariceus,NA,"Zhang, Zhu & Song",2007,1,China
171,urn:lsid:nmbe.ch:spidersp:022662,Agelenidae,Alloclubionoides,quadrativulvus,NA,Paik,1974,1,Korea
172,urn:lsid:nmbe.ch:spidersp:022860,Agelenidae,Alloclubionoides,rostratus,NA,"Song, Zhu, Gao & Guan",1993,1,China
173,urn:lsid:nmbe.ch:spidersp:045497,Agelenidae,Alloclubionoides,solea,NA,Kim & Kim,2012,0,Korea
174,urn:lsid:nmbe.ch:spidersp:022888,Agelenidae,Alloclubionoides,terdecimus,NA,Paik,1978,1,Korea
175,urn:lsid:nmbe.ch:spidersp:040915,Agelenidae,Alloclubionoides,triangulatus,NA,"Zhang, Zhu & Song",2007,1,China
176,urn:lsid:nmbe.ch:spidersp:040916,Agelenidae,Alloclubionoides,trisaccatus,NA,"Zhang, Zhu & Song",2007,1,China
177,urn:lsid:nmbe.ch:spidersp:042785,Agelenidae,Alloclubionoides,wolchulsanensis,NA,Kim,2009,0,Korea
178,urn:lsid:nmbe.ch:spidersp:021184,Agelenidae,Aterigena,aculeata,NA,Wang,1992,1,China
179,urn:lsid:nmbe.ch:spidersp:021189,Agelenidae,Aterigena,aliquoi,NA,Brignoli,1971,1,Italy
180,urn:lsid:nmbe.ch:spidersp:043487,Agelenidae,Aterigena,aspromontensis,NA,"Bolzern, Hänggi & Burckhardt",2010,0,Italy
181,urn:lsid:nmbe.ch:spidersp:021247,Agelenidae,Aterigena,ligurica,NA,Simon,1916,1,"France, Italy"
182,urn:lsid:nmbe.ch:spidersp:021292,Agelenidae,Aterigena,soriculata,NA,Simon,1873,1,"France (Corsica), Italy (Sardinia)"
183,urn:lsid:nmbe.ch:spidersp:040199,Agelenidae,Azerithonica,hyrcanica,NA,"Guseinov, Marusik & Koponen",2005,0,"Azerbaijan, Iran"
184,urn:lsid:nmbe.ch:spidersp:020922,Agelenidae,Barronopsis,arturoi,NA,Alayón,1993,0,Cuba
185,urn:lsid:nmbe.ch:spidersp:020923,Agelenidae,Barronopsis,barrowsi,NA,Gertsch,1934,1,"USA, Cuba, Hispaniola"
186,urn:lsid:nmbe.ch:spidersp:020926,Agelenidae,Barronopsis,floridensis,NA,Roth,1954,1,"USA, Bahama Is."
187,urn:lsid:nmbe.ch:spidersp:020927,Agelenidae,Barronopsis,jeffersi,NA,Muma,1945,1,"USA, Cuba"
188,urn:lsid:nmbe.ch:spidersp:045449,Agelenidae,Barronopsis,pelempito,NA,Alayón,2012,0,Hispaniola
189,urn:lsid:nmbe.ch:spidersp:042730,Agelenidae,Barronopsis,stephaniae,NA,Stocks,2009,0,USA
190,urn:lsid:nmbe.ch:spidersp:020928,Agelenidae,Barronopsis,texana,NA,Gertsch,1934,1,USA
191,urn:lsid:nmbe.ch:spidersp:020929,Agelenidae,Benoitia,agraulosa,NA,Wang & Wang,1991,1,China
192,urn:lsid:nmbe.ch:spidersp:020930,Agelenidae,Benoitia,bornemiszai,NA,Caporiacco,1947,1,East Africa
193,urn:lsid:nmbe.ch:spidersp:020931,Agelenidae,Benoitia,deserticola,NA,Simon,1910,1,"Namibia, South Africa"
194,urn:lsid:nmbe.ch:spidersp:020932,Agelenidae,Benoitia,lepida,NA,O. Pickard-Cambridge,1876,1,"Spain, North Africa, Turkey, Cyprus, Israel, Yemen, Saudi-Arabia, Kuwait, Iraq, Iran"
195,urn:lsid:nmbe.ch:spidersp:020933,Agelenidae,Benoitia,ocellata,NA,Pocock,1900,1,South Africa
196,urn:lsid:nmbe.ch:spidersp:020934,Agelenidae,Benoitia,raymondeae,NA,Lessert,1915,1,East Africa
197,urn:lsid:nmbe.ch:spidersp:020935,Agelenidae,Benoitia,rhodesiae,NA,Pocock,1901,1,Southern Africa
198,urn:lsid:nmbe.ch:spidersp:020936,Agelenidae,Benoitia,timida,NA,Audouin,1826,1,"Egypt, Israel"
199,urn:lsid:nmbe.ch:spidersp:020937,Agelenidae,Benoitia,upembana,NA,Roewer,1955,1,Congo
201,urn:lsid:nmbe.ch:spidersp:023104,Agelenidae,Bifidocoelotes,primus,NA,Fox,1937,1,China (Hong Kong)
202,urn:lsid:nmbe.ch:spidersp:020938,Agelenidae,Calilena,absoluta,NA,Gertsch,1936,1,USA
203,urn:lsid:nmbe.ch:spidersp:020939,Agelenidae,Calilena,adna,NA,Chamberlin & Ivie,1941,0,USA
204,urn:lsid:nmbe.ch:spidersp:020940,Agelenidae,Calilena,angelena,NA,Chamberlin & Ivie,1941,0,"USA, Mexico"
205,urn:lsid:nmbe.ch:spidersp:020941,Agelenidae,Calilena,arizonica,NA,Chamberlin & Ivie,1941,0,USA
206,urn:lsid:nmbe.ch:spidersp:020942,Agelenidae,Calilena,californica,NA,Banks,1896,1,USA
207,urn:lsid:nmbe.ch:spidersp:020943,Agelenidae,Calilena,gertschi,NA,Chamberlin & Ivie,1941,0,USA
208,urn:lsid:nmbe.ch:spidersp:020944,Agelenidae,Calilena,gosoga,NA,Chamberlin & Ivie,1941,0,USA
209,urn:lsid:nmbe.ch:spidersp:020945,Agelenidae,Calilena,magna,NA,Chamberlin & Ivie,1941,0,USA
210,urn:lsid:nmbe.ch:spidersp:020946,Agelenidae,Calilena,nita,NA,Chamberlin & Ivie,1941,0,USA
211,urn:lsid:nmbe.ch:spidersp:020947,Agelenidae,Calilena,peninsulana,NA,Banks,1898,1,Mexico
212,urn:lsid:nmbe.ch:spidersp:020948,Agelenidae,Calilena,restricta,NA,Chamberlin & Ivie,1941,0,USA
213,urn:lsid:nmbe.ch:spidersp:020949,Agelenidae,Calilena,restricta,dixiana,Chamberlin & Ivie,1941,0,USA
214,urn:lsid:nmbe.ch:spidersp:020950,Agelenidae,Calilena,saylori,NA,Chamberlin & Ivie,1941,0,USA
215,urn:lsid:nmbe.ch:spidersp:020951,Agelenidae,Calilena,siva,NA,Chamberlin & Ivie,1941,0,USA
216,urn:lsid:nmbe.ch:spidersp:020952,Agelenidae,Calilena,stylophora,NA,Chamberlin & Ivie,1941,0,USA
217,urn:lsid:nmbe.ch:spidersp:020953,Agelenidae,Calilena,stylophora,laguna,Chamberlin & Ivie,1941,0,USA
218,urn:lsid:nmbe.ch:spidersp:020954,Agelenidae,Calilena,stylophora,oregona,Chamberlin & Ivie,1941,0,USA
219,urn:lsid:nmbe.ch:spidersp:020955,Agelenidae,Calilena,stylophora,pomona,Chamberlin & Ivie,1941,0,USA
