city,state,city_size,mode,n,percent,moe,state_abb,state_region
Butte-Silver Bow (balance),Montana,Small,Bike,42,0.3,0.4,MT,West
Cabot city,Arkansas,Small,Bike,0,0,0.3,AR,South
Calabasas city,California,Small,Bike,0,0,0.4,CA,West
Caldwell city,Idaho,Small,Bike,52,0.3,0.3,ID,West
Caledonia village,Wisconsin,Small,Bike,26,0.2,0.2,WI,North Central
Calexico city,California,Small,Bike,60,0.5,0.6,CA,West
Calumet City city,Illinois,Small,Bike,74,0.5,0.6,IL,North Central
Camarillo city,California,Small,Bike,156,0.5,0.3,CA,West
Camas city,Washington,Small,Bike,64,0.8,0.5,WA,West
Camden city,New Jersey,Small,Bike,84,0.4,0.4,NJ,Northeast
Campbell city,California,Small,Bike,432,2,1,CA,West
Canton city,Georgia,Small,Bike,0,0,0.4,GA,South
Canton city,Ohio,Small,Bike,58,0.2,0.1,OH,North Central
Cape Girardeau city,Missouri,Small,Bike,128,0.7,0.8,MO,North Central
Carbondale city,Illinois,Small,Bike,381,3.6,1.2,IL,North Central
Carlsbad city,New Mexico,Small,Bike,0,0,0.3,NM,West
Carmel city,Indiana,Small,Bike,137,0.3,0.2,IN,North Central
Carol Stream village,Illinois,Small,Bike,66,0.3,0.4,IL,North Central
Carpentersville village,Illinois,Small,Bike,7,0,0.1,IL,North Central
Carrboro town,North Carolina,Small,Bike,605,5.3,2.1,NC,South
Carrollton city,Georgia,Small,Bike,43,0.5,0.4,GA,South
Carson city,California,Small,Bike,85,0.2,0.2,CA,West
Carson City,Nevada,Small,Bike,261,1.1,0.6,NV,West
Carteret borough,New Jersey,Small,Bike,61,0.6,0.6,NJ,Northeast
Casa Grande city,Arizona,Small,Bike,48,0.3,0.2,AZ,West
Casper city,Wyoming,Small,Bike,195,0.7,0.3,WY,West
Casselberry city,Florida,Small,Bike,72,0.6,0.5,FL,South
Castle Rock town,Colorado,Small,Bike,18,0.1,0.1,CO,West
Cathedral City city,California,Small,Bike,50,0.2,0.2,CA,West
Cedar City city,Utah,Small,Bike,117,1,0.5,UT,West
Cedar Falls city,Iowa,Small,Bike,146,0.7,0.4,IA,North Central
Cedar Hill city,Texas,Small,Bike,19,0.1,0.1,TX,South
Cedar Park city,Texas,Small,Bike,42,0.2,0.2,TX,South
Centerville city,Ohio,Small,Bike,3,0,4.1,OH,North Central
Central city,Louisiana,Small,Bike,0,0,0.3,LA,South
Ceres city,California,Small,Bike,78,0.5,0.6,CA,West
Cerritos city,California,Small,Bike,35,0.2,0.2,CA,West
Chambersburg borough,Pennsylvania,Small,Bike,28,0.3,0.4,PA,Northeast
Champaign city,Illinois,Small,Bike,1075,2.7,0.6,IL,North Central
Champlin city,Minnesota,Small,Bike,52,0.4,0.3,MN,North Central
Chanhassen city,Minnesota,Small,Bike,35,0.3,0.4,MN,North Central
Chapel Hill town,North Carolina,Small,Bike,583,2.2,0.5,NC,South
Charleston city,Illinois,Small,Bike,110,1.1,0.7,IL,North Central
Charleston city,West Virginia,Small,Bike,49,0.2,0.1,WV,South
Charlottesville city,Virginia,Small,Bike,753,3.7,0.9,VA,South
Chaska city,Minnesota,Small,Bike,24,0.2,0.2,MN,North Central
Chelsea city,Massachusetts,Small,Bike,136,0.8,0.6,MA,Northeast
Chester city,Pennsylvania,Small,Bike,104,0.9,0.8,PA,Northeast
Chesterfield city,Missouri,Small,Bike,14,0.1,0.1,MO,North Central
Cheyenne city,Wyoming,Small,Bike,207,0.7,0.3,WY,West
Chicago Heights city,Illinois,Small,Bike,99,0.9,0.8,IL,North Central
Chico city,California,Small,Bike,2239,5.8,1,CA,West
Chicopee city,Massachusetts,Small,Bike,129,0.5,0.6,MA,Northeast
Chillicothe city,Ohio,Small,Bike,14,0.2,0.2,OH,North Central
Chino city,California,Small,Bike,97,0.3,0.2,CA,West
Chino Hills city,California,Small,Bike,206,0.6,0.7,CA,West
Christiansburg town,Virginia,Small,Bike,0,0,0.3,VA,South
Cicero town,Illinois,Small,Bike,312,0.9,0.5,IL,North Central
Citrus Heights city,California,Small,Bike,137,0.4,0.2,CA,West
Claremont city,California,Small,Bike,296,2,0.7,CA,West
Clarksville town,Indiana,Small,Bike,27,0.3,0.3,IN,North Central
Clearfield city,Utah,Small,Bike,39,0.3,0.3,UT,West
Cleburne city,Texas,Small,Bike,0,0,0.3,TX,South
Clermont city,Florida,Small,Bike,18,0.2,0.2,FL,South
Cleveland city,Tennessee,Small,Bike,51,0.3,0.3,TN,South
Cleveland Heights city,Ohio,Small,Bike,197,0.9,0.3,OH,North Central
Cliffside Park borough,New Jersey,Small,Bike,39,0.3,0.3,NJ,Northeast
Clifton city,New Jersey,Small,Bike,59,0.1,0.2,NJ,Northeast
Clinton city,Iowa,Small,Bike,58,0.5,0.4,IA,North Central
Clinton city,Mississippi,Small,Bike,0,0,0.3,MS,South
Clinton city,Utah,Small,Bike,13,0.1,0.2,UT,West
Clovis city,California,Small,Bike,156,0.4,0.2,CA,West
Clovis city,New Mexico,Small,Bike,58,0.4,0.3,NM,West
Coachella city,California,Small,Bike,15,0.1,0.2,CA,West
Coconut Creek city,Florida,Small,Bike,110,0.4,0.3,FL,South
Coeur d'Alene city,Idaho,Small,Bike,191,0.9,0.5,ID,West
College Park city,Maryland,Small,Bike,433,3.3,1.2,MD,South
College Station city,Texas,Small,Bike,1126,2.6,0.5,TX,South
Colleyville city,Texas,Small,Bike,25,0.2,0.3,TX,South
Collierville town,Tennessee,Small,Bike,5,0,0.1,TN,South
Collinsville city,Illinois,Small,Bike,31,0.3,0.3,IL,North Central
Colton city,California,Small,Bike,133,0.6,0.6,CA,West
Columbia city,Tennessee,Small,Bike,54,0.4,0.5,TN,South
Columbus city,Indiana,Small,Bike,99,0.5,0.2,IN,North Central
Columbus city,Mississippi,Small,Bike,5,0.1,0.1,MS,South
Columbus city,Nebraska,Small,Bike,52,0.5,0.5,NE,North Central
Commerce City city,Colorado,Small,Bike,10,0,0.1,CO,West
Compton city,California,Small,Bike,154,0.5,0.2,CA,West
Concord city,New Hampshire,Small,Bike,93,0.4,0.3,NH,Northeast
Concord city,North Carolina,Small,Bike,34,0.1,0.1,NC,South
Conroe city,Texas,Small,Bike,126,0.5,0.5,TX,South
Conway city,Arkansas,Small,Bike,104,0.4,0.2,AR,South
Cookeville city,Tennessee,Small,Bike,34,0.3,0.3,TN,South
Coon Rapids city,Minnesota,Small,Bike,101,0.3,0.2,MN,North Central
Cooper City city,Florida,Small,Bike,16,0.1,0.1,FL,South
Coppell city,Texas,Small,Bike,9,0,0.1,TX,South
Copperas Cove city,Texas,Small,Bike,25,0.2,0.2,TX,South
Coral Gables city,Florida,Small,Bike,144,0.7,0.5,FL,South
Corcoran city,California,Small,Bike,52,1.3,1.1,CA,West
Corinth city,Texas,Small,Bike,23,0.2,0.4,TX,South
Cornelius town,North Carolina,Small,Bike,7,0.1,0.1,NC,South
Coronado city,California,Small,Bike,527,4.8,1.3,CA,West
Corsicana city,Texas,Small,Bike,31,0.3,0.4,TX,South
Corvallis city,Oregon,Small,Bike,2804,11.2,1.5,OR,West
Cottage Grove city,Minnesota,Small,Bike,64,0.4,0.3,MN,North Central
Cottonwood Heights city,Utah,Small,Bike,49,0.3,0.2,UT,West
Council Bluffs city,Iowa,Small,Bike,132,0.4,0.2,IA,North Central
Covina city,California,Small,Bike,134,0.6,0.4,CA,West
Covington city,Kentucky,Small,Bike,50,0.3,0.3,KY,South
Cranston city,Rhode Island,Small,Bike,92,0.3,0.2,RI,Northeast
Crest Hill city,Illinois,Small,Bike,0,0,0.3,IL,North Central
Crestview city,Florida,Small,Bike,11,0.1,0.2,FL,South
Crown Point city,Indiana,Small,Bike,0,0,0.2,IN,North Central
Crystal city,Minnesota,Small,Bike,9,0.1,0.1,MN,North Central
Crystal Lake city,Illinois,Small,Bike,0,0,0.1,IL,North Central
Cudahy city,California,Small,Bike,74,0.8,0.8,CA,West
Culver City city,California,Small,Bike,219,1.1,0.5,CA,West
Cumberland city,Maryland,Small,Bike,0,0,0.4,MD,South
Cupertino city,California,Small,Bike,221,0.9,0.5,CA,West
Cutler Bay town,Florida,Small,Bike,28,0.2,0.2,FL,South
Cuyahoga Falls city,Ohio,Small,Bike,56,0.2,0.3,OH,North Central
Cypress city,California,Small,Bike,168,0.7,0.4,CA,West
Dalton city,Georgia,Small,Bike,29,0.2,0.3,GA,South
Dana Point city,California,Small,Bike,75,0.4,0.3,CA,West
Danbury city,Connecticut,Small,Bike,51,0.1,0.1,CT,Northeast
Dania Beach city,Florida,Small,Bike,102,0.7,0.5,FL,South
Danville city,Illinois,Small,Bike,28,0.2,0.2,IL,North Central
Danville city,Virginia,Small,Bike,33,0.2,0.1,VA,South
Danville town,California,Small,Bike,29,0.2,0.2,CA,West
Daphne city,Alabama,Small,Bike,91,0.9,1.3,AL,South
Darien city,Illinois,Small,Bike,30,0.3,0.3,IL,North Central
Davie town,Florida,Small,Bike,216,0.5,0.3,FL,South
Davis city,California,Small,Bike,5691,18.6,1.8,CA,West
Daytona Beach city,Florida,Small,Bike,429,1.9,0.7,FL,South
De Pere city,Wisconsin,Small,Bike,75,0.6,0.4,WI,North Central
Dearborn city,Michigan,Small,Bike,110,0.3,0.1,MI,North Central
Dearborn Heights city,Michigan,Small,Bike,32,0.2,0.2,MI,North Central
Decatur city,Alabama,Small,Bike,0,0,0.1,AL,South
Decatur city,Illinois,Small,Bike,54,0.2,0.1,IL,North Central
Deer Park city,Texas,Small,Bike,65,0.4,0.5,TX,South
Deerfield Beach city,Florida,Small,Bike,306,0.9,0.4,FL,South
DeKalb city,Illinois,Small,Bike,301,1.5,0.6,IL,North Central
Del City city,Oklahoma,Small,Bike,0,0,0.3,OK,South
Del Rio city,Texas,Small,Bike,125,0.9,0.5,TX,South
DeLand city,Florida,Small,Bike,159,1.6,1.2,FL,South
Delano city,California,Small,Bike,41,0.3,0.4,CA,West
Delaware city,Ohio,Small,Bike,46,0.3,0.2,OH,North Central
Delray Beach city,Florida,Small,Bike,188,0.7,0.4,FL,South
Deltona city,Florida,Small,Bike,58,0.2,0.2,FL,South
Denison city,Texas,Small,Bike,34,0.4,0.4,TX,South
Derby city,Kansas,Small,Bike,9,0.1,0.1,KS,North Central
Des Moines city,Washington,Small,Bike,24,0.2,0.3,WA,West
Des Plaines city,Illinois,Small,Bike,167,0.6,0.3,IL,North Central
Desert Hot Springs city,California,Small,Bike,0,0,0.4,CA,West
DeSoto city,Texas,Small,Bike,0,0,0.2,TX,South
Diamond Bar city,California,Small,Bike,7,0,0.1,CA,West
Dinuba city,California,Small,Bike,14,0.2,0.3,CA,West
Dodge City city,Kansas,Small,Bike,42,0.3,0.3,KS,North Central
Dolton village,Illinois,Small,Bike,0,0,0.3,IL,North Central
Doral city,Florida,Small,Bike,5,0,0.1,FL,South
Dothan city,Alabama,Small,Bike,51,0.2,0.1,AL,South
Douglasville city,Georgia,Small,Bike,1,0,0.1,GA,South
Dover city,Delaware,Small,Bike,12,0.1,0.1,DE,South
Dover city,New Hampshire,Small,Bike,43,0.3,0.3,NH,Northeast
Downers Grove village,Illinois,Small,Bike,176,0.7,0.4,IL,North Central
Draper city,Utah,Small,Bike,35,0.2,0.2,UT,West
Duarte city,California,Small,Bike,14,0.2,0.2,CA,West
Dublin city,California,Small,Bike,69,0.3,0.2,CA,West
Dublin city,Ohio,Small,Bike,16,0.1,0.1,OH,North Central
Dubuque city,Iowa,Small,Bike,43,0.1,0.1,IA,North Central
Duluth city,Georgia,Small,Bike,0,0,0.3,GA,South
Duluth city,Minnesota,Small,Bike,343,0.8,0.3,MN,North Central
Duncan city,Oklahoma,Small,Bike,18,0.2,0.3,OK,South
Duncanville city,Texas,Small,Bike,14,0.1,0.1,TX,South
Dunedin city,Florida,Small,Bike,296,1.9,0.8,FL,South
Dunwoody city,Georgia,Small,Bike,32,0.1,0.2,GA,South
Eagan city,Minnesota,Small,Bike,128,0.4,0.2,MN,North Central
Eagle city,Idaho,Small,Bike,48,0.6,0.5,ID,West
Eagle Mountain city,Utah,Small,Bike,0,0,0.4,UT,West
Eagle Pass city,Texas,Small,Bike,11,0.1,0.2,TX,South
Easley city,South Carolina,Small,Bike,11,0.1,0.2,SC,South
East Chicago city,Indiana,Small,Bike,0,0,0.3,IN,North Central
East Lansing city,Michigan,Small,Bike,1374,6.8,1.2,MI,North Central
East Moline city,Illinois,Small,Bike,0,0,0.3,IL,North Central
East Orange city,New Jersey,Small,Bike,17,0.1,0.1,NJ,Northeast
East Palo Alto city,California,Small,Bike,440,3.6,3.6,CA,West
East Peoria city,Illinois,Small,Bike,0,0,0.3,IL,North Central
East Point city,Georgia,Small,Bike,45,0.3,0.4,GA,South
East Providence city,Rhode Island,Small,Bike,78,0.4,0.3,RI,Northeast
East Ridge city,Tennessee,Small,Bike,3,0,0.1,TN,South
East St. Louis city,Illinois,Small,Bike,48,0.6,0.5,IL,North Central
Easton city,Pennsylvania,Small,Bike,25,0.2,0.2,PA,Northeast
Eastpointe city,Michigan,Small,Bike,0,0,0.2,MI,North Central
Eastvale city,California,Small,Bike,45,0.2,0.3,CA,West
Eau Claire city,Wisconsin,Small,Bike,389,1.1,0.3,WI,North Central
Eden Prairie city,Minnesota,Small,Bike,117,0.4,0.4,MN,North Central
Edgewater city,Florida,Small,Bike,82,0.9,0.9,FL,South
Edina city,Minnesota,Small,Bike,220,1,0.5,MN,North Central
Edinburg city,Texas,Small,Bike,90,0.3,0.2,TX,South
Edmond city,Oklahoma,Small,Bike,106,0.3,0.1,OK,South
Edmonds city,Washington,Small,Bike,54,0.3,0.2,WA,West
Edwardsville city,Illinois,Small,Bike,54,0.4,0.4,IL,North Central
El Centro city,California,Small,Bike,54,0.4,0.4,CA,West
El Cerrito city,California,Small,Bike,263,2.2,0.7,CA,West
El Mirage city,Arizona,Small,Bike,23,0.2,0.2,AZ,West
El Paso de Robles (Paso Robles) city,Ca,Small,Bike,71,0.5,0.4,NA,NA
Elizabethtown city,Kentucky,Small,Bike,0,0,0.3,KY,South
Elk Grove Village village,Illinois,Small,Bike,22,0.1,0.2,IL,North Central
Elk River city,Minnesota,Small,Bike,26,0.2,0.2,MN,North Central
Elkhart city,Indiana,Small,Bike,262,1.3,0.6,IN,North Central
Elmhurst city,Illinois,Small,Bike,46,0.2,0.2,IL,North Central
Elmira city,New York,Small,Bike,56,0.5,0.3,NY,Northeast
Elmwood Park village,Illinois,Small,Bike,20,0.2,0.2,IL,North Central
Elyria city,Ohio,Small,Bike,104,0.4,0.3,OH,North Central
Emporia city,Kansas,Small,Bike,60,0.5,0.5,KS,North Central
Encinitas city,California,Small,Bike,470,1.6,0.5,CA,West
Englewood city,Colorado,Small,Bike,210,1.3,0.7,CO,West
Englewood city,New Jersey,Small,Bike,35,0.3,0.3,NJ,Northeast
Enid city,Oklahoma,Small,Bike,28,0.1,0.1,OK,South
Enterprise city,Alabama,Small,Bike,13,0.1,0.1,AL,South
Euclid city,Ohio,Small,Bike,14,0.1,0.1,OH,North Central
Euless city,Texas,Small,Bike,83,0.3,0.3,TX,South
Eureka city,California,Small,Bike,232,1.9,1,CA,West
Evanston city,Illinois,Small,Bike,1073,3,0.5,IL,North Central
Everett city,Massachusetts,Small,Bike,162,0.7,0.5,MA,Northeast
Fair Lawn borough,New Jersey,Small,Bike,9,0.1,0.1,NJ,Northeast
Fairbanks city,Alaska,Small,Bike,301,1.9,0.9,AK,West
Fairborn city,Ohio,Small,Bike,81,0.5,0.5,OH,North Central
Fairfax city,Virginia,Small,Bike,23,0.2,0.2,VA,South
Fairfield city,Ohio,Small,Bike,0,0,0.1,OH,North Central
Fall River city,Massachusetts,Small,Bike,90,0.3,0.2,MA,Northeast
Faribault city,Minnesota,Small,Bike,12,0.1,0.2,MN,North Central
Farmers Branch city,Texas,Small,Bike,18,0.1,0.2,TX,South
