song,artist,featuring,entered_top_30_in,lyrics,writers,producer,rough_order
Compass,Lady Antebellum,NA,2013,"Alright Yeah it's been a bumpy road Roller coasters High and low Fill the tank and drive the car Pedal fast, pedal hard You won't have to go that far You wanna give up 'cause it's dark We're really not that far apart So let your heart, sweet heart Be your compass when you're lost And you should follow it wherever it may go When it's all said and done You can walk instead of run 'Cause no matter what you'll never be alone (never be alone) oh oh oh Never be alone oh oh oh Forgot directions on your way Don't close your eyes don't be afraid We might be crazy late at night I can't wait til you arrive Follow stars you'll be alright You wanna give up 'cause it's dark We're really not that far apart So let your heart, sweet heart Be your compass when you're lost And you should follow it wherever it may go When it's all said and done You can walk instead of run 'Cause no matter what you'll never be alone (never be alone) oh oh oh Never be alone oh oh oh You wanna give up 'cause it's dark We're really not that far apart So let your heart, sweet heart Be your compass when you're lost And you should follow it wherever it may go When it's all said and done You can walk instead of run 'Cause no matter what you'll never be alone (never be alone) oh oh oh Never be alone oh oh oh When it's all said and done You can walk instead of run 'Cause no matter what you'll never be alone","Mikkel Eriksen, Tor Erik Hemransen, Ammar Malik, Ross Golan, Daniel Omelio, Emile Haynie",Nathan Chapman,11
Drink A Beer,Luke Bryan,NA,2013,"When I got the news today I didn't know what to say. So I just hung up the phone. I took a walk to clear my head, This is where the walking led Can't believe you're really gone Don't feel like going home So I'm gonna sit right here On the edge of this pier Watch the sunset disappear And drink a beer Funny how the good ones go Too soon, but the good Lord knows The reasons why, I guess Sometimes the greater plan Is kinda hard to understand Right now it don't make sense I can't make it all make sense So I'm gonna sit right here On the edge of this pier Watch the sunset disappear And drink a beer So long my friend Until we meet again I'll remember you And all the times that we used to... ... sit right here on the edge of this pier And watch the sunset disappear And drink a beer Drink a beer, Drink a beer. Yeah",Jim Beavers Chris Stapleton,Jeff Stevens,12
I Hold On,Dierks Bentley,NA,2013,"It's just an old beat up truck, Some say that I should trade up Now that I got some jangle in my pocket. But what they don’t understand Is it's the miles that make a man. I wouldn’t trade that thing in for a rocket. What they don’t know is my dad and me– We drove her out to Tennessee And she’s still here and now he’s gone So I hold on. It's just an old beat up box, Its rusty strings across the top It probably don’t look like much to you. But these dents and scratches in the wood, Yeah, that’s what makes it sound so good. To me it's better than brand new. You see this here flat top guitar, Has had my back in a million bars Singing every country song So I hold on. To the things I believe in My faith, your love, our freedom To the things I can count on To keep me going strong Yeah, I hold on, I hold on. Like the stripes to the flag, Like a boy to his dad I can't change who I am, right or wrong So I hold on. Yeah, baby, looking at you right now, There ain't never been no doubt Without you I'd be nothing So if you ever worry about Me walking out Yeah, let me tell you something. I hold on. I hold on. Can you hear me, baby? I hold on Yea, I hold on… To the things I believe in My faith, your love, our freedom To the things I can count on To keep me going strong To the things I believe in My faith, your love, our freedom To the things I can count on To keep me going strong Yeah, I hold on… I hold on… I hold on and on and on and on and on. I hold on and on and on and on and on.","Brett James, Dierks Bentley",Ross Copperman,13
Lettin The Night Roll,Justin Moore,NA,2014,"That water tower’s got the sun going down behind it If there’s a good time in this town girl we’re gonna find it You looked so damn good climbing up in my Chevy Tried to play it cool but I knew already By the way you looked in the dashboard lights It was gonna be one of those nights Got the Kenwoods banging that rock n’ roll Whisper to me baby where you wanna go I can ride you ‘round town or drive you down some ol’ back road I love the way you lean that seat back, steal my ball cap Pull it down over your blue eyes Watchin’ your hair fly out the window Just lettin’ the night roll And I can’t wait to see where it goes We can run the reds down Main Street dodging the blue lights Or disappear off into the corn out past the county line Baby keep on keep on swaying to the backbeat Long as you’re right here right here beside me You make the call baby I don’t care We can take this anywhere Got the Kenwoods banging that rock n’ roll Whisper to me baby where you wanna go I can ride you ‘round town or drive you down some ol’ back road I love the way you lean that seat back, steal my ball cap Pull it down over your blue eyes Watchin’ your hair fly out the window Just lettin’ the night roll And I can’t wait to see where it goes Got the Kenwoods banging that rock n’ roll Whisper to me baby where you wanna go I can ride you ‘round town or drive you down some ol’ back road I love the way you lean that seat back, steal my ball cap Pull it down over your blue eyes Watchin’ your hair fly out the window Just lettin’ the night roll And I can’t wait to see where it goes I can’t wait to see where it goes, oh yeah Just lettin’ the night roll","Justin Moore, Jeremy Stover. Rodney Clawson",Jeremy Stover,14
Mona Lisa,Brad Paisley,NA,2014,"Now there are men who make history There are men who change the world And there are men like me That simply find the right girl And in that very moment, it all becomes clear What I’m meant to do, the reason I’m here Now every night I thank the Lord I found you And every time I put my arms around you I feel like the frame that gets to hold the Mona Lisa And I don’t care if that’s all I ever do It never fails, we walk in a room Nobody sees me, they’re all lookin’ at you I disappear but that’s fine with me I feel the same way, you’re all I can see Now they’ve written books about da Vinci’s muse Now I know it wasn’t but it shoulda been you 'Cause I feel like the frame that gets to hold the Mona Lisa And I don’t care if that’s all I ever do Why don’t we run off to Paris while we’re still young We could drink a little wine, have a little fun I could tell you I love you in a foreign tongue We could work on our French in more ways than one I could take your hand, we could walk in the Louvre I could show ‘em real beauty, let ‘em get a load of you 'Cause I feel like the frame that gets to hold the Mona Lisa And I don’t care if that’s all I ever do I feel like the frame that gets to hold the Mona Lisa And I don’t care if that’s all I ever do","Brad Paisley, Chris Dubois",Brad Paisley,15
Invisible,Hunter Hayes,NA,2014,"Crowded hallways are the loneliest places For outcasts and rebels Or anyone who just dares to be different And you've been trying for so long To find out where your place is But in their narrow minds There's no room for anyone who dares to do something different Oh, but listen for a minute Trust the one Who's been where you are wishing all it was Was sticks and stones Those words cut deep but they don't mean you're all alone And you're not invisible Hear me out, There's so much more to life than what you're feeling now Someday you'll look back on all these days And all this pain is gonna be invisible Oh, invisible So your confidence is quiet To them quiet looks like weakness But you don't have to fight it 'Cause you're strong enough to win without a war Every heart has a rhythm Let yours beat out so loudly That everyone can hear it Yeah, I promise you don't need to hide it anymore Oh, and never be afraid of doing something different Dare to be something more Trust the one Who's been where you are wishing all it was Was sticks and stones Yeah, the words cut deep but they don't mean you're all alone And you're not invisible Hear me out, There's so much more of this life than what you're feeling now And someday you'll look back on all these days And all this pain is gonna be invisible These labels that they give you just 'cause they don't understand If you look past this moment You'll see you've got a friend Waving a flag for who you are And all you're gonna do Yeah, so here's to you And here's to anyone who's ever felt invisible Yeah, and you're not invisible Hear me out, There's so much more to life than what you're feeling now And someday you'll look back on all these days And all this pain is gonna be invisible It'll be invisible","Hunter Hayes, Bonnie Baker, Haille Walker, Katrina Elam","Hunter Hayes, Dann Huff",16
This is How We Roll,Florida Georgia Line,Luke Bryan,2014,"The mix tape's got a little Hank, little Drake A little something bumping, thump, thumping on the wheel ride The mix in our drink's a little stronger than you think So get a grip, take a sip of that feel right The truck's jacked up, flat bills flipped back Yeah you can find us where the party's at This is how we roll We hanging round singing out everything on the radio We light it up with our hands up This is how we roll And this is how we do We're burning down the night shooting bullets at the moon baby This is how we roll Yeah baby this is how we roll We rollin' into town With nothing else to do we take another lap around Yeah holla at your boy if you need a ride If you roll with me yeah you know we rollin' high Up on and thirty seven needles, windows tinted hard to see though How fresh my baby is in the shotgun seat oh Them kisses are for me though, automatic like a free throw This life I live it might not be for you but it's for me though Let's roll! This is how we roll We hanging round singing out everything on the radio We light it up with our hands up This is how we roll And this is how we do When the world turns ugly I just turn and look at you baby This is how we roll Yeah we're proud to be young We stick to our guns We love who we love and we wanna have fun Yeah we cuss on them Mondays And pray on them Sundays Pass is around and we dream about one day This is how we roll We hanging round singing out everything on the radio We light it up with our hands up This is how we roll And this is how we ride We slingin' up the mud, cuttin' through the countryside baby This is how we roll Yeah this is how we roll This is how we roll Yeah this is how we roll This is how we do We're burning down the night shooting bullets at the moon baby This is how we roll Yeah this is how we roll","Tyler Hubbard, Brian Kelley, Cole Swindell, Luke Bryan","Joey Moi, Ricky Reed",17
Stay,Florida Georgia Line,NA,2014,"I'd sell my soul just to see your face. And I'd break my bones just to heal your pain. In these times I need a saving grace, but time is running out and I'm starting to lose my faith. But if I told you I loved you, would it make you want to stay? I'm sorry for the way I hurt you and making you walk away. (I should have took the time to tell you) And if I wrote you a love song and sang it to you every day, would it ever be enough to make you wanna come back home and stay? (I can't go another day without you) Would it make you, make you, wanna stay? (Girl you gotta know I love you) My heart's on my sleeve, but it's turning black. (I guess I know what it feels like it to be alone) Without your touch I'm not gonna last. (I know you know that I need ya just to carry on) It feels like my walls are caving in. (You'd always hold me before I left you hanging on) And I'll do anything to have you here again. But if I told you I loved you, would it make you want to stay? I'm sorry for the way I hurt you and making you walk away. (I should have took the time to tell you) And if I wrote you a love song and sang it to you every day, would it ever be enough to make you wanna come back home and stay? (I can't go another day without you) Yeah, the days are cold, the nights are long. And I can't stand to be alone. Please know this is not your fault. And all I want... Is to tell you I love you and make you wanna stay. There's gotta be a way, 'cause going on without you is killing me everyday. And if I wrote you a love song and sang it to you every day, would it ever be enough to make you wanna come back home and stay? (I can't go another day without you) Would it make you, make you, wanna stay? (Girl you gotta know I love you) Would it make you, make you, wanna stay? (I can't go another day without you) Would it make you, make you, wanna stay?",Joey Moi,Joey Moi,18
Keep Them Kisses Comin',Craig Campbell,NA,2014,"You got your hair down You got that look in your eye That says come here and get me boy Lay me down and love me just right, yeah Ain’t goin no where I got a bottle of wine I got nothin’ but time on my hands And I’m gonna be your man tonight, ah yes I am [Chorus:] I can’t imagine doin’ nothin but what I’m doin Just layin’ round tangled up with you We got our buzz on sippin’ on a little something I need your lovin’ Just keep them kisses comin’ It’s been a long week I’ve been missin’ me some you All I wanna do is get your lips on mine Girl if you only knew, hey [Chorus:] I can’t imagine doin’ nothin but what I’m doin Just layin’ round tangled up with you We got our buzz on sippin’ on a little something I need your lovin’ Just keep them kisses comin’ Yeah keep ‘em comin’ all night Don’t stop killin’ me baby Don’t stop drivin’ me crazy I swear there’s honey on your lips Baby give me one more long slow kiss [Chorus:] I can’t imagine doin’ nothin but what I’m doin Just layin’ round tangled up with you We got our buzz on sippin’ on a little something I need your lovin’ Just keep them kisses comin’ Oh keep ‘em comin’ all night, hey","Dallas Davidson, Ben Hayslip","Matt Rovey, Keith Stegall",19
Lookin For That Girl,Tim McGraw,NA,2014,"That girl, she's a party all-nighter, A little ""Funky Cold Medina,"" little ""Strawberry Wine""-er, That girl, she's a love gunslinger, neon jägerbomb country-okie singer That girl, she's a walk on the wild slide, She's a day glow radio slow ride, low ride good time If you see her, tell her I'm… Lookin' for that girl, that girl, that girl Hard to find, got me spending every night Lookin' for that girl, that girl, that girl Sundown, heaven town, drivin' 'round, hitting the bars, Shooting the stars, rollin' up on every party wonderin' where you are Lookin' for that girl, that girl, that girl Drivin' me crazy, something says baby, yeah, maybe you're that girl That girl, that girl, that girl That girl she's a sugar sweet drive-by Hold my dreams in her blue jeans, oh my Yellowhammer, south Georgia, Mississippi chick Drink cherry wine, Louisiana lipstick That girl likes to drink it up real loud Blowin' smoke in a backroad gravel cloud Drop it down, summer heat, I've got a sittin' up high Silverado seat Waitin' for that girl, that girl, that girl Hard to find, got me spending every night Lookin' for that girl, that girl, that girl Sundown, heaven town, drivin' 'round, hitting the bars, Shooting the stars, rollin' up on every party wonderin' where you are Lookin' for that girl, that girl, that girl Drivin' me crazy, something says baby, yeah, maybe you're that girl Hair like a field of gold Body like a honeycomb Smile like a country song Baby where you been? That girl, that girl, that girl That girl, that girl, that girl Lookin' for that girl, that girl, that girl Hard to find, got me spending every night Lookin' for that girl, that girl, that girl Sundown, heaven town, drivin' 'round, hitting the bars, Shooting the stars, rollin' up on every party wonderin' where you are Lookin' for that girl, that girl, that girl Drivin' me crazy, something says baby, yeah, maybe you're that girl That girl, that girl, that girl Yeah, maybe you're that girl, That girl, that girl, that girl I've been waitin' for that girl Hair like a field of gold Body like a honeycomb Smile like a country song Baby, climb on in…","Mark Irwin, James T. Slater, Chris Tompkins","Byron Gallimore, Tim McGraw",20
Slow Me Down,Sara Evans,NA,2014,"The wheels are turning in my mind Don't wanna leave but I might this time Seconds from whispering goodbye Yeah the wheels are turning in my mind If all that's left to do is walk away Then baby I'm as gone as yesterday But if there's something you still need to say You need to say it now, hurry up and slow me down Slow me down If you let this train roll down these tracks Gonna wish you tried to talk me back Boy, you're gonna miss everything we had If you let this train roll down these tracks If all that's left to do is walk away Then baby I'm as gone as yesterday But if there's something you still need to say You need to say it now, hurry up and slow me down Slow me down The wheels are turning in my mind Don't wanna leave but I might this time If all that's left to do is walk away Then baby I'm as gone as yesterday But if there's something you still need to say You need to say it now (you need to say it now) Oh, you need to say it now (you need to say it now) Hurry up and slow me down Slow me down Slow me down","Marv Green, Heather Lynn Morgan, Jimmy Robbins","Mark Bright, Sara Evans",21
Automatic,Miranda Lambert,NA,2014,"Quarter in a payphone Drying laundry on the line Watching Sun Tea in the window Pocket watch for tellin' time Seems like only yesterday I'd get a blank cassette Record the country countdown 'cause I couldn't buy it yet If we drove all the way to Dallas just to buy an Easter dress We’d take along a Rand McNally, stand in line to pay for gas God knows that shifting gears ain’t what it used to be I learned to drive that 55 just like a queen, three on a tree Hey, whatever happened to waitin' your turn Doing it all by hand, 'Cause when everything is handed to you It's only worth as much as the time put in It all just seemed so good the way we had it Back before everything became automatic If you had something to say You'd write it on a piece of paper Then you'd put a stamp on it And they'd get it three days later Boys would call the girls And girls would turn them down Staying married was the only way to work your problems out Hey, whatever happened to waitin' your turn Doing it all by hand, 'Cause when everything is handed to you It's only worth as much as the time put in It all just seemed so good the way we had it Back before everything became automatic Automatic Let's roll the windows down Windows with the cranks Come on let's take a picture The kind you gotta shake Hey, whatever happened to waitin' your turn Doing it all by hand, 'Cause when everything is handed to you It's only worth as much as the time put in It all just seemed so good the way we had it Back before everything became automatic","Natalie Hemby, Nicolle Galyon, Miranda Lambert","Frank Liddell, Glenn Worf",22
Cop Car,Keith Urban,NA,2014,"We drove right past That no trespassing sign We sat on the tailgate And watched the planes take off We thought we had all night There was no need to rush That's when those cops Came pulling up And I thought Man, ain't this some shhhh [Bridge:] Your daddy's gonna kill me But if I survive tonight I wouldn't change one thing Baby, yeah I know it sounds crazy [Chorus:] But there was somethin' 'bout the way The blue lights were shinin' Bringing out the freedom in your eyes I was too busy watching you Going wild child To be worried about going to jail You were thinking that Running for it Would make a good story I was thinking you were crazy as hell And you were so Innocent But you were stealing my heart I fell in love in the back of a cop car Man, they weren't playin' They sure threw those cuffs on quick You tried to sweet talk 'em They didn't fall for it But I did You were on the left I was on the right I knew you didn't smoke When you asked him for a light And I laughed He got mad and slammed the door [Bridge] [Chorus] Side by side And locked in tight They were taking their time But we didn't mind We talked And we laughed We sat real close By the time they let us go I was already gone","Matthew Jenkins, Miller Crowell, Matt Jenkins, Sam Hunt","Zach Crowell, Keith Urban",23
Get Me Some of That,Thomas Rhett,NA,2014,"Yeah girl, been diggin' on you Sippin' on drink number two Tryin' to come up with somethin' smooth And waitin' on the right time to make my move But I just can't wait no more Can't let you slip out that door Prettiest thing I ever seen before Got me spinnin' around, I ain't even on the dance floor You're shakin' that money maker, like a heart breaker, like your college major was Twistin' and tearin' up Friday nights Love the way you're wearin' those jeans so tight I bet your kiss is a soul saver, my favorite flavor, want it now and later I never seen nothin' that I wanted so bad Girl, I gotta get me, gotta get me some of that Yeah gotta get me some of that Little more what you doin' right there Swingin' your hips and slingin' your hair Side to side with your drink in the air Lord, have mercy, now, girl, I swear Gotta get your number in my phone Gotta get me some of you alone We can worry 'bout it later on Right now just keep makin' this my favorite song You're shakin' that money maker, like a heart breaker, like your college major was Twistin' and tearin' up Friday nights Love the way you're wearin' those jeans so tight I bet your kiss is a soul saver, my favorite flavor, want it now and later I never seen nothin' that I wanted so bad Girl, I gotta get me, gotta get me some of that Some of that Yeah, gotta get me some of that In my ride, by my side, down the highway In the dark, in my arms, in your driveway All because of that smile you threw my way Yeah girl you got a way of Shakin' that money maker, like a heart breaker, like your college major was Twistin' and tearin' up Friday nights Love the way you're wearin' those jeans so tight I bet your kiss is a soul saver, my favorite flavor, want it now and later I never seen nothin' that I wanted so bad Girl, I gotta get me, gotta get me some of that Gotta get me some of that Yeah, I gotta get me some of that Oh girl, I gotta get me some of that Oh yeah I bet your kiss is a soul saver, my favorite flavor I want it now and later","Rhett Akins, Michael Carter, Cole Swindell",Luke Laird,24
