year_birth,person,description,year_death
1968,Gareth Farr,New Zealand composer and percussionist,NA
1968,Pete Fenson,American curler,NA
1968,Bryce Paup,American football player and coach,NA
1968,Howard Tayler,American author and illustrator,NA
1968,Eugene Volokh,Ukrainian-American lawyer and educator,NA
1968,Frank Woodley,"Australian actor, producer and screenwriter",NA
1972,Sylvie Lubamba,Italian showgirl,NA
1972,Mike Pollitt,English footballer and coach,NA
1972,Antonio Sabàto Jr.,Italian-American model and actor,NA
1972,Pedro Sánchez,Prime Minister of Spain,NA
1972,Dave Williams,American singer ,2002
1972,Saul Williams,American singer-songwriter,NA
1972,Pedro Zamora,Cuban-American activist and educator ,1994
1976,Vonteego Cummings,American basketball player,NA
1976,Katalin Kovács,Hungarian sprint kayaker,NA
1976,Terrence Long,American baseball player,NA
1976,Ja Rule,American rapper and actor,NA
1980,Çağdaş Atan,Turkish footballer and coach,NA
1980,Simon Gagné,Canadian ice hockey player,NA
1980,Rubén Plaza,Spanish cyclist,NA
1980,Clinton Toopi,New Zealand rugby league player,NA
1980,Taylor Twellman,American soccer player and sportscaster,NA
1980,Peter Scanavino,American actor ,NA
1984,Darren Ambrose,English footballer,NA
1984,Rica Imai,Japanese model and actress,NA
1984,Cullen Jones,American swimmer,NA
1984,Nuria Martínez,Spanish basketball player,NA
1984,Lena Raine,American video game composer and producer,NA
1984,Rakhee Thakrar,English actress,NA
1984,Cam Ward,Canadian ice hockey player,NA
1984,Mark Foster,"American singer, songwriter and musician",NA
1988,Lena Gercke,German model and television host,NA
1988,Benedikt Höwedes,German footballer,NA
1988,Brent Macaffer,Australian Rules footballer,NA
1988,Hannah Mills,Welsh sports sailor,NA
1992,Sean Abbott,Australian cricketer,NA
1992,Eric Kendricks,American football player,NA
1992,Jessica Long,American paralympic swimmer,NA
1992,Jessie T. Usher,American actor,NA
1996,Nelson Asofa-Solomona,New Zealand rugby league player,NA
1996,Reece Prescod,British sprinter,NA
1996,Claudia Williams,New Zealand tennis player,NA
2000,Tyrese Haliburton,American basketball player,NA
2000,Ferran Torres,Spanish footballer,NA
2004,Lydia Jacoby,American swimmer,NA
