category,logo,production,type,title,distributor,producer,year,page,page_id
Outstanding Production Design For A Narrative Period Or Fantasy Program (One Hour Or More) - 2021,https://www.emmys.com/sites/default/files/styles/show_search/public/logos/logo-bridgerton-2021-600x600.jpg?itok=mun-07yw,"Dominic Devine, Art Director",Nominee,Bridgerton,Netflix,A Netflix Original Series in association with shondalandmedia,2021,0,8
Outstanding Production Design For A Narrative Period Or Fantasy Program (One Hour Or More) - 2021,https://www.emmys.com/sites/default/files/styles/show_search/public/logos/logo-bridgerton-2021-600x600.jpg?itok=mun-07yw,"Gina Cromwell, Set Decorator",Nominee,Bridgerton,Netflix,A Netflix Original Series in association with shondalandmedia,2021,0,8
Outstanding Production Design For A Narrative Period Or Fantasy Program (One Hour Or More) - 2021,https://www.emmys.com/sites/default/files/styles/show_search/public/logos/logo-the-crown-2021-600x600.jpg?itok=4PuSCCdx,"Martin Childs, Production Designer",Nominee,The Crown,Netflix,Left Bank Pictures in association with Sony Pictures Television for Netflix,2021,0,9
Outstanding Production Design For A Narrative Period Or Fantasy Program (One Hour Or More) - 2021,https://www.emmys.com/sites/default/files/styles/show_search/public/logos/logo-the-crown-2021-600x600.jpg?itok=4PuSCCdx,"Mark Raggett, Art Director",Nominee,The Crown,Netflix,Left Bank Pictures in association with Sony Pictures Television for Netflix,2021,0,9
Outstanding Production Design For A Narrative Period Or Fantasy Program (One Hour Or More) - 2021,https://www.emmys.com/sites/default/files/styles/show_search/public/logos/logo-the-crown-2021-600x600.jpg?itok=4PuSCCdx,"Alison Harvey, Set Decorator",Nominee,The Crown,Netflix,Left Bank Pictures in association with Sony Pictures Television for Netflix,2021,0,9
Outstanding Production Design For A Narrative Period Or Fantasy Program (One Hour Or More) - 2021,https://www.emmys.com/sites/default/files/styles/show_search/public/logos/halston-2021-600x600.jpg?itok=ETl0ZVZy,"Mark Ricker, Production Designer",Nominee,Halston,Netflix,A Netflix Original Series,2021,0,10
Outstanding Production Design For A Narrative Period Or Fantasy Program (One Hour Or More) - 2021,https://www.emmys.com/sites/default/files/styles/show_search/public/logos/halston-2021-600x600.jpg?itok=ETl0ZVZy,"Nithya Shrinivasan, Art Director",Nominee,Halston,Netflix,A Netflix Original Series,2021,0,10
Outstanding Production Design For A Narrative Period Or Fantasy Program (One Hour Or More) - 2021,https://www.emmys.com/sites/default/files/styles/show_search/public/logos/halston-2021-600x600.jpg?itok=ETl0ZVZy,"Cherish M. Hale, Set Decorator",Nominee,Halston,Netflix,A Netflix Original Series,2021,0,10
Outstanding Production Design For A Narrative Period Or Fantasy Program (One Hour Or More) - 2021,https://www.emmys.com/sites/default/files/styles/show_search/public/logos/logo-the-mandalorian-2021-600x600.jpg?itok=KiDbtcLj,"Andrew L. Jones, Production Designer",Nominee,The Mandalorian,Disney+,Lucasfilm Ltd.,2021,1,1
Outstanding Production Design For A Narrative Period Or Fantasy Program (One Hour Or More) - 2021,https://www.emmys.com/sites/default/files/styles/show_search/public/logos/logo-the-mandalorian-2021-600x600.jpg?itok=KiDbtcLj,"Doug Chiang, Production Designer",Nominee,The Mandalorian,Disney+,Lucasfilm Ltd.,2021,1,1
Outstanding Production Design For A Narrative Period Or Fantasy Program (One Hour Or More) - 2021,https://www.emmys.com/sites/default/files/styles/show_search/public/logos/logo-the-mandalorian-2021-600x600.jpg?itok=KiDbtcLj,"David Lazan, Art Director",Nominee,The Mandalorian,Disney+,Lucasfilm Ltd.,2021,1,1
Outstanding Production Design For A Narrative Period Or Fantasy Program (One Hour Or More) - 2021,https://www.emmys.com/sites/default/files/styles/show_search/public/logos/logo-the-mandalorian-2021-600x600.jpg?itok=KiDbtcLj,"Amanda Serino, Set Decorator",Nominee,The Mandalorian,Disney+,Lucasfilm Ltd.,2021,1,1
Outstanding Production Design For A Narrative Period Or Fantasy Program (One Hour Or More) - 2021,https://www.emmys.com/sites/default/files/styles/show_search/public/logos/perry-mason-2021-600x600.jpg?itok=uhtVz0vE,"John Goldsmith, Production Designer",Nominee,Perry Mason,HBO,"HBO in association with Team Downey, Dwight Street Book Club, and Inflatable Moose",2021,1,2
Outstanding Production Design For A Narrative Period Or Fantasy Program (One Hour Or More) - 2021,https://www.emmys.com/sites/default/files/styles/show_search/public/logos/perry-mason-2021-600x600.jpg?itok=uhtVz0vE,"Chris Farmer, Art Director",Nominee,Perry Mason,HBO,"HBO in association with Team Downey, Dwight Street Book Club, and Inflatable Moose",2021,1,2
Outstanding Production Design For A Narrative Period Or Fantasy Program (One Hour Or More) - 2021,https://www.emmys.com/sites/default/files/styles/show_search/public/logos/perry-mason-2021-600x600.jpg?itok=uhtVz0vE,"Halina Siwolop, Set Decorator",Nominee,Perry Mason,HBO,"HBO in association with Team Downey, Dwight Street Book Club, and Inflatable Moose",2021,1,2
Outstanding Production Design For A Narrative Program (Half-Hour) - 2021,https://www.emmys.com/sites/default/files/styles/show_search/public/logos/logo-emily-in-paris-2021-600x600.jpg?itok=dlDS3m6F,"Anne Seibel, Production Designer",Nominee,Emily In Paris,Netflix,"MTV Entertainment Studios, Darren Star Productions, and Jax Media for Netflix",2021,1,3
Outstanding Production Design For A Narrative Program (Half-Hour) - 2021,https://www.emmys.com/sites/default/files/styles/show_search/public/logos/logo-emily-in-paris-2021-600x600.jpg?itok=dlDS3m6F,"Jean-Yves Rabier, Art Director",Nominee,Emily In Paris,Netflix,"MTV Entertainment Studios, Darren Star Productions, and Jax Media for Netflix",2021,1,3
Outstanding Production Design For A Narrative Program (Half-Hour) - 2021,https://www.emmys.com/sites/default/files/styles/show_search/public/logos/logo-emily-in-paris-2021-600x600.jpg?itok=dlDS3m6F,"Christelle Maisonneuve, Set Decorator",Nominee,Emily In Paris,Netflix,"MTV Entertainment Studios, Darren Star Productions, and Jax Media for Netflix",2021,1,3
Outstanding Production Design For A Narrative Program (Half-Hour) - 2021,https://www.emmys.com/sites/default/files/styles/show_search/public/logos/logo-hacks-2021-600x600.jpg?itok=2BTLHzk0,"Jon Carlos, Production Designer",Nominee,Hacks,HBO Max,"Universal Television in association with Paulilu, First Thought Productions, Fremulon Productions, 3 Arts Entertainment",2021,1,4
Outstanding Production Design For A Narrative Program (Half-Hour) - 2021,https://www.emmys.com/sites/default/files/styles/show_search/public/logos/logo-hacks-2021-600x600.jpg?itok=2BTLHzk0,"James Bolenbaugh, Art Director",Nominee,Hacks,HBO Max,"Universal Television in association with Paulilu, First Thought Productions, Fremulon Productions, 3 Arts Entertainment",2021,1,4
Outstanding Production Design For A Narrative Program (Half-Hour) - 2021,https://www.emmys.com/sites/default/files/styles/show_search/public/logos/logo-hacks-2021-600x600.jpg?itok=2BTLHzk0,"Ellen Reede Dorros, Set Decorator",Nominee,Hacks,HBO Max,"Universal Television in association with Paulilu, First Thought Productions, Fremulon Productions, 3 Arts Entertainment",2021,1,4
Outstanding Production Design For A Narrative Program (Half-Hour) - 2021,https://www.emmys.com/sites/default/files/styles/show_search/public/shows/logo-ted-lasso-v2-2021-600x600.jpg?itok=Hg1MWeL6,"Paul Cripps, Production Designer",Nominee,Ted Lasso,Apple TV+,Apple / Doozer Productions in association with Warner Bros. Television and Universal Television,2021,1,5
Outstanding Production Design For A Narrative Program (Half-Hour) - 2021,https://www.emmys.com/sites/default/files/styles/show_search/public/shows/logo-ted-lasso-v2-2021-600x600.jpg?itok=Hg1MWeL6,"Iain White, Art Director",Nominee,Ted Lasso,Apple TV+,Apple / Doozer Productions in association with Warner Bros. Television and Universal Television,2021,1,5
Outstanding Production Design For A Narrative Program (Half-Hour) - 2021,https://www.emmys.com/sites/default/files/styles/show_search/public/logos/united-states-of-al-2021-600x600.jpg?itok=JI5u80CO,"John Shaffner, Production Designer",Nominee,United States Of Al,CBS,"Chuck Lorre Productions, Inc. in association with Warner Bros. Television",2021,1,6
Outstanding Production Design For A Narrative Program (Half-Hour) - 2021,https://www.emmys.com/sites/default/files/styles/show_search/public/logos/united-states-of-al-2021-600x600.jpg?itok=JI5u80CO,"Daren Janes, Art Director",Nominee,United States Of Al,CBS,"Chuck Lorre Productions, Inc. in association with Warner Bros. Television",2021,1,6
Outstanding Production Design For A Narrative Program (Half-Hour) - 2021,https://www.emmys.com/sites/default/files/styles/show_search/public/logos/united-states-of-al-2021-600x600.jpg?itok=JI5u80CO,"Susan Eschelbach, Set Decorator",Nominee,United States Of Al,CBS,"Chuck Lorre Productions, Inc. in association with Warner Bros. Television",2021,1,6
"Outstanding Production Design For A Variety, Reality Or Competition Series - 2021",https://www.emmys.com/sites/default/files/styles/show_search/public/logos/logo-last-week-tonight-2021-600x600.jpg?itok=eJ8-JKBm,"Eric Morrell, Production Designer",Nominee,Last Week Tonight With John Oliver,HBO,HBO in association with Sixteen String Jack Productions and Avalon Television,2021,1,7
"Outstanding Production Design For A Variety, Reality Or Competition Series - 2021",https://www.emmys.com/sites/default/files/styles/show_search/public/logos/logo-last-week-tonight-2021-600x600.jpg?itok=eJ8-JKBm,"Veronica Spink, Art Director",Nominee,Last Week Tonight With John Oliver,HBO,HBO in association with Sixteen String Jack Productions and Avalon Television,2021,1,7
"Outstanding Production Design For A Variety, Reality Or Competition Series - 2021",https://www.emmys.com/sites/default/files/styles/show_search/public/logos/logo-the-late-show-2021-600x600.jpg?itok=oEkLGR15,"Jim Fenhagen, Production Designer",Nominee,The Late Show With Stephen Colbert,CBS,CBS Studios,2021,1,8
"Outstanding Production Design For A Variety, Reality Or Competition Series - 2021",https://www.emmys.com/sites/default/files/styles/show_search/public/logos/logo-the-late-show-2021-600x600.jpg?itok=oEkLGR15,"Larry Hartman, Production Designer",Nominee,The Late Show With Stephen Colbert,CBS,CBS Studios,2021,1,8
"Outstanding Production Design For A Variety, Reality Or Competition Series - 2021",https://www.emmys.com/sites/default/files/styles/show_search/public/logos/logo-the-late-show-2021-600x600.jpg?itok=oEkLGR15,"Brendan Hurley, Art Director",Nominee,The Late Show With Stephen Colbert,CBS,CBS Studios,2021,1,8
"Outstanding Production Design For A Variety, Reality Or Competition Series - 2021",https://www.emmys.com/sites/default/files/styles/show_search/public/logos/logo-the-late-show-2021-600x600.jpg?itok=oEkLGR15,"Riley Mellon, Art Director",Nominee,The Late Show With Stephen Colbert,CBS,CBS Studios,2021,1,8
"Outstanding Production Design For A Variety, Reality Or Competition Series - 2021",https://www.emmys.com/sites/default/files/styles/show_search/public/logos/masked-singer-600x600.jpg?itok=Su86Vlxz,"James Pearse Connelly, Production Designer",Nominee,The Masked Singer,FOX,FOX Alternative Entertainment,2021,1,9
"Outstanding Production Design For A Variety, Reality Or Competition Series - 2021",https://www.emmys.com/sites/default/files/styles/show_search/public/logos/masked-singer-600x600.jpg?itok=Su86Vlxz,"Ryan Suchor, Art Director",Nominee,The Masked Singer,FOX,FOX Alternative Entertainment,2021,1,9
"Outstanding Production Design For A Variety, Reality Or Competition Series - 2021",https://www.emmys.com/sites/default/files/styles/show_search/public/logos/masked-singer-600x600.jpg?itok=Su86Vlxz,"Lisa Nelson, Set Decorator",Nominee,The Masked Singer,FOX,FOX Alternative Entertainment,2021,1,9
"Outstanding Production Design For A Variety, Reality Or Competition Series - 2021",https://www.emmys.com/sites/default/files/styles/show_search/public/logos/logo-rupauls-drag-race-2021-600x600.jpg?itok=FqXhJe8U,"James McGowan, Production Designer",Nominee,RuPaul's Drag Race,VH1,World of Wonder,2021,1,10
"Outstanding Production Design For A Variety, Reality Or Competition Series - 2021",https://www.emmys.com/sites/default/files/styles/show_search/public/logos/logo-rupauls-drag-race-2021-600x600.jpg?itok=FqXhJe8U,"Gianna Costa, Art Director",Nominee,RuPaul's Drag Race,VH1,World of Wonder,2021,1,10
Outstanding Production Design For A Variety Special - 2021,https://www.emmys.com/sites/default/files/styles/show_search/public/logos/friends-reunion-2021-600x600.jpg?itok=DgJAlQjc,"John Shaffner, Production Designer",Nominee,Friends: The Reunion,HBO Max,"Warner Bros. Unscripted Television in association with Bright, Kauffman, Crane, Fulwell 73 Productions and Warner Horizon for HBO Max",2021,2,1
Outstanding Production Design For A Variety Special - 2021,https://www.emmys.com/sites/default/files/styles/show_search/public/logos/friends-reunion-2021-600x600.jpg?itok=DgJAlQjc,"Greg Grande, Art Director",Nominee,Friends: The Reunion,HBO Max,"Warner Bros. Unscripted Television in association with Bright, Kauffman, Crane, Fulwell 73 Productions and Warner Horizon for HBO Max",2021,2,1
Outstanding Production Design For A Variety Special - 2021,https://www.emmys.com/sites/default/files/styles/show_search/public/logos/friends-reunion-2021-600x600.jpg?itok=DgJAlQjc,"Daren Janes, Art Director",Nominee,Friends: The Reunion,HBO Max,"Warner Bros. Unscripted Television in association with Bright, Kauffman, Crane, Fulwell 73 Productions and Warner Horizon for HBO Max",2021,2,1
Outstanding Production Design For A Variety Special - 2021,https://www.emmys.com/sites/default/files/styles/show_search/public/logos/golden-globes-2021-600x600.jpg?itok=UkTh8ONG,"Brian Stonestreet, Production Designer",Nominee,78th Annual Golden Globe Awards,NBC,dick clark productions in association with the Hollywood Foreign Press Association,2021,2,2
Outstanding Production Design For A Variety Special - 2021,https://www.emmys.com/sites/default/files/styles/show_search/public/logos/golden-globes-2021-600x600.jpg?itok=UkTh8ONG,"John Zuiker, Senior Art Director",Nominee,78th Annual Golden Globe Awards,NBC,dick clark productions in association with the Hollywood Foreign Press Association,2021,2,2
Outstanding Production Design For A Variety Special - 2021,https://www.emmys.com/sites/default/files/styles/show_search/public/logos/63-grammys-2021-600x600.jpg?itok=sxJF0ICU,"Misty Buckley, Production Designer",Nominee,The 63rd Annual Grammy Awards,CBS,Fulwell 73 Productions,2021,2,3
Outstanding Production Design For A Variety Special - 2021,https://www.emmys.com/sites/default/files/styles/show_search/public/logos/63-grammys-2021-600x600.jpg?itok=sxJF0ICU,"Kristen Merlino, Art Director",Nominee,The 63rd Annual Grammy Awards,CBS,Fulwell 73 Productions,2021,2,3
Outstanding Production Design For A Variety Special - 2021,https://www.emmys.com/sites/default/files/styles/show_search/public/logos/63-grammys-2021-600x600.jpg?itok=sxJF0ICU,"Gloria Lamb, Art Director",Nominee,The 63rd Annual Grammy Awards,CBS,Fulwell 73 Productions,2021,2,3
Outstanding Production Design For A Variety Special - 2021,https://www.emmys.com/sites/default/files/styles/show_search/public/logos/63-grammys-2021-600x600.jpg?itok=sxJF0ICU,"Matt Steinbrenner, Art Director",Nominee,The 63rd Annual Grammy Awards,CBS,Fulwell 73 Productions,2021,2,3
Outstanding Production Design For A Variety Special - 2021,https://www.emmys.com/sites/default/files/styles/show_search/public/logos/colbert-election-2021-600x600.jpg?itok=P2qDgt8d,"Jim Fenhagen, Production Designer",Nominee,Stephen Colbert's Election Night 2020: Democracy's Last Stand Building Back America Great Again Better 2020,Showtime,SHOWTIME Presents a CBS Studios Production,2021,2,4
Outstanding Production Design For A Variety Special - 2021,https://www.emmys.com/sites/default/files/styles/show_search/public/logos/colbert-election-2021-600x600.jpg?itok=P2qDgt8d,"Larry Hartman, Production Designer",Nominee,Stephen Colbert's Election Night 2020: Democracy's Last Stand Building Back America Great Again Better 2020,Showtime,SHOWTIME Presents a CBS Studios Production,2021,2,4
Outstanding Production Design For A Variety Special - 2021,https://www.emmys.com/sites/default/files/styles/show_search/public/logos/colbert-election-2021-600x600.jpg?itok=P2qDgt8d,"Riley Mellon, Art Director",Nominee,Stephen Colbert's Election Night 2020: Democracy's Last Stand Building Back America Great Again Better 2020,Showtime,SHOWTIME Presents a CBS Studios Production,2021,2,4
Outstanding Production Design For A Variety Special - 2021,https://www.emmys.com/sites/default/files/styles/show_search/public/logos/colbert-election-2021-600x600.jpg?itok=P2qDgt8d,"Brendan Hurley, Art Director",Nominee,Stephen Colbert's Election Night 2020: Democracy's Last Stand Building Back America Great Again Better 2020,Showtime,SHOWTIME Presents a CBS Studios Production,2021,2,4
Outstanding Casting For A Comedy Series - 2021,https://www.emmys.com/sites/default/files/styles/show_search/public/logos/logo-the-flight-attendant-2021-600x600.jpg?itok=JlIUhL7z,"Kim Miscia, CSA, Casting by",Nominee,The Flight Attendant,HBO Max,"HBO Max in association with Berlanti Productions, Yes, Norman Productions, and Warner Bros. Television",2021,2,5
Outstanding Casting For A Comedy Series - 2021,https://www.emmys.com/sites/default/files/styles/show_search/public/logos/logo-the-flight-attendant-2021-600x600.jpg?itok=JlIUhL7z,"Beth Bowling, CSA, Casting by",Nominee,The Flight Attendant,HBO Max,"HBO Max in association with Berlanti Productions, Yes, Norman Productions, and Warner Bros. Television",2021,2,5
Outstanding Casting For A Comedy Series - 2021,https://www.emmys.com/sites/default/files/styles/show_search/public/logos/logo-the-flight-attendant-2021-600x600.jpg?itok=JlIUhL7z,"John Papsidera, CSA, Original Casting by",Nominee,The Flight Attendant,HBO Max,"HBO Max in association with Berlanti Productions, Yes, Norman Productions, and Warner Bros. Television",2021,2,5
Outstanding Casting For A Comedy Series - 2021,https://www.emmys.com/sites/default/files/styles/show_search/public/logos/logo-hacks-2021-600x600.jpg?itok=2BTLHzk0,"Jeanne McCarthy, CSA, Casting by",Nominee,Hacks,HBO Max,"Universal Television in association with Paulilu, First Thought Productions, Fremulon Productions, 3 Arts Entertainment",2021,2,6
Outstanding Casting For A Comedy Series - 2021,https://www.emmys.com/sites/default/files/styles/show_search/public/logos/logo-hacks-2021-600x600.jpg?itok=2BTLHzk0,"Nicole Abellera Hallman, CSA, Casting by",Nominee,Hacks,HBO Max,"Universal Television in association with Paulilu, First Thought Productions, Fremulon Productions, 3 Arts Entertainment",2021,2,6
Outstanding Casting For A Comedy Series - 2021,https://www.emmys.com/sites/default/files/styles/show_search/public/logos/logo-the-kominsky-method-2021-600x600.jpg?itok=mNsYp-Rp,"Nikki Valko, CSA, Casting by",Nominee,The Kominsky Method,Netflix,"Chuck Lorre Productions, Inc. in association with Warner Bros. Television",2021,2,7
Outstanding Casting For A Comedy Series - 2021,https://www.emmys.com/sites/default/files/styles/show_search/public/logos/logo-the-kominsky-method-2021-600x600.jpg?itok=mNsYp-Rp,"Ken Miller, CSA, Casting by",Nominee,The Kominsky Method,Netflix,"Chuck Lorre Productions, Inc. in association with Warner Bros. Television",2021,2,7
Outstanding Casting For A Comedy Series - 2021,https://www.emmys.com/sites/default/files/styles/show_search/public/logos/logo-the-kominsky-method-2021-600x600.jpg?itok=mNsYp-Rp,"Tara Treacy, CSA, Casting by",Nominee,The Kominsky Method,Netflix,"Chuck Lorre Productions, Inc. in association with Warner Bros. Television",2021,2,7
Outstanding Casting For A Comedy Series - 2021,https://www.emmys.com/sites/default/files/styles/show_search/public/logos/logo-pen15-2021-600x600.jpg?itok=mL1CbBc3,"Melissa DeLizia, CSA, Casting by",Nominee,PEN15,Hulu,"Hulu, Awesomeness TV, Odenkirk Provissiero, Lonely Island Classics",2021,2,8
Outstanding Casting For A Drama Series - 2021,https://www.emmys.com/sites/default/files/styles/show_search/public/logos/logo-bridgerton-2021-600x600.jpg?itok=mun-07yw,"Kelly Valentine Hendry, CDG, CSA, Casting by",Nominee,Bridgerton,Netflix,A Netflix Original Series in association with shondalandmedia,2021,2,9
Outstanding Casting For A Drama Series - 2021,https://www.emmys.com/sites/default/files/styles/show_search/public/logos/logo-the-handmaids-tale-2021-600x600.jpg?itok=AD3bTghp,"Sharon Bialy, CSA, Casting by",Nominee,The Handmaid's Tale,Hulu,"Hulu, MGM, Daniel Wilson Productions, The Littlefield Company, White Oak Pictures",2021,2,10
Outstanding Casting For A Drama Series - 2021,https://www.emmys.com/sites/default/files/styles/show_search/public/logos/logo-the-handmaids-tale-2021-600x600.jpg?itok=AD3bTghp,"Sherry Thomas, CSA, Casting by",Nominee,The Handmaid's Tale,Hulu,"Hulu, MGM, Daniel Wilson Productions, The Littlefield Company, White Oak Pictures",2021,2,10
Outstanding Casting For A Drama Series - 2021,https://www.emmys.com/sites/default/files/styles/show_search/public/logos/logo-the-handmaids-tale-2021-600x600.jpg?itok=AD3bTghp,"Russell Scott, CSA, Casting by",Nominee,The Handmaid's Tale,Hulu,"Hulu, MGM, Daniel Wilson Productions, The Littlefield Company, White Oak Pictures",2021,2,10
Outstanding Casting For A Drama Series - 2021,https://www.emmys.com/sites/default/files/styles/show_search/public/logos/logo-the-handmaids-tale-2021-600x600.jpg?itok=AD3bTghp,"Robin D. Cook, CSA, Location Casting",Nominee,The Handmaid's Tale,Hulu,"Hulu, MGM, Daniel Wilson Productions, The Littlefield Company, White Oak Pictures",2021,2,10
Outstanding Casting For A Drama Series - 2021,https://www.emmys.com/sites/default/files/styles/show_search/public/logos/logo-the-mandalorian-2021-600x600.jpg?itok=KiDbtcLj,"Sarah Halley Finn, CSA, Casting by",Nominee,The Mandalorian,Disney+,Lucasfilm Ltd.,2021,3,1
Outstanding Casting For A Limited Or Anthology Series Or Movie - 2021,https://www.emmys.com/sites/default/files/styles/show_search/public/logos/logo-i-may-destroy-you-2021-600x600.jpg?itok=c2mek51m,"Julie Harkin, CDG, Casting by",Nominee,I May Destroy You,HBO,"HBO in association with BBC, Various Artists Limited, FALKNA",2021,3,2
Outstanding Casting For A Limited Or Anthology Series Or Movie - 2021,https://www.emmys.com/sites/default/files/styles/show_search/public/logos/logo-the-underground-railroad-2021-600x600.jpg?itok=mcxki3DR,"Francine Maisler, CSA, Casting by",Nominee,The Underground Railroad,Prime Video,"Plan B, PASTEL, Big Indie with Amazon Studios",2021,3,3
Outstanding Casting For A Limited Or Anthology Series Or Movie - 2021,https://www.emmys.com/sites/default/files/styles/show_search/public/logos/logo-the-underground-railroad-2021-600x600.jpg?itok=mcxki3DR,"Meagan Lewis, CSA, Location Casting",Nominee,The Underground Railroad,Prime Video,"Plan B, PASTEL, Big Indie with Amazon Studios",2021,3,3
Outstanding Casting For A Limited Or Anthology Series Or Movie - 2021,https://www.emmys.com/sites/default/files/styles/show_search/public/logos/logo-wandavision-2021-600x600.jpg?itok=T0PkUGIx,"Sarah Halley Finn, CSA, Casting by",Nominee,WandaVision,Disney+,Marvel Studios,2021,3,4
Outstanding Casting For A Limited Or Anthology Series Or Movie - 2021,https://www.emmys.com/sites/default/files/styles/show_search/public/logos/logo-wandavision-2021-600x600.jpg?itok=T0PkUGIx,"Jason B. Stamey, CSA, Casting by",Nominee,WandaVision,Disney+,Marvel Studios,2021,3,4
Outstanding Cinematography For A Multi-Camera Series - 2021,https://www.emmys.com/sites/default/files/styles/show_search/public/logos/call-me-kat-2021-600x600.jpg?itok=heem2mxr,"Patti Lee, ASC, Director of Photography",Nominee,Call Me Kat,FOX,"That's Wonderful Productions, Sad Clown Productions and BBC Studios in association with Warner Bros. Television and FOX Entertainment",2021,3,5
Outstanding Cinematography For A Multi-Camera Series - 2021,https://www.emmys.com/sites/default/files/styles/show_search/public/logos/the-connors-2021-600x600.jpg?itok=MKiQVFHc,"Donald A. Morgan, ASC, Director of Photography",Nominee,The Conners,ABC,Werner Entertainment,2021,3,6
