license_issue_date,license_number,animals_name,species,primary_breed,secondary_breed,zip_code
October 31 2018,8002342,Cash,Dog,"Bulldog, French",NA,98122
November 21 2018,8003071,Ruby,Dog,"Terrier, Boston","Bulldog, French",98136
October 30 2018,S118040,Buffy,Cat,LaPerm,NA,98116
November 20 2018,8003046,Peanut,Dog,Hound,Mix,98136
November 03 2018,8002418,Rudie,Dog,"Terrier, Pit Bull","Retriever, Labrador",98115
October 27 2018,8002248,Cooper,Dog,"Mixed Breed, Medium (up to 44 lbs fully grown)",Mix,98115
October 25 2018,S152172,Eva,Dog,Havanese,NA,98115
December 15 2018,8003868,Buddy,Dog,Rhodesian Ridgeback,NA,98105
November 27 2018,S137272,Oscar,Dog,"Poodle, Miniature",Australian Shepherd,98136
October 20 2018,835204,Madison,Dog,Havanese,NA,98112
November 12 2018,902070,Baron,Dog,Bernese Mountain Dog,NA,98109
November 26 2018,8003252,Huncha,Cat,Siamese,Mix,98126
November 16 2018,904200,Coco,Dog,"Terrier, American Pit Bull",NA,98118
October 20 2018,8002066,Ember,Dog,"Retriever, Labrador",Mix,98136
December 14 2018,960540,Winston,Dog,"Dachshund, Standard Long Haired",NA,98117
November 20 2018,8003048,Willie Nelson,Dog,"Retriever, Golden",NA,98136
December 26 2018,S149243,Maximus,Cat,Domestic Medium Hair,Mix,98112
November 18 2018,831783,Leo,Dog,"Chihuahua, Short Coat","Dachshund, Standard Smooth Haired",98136
December 06 2018,964432,Spicy,Cat,Domestic Shorthair,NA,98103
December 26 2018,S149240,Romi,Cat,Domestic Shorthair,Mix,98101
December 20 2018,S108772,Reggie,Dog,Entlebucher Mountain Dog,NA,98102
December 29 2018,S122847,Houston,Dog,"Mixed Breed, Large (over 44 lbs fully grown)",Mix,98102
November 24 2018,S146590,Lulu,Dog,"Poodle, Miniature",Mix,98144
December 31 2018,S136666,Mister,Dog,Pug,"Bulldog, French",98102
November 07 2018,S135487,River,Dog,"Spaniel, Tibetan",Shetland Sheepdog,98144
October 28 2018,S137119,Angus,Dog,"Retriever, Golden",NA,98117
November 29 2018,S150112,Pippa,Dog,Pomeranian,"Retriever, Golden",98116
December 23 2018,S124109,Dilly,Dog,"Chihuahua, Short Coat","Dachshund, Standard Smooth Haired",98117
December 29 2018,900461,Chanel,Dog,Papillon,NA,98116
December 14 2018,8003840,Polly,Dog,"Poodle, Miniature",NA,98103
December 10 2018,S107438,Sophia,Dog,Dalmatian,Mix,98103
December 18 2018,S152280,Beanie,Dog,"Chihuahua, Short Coat",Mix,98108
March 06 2018,S127093,Dusty,Cat,Domestic Shorthair,NA,98125
October 28 2018,8002259,Linus Pawling,Dog,Miniature Pinscher,"Dachshund, Miniature Smooth Haired",98115
December 11 2018,950720,Lindy,Cat,Domestic Shorthair,NA,98105
November 26 2018,834841,Daisy,Dog,"Terrier, American Pit Bull",NA,98133
October 20 2018,8002064,Sugar,Cat,Domestic Shorthair,Mix,98136
October 20 2018,S101165,Meekoo,Dog,"Chihuahua, Short Coat",Mix,98144
October 26 2018,826390,Mia,Dog,"Retriever, Golden",NA,98115
October 26 2018,728471,Nellie,Dog,Border Collie,NA,98103
December 13 2018,8003804,Charlie,Dog,Border Collie,Mix,98117
December 26 2018,S134329,Mochi,Cat,Domestic Medium Hair,Mix,98133
November 20 2018,8003037,Puff,Cat,Domestic Longhair,NA,98144
November 10 2018,S107088,Seymour,Cat,Siamese,NA,98122
December 15 2018,S100828,Bitsy,Cat,Domestic Shorthair,Mix,98106
November 05 2018,8002463,Werner Karl Heisenfluff,Cat,Russian Blue,NA,98122
November 15 2018,829732,Sierra,Dog,Australian Cattle Dog,NA,98106
November 12 2018,8002679,Marley,Dog,"Retriever, Golden",NA,98125
November 19 2018,8002969,Angel,Dog,"Chihuahua, Short Coat","Chihuahua, Short Coat",98116
December 23 2018,901692,Jazmine,Dog,"Retriever, Labrador",Border Collie,98103
September 28 2018,S142612,Flynn,Cat,Domestic Shorthair,Mix,NA
November 23 2018,8003125,Hazel,Dog,German Shepherd,NA,98144
December 01 2018,S125321,Murphy,Dog,Pug,Beagle,98122
February 22 2018,288336,Rocky,Cat,Siberian,NA,98133
November 30 2018,S132414,Bellamy,Dog,Argentine Dogo,Mix,98105
October 28 2018,823923,Ginger,Cat,Domestic Shorthair,NA,98116
December 06 2016,S125642,Stanley,Dog,"Bulldog, French",NA,98104
October 25 2018,S144562,Bucky,Cat,Domestic Medium Hair,Mix,98133
December 28 2017,S139151,Westley,Dog,Border Collie,Australian Cattle Dog,98107
December 13 2018,729282,Pippi Longstocking,Dog,"Mixed Breed, Medium (up to 44 lbs fully grown)",NA,98144
November 26 2018,8003263,Ambrosia,Cat,Domestic Shorthair,Mix,98125
November 21 2018,S148159,Unknown,Dog,"Mixed Breed, Medium (up to 44 lbs fully grown)",Mix,98101
November 06 2018,S125292,Jack,Cat,Domestic Shorthair,Mix,98107
October 27 2018,S139160,Sasha,Dog,"Terrier, American Pit Bull","Retriever, Labrador",98144
November 10 2018,S124727,Maddie,Dog,"Retriever, Golden","Retriever, Labrador",98103
December 14 2018,960199,Kellee,Dog,"Retriever, Labrador",NA,98115
October 24 2018,S120871,Tum Tum,Dog,"Terrier, American Pit Bull",NA,98118
December 20 2018,8004010,Piper,Dog,"Retriever, Nova Scotia Duck Tolling",NA,98117
December 08 2018,964711,Barley,Cat,Domestic Shorthair,NA,98125
December 27 2018,8004144,Ford,Dog,"Mixed Breed, Large (over 44 lbs fully grown)",Mix,98133
December 20 2016,S125486,Kola,Dog,"Chihuahua, Short Coat",Mix,NA
December 21 2018,8004021,Leila,Dog,Border Collie,"Retriever, Flat-Coated",98103
December 24 2018,8004117,Tulio,Dog,"Retriever, Golden",NA,98105
December 14 2018,S131524,Leela,Dog,"Retriever, Labrador",NA,98144
November 05 2018,S123732,Guiness,Cat,Abyssinian,NA,98125
December 01 2018,S118181,Marco,Cat,Domestic Medium Hair,Mix,98126
November 27 2018,S104885,Maya,Dog,"Terrier, Jack Russell","Terrier, Cairn",98102
November 11 2018,8002629,Thisbe,Cat,Domestic Shorthair,Mix,98117
December 13 2017,S137444,Sailor,Dog,Great Pyrenees,NA,98102
October 19 2018,21434,Jasper,Dog,"Terrier, American Pit Bull","Retriever, Labrador",98136
November 08 2018,S124236,Elise,Cat,American Shorthair,NA,98117
December 07 2018,962559,Emma,Cat,Domestic Shorthair,NA,98199
October 19 2018,8002026,Leopold,Dog,Papillon,NA,98199
November 02 2018,S121481,Pineapple,Cat,Domestic Shorthair,Mix,98117
December 07 2018,S134312,Zeus,Cat,Domestic Shorthair,Mix,98177
December 02 2018,8003439,Klaus,Dog,"Retriever, Labrador",NA,98136
September 17 2018,730620,Fredo,Dog,"Chihuahua, Short Coat",NA,98136
November 20 2018,8003034,LUCY,Dog,"Chihuahua, Short Coat",Shiba Inu,98116
November 27 2018,8003303,Kodiak,Dog,Alaskan Malamute,German Shepherd,98102
November 01 2018,835179,Stella,Dog,"Retriever, Labrador","Retriever, Chesapeake Bay",98117
November 25 2018,904283,Gucci,Dog,"Retriever, Golden","Poodle, Standard",98103
August 30 2018,S142552,A.C.,Cat,Siamese,Mix,98103
December 08 2018,8003631,Lou Lou,Dog,Australian Cattle Dog,Mix,98102
November 25 2018,8003197,Sugar,Cat,Domestic Medium Hair,Mix,98116
September 23 2018,S142605,Thelma,Cat,Domestic Shorthair,Mix,98112
December 01 2016,S121008,Neil,Dog,"Terrier, Border",Mix,NA
November 20 2018,8003058,Layla,Dog,Rottweiler,Mix,98122
December 14 2018,950094,Molly,Dog,"Retriever, Labrador",Mix,98116
November 12 2018,896353,Beanie,Cat,Domestic Shorthair,NA,98107
November 01 2018,831636,Monkey Girl,Dog,"Retriever, Labrador","Terrier, American Pit Bull",98102
November 06 2018,903738,Winston,Dog,"Terrier, Airedale",NA,98101
November 24 2018,S137301,Lucy,Dog,Hound,Brittany,98107
December 01 2018,901943,Falcor,Dog,"Dachshund, Standard Long Haired",Spaniel,98117
November 28 2018,897418,Annabelle,Cat,Domestic Shorthair,NA,98199
November 24 2018,S122023,Nacho,Dog,"Retriever, Labrador","Chihuahua, Short Coat",98117
December 21 2018,960905,Faelan,Dog,Samoyed,NA,98146
December 15 2018,8003869,Katana,Dog,Boxer,NA,98108
October 23 2018,S144560,Hershey,Cat,Domestic Shorthair,Mix,98118
November 05 2018,S137494,Keiko,Dog,"Retriever, Golden",Mix,98105
November 16 2018,8002766,Sacha,Dog,"Retriever, Golden",NA,98199
October 23 2018,829392,Maggie,Dog,"Griffon, Brussels",NA,98106
November 04 2018,8002428,Olive,Dog,"Mixed Breed, Large (over 44 lbs fully grown)",NA,98103
November 19 2018,835237,Charlotte,Dog,"Retriever, Labrador",NA,98105
November 20 2018,835087,Mina,Dog,Beagle,NA,98103
November 20 2018,8003051,Katie,Dog,"Spaniel, Tibetan",Mix,98118
December 30 2018,S107761,Lucilla,Dog,Retriever,NA,98106
November 29 2018,S150110,Doc,Dog,"Terrier, Yorkshire",NA,98116
November 27 2018,8003299,Flynn,Dog,"Mixed Breed, Medium (up to 44 lbs fully grown)",Mix,98109
November 12 2018,901879,Murdock,Dog,Beagle,Pug,98144
November 01 2018,S122613,Penelope,Dog,"Chihuahua, Long Coat",NA,98115
November 15 2018,S146562,Cano,Dog,"Retriever, Labrador",NA,98115
December 13 2018,960459,Bronte,Dog,"Mixed Breed, Medium (up to 44 lbs fully grown)",Mix,98107
October 26 2018,357198,Mr. Bean,Dog,"Retriever, Labrador",Mix,98136
December 13 2018,8003814,Fredo,Cat,Domestic Longhair,Mix,98117
November 30 2018,S126588,Mercer,Cat,Domestic Medium Hair,Mix,98109
October 27 2018,715533,Matilda,Cat,Domestic Medium Hair,NA,98103
December 17 2018,959971,Alfie,Dog,"Retriever, Labrador","Poodle, Standard",98122
December 09 2018,8003671,Clyde,Cat,Mix,Mix,98102
November 19 2018,896177,Sam,Cat,Domestic Medium Hair,NA,98116
November 09 2018,8002604,Dexter,Dog,"Mixed Breed, Medium (up to 44 lbs fully grown)",Mix,98103
December 10 2018,8003709,Stanley,Cat,Maine Coon,Ragdoll,98115
December 09 2018,S125705,Peewee,Cat,Domestic Longhair,NA,98117
November 17 2018,8002826,Lexi,Dog,"Chihuahua, Short Coat",Miniature Pinscher,98126
November 01 2018,8002372,Baxter,Dog,Retriever,NA,98105
November 20 2018,8003013,George,Dog,Maltese,NA,98106
December 10 2018,S125166,Mochi,Dog,"Chihuahua, Short Coat",Pomeranian,98115
November 20 2018,8003040,Ripley,Dog,"Retriever, Golden",Australian Shepherd,98106
November 10 2018,833087,Zippy,Dog,"Dachshund, Standard Smooth Haired",Mix,98118
November 27 2018,835431,Everett,Dog,"Retriever, Golden",NA,98199
November 05 2018,S119053,Thalia,Cat,Domestic Shorthair,Mix,98118
November 25 2018,S123160,Fozzie,Dog,"Poodle, Standard",Mix,98115-4820
December 03 2018,S101302,MJ,Dog,"Chihuahua, Short Coat",Mix,98122
November 03 2018,573848,Jiang Bluu,Cat,Domestic Medium Hair,NA,98103
December 27 2018,S137961,Ozzy,Dog,Australian Shepherd,"Retriever, Labrador",98109
August 29 2018,S146743,Avon,Dog,Samoyed,Mix,98122
December 06 2018,S152262,Carmen,Dog,"Chihuahua, Short Coat",NA,98107
December 11 2018,S125965,Willy Skippy,Cat,Domestic Medium Hair,Mix,98103
November 07 2018,S151103,Flash,Cat,Domestic Shorthair,Mix,98119
November 24 2018,8003162,Leo,Dog,"Retriever, Labrador",Mix,98118
December 23 2018,8004098,Puma,Cat,Siamese,NA,98199
December 21 2018,8004039,Sif,Dog,Beagle,"Terrier, Fox, Smooth",98102
November 28 2018,832218,Suki,Dog,"Chihuahua, Short Coat",Mix,98115
April 21 2017,960061,Gwennie,Dog,Maltese,NA,NA
November 06 2018,S105664,Elaine,Cat,Domestic Shorthair,Mix,98122
December 07 2018,960898,Fiona,Dog,Terrier,"Chihuahua, Short Coat",98106
December 13 2018,8003805,Pixie,Dog,Maltese,Mix,98109
October 07 2018,S142622,Betts,Cat,Domestic Shorthair,Mix,98102
February 23 2017,962460,Pepper,Cat,Domestic Shorthair,NA,NA
November 20 2018,902687,Oscar,Dog,"Terrier, Jack Russell",NA,98116
November 12 2018,961450,Moro,Dog,German Shepherd,NA,98103
December 20 2018,8004006,Zippy,Cat,Domestic Shorthair,NA,98105
December 08 2018,S119066,Albus,Cat,Domestic Shorthair,Mix,98115
December 04 2018,8003509,Casper,Dog,Australian Shepherd,Mix,98107
October 26 2018,358952,Ace,Dog,Shepherd,Irish Wolfhound,98117
November 28 2018,S134376,Tofu,Cat,Siamese,Mix,98115
November 04 2018,8002444,Kodiak,Dog,"Retriever, Labrador",NA,98103
December 08 2018,S108839,Sissy,Cat,Domestic Medium Hair,NA,98103
November 12 2018,S123467,Bosco,Dog,Basenji,NA,98122
December 20 2016,S125095,Daisy,Dog,Doberman Pinscher,NA,98105
December 29 2017,S139164,Maximilian,Dog,Maltese,Shih Tzu,NA
December 31 2018,8004245,Bella,Dog,"Retriever, Labrador",Australian Shepherd,98133
October 27 2018,S146771,Kali,Dog,"Terrier, American Staffordshire",NA,98125
November 12 2018,8002670,Batsy,Dog,"Chihuahua, Short Coat",NA,98146
December 09 2018,S124354,Darwin,Dog,Newfoundland,NA,98109
October 22 2018,S105272,Kitty Mow,Cat,Domestic Shorthair,NA,98103
December 07 2018,8003589,Bogart,Dog,"Mixed Breed, Medium (up to 44 lbs fully grown)",Mix,98144
November 22 2016,S104204,Katharina,Cat,Domestic Longhair,Mix,98103
November 03 2018,835066,Sully,Dog,Akbash,NA,98106
November 27 2018,S123981,Nephthys,Dog,"Poodle, Standard",NA,98112
October 19 2018,724192,Rocky,Cat,Domestic Medium Hair,NA,98117
October 29 2018,8002302,Ozzy,Dog,Great Pyrenees,NA,98126
November 27 2018,S124031,Kuro,Cat,American Shorthair,NA,98102
December 06 2018,8003568,Poca,Dog,Basenji,Whippet,98115
October 26 2018,S138074,Quinn,Dog,Shetland Sheepdog,NA,98115
December 09 2018,S139141,Magnus,Dog,"Bulldog, French",NA,98103
October 27 2018,831137,Maggie,Dog,Portuguese Water Dog,"Retriever, Labrador",98103
November 25 2018,S124640,Taz,Dog,"Terrier, Yorkshire",NA,98103
December 09 2018,964387,Marge,Dog,"Chihuahua, Short Coat","Terrier, Yorkshire",98103
December 22 2018,8004069,Chloe,Cat,Domestic Longhair,Mix,98109
November 17 2018,8002783,Bodhi,Dog,Australian Cattle Dog,Mix,98103
November 26 2018,S121790,Mister Man,Cat,Manx,Angora,98118
December 22 2018,S133947,Hattie,Dog,Border Collie,NA,98112
October 24 2018,730624,Daisy,Dog,"Chihuahua, Short Coat",Terrier,98115
November 29 2018,S148173,Tux,Dog,"Terrier, American Pit Bull",Mix,98118
December 01 2018,8003433,Max,Dog,"Terrier, American Staffordshire",Mix,98103
December 29 2018,S108496,Tora,Cat,Domestic Shorthair,Mix,98108
November 01 2018,S148123,Thurman,Dog,Shih Tzu,Mix,98119
December 16 2017,962020,Precious,Dog,"Terrier, Yorkshire","Dachshund, Standard Smooth Haired",NA
