gamename,year,month,avg,gain,peak,avg_peak_perc
Conqueror's Blade,2021,February,3816.37,-132.3,10592,36.0307%
Conan Exiles,2021,February,9053.84,-631.12,14827,61.0632%
Human: Fall Flat,2021,February,5589.99,1124.02,15688,35.6323%
Hunt: Showdown,2021,February,7984.55,500.25,15859,50.3471%
The Sims 4,2021,February,9032.28,-2600.25,15331,58.9151%
Satisfactory,2021,February,7822.93,-2483.2,13747,56.9065%
Home Behind 2,2021,February,3133.52,-5782.98,10825,28.9471%
Dying Light,2021,February,7670.44,1309.51,30600,25.0668%
NGU IDLE,2021,February,6561.37,-34,7826,83.8407%
Geometry Dash,2021,February,6202.53,-62.11,9554,64.9208%
SCUM,2021,February,6961.3,1267.86,11513,60.4647%
Aim Lab,2021,February,5930.13,236.48,7589,78.1411%
STAR WARS: The Old Republic,2021,February,6727.9,-1078.65,12236,54.9845%
Company of Heroes 2,2021,February,5584.17,-514.13,9477,58.9234%
Russian Fishing 4,2021,February,4087.76,-215.82,7459,54.8031%
<U+96C0><U+9B42><U+9EBB><U+5C06>(MahjongSoul),2021,February,4674.79,1546.12,13637,34.2802%
Fallout 76,2021,February,6233.95,-1142.71,9257,67.3431%
Phantasy Star Online 2,2021,February,5197.19,-59.1,10502,49.4876%
Mount & Blade: Warband,2021,February,5016.12,-40.88,7863,63.794%
SCP: Secret Laboratory,2021,February,4974.93,541.59,7438,66.8853%
RuneScape,2021,February,6609.23,611.01,11196,59.0321%
Total War: ROME II - Emperor Edition,2021,February,5696.08,-466.89,9910,57.4781%
Squad,2021,February,6228.81,228.95,11185,55.689%
Hollow Knight,2021,February,4686.84,-1604.21,6538,71.6861%
Grim Dawn,2021,February,4642.27,-886.32,7593,61.1388%
BeamNG.drive,2021,February,5275.54,-94.91,8669,60.8552%
Killing Floor 2,2021,February,3315.78,-61.72,6175,53.6968%
Shop Titans,2021,February,4522.46,-177.35,6320,71.5579%
Black Desert,2021,February,4286.16,-429.41,8810,48.6511%
Warhammer: Vermintide 2,2021,February,3862.8,-1242.36,6964,55.4681%
Prison Architect,2021,February,2721.01,511.4,8733,31.1578%
Planet Zoo,2021,February,3954.26,-849.36,7968,49.6268%
Borderlands 3,2021,February,8338.27,661.52,15911,52.4057%
Kerbal Space Program,2021,February,3983.43,-346.45,6519,61.1049%
Dota Underlords,2021,February,4170.2,-131.87,6114,68.2074%
Total War: MEDIEVAL II - Definitive Edition,2021,February,3445.92,-151.98,6045,57.0045%
MORDHAU,2021,February,3500.64,-411.32,5642,62.0461%
Clicker Heroes,2021,February,3475.86,107.94,4808,72.2933%
theHunter: Call of the Wild,2021,February,3741.87,-1653.19,7127,52.5027%
Hell Let Loose,2021,February,3747.24,-42.33,6740,55.597%
Leaf Blower Revolution - Idle Game,2021,February,3482.46,-572.98,4671,74.5549%
AdVenture Capitalist,2021,February,2377.82,-232.96,4546,52.3058%
Starbound,2021,February,3238.53,-69.97,6443,50.2643%
Crossout,2021,February,3256.31,511.96,6366,51.1516%
Warface,2021,February,3101.01,-295.94,5194,59.7037%
For Honor,2021,February,3364.48,80.92,5230,64.3304%
Crusader Kings II,2021,February,3347.82,-24.7,5272,63.5019%
House Flipper,2021,February,2905.33,-66.43,5490,52.9204%
XCOM 2,2021,February,7246.61,3334.25,13491,53.7144%
Lords Mobile,2021,February,3736.38,-28.96,6216,60.1091%
Blender,2021,February,3406.65,135.99,4705,72.4049%
Ori and the Will of the Wisps,2021,February,4060.64,1607.29,16964,23.9368%
STAR WARS Battlefront II,2021,February,2906.59,-2243.88,5364,54.187%
Far Cry 5,2021,February,3396.95,-2102.46,6521,52.0925%
The Isle,2021,February,3208.93,65.38,4844,66.2455%
Assetto Corsa Competizione,2021,February,2114.53,68.33,6167,34.2878%
Age of Empires III: Definitive Edition,2021,February,3017.18,-544.77,5466,55.199%
Borderlands 2,2021,February,4365.29,795.11,7971,54.7646%
Kenshi,2021,February,3988.5,436,5341,74.677%
Heroes & Generals,2021,February,2637.36,-107.83,4558,57.8622%
Eco,2021,February,2954.61,1133.33,5100,57.9335%
People Playground,2021,February,3022.44,131.69,5174,58.4159%
Shakes and Fidget,2021,February,2491.64,21.61,4017,62.0274%
Subnautica,2021,February,3039.09,-1040.61,4937,61.5574%
Insurgency: Sandstorm,2021,February,4377.81,1582.77,12611,34.7142%
Total War: EMPIRE - Definitive Edition,2021,February,2646.28,-8.11,4713,56.1485%
The Sims(TM) 3,2021,February,2802.92,-29.87,4345,64.5091%
Transformice,2021,February,2156.97,-47.74,3779,57.0778%
Total War: ATTILA,2021,February,2453.03,-238.06,4108,59.7135%
Transport Fever 2,2021,February,2584.82,-270.99,5694,45.3955%
eFootball PES 2020,2021,February,2307.41,-450.82,4328,53.3135%
Darkest Dungeon®,2021,February,3389.51,-556.57,5821,58.229%
Total War: SHOGUN 2,2021,February,2861.23,34.57,6146,46.5543%
Horizon Zero Dawn,2021,February,2405.24,-1576.15,5032,47.7989%
HITMAN 2,2021,February,2471.92,-656.86,4427,55.8374%
Need for Speed Heat,2021,February,2510.89,-900.28,4368,57.4837%
Portal 2,2021,February,2385.76,-1000.48,4451,53.6005%
YoloMouse,2021,February,2751.66,542.73,3669,74.9975%
Kingdom Come: Deliverance,2021,February,2786.54,-350.93,5347,52.1141%
They Are Billions,2021,February,2670.04,-357.51,4431,60.2582%
Totally Accurate Battle Simulator,2021,February,2585.85,-584.85,3814,67.7989%
ATLAS,2021,February,2188.33,-706.26,4202,52.0783%
Assassin's Creed Origins,2021,February,2226.53,-169.85,4831,46.0884%
STAR WARS Jedi: Fallen Order,2021,February,3040.63,95.63,5543,54.8553%
Battlefield V,2021,February,6668.92,3536.12,18721,35.6227%
Fishing Planet,2021,February,1829.05,83.95,3144,58.1759%
DiRT Rally 2.0,2021,February,1571.82,23.98,3243,48.4681%
Mortal Kombat 11,2021,February,1992.87,-283.51,3528,56.4872%
Middle-earth: Shadow of War,2021,February,2407.1,-482.79,4408,54.6075%
Medieval Dynasty,2021,February,1805.9,-1034.05,4000,45.1475%
Soundpad Demo,2021,February,1685.96,95.51,2899,58.1566%
DOOM Eternal,2021,February,2269.47,-1122.23,4478,50.6804%
Mr.Mine,2021,February,2088.95,100.2,2804,74.4989%
Star Trek Online,2021,February,1849.9,451.3,3113,59.425%
Catan Universe,2021,February,2094.07,-229.8,4510,46.4317%
Men of War: Assault Squad 2,2021,February,1841.93,-6.23,3135,58.7537%
Trove,2021,February,1845.99,58.66,2744,67.2737%
Football Manager 2018,2021,February,1878.01,-119.14,3191,58.8533%
DARK SOULS II: Scholar of the First Sin,2021,February,2265.93,-397.37,3564,63.5783%
DRAGON BALL FighterZ,2021,February,2166.31,-935.67,3886,55.7465%
Gems of War,2021,February,1745.35,10.63,2569,67.9389%
Aseprite,2021,February,2045.94,86.13,2563,79.826%
The Crew 2,2021,February,1984.61,-709.71,4162,47.684%
CarX Drift Racing Online,2021,February,1913.18,61.44,4403,43.4517%
Beat Saber,2021,February,1865.17,-260.79,3268,57.0737%
Battlefield 1 ,2021,February,5267.95,2526.53,13941,37.7875%
KovaaK 2.0,2021,February,1871.93,73.63,2656,70.4793%
Neverwinter,2021,February,1778.75,30.76,3213,55.361%
Will To Live Online,2021,February,1743.3,27.22,3094,56.3445%
Street Fighter V,2021,February,3044.38,769.18,8140,37.4002%
DARK SOULS: REMASTERED,2021,February,1898.17,-133.44,2933,64.7177%
PlanetSide 2,2021,February,1979.26,85.97,3101,63.8265%
Planet Coaster,2021,February,2060.37,-160.95,3662,56.2635%
Pathfinder: Kingmaker,2021,February,2108.55,293.26,3786,55.6933%
The Long Dark,2021,February,1872.53,-601.21,3084,60.7176%
Disco Elysium,2021,February,1477.37,110.65,4296,34.3894%
Stormworks: Build and Rescue,2021,February,1621.33,-12.66,2950,54.9603%
Knight Online,2021,February,1905.4,120.45,3154,60.4122%
Project Zomboid,2021,February,1792.99,-251.65,2881,62.235%
Noita,2021,February,2370.32,-57.07,4344,54.5654%
Northgard,2021,February,2349.38,223.6,6004,39.1302%
Realm of the Mad God Exalt,2021,February,1904.6,-166.77,2709,70.3064%
Persona 4 Golden,2021,February,2460.34,-541.16,3505,70.1951%
X-Plane 11,2021,February,1626.15,-35.89,2656,61.2255%
RISK: Global Domination,2021,February,1735.79,-119.77,3998,43.4165%
METAL GEAR SOLID V: THE PHANTOM PAIN,2021,February,1977.99,-229.36,3040,65.0655%
Jurassic World Evolution,2021,February,2006.15,-1429.33,3962,50.6348%
BATTLETECH,2021,February,1927.71,-261.79,3141,61.3725%
theHunter Classic,2021,February,1286.52,5.46,2382,54.0101%
ASTRONEER,2021,February,1878.86,-571.53,4011,46.8427%
Microsoft Flight Simulator X: Steam Edition,2021,February,1552.64,-69.29,2615,59.3744%
EVGA Precision X1,2021,February,1990.02,166.19,2581,77.1027%
Robocraft,2021,February,491.72,-0.6,804,61.1592%
Don't Starve,2021,February,2704.15,58.14,4684,57.7316%
Firestone Idle RPG,2021,February,1738.7,-106.43,2184,79.6108%
Age of Mythology: Extended Edition,2021,February,1785.05,-202.28,3534,50.5108%
BLEACH Brave Souls - 3D Action,2021,February,1229.25,-533.41,2073,59.2981%
Train Simulator,2021,February,1348.19,-40.4,2964,45.4855%
Call of Duty: Black Ops III,2021,February,2169.51,166.89,4882,44.439%
Subnautica: Below Zero,2021,February,1652.81,-395.17,4886,33.8275%
Heroes of Might & Magic III - HD Edition,2021,February,1417.65,-30.31,2732,51.8906%
Total War: NAPOLEON - Definitive Edition,2021,February,1439.17,10.39,2571,55.9771%
<U+4E09><U+56FD><U+7FA4><U+82F1><U+4F20>8 Heroes of the Three Kingdoms 8,2021,February,2124.3,-4726.83,5963,35.6247%
Foundation,2021,February,823.81,266.75,2043,40.3235%
Yakuza 0,2021,February,1587.58,-867.55,2482,63.9637%
Black Squad,2021,February,1439.02,-200.58,2320,62.0267%
Shadowverse,2021,February,2707.37,-1217.02,7808,34.6743%
DEATH STRANDING,2021,February,1780.29,-1652.64,3321,53.607%
Black Desert Online SA,2021,February,1866.06,-51.4,5668,32.9227%
State of Decay 2,2021,February,1999.81,-992.05,3943,50.718%
ROMANCE OF THE THREE KINGDOMS XIV,2021,February,2440.73,-647.62,4776,51.1041%
Melvor Idle,2021,February,1759.59,57.47,2157,81.5758%
Company of Heroes,2021,February,1494.54,-98.71,2647,56.4617%
Grand Theft Auto IV: The Complete Edition,2021,February,1696.31,-321.58,3130,54.1952%
Football Manager 2017,2021,February,1374.51,-112.82,2385,57.6314%
Super Animal Royale,2021,February,1251.34,12.25,3030,41.2983%
Sniper Elite 4,2021,February,1663.02,-430.09,3835,43.3643%
Granado Espada,2021,February,1697.29,-37.99,2041,83.1597%
Tom Clancy's Ghost Recon® Wildlands,2021,February,1670.96,-572.62,3050,54.7856%
DEAD OR ALIVE Xtreme Venus Vacation,2021,February,2220.82,-152.78,6860,32.3735%
Rome: Total War,2021,February,1282.91,-18.19,2245,57.1452%
Tree of Savior (English Ver.),2021,February,1555.43,-213.46,2203,70.6051%
Beasts of Bermuda,2021,February,1385.81,-10.75,2066,67.077%
FaceRig,2021,February,1873.68,3.73,3491,53.6717%
Endless Space® 2,2021,February,1392.91,-438.24,2697,51.6466%
Battlefield 4,2021,February,2055.42,503.32,4494,45.737%
Baldur's Gate 3,2021,February,2424.04,211.47,10693,22.6694%
Assassin's Creed IV Black Flag,2021,February,1307.65,-15.06,2511,52.0769%
For The King,2021,February,3405.23,2106.17,8079,42.1492%
Stay Out,2021,February,1060.89,-29.87,1992,53.2575%
March of Empires,2021,February,1268.88,-14.43,1987,63.8591%
Plants vs. Zombies: Game of the Year,2021,February,2352.44,-49.45,3867,60.8337%
Plague Inc: Evolved,2021,February,976.8,338.58,3171,30.8042%
Total War: WARHAMMER,2021,February,1237.39,260.22,2489,49.7143%
Amazing Cultivation Simulator,2021,February,2057.39,-421.86,3650,56.3668%
Grounded,2021,February,1213.37,-16.84,2469,49.1442%
Workers & Resources: Soviet Republic,2021,February,1170.83,-241.39,2275,51.4651%
X4: Foundations,2021,February,1265.51,-178.71,2095,60.4062%
Stronghold Crusader HD,2021,February,1078.77,-138.1,2056,52.4694%
Sid Meier's Civilization IV: Beyond the Sword,2021,February,1360.19,-27.71,2224,61.1596%
Frostpunk,2021,February,1776.04,-254.91,4419,40.191%
Tomb Raider,2021,February,1282.94,-193.15,2810,45.6562%
MapleStory,2021,February,2179.46,-339.66,3486,62.5204%
Craftopia,2021,February,1333.57,364.82,3118,42.77%
Nioh: Complete Edition,2021,February,1072.33,3.75,1813,59.1467%
NBA 2K19,2021,February,851.05,-83.75,1772,48.0277%
Command & Conquer Remastered Collection,2021,February,1328.21,-101.47,2583,51.4212%
Onmyoji,2021,February,1370.82,230.32,3605,38.0255%
Tracks of Triumph: Industrial Zone,2021,February,86.19,84.77,2846,3.0285%
Football Manager 2021 Touch,2021,February,1107.5,46.8,1927,57.4728%
Titan Quest Anniversary Edition,2021,February,1081.44,-78.53,2172,49.7901%
Assassin's Creed Unity,2021,February,816.38,83.44,2705,30.1804%
DRAGON BALL Z: KAKAROT,2021,February,921.24,-213.18,1648,55.9005%
Dragon Age Inquisition,2021,February,1528.01,-146.13,3068,49.8048%
Brick Rigs,2021,February,858.62,22.37,1920,44.7198%
Resident Evil 7 Biohazard,2021,February,1084.49,25.85,1875,57.8395%
Two Point Hospital,2021,February,1042.75,-291.01,2230,46.7601%
Spellbreak,2021,February,1110.99,-1101.35,1660,66.9271%
Sid Meier's Civilization III: Complete,2021,February,1260,-13.89,2136,58.9888%
DCS World Steam Edition,2021,February,1067.56,-47.58,1890,56.4847%
Mafia: Definitive Edition,2021,February,714.05,-159.45,1891,37.7604%
Last Oasis,2021,February,953.92,-882.88,1790,53.2916%
My Summer Car,2021,February,874.61,4.59,1761,49.6655%
Banished,2021,February,1139.1,-29.98,1953,58.3257%
XCOM: Enemy Unknown,2021,February,1024.49,202.16,1973,51.9255%
OMSI 2,2021,February,833.31,-42.96,1765,47.213%
The Elder Scrolls IV: Oblivion,2021,February,1352.43,-17.48,2439,55.4502%
A Dance of Fire and Ice,2021,February,1438.74,344.65,3075,46.7883%
Crusaders of the Lost Idols,2021,February,1395.85,14.87,1730,80.685%
Farming Simulator 17,2021,February,909.36,-121.46,1922,47.3132%
Barotrauma,2021,February,924.67,18.1,1839,50.2811%
Spore,2021,February,968.91,-42.73,2000,48.4455%
Insurgency,2021,February,902.59,4.21,1483,60.8624%
Enter the Gungeon,2021,February,1182.81,-187.17,1589,74.4374%
Minion Masters,2021,February,1100.81,185.46,1667,66.0354%
Source Filmmaker,2021,February,1275.36,-38.66,1685,75.689%
NARUTO SHIPPUDEN: Ultimate Ninja STORM 4,2021,February,1497.51,70.64,3641,41.1291%
The Lord of the Rings Online,2021,February,985.95,-28.98,1880,52.4441%
Tropico 6,2021,February,1035.98,-191.51,2289,45.2591%
Realm Grinder,2021,February,1337.04,89.77,1968,67.939%
Blood of Steel,2021,February,885.77,-38.53,1580,56.0614%
Realm Royale,2021,February,1014.05,-10.66,1745,58.1117%
Victoria II,2021,February,1075.52,-98.92,1969,54.6227%
BioShock Remastered,2021,February,770.08,335.56,1918,40.1502%
Undertale,2021,February,1110.95,-292.91,1544,71.9527%
DOOM,2021,February,1056.09,-344.17,2062,51.2168%
Just Cause 3,2021,February,1016.29,-175.1,1779,57.127%
Naval Action,2021,February,1031.94,174.34,1941,53.1654%
Age of Empires: Definitive Edition,2021,February,965.65,-150.86,1971,48.9929%
Age of History II,2021,February,865.96,36.73,1356,63.8614%
Football Manager 2016,2021,February,868.82,-48.31,1499,57.96%
Temtem,2021,February,1103.73,-69.07,1727,63.9102%
Ironsight,2021,February,905.29,-51.04,1493,60.6356%
Fallout Shelter,2021,February,1035.25,-37.72,1496,69.2012%
CODE VEIN,2021,February,1004.44,-438.24,2113,47.5362%
Battle Brothers,2021,February,1026.04,-40.38,1633,62.8316%
Cossacks 3,2021,February,738.69,-85.99,1816,40.6768%
Rising Storm 2: Vietnam,2021,February,1199,-64.37,2028,59.1223%
KARDS - The WWII Card Game,2021,February,1025.04,121.3,1746,58.7079%
Surviving Mars,2021,February,1011.45,-136.59,1900,53.2342%
Game of Thrones Winter is Coming,2021,February,1028.47,17.19,1592,64.6024%
Project CARS 2,2021,February,776.13,-90.66,1553,49.9762%
Governor of Poker 3,2021,February,979.88,14.28,1597,61.3575%
Outward,2021,February,852.4,-781.1,1638,52.0391%
FTL: Faster Than Light,2021,February,1204.12,25.15,1854,64.9471%
Out of the Park Baseball 21,2021,February,1349.92,109.26,1916,70.4551%
Metin2,2021,February,672.23,-352.98,1423,47.2403%
Rocksmith® 2014 Edition - Remastered,2021,February,999.87,-32.04,1669,59.9083%
Train Sim World® 2,2021,February,555.47,-10.73,1657,33.5226%
War Robots,2021,February,887.47,-60.97,1505,58.9681%
Mass Effect: Andromeda,2021,February,1225.19,131.97,2796,43.8194%
Control Ultimate Edition,2021,February,823.77,-435.18,1554,53.0097%
Half-Life 2,2021,February,829.1,-242.56,1424,58.2233%
TERA,2021,February,802.15,75.86,1505,53.299%
Cell to Singularity - Evolution Never Ends,2021,February,933.88,-107.95,1252,74.5911%
Half-Life: Alyx,2021,February,745.69,-281.22,1520,49.0586%
PC Building Simulator,2021,February,981,-242.23,1920,51.0938%
Cuphead,2021,February,1023.95,-219.11,1720,59.532%
Yakuza: Like a Dragon,2021,February,1113.53,-810.72,3884,28.6697%
Divinity: Original Sin Enhanced Edition,2021,February,791.62,-148.69,1644,48.1521%
War Selection,2021,February,719.61,43.89,1310,54.9321%
Dawn of Man,2021,February,829.57,-160.44,1534,54.0789%
Wolcen: Lords of Mayhem,2021,February,709.82,-261.46,1321,53.7335%
F1 2019,2021,February,611.41,-276.33,1343,45.5257%
Trailmakers,2021,February,588.74,-117.3,1223,48.139%
Monster Train,2021,February,888.19,-554.37,1388,63.9906%
Football Manager 2015,2021,February,726.68,-25.71,1302,55.8126%
FINAL FANTASY XV WINDOWS EDITION,2021,February,754.34,-316.27,1344,56.1265%
Batman: Arkham Knight,2021,February,1176.25,132.23,2801,41.9939%
Pro Cycling Manager 2020,2021,February,652.33,51.25,1593,40.9498%
Golf It!,2021,February,1010.83,-195.37,2150,47.0153%
Deadside,2021,February,725.01,-426.02,1384,52.3851%
Mafia III: Definitive Edition,2021,February,690.63,-5.62,1353,51.0443%
Fallout: New Vegas RU,2021,February,578.75,-97.42,1265,45.751%
Wreckfest,2021,February,946.19,-31.23,2577,36.7167%
The Witcher 2: Assassins of Kings Enhanced Edition,2021,February,728.58,-173.54,1624,44.8633%
Wargame: Red Dragon,2021,February,786.03,-29.48,1337,58.7906%
Deceit,2021,February,728.45,39,1251,58.2294%
Idling to Rule the Gods,2021,February,1057.95,0.72,1239,85.3874%
Pillars of Eternity II: Deadfire,2021,February,815.35,-239.78,1483,54.9798%
Crush Crush,2021,February,1274.23,22.48,1940,65.682%
"Warhammer 40,000: Dawn of War - Soulstorm",2021,February,792.76,-50.18,1419,55.8675%
Ravenfield,2021,February,867.77,-43.45,1151,75.3927%
Avorion,2021,February,724.54,-266.8,1210,59.8793%
Far Cry 4,2021,February,766.11,-326.34,1499,51.1081%
Black Mesa,2021,February,806.1,-257.89,1701,47.3898%
Pavlov VR,2021,February,983.57,-253.03,1924,51.1211%
Life is Feudal: Your Own,2021,February,662.79,-34.94,1340,49.4619%
The Witcher: Enhanced Edition,2021,February,779.8,-216.69,1745,44.6877%
PGA TOUR 2K21,2021,February,834.45,69.4,1629,51.2247%
The Outer Worlds,2021,February,694.32,-698.63,1465,47.3939%
BioShock Infinite,2021,February,770,204.86,1394,55.2367%
Bloons TD Battles,2021,February,878.23,10.75,1294,67.8694%
Teardown,2021,February,577.05,-85.25,1167,49.4473%
Timberborn Demo,2021,February,272.46,166.82,1084,25.1347%
RPG Maker MV,2021,February,949.09,-39.82,1200,79.0908%
STAR WARS Knights of the Old Republic II: The Sith Lords,2021,February,735.75,-224.64,1406,52.3293%
Resident Evil 3,2021,February,747.4,-192.51,1567,47.6962%
Resident Evil 4,2021,February,759.19,23.64,1224,62.0253%
UBOAT,2021,February,612.96,-150.47,1317,46.5421%
Far Cry New Dawn,2021,February,752.08,-460.68,1469,51.1967%
GTFO,2021,February,759.7,-281.03,1390,54.6547%
This War of Mine,2021,February,853.96,-75.2,1689,50.5601%
RaceRoom Racing Experience,2021,February,536.04,-34.4,1384,38.7312%
Tree of Savior (Japanese Ver.),2021,February,945.78,19.18,1456,64.9574%
Post Scriptum,2021,February,741.29,-70.05,1612,45.9857%
Far Cry® 3,2021,February,635.11,-255.8,1318,48.1874%
Graveyard Keeper,2021,February,869.89,-411.06,1894,45.9287%
CRSED,2021,February,748.9,-28.91,1305,57.387%
Terraforming Mars,2021,February,726.58,56.41,1645,44.169%
Steel Division 2,2021,February,664.65,64.62,1196,55.5727%
Ultimate Epic Battle Simulator,2021,February,549.92,-149.39,3732,14.7353%
Resident Evil 6,2021,February,654.91,-21.17,1287,50.8866%
Phoenix Point: Year One Edition,2021,February,568.35,-479.75,1134,50.119%
Dishonored 2,2021,February,730.24,-95.19,1192,61.2617%
Blood Bowl 2,2021,February,640.52,-48.65,1640,39.0561%
OVR Advanced Settings,2021,February,856.66,33.22,1392,61.5417%
Motorsport Manager,2021,February,680.49,-187.53,1257,54.136%
A Way Out,2021,February,707.11,165.94,1731,40.8498%
Tom Clancy's The Division,2021,February,761.28,-228.32,1492,51.0241%
Steep,2021,February,387.27,116.56,1379,28.0834%
Action Taimanin,2021,February,773.06,-27.47,1493,51.779%
Sins of a Solar Empire: Rebellion,2021,February,645.47,-102.91,1215,53.1251%
The Divine Paradox,2021,February,305.61,-20.12,1149,26.5979%
rFactor 2,2021,February,533.62,-33.66,1244,42.8955%
Rise of Nations: Extended Edition,2021,February,721.46,-49.9,1289,55.9705%
Idle Monster TD,2021,February,890.08,81.89,1088,81.8088%
Danganronpa 2: Goodbye Despair,2021,February,841.82,-256.23,1171,71.889%
Ori and the Blind Forest: Definitive Edition,2021,February,771.39,-1.64,1737,44.4093%
Borderlands: The Pre-Sequel,2021,February,588.74,82.83,1168,50.4058%
Unrailed!,2021,February,381.26,-895.26,1151,33.1242%
Soccer Manager 2021,2021,February,707.83,55.08,1149,61.604%
DDraceNetwork,2021,February,808.88,204.41,1356,59.6519%
Idle Wizard,2021,February,846.07,-64.27,1036,81.667%
