age_group,type,injury_mechanism,number_est,rate_est
25-34,Hospitalizations,Intentional self-harm,440,1
25-34,Hospitalizations,Assault,4320,9.9
25-34,Hospitalizations,Other or no mechanism specified,1965,4.5
35-44,Hospitalizations,Motor Vehicle Crashes,7305,18.1
35-44,Hospitalizations,Unintentional Falls,5640,13.9
35-44,Hospitalizations,Unintentionally struck by or against an object,610,1.5
35-44,Hospitalizations,"Other unintentional injury, mechanism unspecified",2255,5.6
35-44,Hospitalizations,Intentional self-harm,340,0.8
35-44,Hospitalizations,Assault,2865,7.1
35-44,Hospitalizations,Other or no mechanism specified,1920,4.7
45-54,Hospitalizations,Motor Vehicle Crashes,8490,19.6
45-54,Hospitalizations,Unintentional Falls,12010,27.7
45-54,Hospitalizations,Unintentionally struck by or against an object,685,1.6
45-54,Hospitalizations,"Other unintentional injury, mechanism unspecified",3140,7.2
45-54,Hospitalizations,Intentional self-harm,350,0.8
45-54,Hospitalizations,Assault,3290,7.6
45-54,Hospitalizations,Other or no mechanism specified,2775,6.4
55-64,Hospitalizations,Motor Vehicle Crashes,7280,18.2
55-64,Hospitalizations,Unintentional Falls,18490,46.2
55-64,Hospitalizations,Unintentionally struck by or against an object,765,1.9
55-64,Hospitalizations,"Other unintentional injury, mechanism unspecified",3165,7.9
55-64,Hospitalizations,Intentional self-harm,145,0.4
55-64,Hospitalizations,Assault,1780,4.4
55-64,Hospitalizations,Other or no mechanism specified,4215,10.5
65-74,Hospitalizations,Motor Vehicle Crashes,4485,17
65-74,Hospitalizations,Unintentional Falls,25235,95.6
65-74,Hospitalizations,Unintentionally struck by or against an object,790,3
65-74,Hospitalizations,"Other unintentional injury, mechanism unspecified",2180,8.3
65-74,Hospitalizations,Intentional self-harm,85,0.3
65-74,Hospitalizations,Assault,535,2
65-74,Hospitalizations,Other or no mechanism specified,5085,19.3
75+,Hospitalizations,Motor Vehicle Crashes,3965,20
75+,Hospitalizations,Unintentional Falls,74005,373.2
75+,Hospitalizations,Unintentionally struck by or against an object,1045,5.3
75+,Hospitalizations,"Other unintentional injury, mechanism unspecified",2550,12.9
75+,Hospitalizations,Intentional self-harm,70,0.4
75+,Hospitalizations,Assault,325,1.6
75+,Hospitalizations,Other or no mechanism specified,11360,57.3
Total,Hospitalizations,Motor Vehicle Crashes,58765,18.4
Total,Hospitalizations,Unintentional Falls,150730,47.3
Total,Hospitalizations,Unintentionally struck by or against an object,7090,2.2
Total,Hospitalizations,"Other unintentional injury, mechanism unspecified",21170,6.6
Total,Hospitalizations,Intentional self-harm,1730,0.5
Total,Hospitalizations,Assault,17395,5.5
Total,Hospitalizations,Other or no mechanism specified,31465,9.9
0-17,Deaths,Motor Vehicle Crashes,931,1.3
0-17,Deaths,Unintentional Falls,48,0.1
0-17,Deaths,Unintentionally struck by or against an object,52,0.1
0-17,Deaths,"Other unintentional injury, mechanism unspecified",308,0.4
0-17,Deaths,Intentional self-harm,NA,NA
0-17,Deaths,Assault,611,0.8
0-17,Deaths,Other or no mechanism specified,61,0.1
0-4,Deaths,Motor Vehicle Crashes,187,0.9
0-4,Deaths,Unintentional Falls,19,0.1
0-4,Deaths,Unintentionally struck by or against an object,27,0.1
0-4,Deaths,"Other unintentional injury, mechanism unspecified",136,0.7
0-4,Deaths,Intentional self-harm,NA,NA
0-4,Deaths,Assault,322,1.6
0-4,Deaths,Other or no mechanism specified,30,0.2
5-14,Deaths,Motor Vehicle Crashes,326,0.8
5-14,Deaths,Unintentional Falls,16,0
5-14,Deaths,Unintentionally struck by or against an object,19,0
5-14,Deaths,"Other unintentional injury, mechanism unspecified",110,0.3
5-14,Deaths,Intentional self-harm,NA,NA
5-14,Deaths,Assault,117,0.3
5-14,Deaths,Other or no mechanism specified,19,0
15-24,Deaths,Motor Vehicle Crashes,2419,5.5
15-24,Deaths,Unintentional Falls,95,0.2
15-24,Deaths,Unintentionally struck by or against an object,21,0
15-24,Deaths,"Other unintentional injury, mechanism unspecified",344,0.8
15-24,Deaths,Intentional self-harm,2171,4.9
15-24,Deaths,Assault,1165,2.7
15-24,Deaths,Other or no mechanism specified,96,0.2
25-34,Deaths,Motor Vehicle Crashes,1960,4.5
25-34,Deaths,Unintentional Falls,175,0.4
25-34,Deaths,Unintentionally struck by or against an object,34,0.1
25-34,Deaths,"Other unintentional injury, mechanism unspecified",345,0.8
25-34,Deaths,Intentional self-harm,2622,6
25-34,Deaths,Assault,1110,2.6
25-34,Deaths,Other or no mechanism specified,125,0.3
35-44,Deaths,Motor Vehicle Crashes,1402,3.5
35-44,Deaths,Unintentional Falls,328,0.8
35-44,Deaths,Unintentionally struck by or against an object,41,0.1
35-44,Deaths,"Other unintentional injury, mechanism unspecified",388,1
35-44,Deaths,Intentional self-harm,2502,6.2
35-44,Deaths,Assault,732,1.8
35-44,Deaths,Other or no mechanism specified,152,0.4
45-54,Deaths,Motor Vehicle Crashes,1484,3.4
45-54,Deaths,Unintentional Falls,908,2.1
45-54,Deaths,Unintentionally struck by or against an object,62,0.1
45-54,Deaths,"Other unintentional injury, mechanism unspecified",618,1.4
45-54,Deaths,Intentional self-harm,3334,7.7
45-54,Deaths,Assault,633,1.5
45-54,Deaths,Other or no mechanism specified,297,0.7
55-64,Deaths,Motor Vehicle Crashes,1287,3.2
55-64,Deaths,Unintentional Falls,1674,4.2
55-64,Deaths,Unintentionally struck by or against an object,70,0.2
55-64,Deaths,"Other unintentional injury, mechanism unspecified",585,1.5
55-64,Deaths,Intentional self-harm,3233,8.1
55-64,Deaths,Assault,410,1
55-64,Deaths,Other or no mechanism specified,393,1
65-74,Deaths,Motor Vehicle Crashes,797,3
65-74,Deaths,Unintentional Falls,2324,8.8
65-74,Deaths,Unintentionally struck by or against an object,60,0.2
65-74,Deaths,"Other unintentional injury, mechanism unspecified",504,1.9
65-74,Deaths,Intentional self-harm,2244,8.5
65-74,Deaths,Assault,241,0.9
65-74,Deaths,Other or no mechanism specified,356,1.3
75+,Deaths,Motor Vehicle Crashes,794,4
75+,Deaths,Unintentional Falls,10400,52.4
75+,Deaths,Unintentionally struck by or against an object,44,0.2
75+,Deaths,"Other unintentional injury, mechanism unspecified",859,4.3
75+,Deaths,Intentional self-harm,2212,11.2
75+,Deaths,Assault,174,0.9
75+,Deaths,Other or no mechanism specified,1079,5.4
Total,Deaths,Motor Vehicle Crashes,10656,3.3
Total,Deaths,Unintentional Falls,15939,5
Total,Deaths,Unintentionally struck by or against an object,378,0.1
Total,Deaths,"Other unintentional injury, mechanism unspecified",3889,1.2
Total,Deaths,Intentional self-harm,18485,5.8
Total,Deaths,Assault,4906,1.5
Total,Deaths,Other or no mechanism specified,2547,0.8
