name,sex,event,equipment,age,age_class,division,bodyweight_kg,weight_class_kg,best3squat_kg,best3bench_kg,best3deadlift_kg,place,date,federation,meet_name
Kurt Rooch,M,B,Single-ply,35.5,35-39,NA,66.9,67.5,NA,190,NA,1,1993-12-12,IPF,World Bench Press Championships
David Merabishvili,M,B,Single-ply,26.5,24-34,NA,66.9,67.5,NA,175,NA,2,1993-12-12,IPF,World Bench Press Championships
Vladimir Alexandrovich,M,B,Single-ply,25.5,24-34,NA,67.2,67.5,NA,172.5,NA,3,1993-12-12,IPF,World Bench Press Championships
Sakari Selkäinaho,M,B,Single-ply,30.5,24-34,NA,66.9,67.5,NA,170,NA,4,1993-12-12,IPF,World Bench Press Championships
Chuck Brunson,M,B,Single-ply,30.5,24-34,NA,67,67.5,NA,170,NA,5,1993-12-12,IPF,World Bench Press Championships
Olexandr Chernyshov,M,B,Single-ply,26.5,24-34,NA,66.5,67.5,NA,162.5,NA,6,1993-12-12,IPF,World Bench Press Championships
Michael McCrohon,M,B,Single-ply,28.5,24-34,NA,63.9,67.5,NA,157.5,NA,7,1993-12-12,IPF,World Bench Press Championships
Roman Ryska,M,B,Single-ply,19.5,20-23,NA,65.5,67.5,NA,157.5,NA,8,1993-12-12,IPF,World Bench Press Championships
Agosti Piqueras,M,B,Single-ply,NA,NA,NA,65.8,67.5,NA,155,NA,9,1993-12-12,IPF,World Bench Press Championships
Owen Davies,M,B,Single-ply,31.5,24-34,NA,65,67.5,NA,145,NA,10,1993-12-12,IPF,World Bench Press Championships
Rudolf Böhm,M,B,Single-ply,40.5,40-44,NA,64.7,67.5,NA,142.5,NA,11,1993-12-12,IPF,World Bench Press Championships
Jason McNeil,M,B,Single-ply,17.5,18-19,NA,66.4,67.5,NA,140,NA,12,1993-12-12,IPF,World Bench Press Championships
Peter Bukovski,M,B,Single-ply,49.5,45-49,NA,66.9,67.5,NA,135,NA,13,1993-12-12,IPF,World Bench Press Championships
Viktor Kim,M,B,Single-ply,29.5,24-34,NA,62.6,67.5,NA,NA,NA,DQ,1993-12-12,IPF,World Bench Press Championships
Rudiger Riehm,M,B,Single-ply,27.5,24-34,NA,74.7,75,NA,205,NA,1,1993-12-12,IPF,World Bench Press Championships
Alvi Eriksson,M,B,Single-ply,34.5,24-34,NA,74.3,75,NA,200,NA,2,1993-12-12,IPF,World Bench Press Championships
Risto Leskenmaa,M,B,Single-ply,42,40-44,NA,74.5,75,NA,197.5,NA,3,1993-12-12,IPF,World Bench Press Championships
Pavel Chernyshov,M,B,Single-ply,31.5,24-34,NA,74.2,75,NA,195,NA,4,1993-12-12,IPF,World Bench Press Championships
Leonard McCormick,M,B,Single-ply,23.5,24-34,NA,74.2,75,NA,190,NA,5,1993-12-12,IPF,World Bench Press Championships
Susumu Otani,M,B,Single-ply,40.5,40-44,NA,74,75,NA,185,NA,6,1993-12-12,IPF,World Bench Press Championships
Dmytro Solovyov,M,B,Single-ply,22.5,20-23,NA,72.8,75,NA,177.5,NA,7,1993-12-12,IPF,World Bench Press Championships
Kevin Sanders,M,B,Single-ply,30.5,24-34,NA,74.5,75,NA,175,NA,8,1993-12-12,IPF,World Bench Press Championships
Rene Imesch,M,B,Single-ply,30,24-34,NA,73.4,75,NA,170,NA,9,1993-12-12,IPF,World Bench Press Championships
Janos Bennarik,M,B,Single-ply,21.5,20-23,NA,74.5,75,NA,170,NA,10,1993-12-12,IPF,World Bench Press Championships
Michael Wegerer,M,B,Single-ply,22.5,20-23,NA,74.1,75,NA,165,NA,11,1993-12-12,IPF,World Bench Press Championships
Patrick LeBlevennec,M,B,Single-ply,30,24-34,NA,73.9,75,NA,162.5,NA,12,1993-12-12,IPF,World Bench Press Championships
Herbert Haas,M,B,Single-ply,43.5,40-44,NA,74.7,75,NA,162.5,NA,13,1993-12-12,IPF,World Bench Press Championships
Arthur Hirner,M,B,Single-ply,34.5,24-34,NA,82.3,82.5,NA,212.5,NA,1,1993-12-12,IPF,World Bench Press Championships
Jarmo Rantakallio,M,B,Single-ply,30.5,24-34,NA,81.5,82.5,NA,200,NA,2,1993-12-12,IPF,World Bench Press Championships
Robert DeCourt,M,B,Single-ply,27.5,24-34,NA,77,82.5,NA,197.5,NA,3,1993-12-12,IPF,World Bench Press Championships
Benedict Chen,M,B,Single-ply,27.5,24-34,NA,80.2,82.5,NA,197.5,NA,4,1993-12-12,IPF,World Bench Press Championships
Volodymyr Makhnyuk,M,B,Single-ply,35.5,35-39,NA,80.6,82.5,NA,197.5,NA,5,1993-12-12,IPF,World Bench Press Championships
Manfred Sabathy,M,B,Single-ply,31.5,24-34,NA,81.4,82.5,NA,190,NA,6,1993-12-12,IPF,World Bench Press Championships
László Mészáros,M,B,Single-ply,24.5,24-34,NA,79.4,82.5,NA,187.5,NA,7,1993-12-12,IPF,World Bench Press Championships
Tibor Kustán,M,B,Single-ply,22.5,20-23,NA,78.2,82.5,NA,185,NA,8,1993-12-12,IPF,World Bench Press Championships
Thomas Albrecht,M,B,Single-ply,27.5,24-34,NA,81.8,82.5,NA,185,NA,9,1993-12-12,IPF,World Bench Press Championships
Roman Szymkowiak,M,B,Single-ply,33.5,24-34,NA,81.8,82.5,NA,185,NA,10,1993-12-12,IPF,World Bench Press Championships
Michal Sekot,M,B,Single-ply,31.5,24-34,NA,82,82.5,NA,177.5,NA,11,1993-12-12,IPF,World Bench Press Championships
Saint-Miguel Crebouw,M,B,Single-ply,24.5,24-34,NA,81.3,82.5,NA,165,NA,12,1993-12-12,IPF,World Bench Press Championships
Scott Bloom,M,B,Single-ply,21.5,20-23,NA,81,82.5,NA,160,NA,13,1993-12-12,IPF,World Bench Press Championships
Max Rasmussen,M,B,Single-ply,35.5,35-39,NA,78.3,82.5,NA,147.5,NA,14,1993-12-12,IPF,World Bench Press Championships
Rudi Kollmann,M,B,Single-ply,36.5,35-39,NA,89.3,90,NA,230,NA,1,1993-12-12,IPF,World Bench Press Championships
Alexander Lekomtsev,M,B,Single-ply,27.5,24-34,NA,87.9,90,NA,227.5,NA,2,1993-12-12,IPF,World Bench Press Championships
Veiko Friedrich,M,B,Single-ply,28,24-34,NA,88.6,90,NA,227.5,NA,3,1993-12-12,IPF,World Bench Press Championships
Jari Tähtinen,M,B,Single-ply,37.5,35-39,NA,88.9,90,NA,220,NA,4,1993-12-12,IPF,World Bench Press Championships
Mykhailo Solomin,M,B,Single-ply,21.5,20-23,NA,87.2,90,NA,210,NA,5,1993-12-12,IPF,World Bench Press Championships
Gabor Kiss #1,M,B,Single-ply,25.5,24-34,NA,88.7,90,NA,210,NA,6,1993-12-12,IPF,World Bench Press Championships
Sergey Sharov,M,B,Single-ply,28.5,24-34,NA,89,90,NA,210,NA,7,1993-12-12,IPF,World Bench Press Championships
Günter Königer,M,B,Single-ply,26.5,24-34,NA,89.4,90,NA,207.5,NA,8,1993-12-12,IPF,World Bench Press Championships
Jeff Edwards,M,B,Single-ply,36.5,35-39,NA,89.3,90,NA,205,NA,9,1993-12-12,IPF,World Bench Press Championships
Miguel Marie-Sainte,M,B,Single-ply,24.5,24-34,NA,88.7,90,NA,202.5,NA,10,1993-12-12,IPF,World Bench Press Championships
Minoru Nakayama,M,B,Single-ply,36.5,35-39,NA,87.7,90,NA,200,NA,11,1993-12-12,IPF,World Bench Press Championships
Marek Lisien,M,B,Single-ply,24.5,24-34,NA,88.1,90,NA,177.5,NA,12,1993-12-12,IPF,World Bench Press Championships
Jaroslav Brenkus,M,B,Single-ply,32.5,24-34,NA,87.5,90,NA,175,NA,13,1993-12-12,IPF,World Bench Press Championships
Manuel Bezerra,M,B,Single-ply,27.5,24-34,NA,89,90,NA,NA,NA,DQ,1993-12-12,IPF,World Bench Press Championships
Frank Pfraumer,M,B,Single-ply,25.5,24-34,NA,97.8,100,NA,255,NA,1,1993-12-12,IPF,World Bench Press Championships
Julius Eilenberger,M,B,Single-ply,39.5,35-39,NA,100,100,NA,235,NA,2,1993-12-12,IPF,World Bench Press Championships
Hitashi Nashiro,M,B,Single-ply,44.5,40-44,NA,93.8,100,NA,230,NA,3,1993-12-12,IPF,World Bench Press Championships
Elijah Brown,M,B,Single-ply,30.5,24-34,NA,99.7,100,NA,227.5,NA,4,1993-12-12,IPF,World Bench Press Championships
Sulevi Eriksen,M,B,Single-ply,37.5,35-39,NA,98.1,100,NA,217.5,NA,5,1993-12-12,IPF,World Bench Press Championships
Milan Gabrhel,M,B,Single-ply,34.5,24-34,NA,99.5,100,NA,215,NA,6,1993-12-12,IPF,World Bench Press Championships
Oleksiy Solovyov,M,B,Single-ply,18,18-19,NA,92.5,100,NA,207.5,NA,7,1993-12-12,IPF,World Bench Press Championships
Wolfgang Stocker,M,B,Single-ply,31.5,24-34,NA,96.1,100,NA,200,NA,8,1993-12-12,IPF,World Bench Press Championships
Marumichi Ishikawa,M,B,Single-ply,36.5,35-39,NA,97.9,100,NA,195,NA,9,1993-12-12,IPF,World Bench Press Championships
Josef Mička,M,B,Single-ply,43.5,40-44,NA,90.9,100,NA,182.5,NA,10,1993-12-12,IPF,World Bench Press Championships
Roman Urbánek,M,B,Single-ply,36.5,35-39,NA,98.9,100,NA,177.5,NA,11,1993-12-12,IPF,World Bench Press Championships
Shota Bejashvili,M,B,Single-ply,36.5,35-39,NA,108.5,110,NA,245,NA,1,1993-12-12,IPF,World Bench Press Championships
Esa Hangasmaa,M,B,Single-ply,34.5,24-34,NA,109.3,110,NA,230,NA,2,1993-12-12,IPF,World Bench Press Championships
Ahti Kokkonen,M,B,Single-ply,33.5,24-34,NA,109.6,110,NA,230,NA,3,1993-12-12,IPF,World Bench Press Championships
Hermann Neumuller,M,B,Single-ply,29.5,24-34,NA,104.5,110,NA,227.5,NA,4,1993-12-12,IPF,World Bench Press Championships
Franz Dytkiewicz,M,B,Single-ply,47,45-49,NA,103.3,110,NA,225,NA,5,1993-12-12,IPF,World Bench Press Championships
Michael Gasperec,M,B,Single-ply,24.5,24-34,NA,103.7,110,NA,222.5,NA,6,1993-12-12,IPF,World Bench Press Championships
Oleg Sliva,M,B,Single-ply,28.5,24-34,NA,105.8,110,NA,220,NA,7,1993-12-12,IPF,World Bench Press Championships
Sandor Loska,M,B,Single-ply,30.5,24-34,NA,108.1,110,NA,217.5,NA,8,1993-12-12,IPF,World Bench Press Championships
Anatoliy Koshelap,M,B,Single-ply,37.5,35-39,NA,106.5,110,NA,215,NA,9,1993-12-12,IPF,World Bench Press Championships
Laszlo Fehervary,M,B,Single-ply,30.5,24-34,NA,105.3,110,NA,210,NA,10,1993-12-12,IPF,World Bench Press Championships
Miroslaw Coufal,M,B,Single-ply,40.5,40-44,NA,107.7,110,NA,180,NA,11,1993-12-12,IPF,World Bench Press Championships
Yuriy Chelobitchikov,M,B,Single-ply,28.5,24-34,NA,124.1,125,NA,255,NA,1,1993-12-12,IPF,World Bench Press Championships
Christian Nebel,M,B,Single-ply,28.5,24-34,NA,119.4,125,NA,245,NA,2,1993-12-12,IPF,World Bench Press Championships
Mario Böttcher,M,B,Single-ply,32.5,24-34,NA,121.6,125,NA,245,NA,3,1993-12-12,IPF,World Bench Press Championships
Chuck Harris,M,B,Single-ply,23.5,24-34,NA,119.6,125,NA,227.5,NA,4,1993-12-12,IPF,World Bench Press Championships
Christopher Lawton,M,B,Single-ply,46.5,45-49,NA,114.3,125,NA,225,NA,5,1993-12-12,IPF,World Bench Press Championships
Lasse Tammi,M,B,Single-ply,31.5,24-34,NA,110.4,125,NA,222.5,NA,6,1993-12-12,IPF,World Bench Press Championships
Tibor Bak,M,B,Single-ply,35.5,35-39,NA,116.9,125,NA,220,NA,7,1993-12-12,IPF,World Bench Press Championships
Huai-Chin Liang,M,B,Single-ply,25.5,24-34,NA,111,125,NA,210,NA,8,1993-12-12,IPF,World Bench Press Championships
Chien-Hsiung Chao,M,B,Single-ply,23.5,24-34,NA,124,125,NA,210,NA,9,1993-12-12,IPF,World Bench Press Championships
Franz Mares,M,B,Single-ply,33.5,24-34,NA,110.7,125,NA,200,NA,10,1993-12-12,IPF,World Bench Press Championships
Eduard Grinkevitch,M,B,Single-ply,26.5,24-34,NA,110.5,125,NA,NA,NA,DQ,1993-12-12,IPF,World Bench Press Championships
Karl Saliger,M,B,Single-ply,23.5,24-34,NA,139,125+,NA,255,NA,1,1993-12-12,IPF,World Bench Press Championships
Keith Bazemore,M,B,Single-ply,26.5,24-34,NA,141.1,125+,NA,240,NA,2,1993-12-12,IPF,World Bench Press Championships
Antonín Šota,M,B,Single-ply,40.5,40-44,NA,133.9,125+,NA,220,NA,3,1993-12-12,IPF,World Bench Press Championships
Robert Varadi,M,B,Single-ply,20.5,20-23,NA,134.3,125+,NA,220,NA,4,1993-12-12,IPF,World Bench Press Championships
Attila Leverecki,M,B,Single-ply,29.5,24-34,NA,128.3,125+,NA,217.5,NA,5,1993-12-12,IPF,World Bench Press Championships
Valery Sidorenko,M,B,Single-ply,36.5,35-39,NA,142.9,125+,NA,210,NA,6,1993-12-12,IPF,World Bench Press Championships
Oleg Gordynets,M,B,Single-ply,28.5,24-34,NA,132.8,125+,NA,200,NA,7,1993-12-12,IPF,World Bench Press Championships
Clive Lambert,M,B,Single-ply,29.5,24-34,NA,140,125+,NA,200,NA,8,1993-12-12,IPF,World Bench Press Championships
Cheng-Tsung Wu,M,B,Single-ply,20.5,20-23,NA,156,125+,NA,190,NA,9,1993-12-12,IPF,World Bench Press Championships
Anna James,F,B,Single-ply,36.5,35-39,NA,43.9,44,NA,67.5,NA,1,1993-12-12,IPF,World Bench Press Championships
Ingrid Grill,F,B,Single-ply,30.5,24-34,NA,42.5,44,NA,65,NA,2,1993-12-12,IPF,World Bench Press Championships
Yurika Asami,F,B,Single-ply,28.5,24-34,NA,43.5,44,NA,62.5,NA,3,1993-12-12,IPF,World Bench Press Championships
Raija Anneli Koskinen,F,B,Single-ply,29.5,24-34,NA,43.6,44,NA,62.5,NA,4,1993-12-12,IPF,World Bench Press Championships
Valeria Somodi,F,B,Single-ply,17.5,18-19,NA,42.9,44,NA,57.5,NA,5,1993-12-12,IPF,World Bench Press Championships
Irina Krylova,F,B,Single-ply,14.5,13-15,NA,47.5,48,NA,92.5,NA,1,1993-12-12,IPF,World Bench Press Championships
Tsuko Watanabe,F,B,Single-ply,30.5,24-34,NA,47.3,48,NA,82.5,NA,2,1993-12-12,IPF,World Bench Press Championships
Elena Yamskich,F,B,Single-ply,18.5,18-19,NA,47.4,48,NA,82.5,NA,3,1993-12-12,IPF,World Bench Press Championships
Lai-Hsiu Chang,F,B,Single-ply,35.5,35-39,NA,47.1,48,NA,80,NA,4,1993-12-12,IPF,World Bench Press Championships
Heike Roth,F,B,Single-ply,32.5,24-34,NA,46.4,48,NA,75,NA,5,1993-12-12,IPF,World Bench Press Championships
Deborah Armstrong,F,B,Single-ply,23.5,24-34,NA,47.6,48,NA,70,NA,6,1993-12-12,IPF,World Bench Press Championships
Yuko Watanabe,F,B,Single-ply,27.5,24-34,NA,46.5,48,NA,50,NA,7,1993-12-12,IPF,World Bench Press Championships
Adrienn Barath,F,B,Single-ply,18.5,18-19,NA,47,48,NA,50,NA,8,1993-12-12,IPF,World Bench Press Championships
Tuula Saari,F,B,Single-ply,30.5,24-34,NA,46.9,48,NA,NA,NA,DQ,1993-12-12,IPF,World Bench Press Championships
Svetlana Stepanova,F,B,Single-ply,17.5,18-19,NA,50.9,52,NA,92.5,NA,1,1993-12-12,IPF,World Bench Press Championships
Tuija Karjalainen,F,B,Single-ply,27.5,24-34,NA,50.9,52,NA,87.5,NA,2,1993-12-12,IPF,World Bench Press Championships
Marion Braun,F,B,Single-ply,20.5,20-23,NA,50.6,52,NA,85,NA,3,1993-12-12,IPF,World Bench Press Championships
Heike Krabbenhoft,F,B,Single-ply,29.5,24-34,NA,51.6,52,NA,82.5,NA,4,1993-12-12,IPF,World Bench Press Championships
Dagmar Wang,F,B,Single-ply,44.5,40-44,NA,51.4,52,NA,80,NA,5,1993-12-12,IPF,World Bench Press Championships
Ya-Ling Chen,F,B,Single-ply,30.5,24-34,NA,51.6,52,NA,80,NA,6,1993-12-12,IPF,World Bench Press Championships
Dana Orenicova,F,B,Single-ply,17.5,18-19,NA,51.6,52,NA,77.5,NA,7,1993-12-12,IPF,World Bench Press Championships
Alena Záhumenská,F,B,Single-ply,17.5,18-19,NA,50.6,52,NA,75,NA,8,1993-12-12,IPF,World Bench Press Championships
Li-Ming Lin,F,B,Single-ply,22.5,20-23,NA,49.7,52,NA,72.5,NA,9,1993-12-12,IPF,World Bench Press Championships
Lajosne Csakvari,F,B,Single-ply,17.5,18-19,NA,51,52,NA,65,NA,10,1993-12-12,IPF,World Bench Press Championships
Peterne Olah,F,B,Single-ply,24.5,24-34,NA,49.7,52,NA,50,NA,11,1993-12-12,IPF,World Bench Press Championships
Svanhild Brekke,F,B,Single-ply,25.5,24-34,NA,55.8,56,NA,95,NA,1,1993-12-12,IPF,World Bench Press Championships
Liubou Bialova,F,B,Single-ply,32.5,24-34,NA,55.8,56,NA,92.5,NA,2,1993-12-12,IPF,World Bench Press Championships
Leila Vaisainen,F,B,Single-ply,30.5,24-34,NA,55.2,56,NA,90,NA,3,1993-12-12,IPF,World Bench Press Championships
Ludmila Bogomolova,F,B,Single-ply,31.5,24-34,NA,55.6,56,NA,90,NA,4,1993-12-12,IPF,World Bench Press Championships
Sylvie Mingot,F,B,Single-ply,23.5,24-34,NA,52.9,56,NA,87.5,NA,5,1993-12-12,IPF,World Bench Press Championships
Nathalie Abellan,F,B,Single-ply,29.5,24-34,NA,55.7,56,NA,87.5,NA,6,1993-12-12,IPF,World Bench Press Championships
Elena Fomina,F,B,Single-ply,23.5,24-34,NA,55.7,56,NA,85,NA,7,1993-12-12,IPF,World Bench Press Championships
Virpi Ahjo,F,B,Single-ply,22.5,20-23,NA,55.8,56,NA,85,NA,8,1993-12-12,IPF,World Bench Press Championships
Tunde Molnar,F,B,Single-ply,20.5,20-23,NA,55.1,56,NA,65,NA,9,1993-12-12,IPF,World Bench Press Championships
Violett Keidel,F,B,Single-ply,28.5,24-34,NA,58.3,60,NA,110,NA,1,1993-12-12,IPF,World Bench Press Championships
Helena Heiniluoma,F,B,Single-ply,30.5,24-34,NA,58.2,60,NA,107.5,NA,2,1993-12-12,IPF,World Bench Press Championships
Eriko Himeno,F,B,Single-ply,28.5,24-34,NA,59.2,60,NA,105,NA,3,1993-12-12,IPF,World Bench Press Championships
Natalya Ivanova,F,B,Single-ply,28.5,24-34,NA,59.5,60,NA,95,NA,4,1993-12-12,IPF,World Bench Press Championships
Michaela Meitz,F,B,Single-ply,32.5,24-34,NA,58.9,60,NA,92.5,NA,5,1993-12-12,IPF,World Bench Press Championships
Minna Tolppi,F,B,Single-ply,19.5,20-23,NA,58.1,60,NA,90,NA,6,1993-12-12,IPF,World Bench Press Championships
Sandrine Blois,F,B,Single-ply,17.5,18-19,NA,57.1,60,NA,85,NA,7,1993-12-12,IPF,World Bench Press Championships
Ibolya Hollo,F,B,Single-ply,27.5,24-34,NA,60,60,NA,82.5,NA,8,1993-12-12,IPF,World Bench Press Championships
Theresa Pal,F,B,Single-ply,49.5,45-49,NA,57.8,60,NA,75,NA,9,1993-12-12,IPF,World Bench Press Championships
Diane Zitoune,F,B,Single-ply,23.5,24-34,NA,66.1,67.5,NA,110,NA,1,1993-12-12,IPF,World Bench Press Championships
Krisztina Vass,F,B,Single-ply,20.5,20-23,NA,64.7,67.5,NA,102.5,NA,2,1993-12-12,IPF,World Bench Press Championships
Nataliya Lyakina,F,B,Single-ply,22.5,20-23,NA,67.5,67.5,NA,102.5,NA,3,1993-12-12,IPF,World Bench Press Championships
Iris Kunkel,F,B,Single-ply,29,24-34,NA,61.8,67.5,NA,100,NA,4,1993-12-12,IPF,World Bench Press Championships
Mariann Molnar,F,B,Single-ply,17.5,18-19,NA,63.1,67.5,NA,97.5,NA,5,1993-12-12,IPF,World Bench Press Championships
Elena Malitzkaya,F,B,Single-ply,26.5,24-34,NA,63.7,67.5,NA,95,NA,6,1993-12-12,IPF,World Bench Press Championships
Alexandra Koller,F,B,Single-ply,22.5,20-23,NA,66.3,67.5,NA,92.5,NA,7,1993-12-12,IPF,World Bench Press Championships
Elena Kondratova,F,B,Single-ply,19.5,20-23,NA,64.2,67.5,NA,87.5,NA,8,1993-12-12,IPF,World Bench Press Championships
Tutta Vlivinkka,F,B,Single-ply,21.5,20-23,NA,66.7,67.5,NA,70,NA,9,1993-12-12,IPF,World Bench Press Championships
Shizuka Kumagai,F,B,Single-ply,17.5,18-19,NA,64.8,67.5,NA,57.5,NA,10,1993-12-12,IPF,World Bench Press Championships
Svetlana Savina,F,B,Single-ply,33.5,24-34,NA,74.3,75,NA,112.5,NA,1,1993-12-12,IPF,World Bench Press Championships
Inna Orobets,F,B,Single-ply,21.5,20-23,NA,74.8,75,NA,112.5,NA,2,1993-12-12,IPF,World Bench Press Championships
Natascha Spohr,F,B,Single-ply,26.5,24-34,NA,73.3,75,NA,105,NA,3,1993-12-12,IPF,World Bench Press Championships
Gabriele Fuchs,F,B,Single-ply,29.5,24-34,NA,73.5,75,NA,100,NA,4,1993-12-12,IPF,World Bench Press Championships
Zita Urbančíková,F,B,Single-ply,20.5,20-23,NA,69.5,75,NA,80,NA,5,1993-12-12,IPF,World Bench Press Championships
Martina Schmale,F,B,Single-ply,31.5,24-34,NA,75.5,82.5,NA,125,NA,1,1993-12-12,IPF,World Bench Press Championships
Katja Turunen,F,B,Single-ply,20.5,20-23,NA,75.6,82.5,NA,100,NA,2,1993-12-12,IPF,World Bench Press Championships
Li-Chu Liu,F,B,Single-ply,27.5,24-34,NA,76.3,82.5,NA,97.5,NA,3,1993-12-12,IPF,World Bench Press Championships
Angelika Moser,F,B,Single-ply,26.5,24-34,NA,86.4,90,NA,120,NA,1,1993-12-12,IPF,World Bench Press Championships
Helena Koponen,F,B,Single-ply,28.5,24-34,NA,85,90,NA,117.5,NA,2,1993-12-12,IPF,World Bench Press Championships
