Entity,Code,Year,Commodity Balances - Livestock and Fish Primary Equivalent - Pelagic Fish - 2763 - Production - 5510 - tonnes,Commodity Balances - Livestock and Fish Primary Equivalent - Crustaceans - 2765 - Production - 5510 - tonnes,Commodity Balances - Livestock and Fish Primary Equivalent - Cephalopods - 2766 - Production - 5510 - tonnes,Commodity Balances - Livestock and Fish Primary Equivalent - Demersal Fish - 2762 - Production - 5510 - tonnes,Commodity Balances - Livestock and Fish Primary Equivalent - Freshwater Fish - 2761 - Production - 5510 - tonnes,"Commodity Balances - Livestock and Fish Primary Equivalent - Molluscs, Other - 2767 - Production - 5510 - tonnes","Commodity Balances - Livestock and Fish Primary Equivalent - Marine Fish, Other - 2764 - Production - 5510 - tonnes"
Africa,,1985,1533693,53375,112074,632460,1335247,8423,294934
Africa,,1986,1687365,68334,123612,605780,1456205,8468,381983
Africa,,1987,2329874,85172,137543,602249,1515851,10380,392551
Africa,,1988,2355341,73734,144946,586961,1607787,6730,364889
Africa,,1989,1947631,78087,146871,618421,1612132,7507,347816
Africa,,1990,1870184,81701,156562,606479,1731911,9231,451909
Africa,,1991,1819104,83759,177635,606516,1607402,11894,321373
Africa,,1992,2489782,83584,150452,705105,1665257,11286,347323
Africa,,1993,2504310,91569,166163,638531,1678236,11199,353432
Africa,,1994,2397782,95190,147876,698945,1672657,11773,357100
Africa,,1995,2449667,114983,161100,776505,1871318,15463,339280
Africa,,1996,2210867,98001,152048,830227,1811720,13599,389794
Africa,,1997,2465515,120157,131126,846108,1862113,12662,420674
Africa,,1998,2496014,124888,163753,947547,1925344,18376,368977
Africa,,1999,2537300,131274,216297,950881,2005964,14347,472966
Africa,,2000,2881675,135956,221096,1026279,2129618,13807,351265
Africa,,2001,3119718,140737,207079,1088381,2124342,17034,409744
Africa,,2002,2980776,155635,150793,1121426,2180268,17971,410920
Africa,,2003,3204603,154847,136881,1209335,2289004,16624,358680
Africa,,2004,3236499,146433,118082,1212576,2442903,14647,451199
Africa,,2005,3133150,155162,143088,1210793,2605228,16630,493954
Africa,,2006,2769067,149032,128106,1270077,2560286,17015,463607
Africa,,2007,2740498,147890,130227,1299693,2765418,18071,476933
Africa,,2008,2888907,126624,129455,1269500,2903216,22431,435797
Africa,,2009,2932343,131371,147967,1264586,3004208,26252,460824
Africa,,2010,3091687,129715,117327,1238570,3440570,27355,419464
Africa,,2011,2856275,129562,124210,1230591,3664746,25055,443768
Africa,,2012,3279409,128898,114676,1283702,3628645,23703,426628
Africa,,2013,2998703,137334,149570,1262558,3753650,30269,421852
Albania,ALB,1961,0,0,0,0,1100,0,2100
Albania,ALB,1962,0,0,0,0,1000,0,1800
Albania,ALB,1963,0,0,0,0,1000,0,2000
Albania,ALB,1964,0,0,0,0,1000,0,2000
Albania,ALB,1965,0,0,0,0,1400,0,2600
Albania,ALB,1966,0,0,0,0,1400,0,2600
Albania,ALB,1967,0,0,0,0,1700,0,3300
Albania,ALB,1968,0,0,0,0,2000,0,4000
Albania,ALB,1969,0,0,0,0,2400,0,4600
Albania,ALB,1970,0,0,0,0,2700,0,5300
Albania,ALB,1971,0,0,0,0,2700,0,5300
Albania,ALB,1972,0,0,0,0,2700,0,5300
Albania,ALB,1973,0,0,0,0,2700,0,5300
Albania,ALB,1974,0,0,0,0,3000,0,5500
Albania,ALB,1975,0,0,0,0,3000,0,5500
Albania,ALB,1976,0,0,0,0,3000,2,5498
Albania,ALB,1977,0,0,0,0,3000,10,5490
Albania,ALB,1978,0,0,0,0,3000,10,5990
Albania,ALB,1979,0,0,0,0,3000,50,5950
Albania,ALB,1980,0,0,0,0,3000,100,5900
Albania,ALB,1981,0,0,0,0,3033,200,6143
Albania,ALB,1982,0,0,0,0,3377,414,5720
Albania,ALB,1983,2503,0,0,2144,3065,842,1261
Albania,ALB,1984,2071,0,0,1383,2723,906,923
Albania,ALB,1985,5050,0,0,1512,3078,902,857
Albania,ALB,1986,3664,0,0,1774,3196,1752,1536
Albania,ALB,1987,4805,154,0,2234,2439,2520,982
Albania,ALB,1988,4627,220,0,2238,2838,3607,1029
Albania,ALB,1989,2673,208,0,1694,2864,2037,2485
Albania,ALB,1990,3881,45,0,3584,2167,4624,714
Albania,ALB,1991,510,20,0,1082,978,710,571
Albania,ALB,1992,54,15,0,1603,1016,357,48
Albania,ALB,1993,70,10,0,1281,954,324,250
Albania,ALB,1994,115,5,0,817,795,313,450
Albania,ALB,1995,294,30,112,586,292,300,105
Albania,ALB,1996,313,34,155,939,430,250,327
Albania,ALB,1997,60,22,126,503,187,104,108
Albania,ALB,1998,140,26,237,1195,739,100,370
Albania,ALB,1999,181,23,234,1199,845,200,375
Albania,ALB,2000,186,22,225,1257,955,200,789
Albania,ALB,2001,203,100,111,1277,1443,150,312
Albania,ALB,2002,244,182,242,1695,1479,350,323
Albania,ALB,2003,222,204,225,1195,1563,860,4
Albania,ALB,2004,248,314,278,1865,1858,800,720
Albania,ALB,2005,292,251,186,1776,2146,860,944
Albania,ALB,2006,394,205,271,2431,2125,1360,900
Albania,ALB,2007,405,223,210,1948,2587,1360,772
Albania,ALB,2008,460,221,251,2133,2497,950,852
Albania,ALB,2009,518,291,295,2134,2659,1250,980
Albania,ALB,2010,368,243,209,2141,2416,1410,848
Albania,ALB,2011,407,220,255,1737,1888,1300,1019
Albania,ALB,2012,292,313,366,2172,2175,760,875
Albania,ALB,2013,346,362,424,2426,2271,800,830
Algeria,DZA,1961,20100,2000,0,1300,0,0,7000
Algeria,DZA,1962,11300,1700,0,1500,0,0,7000
Algeria,DZA,1963,12200,900,0,1500,0,0,2300
Algeria,DZA,1964,12500,1200,0,1700,0,0,1900
Algeria,DZA,1965,14200,1100,0,1000,0,0,2000
Algeria,DZA,1966,14450,1300,0,1800,0,0,2800
Algeria,DZA,1967,14550,2000,0,2100,0,0,2500
Algeria,DZA,1968,13150,1400,0,1500,0,0,2200
Algeria,DZA,1969,16150,1100,0,1800,0,0,4100
Algeria,DZA,1970,19334,1000,0,3900,0,0,0
Algeria,DZA,1971,19052,943,0,3458,0,0,262
Algeria,DZA,1972,22945,895,0,4473,0,0,0
Algeria,DZA,1973,24512,1330,0,4801,0,0,600
Algeria,DZA,1974,27478,2290,0,5620,50,0,320
Algeria,DZA,1975,30715,1546,0,5146,0,0,286
Algeria,DZA,1976,27633,1443,0,5846,0,0,200
Algeria,DZA,1977,35623,1578,0,6042,0,0,232
Algeria,DZA,1978,25603,1792,0,6471,0,0,277
Algeria,DZA,1979,29539,1740,0,7243,0,0,156
Algeria,DZA,1980,36660,2160,0,8990,0,0,190
Algeria,DZA,1981,42770,2520,0,10490,0,0,220
Algeria,DZA,1982,49260,2900,0,12080,0,0,260
Algeria,DZA,1983,49643,2923,0,12172,0,2,262
Algeria,DZA,1984,50025,2947,0,12289,61,9,264
Algeria,DZA,1985,50380,3001,0,12379,102,9,270
Algeria,DZA,1986,56121,6053,0,3123,204,10,0
Algeria,DZA,1987,82220,7188,0,4728,219,11,0
Algeria,DZA,1988,100160,1960,0,4355,259,4,0
Algeria,DZA,1989,81831,2773,755,9767,339,4,4083
Algeria,DZA,1990,76251,2555,650,8148,361,22,2612
Algeria,DZA,1991,67005,2160,550,7163,74,52,2836
Algeria,DZA,1992,82086,2390,650,8282,116,20,1869
Algeria,DZA,1993,87250,2605,750,9440,200,37,1912
Algeria,DZA,1994,118135,3030,900,10657,306,26,2737
Algeria,DZA,1995,91026,2105,834,8057,299,30,3890
Algeria,DZA,1996,66984,2364,810,7903,261,25,3964
Algeria,DZA,1997,76431,2858,942,7586,261,25,3799
Algeria,DZA,1998,75272,3646,1307,9766,253,22,2351
Algeria,DZA,1999,85558,3285,886,9300,200,14,3403
Algeria,DZA,2000,89891,4245,916,8832,279,21,9324
Algeria,DZA,2001,114249,3150,929,9349,358,32,6010
Algeria,DZA,2002,113272,2949,969,10449,377,31,6749
Algeria,DZA,2003,116163,2654,1480,12394,393,19,8271
Algeria,DZA,2004,99616,2637,1340,9874,571,10,0
Algeria,DZA,2005,110790,2806,1899,10769,353,10,0
Algeria,DZA,2006,132333,2332,1364,9742,263,16,0
Algeria,DZA,2007,125377,1846,2319,11332,354,87,6452
Algeria,DZA,2008,106120,2199,1609,14554,2718,22,14419
Algeria,DZA,2009,97994,2612,1298,12111,2091,11,13560
Algeria,DZA,2010,65906,1866,1122,10866,1635,100,13871
Algeria,DZA,2011,72343,2202,1482,12421,2038,28,13489
Algeria,DZA,2012,73587,2312,1444,11910,2275,30,16648
Algeria,DZA,2013,73587,2312,1444,11910,2275,30,16648
Americas,,1961,7328628,392193,18718,1254886,488474,654512,188332
Americas,,1962,9245309,414699,10703,1411063,515689,652791,216483
Americas,,1963,9134998,443741,14664,1423334,488713,688018,228464
Americas,,1964,11629603,449673,24216,1417771,539124,702957,247118
Americas,,1965,9598053,507120,20167,1529053,541396,703613,262649
Americas,,1966,11434003,527849,20932,1601013,585716,705255,270472
Americas,,1967,12437642,551585,25476,1535744,500580,706310,328028
Americas,,1968,13354843,532532,20852,1591894,622720,723924,342416
Americas,,1969,11862976,557148,16742,1479946,516974,710969,316423
Americas,,1970,15569929,630290,18100,1551000,592024,818065,332300
Americas,,1971,14105670,646350,24900,1522965,529400,798765,349800
Americas,,1972,7437643,670804,19962,1516751,556510,788220,376800
Americas,,1973,4754866,658453,18300,1787541,583145,779070,638500
Americas,,1974,7257805,657272,28824,1568642,597498,796834,364737
Americas,,1975,6472040,637045,28614,1528253,587793,843841,375425
Americas,,1976,8127907,682414,45470,1691238,623540,857592,344582
Americas,,1977,6344974,742980,60240,1889513,672831,918833,350531
Americas,,1978,8194385,786971,130431,2380704,733889,1022446,471454
Americas,,1979,9312232,795376,227247,2352432,726243,999737,560123
Americas,,1980,8850515,776650,94415,2389011,859648,1029790,575818
Americas,,1981,9143821,780762,79513,2605791,987657,1253034,741627
Americas,,1982,10605059,756450,96043,2798021,1024162,1124545,467960
Americas,,1983,8632920,769150,76415,2759341,1063553,1102395,553745
Americas,,1984,11297403,795349,72742,2953873,1102151,1479546,606035
Americas,,1985,12699719,827384,72309,3354492,1173569,1265146,753524
Americas,,1986,14642500,896856,88685,3866004,1200609,1144051,794865
Americas,,1987,12681433,922396,107955,4596257,1232365,1229457,764579
Americas,,1988,14860303,940006,120453,4900455,1218684,1247522,730025
Americas,,1989,16193698,951267,143184,4730995,1323326,1245869,632830
Americas,,1990,14351204,956097,138845,4900677,1260988,1184122,807480
Americas,,1991,15204678,1077840,190507,4383088,1314641,1119253,867676
Americas,,1992,15924924,1087753,205504,4581737,1326567,1176334,663890
Americas,,1993,17185652,1077055,334402,4569970,1462434,1174555,661392
Americas,,1994,22167766,1037292,388328,4422167,1491054,1165798,687235
Americas,,1995,18705123,1039545,419726,4529697,1708923,1139430,644041
Americas,,1996,18665999,1055864,587845,4771667,1665873,1065552,550570
Americas,,1997,16555650,1148525,729994,4408898,1641704,1039683,576332
Americas,,1998,9500616,1242340,422180,4493897,1690861,1010456,793167
Americas,,1999,15643911,1240363,632232,4034241,1811039,1086579,617915
Americas,,2000,17390752,1139582,606529,3887062,1904443,1231076,615896
Americas,,2001,14516903,1177782,544855,4267028,2138357,1305905,534478
Americas,,2002,15709168,1256525,586010,4248498,2128246,1324768,458048
Americas,,2003,12291369,1374466,530151,4184038,2226273,1407003,411383
Americas,,2004,16733948,1372605,744162,4443403,2344894,1454352,465540
Americas,,2005,15756652,1374182,914799,4467244,2426028,1279293,474200
Americas,,2006,13101349,1549327,1191867,4613879,2392418,1386093,376440
Americas,,2007,13557950,1505603,979527,3990205,2426066,1474849,356019
Americas,,2008,13516182,1532701,1126658,3786325,2394045,1431511,295911
Americas,,2009,13154088,1533305,770838,3561203,2457543,1454818,315978
Americas,,2010,9555191,1603879,893206,3418703,2420234,1557160,305265
Americas,,2011,13890551,1691603,872845,4043621,2720733,1628808,303217
Americas,,2012,13409286,1719821,841461,3819934,2921107,1604859,303570
Americas,,2013,12576979,1728862,897341,3870117,3105279,1601549,284653
Angola,AGO,1961,193400,100,100,22300,5300,,25600
Angola,AGO,1962,194100,0,0,25400,5500,,49800
Angola,AGO,1963,186900,0,0,21300,5500,,31600
Angola,AGO,1964,305100,0,0,18600,5500,,32800
Angola,AGO,1965,213500,0,0,15600,5800,,28400
Angola,AGO,1966,279700,0,0,21900,5800,,27900
Angola,AGO,1967,248500,0,0,15800,6000,,29000
Angola,AGO,1968,243200,0,0,18200,6000,,35700
Angola,AGO,1969,369700,0,0,15400,6000,,34100
Angola,AGO,1970,314801,0,0,22200,6000,,31500
Angola,AGO,1971,254622,0,0,15800,6000,,47900
Angola,AGO,1972,514056,100,100,13700,6000,,72700
Angola,AGO,1973,391733,174,0,9491,6500,,70761
Angola,AGO,1974,322968,833,163,11886,6500,,57434
Angola,AGO,1975,140625,255,556,8857,7000,,3288
Angola,AGO,1976,56412,329,508,15085,7000,,2208
Angola,AGO,1977,92445,90,214,18862,7000,,1796
Angola,AGO,1978,99195,253,95,14091,7000,,4996
Angola,AGO,1979,89574,98,18,12141,7000,,4241
Angola,AGO,1980,67705,456,24,8460,7500,,940
Angola,AGO,1981,108253,88,72,12408,7500,,2636
Angola,AGO,1982,87394,58,87,12439,7500,,4010
Angola,AGO,1983,53469,58,87,3167,7500,,46095
Angola,AGO,1984,21661,32,14,802,7500,,65179
Angola,AGO,1985,52475,883,3,1808,7500,,37424
Angola,AGO,1986,43381,75,0,2873,8000,,30331
Angola,AGO,1987,27405,168,0,239,8000,,71678
Angola,AGO,1988,78685,327,27,416,8000,,38576
Angola,AGO,1989,81301,261,170,2098,8000,,45635
Angola,AGO,1990,77759,900,116,3725,8000,,42588
Angola,AGO,1991,53625,598,409,2343,7000,,53129
Angola,AGO,1992,46717,1188,593,5101,7000,,53026
Angola,AGO,1993,56794,1514,260,7998,7000,,52634
Angola,AGO,1994,49524,1944,1131,9213,7000,,63601
Angola,AGO,1995,59927,1220,242,10590,6000,,44802
Angola,AGO,1996,37683,2181,102,11276,6000,,80573
Angola,AGO,1997,57068,1718,0,6940,6000,,74578
Angola,AGO,1998,85865,2776,820,25080,6000,,42608
Angola,AGO,1999,106043,2523,858,28540,6000,,31835
Angola,AGO,2000,163889,3554,1502,33678,7005,,29728
Angola,AGO,2001,101950,4758,3672,58812,8011,,77361
Angola,AGO,2002,72511,6211,4168,86393,9051,,77160
Angola,AGO,2003,86637,4469,2096,88364,10072,,20467
Angola,AGO,2004,102283,4056,1757,87396,10092,,34510
Angola,AGO,2005,86547,2750,1200,82000,10126,,20119
Angola,AGO,2006,94722,1985,1361,94305,10656,,22868
Angola,AGO,2007,124514,2641,721,116290,24407,,38053
Angola,AGO,2008,123880,967,393,115801,25306,,39703
Angola,AGO,2009,105464,1356,1293,111441,15038,,37710
Angola,AGO,2010,108250,1363,1302,112085,19310,,38000
Angola,AGO,2011,102896,1356,1293,110955,19310,,37600
Angola,AGO,2012,102896,1356,1293,110955,19310,,37600
Angola,AGO,2013,102896,1356,1293,110955,19310,,37600
Antigua and Barbuda,ATG,1961,0,100,,0,,0,700
Antigua and Barbuda,ATG,1962,0,100,,0,,0,700
Antigua and Barbuda,ATG,1963,0,100,,0,,0,700
Antigua and Barbuda,ATG,1964,0,100,,0,,0,600
Antigua and Barbuda,ATG,1965,0,100,,0,,0,700
Antigua and Barbuda,ATG,1966,0,100,,0,,0,700
Antigua and Barbuda,ATG,1967,0,100,,0,,0,700
Antigua and Barbuda,ATG,1968,0,100,,0,,0,700
Antigua and Barbuda,ATG,1969,0,100,,0,,0,700
Antigua and Barbuda,ATG,1970,0,100,,0,,0,800
Antigua and Barbuda,ATG,1971,0,100,,0,,0,800
Antigua and Barbuda,ATG,1972,0,100,,0,,0,1100
Antigua and Barbuda,ATG,1973,0,100,,0,,0,1400
Antigua and Barbuda,ATG,1974,0,90,,0,,0,1500
Antigua and Barbuda,ATG,1975,0,127,,0,,0,1474
Antigua and Barbuda,ATG,1976,0,136,,0,,0,1477
Antigua and Barbuda,ATG,1977,0,175,,0,,0,1646
Antigua and Barbuda,ATG,1978,0,120,,0,,0,1500
Antigua and Barbuda,ATG,1979,0,101,,0,,0,1118
Antigua and Barbuda,ATG,1980,0,64,,0,,0,1107
Antigua and Barbuda,ATG,1981,0,51,,0,,0,1106
Antigua and Barbuda,ATG,1982,0,44,,0,,0,906
Antigua and Barbuda,ATG,1983,0,50,,0,,0,1013
Antigua and Barbuda,ATG,1984,0,140,,0,,0,1325
Antigua and Barbuda,ATG,1985,0,117,,0,,0,2290
Antigua and Barbuda,ATG,1986,0,120,,0,,0,2280
Antigua and Barbuda,ATG,1987,0,150,,0,,150,1700
Antigua and Barbuda,ATG,1988,0,120,,0,,120,1260
Antigua and Barbuda,ATG,1989,0,100,,0,,100,800
Antigua and Barbuda,ATG,1990,0,97,,0,,104,684
Antigua and Barbuda,ATG,1991,0,165,,0,,175,1158
Antigua and Barbuda,ATG,1992,0,188,,0,,201,1323
Antigua and Barbuda,ATG,1993,2,120,,0,,525,450
Antigua and Barbuda,ATG,1994,0,140,,0,,518,487
Antigua and Barbuda,ATG,1995,0,149,,0,,345,1116
Antigua and Barbuda,ATG,1996,0,125,,0,,293,1045
Antigua and Barbuda,ATG,1997,0,160,,0,,263,1242
Antigua and Barbuda,ATG,1998,0,357,,0,,338,1013
Antigua and Barbuda,ATG,1999,0,274,,0,,345,1041
Antigua and Barbuda,ATG,2000,0,275,,0,,315,1164
Antigua and Barbuda,ATG,2001,71,272,,1137,,278,66
Antigua and Barbuda,ATG,2002,61,276,,1705,,319,13
Antigua and Barbuda,ATG,2003,131,243,,1708,,469,36
Antigua and Barbuda,ATG,2004,113,245,,1584,,554,31
Antigua and Barbuda,ATG,2005,183,309,,1871,,528,108
Antigua and Barbuda,ATG,2006,86,318,,2132,,494,62
Antigua and Barbuda,ATG,2007,130,318,,2068,,517,59
Antigua and Barbuda,ATG,2008,164,165,,1818,,1357,17
Antigua and Barbuda,ATG,2009,88,105,,1523,,758,16
Antigua and Barbuda,ATG,2010,110,176,,1196,,764,47
Antigua and Barbuda,ATG,2011,110,176,,1196,,764,47
Antigua and Barbuda,ATG,2012,110,176,,1196,,764,47
Antigua and Barbuda,ATG,2013,110,176,,1196,,764,47
Argentina,ARG,1961,26400,1100,600,44400,14300,5000,0
Argentina,ARG,1962,22406,800,900,53100,10001,5100,0
Argentina,ARG,1963,31271,900,500,71900,11902,5800,0
Argentina,ARG,1964,34104,700,700,100700,14804,7300,0
Argentina,ARG,1965,32400,800,800,130800,13005,7300,0
Argentina,ARG,1966,33300,700,2400,168300,10105,6400,0
Argentina,ARG,1967,30760,900,3900,152500,13108,6900,0
Argentina,ARG,1968,54821,1200,3600,118400,11111,9200,0
Argentina,ARG,1969,34300,1000,1300,117400,11615,15100,0
Argentina,ARG,1970,31700,700,2000,131100,5419,20300,0
Argentina,ARG,1971,44008,900,2600,140200,5723,13600,0
Argentina,ARG,1972,54000,600,2348,147400,6327,6800,0
Argentina,ARG,1973,53289,600,4700,207300,7631,4200,0
Argentina,ARG,1974,46474,500,5100,210990,10217,3320,0
Argentina,ARG,1975,30090,675,4276,158456,15110,5571,0
Argentina,ARG,1976,25533,690,7628,217757,9895,4598,0
Argentina,ARG,1977,30139,973,2423,331708,10493,4188,0
Argentina,ARG,1978,22247,629,59246,418119,15144,3413,0
Argentina,ARG,1979,24395,139,83985,436977,16160,3780,0
Argentina,ARG,1980,17040,900,9315,348133,8497,1477,0
Argentina,ARG,1981,18558,2910,10832,318456,9794,1101,0
Argentina,ARG,1982,17671,8074,39161,393551,15518,1188,0
Argentina,ARG,1983,18064,19561,28959,332484,14737,2703,0
Argentina,ARG,1984,16504,23429,29100,233789,9686,2662,0
Argentina,ARG,1985,20902,10625,21791,341104,9965,2430,0
Argentina,ARG,1986,24175,7339,12780,365668,9075,1806,0
Argentina,ARG,1987,28215,1639,29847,388923,8285,2176,0
Argentina,ARG,1988,31215,18387,20945,410758,10945,1379,0
Argentina,ARG,1989,34551,12109,23296,402313,11101,9114,0
Argentina,ARG,1990,20731,10344,27778,481894,10631,7288,0
Argentina,ARG,1991,31503,8684,46375,540962,10631,2382,0
Argentina,ARG,1992,30065,25080,80106,593017,11627,1999,2323
Argentina,ARG,1993,29531,20097,196489,720452,12450,1109,2655
Argentina,ARG,1994,33790,22254,199914,722757,13485,629,4442
Argentina,ARG,1995,40990,7772,201298,881261,18603,13615,10955
Argentina,ARG,1996,35665,10761,294475,898360,20441,25173,3972
Argentina,ARG,1997,39421,7842,414076,868155,23987,30657,5796
Argentina,ARG,1998,18751,23980,292059,771160,24197,29145,6217
Argentina,ARG,1999,24217,29909,344323,615880,28729,40625,3549
Argentina,ARG,2000,24562,37604,279972,499809,32080,42281,7213
Argentina,ARG,2001,19686,79501,230649,534647,16786,43904,7218
Argentina,ARG,2002,35022,52274,177381,607328,19828,52034,3765
Argentina,ARG,2003,35866,55015,141270,596788,28152,51226,3520
Argentina,ARG,2004,46231,28642,76709,710676,35562,44510,4360
Argentina,ARG,2005,39452,8692,146715,654498,35839,40048,6735
Argentina,ARG,2006,42086,45781,292353,674769,35985,80591,2929
Argentina,ARG,2007,43342,48355,233307,584628,22480,54179,2064
Argentina,ARG,2008,40782,48627,255768,575471,13692,60002,3428
Argentina,ARG,2009,46576,54341,72863,588300,18598,81145,2723
Argentina,ARG,2010,60112,73020,86363,524003,17861,51810,1219
Argentina,ARG,2011,54491,86397,76860,508561,21104,48816,253
Argentina,ARG,2012,40176,84530,95384,466555,17173,37023,159
Argentina,ARG,2013,41676,104808,191838,476914,16054,42357,248
Armenia,ARM,1992,,0,,,4450,,
Armenia,ARM,1993,,0,,,4100,,
Armenia,ARM,1994,,0,,,2603,,
Armenia,ARM,1995,,0,,,1941,,
Armenia,ARM,1996,,0,,,1230,,
Armenia,ARM,1997,,10,,,1240,,
Armenia,ARM,1998,,60,,,1075,,
Armenia,ARM,1999,,300,,,1733,,
Armenia,ARM,2000,,20,,,2006,,
Armenia,ARM,2001,,10,,,2187,,
Armenia,ARM,2002,,400,,,1085,,
Armenia,ARM,2003,,760,,,873,,
Armenia,ARM,2004,,813,,,218,,
Armenia,ARM,2005,,763,,,226,,
Armenia,ARM,2006,,1003,,,403,,
Armenia,ARM,2007,,799,,,3916,,
Armenia,ARM,2008,,1129,,,4572,,
Armenia,ARM,2009,,816,,,5043,,
Armenia,ARM,2010,,1016,,,4601,,
Armenia,ARM,2011,,1590,,,5505,,
Armenia,ARM,2012,,2440,,,7271,,
Armenia,ARM,2013,,4920,,,11470,,
Asia,,1961,4220636,698897,663000,3126459,2582459,927933,2495036
Asia,,1962,4287280,760543,813900,3145727,2641979,956314,2628196
Asia,,1963,4110096,776688,931900,3101875,2738379,1097750,2874644
Asia,,1964,4356038,831264,564500,3442206,2826646,1079074,3009678
Asia,,1965,4820301,824222,734700,3485679,3052140,1068206,3221790
Asia,,1966,4901648,877421,723000,3739690,3111039,1169337,3376567
Asia,,1967,4894711,938715,826600,4339686,3231152,1165995,3698315
Asia,,1968,5291862,1054456,1070600,4812049,3351545,1227351,3950742
Asia,,1969,5328797,1052901,846700,5129222,3480224,1260888,4140727
