Entity,Code,Year,Aquaculture production (metric tons),Capture fisheries production (metric tons)
Albania,ALB,2005,1473,5000
Albania,ALB,2006,2057,5652.2998046875
Albania,ALB,2007,2092,5413.39990234375
Albania,ALB,2008,2000,5365
Albania,ALB,2009,2317,5811
Albania,ALB,2010,2520,5132.2001953125
Albania,ALB,2011,2345,4805.2001953125
Albania,ALB,2012,3450,8605.2001953125
Albania,ALB,2013,3700,8973.5
Albania,ALB,2014,4000,8705.5
Albania,ALB,2015,3495,7855.5
Albania,ALB,2016,4750,7861.7001953125
Albania,ALB,2017,4430,8564.2001953125
Albania,ALB,2018,6258,8648.2998046875
Algeria,DZA,1960,0,25500
Algeria,DZA,1961,0,30400
Algeria,DZA,1962,0,21500
Algeria,DZA,1963,0,16900
Algeria,DZA,1964,0,17300
Algeria,DZA,1965,0,18300
Algeria,DZA,1966,0,20350
Algeria,DZA,1967,0,21150
Algeria,DZA,1968,0,18250
Algeria,DZA,1969,0,23150
Algeria,DZA,1970,0,24234
Algeria,DZA,1971,0,23715
Algeria,DZA,1972,0,28313
Algeria,DZA,1973,0,31243
Algeria,DZA,1974,0,35758
Algeria,DZA,1975,0,37693
Algeria,DZA,1976,0,35122
Algeria,DZA,1977,0,43475
Algeria,DZA,1978,0,34143
Algeria,DZA,1979,0,38678
Algeria,DZA,1980,0,48000
Algeria,DZA,1981,0,56000
Algeria,DZA,1982,0,64500
Algeria,DZA,1983,2,65000
Algeria,DZA,1984,95,65500.8984375
Algeria,DZA,1985,141,66000.6015625
Algeria,DZA,1986,250,65261.80078125
Algeria,DZA,1987,274,94093.796875
Algeria,DZA,1988,304,106437.296875
Algeria,DZA,1989,368,99187.421875
Algeria,DZA,1990,407,90196.2421875
Algeria,DZA,1991,150,79702
Algeria,DZA,1992,147,95273.9140625
Algeria,DZA,1993,300,101899.96875
Algeria,DZA,1994,389,135409.859375
Algeria,DZA,1995,369,105878.6640625
Algeria,DZA,1996,322,81995.796875
Algeria,DZA,1997,322,91585.3984375
Algeria,DZA,1998,283,92337
Algeria,DZA,1999,250,102399
Algeria,DZA,2000,351,113159.8984375
Algeria,DZA,2001,454,133628
Algeria,DZA,2002,476,134324.796875
Algeria,DZA,2003,417,140959
Algeria,DZA,2004,586,113464.203125
Algeria,DZA,2005,368,126260.296875
Algeria,DZA,2006,288,145763.796875
Algeria,DZA,2007,405,147363.125
Algeria,DZA,2008,2779.916015625,138862.4375
Algeria,DZA,2009,2163.23193359375,127777
Algeria,DZA,2010,1758.74194335938,93464
Algeria,DZA,2011,2245.77001953125,101815
Algeria,DZA,2012,2644.001953125,105621
Algeria,DZA,2013,2192.88110351563,101057
Algeria,DZA,2014,2410.97290039063,97828
Algeria,DZA,2015,1332.98999023438,95946
Algeria,DZA,2016,1376,100180
Algeria,DZA,2017,1416,104100
Algeria,DZA,2018,5100.1201171875,115255
American Samoa,ASM,1991,5,45
American Samoa,ASM,1992,5,55
American Samoa,ASM,1993,5,35
American Samoa,ASM,1994,5,127
American Samoa,ASM,1995,5,171
American Samoa,ASM,1996,5,220
American Samoa,ASM,1997,5,443
American Samoa,ASM,1998,5,605
American Samoa,ASM,1999,5,549
American Samoa,ASM,2000,5,846
American Samoa,ASM,2001,10,3667
American Samoa,ASM,2002,10,6939
American Samoa,ASM,2003,10,5089
American Samoa,ASM,2004,10,4041
American Samoa,ASM,2005,10,4019
American Samoa,ASM,2006,18,5349
American Samoa,ASM,2007,18,6519
American Samoa,ASM,2008,18,4424
American Samoa,ASM,2009,18,4944
American Samoa,ASM,2010,18,5310
American Samoa,ASM,2011,20,4901
American Samoa,ASM,2012,20,6109
American Samoa,ASM,2013,20,3273
American Samoa,ASM,2014,20,2579
American Samoa,ASM,2015,20,3138
American Samoa,ASM,2016,20,3181
American Samoa,ASM,2017,20,4042
American Samoa,ASM,2018,20,3019
American Samoa,ASM,1960,,0
American Samoa,ASM,1961,,0
American Samoa,ASM,1962,,0
American Samoa,ASM,1963,,0
American Samoa,ASM,1964,,0
American Samoa,ASM,1965,,0
American Samoa,ASM,1966,,0
American Samoa,ASM,1967,,0
American Samoa,ASM,1968,,0
American Samoa,ASM,1969,,0
American Samoa,ASM,1970,,0
American Samoa,ASM,1971,,0
American Samoa,ASM,1972,,0
American Samoa,ASM,1973,,100
American Samoa,ASM,1974,,82
American Samoa,ASM,1975,,136
American Samoa,ASM,1976,,113
American Samoa,ASM,1977,,202
American Samoa,ASM,1978,,193
American Samoa,ASM,1979,,183
American Samoa,ASM,1980,,148
American Samoa,ASM,1981,,153
American Samoa,ASM,1982,,112
American Samoa,ASM,1983,,112
American Samoa,ASM,1984,,152
American Samoa,ASM,1985,,118
American Samoa,ASM,1986,,181
American Samoa,ASM,1987,,78
American Samoa,ASM,1988,,123
American Samoa,ASM,1989,,102
American Samoa,ASM,1990,,42
Andorra,AND,1970,,0
Andorra,AND,1971,,0
Andorra,AND,1972,,0
Andorra,AND,1973,,0
Andorra,AND,1974,,0
Andorra,AND,1975,,0
Andorra,AND,1976,,0
Andorra,AND,1977,,0
Andorra,AND,1978,,0
Andorra,AND,1979,,0
Andorra,AND,1980,,0
Andorra,AND,1981,,0
Andorra,AND,1982,,0
Andorra,AND,1983,,0
Andorra,AND,1984,,0
Andorra,AND,1985,,0
Andorra,AND,1986,,0
Andorra,AND,1987,,0
Andorra,AND,1988,,0
Andorra,AND,1989,,0
Andorra,AND,1990,,0
Andorra,AND,1991,,0
Andorra,AND,1992,,0
Andorra,AND,1993,,0
Andorra,AND,1994,,0
Andorra,AND,1995,,0
Andorra,AND,1996,,0
Andorra,AND,1997,,0
Andorra,AND,1998,,0
Andorra,AND,1999,,0
Andorra,AND,2000,,0
Andorra,AND,2001,,0
Andorra,AND,2002,,0
Andorra,AND,2003,,0
Andorra,AND,2004,,0
Andorra,AND,2005,,0
Andorra,AND,2006,,0
Andorra,AND,2007,,0
Andorra,AND,2008,,0
Andorra,AND,2009,,0
Andorra,AND,2010,,0
Andorra,AND,2011,,0
Andorra,AND,2012,,0
Andorra,AND,2013,,0
Andorra,AND,2014,,0
Andorra,AND,2015,,0
Andorra,AND,2016,,0
Andorra,AND,2017,,0
Andorra,AND,2018,,0
Angola,AGO,2000,5,239351
Angola,AGO,2001,11,254553
Angola,AGO,2002,51,255443
Angola,AGO,2003,72,212033
Angola,AGO,2004,92,240002
Angola,AGO,2005,126,202616
Angola,AGO,2006,156,225741
Angola,AGO,2007,190,306436
Angola,AGO,2008,190,305860
Angola,AGO,2009,260,272042
Angola,AGO,2010,310,310000
Angola,AGO,2011,310,342000
Angola,AGO,2012,310,374000
Angola,AGO,2013,57,407000
Angola,AGO,2014,305,442084
Angola,AGO,2015,872,495232
Angola,AGO,2016,655,486490
Angola,AGO,2017,1339,531575
Angola,AGO,2018,1752,442255
Angola,AGO,1960,,257300
Angola,AGO,1961,,246800
Angola,AGO,1962,,274800
Angola,AGO,1963,,245300
Angola,AGO,1964,,362000
Angola,AGO,1965,,263300
Angola,AGO,1966,,335300
Angola,AGO,1967,,299300
Angola,AGO,1968,,303100
Angola,AGO,1969,,425200
Angola,AGO,1970,,374501
Angola,AGO,1971,,324322
Angola,AGO,1972,,606656
Angola,AGO,1973,,478659
Angola,AGO,1974,,399784
Angola,AGO,1975,,160581
Angola,AGO,1976,,81542
Angola,AGO,1977,,120407
Angola,AGO,1978,,125630
Angola,AGO,1979,,113072
Angola,AGO,1980,,85085
Angola,AGO,1981,,130957
Angola,AGO,1982,,111488
Angola,AGO,1983,,110376
Angola,AGO,1984,,95188
Angola,AGO,1985,,100093
Angola,AGO,1986,,84660
Angola,AGO,1987,,107490
Angola,AGO,1988,,126031
Angola,AGO,1989,,137465
Angola,AGO,1990,,133088
Angola,AGO,1991,,117104
Angola,AGO,1992,,113625
Angola,AGO,1993,,126200
Angola,AGO,1994,,132413
Angola,AGO,1995,,122781
Angola,AGO,1996,,137815
Angola,AGO,1997,,146304
Angola,AGO,1998,,163149
Angola,AGO,1999,,175799
Antigua and Barbuda,ATG,2011,4,3055
Antigua and Barbuda,ATG,2012,10,5951
Antigua and Barbuda,ATG,2013,11,4605
Antigua and Barbuda,ATG,2014,13,3114
Antigua and Barbuda,ATG,2015,10,3165
Antigua and Barbuda,ATG,2016,10,3165
Antigua and Barbuda,ATG,2017,10,3165
Antigua and Barbuda,ATG,2018,10,3165
Antigua and Barbuda,ATG,1960,,600
Antigua and Barbuda,ATG,1961,,800
Antigua and Barbuda,ATG,1962,,800
Antigua and Barbuda,ATG,1963,,800
Antigua and Barbuda,ATG,1964,,700
Antigua and Barbuda,ATG,1965,,800
Antigua and Barbuda,ATG,1966,,800
Antigua and Barbuda,ATG,1967,,800
Antigua and Barbuda,ATG,1968,,800
Antigua and Barbuda,ATG,1969,,800
Antigua and Barbuda,ATG,1970,,900
Antigua and Barbuda,ATG,1971,,900
Antigua and Barbuda,ATG,1972,,1200
Antigua and Barbuda,ATG,1973,,1500
Antigua and Barbuda,ATG,1974,,1590
Antigua and Barbuda,ATG,1975,,1601
Antigua and Barbuda,ATG,1976,,1613
Antigua and Barbuda,ATG,1977,,1821
Antigua and Barbuda,ATG,1978,,1620
Antigua and Barbuda,ATG,1979,,1219
Antigua and Barbuda,ATG,1980,,1171
Antigua and Barbuda,ATG,1981,,1157
Antigua and Barbuda,ATG,1982,,950
Antigua and Barbuda,ATG,1983,,1063
Antigua and Barbuda,ATG,1984,,1465
Antigua and Barbuda,ATG,1985,,2407
Antigua and Barbuda,ATG,1986,,2400
Antigua and Barbuda,ATG,1987,,1985
Antigua and Barbuda,ATG,1988,,1488
Antigua and Barbuda,ATG,1989,,990
Antigua and Barbuda,ATG,1990,,875
Antigua and Barbuda,ATG,1991,,1481
Antigua and Barbuda,ATG,1992,,1692
Antigua and Barbuda,ATG,1993,,1046
Antigua and Barbuda,ATG,1994,,1095
Antigua and Barbuda,ATG,1995,,1576
Antigua and Barbuda,ATG,1996,,1434
Antigua and Barbuda,ATG,1997,,1639
Antigua and Barbuda,ATG,1998,,1675
Antigua and Barbuda,ATG,1999,,1626
Antigua and Barbuda,ATG,2000,,1723
Antigua and Barbuda,ATG,2001,,1797
Antigua and Barbuda,ATG,2002,,2343
Antigua and Barbuda,ATG,2003,,2541
Antigua and Barbuda,ATG,2004,,2473
Antigua and Barbuda,ATG,2005,,2948
Antigua and Barbuda,ATG,2006,,3044
Antigua and Barbuda,ATG,2007,,3042
Antigua and Barbuda,ATG,2008,,3389
Antigua and Barbuda,ATG,2009,,2416
Antigua and Barbuda,ATG,2010,,2219
Arab World,,1960,4600,474880
Arab World,,1961,5200,505098
Arab World,,1962,5200,531470
Arab World,,1963,6000,541412
Arab World,,1964,7000,593475
Arab World,,1965,6200,591828
Arab World,,1966,5904,694322
Arab World,,1967,5610,640424
Arab World,,1968,5617,614804
Arab World,,1969,5928,634609
Arab World,,1970,6046,687642
Arab World,,1971,7145,704721
Arab World,,1972,8556,752751
Arab World,,1973,10067,921490
Arab World,,1974,10873,898965
Arab World,,1975,11396,864251
Arab World,,1976,13900,934355
Arab World,,1977,16233,905199
Arab World,,1978,18554,910069.89453125
Arab World,,1979,20830,938276.7890625
Arab World,,1980,23325,987376.09375
Arab World,,1981,25837,1038654.078125
Arab World,,1982,29390,1032889.640625
Arab World,,1983,30877,1179314.23657227
Arab World,,1984,34269,1199784.85888672
Arab World,,1985,49929,1276059.99194336
Arab World,,1986,53736,1420378.53637695
Arab World,,1987,54769,1422105.03491211
Arab World,,1988,62285,1575689.6328125
Arab World,,1989,69066,1489955.34375
Arab World,,1990,70522,1536003.0703125
Arab World,,1991,70649,1588588.5546875
Arab World,,1992,78320,1569900.8515625
Arab World,,1993,65086,1677432.2734375
Arab World,,1994,70944,1884931.453125
Arab World,,1995,87973,2023076.6953125
Arab World,,1996,109249,1792001.8109375
Arab World,,1997,105662,2006436.515625
Arab World,,1998,165476,1984901.71875
Arab World,,1999,246418,2060476.984375
Arab World,,2000,360829,2211091.9140625
Arab World,,2001,364763,2569250.46875
Arab World,,2002,398297,2466899.4921875
Arab World,,2003,476490,2512946.2421875
Arab World,,2004,514596.400024414,2590634.0625
Arab World,,2005,590726,2676910.109375
Arab World,,2006,643697,2478328.4609375
Arab World,,2007,688762.400390625,2480108.3125
Arab World,,2008,756349.131011963,2491842.375
Arab World,,2009,771541.481544495,2760764.61328125
Arab World,,2010,987749.048938513,2745879.921875
Arab World,,2011,1042809.19401956,2623574.375
Arab World,,2012,1084322.22695303,2984907.375
Arab World,,2013,1150420.88110352,3056245.453125
Arab World,,2014,1215108.08289433,3081111.796875
Arab World,,2015,1259349.98999023,3097365.625
Arab World,,2016,1471832.37186623,3396238.875
Arab World,,2017,1580578.25801086,3601263.75
Arab World,,2018,1706436.3253479,3974589.046875
Argentina,ARG,1960,0,104732
Argentina,ARG,1961,0,101900
Argentina,ARG,1962,1,101306
Argentina,ARG,1963,2,130571
Argentina,ARG,1964,4,168604
Argentina,ARG,1965,5,205000
Argentina,ARG,1966,5,250800
Argentina,ARG,1967,8,240860
Argentina,ARG,1968,11,223121
Argentina,ARG,1969,15,202800
Argentina,ARG,1970,19,214500
Argentina,ARG,1971,23,228608
Argentina,ARG,1972,27,237948
Argentina,ARG,1973,31,301989
Argentina,ARG,1974,36,295965
Argentina,ARG,1975,42,232209
Argentina,ARG,1976,49,281727
Argentina,ARG,1977,57,402723
Argentina,ARG,1978,67,541892
Argentina,ARG,1979,78,580657
Argentina,ARG,1980,90,400011
Argentina,ARG,1981,105,374777
Argentina,ARG,1982,123,488112
Argentina,ARG,1983,143,428064
Argentina,ARG,1984,150,322563
Argentina,ARG,1985,270,419470
Argentina,ARG,1986,270,422424
Argentina,ARG,1987,353,461568
Argentina,ARG,1988,353,496041
Argentina,ARG,1989,300,494683
Argentina,ARG,1990,300,560857
Argentina,ARG,1991,350,642362
Argentina,ARG,1992,402,745678
Argentina,ARG,1993,707,984908
Argentina,ARG,1994,763,999814
Argentina,ARG,1995,1474,1175635
Argentina,ARG,1996,1322,1290065
Argentina,ARG,1997,1314,1389550
Argentina,ARG,1998,1040,1165404
Argentina,ARG,1999,1218,1086938
Argentina,ARG,2000,1784,922289
Argentina,ARG,2001,1340,931282
Argentina,ARG,2002,1457,946535
Argentina,ARG,2003,1647,911283
Argentina,ARG,2004,1848,945978
Argentina,ARG,2005,2057,934009
Argentina,ARG,2006,2528,1176616
Argentina,ARG,2007,2957,992618
Argentina,ARG,2008,2700,999949
Argentina,ARG,2009,2582.94995117188,872632
Argentina,ARG,2010,2654.34985351563,818162
Argentina,ARG,2011,3193.25,815988
Argentina,ARG,2012,2958.42016601563,762560
Argentina,ARG,2013,3825.11987304688,890305
Argentina,ARG,2014,4002.7099609375,853436
Argentina,ARG,2015,3662.65014648438,835850
Argentina,ARG,2016,3673.48486328125,771152
Argentina,ARG,2017,3567.76000976563,849268
Argentina,ARG,2018,3205.31005859375,838209
Armenia,ARM,1988,4598,2419
Armenia,ARM,1989,4604,2738
Armenia,ARM,1990,5057,2698
Armenia,ARM,1991,2637,1933
Armenia,ARM,1992,2565,1885
Armenia,ARM,1993,2250,1850
Armenia,ARM,1994,1570,1033
Armenia,ARM,1995,1120,821
Armenia,ARM,1996,650,580
Armenia,ARM,1997,670,580
Armenia,ARM,1998,437,698
Armenia,ARM,1999,889,1144
Armenia,ARM,2000,893,1133
Armenia,ARM,2001,1331,866
Armenia,ARM,2002,1020,465
Armenia,ARM,2003,1064,569
Armenia,ARM,2004,813,218
Armenia,ARM,2005,739,250
Armenia,ARM,2006,1056,350
Armenia,ARM,2007,3650,1065
Armenia,ARM,2008,5100,601
Armenia,ARM,2009,5240,619
Armenia,ARM,2010,5000,617
Armenia,ARM,2011,6300,795
Armenia,ARM,2012,8850,861
Armenia,ARM,2013,11700,4099
Armenia,ARM,2014,13925,4795
Armenia,ARM,2015,15130,8140
Armenia,ARM,2016,16381,3758
Armenia,ARM,2017,16690,364
Armenia,ARM,2018,17000,369
Aruba,ABW,2011,2,166
Aruba,ABW,2013,0,145
Aruba,ABW,2014,0,152
Aruba,ABW,2015,0,150
Aruba,ABW,2016,0,150
Aruba,ABW,2017,0,149
Aruba,ABW,2018,0,149
Aruba,ABW,1960,,200
Aruba,ABW,1961,,200
Aruba,ABW,1962,,300
Aruba,ABW,1963,,300
Aruba,ABW,1964,,300
Aruba,ABW,1965,,300
Aruba,ABW,1966,,300
Aruba,ABW,1967,,400
Aruba,ABW,1968,,400
Aruba,ABW,1969,,400
Aruba,ABW,1970,,400
Aruba,ABW,1971,,400
Aruba,ABW,1972,,400
Aruba,ABW,1973,,500
Aruba,ABW,1974,,550
Aruba,ABW,1975,,600
Aruba,ABW,1976,,650
Aruba,ABW,1977,,700
Aruba,ABW,1978,,770
Aruba,ABW,1979,,770
Aruba,ABW,1980,,770
Aruba,ABW,1981,,770
Aruba,ABW,1982,,770
Aruba,ABW,1983,,770
Aruba,ABW,1984,,770
Aruba,ABW,1985,,770
Aruba,ABW,1986,,700
Aruba,ABW,1987,,620
Aruba,ABW,1988,,550
Aruba,ABW,1989,,480
Aruba,ABW,1990,,420
Aruba,ABW,1991,,350
Aruba,ABW,1992,,300
Aruba,ABW,1993,,260
Aruba,ABW,1994,,260
Aruba,ABW,1995,,140
Aruba,ABW,1996,,160
Aruba,ABW,1997,,205
Aruba,ABW,1998,,182
Aruba,ABW,1999,,175
Aruba,ABW,2000,,163
Aruba,ABW,2001,,163
Aruba,ABW,2002,,163
Aruba,ABW,2003,,160
Aruba,ABW,2004,,162
Aruba,ABW,2005,,162
Aruba,ABW,2006,,145
Aruba,ABW,2007,,159
Aruba,ABW,2008,,151
Aruba,ABW,2009,,163
Aruba,ABW,2010,,153
Aruba,ABW,2012,,138
Australia,AUS,1960,5700,57454
Australia,AUS,1961,6500,57215
Australia,AUS,1962,5800,62656
Australia,AUS,1963,5900,67819
Australia,AUS,1964,5800,68242
Australia,AUS,1965,6600,77944
Australia,AUS,1966,6800,89514
Australia,AUS,1967,7300,93044
Australia,AUS,1968,7500,103495
Australia,AUS,1969,7500,91758
Australia,AUS,1970,7021,97996
Australia,AUS,1971,9800,107029
Australia,AUS,1972,10400,117250
Australia,AUS,1973,9200,120461
Australia,AUS,1974,10484,134082
Australia,AUS,1975,9204,105372
Australia,AUS,1976,10439,105572
Australia,AUS,1977,11126,137195
Australia,AUS,1978,10236,131282
Australia,AUS,1979,8702,137912
Australia,AUS,1980,8994,136873
Australia,AUS,1981,9185,153148
Australia,AUS,1982,8841,171926
Australia,AUS,1983,9056,169112
Australia,AUS,1984,8785,177014
Australia,AUS,1985,9534,162845
Australia,AUS,1986,9083,183734
