Entity,Code,Year,Capture fisheries production (metric tons)
Africa Western and Central,,2015,3154317
Africa Western and Central,,2016,3473525
Africa Western and Central,,2017,4116060
Africa Western and Central,,2018,4178920.75
Albania,ALB,1960,2600
Albania,ALB,1961,3200
Albania,ALB,1962,2800
Albania,ALB,1963,3000
Albania,ALB,1964,3000
Albania,ALB,1965,4000
Albania,ALB,1966,4000
Albania,ALB,1967,5000
Albania,ALB,1968,6000
Albania,ALB,1969,7000
Albania,ALB,1970,8000
Albania,ALB,1971,8000
Albania,ALB,1972,8000
Albania,ALB,1973,7997
Albania,ALB,1974,8455
Albania,ALB,1975,8415
Albania,ALB,1976,8377
Albania,ALB,1977,8336
Albania,ALB,1978,8807
Albania,ALB,1979,8740
Albania,ALB,1980,8661
Albania,ALB,1981,8921
Albania,ALB,1982,8812
Albania,ALB,1983,8653
Albania,ALB,1984,6809
Albania,ALB,1985,10191
Albania,ALB,1986,9757.2001953125
Albania,ALB,1987,10766.400390625
Albania,ALB,1988,10827.2998046875
Albania,ALB,1989,9357.400390625
Albania,ALB,1990,10054.599609375
Albania,ALB,1991,3012
Albania,ALB,1992,2696.19995117188
Albania,ALB,1993,2500
Albania,ALB,1994,2100
Albania,ALB,1995,1380.30004882813
Albania,ALB,1996,2126.19995117188
Albania,ALB,1997,1013.79998779297
Albania,ALB,1998,2683.5
Albania,ALB,1999,2747.89990234375
Albania,ALB,2000,3328
Albania,ALB,2001,3311.19995117188
Albania,ALB,2002,3656.80004882813
Albania,ALB,2003,2801.60009765625
Albania,ALB,2004,4549.5
Albania,ALB,2005,5000
Albania,ALB,2006,5652.2998046875
Albania,ALB,2007,5413.39990234375
Albania,ALB,2008,5365
Albania,ALB,2009,5811
Albania,ALB,2010,5132.2001953125
Albania,ALB,2011,4805.2001953125
Albania,ALB,2012,8605.2001953125
Albania,ALB,2013,8973.5
Albania,ALB,2014,8705.5
Albania,ALB,2015,7855.5
Albania,ALB,2016,7861.7001953125
Albania,ALB,2017,8564.2001953125
Albania,ALB,2018,8648.2998046875
Algeria,DZA,1960,25500
Algeria,DZA,1961,30400
Algeria,DZA,1962,21500
Algeria,DZA,1963,16900
Algeria,DZA,1964,17300
Algeria,DZA,1965,18300
Algeria,DZA,1966,20350
Algeria,DZA,1967,21150
Algeria,DZA,1968,18250
Algeria,DZA,1969,23150
Algeria,DZA,1970,24234
Algeria,DZA,1971,23715
Algeria,DZA,1972,28313
Algeria,DZA,1973,31243
Algeria,DZA,1974,35758
Algeria,DZA,1975,37693
Algeria,DZA,1976,35122
Algeria,DZA,1977,43475
Algeria,DZA,1978,34143
Algeria,DZA,1979,38678
Algeria,DZA,1980,48000
Algeria,DZA,1981,56000
Algeria,DZA,1982,64500
Algeria,DZA,1983,65000
Algeria,DZA,1984,65500.8984375
Algeria,DZA,1985,66000.6015625
Algeria,DZA,1986,65261.80078125
Algeria,DZA,1987,94093.796875
Algeria,DZA,1988,106437.296875
Algeria,DZA,1989,99187.421875
Algeria,DZA,1990,90196.2421875
Algeria,DZA,1991,79702
Algeria,DZA,1992,95273.9140625
Algeria,DZA,1993,101899.96875
Algeria,DZA,1994,135409.859375
Algeria,DZA,1995,105878.6640625
Algeria,DZA,1996,81995.796875
Algeria,DZA,1997,91585.3984375
Algeria,DZA,1998,92337
Algeria,DZA,1999,102399
Algeria,DZA,2000,113159.8984375
Algeria,DZA,2001,133628
Algeria,DZA,2002,134324.796875
Algeria,DZA,2003,140959
Algeria,DZA,2004,113464.203125
Algeria,DZA,2005,126260.296875
Algeria,DZA,2006,145763.796875
Algeria,DZA,2007,147363.125
Algeria,DZA,2008,138862.4375
Algeria,DZA,2009,127777
Algeria,DZA,2010,93464
Algeria,DZA,2011,101815
Algeria,DZA,2012,105621
Algeria,DZA,2013,101057
Algeria,DZA,2014,97828
Algeria,DZA,2015,95946
Algeria,DZA,2016,100180
Algeria,DZA,2017,104100
Algeria,DZA,2018,115255
American Samoa,ASM,1960,0
American Samoa,ASM,1961,0
American Samoa,ASM,1962,0
American Samoa,ASM,1963,0
American Samoa,ASM,1964,0
American Samoa,ASM,1965,0
American Samoa,ASM,1966,0
American Samoa,ASM,1967,0
American Samoa,ASM,1968,0
American Samoa,ASM,1969,0
American Samoa,ASM,1970,0
American Samoa,ASM,1971,0
American Samoa,ASM,1972,0
American Samoa,ASM,1973,100
American Samoa,ASM,1974,82
American Samoa,ASM,1975,136
American Samoa,ASM,1976,113
American Samoa,ASM,1977,202
American Samoa,ASM,1978,193
American Samoa,ASM,1979,183
American Samoa,ASM,1980,148
American Samoa,ASM,1981,153
American Samoa,ASM,1982,112
American Samoa,ASM,1983,112
American Samoa,ASM,1984,152
American Samoa,ASM,1985,118
American Samoa,ASM,1986,181
American Samoa,ASM,1987,78
American Samoa,ASM,1988,123
American Samoa,ASM,1989,102
American Samoa,ASM,1990,42
American Samoa,ASM,1991,45
American Samoa,ASM,1992,55
American Samoa,ASM,1993,35
American Samoa,ASM,1994,127
American Samoa,ASM,1995,171
American Samoa,ASM,1996,220
American Samoa,ASM,1997,443
American Samoa,ASM,1998,605
American Samoa,ASM,1999,549
American Samoa,ASM,2000,846
American Samoa,ASM,2001,3667
American Samoa,ASM,2002,6939
American Samoa,ASM,2003,5089
American Samoa,ASM,2004,4041
American Samoa,ASM,2005,4019
American Samoa,ASM,2006,5349
American Samoa,ASM,2007,6519
American Samoa,ASM,2008,4424
American Samoa,ASM,2009,4944
American Samoa,ASM,2010,5310
American Samoa,ASM,2011,4901
American Samoa,ASM,2012,6109
American Samoa,ASM,2013,3273
American Samoa,ASM,2014,2579
American Samoa,ASM,2015,3138
American Samoa,ASM,2016,3181
American Samoa,ASM,2017,4042
American Samoa,ASM,2018,3019
Andorra,AND,1970,0
Andorra,AND,1971,0
Andorra,AND,1972,0
Andorra,AND,1973,0
Andorra,AND,1974,0
Andorra,AND,1975,0
Andorra,AND,1976,0
Andorra,AND,1977,0
Andorra,AND,1978,0
Andorra,AND,1979,0
Andorra,AND,1980,0
Andorra,AND,1981,0
Andorra,AND,1982,0
Andorra,AND,1983,0
Andorra,AND,1984,0
Andorra,AND,1985,0
Andorra,AND,1986,0
Andorra,AND,1987,0
Andorra,AND,1988,0
Andorra,AND,1989,0
Andorra,AND,1990,0
Andorra,AND,1991,0
Andorra,AND,1992,0
Andorra,AND,1993,0
Andorra,AND,1994,0
Andorra,AND,1995,0
Andorra,AND,1996,0
Andorra,AND,1997,0
Andorra,AND,1998,0
Andorra,AND,1999,0
Andorra,AND,2000,0
Andorra,AND,2001,0
Andorra,AND,2002,0
Andorra,AND,2003,0
Andorra,AND,2004,0
Andorra,AND,2005,0
Andorra,AND,2006,0
Andorra,AND,2007,0
Andorra,AND,2008,0
Andorra,AND,2009,0
Andorra,AND,2010,0
Andorra,AND,2011,0
Andorra,AND,2012,0
Andorra,AND,2013,0
Andorra,AND,2014,0
Andorra,AND,2015,0
Andorra,AND,2016,0
Andorra,AND,2017,0
Andorra,AND,2018,0
Angola,AGO,1960,257300
Angola,AGO,1961,246800
Angola,AGO,1962,274800
Angola,AGO,1963,245300
Angola,AGO,1964,362000
Angola,AGO,1965,263300
Angola,AGO,1966,335300
Angola,AGO,1967,299300
Angola,AGO,1968,303100
Angola,AGO,1969,425200
Angola,AGO,1970,374501
Angola,AGO,1971,324322
Angola,AGO,1972,606656
Angola,AGO,1973,478659
Angola,AGO,1974,399784
Angola,AGO,1975,160581
Angola,AGO,1976,81542
Angola,AGO,1977,120407
Angola,AGO,1978,125630
Angola,AGO,1979,113072
Angola,AGO,1980,85085
Angola,AGO,1981,130957
Angola,AGO,1982,111488
Angola,AGO,1983,110376
Angola,AGO,1984,95188
Angola,AGO,1985,100093
Angola,AGO,1986,84660
Angola,AGO,1987,107490
Angola,AGO,1988,126031
Angola,AGO,1989,137465
Angola,AGO,1990,133088
Angola,AGO,1991,117104
Angola,AGO,1992,113625
Angola,AGO,1993,126200
Angola,AGO,1994,132413
Angola,AGO,1995,122781
Angola,AGO,1996,137815
Angola,AGO,1997,146304
Angola,AGO,1998,163149
Angola,AGO,1999,175799
Angola,AGO,2000,239351
Angola,AGO,2001,254553
Angola,AGO,2002,255443
Angola,AGO,2003,212033
Angola,AGO,2004,240002
Angola,AGO,2005,202616
Angola,AGO,2006,225741
Angola,AGO,2007,306436
Angola,AGO,2008,305860
Angola,AGO,2009,272042
Angola,AGO,2010,310000
Angola,AGO,2011,342000
Angola,AGO,2012,374000
Angola,AGO,2013,407000
Angola,AGO,2014,442084
Angola,AGO,2015,495232
Angola,AGO,2016,486490
Angola,AGO,2017,531575
Angola,AGO,2018,442255
Antigua and Barbuda,ATG,1960,600
Antigua and Barbuda,ATG,1961,800
Antigua and Barbuda,ATG,1962,800
Antigua and Barbuda,ATG,1963,800
Antigua and Barbuda,ATG,1964,700
Antigua and Barbuda,ATG,1965,800
Antigua and Barbuda,ATG,1966,800
Antigua and Barbuda,ATG,1967,800
Antigua and Barbuda,ATG,1968,800
Antigua and Barbuda,ATG,1969,800
Antigua and Barbuda,ATG,1970,900
Antigua and Barbuda,ATG,1971,900
Antigua and Barbuda,ATG,1972,1200
Antigua and Barbuda,ATG,1973,1500
Antigua and Barbuda,ATG,1974,1590
Antigua and Barbuda,ATG,1975,1601
Antigua and Barbuda,ATG,1976,1613
Antigua and Barbuda,ATG,1977,1821
Antigua and Barbuda,ATG,1978,1620
Antigua and Barbuda,ATG,1979,1219
Antigua and Barbuda,ATG,1980,1171
Antigua and Barbuda,ATG,1981,1157
Antigua and Barbuda,ATG,1982,950
Antigua and Barbuda,ATG,1983,1063
Antigua and Barbuda,ATG,1984,1465
Antigua and Barbuda,ATG,1985,2407
Antigua and Barbuda,ATG,1986,2400
Antigua and Barbuda,ATG,1987,1985
Antigua and Barbuda,ATG,1988,1488
Antigua and Barbuda,ATG,1989,990
Antigua and Barbuda,ATG,1990,875
Antigua and Barbuda,ATG,1991,1481
Antigua and Barbuda,ATG,1992,1692
Antigua and Barbuda,ATG,1993,1046
Antigua and Barbuda,ATG,1994,1095
Antigua and Barbuda,ATG,1995,1576
Antigua and Barbuda,ATG,1996,1434
Antigua and Barbuda,ATG,1997,1639
Antigua and Barbuda,ATG,1998,1675
Antigua and Barbuda,ATG,1999,1626
Antigua and Barbuda,ATG,2000,1723
Antigua and Barbuda,ATG,2001,1797
Antigua and Barbuda,ATG,2002,2343
Antigua and Barbuda,ATG,2003,2541
Antigua and Barbuda,ATG,2004,2473
Antigua and Barbuda,ATG,2005,2948
Antigua and Barbuda,ATG,2006,3044
Antigua and Barbuda,ATG,2007,3042
Antigua and Barbuda,ATG,2008,3389
Antigua and Barbuda,ATG,2009,2416
Antigua and Barbuda,ATG,2010,2219
Antigua and Barbuda,ATG,2011,3055
Antigua and Barbuda,ATG,2012,5951
Antigua and Barbuda,ATG,2013,4605
Antigua and Barbuda,ATG,2014,3114
Antigua and Barbuda,ATG,2015,3165
Antigua and Barbuda,ATG,2016,3165
Antigua and Barbuda,ATG,2017,3165
Antigua and Barbuda,ATG,2018,3165
Arab World,,1960,474880
Arab World,,1961,505098
Arab World,,1962,531470
Arab World,,1963,541412
Arab World,,1964,593475
Arab World,,1965,591828
Arab World,,1966,694322
Arab World,,1967,640424
Arab World,,1968,614804
Arab World,,1969,634609
Arab World,,1970,687642
Arab World,,1971,704721
Arab World,,1972,752751
Arab World,,1973,921490
Arab World,,1974,898965
Arab World,,1975,864251
Arab World,,1976,934355
Arab World,,1977,905199
Arab World,,1978,910069.89453125
Arab World,,1979,938276.7890625
Arab World,,1980,987376.09375
Arab World,,1981,1038654.078125
Arab World,,1982,1032889.640625
Arab World,,1983,1179314.23657227
Arab World,,1984,1199784.85888672
Arab World,,1985,1276059.99194336
Arab World,,1986,1420378.53637695
Arab World,,1987,1422105.03491211
Arab World,,1988,1575689.6328125
Arab World,,1989,1489955.34375
Arab World,,1990,1536003.0703125
Arab World,,1991,1588588.5546875
Arab World,,1992,1569900.8515625
Arab World,,1993,1677432.2734375
Arab World,,1994,1884931.453125
Arab World,,1995,2023076.6953125
Arab World,,1996,1792001.8109375
Arab World,,1997,2006436.515625
Arab World,,1998,1984901.71875
Arab World,,1999,2060476.984375
Arab World,,2000,2211091.9140625
Arab World,,2001,2569250.46875
Arab World,,2002,2466899.4921875
Arab World,,2003,2512946.2421875
Arab World,,2004,2590634.0625
Arab World,,2005,2676910.109375
Arab World,,2006,2478328.4609375
Arab World,,2007,2480108.3125
Arab World,,2008,2491842.375
Arab World,,2009,2760764.61328125
Arab World,,2010,2745879.921875
Arab World,,2011,2623574.375
Arab World,,2012,2984907.375
Arab World,,2013,3056245.453125
Arab World,,2014,3081111.796875
Arab World,,2015,3097365.625
Arab World,,2016,3396238.875
Arab World,,2017,3601263.75
Arab World,,2018,3974589.046875
Argentina,ARG,1960,104732
Argentina,ARG,1961,101900
Argentina,ARG,1962,101306
Argentina,ARG,1963,130571
Argentina,ARG,1964,168604
Argentina,ARG,1965,205000
Argentina,ARG,1966,250800
Argentina,ARG,1967,240860
Argentina,ARG,1968,223121
Argentina,ARG,1969,202800
Argentina,ARG,1970,214500
Argentina,ARG,1971,228608
Argentina,ARG,1972,237948
Argentina,ARG,1973,301989
Argentina,ARG,1974,295965
Argentina,ARG,1975,232209
Argentina,ARG,1976,281727
Argentina,ARG,1977,402723
Argentina,ARG,1978,541892
Argentina,ARG,1979,580657
Argentina,ARG,1980,400011
Argentina,ARG,1981,374777
Argentina,ARG,1982,488112
Argentina,ARG,1983,428064
Argentina,ARG,1984,322563
Argentina,ARG,1985,419470
Argentina,ARG,1986,422424
Argentina,ARG,1987,461568
Argentina,ARG,1988,496041
Argentina,ARG,1989,494683
Argentina,ARG,1990,560857
Argentina,ARG,1991,642362
Argentina,ARG,1992,745678
Argentina,ARG,1993,984908
Argentina,ARG,1994,999814
Argentina,ARG,1995,1175635
Argentina,ARG,1996,1290065
Argentina,ARG,1997,1389550
Argentina,ARG,1998,1165404
Argentina,ARG,1999,1086938
Argentina,ARG,2000,922289
Argentina,ARG,2001,931282
Argentina,ARG,2002,946535
Argentina,ARG,2003,911283
Argentina,ARG,2004,945978
Argentina,ARG,2005,934009
Argentina,ARG,2006,1176616
Argentina,ARG,2007,992618
Argentina,ARG,2008,999949
Argentina,ARG,2009,872632
Argentina,ARG,2010,818162
Argentina,ARG,2011,815988
Argentina,ARG,2012,762560
Argentina,ARG,2013,890305
Argentina,ARG,2014,853436
Argentina,ARG,2015,835850
Argentina,ARG,2016,771152
Argentina,ARG,2017,849268
Argentina,ARG,2018,838209
Armenia,ARM,1988,2419
Armenia,ARM,1989,2738
Armenia,ARM,1990,2698
Armenia,ARM,1991,1933
Armenia,ARM,1992,1885
Armenia,ARM,1993,1850
Armenia,ARM,1994,1033
Armenia,ARM,1995,821
Armenia,ARM,1996,580
Armenia,ARM,1997,580
Armenia,ARM,1998,698
Armenia,ARM,1999,1144
Armenia,ARM,2000,1133
Armenia,ARM,2001,866
Armenia,ARM,2002,465
Armenia,ARM,2003,569
Armenia,ARM,2004,218
Armenia,ARM,2005,250
Armenia,ARM,2006,350
Armenia,ARM,2007,1065
Armenia,ARM,2008,601
Armenia,ARM,2009,619
Armenia,ARM,2010,617
Armenia,ARM,2011,795
Armenia,ARM,2012,861
Armenia,ARM,2013,4099
Armenia,ARM,2014,4795
Armenia,ARM,2015,8140
Armenia,ARM,2016,3758
Armenia,ARM,2017,364
Armenia,ARM,2018,369
Aruba,ABW,1960,200
Aruba,ABW,1961,200
Aruba,ABW,1962,300
Aruba,ABW,1963,300
Aruba,ABW,1964,300
Aruba,ABW,1965,300
Aruba,ABW,1966,300
Aruba,ABW,1967,400
Aruba,ABW,1968,400
Aruba,ABW,1969,400
Aruba,ABW,1970,400
Aruba,ABW,1971,400
Aruba,ABW,1972,400
Aruba,ABW,1973,500
Aruba,ABW,1974,550
Aruba,ABW,1975,600
Aruba,ABW,1976,650
Aruba,ABW,1977,700
Aruba,ABW,1978,770
Aruba,ABW,1979,770
Aruba,ABW,1980,770
Aruba,ABW,1981,770
Aruba,ABW,1982,770
Aruba,ABW,1983,770
Aruba,ABW,1984,770
Aruba,ABW,1985,770
Aruba,ABW,1986,700
Aruba,ABW,1987,620
Aruba,ABW,1988,550
Aruba,ABW,1989,480
Aruba,ABW,1990,420
Aruba,ABW,1991,350
Aruba,ABW,1992,300
Aruba,ABW,1993,260
Aruba,ABW,1994,260
Aruba,ABW,1995,140
Aruba,ABW,1996,160
Aruba,ABW,1997,205
Aruba,ABW,1998,182
Aruba,ABW,1999,175
Aruba,ABW,2000,163
Aruba,ABW,2001,163
Aruba,ABW,2002,163
Aruba,ABW,2003,160
Aruba,ABW,2004,162
Aruba,ABW,2005,162
Aruba,ABW,2006,145
Aruba,ABW,2007,159
Aruba,ABW,2008,151
Aruba,ABW,2009,163
Aruba,ABW,2010,153
Aruba,ABW,2011,166
Aruba,ABW,2012,138
Aruba,ABW,2013,145
Aruba,ABW,2014,152
Aruba,ABW,2015,150
Aruba,ABW,2016,150
Aruba,ABW,2017,149
Aruba,ABW,2018,149
Australia,AUS,1960,57454
Australia,AUS,1961,57215
Australia,AUS,1962,62656
Australia,AUS,1963,67819
Australia,AUS,1964,68242
Australia,AUS,1965,77944
Australia,AUS,1966,89514
Australia,AUS,1967,93044
Australia,AUS,1968,103495
Australia,AUS,1969,91758
Australia,AUS,1970,97996
Australia,AUS,1971,107029
Australia,AUS,1972,117250
Australia,AUS,1973,120461
Australia,AUS,1974,134082
Australia,AUS,1975,105372
Australia,AUS,1976,105572
Australia,AUS,1977,137195
Australia,AUS,1978,131282
Australia,AUS,1979,137912
Australia,AUS,1980,136873
Australia,AUS,1981,153148
Australia,AUS,1982,171926
Australia,AUS,1983,169112
Australia,AUS,1984,177014
Australia,AUS,1985,162845
Australia,AUS,1986,183734
Australia,AUS,1987,212829
Australia,AUS,1988,221970
Australia,AUS,1989,200208
Australia,AUS,1990,237505
Australia,AUS,1991,247658
Australia,AUS,1992,256427
Australia,AUS,1993,259830
Australia,AUS,1994,228164
Australia,AUS,1995,238138
Australia,AUS,1996,230717
Australia,AUS,1997,229463
Australia,AUS,1998,238273.4375
Australia,AUS,1999,244467
Australia,AUS,2000,219713
Australia,AUS,2001,217108
Australia,AUS,2002,217973
Australia,AUS,2003,240089.234375
Australia,AUS,2004,255833.046875
Australia,AUS,2005,273833.28125
Australia,AUS,2006,229131
Australia,AUS,2007,211880.3125
Australia,AUS,2008,212315.703125
Australia,AUS,2009,200064.5
Australia,AUS,2010,218659.546875
Australia,AUS,2011,217720.078125
Australia,AUS,2012,216678.046875
Australia,AUS,2013,201837.5
Australia,AUS,2014,198323.203125
Australia,AUS,2015,203270.71875
Australia,AUS,2016,220959.375
Australia,AUS,2017,229645.4375
Australia,AUS,2018,225436.6875
Austria,AUT,1960,3550
Austria,AUT,1961,3540
Austria,AUT,1962,3830
Austria,AUT,1963,4000
Austria,AUT,1964,4220
Austria,AUT,1965,4370
Austria,AUT,1966,4150
Austria,AUT,1967,3410
Austria,AUT,1968,3260
Austria,AUT,1969,2700
Austria,AUT,1970,2330
Austria,AUT,1971,1940
Austria,AUT,1972,1520
Austria,AUT,1973,900
Austria,AUT,1974,850
Austria,AUT,1975,840
Austria,AUT,1976,970
Austria,AUT,1977,870
Austria,AUT,1978,800
Austria,AUT,1979,700
Austria,AUT,1980,1100
Austria,AUT,1981,1200
Austria,AUT,1982,1400
Austria,AUT,1983,1100
Austria,AUT,1984,700
Austria,AUT,1985,700
Austria,AUT,1986,640
Austria,AUT,1987,600
Austria,AUT,1988,600
Austria,AUT,1989,550
Austria,AUT,1990,533
Austria,AUT,1991,500
Austria,AUT,1992,479
Austria,AUT,1993,420
Austria,AUT,1994,388
Austria,AUT,1995,404
Austria,AUT,1996,450
Austria,AUT,1997,465
Austria,AUT,1998,451
Austria,AUT,1999,432
Austria,AUT,2000,439
Austria,AUT,2001,362
Austria,AUT,2002,350
Austria,AUT,2003,372
Austria,AUT,2004,400
Austria,AUT,2005,370
Austria,AUT,2006,360
Austria,AUT,2007,350
Austria,AUT,2008,350
Austria,AUT,2009,350
Austria,AUT,2010,350
Austria,AUT,2011,350
Austria,AUT,2012,300
Austria,AUT,2013,350
Austria,AUT,2014,350
Austria,AUT,2015,350
Austria,AUT,2016,350
Austria,AUT,2017,350
Austria,AUT,2018,350
Azerbaijan,AZE,1988,55340
Azerbaijan,AZE,1989,52785
Azerbaijan,AZE,1990,40449
Azerbaijan,AZE,1991,37487
Azerbaijan,AZE,1992,30339
Azerbaijan,AZE,1993,21733
Azerbaijan,AZE,1994,18901
Azerbaijan,AZE,1995,10545
Azerbaijan,AZE,1996,6702
Azerbaijan,AZE,1997,5161
Azerbaijan,AZE,1998,4760
Azerbaijan,AZE,1999,20866
Azerbaijan,AZE,2000,18797
Azerbaijan,AZE,2001,10893
Azerbaijan,AZE,2002,11188
Azerbaijan,AZE,2003,6435
Azerbaijan,AZE,2004,9258
Azerbaijan,AZE,2005,9001
Azerbaijan,AZE,2006,4061
Azerbaijan,AZE,2007,2949
Azerbaijan,AZE,2008,1524
Azerbaijan,AZE,2009,1206
Azerbaijan,AZE,2010,1131
Azerbaijan,AZE,2011,1061
Azerbaijan,AZE,2012,911
Azerbaijan,AZE,2013,796
Azerbaijan,AZE,2014,906
Azerbaijan,AZE,2015,594
Azerbaijan,AZE,2016,722
Azerbaijan,AZE,2017,950
Azerbaijan,AZE,2018,1601
