"","objectid","year_","state","agency","unit_id","fire_name","inc_num","alarm_date","cont_date","cause","comments","report_ac","gis_acres","c_method","objective","fire_num","shape_length","shape_area","fire_cause","plot_date"
"81",81,2007,"CA","USF","KNF","CHINA","43",2007-07-10,2007-08-18,1,"Part of the China-Back Complex",2906,2939.36328125,7,1,"43",19665.1733978482,11895181.0896809,"Natural",2017-07-10
"82",82,2007,"CA","USF","KNF","SKY","33",2007-07-10,2007-07-15,1,NA,22,21.53662109375,6,1,"33",1168.99909842765,87155.6117050588,"Natural",2017-07-10
"83",83,2007,"CA","USF","BDF","BUTLER","138",2007-09-01,2007-09-05,1,NA,85,87.5025787353516,5,1,"138",2332.15423077546,354110.35848055,"Natural",2017-09-01
"84",84,2007,"CA","USF","KNF","DOGWOOD","68",2007-08-29,2007-09-04,1,NA,12,12.9259176254272,6,1,"68",1065.06421536203,52309.3311441566,"Natural",2017-08-29
"85",85,2007,"CA","USF","BDF","ELLIOT","140",2007-09-01,2007-09-03,1,NA,15,18.190486907959,6,1,"140",1396.65067178403,73614.2865039093,"Natural",2017-09-01
"86",86,2007,"CA","USF","BDF","DEVORE","95",2007-08-04,2007-08-04,2,NA,10,14.0003385543823,6,1,"95",965.951508948397,56657.3617107522,"Human",2017-08-04
"87",87,2007,"CA","USF","BDF","SAND","93",2007-08-02,2007-08-05,5,NA,100,108.178764343262,6,1,"93",3267.95361450036,437783.937199592,"Human",2017-08-02
"88",88,2007,"CA","USF","BDF","BLUECUT","77",2007-07-13,2007-07-13,2,NA,25,24.7784175872803,8,1,"77",1447.9616472258,100274.697106578,"Human",2017-07-13
"89",89,2007,"CA","USF","MDF","ROCK BSFMU A6","22",2007-07-06,2007-07-25,1,NA,268,267.275177001953,1,1,"22",6268.03363471335,1081624.32709313,"Natural",2017-07-06
"90",90,2007,"CA","USF","INF","SAGE","15",2007-07-06,2007-07-11,1,"Part of the Inyo Complex",6460,6462.6201171875,2,1,"15",38003.2265272302,26153295.7939306,"Natural",2017-07-06
"91",91,2007,"CA","CDF","ORC","SANTIAGO","85",2007-10-21,2007-11-08,9,NA,28476,28429.98046875,3,1,"85",86612.2871901814,115052046.15214,"Human",2017-10-21
"92",92,2007,"CA","USF","INF","SENTINEL","25",2007-07-05,2007-07-14,1,NA,13,12.1658706665039,1,1,"25",1304.22052520787,49233.5302321541,"Natural",2017-07-05
"93",93,2007,"CA","USF","INF","SEVEN","23",2007-07-06,2007-07-13,1,"Part of the Inyo Complex",1633,1643.76879882812,2,1,"23",11435.1918522398,6652096.30199868,"Natural",2017-07-06
"94",94,2007,"CA","USF","BDF","SLIDE","167",2007-10-22,2007-11-14,9,NA,12759,12769.248046875,7,1,"167",74185.9159529054,51675311.5095972,"Human",2017-10-22
"95",95,2007,"CA","CDF","MVU","RICE","10502",2007-10-07,2007-11-05,9,NA,NA,9471.853515625,3,1,"0",51738.2247819223,38331231.9355156,"Human",2017-10-07
"96",96,2007,"CA","BLM","BBD","LARSON","557",2007-06-01,2007-06-11,1,"Hope this works.  If not let me know and will try again.",1080,1075.99938964844,2,1,"557",11686.6527069916,4354415.03849431,"Natural",2017-06-01
"97",97,2007,"CA","BLM","NOD","PONDEROSA","6532",2007-09-19,2007-09-12,11,"10 of the 15 acres was on BLM land",15,14.6404047012329,1,1,"6532",1335.68356523059,59247.6169617373,"Human",2017-09-19
"98",98,2007,"CA","BLM","NOD","TWIN","4262",2007-08-31,2007-08-31,1,NA,30.32,30.3083438873291,1,1,"4262",2055.62525029993,122653.519632351,"Natural",2017-08-31
"99",99,2007,"CA","BLM","BBD","WALKER","622",NA,2007-04-06,1,NA,793.3,794.1240234375,1,1,"622",11111.0891432362,3213705.87037981,"Natural",NA
"100",100,2007,"CA","BLM","NOD","LAKE","6277",2007-09-03,NA,9,NA,NA,12.5574398040771,NA,1,"6277",1027.68795929673,50818.155943779,"Human",2017-09-03
"101",101,2007,"CA","BLM","BBD","BROWN","1504",2007-07-20,2007-06-23,9,NA,84.7,1430.31726074219,1,1,"1504",16089.6050922784,5788288.8331196,"Human",2017-07-20
"102",102,2007,"CA","BLM","BBD","BODFISH","1379",2007-06-10,2007-06-11,14,NA,213,213.116195678711,2,1,"1379",4154.09167106013,862450.67223944,"Unknown",2017-06-10
"103",103,2007,"CA","BLM","NOD","DANHAUSER","4229",2007-08-30,2007-08-31,14,NA,145,145.139739990234,8,1,"4229",6138.25916994517,587359.711308419,"Unknown",2017-08-30
"104",104,2007,"CA","BLM","BBD","SAN BENITO","2767",2007-08-18,2007-08-19,14,NA,15,16.0366268157959,8,1,"2767",1531.18670356448,64897.9261763322,"Unknown",2017-08-18
"105",105,2007,"CA","BLM","NOD","SCHOTT","285",2007-01-24,2007-01-24,14,NA,99,60.5663414001465,8,1,"285",2842.13570941151,245103.281782687,"Unknown",2017-01-24
"106",106,2007,"CA","CDF","BTU","HONEY","5890",2007-05-22,2007-05-28,11,NA,726,726.403564453125,2,1,"0",12290.9973247959,2939650.87183846,"Human",2017-05-22
"107",107,2007,"CA","LRA","BTU","HWY 32","9279",2007-08-03,2007-08-03,10,NA,380,247.546981811523,1,1,"0",4421.8703066238,1001787.09842038,"Human",2017-08-03
"108",108,2007,"CA","CDF","BTU","BANGOR","9467",2007-08-07,2007-08-07,7,NA,1057,1057.2021484375,1,1,"0",12214.7337114639,4278345.19392863,"Human",2017-08-07
"109",109,2007,"CA","CDF","FKU","PANOCHE","2844",2007-03-22,2007-03-23,11,NA,300,73.7870483398438,1,1,"2844",2596.85593561555,298605.601418748,"Human",2017-03-22
"110",110,2007,"CA","CDF","FKU","TAR","8730",2007-08-10,2007-08-19,14,NA,5670,5671.0283203125,2,1,"8730",24980.0604316393,22949836.5789135,"Unknown",2017-08-10
"111",111,2007,"CA","USF","STF","BOURLAND",NA,2007-10-30,NA,1,"20090305",28,29.3580684661865,6,2,"90",1848.91020215316,118807.885898968,"Natural",2017-10-30
"112",112,2007,"CA","USF","SNF","MONO","4",2007-04-05,2007-05-25,1,NA,98,98.0834655761719,2,1,"4",5165.60088637819,396929.695897246,"Natural",2017-04-05
"113",113,2007,"CA","USF","PNF","MOONLIGHT","98",2007-09-03,2007-09-25,2,NA,64995,64959.95703125,7,1,"98",82138.2623645765,262883613.948089,"Human",2017-09-03
"114",114,2007,"CA","USF","CNF","MCCOY","86",2007-10-21,2007-10-24,9,NA,353,353.139282226562,1,1,"86",7933.19502282718,1429103.9905603,"Human",2017-10-21
"115",115,2007,"CA","CDF","LAC","NORTH","129",2007-09-02,2007-09-02,1,NA,2200,2122.34252929688,8,1,"129",15780.587963364,8588815.77782602,"Natural",2017-09-02
"116",116,2007,"CA","USF","INF","OAK","22",2007-07-06,2007-07-13,1,"Part of the Inyo Complex",12051,27062.869140625,2,1,"22",83818.9894741446,109519543.383013,"Natural",2017-07-06
"117",117,2007,"CA","USF","INF","OHAREL","52",2007-10-29,2007-12-18,1,"CONT_DATE is the Fire Out Date from NIFMID",560,596.915893554688,1,2,"52",9833.01352086054,2415632.97951844,"Natural",2017-10-29
"118",118,2007,"CA","USF","CNF","PINE","73",2007-09-12,2007-10-02,4,NA,2170,2111.76806640625,7,1,"73",17108.2334194678,8546022.39768294,"Human",2017-09-12
"119",119,2007,"CA","USF","SRF","PIONEER","17",2007-07-11,2007-07-13,1,NA,25,25.0635032653809,7,1,"17",1503.191304916,101428.399607531,"Natural",2017-07-11
"120",120,2007,"CA","CDF","MVU","POOMACHA","10643",2007-10-23,2007-12-01,9,NA,49390,49410.96875,7,1,"87",119199.724712318,199959093.235808,"Human",2017-10-23
"121",121,2007,"CA","USF","MDF","RATTLESNAKE","38",2007-07-10,2007-07-15,1,NA,14,14.4309339523315,1,1,"38",1190.38723613696,58399.9179899646,"Natural",2017-07-10
"122",122,2007,"CA","USF","SQF","RICHBAR","66",2007-10-23,2007-10-23,9,NA,13,13.4325942993164,6,1,"66",926.192227101783,54359.7821121206,"Human",2017-10-23
"123",123,2007,"CA","USF","SQF","RIVER","36",2007-08-01,2007-08-01,2,NA,150,149.886734008789,6,1,"36",3220.09281668362,606570.077568643,"Human",2017-08-01
"124",124,2007,"CA","USF","TNF","RALSTON","1443",2006-09-05,2007-09-17,9,NA,8422,8421.0439453125,2,1,"64",45005.6996715376,34078757.4867931,"Human",2017-09-05
"125",125,2007,"CA","CDF","MEU","PASS","5025",2007-07-10,2007-07-11,14,NA,444,444.157135009766,2,1,"5025",5771.59356130674,1797440.14677488,"Unknown",2017-07-10
"126",126,2007,"CA","CDF","NEU","EIGHTY","18249",2007-08-22,2007-08-22,2,NA,NA,78.0422973632812,1,1,"0",2885.52143303556,315825.982030437,"Human",2017-08-22
"127",127,2007,"CA","LRA","NEU","ATHENS","16528",2007-08-02,2007-08-02,10,NA,NA,15.1861085891724,1,1,"0",1272.97319277971,61456.0025215802,"Human",2017-08-02
"128",128,2007,"CA","LRA","NEU","WEST BUTTE","16014",2007-07-27,2007-07-27,14,"LRA adj to Sutter Buttes, CDF aircraft used",NA,83.3137512207031,1,1,"0",3193.02856626809,337158.798175737,"Unknown",2017-07-27
"129",129,2007,"CA","LRA","NEU","PEACE VALLEY","20787",2007-09-21,2007-09-22,1,"LRA in Sutter Buttes, Burned State Park lands",NA,282.393737792969,1,1,"0",5538.36385602332,1142806.91978709,"Natural",2017-09-21
"130",130,2007,"CA","CDF","NEU","CROSBY","10759",2007-05-28,2007-05-28,1,NA,NA,20.3093566894531,1,1,"0",1633.61651187141,82189.0490470827,"Natural",2017-05-28
"131",131,2007,"CA","LRA","NEU","FIDDYMENT","11118",2007-06-01,2007-06-01,8,NA,NA,62.6340599060059,1,1,"0",2700.31676327997,253471.043812802,"Human",2017-06-01
"132",132,2007,"CA","CDF","NEU","WILSON","7290",2007-04-09,2007-04-09,5,NA,NA,13.7532720565796,1,1,"0",1870.9079041799,55657.5157701606,"Human",2017-04-09
"133",133,2007,"CA","CDF","NEU","SMARTVILLE","13538",2007-06-29,2007-06-29,1,NA,NA,197.490646362305,1,1,"0",6821.98221194204,799216.290404714,"Natural",2017-06-29
"134",134,2007,"CA","CDF","NEU","SIXTY-FIVE","15674",2007-07-23,2007-07-23,14,NA,NA,29.6079635620117,1,1,"0",1424.06206702242,119819.179031852,"Unknown",2017-07-23
"135",135,2007,"CA","CDF","NEU","SIXTY-FIVE 2","20203",2007-09-14,2007-09-14,14,NA,NA,30.9279384613037,1,1,"0",1523.98035542572,125160.92928928,"Unknown",2017-09-14
"136",136,2007,"CA","CDF","RRU","COLINA","79386",2007-09-10,2007-09-10,14,NA,388,374.446594238281,7,1,"0",7100.88482387128,1515331.58961138,"Unknown",2017-09-10
"137",137,2007,"CA","CDF","RRU","LAGUNA","80051",2007-09-12,2007-09-12,14,NA,12,12.4393472671509,7,1,"0",1234.30104581329,50340.2511371034,"Unknown",2017-09-12
"138",138,2007,"CA","LRA","RRU","POLK","41579",2007-05-10,2007-05-10,14,NA,56,84.7937622070312,7,1,"0",3700.127160272,343148.174668699,"Unknown",2017-05-10
"139",139,2007,"CA","CDF","RRU","MOCKINGBIRD","1600",2007-10-05,2007-10-05,14,NA,671,737.271545410156,7,1,"0",8624.16121019187,2983632.1455307,"Unknown",2017-10-05
"140",140,2007,"CA","CDF","NEU","PETERSON","14260",2007-07-06,2007-07-06,7,NA,NA,14.4764547348022,1,1,"0",1326.37004679298,58584.1341300583,"Human",2017-07-06
"141",141,2007,"CA","CDF","NEU","JASPER","21576",2007-10-02,2007-10-02,2,NA,NA,85.6582641601562,1,1,"0",2826.75190362453,346646.704652282,"Human",2017-10-02
"142",142,2007,"CA","CDF","NEU","MOONEY","18335",2007-08-23,2007-08-23,14,NA,NA,49.3754425048828,1,1,"0",2322.11506351114,199815.329332816,"Unknown",2017-08-23
