state,race,type,all_workers_n,artists_n,artists_share,location_quotient
South Carolina,Hispanic,Architects,134610,45,3.3429908624916426e-4,0.5733258609370996
South Dakota,Hispanic,Architects,15565,NA,NA,NA
Tennessee,Hispanic,Architects,167595,20,1.1933530236582236e-4,0.20466108877749065
Texas,Hispanic,Architects,5220455,2585,4.951675668117051e-4,0.8492167140979117
Utah,Hispanic,Architects,213410,NA,NA,NA
Vermont,Hispanic,Architects,6470,0,NA,NA
Virginia,Hispanic,Architects,427525,345,8.069703526109584e-4,1.3839612227254456
Washington,Hispanic,Architects,448570,210,4.6815435717948144e-4,0.8028888229785034
West Virginia,Hispanic,Architects,12005,0,NA,NA
Wisconsin,Hispanic,Architects,186120,55,2.955082742316785e-4,0.5067992785706789
Wyoming,Hispanic,Architects,27680,0,NA,NA
Puerto Rico,Hispanic,Architects,1208905,870,7.196595265963827e-4,NA
Alabama,White,Architects,1496830,945,6.313342196508622e-4,0.4925132700967393
Alaska,White,Architects,253950,225,8.860011813349084e-4,0.6911827769610649
Arizona,White,Architects,1857110,2420,0.0013030999779226862,1.0165677883651123
Arkansas,White,Architects,1014735,450,4.434655353368121e-4,0.3459540987731032
California,White,Architects,7686845,15935,0.0020730221566845697,1.617195598769122
Colorado,White,Architects,2172170,4625,0.002129207198331622,1.661026390338466
Connecticut,White,Architects,1329540,2670,0.0020082133670291983,1.5666372923591978
Delaware,White,Architects,307920,270,8.768511301636789e-4,0.6840446851491132
District of Columbia,White,Architects,183365,820,0.004471954844163281,3.4886388785354097
Florida,White,Architects,5285390,5425,0.0010264143232571296,0.8007211696857847
Georgia,White,Architects,2773560,3545,0.0012781407288827355,0.9970967047754675
Hawaii,White,Architects,177700,505,0.002841868317388858,2.2169839913881706
Idaho,White,Architects,688065,830,0.001206281383299543,0.941038154203376
Illinois,White,Architects,4224420,6630,0.0015694462198360959,1.2243484764692587
Indiana,White,Architects,2724985,1165,4.275252891300319e-4,0.33351887422628546
Iowa,White,Architects,1463250,830,5.672304800956775e-4,0.44250498381817593
Kansas,White,Architects,1178420,1495,0.0012686478505117022,0.9896911683359354
Kentucky,White,Architects,1787115,1015,5.679544964929509e-4,0.4430697998416476
Louisiana,White,Architects,1337315,1410,0.0010543514430033313,0.8225153347650912
Maine,White,Architects,658985,455,6.904557766868745e-4,0.538634881254012
Maryland,White,Architects,1690500,3295,0.0019491274770777876,1.5205435056282357
Massachusetts,White,Architects,2791055,5250,0.0018810091524531047,1.4674033814750302
Michigan,White,Architects,3807850,2595,6.814869283191303e-4,0.5316381484600217
Minnesota,White,Architects,2524705,3040,0.00120410107319469,0.9393372616711133
Mississippi,White,Architects,787155,435,5.526230539093317e-4,0.4311095121095261
Missouri,White,Architects,2479115,2735,0.0011032162687087932,0.8606355163611616
Montana,White,Architects,472695,500,0.0010577645204624547,0.8251779275537665
Nebraska,White,Architects,845465,755,0.00089299971021863705,0.6966424340477627
Nevada,White,Architects,749805,555,7.401924500370096e-4,0.5774352042413436
New Hampshire,White,Architects,690940,540,7.815439835586303e-4,0.6096941541989606
New Jersey,White,Architects,2640925,3860,0.001461609095298049,1.140223122273451
New Mexico,White,Architects,374900,705,0.001880501467057882,1.4670073285027714
New York,White,Architects,5774960,12660,0.0021922229764362003,1.7101859416124958
North Carolina,White,Architects,3309215,3445,0.0010410323898568088,0.8121249421400664
North Dakota,White,Architects,363175,325,8.94885385833276e-4,0.6981134778062036
Ohio,White,Architects,4775955,3580,7.49588302234841e-4,0.5847650491115595
Oklahoma,White,Architects,1276415,900,7.050998303843185e-4,0.5500589266320512
Oregon,White,Architects,1600140,2625,0.0016404814578724362,1.2797641284146355
Pennsylvania,White,Architects,5161830,5100,9.880216899820413e-4,0.7707705020783875
Rhode Island,White,Architects,423445,505,0.0011925988026780336,0.9303641683564048
South Carolina,White,Architects,1586190,1680,0.0010591417169443763,0.8262522991334538
South Dakota,White,Architects,398225,190,4.771172076087639e-4,0.372206271772768
Tennessee,White,Architects,2455855,1685,6.861154261957648e-4,0.5352489089002173
Texas,White,Architects,6162190,9200,0.0014929757115570924,1.1646926888908826
Utah,White,Architects,1227970,1280,0.0010423707419562366,0.8131690106358223
Vermont,White,Architects,319270,415,0.0012998402605944811,1.0140248341089766
Virginia,White,Architects,2778485,4330,0.0015584032305375052,1.2157336753040378
Washington,White,Architects,2668545,4735,0.0017743751744864712,1.3842166199197734
West Virginia,White,Architects,734535,150,2.0421082725806123e-4,0.1593079215279167
Wisconsin,White,Architects,2597700,2125,8.180313354120953e-4,0.6381584832645677
Wyoming,White,Architects,260685,330,0.001265895621151965,0.9875441130364931
Puerto Rico,White,Architects,13370,75,0.005609573672400898,NA
Alabama,African-American,Architects,581200,NA,NA,NA
Alaska,African-American,Architects,13760,0,NA,NA
Arizona,African-American,Architects,152575,0,NA,NA
Arkansas,African-American,Architects,200385,0,NA,NA
California,African-American,Architects,1066265,390,3.6576273252896793e-4,1.3951438264127312
Colorado,African-American,Architects,118415,NA,NA,NA
Connecticut,African-American,Architects,191785,NA,NA,NA
Delaware,African-American,Architects,105485,0,NA,NA
District of Columbia,African-American,Architects,149480,150,0.0010034787262510037,3.827610156413955
Florida,African-American,Architects,1569980,360,2.2930228410553e-4,0.8746371283926032
Georgia,African-American,Architects,1613775,360,2.230794255704792e-4,0.8509010232738885
Hawaii,African-American,Architects,16455,0,NA,NA
Idaho,African-American,Architects,5195,0,NA,NA
Illinois,African-American,Architects,848255,230,2.7114487978261256e-4,1.0342390611437546
Indiana,African-American,Architects,292355,NA,NA,NA
Iowa,African-American,Architects,56060,0,NA,NA
Kansas,African-American,Architects,83690,100,0.001194885888397658,4.557702363331007
Kentucky,African-American,Architects,176080,NA,NA,NA
Louisiana,African-American,Architects,656860,50,7.61197210973419e-5,0.2903465813013214
Maine,African-American,Architects,8410,0,NA,NA
Maryland,African-American,Architects,957780,605,6.316690680532064e-4,2.409401292846364
Massachusetts,African-American,Architects,260415,110,4.224027033773016e-4,1.611187995568186
Michigan,African-American,Architects,624375,65,1.041041041041041e-4,0.3970885637824413
Minnesota,African-American,Architects,171180,NA,NA,NA
Mississippi,African-American,Architects,488460,120,2.4567006510256724e-4,0.937069428294244
Missouri,African-American,Architects,340530,NA,NA,NA
Montana,African-American,Architects,2855,0,NA,NA
Nebraska,African-American,Architects,45795,0,NA,NA
Nevada,African-American,Architects,125635,0,NA,NA
New Hampshire,African-American,Architects,9675,0,NA,NA
New Jersey,African-American,Architects,584190,255,4.365018230370256e-4,1.6649668472710737
New Mexico,African-American,Architects,19190,0,NA,NA
New York,African-American,Architects,1375735,615,4.4703376740433295e-4,1.7051392756171122
North Carolina,African-American,Architects,1079195,130,1.2046015780280672e-4,0.45947613176796
North Dakota,African-American,Architects,12445,0,NA,NA
Ohio,African-American,Architects,680665,125,1.8364393644450648e-4,0.7004806159916626
Oklahoma,African-American,Architects,134195,NA,NA,NA
Oregon,African-American,Architects,39020,NA,NA,NA
Pennsylvania,African-American,Architects,636035,40,6.288962085419828e-5,0.23988246608263508
Rhode Island,African-American,Architects,31000,0,NA,NA
South Carolina,African-American,Architects,638810,80,1.2523285483946714e-4,0.4776808262703114
South Dakota,African-American,Architects,8670,0,NA,NA
Tennessee,African-American,Architects,554550,30,5.409791723018664e-5,0.20634790954134272
Texas,African-American,Architects,1699445,675,3.971884938906525e-4,1.5150123998207714
Utah,African-American,Architects,16855,0,NA,NA
Vermont,African-American,Architects,4210,0,NA,NA
Virginia,African-American,Architects,837445,365,4.358495184758402e-4,1.662478735168492
Washington,African-American,Architects,147305,NA,NA,NA
West Virginia,African-American,Architects,29055,0,NA,NA
Wisconsin,African-American,Architects,160610,NA,NA,NA
Wyoming,African-American,Architects,2975,0,NA,NA
Puerto Rico,African-American,Architects,1405,0,NA,NA
Alabama,Asian,Architects,33515,NA,NA,NA
Alaska,Asian,Architects,26420,0,NA,NA
Arizona,Asian,Architects,120580,370,0.0030685022391773098,1.477912737791206
Arkansas,Asian,Architects,24295,NA,NA,NA
California,Asian,Architects,3008795,5880,0.00195427072964426,0.941254520709793
Colorado,Asian,Architects,97015,250,0.002576921094676081,1.241147704401128
Connecticut,Asian,Architects,89425,95,0.001062342745317305,0.5116665241950311
Delaware,Asian,Architects,19880,NA,NA,NA
District of Columbia,Asian,Architects,19090,50,0.002619172341540073,1.2614975855681028
Florida,Asian,Architects,292825,380,0.001297703406471442,0.625025580823231
Georgia,Asian,Architects,217095,695,0.003201363458393791,1.5419039859420145
Hawaii,Asian,Architects,290190,515,0.0017746993349185016,0.854765793988419
Idaho,Asian,Architects,12030,NA,NA,NA
Illinois,Asian,Architects,378055,1135,0.0030022086733411807,1.445983119447801
Indiana,Asian,Architects,76575,55,7.182500816193273e-4,0.3459378099816466
Iowa,Asian,Architects,40760,50,0.0012266928361138372,0.590824065468476
Kansas,Asian,Architects,46470,125,0.0026899074671831286,1.2955664357916443
Kentucky,Asian,Architects,33565,NA,NA,NA
Louisiana,Asian,Architects,41430,35,8.447984552256819e-4,0.406888540573173
Maine,Asian,Architects,8235,0,NA,NA
Maryland,Asian,Architects,213470,485,0.0022719820115238674,1.0942769120363625
Massachusetts,Asian,Architects,249930,800,0.0032008962509502666,1.541678960252556
Michigan,Asian,Architects,163870,215,0.0013120156221395009,0.6319189132027146
Minnesota,Asian,Architects,143550,275,0.0019157088122605363,0.9226815673752904
Mississippi,Asian,Architects,14850,0,NA,NA
Missouri,Asian,Architects,63375,110,0.0017357001972386587,0.835982257967482
Montana,Asian,Architects,4980,0,NA,NA
Nebraska,Asian,Architects,24515,0,NA,NA
Nevada,Asian,Architects,131920,0,NA,NA
New Hampshire,Asian,Architects,20330,NA,NA,NA
New Jersey,Asian,Architects,450385,1035,0.0022980339043262984,1.1068245399066314
New Mexico,Asian,Architects,16455,NA,NA,NA
New York,Asian,Architects,864770,2440,0.0028215594898065386,1.3589752867636018
North Carolina,Asian,Architects,154710,230,0.0014866524465128304,0.7160309545541812
North Dakota,Asian,Architects,6855,NA,NA,NA
Ohio,Asian,Architects,136125,160,0.0011753902662993572,0.566114707123484
Oklahoma,Asian,Architects,44710,85,0.0019011406844106464,0.9156649775093187
Oregon,Asian,Architects,98010,200,0.002040608101214162,0.9828380332004931
Pennsylvania,Asian,Architects,227500,575,0.002527472527472528,1.2173313074623888
Rhode Island,Asian,Architects,18645,NA,NA,NA
South Carolina,Asian,Architects,41915,NA,NA,NA
South Dakota,Asian,Architects,7135,0,NA,NA
Tennessee,Asian,Architects,62925,50,7.945967421533572e-4,0.38270939862526954
Texas,Asian,Architects,712575,1840,0.00258218433147388,1.2436826886048753
Utah,Asian,Architects,40990,40,9.758477677482312e-4,0.4700071023858518
Vermont,Asian,Architects,6080,0,NA,NA
Virginia,Asian,Architects,304945,615,0.0020167571201364174,0.971350451965074
Washington,Asian,Architects,355135,815,0.002294901938699368,1.1053160606768409
West Virginia,Asian,Architects,7825,NA,NA,NA
Wisconsin,Asian,Architects,85760,75,8.745335820895522e-4,0.4212101604797414
Wyoming,Asian,Architects,2835,0,NA,NA
Puerto Rico,Asian,Architects,1335,0,NA,NA
Alabama,Other,Architects,43075,0,NA,NA
Alaska,Other,Architects,71330,40,5.607738679377541e-4,0.647434998759827
Arizona,Other,Architects,182520,90,4.930966469428008e-4,0.5692990441511152
Arkansas,Other,Architects,37895,0,NA,NA
California,Other,Architects,688910,680,9.870665253806738e-4,1.139606267649118
Colorado,Other,Architects,87510,230,0.0026282710547366017,3.034440020041666
Connecticut,Other,Architects,41230,45,0.00109143827310211,1.2601074646915054
Delaware,Other,Architects,10885,0,NA,NA
District of Columbia,Other,Architects,11085,40,0.0036084799278304014,4.166128864369731
Florida,Other,Architects,214840,130,6.051014708620369e-4,0.6986129212437163
Georgia,Other,Architects,102865,340,0.003305303067126817,3.8160995180389534
Hawaii,Other,Architects,198250,155,7.818411097099621e-4,0.9026656319720634
Idaho,Other,Architects,25710,80,0.0031116297160637884,3.5924961852616466
Illinois,Other,Architects,112345,75,6.675864524455917e-4,0.7707542357504527
Indiana,Other,Architects,61485,NA,NA,NA
Iowa,Other,Architects,27340,NA,NA,NA
Kansas,Other,Architects,43715,0,NA,NA
Kentucky,Other,Architects,36080,0,NA,NA
Louisiana,Other,Architects,42460,NA,NA,NA
Maine,Other,Architects,14700,0,NA,NA
Maryland,Other,Architects,85910,50,5.820044232336166e-4,0.6719464914087193
Massachusetts,Other,Architects,97815,135,0.0013801564177273423,1.5934436672053605
Michigan,Other,Architects,120390,NA,NA,NA
Minnesota,Other,Architects,83065,50,6.019382411364593e-4,0.6949608508628553
Mississippi,Other,Architects,17430,0,NA,NA
Missouri,Other,Architects,70070,25,3.5678607107178533e-4,0.4119232415935712
Montana,Other,Architects,37130,0,NA,NA
Nebraska,Other,Architects,24240,NA,NA,NA
Nevada,Other,Architects,69460,0,NA,NA
New Hampshire,Other,Architects,12270,0,NA,NA
New Jersey,Other,Architects,85410,105,0.0012293642430628731,1.419348301856205
New Mexico,Other,Architects,91840,35,3.8109756097560977e-4,0.4399917917448405
New York,Other,Architects,234265,440,0.0018782148421659232,2.168471274312949
North Carolina,Other,Architects,145630,30,2.0600151067774497e-4,0.23783666721248264
North Dakota,Other,Architects,23305,0,NA,NA
Ohio,Other,Architects,121180,80,6.601749463607857e-4,0.7621973669176177
Oklahoma,Other,Architects,242885,85,3.4995985754575213e-4,0.40404211553109193
Oregon,Other,Architects,93460,95,0.0010164776374919752,1.173562527778235
Pennsylvania,Other,Architects,104810,90,8.586966892472093e-4,0.9913983545316435
Rhode Island,Other,Architects,16140,55,0.0034076827757125155,3.9343008292822415
South Carolina,Other,Architects,46335,NA,NA,NA
South Dakota,Other,Architects,32695,0,NA,NA
Tennessee,Other,Architects,60575,NA,NA,NA
Texas,Other,Architects,261190,275,0.0010528733871894022,1.2155828206404415
Utah,Other,Architects,57995,NA,NA,NA
Vermont,Other,Architects,5900,0,NA,NA
Virginia,Other,Architects,128845,95,7.373200357018121e-4,0.8512643396806537
Washington,Other,Architects,214925,325,0.0015121554030475748,1.7458415726416192
West Virginia,Other,Architects,10700,0,NA,NA
Wisconsin,Other,Architects,66920,NA,NA,NA
Wyoming,Other,Architects,10830,NA,NA,NA
Puerto Rico,Other,Architects,2275,0,NA,NA
Alabama,Hispanic,Landscape Architects,88165,0,NA,NA
Alaska,Hispanic,Landscape Architects,26875,0,NA,NA
Arizona,Hispanic,Landscape Architects,1033370,70,6.773953182306433e-5,0.6038489027737797
Arkansas,Hispanic,Landscape Architects,101405,0,NA,NA
California,Hispanic,Landscape Architects,7470730,550,7.362065019081132e-5,0.6562748168282605
Colorado,Hispanic,Landscape Architects,594525,185,3.1117278499642574e-4,2.773880180984292
Connecticut,Hispanic,Landscape Architects,288845,NA,NA,NA
Delaware,Hispanic,Landscape Architects,41365,NA,NA,NA
District of Columbia,Hispanic,Landscape Architects,44885,0,NA,NA
Florida,Hispanic,Landscape Architects,2752995,530,1.9251760355540055e-4,1.7161551097698042
Georgia,Hispanic,Landscape Architects,467240,260,5.564592072596524e-4,4.960431120483464
Hawaii,Hispanic,Landscape Architects,69470,NA,NA,NA
Idaho,Hispanic,Landscape Architects,101285,0,NA,NA
Illinois,Hispanic,Landscape Architects,1100445,110,9.995956181362993e-5,0.891067152347167
Indiana,Hispanic,Landscape Architects,212120,0,NA,NA
Iowa,Hispanic,Landscape Architects,90730,0,NA,NA
Kansas,Hispanic,Landscape Architects,167495,NA,NA,NA
Kentucky,Hispanic,Landscape Architects,76325,0,NA,NA
Louisiana,Hispanic,Landscape Architects,113925,NA,NA,NA
Maine,Hispanic,Landscape Architects,10935,0,NA,NA
Maryland,Hispanic,Landscape Architects,321570,40,1.2438971297073733e-4,1.108844269693496
Massachusetts,Hispanic,Landscape Architects,401715,70,1.7425289073099088e-4,1.5533384132017491
Michigan,Hispanic,Landscape Architects,236520,NA,NA,NA
Minnesota,Hispanic,Landscape Architects,149745,NA,NA,NA
Mississippi,Hispanic,Landscape Architects,38780,NA,NA,NA
Missouri,Hispanic,Landscape Architects,121550,NA,NA,NA
Montana,Hispanic,Landscape Architects,19215,NA,NA,NA
Nebraska,Hispanic,Landscape Architects,99485,0,NA,NA
Nevada,Hispanic,Landscape Architects,430565,70,1.6257707895439712e-4,1.4492570010552197
New Hampshire,Hispanic,Landscape Architects,25860,NA,NA,NA
New Jersey,Hispanic,Landscape Architects,928940,95,1.0226710013563848e-4,0.9116371865111597
New Mexico,Hispanic,Landscape Architects,459615,NA,NA,NA
New York,Hispanic,Landscape Architects,1819490,300,1.6488136785582774e-4,1.4697980689863817
North Carolina,Hispanic,Landscape Architects,451040,NA,NA,NA
North Dakota,Hispanic,Landscape Architects,14510,0,NA,NA
Ohio,Hispanic,Landscape Architects,204545,95,4.644454765455034e-4,4.140195301951534
Oklahoma,Hispanic,Landscape Architects,187725,40,2.130776401651352e-4,1.8994329567470367
Oregon,Hispanic,Landscape Architects,266060,NA,NA,NA
Pennsylvania,Hispanic,Landscape Architects,423215,NA,NA,NA
Rhode Island,Hispanic,Landscape Architects,78695,NA,NA,NA
South Carolina,Hispanic,Landscape Architects,134610,0,NA,NA
South Dakota,Hispanic,Landscape Architects,15565,0,NA,NA
Tennessee,Hispanic,Landscape Architects,167595,0,NA,NA
Texas,Hispanic,Landscape Architects,5220455,420,8.045275747037375e-5,0.7171781087962723
Utah,Hispanic,Landscape Architects,213410,0,NA,NA
Vermont,Hispanic,Landscape Architects,6470,0,NA,NA
Virginia,Hispanic,Landscape Architects,427525,NA,NA,NA
Washington,Hispanic,Landscape Architects,448570,NA,NA,NA
West Virginia,Hispanic,Landscape Architects,12005,0,NA,NA
Wisconsin,Hispanic,Landscape Architects,186120,0,NA,NA
Wyoming,Hispanic,Landscape Architects,27680,0,NA,NA
Puerto Rico,Hispanic,Landscape Architects,1208905,185,1.530310487590009e-4,NA
Alabama,White,Landscape Architects,1496830,325,2.1712552527675157e-4,0.8917839879550441
Alaska,White,Landscape Architects,253950,45,1.772002362669817e-4,0.7278017320318497
Arizona,White,Landscape Architects,1857110,625,3.3654441578581776e-4,1.3822645718458628
Arkansas,White,Landscape Architects,1014735,190,1.8724100380887625e-4,0.7690414513565451
California,White,Landscape Architects,7686845,3340,4.345085662583284e-4,1.7846256515652992
Colorado,White,Landscape Architects,2172170,835,3.8440821850960097e-4,1.5788521117829708
Connecticut,White,Landscape Architects,1329540,595,4.475232035139973e-4,1.8380797311759545
Delaware,White,Landscape Architects,307920,45,1.4614185502727982e-4,0.6002378859752152
District of Columbia,White,Landscape Architects,183365,155,8.453085376162298e-4,3.471874703662783
Florida,White,Landscape Architects,5285390,1225,2.3177097621935184e-4,0.951936190835589
Georgia,White,Landscape Architects,2773560,685,2.469750068504017e-4,1.014382607726768
Hawaii,White,Landscape Architects,177700,65,3.6578503095104103e-4,1.5023624385939771
Idaho,White,Landscape Architects,688065,100,1.4533510642163167e-4,0.596924385695112
Illinois,White,Landscape Architects,4224420,995,2.355352924188409e-4,0.9673970948818787
Indiana,White,Landscape Architects,2724985,405,1.4862467132846602e-4,0.6104353780462624
Iowa,White,Landscape Architects,1463250,290,1.9818896292499573e-4,0.8140072131116289
Kansas,White,Landscape Architects,1178420,110,9.334532679350318e-5,0.3833905188198079
Kentucky,White,Landscape Architects,1787115,110,6.155171883174838e-5,0.25280692914985214
Louisiana,White,Landscape Architects,1337315,195,1.4581456126641816e-4,0.5988936159502055
Maine,White,Landscape Architects,658985,115,1.7451080070107818e-4,0.7167556075780228
Maryland,White,Landscape Architects,1690500,615,3.637976929902396e-4,1.494199988924188
Massachusetts,White,Landscape Architects,2791055,1055,3.7799326777867144e-4,1.5525044479692771
Michigan,White,Landscape Architects,3807850,480,1.2605538558504143e-4,0.5177381807917525
Minnesota,White,Landscape Architects,2524705,510,2.0200379846358287e-4,0.8296756115906083
Mississippi,White,Landscape Architects,787155,105,1.3339177163328695e-4,0.5478703893330699
Missouri,White,Landscape Architects,2479115,515,2.077354217129903e-4,0.853216693793161
Montana,White,Landscape Architects,472695,100,2.115529040924909e-4,0.8688959634506546
Nebraska,White,Landscape Architects,845465,75,8.870858048529508e-5,0.3643463455997356
Nevada,White,Landscape Architects,749805,85,1.133628076633258e-4,0.46560687222252606
New Hampshire,White,Landscape Architects,690940,145,2.098590326222248e-4,0.8619388475016577
New Jersey,White,Landscape Architects,2640925,620,2.347662277421737e-4,0.9642383710815357
New Mexico,White,Landscape Architects,374900,65,1.7337956788476927e-4,0.7121093767355288
New York,White,Landscape Architects,5774960,2225,3.8528405391552494e-4,1.582449367288013
North Carolina,White,Landscape Architects,3309215,465,1.405167086454038e-4,0.5771341285203224
North Dakota,White,Landscape Architects,363175,15,4.130240242307427e-5,0.1696383743828625
Ohio,White,Landscape Architects,4775955,510,1.0678492573736562e-4,0.4385900128792811
Oklahoma,White,Landscape Architects,1276415,140,1.0968219583756068e-4,0.4504897611048368
Oregon,White,Landscape Architects,1600140,395,2.4685340032747137e-4,1.0138831420382366
Pennsylvania,White,Landscape Architects,5161830,1225,2.3731893533882365e-4,0.9747229226225027
Rhode Island,White,Landscape Architects,423445,195,4.6050844855884473e-4,1.8914130902819708
South Carolina,White,Landscape Architects,1586190,390,2.4587218429065875e-4,1.0098530642791206
South Dakota,White,Landscape Architects,398225,40,1.004457279176345e-4,0.41255348352645593
Tennessee,White,Landscape Architects,2455855,430,1.7509177048319222e-4,0.719141782803228
Texas,White,Landscape Architects,6162190,1525,2.4747695218745285e-4,1.016444211556352
Utah,White,Landscape Architects,1227970,210,1.7101394985219508e-4,0.7023932446484401
Vermont,White,Landscape Architects,319270,85,2.6623234253139976e-4,1.0934768716973444
Virginia,White,Landscape Architects,2778485,655,2.3573998060093896e-4,0.9682377958684903
Washington,White,Landscape Architects,2668545,1035,3.878518068835264e-4,1.592995713596072
West Virginia,White,Landscape Architects,734535,105,1.4294757908064285e-4,0.5871182670879844
Wisconsin,White,Landscape Architects,2597700,450,1.7323016514609078e-4,0.7114957456576521
Wyoming,White,Landscape Architects,260685,NA,NA,NA
Puerto Rico,White,Landscape Architects,13370,0,NA,NA
Alabama,African-American,Landscape Architects,581200,NA,NA,NA
Alaska,African-American,Landscape Architects,13760,0,NA,NA
Arizona,African-American,Landscape Architects,152575,0,NA,NA
Arkansas,African-American,Landscape Architects,200385,0,NA,NA
California,African-American,Landscape Architects,1066265,65,6.096045542149466e-5,1.6166700420931313
Colorado,African-American,Landscape Architects,118415,0,NA,NA
Connecticut,African-American,Landscape Architects,191785,0,NA,NA
Delaware,African-American,Landscape Architects,105485,0,NA,NA
District of Columbia,African-American,Landscape Architects,149480,NA,NA,NA
Florida,African-American,Landscape Architects,1569980,0,NA,NA
Georgia,African-American,Landscape Architects,1613775,0,NA,NA
Hawaii,African-American,Landscape Architects,16455,0,NA,NA
Idaho,African-American,Landscape Architects,5195,0,NA,NA
Illinois,African-American,Landscape Architects,848255,NA,NA,NA
Indiana,African-American,Landscape Architects,292355,0,NA,NA
Iowa,African-American,Landscape Architects,56060,0,NA,NA
Kansas,African-American,Landscape Architects,83690,0,NA,NA
Kentucky,African-American,Landscape Architects,176080,0,NA,NA
Louisiana,African-American,Landscape Architects,656860,0,NA,NA
Maine,African-American,Landscape Architects,8410,0,NA,NA
Maryland,African-American,Landscape Architects,957780,120,1.2528973250642113e-4,3.322681166413548
Massachusetts,African-American,Landscape Architects,260415,0,NA,NA
Michigan,African-American,Landscape Architects,624375,105,1.6816816816816817e-4,4.4598164110056
Minnesota,African-American,Landscape Architects,171180,0,NA,NA
Mississippi,African-American,Landscape Architects,488460,0,NA,NA
Missouri,African-American,Landscape Architects,340530,0,NA,NA
Montana,African-American,Landscape Architects,2855,0,NA,NA
Nebraska,African-American,Landscape Architects,45795,NA,NA,NA
Nevada,African-American,Landscape Architects,125635,NA,NA,NA
New Hampshire,African-American,Landscape Architects,9675,0,NA,NA
New Jersey,African-American,Landscape Architects,584190,NA,NA,NA
New Mexico,African-American,Landscape Architects,19190,0,NA,NA
New York,African-American,Landscape Architects,1375735,130,9.44949427033549e-5,2.506003965054945
North Carolina,African-American,Landscape Architects,1079195,NA,NA,NA
North Dakota,African-American,Landscape Architects,12445,0,NA,NA
Ohio,African-American,Landscape Architects,680665,NA,NA,NA
Oklahoma,African-American,Landscape Architects,134195,0,NA,NA
Oregon,African-American,Landscape Architects,39020,0,NA,NA
Pennsylvania,African-American,Landscape Architects,636035,0,NA,NA
Rhode Island,African-American,Landscape Architects,31000,0,NA,NA
South Carolina,African-American,Landscape Architects,638810,NA,NA,NA
South Dakota,African-American,Landscape Architects,8670,0,NA,NA
Tennessee,African-American,Landscape Architects,554550,0,NA,NA
Texas,African-American,Landscape Architects,1699445,65,3.824778089317395e-5,1.0143303739941172
Utah,African-American,Landscape Architects,16855,0,NA,NA
Vermont,African-American,Landscape Architects,4210,0,NA,NA
