state,condition,measure_id,measure_name,score,footnote,start_date,end_date
AS,Sepsis Care,SEP_SH_6HR,Septic Shock 6-Hour Bundle,NA,5,2023-04-01,2024-03-31
AS,Sepsis Care,SEV_SEP_3HR,Severe Sepsis 3-Hour Bundle,NA,5,2023-04-01,2024-03-31
AS,Sepsis Care,SEV_SEP_6HR,Severe Sepsis 6-Hour Bundle,NA,5,2023-04-01,2024-03-31
AZ,Healthcare Personnel Vaccination,HCP_COVID_19,Percentage of healthcare personnel who are up to date with COVID-19 vaccinations,17.4,NA,2024-01-01,2024-03-31
AZ,Healthcare Personnel Vaccination,IMM_3,Healthcare workers given influenza vaccination Higher percentages are better,85,NA,2023-10-01,2024-03-31
AZ,Emergency Department,OP_18b,Average (median) time patients spent in the emergency department before leaving from the visit A lower number of minutes is better,168,"25, 26",2023-04-01,2024-03-31
AZ,Emergency Department,OP_18b_HIGH_MIN,Average time patients spent in the emergency department before being sent home A lower number of minutes is better (high),205,"25, 26",2023-04-01,2024-03-31
AZ,Emergency Department,OP_18b_LOW_MIN,Average time patients spent in the emergency department before being sent home A lower number of minutes is better (low),130,"25, 26",2023-04-01,2024-03-31
AZ,Emergency Department,OP_18b_MEDIUM_MIN,Average time patients spent in the emergency department before being sent home A lower number of minutes is better (moderate),148,"25, 26",2023-04-01,2024-03-31
AZ,Emergency Department,OP_18b_VERY_HIGH_MIN,Average time patients spent in the emergency department before being sent home A lower number of minutes is better (high),200,"25, 26",2023-04-01,2024-03-31
AZ,Emergency Department,OP_18c,Average (median) time patients spent in the emergency department before leaving from the visit- Psychiatric/Mental Health Patients.  A lower number of minutes is better,262,25,2023-04-01,2024-03-31
AZ,Emergency Department,OP_18c_HIGH_MIN,Average time patients spent in the emergency department before leaving from the visit - Psychiatric/Mental Health Patients.  A lower number of minutes is better (high),266,25,2023-04-01,2024-03-31
AZ,Emergency Department,OP_18c_LOW_MIN,Average time patients spent in the emergency department before leaving from the visit - Psychiatric/Mental Health Patients.  A lower number of minutes is better (low),206,25,2023-04-01,2024-03-31
AZ,Emergency Department,OP_18c_MEDIUM_MIN,Average time patients spent in the emergency department before leaving from the visit - Psychiatric/Mental Health Patients.  A lower number of minutes is better (moderate),247,25,2023-04-01,2024-03-31
AZ,Emergency Department,OP_18c_VERY_HIGH_MIN,Average time patients spent in the emergency department before leaving from the visit - Psychiatric/Mental Health Patients.  A lower number of minutes is better (very high),332,25,2023-04-01,2024-03-31
AZ,Emergency Department,OP_22,Percentage of patients who left the emergency department before being seen Lower percentages are better,3,"25, 26",2023-01-01,2023-12-31
AZ,Emergency Department,OP_23,Percentage of patients who came to the emergency department with stroke symptoms who received brain scan results within 45 minutes of arrival Higher percentages are better,68,25,2023-04-01,2024-03-31
AZ,Colonoscopy care,OP_29,Percentage of patients receiving appropriate recommendation for follow-up screening colonoscopy Higher percentages are better,91,"25, 26",2023-01-01,2023-12-31
AZ,Cataract surgery outcome,OP_31,Percentage of patients who had cataract surgery and had improvement in visual function within 90 days following the surgery Higher percentages are better,NA,5,2023-01-01,2023-12-31
AZ,Electronic Clinical Quality Measure,SAFE_USE_OF_OPIOIDS,Safe Use of Opioids - Concurrent Prescribing,11,NA,2023-01-01,2023-12-31
AZ,Sepsis Care,SEP_1,Percentage of patients who received appropriate care for severe sepsis and septic shock. Higher percentages are better,55,"25, 26",2023-04-01,2024-03-31
AZ,Sepsis Care,SEP_SH_3HR,Septic Shock 3-Hour Bundle,63,"25, 26",2023-04-01,2024-03-31
AZ,Sepsis Care,SEP_SH_6HR,Septic Shock 6-Hour Bundle,79,"25, 26",2023-04-01,2024-03-31
AZ,Sepsis Care,SEV_SEP_3HR,Severe Sepsis 3-Hour Bundle,75,"25, 26",2023-04-01,2024-03-31
AZ,Sepsis Care,SEV_SEP_6HR,Severe Sepsis 6-Hour Bundle,88,"25, 26",2023-04-01,2024-03-31
CA,Healthcare Personnel Vaccination,HCP_COVID_19,Percentage of healthcare personnel who are up to date with COVID-19 vaccinations,22.4,NA,2024-01-01,2024-03-31
CA,Healthcare Personnel Vaccination,IMM_3,Healthcare workers given influenza vaccination Higher percentages are better,73,NA,2023-10-01,2024-03-31
CA,Emergency Department,OP_18b,Average (median) time patients spent in the emergency department before leaving from the visit A lower number of minutes is better,184,"25, 26",2023-04-01,2024-03-31
CA,Emergency Department,OP_18b_HIGH_MIN,Average time patients spent in the emergency department before being sent home A lower number of minutes is better (high),193,"25, 26",2023-04-01,2024-03-31
CA,Emergency Department,OP_18b_LOW_MIN,Average time patients spent in the emergency department before being sent home A lower number of minutes is better (low),151,"25, 26",2023-04-01,2024-03-31
CA,Emergency Department,OP_18b_MEDIUM_MIN,Average time patients spent in the emergency department before being sent home A lower number of minutes is better (moderate),164,"25, 26",2023-04-01,2024-03-31
CA,Emergency Department,OP_18b_VERY_HIGH_MIN,Average time patients spent in the emergency department before being sent home A lower number of minutes is better (high),206,"25, 26",2023-04-01,2024-03-31
CA,Emergency Department,OP_18c,Average (median) time patients spent in the emergency department before leaving from the visit- Psychiatric/Mental Health Patients.  A lower number of minutes is better,270,25,2023-04-01,2024-03-31
CA,Emergency Department,OP_18c_HIGH_MIN,Average time patients spent in the emergency department before leaving from the visit - Psychiatric/Mental Health Patients.  A lower number of minutes is better (high),291,25,2023-04-01,2024-03-31
CA,Emergency Department,OP_18c_LOW_MIN,Average time patients spent in the emergency department before leaving from the visit - Psychiatric/Mental Health Patients.  A lower number of minutes is better (low),248,25,2023-04-01,2024-03-31
CA,Emergency Department,OP_18c_MEDIUM_MIN,Average time patients spent in the emergency department before leaving from the visit - Psychiatric/Mental Health Patients.  A lower number of minutes is better (moderate),251,25,2023-04-01,2024-03-31
CA,Emergency Department,OP_18c_VERY_HIGH_MIN,Average time patients spent in the emergency department before leaving from the visit - Psychiatric/Mental Health Patients.  A lower number of minutes is better (very high),286,25,2023-04-01,2024-03-31
CA,Emergency Department,OP_22,Percentage of patients who left the emergency department before being seen Lower percentages are better,2,"25, 26",2023-01-01,2023-12-31
CA,Emergency Department,OP_23,Percentage of patients who came to the emergency department with stroke symptoms who received brain scan results within 45 minutes of arrival Higher percentages are better,73,25,2023-04-01,2024-03-31
CA,Colonoscopy care,OP_29,Percentage of patients receiving appropriate recommendation for follow-up screening colonoscopy Higher percentages are better,91,"25, 26",2023-01-01,2023-12-31
CA,Cataract surgery outcome,OP_31,Percentage of patients who had cataract surgery and had improvement in visual function within 90 days following the surgery Higher percentages are better,NA,5,2023-01-01,2023-12-31
CA,Electronic Clinical Quality Measure,SAFE_USE_OF_OPIOIDS,Safe Use of Opioids - Concurrent Prescribing,14,NA,2023-01-01,2023-12-31
CA,Sepsis Care,SEP_1,Percentage of patients who received appropriate care for severe sepsis and septic shock. Higher percentages are better,67,"25, 26",2023-04-01,2024-03-31
CA,Sepsis Care,SEP_SH_3HR,Septic Shock 3-Hour Bundle,74,"25, 26",2023-04-01,2024-03-31
CA,Sepsis Care,SEP_SH_6HR,Septic Shock 6-Hour Bundle,87,"25, 26",2023-04-01,2024-03-31
CA,Sepsis Care,SEV_SEP_3HR,Severe Sepsis 3-Hour Bundle,82,"25, 26",2023-04-01,2024-03-31
CA,Sepsis Care,SEV_SEP_6HR,Severe Sepsis 6-Hour Bundle,93,"25, 26",2023-04-01,2024-03-31
CO,Healthcare Personnel Vaccination,HCP_COVID_19,Percentage of healthcare personnel who are up to date with COVID-19 vaccinations,11.8,NA,2024-01-01,2024-03-31
CO,Healthcare Personnel Vaccination,IMM_3,Healthcare workers given influenza vaccination Higher percentages are better,92,NA,2023-10-01,2024-03-31
CO,Emergency Department,OP_18b,Average (median) time patients spent in the emergency department before leaving from the visit A lower number of minutes is better,133,"25, 26",2023-04-01,2024-03-31
CO,Emergency Department,OP_18b_HIGH_MIN,Average time patients spent in the emergency department before being sent home A lower number of minutes is better (high),135,"25, 26",2023-04-01,2024-03-31
CO,Emergency Department,OP_18b_LOW_MIN,Average time patients spent in the emergency department before being sent home A lower number of minutes is better (low),123,"25, 26",2023-04-01,2024-03-31
CO,Emergency Department,OP_18b_MEDIUM_MIN,Average time patients spent in the emergency department before being sent home A lower number of minutes is better (moderate),152,"25, 26",2023-04-01,2024-03-31
CO,Emergency Department,OP_18b_VERY_HIGH_MIN,Average time patients spent in the emergency department before being sent home A lower number of minutes is better (high),161,"25, 26",2023-04-01,2024-03-31
CO,Emergency Department,OP_18c,Average (median) time patients spent in the emergency department before leaving from the visit- Psychiatric/Mental Health Patients.  A lower number of minutes is better,240,25,2023-04-01,2024-03-31
CO,Emergency Department,OP_18c_HIGH_MIN,Average time patients spent in the emergency department before leaving from the visit - Psychiatric/Mental Health Patients.  A lower number of minutes is better (high),269,25,2023-04-01,2024-03-31
CO,Emergency Department,OP_18c_LOW_MIN,Average time patients spent in the emergency department before leaving from the visit - Psychiatric/Mental Health Patients.  A lower number of minutes is better (low),223,25,2023-04-01,2024-03-31
CO,Emergency Department,OP_18c_MEDIUM_MIN,Average time patients spent in the emergency department before leaving from the visit - Psychiatric/Mental Health Patients.  A lower number of minutes is better (moderate),277,25,2023-04-01,2024-03-31
CO,Emergency Department,OP_18c_VERY_HIGH_MIN,Average time patients spent in the emergency department before leaving from the visit - Psychiatric/Mental Health Patients.  A lower number of minutes is better (very high),248,25,2023-04-01,2024-03-31
CO,Emergency Department,OP_22,Percentage of patients who left the emergency department before being seen Lower percentages are better,1,"25, 26",2023-01-01,2023-12-31
CO,Emergency Department,OP_23,Percentage of patients who came to the emergency department with stroke symptoms who received brain scan results within 45 minutes of arrival Higher percentages are better,70,25,2023-04-01,2024-03-31
CO,Colonoscopy care,OP_29,Percentage of patients receiving appropriate recommendation for follow-up screening colonoscopy Higher percentages are better,95,"25, 26",2023-01-01,2023-12-31
CO,Cataract surgery outcome,OP_31,Percentage of patients who had cataract surgery and had improvement in visual function within 90 days following the surgery Higher percentages are better,NA,5,2023-01-01,2023-12-31
CO,Electronic Clinical Quality Measure,SAFE_USE_OF_OPIOIDS,Safe Use of Opioids - Concurrent Prescribing,15,NA,2023-01-01,2023-12-31
CO,Sepsis Care,SEP_1,Percentage of patients who received appropriate care for severe sepsis and septic shock. Higher percentages are better,73,"25, 26",2023-04-01,2024-03-31
CO,Sepsis Care,SEP_SH_3HR,Septic Shock 3-Hour Bundle,80,"25, 26",2023-04-01,2024-03-31
CO,Sepsis Care,SEP_SH_6HR,Septic Shock 6-Hour Bundle,90,"25, 26",2023-04-01,2024-03-31
CO,Sepsis Care,SEV_SEP_3HR,Severe Sepsis 3-Hour Bundle,87,"25, 26",2023-04-01,2024-03-31
CO,Sepsis Care,SEV_SEP_6HR,Severe Sepsis 6-Hour Bundle,95,"25, 26",2023-04-01,2024-03-31
CT,Healthcare Personnel Vaccination,HCP_COVID_19,Percentage of healthcare personnel who are up to date with COVID-19 vaccinations,13.2,NA,2024-01-01,2024-03-31
CT,Healthcare Personnel Vaccination,IMM_3,Healthcare workers given influenza vaccination Higher percentages are better,85,NA,2023-10-01,2024-03-31
CT,Emergency Department,OP_18b,Average (median) time patients spent in the emergency department before leaving from the visit A lower number of minutes is better,193,"25, 26",2023-04-01,2024-03-31
CT,Emergency Department,OP_18b_HIGH_MIN,Average time patients spent in the emergency department before being sent home A lower number of minutes is better (high),203,"25, 26",2023-04-01,2024-03-31
CT,Emergency Department,OP_18b_LOW_MIN,Average time patients spent in the emergency department before being sent home A lower number of minutes is better (low),163,"25, 26",2023-04-01,2024-03-31
CT,Emergency Department,OP_18b_MEDIUM_MIN,Average time patients spent in the emergency department before being sent home A lower number of minutes is better (moderate),204,"25, 26",2023-04-01,2024-03-31
CT,Emergency Department,OP_18b_VERY_HIGH_MIN,Average time patients spent in the emergency department before being sent home A lower number of minutes is better (high),192,"25, 26",2023-04-01,2024-03-31
CT,Emergency Department,OP_18c,Average (median) time patients spent in the emergency department before leaving from the visit- Psychiatric/Mental Health Patients.  A lower number of minutes is better,272,25,2023-04-01,2024-03-31
CT,Emergency Department,OP_18c_HIGH_MIN,Average time patients spent in the emergency department before leaving from the visit - Psychiatric/Mental Health Patients.  A lower number of minutes is better (high),277,25,2023-04-01,2024-03-31
CT,Emergency Department,OP_18c_LOW_MIN,Average time patients spent in the emergency department before leaving from the visit - Psychiatric/Mental Health Patients.  A lower number of minutes is better (low),376,25,2023-04-01,2024-03-31
CT,Emergency Department,OP_18c_MEDIUM_MIN,Average time patients spent in the emergency department before leaving from the visit - Psychiatric/Mental Health Patients.  A lower number of minutes is better (moderate),279,25,2023-04-01,2024-03-31
CT,Emergency Department,OP_18c_VERY_HIGH_MIN,Average time patients spent in the emergency department before leaving from the visit - Psychiatric/Mental Health Patients.  A lower number of minutes is better (very high),245,25,2023-04-01,2024-03-31
CT,Emergency Department,OP_22,Percentage of patients who left the emergency department before being seen Lower percentages are better,2,"25, 26",2023-01-01,2023-12-31
CT,Emergency Department,OP_23,Percentage of patients who came to the emergency department with stroke symptoms who received brain scan results within 45 minutes of arrival Higher percentages are better,72,25,2023-04-01,2024-03-31
CT,Colonoscopy care,OP_29,Percentage of patients receiving appropriate recommendation for follow-up screening colonoscopy Higher percentages are better,96,"25, 26",2023-01-01,2023-12-31
CT,Cataract surgery outcome,OP_31,Percentage of patients who had cataract surgery and had improvement in visual function within 90 days following the surgery Higher percentages are better,NA,5,2023-01-01,2023-12-31
CT,Electronic Clinical Quality Measure,SAFE_USE_OF_OPIOIDS,Safe Use of Opioids - Concurrent Prescribing,18,NA,2023-01-01,2023-12-31
CT,Sepsis Care,SEP_1,Percentage of patients who received appropriate care for severe sepsis and septic shock. Higher percentages are better,57,"25, 26",2023-04-01,2024-03-31
CT,Sepsis Care,SEP_SH_3HR,Septic Shock 3-Hour Bundle,63,"25, 26",2023-04-01,2024-03-31
CT,Sepsis Care,SEP_SH_6HR,Septic Shock 6-Hour Bundle,85,"25, 26",2023-04-01,2024-03-31
CT,Sepsis Care,SEV_SEP_3HR,Severe Sepsis 3-Hour Bundle,77,"25, 26",2023-04-01,2024-03-31
CT,Sepsis Care,SEV_SEP_6HR,Severe Sepsis 6-Hour Bundle,92,"25, 26",2023-04-01,2024-03-31
DC,Healthcare Personnel Vaccination,HCP_COVID_19,Percentage of healthcare personnel who are up to date with COVID-19 vaccinations,6.6,NA,2024-01-01,2024-03-31
DC,Healthcare Personnel Vaccination,IMM_3,Healthcare workers given influenza vaccination Higher percentages are better,94,NA,2023-10-01,2024-03-31
