"","gender_rank","occupation","gender","individuals","average_taxable_income"
"49",256,"Agricultural scientist; Agronomist","Female",1301,65807
"50",252,"Agricultural scientist; Agronomist","Male",3351,86518
"51",678,"Agricultural technician","Female",503,41878
"52",605,"Agricultural technician","Male",1342,56984
"53",235,"Air conditioning and mechanical services plumber","Female",10,68069
"54",453,"Air conditioning and mechanical services plumber","Male",3399,68071
"55",580,"Air conditioning mechanic; Refrigeration mechanic","Female",51,47098
"56",447,"Air conditioning mechanic; Refrigeration mechanic","Male",14618,68932
"57",413,"Air force – other ranks; Air force junior non-commissioned officer; Army – other ranks; Army junior non-commissioned officer; Defence force personnel – junior non-commissioned officer; Defence force p","Female",4368,56140
"58",545,"Air force – other ranks; Air force junior non-commissioned officer; Army – other ranks; Army junior non-commissioned officer; Defence force personnel – junior non-commissioned officer; Defence force p","Male",24789,62162
"59",211,"Air force junior officer; Army junior officer; Defence force personnel – junior officer; Navy junior officer; RAAF junior officer","Female",1564,70650
"60",325,"Air force junior officer; Army junior officer; Defence force personnel – junior officer; Navy junior officer; RAAF junior officer","Male",6562,78650
"61",150,"Air force senior non-commissioned officer; Army senior non-commissioner officer; Defrence force personnel – senior non-commissioned officer; Navy senior non-commissioned officer; RAAF senior non-commi","Female",796,78203
"62",224,"Air force senior non-commissioned officer; Army senior non-commissioner officer; Defrence force personnel – senior non-commissioned officer; Navy senior non-commissioned officer; RAAF senior non-commi","Male",6594,89674
"63",72,"Air force senior officer; Army senior officer; Defence force personnel – senior officer; Navy senior officer; RAAF senior officer","Female",994,99151
"64",97,"Air force senior officer; Army senior officer; Defence force personnel – senior officer; Navy senior officer; RAAF senior officer","Male",6388,118157
"65",290,"Air safety inspector or investigator; Aircraft navigator; Airways surveyor; Airworthiness surveyor; Aviation safety inspector; Flight engineer","Female",236,63419
"66",151,"Air safety inspector or investigator; Aircraft navigator; Airways surveyor; Airworthiness surveyor; Aviation safety inspector; Flight engineer","Male",1634,100964
"67",68,"Air traffic controller; Flight service officer – air traffic control","Female",322,100200
"68",65,"Air traffic controller; Flight service officer – air traffic control","Male",1552,141581
"69",337,"Aircraft draftsperson; Biomedical engineering technician or associate; Chemical engineering technician; Mining draftsperson; Shipbuilding draftsperson","Female",258,60326
"70",281,"Aircraft draftsperson; Biomedical engineering technician or associate; Chemical engineering technician; Mining draftsperson; Shipbuilding draftsperson","Male",1357,83062
"71",280,"Aircraft maintenance engineer – avionics","Female",68,64274
"72",188,"Aircraft maintenance engineer – avionics","Male",2906,96173
"73",249,"Aircraft maintenance engineer – mechanical","Female",107,66357
"74",201,"Aircraft maintenance engineer – mechanical","Male",6488,93837
"75",315,"Aircraft maintenance engineer – structures","Female",13,61406
"76",286,"Aircraft maintenance engineer – structures","Male",824,82412
"77",158,"Aircraft refueller","Female",13,77366
"78",372,"Aircraft refueller","Male",592,74664
"79",547,"Airline employee – baggage handling or ground crew; Baggage handler – airline; Loadmaster – aircraft","Female",1175,48511
"80",642,"Airline employee – baggage handling or ground crew; Baggage handler – airline; Loadmaster – aircraft","Male",5851,54497
"81",723,"Airline employee – check in or ticketing; Call centre operator – bookings; Cinema attendant – selling tickets; Contact centre operator – bookings; Railway employee – ticket seller; Reservations clerk;","Female",6090,39847
"82",762,"Airline employee – check in or ticketing; Call centre operator – bookings; Cinema attendant – selling tickets; Contact centre operator – bookings; Railway employee – ticket seller; Reservations clerk;","Male",2039,47823
"83",506,"Airline employee – load controller; Freight clerk; Receiving and dispatching clerk; Shipping clerk; Transport dispatcher","Female",4801,50638
"84",525,"Airline employee – load controller; Freight clerk; Receiving and dispatching clerk; Shipping clerk; Transport dispatcher","Male",8180,63535
"85",529,"Airline steward; Flight attendant or steward","Female",8254,49474
"86",503,"Airline steward; Flight attendant or steward","Male",3216,65113
"87",523,"Alumina refinery operator; Arc welder; Die setter – metals; Furnace operator – metals; Key cutter; Kiln operator – metals; Knife sharpener; Metal press operator; Metal sprayer","Female",100,49801
"88",468,"Alumina refinery operator; Arc welder; Die setter – metals; Furnace operator – metals; Key cutter; Kiln operator – metals; Knife sharpener; Metal press operator; Metal sprayer","Male",2292,66934
"89",458,"Ambassador; Archbishop; Bishop; Correctional institution governor; Prison governor","Female",390,52933
"90",347,"Ambassador; Archbishop; Bishop; Correctional institution governor; Prison governor","Male",774,76755
"91",291,"Ambulance officer; Paramedic","Female",5128,63265
"92",314,"Ambulance officer; Paramedic","Male",9730,79711
"93",635,"Amusement centre manager","Female",197,43778
"94",715,"Amusement centre manager","Male",256,50039
"95",535,"Amusement park attendant – rides; Asbestos removalist; Fabricator – door or window – wood","Female",3838,49195
"96",470,"Amusement park attendant – rides; Asbestos removalist; Fabricator – door or window – wood","Male",27601,66691
"97",416,"Anaesthetic technician","Female",367,56084
"98",472,"Anaesthetic technician","Male",336,66535
"99",9,"Anaesthetist","Female",945,243582
"100",14,"Anaesthetist","Male",2160,370492
"101",108,"Analyst programmer","Female",1635,85169
"102",161,"Analyst programmer","Male",4828,99377
"103",908,"Animal attendant; Animal trainer (not dog or horse)","Female",2803,31904
"104",867,"Animal attendant; Animal trainer (not dog or horse)","Male",901,41877
"105",391,"Announcer – radio; Disc jockey – other than nightclub; Newsreader – radio; Radio announcer; Radio presenter","Female",529,57658
"106",363,"Announcer – radio; Disc jockey – other than nightclub; Newsreader – radio; Radio announcer; Radio presenter","Male",1129,75167
"107",733,"Antique dealer","Female",23,39309
"108",874,"Antique dealer","Male",70,41229
"109",816,"Apiarist","Female",37,35054
"110",890,"Apiarist","Male",221,40320
"111",762,"Apparel cutter","Female",53,38096
"112",860,"Apparel cutter","Male",57,42189
"113",132,"Applications programmer; Computer programmer; Developer programmer; Systems programmer – computing","Female",5059,80257
"114",206,"Applications programmer; Computer programmer; Developer programmer; Systems programmer – computing","Male",23875,93411
"115",958,"Apprentice or trainee – agricultural technician","Female",40,29603
"116",983,"Apprentice or trainee – agricultural technician","Male",288,33811
"117",917,"Apprentice or trainee – airconditioning and refrigeration mechanic","Female",14,31574
"118",960,"Apprentice or trainee – airconditioning and refrigeration mechanic","Male",2395,35643
"119",921,"Apprentice or trainee – aircraft maintenance engineer","Female",20,31379
"120",895,"Apprentice or trainee – aircraft maintenance engineer","Male",395,39995
"121",932,"Apprentice or trainee – animal attendant","Female",53,30942
"122",1010,"Apprentice or trainee – animal attendant","Male",23,31701
"123",441,"Apprentice or trainee – autoglazier","Female",3,54397
"124",963,"Apprentice or trainee – autoglazier","Male",138,35143
"125",947,"Apprentice or trainee – automotive Apprentice or trainee – other","Female",83,30108
"126",1002,"Apprentice or trainee – automotive Apprentice or trainee – other","Male",2517,32491
"127",671,"Apprentice or trainee – automotive electrician","Female",44,42228
"128",919,"Apprentice or trainee – automotive electrician","Male",968,37897
"129",955,"Apprentice or trainee – automotive mechanic","Female",260,29842
"130",1013,"Apprentice or trainee – automotive mechanic","Male",8997,31585
"131",985,"Apprentice or trainee – baker or pastrycook","Female",515,28219
"132",1048,"Apprentice or trainee – baker or pastrycook","Male",1277,28157
"133",1038,"Apprentice or trainee – beauty therapist","Female",279,25066
"134",1098,"Apprentice or trainee – beauty therapist","Male",6,20771
"135",1010,"Apprentice or trainee – boat builder or shipwright","Female",4,26508
"136",1018,"Apprentice or trainee – boat builder or shipwright","Male",186,31113
"137",848,"Apprentice or trainee – bricklayer","Female",5,34039
"138",1077,"Apprentice or trainee – bricklayer","Male",1220,25347
"139",1053,"Apprentice or trainee – business services","Female",579,24169
"140",1030,"Apprentice or trainee – business services","Male",284,29821
"141",912,"Apprentice or trainee – butcher","Female",110,31723
"142",1026,"Apprentice or trainee – butcher","Male",1662,29995
"143",815,"Apprentice or trainee – canvas and leather tradesperson","Female",3,35141
"144",1027,"Apprentice or trainee – canvas and leather tradesperson","Male",16,29980
"145",979,"Apprentice or trainee – care and community services","Female",301,28444
"146",1003,"Apprentice or trainee – care and community services","Male",77,32369
"147",1009,"Apprentice or trainee – carpenter and joiner","Female",129,26523
"148",1039,"Apprentice or trainee – carpenter and joiner","Male",15766,29252
"149",998,"Apprentice or trainee – chef","Female",2337,27564
"150",1060,"Apprentice or trainee – chef","Male",4382,27290
"151",1037,"Apprentice or trainee – cleaning services","Female",463,25116
"152",1050,"Apprentice or trainee – cleaning services","Male",481,28098
"153",823,"Apprentice or trainee – clerical services","Female",757,34880
"154",981,"Apprentice or trainee – clerical services","Male",227,33933
"155",1015,"Apprentice or trainee – clothing tradesperson","Female",10,26344
"156",1087,"Apprentice or trainee – clothing tradesperson","Male",5,24092
"157",1040,"Apprentice or trainee – cook","Female",132,24967
"158",1068,"Apprentice or trainee – cook","Male",233,26118
"159",721,"Apprentice or trainee – deck or fishing hand","Female",13,39883
"160",825,"Apprentice or trainee – deck or fishing hand","Male",78,44373
"161",572,"Apprentice or trainee – electrician","Female",481,47354
"162",893,"Apprentice or trainee – electrician","Male",19182,40108
"163",741,"Apprentice or trainee – electronics tradesperson","Female",26,38909
"164",886,"Apprentice or trainee – electronics tradesperson","Male",634,40504
"165",1077,"Apprentice or trainee – farm or garden worker","Female",29,21565
"166",1067,"Apprentice or trainee – farm or garden worker","Male",178,26151
"167",867,"Apprentice or trainee – financial services","Female",240,33245
"168",887,"Apprentice or trainee – financial services","Male",154,40439
"169",1045,"Apprentice or trainee – floor finisher","Male",182,28801
"170",1066,"Apprentice or trainee – florist","Female",127,22983
"171",1103,"Apprentice or trainee – florist","Male",3,18100
"172",1054,"Apprentice or trainee – food, drink or meat processor","Female",65,24077
"173",1046,"Apprentice or trainee – food, drink or meat processor","Male",71,28770
"174",948,"Apprentice or trainee – forestry","Female",3,30065
"175",1001,"Apprentice or trainee – forestry","Male",29,32503
"176",972,"Apprentice or trainee – gardener","Female",57,28766
"177",1064,"Apprentice or trainee – gardener","Male",837,26744
"178",964,"Apprentice or trainee – greenkeeper","Female",6,29167
"179",1056,"Apprentice or trainee – greenkeeper","Male",544,27822
"180",1061,"Apprentice or trainee – hair dresser","Female",3589,23326
"181",1094,"Apprentice or trainee – hair dresser","Male",216,23209
"182",935,"Apprentice or trainee – health and welfare support services","Female",286,30753
"183",891,"Apprentice or trainee – health and welfare support services","Male",93,40235
"184",1060,"Apprentice or trainee – hospitality","Female",272,23445
"185",1085,"Apprentice or trainee – hospitality","Male",184,24204
"186",703,"Apprentice or trainee – information technology technician","Female",55,40844
"187",969,"Apprentice or trainee – information technology technician","Male",316,34692
"188",237,"Apprentice or trainee – insurance claims investigator","Female",219,67832
"189",351,"Apprentice or trainee – insurance claims investigator","Male",142,76627
"190",906,"Apprentice or trainee – jeweller","Female",59,31964
"191",1004,"Apprentice or trainee – jeweller","Male",64,32062
"192",715,"Apprentice or trainee – jockey","Female",79,40421
"193",635,"Apprentice or trainee – jockey","Male",54,54834
"194",711,"Apprentice or trainee – justice and legal services","Female",135,40586
"195",785,"Apprentice or trainee – justice and legal services","Male",65,46643
"196",643,"Apprentice or trainee – mechanical trades engineer","Female",114,43460
"197",847,"Apprentice or trainee – mechanical trades engineer","Male",4441,42892
"198",853,"Apprentice or trainee – medical technician","Female",51,33815
"199",878,"Apprentice or trainee – medical technician","Male",58,41031
"200",752,"Apprentice or trainee – metal fabrication engineer","Female",49,38498
"201",956,"Apprentice or trainee – metal fabrication engineer","Male",4259,35829
"202",347,"Apprentice or trainee – miner","Female",53,59872
"203",531,"Apprentice or trainee – miner","Male",224,62935
"204",1067,"Apprentice or trainee – nurseryperson","Female",40,22943
"205",1070,"Apprentice or trainee – nurseryperson","Male",69,25996
"206",1020,"Apprentice or trainee – painter","Female",80,26159
"207",1079,"Apprentice or trainee – painter","Male",1170,25328
"208",885,"Apprentice or trainee – performing arts technician","Female",6,32745
"209",1020,"Apprentice or trainee – performing arts technician","Male",20,30976
"210",877,"Apprentice or trainee – plasterer","Female",5,32934
"211",1059,"Apprentice or trainee – plasterer","Male",899,27431
"212",989,"Apprentice or trainee – plumber","Female",54,28010
"213",1011,"Apprentice or trainee – plumber","Male",8584,31680
"214",621,"Apprentice or trainee – power generation plant operator","Female",7,44375
"215",507,"Apprentice or trainee – power generation plant operator","Male",89,64808
"216",891,"Apprentice or trainee – printer or graphic artist","Female",75,32519
"217",913,"Apprentice or trainee – printer or graphic artist","Male",315,38199
"218",374,"Apprentice or trainee – real estate representative","Female",939,58513
"219",103,"Apprentice or trainee – real estate representative","Male",963,113971
"220",742,"Apprentice or trainee – sales assistant (retail)","Female",3995,38809
"221",651,"Apprentice or trainee – sales assistant (retail)","Male",1673,54042
"222",455,"Apprentice or trainee – sales representative (wholesale)","Female",508,53118
"223",388,"Apprentice or trainee – sales representative (wholesale)","Male",723,73496
"224",395,"Apprentice or trainee – security and correctional services","Female",62,57531
"225",624,"Apprentice or trainee – security and correctional services","Male",131,55624
"226",1086,"Apprentice or trainee – shearer","Female",9,19671
"227",1052,"Apprentice or trainee – shearer","Male",43,27980
"228",886,"Apprentice or trainee – signwriter","Female",38,32736
"229",1022,"Apprentice or trainee – signwriter","Male",191,30528
"230",1089,"Apprentice or trainee – sport and recreation","Female",114,17983
"231",1101,"Apprentice or trainee – sport and recreation","Male",210,19586
"232",1074,"Apprentice or trainee – stablehand","Female",21,21810
"233",1096,"Apprentice or trainee – stablehand","Male",12,22520
"234",1030,"Apprentice or trainee – storeperson","Female",58,25475
"235",1044,"Apprentice or trainee – storeperson","Male",213,28950
"236",856,"Apprentice or trainee – telecommunications technical specialist","Female",17,33653
"237",875,"Apprentice or trainee – telecommunications technical specialist","Male",190,41212
"238",946,"Apprentice or trainee – telecommunications tradesperson","Female",11,30132
"239",927,"Apprentice or trainee – telecommunications tradesperson","Male",181,37543
"240",1087,"Apprentice or trainee – tiler","Female",7,19542
"241",1082,"Apprentice or trainee – tiler","Male",762,24995
"242",859,"Apprentice or trainee – tourism and travel adviser","Female",127,33620
"243",1005,"Apprentice or trainee – tourism and travel adviser","Male",44,32018
"244",688,"Apprentice or trainee – transport and distribution driver","Female",24,41380
"245",742,"Apprentice or trainee – transport and distribution driver","Male",95,48629
"246",936,"Apprentice or trainee – upholsterer","Female",10,30746
"247",1058,"Apprentice or trainee – upholsterer","Male",55,27482
"248",966,"Apprentice or trainee – veterinary nurse","Female",392,29161
"249",1034,"Apprentice or trainee – veterinary nurse","Male",17,29622
"250",943,"Apprentice or trainee – watch and clock maker","Male",15,36213
"251",1033,"Apprentice or trainee – wood tradesperson","Female",18,25274
"252",1047,"Apprentice or trainee – wood tradesperson","Male",577,28636
"253",904,"Aquaculture farmer or farm overseer; Fish hatchery manager; Oyster farmer or farm overseer; Seafood farmer or farm overseer","Female",219,32020
"254",706,"Aquaculture farmer or farm overseer; Fish hatchery manager; Oyster farmer or farm overseer; Seafood farmer or farm overseer","Male",1433,50540
"255",1055,"Aquaculture worker","Female",500,23886
"256",993,"Aquaculture worker","Male",1408,33178
"257",565,"Arborist; Tree surgeon","Female",114,47535
"258",686,"Arborist; Tree surgeon","Male",4672,51801
"259",326,"Architect","Female",4684,60947
"260",231,"Architect","Male",10601,88729
"261",559,"Architectural draftsperson; Building designer","Female",3020,48151
"262",485,"Architectural draftsperson; Building designer","Male",9688,65884
"263",363,"Archivist","Female",595,59359
"264",550,"Archivist","Male",279,61686
"265",596,"Armoured car escort; Payroll guard","Female",134,46508
"266",615,"Armoured car escort; Payroll guard","Male",1072,56033
"267",264,"Art director – film, television or stage","Female",298,65185
"268",338,"Art director – film, television or stage","Male",502,77274
"269",216,"Art director – publishing or advertising; Producer – media","Female",3455,69919
"270",218,"Art director – publishing or advertising; Producer – media","Male",3280,90356
"271",672,"Art teacher – private","Female",1041,42025
"272",818,"Art teacher – private","Male",280,44878
"273",283,"Articled clerk; Coroner; Court registrar – Court of Appeals; Court registrar – Federal, Supreme or Family Courts; Judicial registrar","Female",690,64045
"274",223,"Articled clerk; Coroner; Court registrar – Court of Appeals; Court registrar – Federal, Supreme or Family Courts; Judicial registrar","Male",286,89706
"275",845,"Artist – other visual; Craft worker","Female",872,34117
"276",750,"Artist – other visual; Craft worker","Male",779,48095
"277",202,"Artistic director","Female",241,71377
"278",312,"Artistic director","Male",260,79748
"279",484,"Arts administrator; Arts manager","Female",2682,51948
"280",505,"Arts administrator; Arts manager","Male",923,65044
"281",812,"Assembler; Assembly line worker","Female",11741,35424
"282",865,"Assembler; Assembly line worker","Male",23166,41975
"283",369,"Associate editor; Newspaper editor; Periodical editor; Sub editor","Female",1843,59025
"284",264,"Associate editor; Newspaper editor; Periodical editor; Sub editor","Male",1088,85189
"285",810,"Athlete","Female",56,35453
"286",713,"Athlete","Male",159,50110
"287",629,"Auctioneer","Female",56,44181
"288",262,"Auctioneer","Male",582,85444
"289",494,"Audio engineer; Editor – sound; Sound engineer or technician","Female",362,51438
"290",634,"Audio engineer; Editor – sound; Sound engineer or technician","Male",3817,54991
"291",221,"Audiologist","Female",1596,69049
"292",214,"Audiologist","Male",547,91877
"293",469,"Author","Female",447,52657
"294",539,"Author","Male",351,62596
"295",348,"Automotive electrician","Female",62,59718
"296",385,"Automotive electrician","Male",6748,73719
"297",684,"Back hoe operator","Female",12,41614
"298",533,"Back hoe operator","Male",582,62893
"299",593,"Baggage handler – bus or train; Baggage handler – freight –  roal or rail; Freight handler – road or rail","Female",188,46699
"300",655,"Baggage handler – bus or train; Baggage handler – freight –  roal or rail; Freight handler – road or rail","Male",2278,53914
"301",1019,"Baggage handler – hotel or motel; Door attendant; Luggage porter","Female",548,26162
"302",938,"Baggage handler – hotel or motel; Door attendant; Luggage porter","Male",1729,36487
"303",799,"Baker","Female",2341,36042
"304",815,"Baker","Male",11367,45165
"305",996,"Bakery assistant; Pastry cook’s assistant","Female",6706,27737
"306",1031,"Bakery assistant; Pastry cook’s assistant","Male",2720,29767
"307",822,"Baking factory worker","Female",2002,34903
"308",888,"Baking factory worker","Male",1971,40404
"309",902,"Ballet teacher; Dance teacher – private","Female",2097,32056
"310",931,"Ballet teacher; Dance teacher – private","Male",249,37178
"311",604,"Band member; Drummer; Guitarist; Musician – instrumentalist; Organist; Pianist","Female",798,45752
"312",725,"Band member; Drummer; Guitarist; Musician – instrumentalist; Organist; Pianist","Male",1193,49620
"313",468,"Bank employee; Bank officer; Bank teller; Business development officer – bank, etc.; Credit union employee","Female",50140,52668
"314",183,"Bank employee; Bank officer; Bank teller; Business development officer – bank, etc.; Credit union employee","Male",21425,96812
"315",71,"Bank manager; Financial institution branch manager","Female",8517,99447
"316",60,"Bank manager; Financial institution branch manager","Male",12166,151095
"317",993,"Bar useful or busser","Female",1302,27850
"318",1083,"Bar useful or busser","Male",1369,24913
"319",943,"Barber; Hairdresser; Ladies’ hairdresser; Men’s hairdresser","Female",30011,30323
"320",906,"Barber; Hairdresser; Ladies’ hairdresser; Men’s hairdresser","Male",3873,39030
"321",1063,"Barista","Female",15588,23240
"322",1080,"Barista","Male",7248,25229
"323",360,"Barrister","Female",777,59436
"324",53,"Barrister","Male",797,168766
"325",1000,"Bartender","Female",33993,27450
"326",1035,"Bartender","Male",29291,29511
"327",575,"Basketballer","Female",54,47246
"328",840,"Basketballer","Male",129,43191
"329",956,"Beautician; Beauty therapist; Manicurist","Female",16399,29682
"330",1036,"Beautician; Beauty therapist; Manicurist","Male",252,29510
"331",1064,"Beauty salon assistant; Hair salon assistant","Female",2893,23085
"332",1074,"Beauty salon assistant; Hair salon assistant","Male",218,25628
"333",704,"Beauty salon manager; Hair salon manager","Female",2534,40826
"334",733,"Beauty salon manager; Hair salon manager","Male",458,49005
"335",1080,"Bed and breakfast owner operator","Female",20,20842
"336",1088,"Bed and breakfast owner operator","Male",18,23990
"337",757,"Bedding and mattress maker; Furniture upholsterer; Upholsterer","Female",242,38370
"338",837,"Bedding and mattress maker; Furniture upholsterer; Upholsterer","Male",1716,43652
"339",1014,"Beef cattle farm worker; Drover – beef cattle; Jackeroo – beef cattle; Jillaroo – beef cattle; Stationhand – beef cattle","Female",2027,26346
"340",976,"Beef cattle farm worker; Drover – beef cattle; Jackeroo – beef cattle; Jillaroo – beef cattle; Stationhand – beef cattle","Male",4974,34165
"341",722,"Beef cattle farmer or farm overseer","Female",511,39850
"342",758,"Beef cattle farmer or farm overseer","Male",2380,47882
"343",404,"Betting agency manager","Female",93,56833
"344",256,"Betting agency manager","Male",173,85803
"345",1084,"Bicycle mechanic","Female",24,19735
"346",965,"Bicycle mechanic","Male",1028,35003
"347",930,"Bingo caller; Keno terminal operator","Female",147,31065
"348",566,"Bingo caller; Keno terminal operator","Male",48,60292
"349",238,"Biochemist","Female",1164,67389
"350",248,"Biochemist","Male",978,86974
"351",336,"Biologist; Life scientist","Female",3365,60428
"352",343,"Biologist; Life scientist","Male",2546,77036
"353",309,"Biomedical engineer","Female",242,61709
"354",339,"Biomedical engineer","Male",884,77218
"355",186,"Biophysicist","Female",27,73363
"356",257,"Biophysicist","Male",107,85653
"357",294,"Biotechnologist","Female",561,62905
"358",298,"Biotechnologist","Male",509,81466
"359",649,"Blacksmith","Female",3,43252
"360",676,"Blacksmith","Male",125,52485
"361",1013,"Boarding kennel or cattery operator","Female",361,26388
"362",885,"Boarding kennel or cattery operator","Male",126,40571
"363",828,"Boat builder or repairer; Rigger – boat","Female",31,34608
"364",610,"Boat builder or repairer; Rigger – boat","Male",2193,56628
"365",414,"Boatswain; Deckhand; Merchant seaman; Sailor; Seafarer","Female",907,56107
"366",237,"Boatswain; Deckhand; Merchant seaman; Sailor; Seafarer","Male",8338,88121
"367",330,"Bobcat operator; Front end loader operator","Female",66,60843
"368",486,"Bobcat operator; Front end loader operator","Male",2026,65842
"369",949,"Body artist; Body piercer; Tattooist","Female",186,30025
"370",1000,"Body artist; Body piercer; Tattooist","Male",202,32615
"371",552,"Body builder – fitness; Sportsperson – other Office managers and","Female",78,48432
"372",489,"Body builder – fitness; Sportsperson – other Office managers and","Male",232,65770
"373",145,"Boiler attendant; Engine or boiler operator","Female",11,78548
"374",332,"Boiler attendant; Engine or boiler operator","Male",983,77891
"375",585,"Boilermaker; Fabricator – door or window – metal; Metal fabricator","Female",246,46933
"376",344,"Boilermaker; Fabricator – door or window – metal; Metal fabricator","Male",47845,77010
"377",802,"Book binder; Print finisher","Female",787,35901
"378",643,"Book binder; Print finisher","Male",1662,54479
"379",430,"Book editor; Script editor","Female",1236,55052
"380",553,"Book editor; Script editor","Male",355,61521
"381",607,"Bookkeeper; Registrar – school","Female",35447,45248
"382",879,"Bookkeeper; Registrar – school","Male",2788,41004
"383",817,"Bookmaker","Female",48,34994
"384",270,"Bookmaker","Male",261,84504
"385",976,"Bookmaker’s clerk","Female",96,28660
"386",918,"Bookmaker’s clerk","Male",206,37981
"387",356,"Botanist","Female",241,59520
"388",337,"Botanist","Male",254,77383
"389",990,"Bottle shop attendant; Cinema attendant – selling food or drink; Cosmetician; Deli assistant; Post office clerk; Retail assistant – general; Retail trainee; Salesperson – general; Shop assistant – gen","Female",191711,27979
"390",1021,"Bottle shop attendant; Cinema attendant – selling food or drink; Cosmetician; Deli assistant; Post office clerk; Retail assistant – general; Retail trainee; Salesperson – general; Shop assistant – gen","Male",83084,30540
"391",925,"Bouncer; Crowd controller","Female",425,31268
"392",995,"Bouncer; Crowd controller","Male",3878,33116
"393",302,"Boxer – sports","Male",13,81041
"394",560,"Brewery worker","Female",163,48068
"395",421,"Brewery worker","Male",1169,71243
"396",968,"Brick handler – brickworks; Kiln hand or labourer","Female",87,29114
"397",775,"Brick handler – brickworks; Kiln hand or labourer","Male",1244,47207
"398",1058,"Bricklayer","Female",14,23699
"399",735,"Bricklayer","Male",7999,48978
"400",651,"Bricklayer’s labourer; Building construction labourer; Construction worker – general assistant","Female",749,43213
"401",723,"Bricklayer’s labourer; Building construction labourer; Construction worker – general assistant","Male",45001,49625
"402",405,"Broadcast transmitter operator","Female",81,56616
"403",412,"Broadcast transmitter operator","Male",310,71966
"404",312,"Brothel keeper; Laundrette owner; Marina manager; Nursing agency manager; Owner – taxi; Owner-driver – taxi; Taxi proprietor; Weight loss centre manager","Female",367,61563
"405",444,"Brothel keeper; Laundrette owner; Marina manager; Nursing agency manager; Owner – taxi; Owner-driver – taxi; Taxi proprietor; Weight loss centre manager","Male",753,69249
"406",189,"Builder – professional; Project builder","Female",734,73029
"407",377,"Builder – professional; Project builder","Male",11490,74225
"408",245,"Building construction supervisor","Female",387,66628
"409",197,"Building construction supervisor","Male",19067,94463
"410",307,"Building inspector","Female",258,61917
