"","year","icpsr_state_code","alphanumeric_state_code","state","votes","eligible_voters"
"65",2012,82,12,"Hawaii",437159,982902
"66",2012,63,13,"Idaho",666290,1091410
"67",2012,21,14,"Illinois",5279752,8899143
"68",2012,22,15,"Indiana",2663368,4755291
"69",2012,31,16,"Iowa",1589951,2251748
"70",2012,32,17,"Kansas",1182771,2030686
"71",2012,51,18,"Kentucky",1815843,3229185
"72",2012,45,19,"Louisiana",2014548,3311626
"73",2012,2,20,"Maine",724758,1046008
"74",2012,52,21,"Maryland",2734062,4063582
"75",2012,3,22,"Massachusetts",3184196,4809675
"76",2012,23,23,"Michigan",4780701,7312725
"77",2012,33,24,"Minnesota",2950780,3861598
"78",2012,46,25,"Mississippi",NA,2166825
"79",2012,34,26,"Missouri",NA,4432957
"80",2012,64,27,"Montana",491966,774476
"81",2012,35,28,"Nebraska",804245,1316915
"82",2012,65,29,"Nevada",1016664,1800969
"83",2012,4,30,"New Hampshire",718700,1013420
"84",2012,12,31,"New Jersey",3683638,5918182
"85",2012,66,32,"New Mexico",786522,1436363
"86",2012,13,33,"New York",7128852,13324107
"87",2012,47,34,"North Carolina",4542488,6947954
"88",2012,36,35,"North Dakota",325564,539164
"89",2012,24,36,"Ohio",5632423,8649495
"90",2012,53,37,"Oklahoma",NA,2713268
"91",2012,72,38,"Oregon",1820507,2836101
"92",2012,14,39,"Pennsylvania",NA,9651432
"93",2012,5,40,"Rhode Island",NA,768918
"94",2012,48,41,"South Carolina",1981516,3486838
"95",2012,37,42,"South Dakota",368270,613190
"96",2012,54,43,"Tennessee",2478870,4736084
"97",2012,49,44,"Texas",NA,16119973
"98",2012,67,45,"Utah",1028786,1833339
"99",2012,6,46,"Vermont",301793,493355
"100",2012,40,47,"Virginia",3888186,5834676
"101",2012,73,48,"Washington",3172939,4822060
"102",2012,56,49,"West Virginia",NA,1447066
"103",2012,25,50,"Wisconsin",NA,4209370
"104",2012,68,51,"Wyoming",250701,425142
"105",2010,0,0,"United States",90912015,217551109
"106",2010,41,1,"Alabama",1503232,3472582
"107",2010,81,2,"Alaska",261128,493764
"108",2010,61,3,"Arizona",1750840,4209544
"109",2010,42,4,"Arkansas",789773,2081156
"110",2010,71,5,"California",10529134,22946053
"111",2010,62,6,"Colorado",1828323,3533054
"112",2010,1,7,"Connecticut",1153872,2512981
"113",2010,11,8,"Delaware",316754,646969
"114",2010,55,9,"District of Columbia",135846,458619
"115",2010,43,10,"Florida",5473787,12961184
"116",2010,44,11,"Georgia",2623035,6464845
"117",2010,82,12,"Hawaii",386302,959531
"118",2010,63,13,"Idaho",459079,1069446
"119",2010,21,14,"Illinois",3792770,8798829
"120",2010,22,15,"Indiana",1791832,4697111
"121",2010,31,16,"Iowa",1133429,2234516
"122",2010,32,17,"Kansas",857658,2011497
"123",2010,51,18,"Kentucky",1417995,3198093
"124",2010,45,19,"Louisiana",1298649,3249524
"125",2010,2,20,"Maine",580584,1038201
"126",2010,52,21,"Maryland",1868179,4001034
"127",2010,3,22,"Massachusetts",2319963,4693670
"128",2010,23,23,"Michigan",3268217,7245281
"129",2010,33,24,"Minnesota",2123369,3802677
"130",2010,46,25,"Mississippi",NA,2129334
"131",2010,34,26,"Missouri",1997271,4366435
"132",2010,64,27,"Montana",367096,758653
"133",2010,35,28,"Nebraska",503514,1301483
"134",2010,65,29,"Nevada",723515,1747288
"135",2010,4,30,"New Hampshire",461423,999918
"136",2010,12,31,"New Jersey",2200974,5834037
"137",2010,66,32,"New Mexico",630013,1408872
"138",2010,13,33,"New York",4763899,13135048
"139",2010,47,34,"North Carolina",2700706,6785463
"140",2010,36,35,"North Dakota",241039,516974
"141",2010,24,36,"Ohio",3956028,8571952
"142",2010,53,37,"Oklahoma",1043507,2666767
"143",2010,72,38,"Oregon",1487210,2760607
"144",2010,14,39,"Pennsylvania",4055336,9565822
"145",2010,5,40,"Rhode Island",346357,763534
"146",2010,48,41,"South Carolina",1365480,3388417
"147",2010,37,42,"South Dakota",323410,599507
"148",2010,54,43,"Tennessee",1620619,4622919
"149",2010,49,44,"Texas",5066957,15514007
"150",2010,67,45,"Utah",653274,1772934
"151",2010,6,46,"Vermont",243617,488942
"152",2010,40,47,"Virginia",2214505,5660589
"153",2010,73,48,"Washington",2565589,4724350
"154",2010,56,49,"West Virginia",536493,1442003
"155",2010,25,50,"Wisconsin",2185021,4172130
"156",2010,68,51,"Wyoming",190822,414536
"157",2008,0,0,"United States",132609063,213313508
"158",2008,41,1,"Alabama",2105622,3454510
"159",2008,81,2,"Alaska",327341,479429
"160",2008,61,3,"Arizona",2320851,4046075
"161",2008,42,4,"Arkansas",1095958,2071563
"162",2008,71,5,"California",13743177,22261504
"163",2008,62,6,"Colorado",2422236,3382959
"164",2008,1,7,"Connecticut",NA,2471082
"165",2008,11,8,"Delaware",413562,628200
"166",2008,55,9,"District of Columbia",266871,432566
"167",2008,43,10,"Florida",8453743,12687407
"168",2008,44,11,"Georgia",3940705,6281872
"169",2008,82,12,"Hawaii",456064,930067
"170",2008,63,13,"Idaho",667506,1029416
"171",2008,21,14,"Illinois",5578195,8681138
"172",2008,22,15,"Indiana",2805986,4653019
"173",2008,31,16,"Iowa",1543662,2216094
"174",2008,32,17,"Kansas",1264208,1991759
"175",2008,51,18,"Kentucky",1858578,3152629
"176",2008,45,19,"Louisiana",1979852,3205794
"177",2008,2,20,"Maine",744456,1036242
"178",2008,52,21,"Maryland",2661905,3925117
"179",2008,3,22,"Massachusetts",3102995,4612550
"180",2008,23,23,"Michigan",5039080,7229512
"181",2008,33,24,"Minnesota",2921147,3740142
"182",2008,46,25,"Mississippi",NA,2113347
"183",2008,34,26,"Missouri",2950504,4327572
"184",2008,64,27,"Montana",497599,741853
"185",2008,35,28,"Nebraska",811923,1274719
"186",2008,65,29,"Nevada",970019,1696831
"187",2008,4,30,"New Hampshire",719643,992226
"188",2008,12,31,"New Jersey",3910220,5776527
"189",2008,66,32,"New Mexico",833365,1362629
"190",2008,13,33,"New York",7721718,12948969
"191",2008,47,34,"North Carolina",4354571,6584302
"192",2008,36,35,"North Dakota",321133,504762
"193",2008,24,36,"Ohio",5773777,8513079
"194",2008,53,37,"Oklahoma",1474694,2619121
"195",2008,72,38,"Oregon",1845251,2700327
"196",2008,14,39,"Pennsylvania",6071357,9457942
"197",2008,5,40,"Rhode Island",475428,763608
"198",2008,48,41,"South Carolina",1927153,3311044
"199",2008,37,42,"South Dakota",387449,590720
"200",2008,54,43,"Tennessee",2618238,4563192
"201",2008,49,44,"Texas",NA,14929810
"202",2008,67,45,"Utah",971185,1700286
"203",2008,6,46,"Vermont",326822,482677
"204",2008,40,47,"Virginia",3753059,5555415
"205",2008,73,48,"Washington",3071587,4561163
"206",2008,56,49,"West Virginia",731691,1430439
"207",2008,25,50,"Wisconsin",2997086,4120694
"208",2008,68,51,"Wyoming",256035,405732
"209",2006,0,0,"United States",85769132,207643594
"210",2006,41,1,"Alabama",NA,3338467
"211",2006,81,2,"Alaska",238307,465169
"212",2006,61,3,"Arizona",1553032,3923786
"213",2006,42,4,"Arkansas",780409,2004193
"214",2006,71,5,"California",8899059,21582217
"215",2006,62,6,"Colorado",1586105,3297308
"216",2006,1,7,"Connecticut",1162391,2437559
"217",2006,11,8,"Delaware",258053,601341
"218",2006,55,9,"District of Columbia",122356,426612
"219",2006,43,10,"Florida",4884544,12187858
"220",2006,44,11,"Georgia",2143845,6115331
"221",2006,82,12,"Hawaii",348988,908925
"222",2006,63,13,"Idaho",458927,993010
"223",2006,21,14,"Illinois",3586292,8667453
"224",2006,22,15,"Indiana",1719351,4559294
"225",2006,31,16,"Iowa",1071509,2178322
"226",2006,32,17,"Kansas",864083,1948850
"227",2006,51,18,"Kentucky",1370062,3100828
"228",2006,45,19,"Louisiana",954896,3043573
"229",2006,2,20,"Maine",NA,1016287
"230",2006,52,21,"Maryland",1809237,3833349
"231",2006,3,22,"Massachusetts",2243835,4552794
"232",2006,23,23,"Michigan",3852008,7292624
"233",2006,33,24,"Minnesota",2217552,3667707
"234",2006,46,25,"Mississippi",NA,2077420
"235",2006,34,26,"Missouri",2178278,4253541
"236",2006,64,27,"Montana",411061,720447
"237",2006,35,28,"Nebraska",610499,1251027
"238",2006,65,29,"Nevada",586274,1579222
"239",2006,4,30,"New Hampshire",418550,975281
"240",2006,12,31,"New Jersey",2315643,5701033
"241",2006,66,32,"New Mexico",568597,1320285
"242",2006,13,33,"New York",4703830,12878632
"243",2006,47,34,"North Carolina",2036451,6264630
"244",2006,36,35,"North Dakota",220479,486142
"245",2006,24,36,"Ohio",4184072,8461211
"246",2006,53,37,"Oklahoma",NA,2547224
"247",2006,72,38,"Oregon",1399650,2628937
"248",2006,14,39,"Pennsylvania",NA,9283762
"249",2006,5,40,"Rhode Island",392882,754219
"250",2006,48,41,"South Carolina",1117311,3152046
"251",2006,37,42,"South Dakota",341105,580592
"252",2006,54,43,"Tennessee",1868363,4433921
"253",2006,49,44,"Texas",NA,14255313
"254",2006,67,45,"Utah",582561,1664323
"255",2006,6,46,"Vermont",263025,478247
"256",2006,40,47,"Virginia",2398589,5385522
"257",2006,73,48,"Washington",2085074,4403981
"258",2006,56,49,"West Virginia",473014,1401490
"259",2006,25,50,"Wisconsin",2183155,4064432
"260",2006,68,51,"Wyoming",196217,379127
"261",2004,0,0,"United States",123535883,203483455
"262",2004,41,1,"Alabama",1890317,3292608
"263",2004,81,2,"Alaska",314502,452124
"264",2004,61,3,"Arizona",2038069,3717055
"265",2004,42,4,"Arkansas",1070573,1969208
"266",2004,71,5,"California",12589367,21132533
"267",2004,62,6,"Colorado",2148036,3192647
"268",2004,1,7,"Connecticut",1607808,2429634
"269",2004,11,8,"Delaware",377407,584817
"270",2004,55,9,"District of Columbia",230105,419142
"271",2004,43,10,"Florida",7640319,11811921
"272",2004,44,11,"Georgia",3317336,5878186
"273",2004,82,12,"Hawaii",431662,889540
"274",2004,63,13,"Idaho",612786,946160
"275",2004,21,14,"Illinois",5350493,8576696
"276",2004,22,15,"Indiana",2512142,4504260
"277",2004,31,16,"Iowa",1521966,2156389
"278",2004,32,17,"Kansas",1213108,1928764
"279",2004,51,18,"Kentucky",1816867,3057741
"280",2004,45,19,"Louisiana",1956590,3182762
"281",2004,2,20,"Maine",751519,1003792
"282",2004,52,21,"Maryland",2395791,3797264
"283",2004,3,22,"Massachusetts",2927455,4533859
"284",2004,23,23,"Michigan",4875692,7263024
"285",2004,33,24,"Minnesota",2842912,3609185
"286",2004,46,25,"Mississippi",NA,2068766
"287",2004,34,26,"Missouri",2764635,4180960
"288",2004,64,27,"Montana",456096,699114
"289",2004,35,28,"Nebraska",792906,1236522
"290",2004,65,29,"Nevada",831563,1501437
"291",2004,4,30,"New Hampshire",683672,956422
"292",2004,12,31,"New Jersey",3638153,5663201
"293",2004,66,32,"New Mexico",775301,1282767
"294",2004,13,33,"New York",7448266,12738056
"295",2004,47,34,"North Carolina",3552449,6055771
"296",2004,36,35,"North Dakota",316049,482722
"297",2004,24,36,"Ohio",5722443,8427696
"298",2004,53,37,"Oklahoma",NA,2510823
"299",2004,72,38,"Oregon",1851671,2550887
"300",2004,14,39,"Pennsylvania",NA,9221962
"301",2004,5,40,"Rhode Island",440228,747046
"302",2004,48,41,"South Carolina",1626720,3055098
"303",2004,37,42,"South Dakota",394930,569161
"304",2004,54,43,"Tennessee",2456610,4328446
"305",2004,49,44,"Texas",NA,13796256
"306",2004,67,45,"Utah",942010,1574463
"307",2004,6,46,"Vermont",314220,470754
"308",2004,40,47,"Virginia",3223156,5277156
"309",2004,73,48,"Washington",2883499,4272914
"310",2004,56,49,"West Virginia",769645,1396545
"311",2004,25,50,"Wisconsin",3016288,4006948
"312",2004,68,51,"Wyoming",245789,370785
"313",2002,0,0,"United States",80295249,198381939
"314",2002,41,1,"Alabama",NA,3285643
"315",2002,81,2,"Alaska",232852,427337
"316",2002,61,3,"Arizona",1255615,3419481
"317",2002,42,4,"Arkansas",814176,1951568
"318",2002,71,5,"California",7738821,20733192
"319",2002,62,6,"Colorado",1424029,3056465
"320",2002,1,7,"Connecticut",1090756,2418037
"321",2002,11,8,"Delaware",NA,564938
"322",2002,55,9,"District of Columbia",NA,412062
"323",2002,43,10,"Florida",5143674,11194391
"324",2002,44,11,"Georgia",NA,5731983
"325",2002,82,12,"Hawaii",385462,872992
"326",2002,63,13,"Idaho",416533,921256
"327",2002,21,14,"Illinois",3651808,8540965
"328",2002,22,15,"Indiana",1562037,4494191
"329",2002,31,16,"Iowa",1040201,2136683
"330",2002,32,17,"Kansas",851966,1897261
"331",2002,51,18,"Kentucky",NA,3044267
"332",2002,45,19,"Louisiana",1267225,3163663
"333",2002,2,20,"Maine",NA,995056
"334",2002,52,21,"Maryland",1721626,3678346
"335",2002,3,22,"Massachusetts",2220301,4458820
"336",2002,23,23,"Michigan",3219864,7147888
"337",2002,33,24,"Minnesota",NA,3518184
"338",2002,46,25,"Mississippi",NA,2047426
"339",2002,34,26,"Missouri",NA,4116889
"340",2002,64,27,"Montana",340272,684572
"341",2002,35,28,"Nebraska",NA,1204512
"342",2002,65,29,"Nevada",512433,1391100
"343",2002,4,30,"New Hampshire",453078,930362
"344",2002,12,31,"New Jersey",2161105,5549726
"345",2002,66,32,"New Mexico",502230,1255086
"346",2002,13,33,"New York",4690968,12679865
"347",2002,47,34,"North Carolina",NA,5876705
"348",2002,36,35,"North Dakota",237224,476251
"349",2002,24,36,"Ohio",3356285,8322521
"350",2002,53,37,"Oklahoma",NA,2513143
"351",2002,72,38,"Oregon",1293756,2495739
"352",2002,14,39,"Pennsylvania",NA,9143001
"353",2002,5,40,"Rhode Island",337027,741776
"354",2002,48,41,"South Carolina",NA,2982810
"355",2002,37,42,"South Dakota",340407,556154
"356",2002,54,43,"Tennessee",NA,4151834
"357",2002,49,44,"Texas",4552059,13181016
"358",2002,67,45,"Utah",568290,1504529
"359",2002,6,46,"Vermont",232993,471403
"360",2002,40,47,"Virginia",1661915,5138270
"361",2002,73,48,"Washington",1808720,4162032
"362",2002,56,49,"West Virginia",440156,1398124
"363",2002,25,50,"Wisconsin",NA,3908088
"364",2002,68,51,"Wyoming",188028,370488
"365",2000,0,0,"United States",107390107,194331436
"366",2000,41,1,"Alabama",NA,3241682
"367",2000,81,2,"Alaska",287825,419111
"368",2000,61,3,"Arizona",1559520,3357701
"369",2000,42,4,"Arkansas",NA,1925961
"370",2000,71,5,"California",11142843,19685258
"371",2000,62,6,"Colorado",NA,3026316
"372",2000,1,7,"Connecticut",1474103,2357687
"373",2000,11,8,"Delaware",NA,554863
"374",2000,55,9,"District of Columbia",NA,416696
"375",2000,43,10,"Florida",6138765,10667193
"376",2000,44,11,"Georgia",2684951,5639668
"377",2000,82,12,"Hawaii",371113,832642
"378",2000,63,13,"Idaho",516647,877406
"379",2000,21,14,"Illinois",4932192,8432600
"380",2000,22,15,"Indiana",2246348,4424909
"381",2000,31,16,"Iowa",NA,2082950
"382",2000,32,17,"Kansas",1092716,1927950
"383",2000,51,18,"Kentucky",1568058,2955628
"384",2000,45,19,"Louisiana",1776133,3130267
"385",2000,2,20,"Maine",NA,969292
"386",2000,52,21,"Maryland",2036455,3649631
"387",2000,3,22,"Massachusetts",2736006,4517052
"388",2000,23,23,"Michigan",4279299,7070702
"389",2000,33,24,"Minnesota",2458303,3506432
"390",2000,46,25,"Mississippi",NA,2024650
"391",2000,34,26,"Missouri",NA,4052255
"392",2000,64,27,"Montana",417916,667525
"393",2000,35,28,"Nebraska",707223,1224178
"394",2000,65,29,"Nevada",613360,1346116
"395",2000,4,30,"New Hampshire",578656,890622
"396",2000,12,31,"New Jersey",3293378,5601788
"397",2000,66,32,"New Mexico",615607,1234088
"398",2000,13,33,"New York",6960215,12380208
"399",2000,47,34,"North Carolina",3015964,5744241
"400",2000,36,35,"North Dakota",292249,477968
"401",2000,24,36,"Ohio",4795989,8295592
"402",2000,53,37,"Oklahoma",NA,2475220
"403",2000,72,38,"Oregon",1559215,2364402
"404",2000,14,39,"Pennsylvania",NA,9086897
"405",2000,5,40,"Rhode Island",412074,753877
"406",2000,48,41,"South Carolina",1433533,2944326
"407",2000,37,42,"South Dakota",322159,548498
"408",2000,54,43,"Tennessee",2100241,4162996
"409",2000,49,44,"Texas",6407637,13033081
"410",2000,67,45,"Utah",784582,1431668
"411",2000,6,46,"Vermont",297146,459174
"412",2000,40,47,"Virginia",2789808,5069265
"413",2000,73,48,"Washington",2517028,4098044
"414",2000,56,49,"West Virginia",NA,1390365
"415",2000,25,50,"Wisconsin",NA,3842044
"416",2000,68,51,"Wyoming",221685,361078
"417",1998,0,0,"United States",74825832,190419570
"418",1998,41,1,"Alabama",NA,3202052
"419",1998,81,2,"Alaska",227156,408758
"420",1998,61,3,"Arizona",1037550,3232815
"421",1998,42,4,"Arkansas",NA,1882181
"422",1998,71,5,"California",8617649,19264556
"423",1998,62,6,"Colorado",NA,2879973
"424",1998,1,7,"Connecticut",1022453,2340956
"425",1998,11,8,"Delaware",NA,540896
"426",1998,55,9,"District of Columbia",137523,398318
"427",1998,43,10,"Florida",4070262,10590870
"428",1998,44,11,"Georgia",1842145,5326337
"429",1998,82,12,"Hawaii",412520,832172
"430",1998,63,13,"Idaho",386720,843914
"431",1998,21,14,"Illinois",3541379,8285614
"432",1998,22,15,"Indiana",1618689,4348730
"433",1998,31,16,"Iowa",973032,2112132
"434",1998,32,17,"Kansas",743288,1873438
"435",1998,51,18,"Kentucky",1215053,2930780
"436",1998,45,19,"Louisiana",990243,3097660
"437",1998,2,20,"Maine",NA,943577
"438",1998,52,21,"Maryland",1556994,3571087
"439",1998,3,22,"Massachusetts",1935277,4430939
"440",1998,23,23,"Michigan",3143432,7005306
"441",1998,33,24,"Minnesota",2105343,3378089
"442",1998,46,25,"Mississippi",NA,1995283
"443",1998,34,26,"Missouri",NA,3978146
"444",1998,64,27,"Montana",338733,653998
"445",1998,35,28,"Nebraska",581775,1197953
"446",1998,65,29,"Nevada",440042,1233386
"447",1998,4,30,"New Hampshire",330555,878508
"448",1998,12,31,"New Jersey",1894496,5505229
"449",1998,66,32,"New Mexico",517355,1199320
"450",1998,13,33,"New York",4989877,12263356
"451",1998,47,34,"North Carolina",NA,5624292
"452",1998,36,35,"North Dakota",217584,475629
"453",1998,24,36,"Ohio",3534782,8237516
"454",1998,53,37,"Oklahoma",NA,2415036
"455",1998,72,38,"Oregon",1160400,2370381
"456",1998,14,39,"Pennsylvania",NA,9075961
"457",1998,5,40,"Rhode Island",309835,723772
"458",1998,48,41,"South Carolina",1092430,2825173
"459",1998,37,42,"South Dakota",266355,534711
"460",1998,54,43,"Tennessee",1026017,4092745
"461",1998,49,44,"Texas",NA,12490423
"462",1998,67,45,"Utah",506553,1381989
"463",1998,6,46,"Vermont",224382,444772
"464",1998,40,47,"Virginia",NA,4900523
"465",1998,73,48,"Washington",1939421,3930400
"466",1998,56,49,"West Virginia",405139,1388176
"467",1998,25,50,"Wisconsin",NA,3801514
"468",1998,68,51,"Wyoming",178401,350136
"469",1996,0,0,"United States",NA,186347044
"470",1996,41,1,"Alabama",NA,3144249
"471",1996,81,2,"Alaska",245212,404180
"472",1996,61,3,"Arizona",1431342,3079908
"473",1996,42,4,"Arkansas",NA,1844689
"474",1996,71,5,"California",10263490,18644593
"475",1996,62,6,"Colorado",NA,2770252
"476",1996,1,7,"Connecticut",1410746,2337160
"477",1996,11,8,"Delaware",277418,528630
"478",1996,55,9,"District of Columbia",189210,398839
"479",1996,43,10,"Florida",5444245,10219294
"480",1996,44,11,"Georgia",2374650,5181708
"481",1996,82,12,"Hawaii",370230,820055
"482",1996,63,13,"Idaho",508030,825329
"483",1996,21,14,"Illinois",4418270,8215662
"484",1996,22,15,"Indiana",2195224,4302745
"485",1996,31,16,"Iowa",1251983,2098332
"486",1996,32,17,"Kansas",1073520,1856507
"487",1996,51,18,"Kentucky",1419592,2880808
"488",1996,45,19,"Louisiana",1804640,3087693
"489",1996,2,20,"Maine",NA,929970
"490",1996,52,21,"Maryland",1793991,3530148
"491",1996,3,22,"Massachusetts",2600278,4385268
"492",1996,23,23,"Michigan",3912261,6954059
"493",1996,33,24,"Minnesota",2211161,3319509
"494",1996,46,25,"Mississippi",NA,1949309
"495",1996,34,26,"Missouri",NA,3919885
"496",1996,64,27,"Montana",417232,645052
"497",1996,35,28,"Nebraska",686749,1188034
"498",1996,65,29,"Nevada",467657,1134065
"499",1996,4,30,"New Hampshire",513700,855287
"500",1996,12,31,"New Jersey",3105110,5456334
"501",1996,66,32,"New Mexico",579763,1172262
"502",1996,13,33,"New York",6439129,12175850
"503",1996,47,34,"North Carolina",NA,5435970
"504",1996,36,35,"North Dakota",271850,475898
"505",1996,24,36,"Ohio",4638108,8185999
"506",1996,53,37,"Oklahoma",1218248,2368311
"507",1996,72,38,"Oregon",1399180,2309051
"508",1996,14,39,"Pennsylvania",NA,9063470
"509",1996,5,40,"Rhode Island",NA,717041
"510",1996,48,41,"South Carolina",1203486,2731064
"511",1996,37,42,"South Dakota",329316,529793
"512",1996,54,43,"Tennessee",NA,3984092
"513",1996,49,44,"Texas",NA,12072149
"514",1996,67,45,"Utah",691016,1326919
"515",1996,6,46,"Vermont",261469,435687
"516",1996,40,47,"Virginia",2468229,4811632
"517",1996,73,48,"Washington",2293895,3829308
"518",1996,56,49,"West Virginia",653331,1386621
"519",1996,25,50,"Wisconsin",NA,3763240
"520",1996,68,51,"Wyoming",215844,345112
"521",1994,0,0,"United States",NA,182623348
"522",1994,41,1,"Alabama",NA,3095745
"523",1994,81,2,"Alaska",216668,399435
"524",1994,61,3,"Arizona",1153724,2892171
"525",1994,42,4,"Arkansas",NA,1801161
"526",1994,71,5,"California",8900593,18479124
"527",1994,62,6,"Colorado",1173130,2648684
"528",1994,1,7,"Connecticut",1163829,2335579
"529",1994,11,8,"Delaware",201560,512941
"530",1994,55,9,"District of Columbia",186316,411886
"531",1994,43,10,"Florida",4305340,9810247
"532",1994,44,11,"Georgia",NA,4978431
"533",1994,82,12,"Hawaii",377011,808904
"534",1994,63,13,"Idaho",419330,784076
"535",1994,21,14,"Illinois",3219122,8175312
"536",1994,22,15,"Indiana",1609481,4235008
"537",1994,31,16,"Iowa",1022372,2077709
"538",1994,32,17,"Kansas",836251,1837694
"539",1994,51,18,"Kentucky",827541,2829881
"540",1994,45,19,"Louisiana",893758,3038660
"541",1994,2,20,"Maine",NA,918204
"542",1994,52,21,"Maryland",1437450,3480270
"543",1994,3,22,"Massachusetts",2232186,4353287
"544",1994,23,23,"Michigan",3177740,6856388
"545",1994,33,24,"Minnesota",1794618,3253779
"546",1994,46,25,"Mississippi",621096,1903794
"547",1994,34,26,"Missouri",NA,3858946
"548",1994,64,27,"Montana",359455,622246
"549",1994,35,28,"Nebraska",593654,1164502
"550",1994,65,29,"Nevada",386582,1032456
"551",1994,4,30,"New Hampshire",319443,829590
"552",1994,12,31,"New Jersey",2131328,5392423
"553",1994,66,32,"New Mexico",485709,1128243
"554",1994,13,33,"New York",5325323,12192316
"555",1994,47,34,"North Carolina",NA,5244552
"556",1994,36,35,"North Dakota",240430,468989
"557",1994,24,36,"Ohio",3540954,8132122
"558",1994,53,37,"Oklahoma",1002363,2327519
"559",1994,72,38,"Oregon",1254265,2229242
"560",1994,14,39,"Pennsylvania",NA,9043585
"561",1994,5,40,"Rhode Island",NA,716002
"562",1994,48,41,"South Carolina",951901,2663830
"563",1994,37,42,"South Dakota",318090,518815
"564",1994,54,43,"Tennessee",NA,3850228
"565",1994,49,44,"Texas",NA,11719888
"566",1994,67,45,"Utah",532737,1248726
"567",1994,6,46,"Vermont",216715,426953
"568",1994,40,47,"Virginia",NA,4718968
"569",1994,73,48,"Washington",1733471,3715174
"570",1994,56,49,"West Virginia",439551,1379339
"571",1994,25,50,"Wisconsin",NA,3692668
"572",1994,68,51,"Wyoming",204025,337032
"573",1992,0,0,"United States",NA,179655523
"574",1992,41,1,"Alabama",NA,3030549
"575",1992,81,2,"Alaska",261427,389898
"576",1992,61,3,"Arizona",1516276,2671933
"577",1992,42,4,"Arkansas",NA,1751083
"578",1992,71,5,"California",11374565,18460157
"579",1992,62,6,"Colorado",1597166,2494998
"580",1992,1,7,"Connecticut",1645609,2356937
"581",1992,11,8,"Delaware",290836,499266
"582",1992,55,9,"District of Columbia",231445,427102
"583",1992,43,10,"Florida",5438612,9506230
"584",1992,44,11,"Georgia",NA,4766958
"585",1992,82,12,"Hawaii",382882,795148
"586",1992,63,13,"Idaho",491725,734855
"587",1992,21,14,"Illinois",5164357,8113900
"588",1992,22,15,"Indiana",2347912,4162678
"589",1992,31,16,"Iowa",1360856,2057690
