plot,vegetable,variety,number_seeds_planted,date,number_seeds_exact,notes
L,carrots,King Midas,50,2020-05-25,FALSE,NA
L,carrots,Dragon,50,2020-05-25,FALSE,NA
E,rudabaga,Improved Helenor,30,2020-05-25,FALSE,NA
L,cucumbers,pickling,20,2020-05-25,FALSE,NA
F,strawberries,perennial,NA,NA,NA,NA
N,tomatoes,volunteers,1,2020-06-03,TRUE,NA
J,tomatoes,volunteers,1,2020-06-03,TRUE,NA
side,squash,Red Kuri,1,2020-05-20,TRUE,NA
front,tomatoes,volunteers,5,2020-06-03,TRUE,NA
O,tomatoes,volunteers,2,2020-06-03,TRUE,NA
A,corn,Dorinny Sweet,20,2020-05-25,FALSE,NA
B,corn,Golden Bantam,20,2020-05-25,FALSE,NA
front,kohlrabi,Crispy Colors Duo,10,2020-05-20,FALSE,NA
E,spinach,Catalina,100,2020-06-20,FALSE,NA
E,beans,Classic Slenderette,29,2020-06-20,TRUE,NA
G,lettuce,Lettuce Mixture,200,2020-06-20,FALSE,NA
E,cilantro,cilantro,20,2020-06-20,FALSE,NA
front,kale,Heirloom Lacinto,30,2020-06-20,FALSE,NA
