"","name","height","diameter","opened","closed","country","location","number_of_cabins","passengers_per_cabin","seating_capacity","hourly_capacity","ride_duration_minutes","climate_controlled","construction_cost","status","design_manufacturer","type","vip_area","ticket_cost_to_ride","official_website","turns"
"13","Cosmo Clock 21",369,328,1999-03-18,NA,"Japan","Minato Mirai 21; Yokohama",60,8,480,1920,15,NA,"Unknown","Operating",NA,"Fixed",NA,"6.93","http://www.senyo.co.jp/cosmo/attraction/001.html",NA
"14","Daikanransha",377,328,1999-01-01,NA,"Japan","Palette Town; Odaiba",64,6,384,1440,16,NA,"Unknown","Operating",NA,"Fixed",NA,"8.87","http://www.daikanransha.com/",NA
"15","Diamond and Flower Ferris Wheel",384,364.17,2001-01-01,NA,"Japan","Kasai Rinkai Park; Tokyo",68,6,408,1440,17,"Yes","Unknown","Operating","Senyo","Fixed",NA,"6.93","http://www.senyo.co.jp/kasai/",NA
"16","Enclosed Ferris Wheel",190,157,2011-01-01,NA,"Turkmenistan","Ashgabat",24,6,144,NA,NA,"Yes","$90 million USD","Operating","Giant Wheels Fabbri Group","Enclosed",NA,NA,NA,NA
"17","Eurowheel",299.7,NA,1999-01-01,NA,"Italy","Mirabilandia",NA,NA,NA,NA,11,NA,"Unknown","Operating","Pax Ltd / Barbieri","Fixed",NA,NA,"http://www.mirabilandia.it/",1
"18","Eye of the Emirates",197,NA,2005-01-01,NA,"UAE","Sharjah",42,8,336,3360,6,"Yes","$6.8 million USD","Operating",NA,NA,NA,"Adults – 8.17; Children – 4.08","http://www.alqasba.ae/eyeofemirates.aspx",NA
"19","Eye on Malaysia (1)",197,NA,2007-01-06,NA,"Malaysia","Kuala Lumpur (Malacca Island)",42,8,336,1680,12,NA,"$9.89 million USD","Defunct","Fitraco NV","Transportable",NA,"Adults – 4.94; Children – 2.64",NA,NA
"20","Eye on Malaysia (2)",331,NA,2013-01-01,NA,"Malaysia","Malacca Island",54,6,324,NA,NA,"Yes","$13.18 million USD","Under Construction",NA,"Fixed",NA,NA,NA,NA
"21","Grande Roue de Paris",328,NA,1900-01-01,NA,"France","Champ de Mars; Paris",NA,NA,NA,NA,8,"No","Unknown","Defunct","Théodore Vienne","Fixed",NA,NA,NA,NA
"22","Great Smoky Mountain Skywheel",200,NA,2013-01-01,NA,"USA","Pigeon Forge; Tennessee",42,8,336,1680,12,"Yes","Unknown","Operating",NA,NA,"Yes","Adults – 13; Children -9; VIP – 50","http://islandinpigeonforge.com/",4
"23","Great Wheel",308,270,1895-07-17,NA,"UK","Earls Court; London",40,40,1600,4800,20,"No","Unknown","Defunct","Adam Gaddelin and Gareth Watson",NA,NA,NA,NA,NA
"24","Golden Gate Flyer",728,700,NA,NA,"USA","Treasure Island; San Francisco; California",36,40,1400,NA,30,"Yes","Estimated Between $650 and $750 million USD","In development","Arup Group (London Eye; High Roller; Singapore Flyer)","Fixed","Yes","Estimated $38","https://www.goldengateflyer.com/",1
"25","Harbin Ferris Wheel",361,NA,2003-01-01,NA,"China","Harbin; Hellonjiang",63,6,378,1134,20,NA,"$2.42 million USD","Operating",NA,NA,NA,"Adults – 3.26 Children – 1.63",NA,NA
"26","Helsinki Wheel",165,NA,2013-01-01,NA,"Finland","South Harbor; Helsinki",36,8,288,NA,NA,"Yes","Unknown","Planned",NA,"Portable",NA,NA,NA,NA
"27","HEP Five Wheel",347.77,246.06,1998-01-01,NA,"Japan","HEP Five building; Osaka; Honshu",52,4,208,832,15,"Yes","Unknown","Operating",NA,NA,NA,"4.94","http://www.hepfive.jp/",NA
"28","High Roller",550,520,2013-01-01,NA,"USA","Las Vegas Strip; Nevada",28,40,1120,2240,30,NA,"Unknown","Under Construction","Arup Engineering",NA,NA,"25","http://www.caesars.com/thelinq/",NA
"29","Jeddah Eye",492.13,NA,NA,NA,"Saudi Arabia","Jeddah City Centre; Jeddah",NA,NA,NA,NA,NA,"Yes","$250 million USD","Planned","City Center Development Company","Fixed",NA,NA,NA,NA
"30","Kaohsiung Eye",336,160,2007-05-12,NA,"Taiwan","Dream Mall; Kaohsiung",36,NA,NA,NA,15,NA,"$6.68 million USD","Operating","Tungcheng Development Corporation",NA,NA,"5","http://www.dream-mall.com.tw/",NA
"31","London Eye",443,394,2000-03-09,NA,"UK","South Bank; Lambeth; London",32,25,800,1600,30,"Yes","$113 million USD","Operating","Arup Engineering","Fixed","Yes","28","http://www.londoneye.com/",NA
"32","Mall of Asia Eye",180,NA,2011-12-18,NA,"Phillippines","Mall of Asia; Pasay; Metro Manila",36,6,216,1296,10,"Yes","Unknown","Operating",NA,"Fixed","Yes","Regular – 3.55 VIP – 5.92","http://www.smstoryland.com/SMBYamusementpark/moa-eye",NA
"33","Mashhad Ferris Wheel",262,NA,2005-01-01,NA,"Iran","Mellat Park; Mashhad",NA,NA,NA,NA,NA,NA,"Unknown",NA,NA,NA,NA,NA,NA,NA
"34","Mickey's Fun Wheel",160,150,2001-02-08,NA,"USA","Disney California Adventure Park",24,6,144,960,9,"No","Unknown","Operating","Walt Disney Imagineering/Waagner Biro","Eccentric",NA,NA,"http://disneyland.disney.go.com/disney-california-adventure/mickeys-fun-wheel/",NA
"35","Miramar Ferris Wheel",316,233,2004-01-01,NA,"Taiwan","Miramar Entertainment Park; Taipei",48,6,288,1016,17,"Yes","$10 million USD","Operating","Miramar City Development Holdings Ltd.",NA,NA,"Weekdays – 5.01 Weekends – 6.68","http://www.miramar.com.tw/",NA
"36","Moscow-850",240,70,1997-01-01,NA,"Russia","VVC; Moscow",40,8,320,2742,7,"Yes","Unknown","Operating","MIR / Pax Company","Fixed",NA,NA,NA,1
"37","Myrtle Beach Sky Wheel",187,NA,2011-05-20,NA,"USA","Myrtle Beach; South Carolina",42,6,252,1512,10,"Yes","$12 million USD","Operating","Chance","Fixed","Yes","Adults – 13 Children -9 VIP – 50","http://myrtlebeachskywheel.com/",3
"38","Navy Pier Ferris Wheel",150,140,1995-07-01,NA,"USA","Chicago; Illinois",40,6,240,2057,7,"No","$3.2 million USD","Operating","Vekoma","Fixed",NA,"6","http://www.navypier.com/things2do/rides_attract/pier_park.html",NA
"39","New York Wheel",630,NA,2017-01-01,NA,"USA","Staten Island; New York City",36,40,1440,2273,38,"Yes","$580 million USD","Under Construction","Mammoet-Starneth","Fixed","Yes","~$35","http://www.newyorkwheel.com/",1
"40","Niagara SkyWheel",175,166.65,2006-06-17,NA,"Canada","Clifton Hills; Niagara Falls",42,8,336,2016,10,"Yes","$10 million USD","Operating","Chance","Fixed",NA,"$10.99+tax for Adults and $6.99+tax for Children","http://www.cliftonhill.com/attractions/niagara-skywheel",3
"41","Nippon Moon",NA,NA,2015-01-01,NA,"Japan",NA,32,NA,NA,NA,40,"Yes","Unknown","Design/Financing","UNStudio","Fixed","Yes",NA,"http://www.wired.co.uk/news/archive/2013-09/03/nippon-moon-giant-wheel",NA
"42","Observation Wheel Leeds",197,NA,2013-02-16,NA,"UK","Leeds",40,6,240,1107,13,"Yes","Unknown","SBNO",NA,"Portable","Yes","Adults – 7.79 Children – 5.19 VIP – 58.41","http://www.observationwheelleeds.co.uk/",NA
"43","Orlando Eye",400,NA,2015-01-01,NA,"USA","Orlando; Florida",30,15,480,1309,22,"Yes","$90 million USD","Under Construction","Intamin",NA,"Yes","TBA",NA,1
"44","The Pacific Wheel",130,NA,2008-01-01,NA,"USA","Santa Monica; California",NA,NA,NA,NA,NA,"No","$1.5 million USD","Operating","Chance Morgan Rides","Fixed",NA,"5","http://www.pacpark.com/rides.php?location=rides&navheight=short",NA
"45","Polaris Tower",236,NA,1993-01-01,NA,"S Korea","Kumdori Land; Yuseong-gu; Daejon",36,NA,NA,NA,NA,NA,"Unknown",NA,NA,NA,NA,NA,NA,NA
"46","Roue de Paris",200,NA,2000-01-01,NA,"France","Place de la Concorde",42,8,336,NA,NA,NA,"Unknown","Operating","Ronald Bussink","Transportable",NA,"Adults – 12.92; Children – 6.46","http://rouedeparis.com/home.htm",NA
"47","Seattle Great Wheel",175,NA,2012-06-29,NA,"USA","Pier 57; Seattle; Washington",42,8,336,1680,12,"Yes","$20 million USD","Operating","Chance","Fixed","Yes","Adults – 13 Children – 8.50 VIP – 50","http://www.seattlegreatwheel.com/",3
"48","Shanghai Ferris Wheel",354,322,2003-01-01,NA,"China","Jinjiang Action Park; Shanghai",63,6,378,907,25,NA,"$1.2 million USD","Operating",NA,"Fixed",NA,"2.6","http://www.jjlysh.com/",NA
"49","Shining Flower Wheel",164.04,147.64,1966-01-01,NA,"Japan","Inagi; Tokyo",32,2,64,349,11,NA,"Unknown","Operating",NA,NA,NA,"4.97","http://www.fujiq.jp/attraction/shining.html",NA
"50","Singapore Flyer",541,492,2008-04-15,NA,"Singapore","Marina Centre; Downtown Core",28,28,784,1568,30,"Yes","$180 million USD","Operating","DP Architects","Fixed","Yes","Adults – 26.05 Children – 16.58","http://www.singaporeflyer.com/",NA
"51","Sky Dream Fukuoka",394,361,2001-01-01,NA,"Japan","Evergreen Marinoa; Fukuoka",NA,NA,NA,NA,20,"Yes","Unknown","Relocated",NA,"Fixed",NA,"4.97","http://web.archive.org/web/20100126161452/http:/evergreenmarinoa.com/sd/",NA
"52","Sky Scraper",150,NA,1991-01-01,NA,"USA","Lagoon Park; Farmington; Utah",36,6,216,648,20,"No","$1.5 million USD","Operating","Nauta","Fixed",NA,NA,"http://www.lagoonpark.com/",NA
"53","Sky Wheel",289,NA,1990-01-01,NA,"Taiwan","Janfusun Fancyworld",50,8,400,1600,15,"Yes","Unknown","Operating",NA,"Fixed",NA,NA,"http://www.janfusun.com.tw/",1
"54","SkyView",200,NA,2013-07-16,NA,"USA","Atlanta",42,6,252,1008,15,"Yes","Unknown","Operating",NA,"Transportable","Yes","Adult – $13.50+tax ($14.45)","http://www.skyviewatlanta.com/",4
"55","SkyVue",500,NA,2013-01-01,NA,"USA","Las Vegas Strip; Nevada",32,24,768,1536,30,NA,"$300 million USD","Under Construction",NA,NA,NA,NA,"http://skyvuelasvegas.com/",NA
"56","Space Eye",328,NA,1990-01-01,NA,"Japan","Space World; Kitakyushu",NA,NA,NA,NA,NA,NA,"Unknown","Operating",NA,"Fixed",NA,NA,"http://www.spaceworld.co.jp/",NA
"57","Star of Lake Tai",377,364,2008-01-01,NA,"China","Lake Tai; Wuxi; Jiangsu",64,6,384,NA,18,NA,"$20 million USD","Operating","Japanese Quanyang Kogyo Co. Ltd.",NA,NA,NA,NA,NA
"58","Star of Nanchang",525,504.9,2006-05-05,NA,"China","Nanchang; Jiangxi",60,8,480,960,30,"Yes","$7.3 million USD","Operating","Nanchang Star Entertainment Limited","Fixed",NA,"8.16","http://nczx.txjly.com/",NA
"59","Star of Puebla",262,229,2013-07-08,NA,"Mexico","Linear Park; Puebla",54,8,432,864,30,"Yes","Unknown","Operating","Ronald Bussink / Maurer German Wheels","Transportable","Yes",NA,NA,1
"60","Steel Pier Ferris Wheel",200,NA,2014-01-01,NA,"USA","Steel Pier; Atlantic City; New Jersey",42,NA,NA,NA,20,"Yes","$12 million USD","Planned",NA,"Fixed",NA,"10 to 15",NA,NA
"61","Suzhou Ferris Wheel",394,361,2009-05-21,NA,"China","Suzhou; Jiangsu",60,5,300,900,20,"Yes","$45.67 million USD","Operating",NA,"Fixed",NA,"17.94","http://www.szmtl.net/main.html",NA
"62","Tbilisi Ferris Wheel",262,NA,2010-01-01,NA,"Georgia","Mtatsminda Park; Tbsilsi",NA,NA,NA,NA,15,NA,"Unknown",NA,NA,NA,NA,"3.5",NA,NA
"63","Technostar",279,274,1985-01-01,NA,"Japan","Tsukuba; Ibaraki",48,8,384,1536,15,"Yes","Unknown","Defunct",NA,NA,NA,NA,NA,NA
"64","Tempozan Ferris Wheel",369,330,1997-07-12,NA,"Japan","Osaka; Honshu",60,8,480,1920,15,NA,"Unknown","Operating",NA,"Fixed",NA,"6.97","http://www.senyo.co.jp/tempozan/index.html",NA
"65","Texas Star",212,NA,1985-01-01,NA,"USA","Fair Park; Dallas; Texas",44,6,264,1320,12,NA,"$2.2 million USD","Operating","SDC Corp",NA,NA,"7",NA,NA
"66","The Dubai Eye",690,NA,2015-01-01,NA,"Dubai",NA,NA,NA,NA,NA,NA,"Yes","$337 million USD","Under Construction",NA,NA,NA,NA,"http://thedubaieye.com/",NA
"67","The Southern Star",394,NA,2008-01-01,NA,"Australia","Waterfront City; Melbourne",21,20,420,840,30,"Yes","$100 million USD","SBNO",NA,"Fixed",NA,"Adults – 27.99 Children – 16.41","http://www.thesouthernstar.com.au/",NA
"68","Tianjin Eye",394,361,2009-04-05,NA,"China","Yongle Bridge; Tianjin",48,8,384,768,30,"Yes","Unknown","Operating",NA,"Fixed",NA,"11.41","http://www.tianjinzhiyan.com/",NA
"69","Wheel of Brisbane",200,NA,2008-01-01,NA,"Australia","Brisbane; Australia",42,8,336,1680,12,"Yes","Unknown",NA,"Ronald Bussink/World Tourist Attractions","Transportable",NA,NA,"http://thewheelofbrisbane.com.au/",NA
"70","Wheel of Perth",164,NA,2009-01-01,NA,"Australia","Perth",36,6,216,1296,10,"Yes","$10 million USD",NA,"World Tourist Attractions","Transportable","Yes","Adults – 15 Children – 10 VIP – 119",NA,3
"71","Wiener Riesenrad",212,200,1897-01-01,NA,"Austria","Prater; Leopoldstadt; Vienna",15,NA,NA,NA,10,NA,"Unknown","Operating","Walter Basset",NA,"Yes","Adults – 11.69 Children – 5.19","http://www.wienerriesenrad.com/en",1
"72","Wonder Wheel",150,135,1920-01-01,NA,"USA","Coney Island; New York City",24,6,144,864,10,"No","Unknown","Operating","Eccentric Ferris Wheel Company","Eccentric","No","7","http://www.wonderwheel.com/",2
"73","Zhengzhou Ferris Wheel",394,361,2003-01-01,NA,"China","Century Amusement Park; Henan",48,8,384,768,30,"Yes","Unknown","Operating",NA,"Fixed",NA,NA,NA,NA
