language,family,native_speakers,country
Fulani,Niger–Congo,40000000,Benin
Fulani,Niger–Congo,40000000,Burkina Faso
Fulani,Niger–Congo,40000000,Cameroon
Fulani,Niger–Congo,40000000,Gambia
Fulani,Niger–Congo,40000000,Ghana
Fulani,Niger–Congo,40000000,Guinea
Fulani,Niger–Congo,40000000,Guinea
Fulani,Niger–Congo,40000000,Mali
Fulani,Niger–Congo,40000000,Nigeria
Fulani,Niger–Congo,40000000,Niger
Fulani,Niger–Congo,40000000,Senegal
Fungor,Niger–Congo,2700,Sudan
Fur,Nilo-Saharan,790000,Chad
Fur,Nilo-Saharan,790000,Sudan
Furu,Nilo-Saharan,16000,Congo
Fut,Niger–Congo,100000,Cameroon
Fwe,Niger–Congo,15000,Namibia
Fwe,Niger–Congo,15000,Zambia
Gǀui,Khoe–Kwadi,1500,Botswana
Ga,Niger–Congo,745000,Ghana
Gendza,Niger–Congo,43000,Congo
Geme,Niger–Congo,550,Central African Republic
Ghomalaʼ,Niger–Congo,350000,Cameroon
Gikuyu,Niger–Congo,8100000,Kenya
Goundo,Niger–Congo,30,Chad
Gourmanché,Niger–Congo,1500000,Benin
Gourmanché,Niger–Congo,1500000,Burkina Faso
Gourmanché,Niger–Congo,1500000,Ghana
Gourmanché,Niger–Congo,1500000,Niger
Gourmanché,Niger–Congo,1500000,Nigeria
Gourmanché,Niger–Congo,1500000,Togo
Gumuz,Nilo-Saharan,160000,Ethiopia
Gumuz,Nilo-Saharan,160000,Sudan
Gwari,Niger–Congo,1840000,Nigeria
Gyong,Niger–Congo,25000,Nigeria
Hanga,Niger–Congo,6800,Ghana
Hassaniya Arabic,Afroasiatic,5200000,Mali
Hassaniya Arabic,Afroasiatic,5200000,Morocco
Hausa,Afroasiatic,54000000,Nigeria
Hausa,Afroasiatic,54000000,Ghana
Hausa,Afroasiatic,54000000,Niger
Heiban,Niger–Congo,4000,Sudan
Hendo,Niger–Congo,50000,Congo
Herero,Niger–Congo,250000,Namibia
Herero,Niger–Congo,250000,Botswana
Herero,Niger–Congo,250000,Angola
Hõne,Niger–Congo,7000,Nigeria
Hun-Saare,Niger–Congo,73000,Nigeria
Humburi Senni,Nilo-Saharan,81000,Burkina Faso
Humburi Senni,Nilo-Saharan,81000,Mali
Hyam,Niger–Congo,300000,Nigeria
Ibibio,Niger–Congo,6300000,Nigeria
Iceve-Maci,Niger–Congo,12000,Cameroon
Iceve-Maci,Niger–Congo,12000,Nigeria
Idun,Niger–Congo,78000,Nigeria
Igala,Niger–Congo,1600000,Nigeria
Igbo,Niger–Congo,31000000,Nigeria
Ik,Nilo-Saharan,14000,Uganda
Ila,Niger–Congo,106000,Zambia
Imraguen,Niger–Congo,530,Mauritania
Ipulo,Niger–Congo,2500,Cameroon
Isu,Niger–Congo,15000,Cameroon
Iyive,Niger–Congo,2000,Cameroon
Iyive,Niger–Congo,2000,Nigeria
Izon,Niger–Congo,2400000,Nigeria
Jagham,Niger–Congo,120000,Cameroon
Jagham,Niger–Congo,120000,Nigeria
Jahanka,Niger–Congo,150000,Guinea
Jarawa,Niger–Congo,250000,Nigeria
Jelkung,Afro-Asiatic,1300,Chad
Jiba,Niger–Congo,2000,Nigeria
Jju,Niger–Congo,600000,Nigeria
Juǀʼhoan,Kxʼa,4000,Namibia
Juǀʼhoan,Kxʼa,4000,Botswana
Juba Arabic,Arabic-based,250000,South Sudan
Jukun Takum,Niger–Congo,2400,Cameroon
Jukun Takum,Niger–Congo,2400,Nigeria
Jur Modo,Nilo-Saharan,180000,South Sudan
Kabalai,Afro-Asiatic,18000,Chad
Kadugli,Nilo-Saharan,75000,Sudan
Kamara,Niger–Congo,3000,Burkina Faso
Kamara,Niger–Congo,3000,Ghana
Kanga,Nilo-Saharan,17000,Sudan
Kalabari,Niger–Congo,258000,Nigeria
Kalenjin,Nilo-Saharan,6600000,Kenya
Kalenjin,Nilo-Saharan,6600000,Uganda
Kanembu,Nilo-Saharan,880000,Chad
Kantosi,Niger–Congo,6300,Burkina Faso
Kantosi,Niger–Congo,6300,Ghana
Kanuri,Nilo-Saharan,9600000,Cameroon
Kanuri,Nilo-Saharan,9600000,Chad
Kanuri,Nilo-Saharan,9600000,Niger
Kanuri,Nilo-Saharan,9600000,Nigeria
Kar,Niger–Congo,40000,Burkina Faso
Karanga,Nilo-Saharan,10000,Chad
Kasena,Niger–Congo,250000,Burkina Faso
Kasena,Niger–Congo,250000,Ghana
Kassonke,Niger–Congo,2500000,Mali
Katla,Niger–Congo,25000,Sudan
Keiga,Nilo-Saharan,6100,Sudan
Kemezung,Niger–Congo,3540,Cameroon
Kendeje,Nilo-Saharan,1900,Chad
Kele,Niger–Congo,14000,Congo
Kele,Niger–Congo,14000,Gabon
Kele-Foma,Niger–Congo,160000,Congo
Keliko,Nilo-Saharan,42500,South Sudan
Keliko,Nilo-Saharan,42500,Congo
Kelo,Nilo-Saharan,200,Sudan
Kgalagadi,Niger–Congo,65400,Botswana
Khwe,Khoe–Kwadi,8000,Namibia
Khwe,Khoe–Kwadi,8000,Angola
Khwe,Khoe–Kwadi,8000,Botswana
Khwe,Khoe–Kwadi,8000,South Africa
Khwe,Khoe–Kwadi,8000,Zambia
Khoekhoe,Khoe–Kwadi,200000,Namibia
Ki,Niger–Congo,26000,Cameroon
Kim,Niger–Congo,15000,Chad
Kimbundu,Niger–Congo,1700000,Angola
Kinyarwanda,Niger–Congo,15000000,Rwanda
Kirundi,Niger–Congo,13000000,Burundi
Kisi,Niger–Congo,15000,Tanzania
Kissi,Niger–Congo,910000,Guinea
Kissi,Niger–Congo,910000,Liberia
Kissi,Niger–Congo,910000,Sierra Leone
Kita Maninka,Niger–Congo,449000,Mali
Kituba,Kongo-based,13000000,Congo
Kituba,Kongo-based,13000000,Congo
Koalib,Niger–Congo,100000,Sudan
Korandje,Nilo-Saharan,3000,Algeria
Koro Wachi,Niger–Congo,150000,Nigeria
Kom,Niger–Congo,210000,Cameroon
Komo,Nilo-Saharan,10000,Sudan
Komo,Nilo-Saharan,10000,South Sudan
Komo,Nilo-Saharan,10000,Ethiopia
Kongo,Niger–Congo,6000000,Angola
Kongo,Niger–Congo,6000000,Congo
Kongo,Niger–Congo,6000000,Congo
Konkomba,Niger–Congo,920000,Ghana
Konkomba,Niger–Congo,920000,Togo
Konni,Niger–Congo,3800,Ghana
Koshin,Niger–Congo,3000,Cameroon
Koyra Chiini,Nilo-Saharan,200000,Mali
Koyraboro Senni,Nilo-Saharan,430000,Mali
Kulango,Niger–Congo,470000,Ghana
Kulango,Niger–Congo,470000,Ivory Coast
Kunda,Niger–Congo,160000,Zimbabwe
Kunda,Niger–Congo,160000,Zambia
Kunda,Niger–Congo,160000,Mozambique
Kusaal,Niger–Congo,121000,Burkina Faso
Kusaal,Niger–Congo,121000,Ghana
Kusaal,Niger–Congo,121000,Togo
Kusu,Niger–Congo,26000,Congo
Kresh,Nilo-Saharan,16000,South Sudan
Krio,English,860000,Sierra Leone
Krongo,Nilo-Saharan,54000,Sudan
Kuba,Niger–Congo,30000,Congo
Kuk,Niger–Congo,3000,Cameroon
Kukelle,Niger–Congo,180000,Nigeria
Kunama,Nilo-Saharan,180000,Eritrea
Kunama,Nilo-Saharan,180000,Ethiopia
Kung,Niger–Congo,12,Cameroon
Kurama,Niger–Congo,40000,Nigeria
Kuranko,Niger–Congo,670000,Guinea
Kuranko,Niger–Congo,670000,Sierra Leone
Kuvale,Niger–Congo,70000,Angola
Kwaʼ,Niger–Congo,1000,Cameroon
Kwala,Niger–Congo,45000,Congo
Kwama,Nilo-Saharan,15000,Ethiopia
Kwambi,Niger–Congo,33000,Namibia
Kwambi,Niger–Congo,33000,Angola
Kwangali,Niger–Congo,152000,Namibia
Kwangali,Niger–Congo,152000,Angola
Kwangwa,Niger–Congo,2400,Zambia
Kwanyama,Niger–Congo,670000,Namibia
Kwanyama,Niger–Congo,670000,Angola
Kyenga,Niger–Congo,12000,Benin
Kyenga,Niger–Congo,12000,Nigeria
Kyoli,Niger–Congo,7000,Nigeria
Lala-Bisa,Niger–Congo,350000,Zambia
Lala-Bisa,Niger–Congo,350000,Congo
Lamba,Niger–Congo,200000,Zambia
Lamba,Niger–Congo,200000,Congo
Laimbue,Niger–Congo,5000,Cameroon
Laro,Niger–Congo,40000,Sudan
Lega,Niger–Congo,450000,Congo
Lele,Niger–Congo,26000,Congo
Lendu,Nilo-Saharan,760000,Congo
Lenje,Niger–Congo,130000,Zambia
Lia-Ntomba,Niger–Congo,200000,Congo
Ligbi,Niger–Congo,19000,Ghana
Limba,Niger–Congo,2200,Cameroon
Limba,Niger–Congo,520000,Guinea
Limba,Niger–Congo,520000,Sierra Leone
Limbum,Niger–Congo,130000,Cameroon
Lingala,Niger–Congo,21000000,Congo
Lingala,Niger–Congo,21000000,Congo
Lobedu,Niger–Congo,1000000,South Africa
Logol,Niger–Congo,13000,Sudan
Loki,Niger–Congo,4200,Congo
Londo,Niger–Congo,3000,Congo
Lorhon,Niger–Congo,8000,Burkina Faso
Lorhon,Niger–Congo,8000,Ivory Coast
Losengo,Niger–Congo,67000,Congo
Lozi,Niger–Congo,725000,Angola
Lozi,Niger–Congo,725000,Botswana
Lozi,Niger–Congo,725000,Namibia
Lozi,Niger–Congo,725000,South Africa
Lozi,Niger–Congo,725000,Zambia
Lozi,Niger–Congo,725000,Zimbabwe
Luganda,Niger–Congo,5600000,Uganda
Lugbara,Nilo-Saharan,1600000,Uganda
Lugbara,Nilo-Saharan,1600000,Congo
Kuhane,Niger–Congo,45000,Namibia
Kuhane,Niger–Congo,45000,Botswana
Kuhane,Niger–Congo,45000,Zambia
Luhya,Niger–Congo,6800000,Kenya
Lumun,Niger–Congo,15000,Sudan
Luo,Nilo-Saharan,4200000,Kenya
Luo,Nilo-Saharan,4200000,Tanzania
Luyana,Niger–Congo,3380,Zambia
Maba,Nilo-Saharan,570000,Chad
Ma'di,Nilo-Saharan,310000,Uganda
Ma'di,Nilo-Saharan,310000,South Sudan
Mada,Niger–Congo,100000,Nigeria
Malagasy,Austronesian,18000000,Madagascar
Marfa,Nilo-Saharan,5000,Chad
Marka,Niger–Congo,190000,Burkina Faso
Mampruli,Niger–Congo,230000,Burkina Faso
Mampruli,Niger–Congo,230000,Ghana
Mampruli,Niger–Congo,230000,Ivory Coast
Mampruli,Niger–Congo,230000,Mali
Mampruli,Niger–Congo,230000,Togo
Mandinka,Niger–Congo,2100000,Senegal
Mangbetu,Nilo-Saharan,662000,Congo
Maninka,Niger–Congo,4600000,Nigeria
Mankon,Niger–Congo,19000,Cameroon
Manta,Niger–Congo,5300,Cameroon
Masaba,Niger–Congo,2700000,Kenya
Masalit,Nilo-Saharan,410000,Chad
Masalit,Nilo-Saharan,410000,Sudan
Mashi,Niger–Congo,22000,Zambia
Mashi,Niger–Congo,22000,Angola
Massa,Afro-Asiatic,340000,Cameroon
Massa,Afro-Asiatic,340000,Chad
Mauritian Creole,French,1100000,Mauritius
Mbamba Bay,Niger–Congo,6000,Tanzania
Mbandja,Ubangian,360000,Congo
Mbandja,Ubangian,360000,Congo
Mbandja,Ubangian,360000,Central African Republic
Mbati,Niger–Congo,60000,Central African Republic
Mbe,Niger–Congo,65000,Nigeria
Mbəʼ,Niger–Congo,1500,Cameroon
Mbessa,Niger–Congo,25000,Cameroon
Mbili-Mbui,Niger–Congo,10000,Cameroon
Mbowe,Niger–Congo,460,Cameroon
Mbre,Niger–Congo,50,Ivory Coast
Mbuʼ,Niger–Congo,200,Cameroon
Mbuk,Niger–Congo,600,Cameroon
Mbuko,Afro-Asiatic,15000,Cameroon
Mbukushu,Niger–Congo,95000,Namibia
Mbukushu,Niger–Congo,95000,Angola
Mbukushu,Niger–Congo,95000,Botswana
Mbukushu,Niger–Congo,95000,Zambia
Medumba,Niger–Congo,210000,Cameroon
Menchum,Niger–Congo,3000,Cameroon
Mendankwe-Nkwen,Niger–Congo,28000,Cameroon
Mengaka,Niger–Congo,20000,Cameroon
Menyam,Niger–Congo,4000,Cameroon
Mesaka,Niger–Congo,14000,Cameroon
Mfumte,Niger–Congo,30700,Cameroon
Minyanka,Niger–Congo,740000,Mali
Missong,Niger–Congo,400,Cameroon
Mmen,Niger–Congo,35000,Cameroon
Moba,Niger–Congo,440000,Burkina Faso
Moba,Niger–Congo,440000,Ghana
Moba,Niger–Congo,440000,Togo
Moro,Niger–Congo,79000,Sudan
Morokodo,Nilo-Saharan,3400,South Sudan
Moru,Nilo-Saharan,230000,South Sudan
Mossi,Niger–Congo,12000000,Burkina Faso
Mono,Niger–Congo,65000,Congo
Mongo,Niger–Congo,400000,Congo
Mooré,Niger–Congo,12000000,Burkina Faso
Mooré,Niger–Congo,12000000,Burkina Faso
Mooré,Niger–Congo,12000000,Benin
Mooré,Niger–Congo,12000000,Ivory Coast
Mooré,Niger–Congo,12000000,Ghana
Mooré,Niger–Congo,12000000,Mali
Mooré,Niger–Congo,12000000,Togo
Mooré,Niger–Congo,12000000,Niger
Mooré,Niger–Congo,12000000,Senegal
Mundabli,Niger–Congo,500,Cameroon
Mündü,Ubangian,26000,South Sudan
Mündü,Ubangian,26000,Congo
Munka,Niger–Congo,31000,Cameroon
Nabit,Niger–Congo,30000,Burkina Faso
Nabit,Niger–Congo,30000,Ghana
Nafanan,Niger–Congo,89000,Ghana
Nafanan,Niger–Congo,89000,Ivory Coast
Nambya,Niger–Congo,100000,Zimbabwe
Nancere,Afroasiatic,144000,Chad
Nanerigé,Niger–Congo,50000,Burkina Faso
Naro,Khoe–Kwadi,9000,Botswana
Naro,Khoe–Kwadi,9000,Namibia
Nateni,Niger–Congo,110000,Benin
Naki,Niger–Congo,3000,Cameroon
Naki,Niger–Congo,3000,Nigeria
Ntcham,Niger–Congo,390000,Ghana
Ntcham,Niger–Congo,390000,Togo
Ndaʼndaʼ,Niger–Congo,10000,Cameroon
Ndau,Niger–Congo,2400000,Zimbabwe
Ndebele,Niger–Congo,1100000,South Africa
Ndemli,Niger–Congo,10000,Cameroon
Nding,Niger–Congo,400,Sudan
Ndombe,Niger–Congo,22300,Angola
Ndonga,Niger–Congo,810000,Namibia
Ndonga,Niger–Congo,810000,Angola
Ndolo,Niger–Congo,8000,Congo
Ndrulo,Nilo-Saharan,110000,Uganda
Ndrulo,Nilo-Saharan,110000,Congo
Ngaʼka,Niger–Congo,50000,Cameroon
Ngando,Niger–Congo,5000,Central African Republic
Ngangam,Niger–Congo,200000,Benin
Ngangam,Niger–Congo,200000,Togo
Ngbundu,Ubangian,16000,Congo
Ngelima,Niger–Congo,14000,Congo
Ngiemboon,Niger–Congo,250000,Cameroon
Ngile,Niger–Congo,39000,Sudan
Ngiri,Niger–Congo,80000,Congo
Ngiti,Nilo-Saharan,100000,Congo
Ngondi,Niger–Congo,3000,Congo
Ngomba,Niger–Congo,63000,Cameroon
Ngombale,Niger–Congo,53500,Cameroon
Ngombe,Niger–Congo,150000,Congo
Ngwe,Niger–Congo,73000,Cameroon
Nigerian Pidgin,Niger–Congo,4700000,Nigeria
Ninzo,Niger–Congo,35000,Nigeria
Nkoroo,Niger–Congo,4500,Nigeria
Nkumbi,Niger–Congo,150000,Angola
Nkutu,Niger–Congo,40000,Congo
Nsei,Niger–Congo,25000,Cameroon
Nsenga,Niger–Congo,600000,Zambia
Nsenga,Niger–Congo,600000,Mozambique
Nsenga,Niger–Congo,600000,Zimbabwe
Nso,Niger–Congo,240000,Cameroon
Noni,Niger–Congo,50000,Cameroon
Noon,Niger–Congo,33000,Senegal
Northern Ndebele,Niger–Congo,2600000,Zimbabwe
Northern Sotho,Niger–Congo,4700000,South Africa
Nubi,Arabic-based,50000,Uganda
Nubi,Arabic-based,50000,Kenya
Nuer,Nilo-Saharan,1700000,South Sudan
Nuer,Nilo-Saharan,1700000,Ethiopia
Numana,Niger–Congo,50000,Nigeria
Nupe,Niger–Congo,1800000,Nigeria
Nyaneka,Niger–Congo,300000,Angola
Nyanga,Niger–Congo,150000,Congo
Nyankpa,Niger–Congo,70000,Nigeria
Nyarafolo,Niger–Congo,60000,Ivory Coast
Nyungwe,Niger–Congo,490000,Mozambique
Nzakara,Niger–Congo,50000,Central African Republic
Nzakara,Niger–Congo,50000,Congo
Okodia,Niger–Congo,3600,Nigeria
Oku,Niger–Congo,87000,Cameroon
Ombo,Niger–Congo,8400,Congo
Omi,Nilo-Saharan,91000,Congo
Osatu,Niger–Congo,400,Cameroon
Oluʼbo,Nilo-Saharan,33000,South Sudan
Opuo,Nilo-Saharan,20000,Ethiopia
Opuo,Nilo-Saharan,20000,South Sudan
Oromo,Afroasiatic,37071900,Ethiopia
Oromo,Afroasiatic,37071900,Kenya
Oromo,Afroasiatic,37071900,Ethiopia
Oromo,Afroasiatic,37071900,Kenya
Oromo,Afroasiatic,37071900,Somalia
Oruma,Niger–Congo,5000,Nigeria
Otank,Niger–Congo,15000,Cameroon
Otank,Niger–Congo,15000,Nigeria
Otoro,Niger–Congo,17000,Sudan
Ovambo,Niger–Congo,1441000,Angola
Ovambo,Niger–Congo,1441000,Namibia
Palaka,Niger–Congo,8000,Ivory Coast
Paleni,Niger–Congo,260,Burkina Faso
Pambia,Niger–Congo,21000,Congo
Pande,Niger–Congo,8870,Central African Republic
Phuthi,Niger–Congo,20000,Lesotho
Phuthi,Niger–Congo,20000,South Africa
Pichinglis,English,6000,Equatorial Guinea
Pinyin,Niger–Congo,25000,Cameroon
Piti,Niger–Congo,8100,Niger
Portuguese,Indo-European,17000000,Angola
Portuguese,Indo-European,17000000,Cape Verde
Portuguese,Indo-European,17000000,Guinea
Portuguese,Indo-European,17000000,Equatorial Guinea
Portuguese,Indo-European,17000000,Mozambique
Rigwe,Niger–Congo,40000,Niger
Ronga,Niger–Congo,720000,Mozambique
Ronga,Niger–Congo,720000,South Africa
Saari,Niger–Congo,7600,Cameroon
Saba,Afroasiatic,1300,Chad
Saho,Niger–Congo,180000,Eritrea
Saho,Niger–Congo,180000,Ethiopia
Samo,Niger–Congo,230000,Burkina Faso
Samo,Niger–Congo,230000,Mali
Samwe,Niger–Congo,4500,Burkina Faso
Sakata,Niger–Congo,75000,Congo
Saya,Niger–Congo,300000,Niger
Sekele,Kxʼa,20000,Namibia
Sekele,Kxʼa,20000,Angola
Sena,Niger–Congo,2869000,Zimbabwe
Sena,Niger–Congo,2869000,Malawi
Sena,Niger–Congo,2869000,Malawi
Sena,Niger–Congo,2869000,Mozambique
Sena,Niger–Congo,2869000,Zimbabwe
Senara,Niger–Congo,210000,Burkina Faso
Senara,Niger–Congo,210000,Mali
Sengele,Niger–Congo,17000,Congo
Sepedi,Niger–Congo,4700000,South Africa
Sesotho,Niger–Congo,5600000,Lesotho
Sesotho,Niger–Congo,5600000,South Africa
Sesotho,Niger–Congo,5600000,Zimbabwe
Seychellois Creole,French,73000,Seychelles
Shabo,Language,400,Ethiopia
Shanjo,Niger–Congo,4400,Zambia
Shi,Niger–Congo,660000,Congo
