name,level,school,bard,cleric,druid,paladin,ranger,sorcerer,warlock,wizard,casting_time,action,bonus_action,reaction,ritual,casting_time_long,trigger,range,range_type,verbal_component,somatic_component,material_component,material_component_details,duration,concentration,description
Bestow Curse,3,necromancy,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Action,TRUE,FALSE,FALSE,FALSE,NA,NA,Touch,touch,TRUE,TRUE,FALSE,NA,"Concentration, up to 1 minute",TRUE,"You touch a creature, which must succeed on a Wisdom saving throw or become cursed for the duration. Until the curse ends, the target suffers one of the following effects of your choice:
Choose one ability. The target has Disadvantage on ability checks and saving throws made with that ability.

The target has Disadvantage on attack rolls against you.

In combat, the target must succeed on a Wisdom saving throw at the start of each of its turns or be forced to take the Dodge action on that turn.

If you deal damage to the target with an attack roll or a spell, the target takes an extra 1d8 Necrotic damage.

Using a Higher-Level Spell Slot. If you cast this spell using a level 4 spell slot, you can maintain Concentration on it for up to 10 minutes. If you use a level 5+ spell slot, the spell doesn’t require Concentration, and the duration becomes 8 hours (level 5–6 slot) or 24 hours (level 7–8 slot). If you use a level 9 spell slot, the spell lasts until dispelled."
Blade Barrier,6,evocation,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Action,TRUE,FALSE,FALSE,FALSE,NA,NA,90 feet,feet,TRUE,TRUE,FALSE,NA,"Concentration, up to 10 minutes",TRUE,"You create a wall of whirling blades made of magical energy. The wall appears within range and lasts for the duration. You make a straight wall up to 100 feet long, 20 feet high, and 5 feet thick, or a ringed wall up to 60 feet in diameter, 20 feet high, and 5 feet thick. The wall provides Three-Quarters Cover, and its space is Difficult Terrain.
Any creature in the wall’s space makes a Dexterity saving throw, taking 6d10 Force damage on a failed save or half as much damage on a successful one. A creature also makes that save if it enters the wall’s space or ends it turn there. A creature makes that save only once per turn."
Bless,1,enchantment,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,Action,TRUE,FALSE,FALSE,FALSE,NA,NA,30 feet,feet,TRUE,TRUE,TRUE,a Holy Symbol worth 5+ GP,"Concentration, up to 1 minute",TRUE,"You bless up to three creatures within range. Whenever a target makes an attack roll or a saving throw before the spell ends, the target adds 1d4 to the attack roll or save.
Using a Higher-Level Spell Slot. You can target one additional creature for each spell slot level above 1."
Blight,4,necromancy,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,Action,TRUE,FALSE,FALSE,FALSE,NA,NA,30 feet,feet,TRUE,TRUE,FALSE,NA,Instantaneous,FALSE,"A creature that you can see within range makes a Constitution saving throw, taking 8d8 Necrotic damage on a failed save or half as much damage on a successful one. A Plant creature automatically fails the save.
Alternatively, target a nonmagical plant that isn’t a creature, such as a tree or shrub. It doesn’t make a save; it simply withers and dies.
Using a Higher-Level Spell Slot. The damage increases by 1d8 for each spell slot level above 4."
Blindness/Deafness,2,transmutation,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,Action,TRUE,FALSE,FALSE,FALSE,NA,NA,120 feet,feet,TRUE,FALSE,FALSE,NA,1 minute,FALSE,"One creature that you can see within range must succeed on a Constitution saving throw, or it has the Blinded or Deafened condition (your choice) for the duration. At the end of each of its turns, the target repeats the save, ending the spell on itself on a success.
Using a Higher-Level Spell Slot. You can target one additional creature for each spell slot level above 2."
Blink,3,transmutation,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,Action,TRUE,FALSE,FALSE,FALSE,NA,NA,Self,self,TRUE,TRUE,FALSE,NA,1 minute,FALSE,"Roll 1d6 at the end of each of your turns for the duration. On a roll of 4–6, you vanish from your current plane of existence and appear in the Ethereal Plane (the spell ends instantly if you are already on that plane). While on the Ethereal Plane, you can perceive the plane you left, which is cast in shades of gray, but you can’t see anything there more than 60 feet away. You can affect and be affected only by other creatures on the Ethereal Plane, and creatures on the other plane can’t perceive you unless they have a special ability that lets them perceive things on the Ethereal Plane.
You return to the other plane at the start of your next turn and when the spell ends if you are on the Ethereal Plane. You return to an unoccupied space of your choice that you can see within 10 feet of the space you left. If no unoccupied space is available within that range, you appear in the nearest unoccupied space."
Blur,2,illusion,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,Action,TRUE,FALSE,FALSE,FALSE,NA,NA,Self,self,TRUE,FALSE,FALSE,NA,"Concentration, up to 1 minute",TRUE,"Your body becomes blurred. For the duration, any creature has Disadvantage on attack rolls against you. An attacker is immune to this effect if it perceives you with Blindsight or Truesight."
Burning Hands,1,evocation,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,Action,TRUE,FALSE,FALSE,FALSE,NA,NA,Self,self,TRUE,TRUE,FALSE,NA,Instantaneous,FALSE,"A thin sheet of flames shoots forth from you. Each creature in a 15-foot Cone makes a Dexterity saving throw, taking 3d6 Fire damage on a failed save or half as much damage on a successful one.
Flammable objects in the Cone that aren’t being worn or carried start burning.
Using a Higher-Level Spell Slot. The damage increases by 1d6 for each spell slot level above 1.
Spells (C)
Call Lightning
Level 3 Conjuration (Druid)


Casting Time: Action



Range: 120 feet



Components: V, S



Duration: Concentration, up to 10 minutes


A storm cloud appears at a point within range that you can see above yourself. It takes the shape of a Cylinder that is 10 feet tall with a 60-foot radius.
When you cast the spell, choose a point you can see under the cloud. A lightning bolt shoots from the cloud to that point. Each creature within 5 feet of that point makes a Dexterity saving throw, taking 3d10 Lightning damage on a failed save or half as much damage on a successful one.
Until the spell ends, you can take a Magic action to call down lightning in that way again, targeting the same point or a different one.
If you’re outdoors in a storm when you cast this spell, the spell gives you control over that storm instead of creating a new one. Under such conditions, the spell’s damage increases by 1d10.
Using a Higher-Level Spell Slot. The damage increases by 1d10 for each spell slot level above 3."
Call Lightning,3,conjuration,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Action,TRUE,FALSE,FALSE,FALSE,NA,NA,120 feet,feet,TRUE,TRUE,FALSE,NA,"Concentration, up to 10 minutes",TRUE,"A storm cloud appears at a point within range that you can see above yourself. It takes the shape of a Cylinder that is 10 feet tall with a 60-foot radius.
When you cast the spell, choose a point you can see under the cloud. A lightning bolt shoots from the cloud to that point. Each creature within 5 feet of that point makes a Dexterity saving throw, taking 3d10 Lightning damage on a failed save or half as much damage on a successful one.
Until the spell ends, you can take a Magic action to call down lightning in that way again, targeting the same point or a different one.
If you’re outdoors in a storm when you cast this spell, the spell gives you control over that storm instead of creating a new one. Under such conditions, the spell’s damage increases by 1d10.
Using a Higher-Level Spell Slot. The damage increases by 1d10 for each spell slot level above 3."
Calm Emotions,2,enchantment,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Action,TRUE,FALSE,FALSE,FALSE,NA,NA,60 feet,feet,TRUE,TRUE,FALSE,NA,"Concentration, up to 1 minute",TRUE,"Each Humanoid in a 20-foot-radius Sphere centered on a point you choose within range must succeed on a Charisma saving throw or be affected by one of the following effects (choose for each creature):
The creature has Immunity to the Charmed and Frightened conditions until the spell ends. If the creature was already Charmed or Frightened, those conditions are suppressed for the duration.

The creature becomes Indifferent about creatures of your choice that it’s Hostile toward. This indifference ends if the target takes damage or witnesses its allies taking damage. When the spell ends, the creature’s attitude returns to normal."
Chain Lightning,6,evocation,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,Action,TRUE,FALSE,FALSE,FALSE,NA,NA,150 feet,feet,TRUE,TRUE,TRUE,three silver pins,Instantaneous,FALSE,"You launch a lightning bolt toward a target you can see within range. Three bolts then leap from that target to as many as three other targets of your choice, each of which must be within 30 feet of the first target. A target can be a creature or an object and can be targeted by only one of the bolts.
Each target makes a Dexterity saving throw, taking 10d8 Lightning damage on a failed save or half as much damage on a successful one.
Using a Higher-Level Spell Slot. One additional bolt leaps from the first target to another target for each spell slot level above 6."
Charm Monster,4,enchantment,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,Action,TRUE,FALSE,FALSE,FALSE,NA,NA,30 feet,feet,TRUE,TRUE,FALSE,NA,1 hour,FALSE,"One creature you can see within range makes a Wisdom saving throw. It does so with Advantage if you or your allies are fighting it. On a failed save, the target has the Charmed condition until the spell ends or until you or your allies damage it. The Charmed creature is Friendly to you. When the spell ends, the target knows it was Charmed by you.
Using a Higher-Level Spell Slot. You can target one additional creature for each spell slot level above 4."
Charm Person,1,enchantment,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,Action,TRUE,FALSE,FALSE,FALSE,NA,NA,30 feet,feet,TRUE,TRUE,FALSE,NA,1 hour,FALSE,"One Humanoid you can see within range makes a Wisdom saving throw. It does so with Advantage if you or your allies are fighting it. On a failed save, the target has the Charmed condition until the spell ends or until you or your allies damage it. The Charmed creature is Friendly to you. When the spell ends, the target knows it was Charmed by you.
Using a Higher-Level Spell Slot. You can target one additional creature for each spell slot level above 1."
Chill Touch,0,necromancy,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,Action,TRUE,FALSE,FALSE,FALSE,NA,NA,Touch,touch,TRUE,TRUE,FALSE,NA,Instantaneous,FALSE,"Channeling the chill of the grave, make a melee spell attack against a target within reach. On a hit, the target takes 1d10 Necrotic damage, and it can’t regain Hit Points until the end of your next turn.
Cantrip Upgrade. The damage increases by 1d10 when you reach levels 5 (2d10), 11 (3d10), and 17 (4d10)."
Chromatic Orb,1,evocation,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,Action,TRUE,FALSE,FALSE,FALSE,NA,NA,90 feet,feet,TRUE,TRUE,TRUE,a diamond worth 50+ GP,Instantaneous,FALSE,"You hurl an orb of energy at a target within range. Choose Acid, Cold, Fire, Lightning, Poison, or Thunder for the type of orb you create, and then make a ranged spell attack against the target. On a hit, the target takes 3d8 damage of the chosen type.
If you roll the same number on two or more of the d8s, the orb leaps to a different target of your choice within 30 feet of the target. Make an attack roll against the new target, and make a new damage roll. The orb can’t leap again unless you cast the spell with a level 2+ spell slot.
Using a Higher-Level Spell Slot. The damage increases by 1d8 for each spell slot level above 1. The orb can leap a maximum number of times equal to the level of the slot expended, and a creature can be targeted only once by each casting of this spell."
Circle of Death,6,necromancy,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,Action,TRUE,FALSE,FALSE,FALSE,NA,NA,150 feet,feet,TRUE,TRUE,TRUE,the powder of a crushed black pearl worth 500+ GP,Instantaneous,FALSE,"Negative energy ripples out in a 60-foot-radius Sphere from a point you choose within range. Each creature in that area makes a Constitution saving throw, taking 8d8 Necrotic damage on a failed save or half as much damage on a successful one.
Using a Higher-Level Spell Slot. The damage increases by 2d8 for each spell slot level above 6."
