package,n_total,n_unique
AgreementInterval,5,4
agricolae,257,24
agricolaeplotr,13,12
agridat,1,1
agrifeature,2,2
agriwater,26,26
agrmt,64,35
agrostab,2,2
AGSDest,134,39
agtboost,22,18
ahaz,27,15
AHM,28,16
AHMbook,103,54
ahMLE,23,15
ahnr,25,15
ahpsurvey,44,20
ahptopsis2n,1,1
AHSurv,51,33
aibd,17,11
AICcmodavg,1078,245
AID,4,4
aidar,40,20
aif360,23,10
AIG,11,5
aimPlot,1,1
AIPW,12,3
aire.zmvm,32,26
airGR,85,52
airGRdatassim,6,5
airGRiwrm,53,47
airGRteaching,30,11
aiRly,43,31
AirMonitor,33,23
airportr,7,7
airr,36,18
airt,43,25
aiRthermo,39,12
ajv,28,15
Ake,7,5
akima,10,7
akmbiclust,9,5
akmedoids,18,11
alabama,36,11
ALassoSurvIC,71,26
albopictus,3,3
ald,31,12
ALDqr,11,4
aLFQ,90,48
alfr,45,21
algaeClassify,12,11
AlgDesign,38,16
AlgebraicHaploPackage,7,5
algo,1,1
algorithmia,39,19
aliases2entrez,2,2
allcontributors,40,20
alleHap,104,53
allelematch,27,15
AlleleRetain,42,20
allestimates,13,9
Allspice,6,6
alluvial,6,3
almanac,309,231
alookr,65,43
alpaca,47,28
alphabetr,50,19
alphahull,32,12
alphaOutlier,44,14
alphashape3d,3,2
alphastable,37,19
alphavantager,2,2
ALS,2,1
ALSCPC,24,10
ALSM,31,18
altadata,20,16
altair,28,23
altfuelr,14,8
altmeta,526,87
ALTopt,39,15
altR2,19,11
ALUES,30,5
amanida,10,7
amapGeocode,9,7
amapro,12,9
AMAPVox,81,49
ambhasGW,5,5
ambiorix,87,62
ambit,71,31
AMCTestmakeR,11,8
amelie,6,5
amen,61,31
AmericanCallOpt,8,7
amerifluxr,24,15
amerika,2,2
AmesHousing,5,4
AmigaFFH,130,104
ammistability,44,8
AMModels,29,17
AmmoniaConcentration,1,1
aMNLFA,35,13
amp,127,42
ampd,5,4
AmpGram,10,7
ampir,28,16
AMPLE,60,33
AmpliconDuo,4,4
amt,489,343
AmyloGram,5,5
AnaCoDa,92,59
anacor,31,13
analogsea,725,266
analysisPipelines,109,30
analyzer,29,26
anapuce,15,6
AncestryMapper,38,19
AnchorRegression,9,5
Andromeda,32,19
andurinha,5,5
anesrake,6,5
AnglerCreelSurveySimulation,5,5
angstroms,32,25
aniDom,7,3
anim.plots,36,28
animalEKF,346,55
AnimalHabitatNetwork,1,1
animalTrack,41,3
animaltracker,98,52
animation,91,23
anipaths,10,8
aniview,1,1
AnnoProbe,11,9
AnnotationBustR,3,3
AnnuityRIR,173,61
anocva,9,7
anomalize,59,46
anomaly,107,51
ANOVAreplication,55,21
anovir,189,38
AntAngioCOOL,1,1
antaresEditObject,82,33
antaresProcessing,52,17
anthro,52,35
anthroplus,15,10
AnthropMMD,15,9
AntibodyTiters,10,7
anticlust,169,100
antitrust,4,4
antiword,2,2
AntMAN,112,65
ANTs,478,160
anybadger,12,7
anyflights,55,35
anyLib,1,1
anytime,59,40
aod,39,20
aods3,103,49
aoos,76,38
Aoptbdtvc,32,18
AOV1R,8,8
AovBay,3,3
apa,52,36
ApacheLogProcessor,8,5
apaTables,174,83
apaText,1,1
APAtree,218,54
apc,256,48
APCanalysis,2,2
apcf,15,9
aPCoA,2,2
APCtools,33,18
apdesign,4,3
ape,1087,454
apercu,17,7
apex,4,3
apexcharter,146,94
APfun,18,15
aphid,80,36
aphylo,206,123
APIS,18,10
apisensr,56,41
aplpack,377,88
APML0,21,15
apollo,850,132
APPEstimation,11,2
applicable,91,68
AppliedPredictiveModeling,8,7
appnn,3,3
approximator,30,12
approxmatch,7,3
approxOT,41,19
aprof,17,11
apsimx,175,89
apt,18,15
APtools,2,2
apTreeshape,256,74
apyramid,7,6
AQEval,77,49
AQLSchemes,15,12
aqp,194,94
AquaBPsim,7,7
AQuadtree,13,9
AquaEnv,549,95
aquodom,19,8
AR,13,1
ar.matrix,16,11
arabicStemR,38,33
arakno,37,17
ArArRedux,313,105
arc,34,13
ARCensReg,88,27
ArchaeoPhases,192,74
archetypal,44,25
archetyper,3,3
archetypes,105,69
archiDART,64,15
archive,42,29
aaMI,5,5
ABCExtremes,8,7
abemus,39,24
aBioMarVsuit,76,22
accuracy,162,98
Ace,18,10
acer,32,15
ACMEeqtl,11,6
ActisoftR,19,13
ActuDistns,168,165
ADaCGH,210,131
adapt,1,1
adehabitat,322,97
adk,8,2
Aelasticnet,1,1
AFLPsim,46,14
afmtools,76,22
after,13,10
agce,10,5
ageprior,6,5
aggrisk,14,6
agilp,1,1
Agreement,54,3
AHR,92,36
AIGIS,15,7
AIS,22,10
algstat,142,79
AlignStat,33,17
ALKr,12,6
allanvar,4,4
alm,198,50
alR,379,140
alterryx,76,41
AMA,11,10
amba,79,58
amei,52,25
amer,40,14
AMIAS,31,23
analytics,15,9
AnalyzeIO,22,11
AnalyzeTS,107,31
anametrix,57,31
anchoredDistr,9,3
anfis,2,2
ANLP,9,6
anm,10,6
annovarR,132,64
anomalyDetection,18,15
anonymizer,4,4
ANOVA.TFNs,60,16
AOfamilies,99,33
aop,10,10
apaStyle,89,21
apsimr,15,12
aqfig,5,5
aqr,32,23
AR1seg,11,7
ArduinoControl,10,5
ares,106,56
ARES,16,8
arf3DS4,1411,50
ArfimaMLM,10,3
arqas,170,112
arrayImpute,39,39
arrayMissPattern,20,20
ARTIVA,56,21
ARTP,614,250
as.color,1,1
ascrda,18,7
ASICS,65,32
AssayCorrector,38,7
astro,206,73
asuR,80,39
AtelieR,71,30
atlantistools,313,123
atm,108,73
ATmet,2,2
atmi,16,6
attfad,21,5
attrCUSUM,120,49
attribrisk,21,4
audited,92,46
auteur,147,54
AutoModel,20,11
autopls,138,67
autoSEM,26,11
autovarCore,120,78
avgrankoverlap,3,2
aws.cloudtrail,46,10
aws.ses,23,10
aws.sns,59,22
aws.sqs,53,15
AWS.tools,23,19
aylmer,40,11
AzureML,88,50
B2Z,101,40
b3archives,4,4
backblazer,10,10
backfitRichards,5,3
backtestGraphics,19,13
Bagidis,47,24
bagRboostR,24,16
bairt,29,19
ballr,7,7
BAMD,19,5
bams,62,35
BANEScarparkinglite,11,9
BANFF,101,51
BARD,398,162
bark,35,16
BaSAR,9,7
BatchMap,167,72
BayClone2,7,5
BayesBD,40,20
BayesBridge,28,22
bayesCGH,47,19
bayesCL,7,3
bayesclust,45,24
BAYESDEF,54,27
bayesDem,701,159
bayesGDS,10,9
BayesH,5,5
Bayesianbetareg,19,10
BayesianTools,407,118
bayesLopod,13,8
bayesMCClust,61,17
BayesMed,27,7
BayesNetDiscovery,44,23
bayespack,12,10
BayesPanel,1,1
BayesPen,5,3
BayesQTLBIC,26,15
BayesSingleSub,25,13
BayHap,14,5
BaylorEdPsych,4,3
baymvb,5,5
bayou,211,68
BBRecapture,56,15
BCEs0,15,4
bclust,87,32
bcRep,12,12
bcs,7,7
bdoc,4,4
bdrift,6,5
beadarrayMSV,94,54
bear,97,84
belief,22,5
benchmark,152,81
BEQI2,12,9
ber,16,10
BerkeleyEarth,28,23
BerlinData,62,44
betalink,52,33
betas,4,3
betfairly,92,30
bfa,19,14
bfork,2,2
bglm,27,12
BHPMF,12,9
bhrcr,32,24
biclique,4,4
bifactorial,102,33
BiG,7,5
bigdata,2,2
bigFastlm,12,11
BiGGR,23,15
bigIntegerAlgos,2,2
bigKRLS,72,35
biglars,25,8
bigmatrix,23,18
bigml,39,10
bigpca,64,40
biGraph,18,7
bigRR,1,1
BigSEM,4,3
bikedata,104,70
bilan,49,36
BINCO,24,10
binmapr,6,5
binneR,20,14
binomen,163,64
binomTools,21,18
biofiles,206,72
BioGeoBEARS,635,186
BioIDMapper,1,1
BiomarkeR,4,2
BioPhysConnectoR,172,59
biOps,150,118
biOpsGUI,1,1
BIPOD,6,4
birch,58,40
birdnik,17,11
bise,26,11
biseVec,9,3
bisoreg,16,9
bitrugs,2,2
bivpois,22,4
blighty,4,4
blkergm,11,11
blockseg,6,4
Blossom,2,2
blowtorch,19,16
BMhyb,100,48
BMhyd,42,15
BMN,31,17
BMSC,40,29
BNPMediation,9,5
boclust,26,17
boolean,59,19
boolean3,68,51
boolfun,9,6
boost,21,10
boostSeq,12,8
BootCL,6,6
bootfs,46,35
bootTimeInference,3,3
BootValidation,14,1
boss,44,22
boxoffice,6,5
BPEC,31,20
BPHO,24,14
bpkde,40,25
BradleyTerry,11,8
BradleyTerryScalable,46,30
branchLars,8,6
brazilmaps,3,3
BreedingSchemeLanguage,113,57
brewdata,8,6
bride,11,7
brlr,12,6
bs,13,5
bscr,83,38
BSGW,33,15
bsml,35,10
BSquare,126,91
btf,16,8
BTR,70,40
bustt,7,6
butler,42,29
bw,10,9
bwsurvival,7,5
cablecuttr,22,5
cacher,155,74
cacheSweave,40,20
CAGExploreR,31,20
caGUI,48,23
CalciOMatic,59,18
calib,82,30
calibFit,82,30
CaliCo,50,19
CAM,56,8
camel,27,20
canvas,1,1
capme,16,11
caretLSF,4,3
caretNWS,3,3
CARramps,10,7
CARrampsOcl,24,18
CAscaling,1,1
CaseBasedReasoning,29,18
caspar,29,13
causalMGM,18,14
Causata,262,177
CAVIAR,16,13
CAWaR,19,14
ccems,63,31
ccfa,71,24
ccgarch,121,39
CCMtools,50,23
cda,86,52
CDF.PSIdekick,148,42
CEAmarkov,38,14
cec2005benchmark,49,25
ced,1,1
celsius,3,3
cems,13,9
CensMixReg,173,59
census,1,1
cggd,21,11
cghFLasso,35,24
cghseg,37,22
CGIwithR,28,14
ChangeAnomalyDetection,2,1
CharFun,332,43
CHAT,88,36
cheatmap,17,12
chemosensors,114,44
ChocoLattes,13,12
ChoR,13,9
chplot,13,11
CIDnetworks,391,88
cimis,13,7
CINOEDV,24,14
CircE,46,15
ck37r,45,20
clac,67,35
CLAG,18,11
classiFunc,18,14
classify,22,14
classPP,20,14
classyfire,9,6
cleanEHR,160,88
clim.pact,391,78
climate.plot,31,12
climbeR,11,8
ClinicalRobustPriors,9,4
ClinReport,58,32
cliqueMS,33,26
cloudRmpi,55,23
cloudSimplifieR,6,5
clrdag,1,1
clues,22,15
CluMix,24,13
clusterfly,69,42
clustergas,181,103
clusthaplo,180,49
clustRcompaR,25,12
clustTool,33,15
cmfilter,16,11
cMonkey,166,51
CMPControl,5,1
cmpprocess,24,7
cmprskContin,1,1
cnmlcd,32,13
CNVassoc,155,47
cobs99,30,14
CoCoAn,4,3
CoCoGraph,25,8
colbycol,20,13
colcor,4,3
CollessLike,20,10
colorout,2,2
colorplaner,31,25
colSums,9,8
COMBIA,52,26
Combine,141,75
CommonTrend,3,3
COMMUNAL,52,33
comorbidities,32,13
ComPairWise,11,7
compeir,2,1
compete,46,28
CompetingRisk,25,11
CompetingRiskFrailty,14,8
CompGLM,22,17
compLasso,9,7
ComplexAnalysis,24,10
compoisson,26,14
compositionsGUI,153,23
concord,30,20
conditions,92,92
conformal,7,3
connect3,69,24
connectedness,7,6
CONOR,202,52
CONS,49,19
ConvCalendar,1,1
convexHaz,143,43
COP,3,3
copas,14,6
COPASutils,12,11
CopulaRegression,57,21
CopyNumber450kCancer,14,13
corcounts,2,1
CoreGx,12,5
CorReg,112,73
correlate,2,1
corrperm,1,1
CorShrink,9,5
CoSeg,5,4
CosmoPhotoz,6,5
cosmosR,16,8
COveR,33,32
covmat,11,5
Covpath,15,9
covTest,8,7
Coxnet,44,24
COZIGAM,45,14
CpDyna,22,17
cpgen,46,22
CPHshape,28,12
cppcor,6,4
cr17,52,20
crackR,1,1
CramTest,8,5
creditr,52,15
crevents,28,13
CRFCSD,34,19
crosshybDetector,5,3
crp.CSFP,3,1
crq,33,8
crqanlp,10,7
crypto,22,13
cSFM,42,22
cslogistic,7,1
csound,21,5
CSS,10,10
ctest,15,14
CTFS,149,78
cthresh,23,8
CTRE,51,20
cts,8,6
CuCubes,3,3
cudaBayesreg,25,13
cudia,7,6
curlconverter,7,5
cursory,86,26
curvclust,6,4
curvetest,8,7
CvM2SL1Test,1,1
CvM2SL2Test,1,1
cvplogistic,1,1
RcppTemplate,6,6
cxxPack,14,12
cyclones,62,31
D2C,46,22
d3heatmap,17,9
D3M,18,11
DA.MRFA,15,7
DAFOT,16,6
dagbag,3,3
DAGGER,4,2
Daim,95,42
DALEX2,8,7
darch,162,71
DART,6,5
data.world,27,20
DatABEL,23,15
datacheckr,79,58
datadr,511,222
dataesgobr,67,36
dataframe,61,25
DataFrameConstr,7,6
datalist,33,30
datamerge,1,1
Datasmith,145,56
datautils,9,7
dataview,32,16
DATforDCEMRI,4,3
db.r,10,6
dbConnect,23,19
DBFTest,19,8
DBHC,25,12
DBI.RODBC,3,1
DBI.RPgSQL,2,1
DBKGrad,3,1
dcemri,147,63
dcemriS4,71,19
dcens,14,8
dclong.spt,20,17
DCM,33,16
dcmr,72,39
ddeploy,4,4
ddepn,214,80
ddR,232,32
debug,149,40
decctools,37,22
DeducerMMR,1,1
deeplearning,35,22
Defaults,2,1
defrostR,14,10
degenes,8,3
delftfews,116,64
DeLorean,179,116
DEMEtics,123,47
demi,29,27
dendextendRcpp,18,16
dendroExtra,7,6
Depela,13,5
Design,758,191
designGLMM,15,9
DesignPatterns,26,13
DESP,30,18
DEVis,31,17
df2json,8,7
dgo,90,61
DiagnosisMed,11,11
DiagTest3Grp,256,37
diamonds,38,23
DICOM,13,10
diem,36,28
DierckxSpline,49,32
Difdtl,11,6
diff,9,7
diffMeanVar,28,18
diffractometry,14,12
digeR,47,19
Digiroo2,7,4
dirichlet,33,12
Disake,4,4
DiscML,60,15
discrimARTs,5,4
disp2D,26,15
DistatisR,20,13
dlm,107,41
dlmodeler,101,29
DMR,15,10
dmRTools,8,8
DNAprofiles,211,86
dnc,15,12
DNetFinder,3,3
dockr,24,16
doctr,38,34
Dopt,1,1
doSMP,21,17
dpcR,113,59
dpglasso,1,1
DPM.GGM,8,7
dpmixsim,2,1
DPpackage,585,64
dprep,28,16
dqshiny,120,78
DRAFT,23,15
drawExpression,58,56
DRI,12,9
driftR,20,15
driftsel,38,22
drLumi,95,53
drm,22,8
drsmooth,33,24
dsmodels,90,54
dtables,31,18
DTRlearn,15,13
dualScale,1,1
dvfBm,15,7
dvn,34,17
dwapi,136,54
DWD,254,54
DZEXPM,19,10
EAlasso,77,32
easi,5,1
easingr,24,14
easyformatr,19,18
easyml,100,68
easystab,24,14
EasyStrata,269,125
EasyUpliftTree,23,16
ebayesthresh,15,10
ebimetagenomics,28,16
EBS,49,34
eco,63,39
ecoengine,71,15
ecoretriever,4,4
EDanalysis,5,3
edarf,18,17
edesign,7,7
edmr,46,27
edpclient,105,56
EDR,25,12
edtdbg,11,9
EffectiveDose,3,1
egonet,1,1
egoTERGM,163,34
eigendog,32,15
eiPartialID,11,6
eiwild,22,17
el.convex,78,17
ElastH,53,11
ElectroGraph,68,46
ElemStatLearn,8,3
elmNN,2,2
ELMSurv,32,20
eLNNpaired,12,9
em2,1,1
emax.glm,38,28
EMCC,8,3
Emcdf,20,18
emdatr,3,2
EMDomics,8,7
emil,258,155
EMJumpDiffusion,2,1
EMMIXcontrasts,37,16
EMMIXcontrasts2,37,16
EMMIXcskew,285,129
EMMIXskew,75,38
EMMIXuskew,292,136
empirical,42,21
EMSHS,8,5
EMV,1,1
EMVC,7,5
ENA,13,10
enaR,126,45
enigma,36,21
ENiRG,77,35
ENmisc,96,52
EnQuireR,21,9
enrichvs,6,6
ensemble,8,6
ensembleEN,7,6
envelope,3,2
epi2loc,7,5
epibase,10,9
EpiBayes,17,16
epicalc,144,51
epifit,63,47
EpiResTest,2,2
episheet,9,8
episode,36,25
epitable,7,4
EpiWeek,2,2
epsi,2,2
EquiNorm,5,5
erboost,7,5
ergm.graphlets,3,3
erhcv,23,14
esd4all,21,11
ESKNN,2,1
esotericR,7,6
etseed,72,20
EuclideanMaps,3,3
euroMix,26,12
ev.trawl,86,55
eVenn,187,19
EVER,69,26
evora,6,2
exactDistr,35,10
exactmaxsel,92,16
ExactNumCI,2,2
ExactPath,3,3
ExomeCNV,35,22
ExomeDepth,4,4
ExPD2D,1,1
expoRkit,1,1
export,51,31
expoTree,19,12
exprso,105,74
expstudies,28,11
extracat,297,131
ezsummary,6,5
facebook.S4,23,19
factas,22,11
FactoRizationMachines,7,4
FACTscorer,197,54
fairselect,2,2
falsy,4,4
fArma,32,8
farmR,15,7
farsi,13,12
fAsianOptions,174,31
fastLSU,1,1
fastrtext,17,16
fastVAR,18,9
favir,105,56
fCalendar,884,409
fChange,59,26
FCNN4R,58,37
FDGcopulas,286,85
fdim,7,7
fecR,17,7
FEST,57,42
fetchR,5,3
FGN,105,32
fheatmap,55,22
FIAR,38,25
fifer,91,61
fiftystater,2,2
fileplyr,3,3
filterviewR,1,1
financial,29,9
FindMinIC,32,17
finebalance,17,10
fitcoach,18,13
FKBL,41,33
FLCore,161,97
FLEDA,3,1
flexCrossHaz,12,4
flexPM,25,16
FLIM,21,13
FlowCAr,23,15
FluOMatic,15,10
flyio,43,21
fmlogcondens,16,9
fmrs,18,15
fold,91,69
fOptions,42,11
forega,1,1
forestFloor,59,19
fork,12,10
formulize,8,6
FourierDescriptors,8,6
FPDC,6,3
fractal,21,13
fractalrock,9,6
fragilityindex,32,4
FRB,595,104
FRBData,4,3
frbf,70,33
FrechForest,117,19
FREddyPro,7,6
freeknotsplines,18,14
freestats,15,12
FREGAT,200,92
FRegSigCom,97,47
frequencies,2,2
freqweights,67,33
frite,14,11
fSeries,59,22
FTRLProximal,6,6
Funclustering,12,8
FunctionalNetworks,2,1
funcy,119,66
FUNLDA,11,8
FunNet,13,4
FusedLasso,12,10
FusedPCA,50,23
futile.matrix,11,8
fUtilities,72,40
fuzzyMM,24,13
fwdmsa,22,12
GA4Stratification,8,8
GADGET,20,10
gameofthrones,3,3
GammaTest,33,16
gaoptim,20,12
GAR,5,3
gausspred,29,19
gazetools,41,24
gbev,16,9
gbs,34,9
gcExplorer,48,37
gcl,81,16
gcmrec,4,4
gcolor,4,4
GDD,1,1
gdor,4,4
gdsfmt,41,30
gem,41,18
gemmR,19,15
GenCAT,10,7
genderizeR,20,9
genderNames,1,1
geneARMA,88,39
Geneclust,20,12
GeneFeST,14,14
genefu,9,6
Geneland,85,68
GeneNT,12,10
generalKSStat,65,45
GeneralTree,155,64
GeneReg,6,3
geneSLOPE,28,22
GeneSOM,24,17
GeneticTools,69,25
genMOSS,23,15
genMOSSplus,98,42
genomatic,18,17
GenomicTools,74,39
geo,158,42
geocodeHERE,4,4
geoCount,45,29
GeoGenetix,6,4
geohash,11,11
geoparser,11,9
geoPlot,2,1
geoRglm,4,3
geosample,5,4
geospacom,7,3
GERGM,167,105
gesis,3,3
GetHFData,11,10
GetITRData,40,18
GetNenshuJP,4,4
gettingtothebottom,87,30
GFMaps,29,16
GFORCE,133,70
ggcolpairs,13,11
ggCompNet,3,2
ggdistribute,151,84
ggFacetSample,6,6
ggHorizon,36,29
ggplot,942,255
ggsubplot,116,66
GhcnDaily,23,17
ghit,23,16
giRaph,18,1
gitter,20,7
Giza,9,4
glassomix,4,4
gldist,21,12
glm.ddR,64,36
glmmAK,56,35
GLMMarp,142,41
glmmBUGS,16,12
GLMMGibbs,2,2
glmmGS,56,39
glmperm,2,2
GLSE,14,7
gmaps,21,12
gmatrix,268,56
gmum.r,100,47
gmvalid,62,32
gmwm,259,184
gnmf,4,3
goalprog,36,25
gofMC,55,20
gogamer,82,55
gooJSON,2,2
Goslate,5,4
GOsummaries,132,56
GPB,1,1
GPC,197,55
gpDDE,501,53
gpHist,6,4
gphmm,9,6
gpls,20,11
GPPFourier,23,15
gppois,93,41
gpr,5,5
GPseq,27,10
gpuR,473,331
gputools,24,19
GRaF,41,17
GrammR,28,12
graph,283,87
graphComp,23,9
gRapHD,108,48
graphicsQC,10,7
graphite,46,31
GraphKit,24,21
grasp,42,17
grasper,77,68
GRASS,60,26
gRcox,349,122
GREP2,14,12
grid,378,176
gridsample,2,1
grnnR,1,1
grofit,238,25
growcurves,60,27
GrowingSOM,8,6
grppenalty,2,2
grpregOverlap,13,8
grpss,15,12
gsc,4,3
GSCAD,23,13
gsg,71,20
gsmaRt,29,22
gsrc,18,17
gsscopu,105,19
abundant,12,6
academictwitteR,42,21
accSDA,118,46
ActiveDriverWGS,6,4
actxps,42,32
add2ggplot,2,2
adegraphics,296,46
AEP,25,12
AgroR,797,83
agvgd,85,45
AlleleShift,4,3
allhomes,5,5
altdoc,69,38
ambient,95,72
Amelia,500,90
ammiBayes,8,6
AmoudSurv,96,53
analogue,180,66
animl,37,21
anMC,32,8
ANN2,46,23
antaresViz,39,20
Anthropometry,127,76
ao,3,3
aopdata,35,13
apache.sedona,33,29
APCI,23,8
apcluster,63,36
apng,41,23
archeofrag,23,15
aRchi,6,4
CircSpatial,15,15
ant,3,3
ARAMIS,35,14
aratio,17,10
Bayesthresh,73,36
bim,53,31
Biograph,132,32
caMassClass,76,44
bossMaps,27,17
climtrends,119,98
FunctSNP,35,17
galgo,41,16
GenABEL,189,70
gene2pathway,77,28
GeoXp,332,52
GMD,17,10
GOSim,69,34
DOSim,19,17
DPw,64,40
dynGraph,16,9
emu,81,37
event.chart,5,4
fastR,35,11
femmeR,45,38
ADAPTS,85,28
admiralonco,3,3
AGread,200,149
GPlab,34,9
abclass,71,42
adjclust,123,72
admisc,5,5
AgroTech,179,36
alakazam,153,82
alkahest,5,5
alqrfe,51,23
animint2,1565,538
aaSEA,10,8
aba,110,77
abcdeFBA,42,20
abf2,6,6
AbsFilterGSEA,11,8
ACCLMA,17,11
accrued,23,17
ACD,42,24
acm4r,27,20
acmeR,129,47
aCRM,1,1
ACSNMineR,26,9
Actigraphy,3,2
activpalProcessing,55,13
AdapEnetClass,11,7
adapr,357,128
AdaptFit,8,6
adass,16,8
adeba,40,27
adhoc,1,1
AdjBQR,11,5
admixturegraph,1345,341
adoption,177,77
ADtools,273,146
advclust,4,3
aemo,12,7
afCEC,4,3
aGE,17,9
agsemisc,19,17
ahp,66,39
AIM,21,13
AirSensor,83,35
ALA4R,115,37
alignfigR,6,4
alineR,46,11
allan,8,5
allelic,1,1
AllPossibleSpellings,1,1
AlphaVantageClient,25,12
alr3,40,39
AMAP.Seq,49,25
amber,233,46
AMGET,6,6
aml,8,5
AMOEBA,7,4
AMORE,85,21
AmostraBrasil,11,6
analyz,1,1
AnalyzeFMRI,187,79
anchors,127,75
AnDE,73,8
andrews,4,2
anglr,173,143
AnimalAPD,4,3
AnnotLists,2,1
anoint,184,64
anominate,5,5
AntWeb,47,11
aof,1,1
APML,3,3
apmsWAPP,26,11
apple,69,26
apricom,50,26
APSIM,7,7
APSIMBatch,28,14
apsrtable,22,15
aptg,7,5
aRbs,24,13
arcos,27,27
arealDB,19,9
ArgumentCheck,4,4
ariExtra,57,41
ArrayBin,2,2
artemis,67,50
aspace,25,5
ASPBay,1,1
assemblerr,301,151
AssotesteR,97,26
astrolibR,116,62
asus,13,5
asVPC,12,7
asypow,28,25
ATE,91,24
atmcmc,5,4
AtmRay,18,13
aucm,224,105
AUCRF,2,2
audiolyzR,6,4
aurelius,564,98
aurin,7,6
gasper,35,29
GauPro,295,85
GBcurves,3,2
gcForest,3,3
gconcord,2,2
gdalUtils,52,20
GDELTtools,19,12
gdimap,183,34
gdmp,23,18
gdns,49,33
gee4,21,18
genasis,44,17
genBart,4,4
gencve,54,30
GeneBook,4,3
GeneClusterNet,34,19
geneListPie,4,4
geneNetBP,6,6
geneSignatureFinder,28,15
GenForImp,2,2
GenKern,10,7
genotypeR,47,15
gensemble,27,20
genvar,63,55
GenWin,3,1
geoaxe,17,15
GeoDE,12,7
geoGAM,64,28
geogenr,88,68
GeoLight,111,42
geomedb,7,6
geomnet,18,16
geomultistar,9,9
geoops,39,31
georob,193,53
geoSpectral,38,4
geostatsp,98,50
geotech,205,51
geotoolsR,29,10
geozoning,324,168
germanpolls,3,2
GermaParl,5,4
gesca,42,22
GESTr,22,13
getMet,7,6
GetR,2,2
getTBinR,27,16
GEVStableGarch,42,12
GExMap,3,3
gfilinreg,20,14
gfmR,21,14
ggalignment,1,1
GGEBiplotGUI,18,14
ggfacto,16,11
ggguitar,1,1
gglogo,43,25
ggloop,95,44
GGMM,17,7
ggmsa,94,58
ggROC,1,1
ghee,21,18
GHQp,1,1
GiANT,57,34
gibbs.met,4,4
GibbsACOV,4,4
GISTools,16,13
glmaag,56,48
glmBfp,91,43
glmdm,21,10
