year,race,dollar_type,number,income_quintile,income_dollars
2007,All Races,Current Dollars,116783000,Top 5%,177000
2006,All Races,Current Dollars,116011000,Lowest,20035
2006,All Races,Current Dollars,116011000,Second,37774
2006,All Races,Current Dollars,116011000,Third,60000
2006,All Races,Current Dollars,116011000,Fourth,97032
2006,All Races,Current Dollars,116011000,Top 5%,174012
2005,All Races,Current Dollars,114384000,Lowest,19178
2005,All Races,Current Dollars,114384000,Second,36000
2005,All Races,Current Dollars,114384000,Third,57660
2005,All Races,Current Dollars,114384000,Fourth,91705
2005,All Races,Current Dollars,114384000,Top 5%,166000
2004,All Races,Current Dollars,113343000,Lowest,18486
2004,All Races,Current Dollars,113343000,Second,34675
2004,All Races,Current Dollars,113343000,Third,55230
2004,All Races,Current Dollars,113343000,Fourth,88002
2004,All Races,Current Dollars,113343000,Top 5%,157152
2003,All Races,Current Dollars,112000000,Lowest,17984
2003,All Races,Current Dollars,112000000,Second,34000
2003,All Races,Current Dollars,112000000,Third,54453
2003,All Races,Current Dollars,112000000,Fourth,86867
2003,All Races,Current Dollars,112000000,Top 5%,154120
2002,All Races,Current Dollars,111278000,Lowest,17916
2002,All Races,Current Dollars,111278000,Second,33377
2002,All Races,Current Dollars,111278000,Third,53162
2002,All Races,Current Dollars,111278000,Fourth,84016
2002,All Races,Current Dollars,111278000,Top 5%,150002
2001,All Races,Current Dollars,109297000,Lowest,17970
2001,All Races,Current Dollars,109297000,Second,33314
2001,All Races,Current Dollars,109297000,Third,53000
2001,All Races,Current Dollars,109297000,Fourth,83500
2001,All Races,Current Dollars,109297000,Top 5%,150499
2000,All Races,Current Dollars,108209000,Lowest,17920
2000,All Races,Current Dollars,108209000,Second,33000
2000,All Races,Current Dollars,108209000,Third,52174
2000,All Races,Current Dollars,108209000,Fourth,81766
2000,All Races,Current Dollars,108209000,Top 5%,145220
1999,All Races,Current Dollars,106434000,Lowest,17136
1999,All Races,Current Dollars,106434000,Second,31920
1999,All Races,Current Dollars,106434000,Third,50384
1999,All Races,Current Dollars,106434000,Fourth,79232
1999,All Races,Current Dollars,106434000,Top 5%,142000
1998,All Races,Current Dollars,103874000,Lowest,16116
1998,All Races,Current Dollars,103874000,Second,30408
1998,All Races,Current Dollars,103874000,Third,48337
1998,All Races,Current Dollars,103874000,Fourth,75000
1998,All Races,Current Dollars,103874000,Top 5%,132199
1997,All Races,Current Dollars,102528000,Lowest,15400
1997,All Races,Current Dollars,102528000,Second,29200
1997,All Races,Current Dollars,102528000,Third,46000
1997,All Races,Current Dollars,102528000,Fourth,71500
1997,All Races,Current Dollars,102528000,Top 5%,126550
1996,All Races,Current Dollars,101018000,Lowest,14768
1996,All Races,Current Dollars,101018000,Second,27760
1996,All Races,Current Dollars,101018000,Third,44006
1996,All Races,Current Dollars,101018000,Fourth,68015
1996,All Races,Current Dollars,101018000,Top 5%,119540
1995,All Races,Current Dollars,99627000,Lowest,14400
1995,All Races,Current Dollars,99627000,Second,26914
1995,All Races,Current Dollars,99627000,Third,42002
1995,All Races,Current Dollars,99627000,Fourth,65124
1995,All Races,Current Dollars,99627000,Top 5%,113000
1994,All Races,Current Dollars,98990000,Lowest,13426
1994,All Races,Current Dollars,98990000,Second,25200
1994,All Races,Current Dollars,98990000,Third,40100
1994,All Races,Current Dollars,98990000,Fourth,62841
1994,All Races,Current Dollars,98990000,Top 5%,109821
1993,All Races,Current Dollars,97107000,Lowest,12967
1993,All Races,Current Dollars,97107000,Second,24679
1993,All Races,Current Dollars,97107000,Third,38793
1993,All Races,Current Dollars,97107000,Fourth,60300
1993,All Races,Current Dollars,97107000,Top 5%,104639
1992,All Races,Current Dollars,96426000,Lowest,12600
1992,All Races,Current Dollars,96426000,Second,24140
1992,All Races,Current Dollars,96426000,Third,37900
1992,All Races,Current Dollars,96426000,Fourth,58007
1992,All Races,Current Dollars,96426000,Top 5%,99020
1991,All Races,Current Dollars,95669000,Lowest,12591
1991,All Races,Current Dollars,95669000,Second,24000
1991,All Races,Current Dollars,95669000,Third,37070
1991,All Races,Current Dollars,95669000,Fourth,56759
1991,All Races,Current Dollars,95669000,Top 5%,96400
1990,All Races,Current Dollars,94312000,Lowest,12500
1990,All Races,Current Dollars,94312000,Second,23662
1990,All Races,Current Dollars,94312000,Third,36200
1990,All Races,Current Dollars,94312000,Fourth,55205
1990,All Races,Current Dollars,94312000,Top 5%,94748
1989,All Races,Current Dollars,93347000,Lowest,12096
1989,All Races,Current Dollars,93347000,Second,23000
1989,All Races,Current Dollars,93347000,Third,35350
1989,All Races,Current Dollars,93347000,Fourth,53710
1989,All Races,Current Dollars,93347000,Top 5%,91750
1988,All Races,Current Dollars,92830000,Lowest,11382
1988,All Races,Current Dollars,92830000,Second,21500
1988,All Races,Current Dollars,92830000,Third,33506
1988,All Races,Current Dollars,92830000,Fourth,50593
1988,All Races,Current Dollars,92830000,Top 5%,85640
1987,All Races,Current Dollars,91124000,Lowest,10800
1987,All Races,Current Dollars,91124000,Second,20500
1987,All Races,Current Dollars,91124000,Third,32000
1987,All Races,Current Dollars,91124000,Fourth,48363
1987,All Races,Current Dollars,91124000,Top 5%,80928
1986,All Races,Current Dollars,89479000,Lowest,10247
1986,All Races,Current Dollars,89479000,Second,19600
1986,All Races,Current Dollars,89479000,Third,30419
1986,All Races,Current Dollars,89479000,Fourth,45982
1986,All Races,Current Dollars,89479000,Top 5%,77106
1985,All Races,Current Dollars,88458000,Lowest,9941
1985,All Races,Current Dollars,88458000,Second,18704
1985,All Races,Current Dollars,88458000,Third,28975
1985,All Races,Current Dollars,88458000,Fourth,43578
1985,All Races,Current Dollars,88458000,Top 5%,72004
1984,All Races,Current Dollars,86789000,Lowest,9500
1984,All Races,Current Dollars,86789000,Second,17780
1984,All Races,Current Dollars,86789000,Third,27393
1984,All Races,Current Dollars,86789000,Fourth,41380
1984,All Races,Current Dollars,86789000,Top 5%,68500
1983,All Races,Current Dollars,85290000,Lowest,8949
1983,All Races,Current Dollars,85290000,Second,16640
1983,All Races,Current Dollars,85290000,Third,25539
1983,All Races,Current Dollars,85290000,Fourth,38596
1983,All Races,Current Dollars,85290000,Top 5%,63500
1982,All Races,Current Dollars,83918000,Lowest,8400
1982,All Races,Current Dollars,83918000,Second,15976
1982,All Races,Current Dollars,83918000,Third,24410
1982,All Races,Current Dollars,83918000,Fourth,36400
1982,All Races,Current Dollars,83918000,Top 5%,60086
1981,All Races,Current Dollars,83527000,Lowest,8024
1981,All Races,Current Dollars,83527000,Second,15000
1981,All Races,Current Dollars,83527000,Third,23200
1981,All Races,Current Dollars,83527000,Fourth,34300
1981,All Races,Current Dollars,83527000,Top 5%,55200
1980,All Races,Current Dollars,82368000,Lowest,7478
1980,All Races,Current Dollars,82368000,Second,14024
1980,All Races,Current Dollars,82368000,Third,21500
1980,All Races,Current Dollars,82368000,Fourth,31480
1980,All Races,Current Dollars,82368000,Top 5%,50661
1979,All Races,Current Dollars,80776000,Lowest,7000
1979,All Races,Current Dollars,80776000,Second,13000
1979,All Races,Current Dollars,80776000,Third,20001
1979,All Races,Current Dollars,80776000,Fourth,29000
1979,All Races,Current Dollars,80776000,Top 5%,46860
1978,All Races,Current Dollars,77330000,Lowest,6318
1978,All Races,Current Dollars,77330000,Second,11946
1978,All Races,Current Dollars,77330000,Third,18075
1978,All Races,Current Dollars,77330000,Fourth,26288
1978,All Races,Current Dollars,77330000,Top 5%,42055
1977,All Races,Current Dollars,76030000,Lowest,5734
1977,All Races,Current Dollars,76030000,Second,10800
1977,All Races,Current Dollars,76030000,Third,16462
1977,All Races,Current Dollars,76030000,Fourth,24000
1977,All Races,Current Dollars,76030000,Top 5%,38000
1976,All Races,Current Dollars,74142000,Lowest,5405
1976,All Races,Current Dollars,74142000,Second,10070
1976,All Races,Current Dollars,74142000,Third,15340
1976,All Races,Current Dollars,74142000,Fourth,22070
1976,All Races,Current Dollars,74142000,Top 5%,35000
1975,All Races,Current Dollars,72867000,Lowest,5000
1975,All Races,Current Dollars,72867000,Second,9384
1975,All Races,Current Dollars,72867000,Third,14180
1975,All Races,Current Dollars,72867000,Fourth,20360
1975,All Races,Current Dollars,72867000,Top 5%,32129
1974,All Races,Current Dollars,71163000,Lowest,4860
1974,All Races,Current Dollars,71163000,Second,9015
1974,All Races,Current Dollars,71163000,Third,13321
1974,All Races,Current Dollars,71163000,Fourth,19333
1974,All Races,Current Dollars,71163000,Top 5%,30600
1973,All Races,Current Dollars,69859000,Lowest,4397
1973,All Races,Current Dollars,69859000,Second,8455
1973,All Races,Current Dollars,69859000,Third,12510
1973,All Races,Current Dollars,69859000,Fourth,18012
1973,All Races,Current Dollars,69859000,Top 5%,28950
1972,All Races,Current Dollars,68251000,Lowest,4050
1972,All Races,Current Dollars,68251000,Second,7800
1972,All Races,Current Dollars,68251000,Third,11528
1972,All Races,Current Dollars,68251000,Fourth,16500
1972,All Races,Current Dollars,68251000,Top 5%,26555
1971,All Races,Current Dollars,66676000,Lowest,3800
1971,All Races,Current Dollars,66676000,Second,7244
1971,All Races,Current Dollars,66676000,Third,10660
1971,All Races,Current Dollars,66676000,Fourth,15200
1971,All Races,Current Dollars,66676000,Top 5%,24138
1970,All Races,Current Dollars,64778000,Lowest,3688
1970,All Races,Current Dollars,64778000,Second,7065
1970,All Races,Current Dollars,64778000,Third,10276
1970,All Races,Current Dollars,64778000,Fourth,14661
1970,All Races,Current Dollars,64778000,Top 5%,23175
1969,All Races,Current Dollars,63401000,Lowest,3575
1969,All Races,Current Dollars,63401000,Second,6860
1969,All Races,Current Dollars,63401000,Third,9921
1969,All Races,Current Dollars,63401000,Fourth,13900
1969,All Races,Current Dollars,63401000,Top 5%,21800
1968,All Races,Current Dollars,62214000,Lowest,3323
1968,All Races,Current Dollars,62214000,Second,6300
1968,All Races,Current Dollars,62214000,Third,9030
1968,All Races,Current Dollars,62214000,Fourth,12688
1968,All Races,Current Dollars,62214000,Top 5%,19850
1967,All Races,Current Dollars,60813000,Lowest,3000
1967,All Races,Current Dollars,60813000,Second,5850
1967,All Races,Current Dollars,60813000,Third,8303
1967,All Races,Current Dollars,60813000,Fourth,11840
1967,All Races,Current Dollars,60813000,Top 5%,19000
2019,All Races,2019 Dollars,128451000,Lowest,28084
2019,All Races,2019 Dollars,128451000,Second,53503
2019,All Races,2019 Dollars,128451000,Third,86488
2019,All Races,2019 Dollars,128451000,Fourth,142501
2019,All Races,2019 Dollars,128451000,Top 5%,270002
2018,All Races,2019 Dollars,128579000,Lowest,26064
2018,All Races,2019 Dollars,128579000,Second,50906
2018,All Races,2019 Dollars,128579000,Third,80983
2018,All Races,2019 Dollars,128579000,Fourth,132355
2018,All Races,2019 Dollars,128579000,Top 5%,253234
2017,All Races,2019 Dollars,127586000,Lowest,25696
2017,All Races,2019 Dollars,127586000,Second,49133
2017,All Races,2019 Dollars,127586000,Third,80882
2017,All Races,2019 Dollars,127586000,Fourth,132302
2017,All Races,2019 Dollars,127586000,Top 5%,247211
2016,All Races,2019 Dollars,126224000,Lowest,25571
2016,All Races,2019 Dollars,126224000,Second,48581
2016,All Races,2019 Dollars,126224000,Third,79763
2016,All Races,2019 Dollars,126224000,Fourth,128928
2016,All Races,2019 Dollars,126224000,Top 5%,239975
2015,All Races,2019 Dollars,125819000,Lowest,24604
2015,All Races,2019 Dollars,125819000,Second,46953
2015,All Races,2019 Dollars,125819000,Third,77697
2015,All Races,2019 Dollars,125819000,Fourth,126258
2015,All Races,2019 Dollars,125819000,Top 5%,231427
2014,All Races,2019 Dollars,124587000,Lowest,23167
2014,All Races,2019 Dollars,124587000,Second,44521
2014,All Races,2019 Dollars,124587000,Third,73735
2014,All Races,2019 Dollars,124587000,Fourth,121351
2014,All Races,2019 Dollars,124587000,Top 5%,223293
2013,All Races,2019 Dollars,123931000,Lowest,23085
2013,All Races,2019 Dollars,123931000,Second,45109
2013,All Races,2019 Dollars,123931000,Third,73871
2013,All Races,2019 Dollars,123931000,Fourth,121175
2013,All Races,2019 Dollars,123931000,Top 5%,225491
2012,All Races,2019 Dollars,122459000,Lowest,22979
2012,All Races,2019 Dollars,122459000,Second,44359
2012,All Races,2019 Dollars,122459000,Third,72045
2012,All Races,2019 Dollars,122459000,Fourth,116125
2012,All Races,2019 Dollars,122459000,Top 5%,213245
2011,All Races,2019 Dollars,121084000,Lowest,23082
2011,All Races,2019 Dollars,121084000,Second,43881
2011,All Races,2019 Dollars,121084000,Third,71124
2011,All Races,2019 Dollars,121084000,Fourth,115720
2011,All Races,2019 Dollars,121084000,Top 5%,211888
2010,All Races,2019 Dollars,119927000,Lowest,23502
2010,All Races,2019 Dollars,119927000,Second,44654
2010,All Races,2019 Dollars,119927000,Third,72268
2010,All Races,2019 Dollars,119927000,Fourth,117543
2010,All Races,2019 Dollars,119927000,Top 5%,212087
2009,All Races,2019 Dollars,117538000,Lowest,24431
2009,All Races,2019 Dollars,117538000,Second,46047
2009,All Races,2019 Dollars,117538000,Third,73820
2009,All Races,2019 Dollars,117538000,Fourth,119448
2009,All Races,2019 Dollars,117538000,Top 5%,215008
2008,All Races,2019 Dollars,117181000,Lowest,24654
2008,All Races,2019 Dollars,117181000,Second,46423
2008,All Races,2019 Dollars,117181000,Third,74663
2008,All Races,2019 Dollars,117181000,Fourth,119318
2008,All Races,2019 Dollars,117181000,Top 5%,214259
2007,All Races,2019 Dollars,116783000,Lowest,25081
2007,All Races,2019 Dollars,116783000,Second,48329
2007,All Races,2019 Dollars,116783000,Third,76635
2007,All Races,2019 Dollars,116783000,Fourth,123605
2007,All Races,2019 Dollars,116783000,Top 5%,218780
2006,All Races,2019 Dollars,116011000,Lowest,25467
2006,All Races,2019 Dollars,116011000,Second,48015
2006,All Races,2019 Dollars,116011000,Third,76266
2006,All Races,2019 Dollars,116011000,Fourth,123337
2006,All Races,2019 Dollars,116011000,Top 5%,221187
2005,All Races,2019 Dollars,114384000,Lowest,25167
2005,All Races,2019 Dollars,114384000,Second,47243
2005,All Races,2019 Dollars,114384000,Third,75667
2005,All Races,2019 Dollars,114384000,Fourth,120345
2005,All Races,2019 Dollars,114384000,Top 5%,217842
2004,All Races,2019 Dollars,113343000,Lowest,25081
2004,All Races,2019 Dollars,113343000,Second,47046
2004,All Races,2019 Dollars,113343000,Third,74934
2004,All Races,2019 Dollars,113343000,Fourth,119397
2004,All Races,2019 Dollars,113343000,Top 5%,213217
2003,All Races,2019 Dollars,112000000,Lowest,25059
2003,All Races,2019 Dollars,112000000,Second,47376
2003,All Races,2019 Dollars,112000000,Third,75875
2003,All Races,2019 Dollars,112000000,Fourth,121042
2003,All Races,2019 Dollars,112000000,Top 5%,214753
2002,All Races,2019 Dollars,111278000,Lowest,25531
2002,All Races,2019 Dollars,111278000,Second,47564
2002,All Races,2019 Dollars,111278000,Third,75759
2002,All Races,2019 Dollars,111278000,Fourth,119728
2002,All Races,2019 Dollars,111278000,Top 5%,213761
2001,All Races,2019 Dollars,109297000,Lowest,26012
2001,All Races,2019 Dollars,109297000,Second,48223
2001,All Races,2019 Dollars,109297000,Third,76719
2001,All Races,2019 Dollars,109297000,Fourth,120868
2001,All Races,2019 Dollars,109297000,Top 5%,217850
2000,All Races,2019 Dollars,108209000,Lowest,26678
2000,All Races,2019 Dollars,108209000,Second,49128
2000,All Races,2019 Dollars,108209000,Third,77673
2000,All Races,2019 Dollars,108209000,Fourth,121728
2000,All Races,2019 Dollars,108209000,Top 5%,216193
1999,All Races,2019 Dollars,106434000,Lowest,26377
1999,All Races,2019 Dollars,106434000,Second,49133
1999,All Races,2019 Dollars,106434000,Third,77553
1999,All Races,2019 Dollars,106434000,Fourth,121958
1999,All Races,2019 Dollars,106434000,Top 5%,218573
1998,All Races,2019 Dollars,103874000,Lowest,25335
1998,All Races,2019 Dollars,103874000,Second,47802
1998,All Races,2019 Dollars,103874000,Third,75987
1998,All Races,2019 Dollars,103874000,Fourth,117902
1998,All Races,2019 Dollars,103874000,Top 5%,207820
1997,All Races,2019 Dollars,102528000,Lowest,24537
1997,All Races,2019 Dollars,102528000,Second,46525
1997,All Races,2019 Dollars,102528000,Third,73292
1997,All Races,2019 Dollars,102528000,Fourth,113922
1997,All Races,2019 Dollars,102528000,Top 5%,201634
1996,All Races,2019 Dollars,101018000,Lowest,24039
1996,All Races,2019 Dollars,101018000,Second,45187
1996,All Races,2019 Dollars,101018000,Third,71631
1996,All Races,2019 Dollars,101018000,Fourth,110712
1996,All Races,2019 Dollars,101018000,Top 5%,194582
1995,All Races,2019 Dollars,99627000,Lowest,24064
1995,All Races,2019 Dollars,99627000,Second,44976
1995,All Races,2019 Dollars,99627000,Third,70190
1995,All Races,2019 Dollars,99627000,Fourth,108829
1995,All Races,2019 Dollars,99627000,Top 5%,188835
1994,All Races,2019 Dollars,98990000,Lowest,22977
1994,All Races,2019 Dollars,98990000,Second,43126
1994,All Races,2019 Dollars,98990000,Third,68626
1994,All Races,2019 Dollars,98990000,Fourth,107544
1994,All Races,2019 Dollars,98990000,Top 5%,187944
1993,All Races,2019 Dollars,97107000,Lowest,22655
1993,All Races,2019 Dollars,97107000,Second,43117
1993,All Races,2019 Dollars,97107000,Third,67775
1993,All Races,2019 Dollars,97107000,Fourth,105350
1993,All Races,2019 Dollars,97107000,Top 5%,182815
1992,All Races,2019 Dollars,96426000,Lowest,22569
1992,All Races,2019 Dollars,96426000,Second,43238
1992,All Races,2019 Dollars,96426000,Third,67885
1992,All Races,2019 Dollars,96426000,Fourth,103899
1992,All Races,2019 Dollars,96426000,Top 5%,177360
1991,All Races,2019 Dollars,95669000,Lowest,23113
1991,All Races,2019 Dollars,95669000,Second,44057
1991,All Races,2019 Dollars,95669000,Third,68049
1991,All Races,2019 Dollars,95669000,Fourth,104192
1991,All Races,2019 Dollars,95669000,Top 5%,176961
1990,All Races,2019 Dollars,94312000,Lowest,23781
1990,All Races,2019 Dollars,94312000,Second,45016
1990,All Races,2019 Dollars,94312000,Third,68870
1990,All Races,2019 Dollars,94312000,Fourth,105026
1990,All Races,2019 Dollars,94312000,Top 5%,180256
1989,All Races,2019 Dollars,93347000,Lowest,24147
1989,All Races,2019 Dollars,93347000,Second,45915
1989,All Races,2019 Dollars,93347000,Third,70569
1989,All Races,2019 Dollars,93347000,Fourth,107221
1989,All Races,2019 Dollars,93347000,Top 5%,183159
1988,All Races,2019 Dollars,92830000,Lowest,23715
1988,All Races,2019 Dollars,92830000,Second,44797
1988,All Races,2019 Dollars,92830000,Third,69812
1988,All Races,2019 Dollars,92830000,Fourth,105414
1988,All Races,2019 Dollars,92830000,Top 5%,178436
1987,All Races,2019 Dollars,91124000,Lowest,23315
1987,All Races,2019 Dollars,91124000,Second,44256
1987,All Races,2019 Dollars,91124000,Third,69083
1987,All Races,2019 Dollars,91124000,Fourth,104408
1987,All Races,2019 Dollars,91124000,Top 5%,174710
1986,All Races,2019 Dollars,89479000,Lowest,22883
1986,All Races,2019 Dollars,89479000,Second,43769
1986,All Races,2019 Dollars,89479000,Third,67929
1986,All Races,2019 Dollars,89479000,Fourth,102682
1986,All Races,2019 Dollars,89479000,Top 5%,172185
1985,All Races,2019 Dollars,88458000,Lowest,22588
1985,All Races,2019 Dollars,88458000,Second,42499
1985,All Races,2019 Dollars,88458000,Third,65836
1985,All Races,2019 Dollars,88458000,Fourth,99017
1985,All Races,2019 Dollars,88458000,Top 5%,163606
1984,All Races,2019 Dollars,86789000,Lowest,22327
1984,All Races,2019 Dollars,86789000,Second,41786
1984,All Races,2019 Dollars,86789000,Third,64379
1984,All Races,2019 Dollars,86789000,Fourth,97251
1984,All Races,2019 Dollars,86789000,Top 5%,160988
1983,All Races,2019 Dollars,85290000,Lowest,21907
1983,All Races,2019 Dollars,85290000,Second,40734
1983,All Races,2019 Dollars,85290000,Third,62519
1983,All Races,2019 Dollars,85290000,Fourth,94482
1983,All Races,2019 Dollars,85290000,Top 5%,155447
1982,All Races,2019 Dollars,83918000,Lowest,21441
1982,All Races,2019 Dollars,83918000,Second,40779
1982,All Races,2019 Dollars,83918000,Third,62308
1982,All Races,2019 Dollars,83918000,Fourth,92913
1982,All Races,2019 Dollars,83918000,Top 5%,153372
1981,All Races,2019 Dollars,83527000,Lowest,21718
1981,All Races,2019 Dollars,83527000,Second,40600
1981,All Races,2019 Dollars,83527000,Third,62795
1981,All Races,2019 Dollars,83527000,Fourth,92839
1981,All Races,2019 Dollars,83527000,Top 5%,149409
1980,All Races,2019 Dollars,82368000,Lowest,22152
1980,All Races,2019 Dollars,82368000,Second,41542
1980,All Races,2019 Dollars,82368000,Third,63688
1980,All Races,2019 Dollars,82368000,Fourth,93251
1980,All Races,2019 Dollars,82368000,Top 5%,150070
1979,All Races,2019 Dollars,80776000,Lowest,23058
1979,All Races,2019 Dollars,80776000,Second,42822
1979,All Races,2019 Dollars,80776000,Third,65883
1979,All Races,2019 Dollars,80776000,Fourth,95525
1979,All Races,2019 Dollars,80776000,Top 5%,154355
1978,All Races,2019 Dollars,77330000,Lowest,22785
1978,All Races,2019 Dollars,77330000,Second,43081
1978,All Races,2019 Dollars,77330000,Third,65184
1978,All Races,2019 Dollars,77330000,Fourth,94803
1978,All Races,2019 Dollars,77330000,Top 5%,151664
1977,All Races,2019 Dollars,76030000,Lowest,22097
1977,All Races,2019 Dollars,76030000,Second,41619
1977,All Races,2019 Dollars,76030000,Third,63439
1977,All Races,2019 Dollars,76030000,Fourth,92487
1977,All Races,2019 Dollars,76030000,Top 5%,146438
1976,All Races,2019 Dollars,74142000,Lowest,22143
1976,All Races,2019 Dollars,74142000,Second,41255
1976,All Races,2019 Dollars,74142000,Third,62846
1976,All Races,2019 Dollars,74142000,Fourth,90417
1976,All Races,2019 Dollars,74142000,Top 5%,143390
1975,All Races,2019 Dollars,72867000,Lowest,21663
1975,All Races,2019 Dollars,72867000,Second,40657
1975,All Races,2019 Dollars,72867000,Third,61436
1975,All Races,2019 Dollars,72867000,Fourth,88211
1975,All Races,2019 Dollars,72867000,Top 5%,139201
1974,All Races,2019 Dollars,71163000,Lowest,22787
1974,All Races,2019 Dollars,71163000,Second,42268
1974,All Races,2019 Dollars,71163000,Third,62458
1974,All Races,2019 Dollars,71163000,Fourth,90646
1974,All Races,2019 Dollars,71163000,Top 5%,143473
1973,All Races,2019 Dollars,69859000,Lowest,22678
1973,All Races,2019 Dollars,69859000,Second,43607
1973,All Races,2019 Dollars,69859000,Third,64521
1973,All Races,2019 Dollars,69859000,Fourth,92898
1973,All Races,2019 Dollars,69859000,Top 5%,149311
1972,All Races,2019 Dollars,68251000,Lowest,22195
1972,All Races,2019 Dollars,68251000,Second,42747
1972,All Races,2019 Dollars,68251000,Third,63177
1972,All Races,2019 Dollars,68251000,Fourth,90426
1972,All Races,2019 Dollars,68251000,Top 5%,145531
1971,All Races,2019 Dollars,66676000,Lowest,21450
1971,All Races,2019 Dollars,66676000,Second,40890
1971,All Races,2019 Dollars,66676000,Third,60172
1971,All Races,2019 Dollars,66676000,Fourth,85799
1971,All Races,2019 Dollars,66676000,Top 5%,136251
1970,All Races,2019 Dollars,64778000,Lowest,21730
1970,All Races,2019 Dollars,64778000,Second,41627
1970,All Races,2019 Dollars,64778000,Third,60546
1970,All Races,2019 Dollars,64778000,Fourth,86383
1970,All Races,2019 Dollars,64778000,Top 5%,136548
1969,All Races,2019 Dollars,63401000,Lowest,22102
1969,All Races,2019 Dollars,63401000,Second,42410
1969,All Races,2019 Dollars,63401000,Third,61334
1969,All Races,2019 Dollars,63401000,Fourth,85933
1969,All Races,2019 Dollars,63401000,Top 5%,134773
1968,All Races,2019 Dollars,62214000,Lowest,21460
1968,All Races,2019 Dollars,62214000,Second,40685
1968,All Races,2019 Dollars,62214000,Third,58316
1968,All Races,2019 Dollars,62214000,Fourth,81939
1968,All Races,2019 Dollars,62214000,Top 5%,128191
1967,All Races,2019 Dollars,60813000,Lowest,20134
1967,All Races,2019 Dollars,60813000,Second,39261
1967,All Races,2019 Dollars,60813000,Third,55723
1967,All Races,2019 Dollars,60813000,Fourth,79461
1967,All Races,2019 Dollars,60813000,Top 5%,127513
2019,Asian Alone or in Combination,Current Dollars,7334000,Lowest,40200
2019,Asian Alone or in Combination,Current Dollars,7334000,Second,77000
2019,Asian Alone or in Combination,Current Dollars,7334000,Third,120508
2019,Asian Alone or in Combination,Current Dollars,7334000,Fourth,190330
2019,Asian Alone or in Combination,Current Dollars,7334000,Top 5%,356573
2018,Asian Alone or in Combination,Current Dollars,7416000,Lowest,33600
