year,race,dollar_type,income_quintile,income_dollars
1988,All Races,Current Dollars,Top 5%,124215
1987,All Races,Current Dollars,Lowest,6132
1987,All Races,Current Dollars,Second,15584
1987,All Races,Current Dollars,Middle,26055
1987,All Races,Current Dollars,Fourth,39383
1987,All Races,Current Dollars,Highest,74897
1987,All Races,Current Dollars,Top 5%,118000
1986,All Races,Current Dollars,Lowest,5774
1986,All Races,Current Dollars,Second,14853
1986,All Races,Current Dollars,Middle,24855
1986,All Races,Current Dollars,Fourth,37443
1986,All Races,Current Dollars,Highest,70871
1986,All Races,Current Dollars,Top 5%,111024
1985,All Races,Current Dollars,Lowest,5614
1985,All Races,Current Dollars,Second,14227
1985,All Races,Current Dollars,Middle,23615
1985,All Races,Current Dollars,Fourth,35522
1985,All Races,Current Dollars,Highest,66353
1985,All Races,Current Dollars,Top 5%,102354
1984,All Races,Current Dollars,Lowest,5436
1984,All Races,Current Dollars,Second,13540
1984,All Races,Current Dollars,Middle,22438
1984,All Races,Current Dollars,Fourth,33784
1984,All Races,Current Dollars,Highest,62121
1984,All Races,Current Dollars,Top 5%,93774
1983,All Races,Current Dollars,Lowest,5053
1983,All Races,Current Dollars,Second,12693
1983,All Races,Current Dollars,Middle,20986
1983,All Races,Current Dollars,Fourth,31492
1983,All Races,Current Dollars,Highest,57819
1983,All Races,Current Dollars,Top 5%,87359
1982,All Races,Current Dollars,Lowest,4790
1982,All Races,Current Dollars,Second,12121
1982,All Races,Current Dollars,Middle,20064
1982,All Races,Current Dollars,Fourth,29840
1982,All Races,Current Dollars,Highest,54729
1982,All Races,Current Dollars,Top 5%,82697
1981,All Races,Current Dollars,Lowest,4602
1981,All Races,Current Dollars,Second,11464
1981,All Races,Current Dollars,Middle,18991
1981,All Races,Current Dollars,Fourth,28309
1981,All Races,Current Dollars,Highest,50568
1981,All Races,Current Dollars,Top 5%,75144
1980,All Races,Current Dollars,Lowest,4310
1980,All Races,Current Dollars,Second,10727
1980,All Races,Current Dollars,Middle,17701
1980,All Races,Current Dollars,Fourth,26078
1980,All Races,Current Dollars,Highest,46497
1980,All Races,Current Dollars,Top 5%,69484
1979,All Races,Current Dollars,Lowest,4006
1979,All Races,Current Dollars,Second,9964
1979,All Races,Current Dollars,Middle,16428
1979,All Races,Current Dollars,Fourth,24108
1979,All Races,Current Dollars,Highest,43265
1979,All Races,Current Dollars,Top 5%,65984
1978,All Races,Current Dollars,Lowest,3685
1978,All Races,Current Dollars,Second,9050
1978,All Races,Current Dollars,Middle,14943
1978,All Races,Current Dollars,Fourth,21890
1978,All Races,Current Dollars,Highest,39081
1978,All Races,Current Dollars,Top 5%,59486
1977,All Races,Current Dollars,Lowest,3335
1977,All Races,Current Dollars,Second,8209
1977,All Races,Current Dollars,Middle,13579
1977,All Races,Current Dollars,Fourth,19896
1977,All Races,Current Dollars,Highest,35480
1977,All Races,Current Dollars,Top 5%,54277
1976,All Races,Current Dollars,Lowest,3152
1976,All Races,Current Dollars,Second,7717
1976,All Races,Current Dollars,Middle,12691
1976,All Races,Current Dollars,Fourth,18430
1976,All Races,Current Dollars,Highest,32619
1976,All Races,Current Dollars,Top 5%,49700
1975,All Races,Current Dollars,Lowest,2909
1975,All Races,Current Dollars,Second,7146
1975,All Races,Current Dollars,Middle,11724
1975,All Races,Current Dollars,Fourth,17036
1975,All Races,Current Dollars,Highest,30078
1975,All Races,Current Dollars,Top 5%,45644
1974,All Races,Current Dollars,Lowest,2783
1974,All Races,Current Dollars,Second,6917
1974,All Races,Current Dollars,Middle,11147
1974,All Races,Current Dollars,Fourth,16099
1974,All Races,Current Dollars,Highest,28523
1974,All Races,Current Dollars,Top 5%,43355
1973,All Races,Current Dollars,Lowest,2539
1973,All Races,Current Dollars,Second,6384
1973,All Races,Current Dollars,Middle,10471
1973,All Races,Current Dollars,Fourth,15064
1973,All Races,Current Dollars,Highest,26953
1973,All Races,Current Dollars,Top 5%,41516
1972,All Races,Current Dollars,Lowest,2283
1972,All Races,Current Dollars,Second,5897
1972,All Races,Current Dollars,Middle,9624
1972,All Races,Current Dollars,Fourth,13817
1972,All Races,Current Dollars,Highest,24805
1972,All Races,Current Dollars,Top 5%,38447
1971,All Races,Current Dollars,Lowest,2092
1971,All Races,Current Dollars,Second,5529
1971,All Races,Current Dollars,Middle,8965
1971,All Races,Current Dollars,Fourth,12745
1971,All Races,Current Dollars,Highest,22583
1971,All Races,Current Dollars,Top 5%,34638
1970,All Races,Current Dollars,Lowest,1992
1970,All Races,Current Dollars,Second,5396
1970,All Races,Current Dollars,Middle,8689
1970,All Races,Current Dollars,Fourth,12248
1970,All Races,Current Dollars,Highest,21683
1970,All Races,Current Dollars,Top 5%,33281
1969,All Races,Current Dollars,Lowest,1932
1969,All Races,Current Dollars,Second,5216
1969,All Races,Current Dollars,Middle,8335
1969,All Races,Current Dollars,Fourth,11675
1969,All Races,Current Dollars,Highest,20520
1969,All Races,Current Dollars,Top 5%,31585
1968,All Races,Current Dollars,Lowest,1806
1968,All Races,Current Dollars,Second,4842
1968,All Races,Current Dollars,Middle,7680
1968,All Races,Current Dollars,Fourth,10713
1968,All Races,Current Dollars,Highest,18616
1968,All Races,Current Dollars,Top 5%,28461
1967,All Races,Current Dollars,Lowest,1600
1967,All Races,Current Dollars,Second,4433
1967,All Races,Current Dollars,Middle,7077
1967,All Races,Current Dollars,Fourth,9902
1967,All Races,Current Dollars,Highest,17820
1967,All Races,Current Dollars,Top 5%,28110
2019,All Races,2019 Dollars,Lowest,15286
2019,All Races,2019 Dollars,Second,40652
2019,All Races,2019 Dollars,Middle,68938
2019,All Races,2019 Dollars,Fourth,111112
2019,All Races,2019 Dollars,Highest,254449
2019,All Races,2019 Dollars,Top 5%,451122
2018,All Races,2019 Dollars,Lowest,14025
2018,All Races,2019 Dollars,Second,37969
2018,All Races,2019 Dollars,Middle,64724
2018,All Races,2019 Dollars,Fourth,103410
2018,All Races,2019 Dollars,Highest,238133
2018,All Races,2019 Dollars,Top 5%,424066
2017,All Races,2019 Dollars,Lowest,13827
2017,All Races,2019 Dollars,Second,36921
2017,All Races,2019 Dollars,Middle,64207
2017,All Races,2019 Dollars,Fourth,103282
2017,All Races,2019 Dollars,Highest,231371
2017,All Races,2019 Dollars,Top 5%,401832
2016,All Races,2019 Dollars,Lowest,13789
2016,All Races,2019 Dollars,Second,36759
2016,All Races,2019 Dollars,Middle,63015
2016,All Races,2019 Dollars,Fourth,101399
2016,All Races,2019 Dollars,Highest,227925
2016,All Races,2019 Dollars,Top 5%,399606
2015,All Races,2019 Dollars,Lowest,13442
2015,All Races,2019 Dollars,Second,35212
2015,All Races,2019 Dollars,Middle,61328
2015,All Races,2019 Dollars,Fourth,99311
2015,All Races,2019 Dollars,Highest,218374
2015,All Races,2019 Dollars,Top 5%,378626
2014,All Races,2019 Dollars,Lowest,12621
2014,All Races,2019 Dollars,Second,33604
2014,All Races,2019 Dollars,Middle,58416
2014,All Races,2019 Dollars,Fourth,94945
2014,All Races,2019 Dollars,Highest,209764
2014,All Races,2019 Dollars,Top 5%,359255
2013,All Races,2019 Dollars,Lowest,12745
2013,All Races,2019 Dollars,Second,33871
2013,All Races,2019 Dollars,Middle,59076
2013,All Races,2019 Dollars,Fourth,95057
2013,All Races,2019 Dollars,Highest,212546
2013,All Races,2019 Dollars,Top 5%,367667
2012,All Races,2019 Dollars,Lowest,12818
2012,All Races,2019 Dollars,Second,33128
2012,All Races,2019 Dollars,Middle,57093
2012,All Races,2019 Dollars,Fourth,91585
2012,All Races,2019 Dollars,Highest,202925
2012,All Races,2019 Dollars,Top 5%,354805
2011,All Races,2019 Dollars,Lowest,12803
2011,All Races,2019 Dollars,Second,33269
2011,All Races,2019 Dollars,Middle,56779
2011,All Races,2019 Dollars,Fourth,91226
2011,All Races,2019 Dollars,Highest,202797
2011,All Races,2019 Dollars,Top 5%,354792
2010,All Races,2019 Dollars,Lowest,12919
2010,All Races,2019 Dollars,Second,33528
2010,All Races,2019 Dollars,Middle,57776
2010,All Races,2019 Dollars,Fourth,92688
2010,All Races,2019 Dollars,Highest,199050
2010,All Races,2019 Dollars,Top 5%,337488
2009,All Races,2019 Dollars,Lowest,13799
2009,All Races,2019 Dollars,Second,34947
2009,All Races,2019 Dollars,Middle,59167
2009,All Races,2019 Dollars,Fourth,93998
2009,All Races,2019 Dollars,Highest,204070
2009,All Races,2019 Dollars,Top 5%,352835
2008,All Races,2019 Dollars,Lowest,13874
2008,All Races,2019 Dollars,Second,35135
2008,All Races,2019 Dollars,Middle,59673
2008,All Races,2019 Dollars,Fourth,94940
2008,All Races,2019 Dollars,Highest,203614
2008,All Races,2019 Dollars,Top 5%,350800
2007,All Races,2019 Dollars,Lowest,14278
2007,All Races,2019 Dollars,Second,36392
2007,All Races,2019 Dollars,Middle,61763
2007,All Races,2019 Dollars,Fourth,97785
2007,All Races,2019 Dollars,Highest,207620
2007,All Races,2019 Dollars,Top 5%,354982
2006,All Races,2019 Dollars,Lowest,14430
2006,All Races,2019 Dollars,Second,36578
2006,All Races,2019 Dollars,Middle,61296
2006,All Races,2019 Dollars,Fourth,97022
2006,All Races,2019 Dollars,Highest,213761
2006,All Races,2019 Dollars,Top 5%,378032
2005,All Races,2019 Dollars,Lowest,13983
2005,All Races,2019 Dollars,Second,35901
2005,All Races,2019 Dollars,Middle,60761
2005,All Races,2019 Dollars,Fourth,95569
2005,All Races,2019 Dollars,Highest,209421
2005,All Races,2019 Dollars,Top 5%,368961
2004,All Races,2019 Dollars,Lowest,13899
2004,All Races,2019 Dollars,Second,35563
2004,All Races,2019 Dollars,Middle,60255
2004,All Races,2019 Dollars,Fourth,95008
2004,All Races,2019 Dollars,Highest,205465
2004,All Races,2019 Dollars,Top 5%,358043
2003,All Races,2019 Dollars,Lowest,13929
2003,All Races,2019 Dollars,Second,35780
2003,All Races,2019 Dollars,Middle,60736
2003,All Races,2019 Dollars,Fourth,96137
2003,All Races,2019 Dollars,Highest,204940
2003,All Races,2019 Dollars,Top 5%,352866
2002,All Races,2019 Dollars,Lowest,14236
2002,All Races,2019 Dollars,Second,36196
2002,All Races,2019 Dollars,Middle,60995
2002,All Races,2019 Dollars,Fourth,95943
2002,All Races,2019 Dollars,Highest,204842
2002,All Races,2019 Dollars,Top 5%,357704
2001,All Races,2019 Dollars,Lowest,14672
2001,All Races,2019 Dollars,Second,36865
2001,All Races,2019 Dollars,Middle,61706
2001,All Races,2019 Dollars,Fourth,96751
2001,All Races,2019 Dollars,Highest,211295
2001,All Races,2019 Dollars,Top 5%,377027
2000,All Races,2019 Dollars,Lowest,15121
2000,All Races,2019 Dollars,Second,37756
2000,All Races,2019 Dollars,Middle,62874
2000,All Races,2019 Dollars,Fourth,97740
2000,All Races,2019 Dollars,Highest,211800
2000,All Races,2019 Dollars,Top 5%,375756
1999,All Races,2019 Dollars,Lowest,15262
1999,All Races,2019 Dollars,Second,37473
1999,All Races,2019 Dollars,Middle,62724
1999,All Races,2019 Dollars,Fourth,97624
1999,All Races,2019 Dollars,Highest,208183
1999,All Races,2019 Dollars,Top 5%,361842
1998,All Races,2019 Dollars,Lowest,14499
1998,All Races,2019 Dollars,Second,36609
1998,All Races,2019 Dollars,Middle,61257
1998,All Races,2019 Dollars,Fourth,94740
1998,All Races,2019 Dollars,Highest,200479
1998,All Races,2019 Dollars,Top 5%,349434
1997,All Races,2019 Dollars,Lowest,14083
1997,All Races,2019 Dollars,Second,35209
1997,All Races,2019 Dollars,Middle,59235
1997,All Races,2019 Dollars,Fourth,91746
1997,All Races,2019 Dollars,Highest,195602
1997,All Races,2019 Dollars,Top 5%,343257
1996,All Races,2019 Dollars,Lowest,13991
1996,All Races,2019 Dollars,Second,34341
1996,All Races,2019 Dollars,Middle,57763
1996,All Races,2019 Dollars,Fourth,89400
1996,All Races,2019 Dollars,Highest,188029
1996,All Races,2019 Dollars,Top 5%,327537
1995,All Races,2019 Dollars,Lowest,13945
1995,All Races,2019 Dollars,Second,34086
1995,All Races,2019 Dollars,Middle,56995
1995,All Races,2019 Dollars,Fourth,87614
1995,All Races,2019 Dollars,Highest,182837
1995,All Races,2019 Dollars,Top 5%,315551
1994,All Races,2019 Dollars,Lowest,13201
1994,All Races,2019 Dollars,Second,32899
1994,All Races,2019 Dollars,Middle,55423
1994,All Races,2019 Dollars,Fourth,86244
1994,All Races,2019 Dollars,Highest,181310
1994,All Races,2019 Dollars,Top 5%,313255
1993,All Races,2019 Dollars,Lowest,12857
1993,All Races,2019 Dollars,Second,32594
1993,All Races,2019 Dollars,Middle,54635
1993,All Races,2019 Dollars,Fourth,84907
1993,All Races,2019 Dollars,Highest,176899
1993,All Races,2019 Dollars,Top 5%,303618
1992,All Races,2019 Dollars,Lowest,12997
1992,All Races,2019 Dollars,Second,32565
1992,All Races,2019 Dollars,Middle,54865
1992,All Races,2019 Dollars,Fourth,84222
1992,All Races,2019 Dollars,Highest,163192
1992,All Races,2019 Dollars,Top 5%,259015
1991,All Races,2019 Dollars,Lowest,13265
1991,All Races,2019 Dollars,Second,33318
1991,All Races,2019 Dollars,Middle,55342
1991,All Races,2019 Dollars,Fourth,84363
1991,All Races,2019 Dollars,Highest,161774
1991,All Races,2019 Dollars,Top 5%,252462
1990,All Races,2019 Dollars,Lowest,13633
1990,All Races,2019 Dollars,Second,34302
1990,All Races,2019 Dollars,Middle,56658
1990,All Races,2019 Dollars,Fourth,85423
1990,All Races,2019 Dollars,Highest,165776
1990,All Races,2019 Dollars,Top 5%,263980
1989,All Races,2019 Dollars,Lowest,13962
1989,All Races,2019 Dollars,Second,34737
1989,All Races,2019 Dollars,Middle,57743
1989,All Races,2019 Dollars,Fourth,87344
1989,All Races,2019 Dollars,Highest,170741
1989,All Races,2019 Dollars,Top 5%,275857
1988,All Races,2019 Dollars,Lowest,13470
1988,All Races,2019 Dollars,Second,33998
1988,All Races,2019 Dollars,Middle,56863
1988,All Races,2019 Dollars,Fourth,85955
1988,All Races,2019 Dollars,Highest,164099
1988,All Races,2019 Dollars,Top 5%,258810
1987,All Races,2019 Dollars,Lowest,13238
1987,All Races,2019 Dollars,Second,33643
1987,All Races,2019 Dollars,Middle,56248
1987,All Races,2019 Dollars,Fourth,85021
1987,All Races,2019 Dollars,Highest,161690
1987,All Races,2019 Dollars,Top 5%,254742
1986,All Races,2019 Dollars,Lowest,12894
1986,All Races,2019 Dollars,Second,33168
1986,All Races,2019 Dollars,Middle,55504
1986,All Races,2019 Dollars,Fourth,83614
1986,All Races,2019 Dollars,Highest,158262
1986,All Races,2019 Dollars,Top 5%,247927
1985,All Races,2019 Dollars,Lowest,12756
1985,All Races,2019 Dollars,Second,32326
1985,All Races,2019 Dollars,Middle,53657
1985,All Races,2019 Dollars,Fourth,80712
1985,All Races,2019 Dollars,Highest,150766
1985,All Races,2019 Dollars,Top 5%,232567
1984,All Races,2019 Dollars,Lowest,12776
1984,All Races,2019 Dollars,Second,31822
1984,All Races,2019 Dollars,Middle,52734
1984,All Races,2019 Dollars,Fourth,79399
1984,All Races,2019 Dollars,Highest,145996
1984,All Races,2019 Dollars,Top 5%,220386
1983,All Races,2019 Dollars,Lowest,12370
1983,All Races,2019 Dollars,Second,31072
1983,All Races,2019 Dollars,Middle,51373
1983,All Races,2019 Dollars,Fourth,77092
1983,All Races,2019 Dollars,Highest,141540
1983,All Races,2019 Dollars,Top 5%,213853
1982,All Races,2019 Dollars,Lowest,12227
1982,All Races,2019 Dollars,Second,30939
1982,All Races,2019 Dollars,Middle,51214
1982,All Races,2019 Dollars,Fourth,76168
1982,All Races,2019 Dollars,Highest,139698
1982,All Races,2019 Dollars,Top 5%,211088
1981,All Races,2019 Dollars,Lowest,12456
1981,All Races,2019 Dollars,Second,31029
1981,All Races,2019 Dollars,Middle,51403
1981,All Races,2019 Dollars,Fourth,76624
1981,All Races,2019 Dollars,Highest,136872
1981,All Races,2019 Dollars,Top 5%,203391
1980,All Races,2019 Dollars,Lowest,12767
1980,All Races,2019 Dollars,Second,31776
1980,All Races,2019 Dollars,Middle,52435
1980,All Races,2019 Dollars,Fourth,77249
1980,All Races,2019 Dollars,Highest,137735
1980,All Races,2019 Dollars,Top 5%,205828
1979,All Races,2019 Dollars,Lowest,13196
1979,All Races,2019 Dollars,Second,32821
1979,All Races,2019 Dollars,Middle,54113
1979,All Races,2019 Dollars,Fourth,79411
1979,All Races,2019 Dollars,Highest,142513
1979,All Races,2019 Dollars,Top 5%,217349
1978,All Races,2019 Dollars,Lowest,13289
1978,All Races,2019 Dollars,Second,32637
1978,All Races,2019 Dollars,Middle,53889
1978,All Races,2019 Dollars,Fourth,78942
1978,All Races,2019 Dollars,Highest,140939
1978,All Races,2019 Dollars,Top 5%,214526
1977,All Races,2019 Dollars,Lowest,12852
1977,All Races,2019 Dollars,Second,31634
1977,All Races,2019 Dollars,Middle,52328
1977,All Races,2019 Dollars,Fourth,76672
1977,All Races,2019 Dollars,Highest,136727
1977,All Races,2019 Dollars,Top 5%,209164
1976,All Races,2019 Dollars,Lowest,12913
1976,All Races,2019 Dollars,Second,31615
1976,All Races,2019 Dollars,Middle,51993
1976,All Races,2019 Dollars,Fourth,75505
1976,All Races,2019 Dollars,Highest,133635
1976,All Races,2019 Dollars,Top 5%,203613
1975,All Races,2019 Dollars,Lowest,12603
1975,All Races,2019 Dollars,Second,30961
1975,All Races,2019 Dollars,Middle,50795
1975,All Races,2019 Dollars,Fourth,73810
1975,All Races,2019 Dollars,Highest,130315
1975,All Races,2019 Dollars,Top 5%,197756
1974,All Races,2019 Dollars,Lowest,13049
1974,All Races,2019 Dollars,Second,32432
1974,All Races,2019 Dollars,Middle,52265
1974,All Races,2019 Dollars,Fourth,75483
1974,All Races,2019 Dollars,Highest,133735
1974,All Races,2019 Dollars,Top 5%,203277
1973,All Races,2019 Dollars,Lowest,13095
1973,All Races,2019 Dollars,Second,32926
1973,All Races,2019 Dollars,Middle,54005
1973,All Races,2019 Dollars,Fourth,77693
1973,All Races,2019 Dollars,Highest,139011
1973,All Races,2019 Dollars,Top 5%,214120
1972,All Races,2019 Dollars,Lowest,12512
1972,All Races,2019 Dollars,Second,32318
1972,All Races,2019 Dollars,Middle,52743
1972,All Races,2019 Dollars,Fourth,75722
1972,All Races,2019 Dollars,Highest,135940
1972,All Races,2019 Dollars,Top 5%,210703
1971,All Races,2019 Dollars,Lowest,11809
1971,All Races,2019 Dollars,Second,31209
1971,All Races,2019 Dollars,Middle,50605
1971,All Races,2019 Dollars,Fourth,71941
1971,All Races,2019 Dollars,Highest,127474
1971,All Races,2019 Dollars,Top 5%,195520
1970,All Races,2019 Dollars,Lowest,11737
1970,All Races,2019 Dollars,Second,31793
1970,All Races,2019 Dollars,Middle,51196
1970,All Races,2019 Dollars,Fourth,72165
1970,All Races,2019 Dollars,Highest,127757
1970,All Races,2019 Dollars,Top 5%,196092
1969,All Races,2019 Dollars,Lowest,11944
1969,All Races,2019 Dollars,Second,32247
1969,All Races,2019 Dollars,Middle,51529
1969,All Races,2019 Dollars,Fourth,72178
1969,All Races,2019 Dollars,Highest,126860
1969,All Races,2019 Dollars,Top 5%,195267
1968,All Races,2019 Dollars,Lowest,11663
1968,All Races,2019 Dollars,Second,31270
1968,All Races,2019 Dollars,Middle,49597
1968,All Races,2019 Dollars,Fourth,69184
1968,All Races,2019 Dollars,Highest,120222
1968,All Races,2019 Dollars,Top 5%,183800
1967,All Races,2019 Dollars,Lowest,10738
1967,All Races,2019 Dollars,Second,29751
1967,All Races,2019 Dollars,Middle,47495
1967,All Races,2019 Dollars,Fourth,66455
