year,race,number,income_median,income_med_moe,income_mean,income_mean_moe,income_bracket,income_distribution
2013,All Races,123931000,58904,1183,82660,1201,"$15,000 to $24,999",10.3
2013,All Races,123931000,58904,1183,82660,1201,"$25,000 to $34,999",9.5
2013,All Races,123931000,58904,1183,82660,1201,"$35,000 to $49,999",12.5
2013,All Races,123931000,58904,1183,82660,1201,"$50,000 to $74,999",16.8
2013,All Races,123931000,58904,1183,82660,1201,"$75,000 to $99,999",12
2013,All Races,123931000,58904,1183,82660,1201,"$100,000 to $149,999",13.9
2013,All Races,123931000,58904,1183,82660,1201,"$150,000 to $199,999",6.7
2013,All Races,123931000,58904,1183,82660,1201,"$200,000 and over",6.9
2012,All Races,122459000,56912,384,79510,773,"Under $15,000",11.4
2012,All Races,122459000,56912,384,79510,773,"$15,000 to $24,999",10.6
2012,All Races,122459000,56912,384,79510,773,"$25,000 to $34,999",10.1
2012,All Races,122459000,56912,384,79510,773,"$35,000 to $49,999",12.5
2012,All Races,122459000,56912,384,79510,773,"$50,000 to $74,999",17.4
2012,All Races,122459000,56912,384,79510,773,"$75,000 to $99,999",12
2012,All Races,122459000,56912,384,79510,773,"$100,000 to $149,999",13.9
2012,All Races,122459000,56912,384,79510,773,"$150,000 to $199,999",6.3
2012,All Races,122459000,56912,384,79510,773,"$200,000 and over",5.9
2011,All Races,121084000,57021,470,79375,690,"Under $15,000",11.6
2011,All Races,121084000,57021,470,79375,690,"$15,000 to $24,999",10.2
2011,All Races,121084000,57021,470,79375,690,"$25,000 to $34,999",10.2
2011,All Races,121084000,57021,470,79375,690,"$35,000 to $49,999",13.1
2011,All Races,121084000,57021,470,79375,690,"$50,000 to $74,999",17.2
2011,All Races,121084000,57021,470,79375,690,"$75,000 to $99,999",11.9
2011,All Races,121084000,57021,470,79375,690,"$100,000 to $149,999",13.8
2011,All Races,121084000,57021,470,79375,690,"$150,000 to $199,999",6.2
2011,All Races,121084000,57021,470,79375,690,"$200,000 and over",5.8
2010,All Races,119927000,57904,628,79192,696,"Under $15,000",11.2
2010,All Races,119927000,57904,628,79192,696,"$15,000 to $24,999",10.7
2010,All Races,119927000,57904,628,79192,696,"$25,000 to $34,999",9.4
2010,All Races,119927000,57904,628,79192,696,"$35,000 to $49,999",13.3
2010,All Races,119927000,57904,628,79192,696,"$50,000 to $74,999",16.8
2010,All Races,119927000,57904,628,79192,696,"$75,000 to $99,999",12.4
2010,All Races,119927000,57904,628,79192,696,"$100,000 to $149,999",14.1
2010,All Races,119927000,57904,628,79192,696,"$150,000 to $199,999",6.3
2010,All Races,119927000,57904,628,79192,696,"$200,000 and over",5.9
2009,All Races,117538000,59458,419,81196,477,"Under $15,000",10.4
2009,All Races,117538000,59458,419,81196,477,"$15,000 to $24,999",10
2009,All Races,117538000,59458,419,81196,477,"$25,000 to $34,999",9.7
2009,All Races,117538000,59458,419,81196,477,"$35,000 to $49,999",13.2
2009,All Races,117538000,59458,419,81196,477,"$50,000 to $74,999",17.4
2009,All Races,117538000,59458,419,81196,477,"$75,000 to $99,999",12.4
2009,All Races,117538000,59458,419,81196,477,"$100,000 to $149,999",14.5
2009,All Races,117538000,59458,419,81196,477,"$150,000 to $199,999",6.3
2009,All Races,117538000,59458,419,81196,477,"$200,000 and over",6
2008,All Races,117181000,59877,268,81447,474,"Under $15,000",10.4
2008,All Races,117181000,59877,268,81447,474,"$15,000 to $24,999",10
2008,All Races,117181000,59877,268,81447,474,"$25,000 to $34,999",9.4
2008,All Races,117181000,59877,268,81447,474,"$35,000 to $49,999",13.4
2008,All Races,117181000,59877,268,81447,474,"$50,000 to $74,999",17
2008,All Races,117181000,59877,268,81447,474,"$75,000 to $99,999",12.5
2008,All Races,117181000,59877,268,81447,474,"$100,000 to $149,999",15
2008,All Races,117181000,59877,268,81447,474,"$150,000 to $199,999",6.3
2008,All Races,117181000,59877,268,81447,474,"$200,000 and over",6
2007,All Races,116783000,62090,285,83568,480,"Under $15,000",10
2007,All Races,116783000,62090,285,83568,480,"$15,000 to $24,999",10
2007,All Races,116783000,62090,285,83568,480,"$25,000 to $34,999",9
2007,All Races,116783000,62090,285,83568,480,"$35,000 to $49,999",12.8
2007,All Races,116783000,62090,285,83568,480,"$50,000 to $74,999",17.3
2007,All Races,116783000,62090,285,83568,480,"$75,000 to $99,999",12.6
2007,All Races,116783000,62090,285,83568,480,"$100,000 to $149,999",15.3
2007,All Races,116783000,62090,285,83568,480,"$150,000 to $199,999",6.7
2007,All Races,116783000,62090,285,83568,480,"$200,000 and over",6.4
2006,All Races,116011000,61268,433,84617,537,"Under $15,000",9.6
2006,All Races,116011000,61268,433,84617,537,"$15,000 to $24,999",9.5
2006,All Races,116011000,61268,433,84617,537,"$25,000 to $34,999",9.4
2006,All Races,116011000,61268,433,84617,537,"$35,000 to $49,999",13
2006,All Races,116011000,61268,433,84617,537,"$50,000 to $74,999",17.5
2006,All Races,116011000,61268,433,84617,537,"$75,000 to $99,999",12.7
2006,All Races,116011000,61268,433,84617,537,"$100,000 to $149,999",15
2006,All Races,116011000,61268,433,84617,537,"$150,000 to $199,999",6.7
2006,All Races,116011000,61268,433,84617,537,"$200,000 and over",6.5
2005,All Races,114384000,60794,335,83127,516,"Under $15,000",10.1
2005,All Races,114384000,60794,335,83127,516,"$15,000 to $24,999",9.8
2005,All Races,114384000,60794,335,83127,516,"$25,000 to $34,999",9.5
2005,All Races,114384000,60794,335,83127,516,"$35,000 to $49,999",12.7
2005,All Races,114384000,60794,335,83127,516,"$50,000 to $74,999",17.6
2005,All Races,114384000,60794,335,83127,516,"$75,000 to $99,999",12.9
2005,All Races,114384000,60794,335,83127,516,"$100,000 to $149,999",14.7
2005,All Races,114384000,60794,335,83127,516,"$150,000 to $199,999",6.5
2005,All Races,114384000,60794,335,83127,516,"$200,000 and over",6.2
2004,All Races,113343000,60150,437,82038,509,"Under $15,000",10.3
2004,All Races,113343000,60150,437,82038,509,"$15,000 to $24,999",9.7
2004,All Races,113343000,60150,437,82038,509,"$25,000 to $34,999",9.8
2004,All Races,113343000,60150,437,82038,509,"$35,000 to $49,999",12.8
2004,All Races,113343000,60150,437,82038,509,"$50,000 to $74,999",17.4
2004,All Races,113343000,60150,437,82038,509,"$75,000 to $99,999",12.6
2004,All Races,113343000,60150,437,82038,509,"$100,000 to $149,999",15
2004,All Races,113343000,60150,437,82038,509,"$150,000 to $199,999",6.3
2004,All Races,113343000,60150,437,82038,509,"$200,000 and over",6.1
2003,All Races,112000000,60360,431,82305,495,"Under $15,000",10.2
2003,All Races,112000000,60360,431,82305,495,"$15,000 to $24,999",9.7
2003,All Races,112000000,60360,431,82305,495,"$25,000 to $34,999",9.7
2003,All Races,112000000,60360,431,82305,495,"$35,000 to $49,999",12.4
2003,All Races,112000000,60360,431,82305,495,"$50,000 to $74,999",17.4
2003,All Races,112000000,60360,431,82305,495,"$75,000 to $99,999",12.7
2003,All Races,112000000,60360,431,82305,495,"$100,000 to $149,999",15.3
2003,All Races,112000000,60360,431,82305,495,"$150,000 to $199,999",6.3
2003,All Races,112000000,60360,431,82305,495,"$200,000 and over",6.2
2002,All Races,111278000,60435,326,82442,509,"Under $15,000",9.9
2002,All Races,111278000,60435,326,82442,509,"$15,000 to $24,999",9.8
2002,All Races,111278000,60435,326,82442,509,"$25,000 to $34,999",9.2
2002,All Races,111278000,60435,326,82442,509,"$35,000 to $49,999",13.3
2002,All Races,111278000,60435,326,82442,509,"$50,000 to $74,999",17.4
2002,All Races,111278000,60435,326,82442,509,"$75,000 to $99,999",12.7
2002,All Races,111278000,60435,326,82442,509,"$100,000 to $149,999",15.6
2002,All Races,111278000,60435,326,82442,509,"$150,000 to $199,999",6.3
2002,All Races,111278000,60435,326,82442,509,"$200,000 and over",5.9
2001,All Races,109297000,61126,307,84257,552,"Under $15,000",9.7
2001,All Races,109297000,61126,307,84257,552,"$15,000 to $24,999",9.6
2001,All Races,109297000,61126,307,84257,552,"$25,000 to $34,999",9.1
2001,All Races,109297000,61126,307,84257,552,"$35,000 to $49,999",12.9
2001,All Races,109297000,61126,307,84257,552,"$50,000 to $74,999",17.7
2001,All Races,109297000,61126,307,84257,552,"$75,000 to $99,999",12.8
2001,All Races,109297000,61126,307,84257,552,"$100,000 to $149,999",15.6
2001,All Races,109297000,61126,307,84257,552,"$150,000 to $199,999",6.3
2001,All Races,109297000,61126,307,84257,552,"$200,000 and over",6.2
2000,All Races,108209000,62512,323,85059,551,"Under $15,000",9.3
2000,All Races,108209000,62512,323,85059,551,"$15,000 to $24,999",9.3
2000,All Races,108209000,62512,323,85059,551,"$25,000 to $34,999",8.9
2000,All Races,108209000,62512,323,85059,551,"$35,000 to $49,999",13.1
2000,All Races,108209000,62512,323,85059,551,"$50,000 to $74,999",17.7
2000,All Races,108209000,62512,323,85059,551,"$75,000 to $99,999",13.2
2000,All Races,108209000,62512,323,85059,551,"$100,000 to $149,999",15.4
2000,All Races,108209000,62512,323,85059,551,"$150,000 to $199,999",6.8
2000,All Races,108209000,62512,323,85059,551,"$200,000 and over",6.2
1999,All Races,106434000,62641,481,84254,719,"Under $15,000",9
1999,All Races,106434000,62641,481,84254,719,"$15,000 to $24,999",9.7
1999,All Races,106434000,62641,481,84254,719,"$25,000 to $34,999",9.1
1999,All Races,106434000,62641,481,84254,719,"$35,000 to $49,999",13
1999,All Races,106434000,62641,481,84254,719,"$50,000 to $74,999",17.5
1999,All Races,106434000,62641,481,84254,719,"$75,000 to $99,999",13.3
1999,All Races,106434000,62641,481,84254,719,"$100,000 to $149,999",15.6
1999,All Races,106434000,62641,481,84254,719,"$150,000 to $199,999",6.6
1999,All Races,106434000,62641,481,84254,719,"$200,000 and over",6.3
1998,All Races,103874000,61128,595,81517,724,"Under $15,000",9.8
1998,All Races,103874000,61128,595,81517,724,"$15,000 to $24,999",9.8
1998,All Races,103874000,61128,595,81517,724,"$25,000 to $34,999",9.2
1998,All Races,103874000,61128,595,81517,724,"$35,000 to $49,999",12.9
1998,All Races,103874000,61128,595,81517,724,"$50,000 to $74,999",17.5
1998,All Races,103874000,61128,595,81517,724,"$75,000 to $99,999",13.7
1998,All Races,103874000,61128,595,81517,724,"$100,000 to $149,999",15.3
1998,All Races,103874000,61128,595,81517,724,"$150,000 to $199,999",6.2
1998,All Races,103874000,61128,595,81517,724,"$200,000 and over",5.5
1997,All Races,102528000,58961,448,79175,729,"Under $15,000",10.3
1997,All Races,102528000,58961,448,79175,729,"$15,000 to $24,999",10.3
1997,All Races,102528000,58961,448,79175,729,"$25,000 to $34,999",9.4
1997,All Races,102528000,58961,448,79175,729,"$35,000 to $49,999",13.2
1997,All Races,102528000,58961,448,79175,729,"$50,000 to $74,999",18
1997,All Races,102528000,58961,448,79175,729,"$75,000 to $99,999",13.3
1997,All Races,102528000,58961,448,79175,729,"$100,000 to $149,999",14.7
1997,All Races,102528000,58961,448,79175,729,"$150,000 to $199,999",5.8
1997,All Races,102528000,58961,448,79175,729,"$200,000 and over",5.1
1996,All Races,101018000,57772,479,76705,707,"Under $15,000",10.6
1996,All Races,101018000,57772,479,76705,707,"$15,000 to $24,999",10.5
1996,All Races,101018000,57772,479,76705,707,"$25,000 to $34,999",9.6
1996,All Races,101018000,57772,479,76705,707,"$35,000 to $49,999",13.5
1996,All Races,101018000,57772,479,76705,707,"$50,000 to $74,999",17.9
1996,All Races,101018000,57772,479,76705,707,"$75,000 to $99,999",13.5
1996,All Races,101018000,57772,479,76705,707,"$100,000 to $149,999",14.3
1996,All Races,101018000,57772,479,76705,707,"$150,000 to $199,999",5.4
1996,All Races,101018000,57772,479,76705,707,"$200,000 and over",4.6
1995,All Races,99627000,56945,542,75096,676,"Under $15,000",10.5
1995,All Races,99627000,56945,542,75096,676,"$15,000 to $24,999",10.4
1995,All Races,99627000,56945,542,75096,676,"$25,000 to $34,999",10.2
1995,All Races,99627000,56945,542,75096,676,"$35,000 to $49,999",13.1
1995,All Races,99627000,56945,542,75096,676,"$50,000 to $74,999",18.8
1995,All Races,99627000,56945,542,75096,676,"$75,000 to $99,999",13.3
1995,All Races,99627000,56945,542,75096,676,"$100,000 to $149,999",14.2
1995,All Races,99627000,56945,542,75096,676,"$150,000 to $199,999",5.1
1995,All Races,99627000,56945,542,75096,676,"$200,000 and over",4.3
1994,All Races,98990000,55215,414,73816,653,"Under $15,000",11.3
1994,All Races,98990000,55215,414,73816,653,"$15,000 to $24,999",10.8
1994,All Races,98990000,55215,414,73816,653,"$25,000 to $34,999",10.1
1994,All Races,98990000,55215,414,73816,653,"$35,000 to $49,999",13.5
1994,All Races,98990000,55215,414,73816,653,"$50,000 to $74,999",18.4
1994,All Races,98990000,55215,414,73816,653,"$75,000 to $99,999",12.7
1994,All Races,98990000,55215,414,73816,653,"$100,000 to $149,999",13.9
1994,All Races,98990000,55215,414,73816,653,"$150,000 to $199,999",5.1
1994,All Races,98990000,55215,414,73816,653,"$200,000 and over",4.2
1993,All Races,97107000,54581,420,72379,644,"Under $15,000",11.8
1993,All Races,97107000,54581,420,72379,644,"$15,000 to $24,999",10.6
1993,All Races,97107000,54581,420,72379,644,"$25,000 to $34,999",10.1
1993,All Races,97107000,54581,420,72379,644,"$35,000 to $49,999",13.7
1993,All Races,97107000,54581,420,72379,644,"$50,000 to $74,999",18.4
1993,All Races,97107000,54581,420,72379,644,"$75,000 to $99,999",13.1
1993,All Races,97107000,54581,420,72379,644,"$100,000 to $149,999",13.5
1993,All Races,97107000,54581,420,72379,644,"$150,000 to $199,999",4.9
1993,All Races,97107000,54581,420,72379,644,"$200,000 and over",3.9
1992,All Races,96426000,54874,427,69568,480,"Under $15,000",11.8
1992,All Races,96426000,54874,427,69568,480,"$15,000 to $24,999",10.6
1992,All Races,96426000,54874,427,69568,480,"$25,000 to $34,999",10.1
1992,All Races,96426000,54874,427,69568,480,"$35,000 to $49,999",13.5
1992,All Races,96426000,54874,427,69568,480,"$50,000 to $74,999",18.8
1992,All Races,96426000,54874,427,69568,480,"$75,000 to $99,999",13.5
1992,All Races,96426000,54874,427,69568,480,"$100,000 to $149,999",13.5
1992,All Races,96426000,54874,427,69568,480,"$150,000 to $199,999",4.8
1992,All Races,96426000,54874,427,69568,480,"$200,000 and over",3.4
1991,All Races,95669000,55302,438,69613,471,"Under $15,000",11.6
1991,All Races,95669000,55302,438,69613,471,"$15,000 to $24,999",10.3
1991,All Races,95669000,55302,438,69613,471,"$25,000 to $34,999",9.8
1991,All Races,95669000,55302,438,69613,471,"$35,000 to $49,999",14
1991,All Races,95669000,55302,438,69613,471,"$50,000 to $74,999",19.1
1991,All Races,95669000,55302,438,69613,471,"$75,000 to $99,999",13.5
1991,All Races,95669000,55302,438,69613,471,"$100,000 to $149,999",13.7
1991,All Races,95669000,55302,438,69613,471,"$150,000 to $199,999",4.8
1991,All Races,95669000,55302,438,69613,471,"$200,000 and over",3.3
1990,All Races,94312000,56966,479,71158,494,"Under $15,000",11.1
1990,All Races,94312000,56966,479,71158,494,"$15,000 to $24,999",10.1
1990,All Races,94312000,56966,479,71158,494,"$25,000 to $34,999",9.5
1990,All Races,94312000,56966,479,71158,494,"$35,000 to $49,999",13.9
1990,All Races,94312000,56966,479,71158,494,"$50,000 to $74,999",19.5
1990,All Races,94312000,56966,479,71158,494,"$75,000 to $99,999",13.7
1990,All Races,94312000,56966,479,71158,494,"$100,000 to $149,999",13.8
1990,All Races,94312000,56966,479,71158,494,"$150,000 to $199,999",4.8
1990,All Races,94312000,56966,479,71158,494,"$200,000 and over",3.7
1989,All Races,93347000,57705,522,72904,522,"Under $15,000",10.8
1989,All Races,93347000,57705,522,72904,522,"$15,000 to $24,999",10
1989,All Races,93347000,57705,522,72904,522,"$25,000 to $34,999",9.6
1989,All Races,93347000,57705,522,72904,522,"$35,000 to $49,999",13.4
1989,All Races,93347000,57705,522,72904,522,"$50,000 to $74,999",19.2
1989,All Races,93347000,57705,522,72904,522,"$75,000 to $99,999",13.9
1989,All Races,93347000,57705,522,72904,522,"$100,000 to $149,999",14.3
1989,All Races,93347000,57705,522,72904,522,"$150,000 to $199,999",5
1989,All Races,93347000,57705,522,72904,522,"$200,000 and over",3.9
1988,All Races,92830000,56725,456,70877,521,"Under $15,000",11.4
1988,All Races,92830000,56725,456,70877,521,"$15,000 to $24,999",9.7
1988,All Races,92830000,56725,456,70877,521,"$25,000 to $34,999",9.9
1988,All Races,92830000,56725,456,70877,521,"$35,000 to $49,999",13.1
1988,All Races,92830000,56725,456,70877,521,"$50,000 to $74,999",19.4
1988,All Races,92830000,56725,456,70877,521,"$75,000 to $99,999",14
1988,All Races,92830000,56725,456,70877,521,"$100,000 to $149,999",14.3
1988,All Races,92830000,56725,456,70877,521,"$150,000 to $199,999",4.8
1988,All Races,92830000,56725,456,70877,521,"$200,000 and over",3.5
1987,All Races,91124000,56261,437,69968,472,"Under $15,000",11.6
1987,All Races,91124000,56261,437,69968,472,"$15,000 to $24,999",10
1987,All Races,91124000,56261,437,69968,472,"$25,000 to $34,999",9.9
1987,All Races,91124000,56261,437,69968,472,"$35,000 to $49,999",13.6
1987,All Races,91124000,56261,437,69968,472,"$50,000 to $74,999",18.9
1987,All Races,91124000,56261,437,69968,472,"$75,000 to $99,999",14.2
1987,All Races,91124000,56261,437,69968,472,"$100,000 to $149,999",13.9
1987,All Races,91124000,56261,437,69968,472,"$150,000 to $199,999",4.6
1987,All Races,91124000,56261,437,69968,472,"$200,000 and over",3.3
1986,All Races,89479000,55597,474,68688,459,"Under $15,000",12
1986,All Races,89479000,55597,474,68688,459,"$15,000 to $24,999",10
1986,All Races,89479000,55597,474,68688,459,"$25,000 to $34,999",9.9
1986,All Races,89479000,55597,474,68688,459,"$35,000 to $49,999",13.6
1986,All Races,89479000,55597,474,68688,459,"$50,000 to $74,999",19.4
1986,All Races,89479000,55597,474,68688,459,"$75,000 to $99,999",13.9
1986,All Races,89479000,55597,474,68688,459,"$100,000 to $149,999",13.6
1986,All Races,89479000,55597,474,68688,459,"$150,000 to $199,999",4.4
1986,All Races,89479000,55597,474,68688,459,"$200,000 and over",3.1
1985,All Races,88458000,53664,478,66043,430,"Under $15,000",12.1
1985,All Races,88458000,53664,478,66043,430,"$15,000 to $24,999",10.6
1985,All Races,88458000,53664,478,66043,430,"$25,000 to $34,999",10.1
1985,All Races,88458000,53664,478,66043,430,"$35,000 to $49,999",14.3
1985,All Races,88458000,53664,478,66043,430,"$50,000 to $74,999",19.8
1985,All Races,88458000,53664,478,66043,430,"$75,000 to $99,999",13.6
1985,All Races,88458000,53664,478,66043,430,"$100,000 to $149,999",13.1
1985,All Races,88458000,53664,478,66043,430,"$150,000 to $199,999",3.9
1985,All Races,88458000,53664,478,66043,430,"$200,000 and over",2.6
1984,All Races,86789000,52679,394,64546,390,"Under $15,000",12.2
1984,All Races,86789000,52679,394,64546,390,"$15,000 to $24,999",10.8
1984,All Races,86789000,52679,394,64546,390,"$25,000 to $34,999",10.1
1984,All Races,86789000,52679,394,64546,390,"$35,000 to $49,999",14.7
1984,All Races,86789000,52679,394,64546,390,"$50,000 to $74,999",19.7
1984,All Races,86789000,52679,394,64546,390,"$75,000 to $99,999",13.7
1984,All Races,86789000,52679,394,64546,390,"$100,000 to $149,999",12.6
1984,All Races,86789000,52679,394,64546,390,"$150,000 to $199,999",3.7
1984,All Races,86789000,52679,394,64546,390,"$200,000 and over",2.4
1983,All Races,85407000,51126,383,62181,383,"Under $15,000",12.7
1983,All Races,85407000,51126,383,62181,383,"$15,000 to $24,999",10.9
1983,All Races,85407000,51126,383,62181,383,"$25,000 to $34,999",10.6
1983,All Races,85407000,51126,383,62181,383,"$35,000 to $49,999",14.8
1983,All Races,85407000,51126,383,62181,383,"$50,000 to $74,999",20.1
1983,All Races,85407000,51126,383,62181,383,"$75,000 to $99,999",13.3
1983,All Races,85407000,51126,383,62181,383,"$100,000 to $149,999",11.9
1983,All Races,85407000,51126,383,62181,383,"$150,000 to $199,999",3.4
1983,All Races,85407000,51126,383,62181,383,"$200,000 and over",2.2
1982,All Races,83918000,51487,382,62050,378,"Under $15,000",12.7
1982,All Races,83918000,51487,382,62050,378,"$15,000 to $24,999",10.8
1982,All Races,83918000,51487,382,62050,378,"$25,000 to $34,999",10.9
1982,All Races,83918000,51487,382,62050,378,"$35,000 to $49,999",14.5
1982,All Races,83918000,51487,382,62050,378,"$50,000 to $74,999",20.8
1982,All Races,83918000,51487,382,62050,378,"$75,000 to $99,999",13.4
1982,All Races,83918000,51487,382,62050,378,"$100,000 to $149,999",11.6
1982,All Races,83918000,51487,382,62050,378,"$150,000 to $199,999",3.3
1982,All Races,83918000,51487,382,62050,378,"$200,000 and over",2.1
1981,All Races,83527000,51627,445,61677,370,"Under $15,000",12.5
1981,All Races,83527000,51627,445,61677,370,"$15,000 to $24,999",10.9
1981,All Races,83527000,51627,445,61677,370,"$25,000 to $34,999",11
1981,All Races,83527000,51627,445,61677,370,"$35,000 to $49,999",14.3
1981,All Races,83527000,51627,445,61677,370,"$50,000 to $74,999",20.6
1981,All Races,83527000,51627,445,61677,370,"$75,000 to $99,999",14
1981,All Races,83527000,51627,445,61677,370,"$100,000 to $149,999",11.8
1981,All Races,83527000,51627,445,61677,370,"$150,000 to $199,999",3.1
1981,All Races,83527000,51627,445,61677,370,"$200,000 and over",1.8
1980,All Races,82368000,52461,443,62394,375,"Under $15,000",12.2
1980,All Races,82368000,52461,443,62394,375,"$15,000 to $24,999",10.7
1980,All Races,82368000,52461,443,62394,375,"$25,000 to $34,999",10.3
1980,All Races,82368000,52461,443,62394,375,"$35,000 to $49,999",14.6
1980,All Races,82368000,52461,443,62394,375,"$50,000 to $74,999",21.2
1980,All Races,82368000,52461,443,62394,375,"$75,000 to $99,999",14
1980,All Races,82368000,52461,443,62394,375,"$100,000 to $149,999",12
1980,All Races,82368000,52461,443,62394,375,"$150,000 to $199,999",3.2
1980,All Races,82368000,52461,443,62394,375,"$200,000 and over",1.8
1979,All Races,80776000,54222,423,64410,401,"Under $15,000",11.8
1979,All Races,80776000,54222,423,64410,401,"$15,000 to $24,999",10.2
1979,All Races,80776000,54222,423,64410,401,"$25,000 to $34,999",10.2
1979,All Races,80776000,54222,423,64410,401,"$35,000 to $49,999",14.4
1979,All Races,80776000,54222,423,64410,401,"$50,000 to $74,999",20.5
1979,All Races,80776000,54222,423,64410,401,"$75,000 to $99,999",15.1
1979,All Races,80776000,54222,423,64410,401,"$100,000 to $149,999",12.2
1979,All Races,80776000,54222,423,64410,401,"$150,000 to $199,999",3.4
1979,All Races,80776000,54222,423,64410,401,"$200,000 and over",2.1
1978,All Races,77330000,54326,362,63940,403,"Under $15,000",11.6
1978,All Races,77330000,54326,362,63940,403,"$15,000 to $24,999",10.5
1978,All Races,77330000,54326,362,63940,403,"$25,000 to $34,999",10.1
1978,All Races,77330000,54326,362,63940,403,"$35,000 to $49,999",14.2
1978,All Races,77330000,54326,362,63940,403,"$50,000 to $74,999",21
1978,All Races,77330000,54326,362,63940,403,"$75,000 to $99,999",14.9
1978,All Races,77330000,54326,362,63940,403,"$100,000 to $149,999",12.4
1978,All Races,77330000,54326,362,63940,403,"$150,000 to $199,999",3.2
1978,All Races,77330000,54326,362,63940,403,"$200,000 and over",2
1977,All Races,76030000,52302,323,62044,311,"Under $15,000",11.9
1977,All Races,76030000,52302,323,62044,311,"$15,000 to $24,999",11.2
1977,All Races,76030000,52302,323,62044,311,"$25,000 to $34,999",10.5
1977,All Races,76030000,52302,323,62044,311,"$35,000 to $49,999",14.2
1977,All Races,76030000,52302,323,62044,311,"$50,000 to $74,999",21.3
1977,All Races,76030000,52302,323,62044,311,"$75,000 to $99,999",14.7
1977,All Races,76030000,52302,323,62044,311,"$100,000 to $149,999",11.6
