year,race,number,income_quintile,income_share
2008,All Races,117181000,Highest,50
2008,All Races,117181000,Top 5%,21.5
2007,All Races,116783000,Lowest,3.4
2007,All Races,116783000,Second,8.7
2007,All Races,116783000,Third,14.8
2007,All Races,116783000,Fourth,23.4
2007,All Races,116783000,Highest,49.7
2007,All Races,116783000,Top 5%,21.2
2006,All Races,116011000,Lowest,3.4
2006,All Races,116011000,Second,8.6
2006,All Races,116011000,Third,14.5
2006,All Races,116011000,Fourth,22.9
2006,All Races,116011000,Highest,50.5
2006,All Races,116011000,Top 5%,22.3
2005,All Races,114384000,Lowest,3.4
2005,All Races,114384000,Second,8.6
2005,All Races,114384000,Third,14.6
2005,All Races,114384000,Fourth,23
2005,All Races,114384000,Highest,50.4
2005,All Races,114384000,Top 5%,22.2
2004,All Races,113343000,Lowest,3.4
2004,All Races,113343000,Second,8.7
2004,All Races,113343000,Third,14.7
2004,All Races,113343000,Fourth,23.2
2004,All Races,113343000,Highest,50.1
2004,All Races,113343000,Top 5%,21.8
2003,All Races,112000000,Lowest,3.4
2003,All Races,112000000,Second,8.7
2003,All Races,112000000,Third,14.8
2003,All Races,112000000,Fourth,23.4
2003,All Races,112000000,Highest,49.8
2003,All Races,112000000,Top 5%,21.4
2002,All Races,111278000,Lowest,3.5
2002,All Races,111278000,Second,8.8
2002,All Races,111278000,Third,14.8
2002,All Races,111278000,Fourth,23.3
2002,All Races,111278000,Highest,49.7
2002,All Races,111278000,Top 5%,21.7
2001,All Races,109297000,Lowest,3.5
2001,All Races,109297000,Second,8.7
2001,All Races,109297000,Third,14.6
2001,All Races,109297000,Fourth,23
2001,All Races,109297000,Highest,50.1
2001,All Races,109297000,Top 5%,22.4
2000,All Races,108209000,Lowest,3.6
2000,All Races,108209000,Second,8.9
2000,All Races,108209000,Third,14.8
2000,All Races,108209000,Fourth,23
2000,All Races,108209000,Highest,49.8
2000,All Races,108209000,Top 5%,22.1
1999,All Races,106434000,Lowest,3.6
1999,All Races,106434000,Second,8.9
1999,All Races,106434000,Third,14.9
1999,All Races,106434000,Fourth,23.2
1999,All Races,106434000,Highest,49.4
1999,All Races,106434000,Top 5%,21.5
1998,All Races,103874000,Lowest,3.6
1998,All Races,103874000,Second,9
1998,All Races,103874000,Third,15
1998,All Races,103874000,Fourth,23.2
1998,All Races,103874000,Highest,49.2
1998,All Races,103874000,Top 5%,21.4
1997,All Races,102528000,Lowest,3.6
1997,All Races,102528000,Second,8.9
1997,All Races,102528000,Third,15
1997,All Races,102528000,Fourth,23.2
1997,All Races,102528000,Highest,49.4
1997,All Races,102528000,Top 5%,21.7
1996,All Races,101018000,Lowest,3.6
1996,All Races,101018000,Second,9
1996,All Races,101018000,Third,15.1
1996,All Races,101018000,Fourth,23.3
1996,All Races,101018000,Highest,49
1996,All Races,101018000,Top 5%,21.4
1995,All Races,99627000,Lowest,3.7
1995,All Races,99627000,Second,9.1
1995,All Races,99627000,Third,15.2
1995,All Races,99627000,Fourth,23.3
1995,All Races,99627000,Highest,48.7
1995,All Races,99627000,Top 5%,21
1994,All Races,98990000,Lowest,3.6
1994,All Races,98990000,Second,8.9
1994,All Races,98990000,Third,15
1994,All Races,98990000,Fourth,23.4
1994,All Races,98990000,Highest,49.1
1994,All Races,98990000,Top 5%,21.2
1993,All Races,97107000,Lowest,3.6
1993,All Races,97107000,Second,9
1993,All Races,97107000,Third,15.1
1993,All Races,97107000,Fourth,23.5
1993,All Races,97107000,Highest,48.9
1993,All Races,97107000,Top 5%,21
1992,All Races,96426000,Lowest,3.8
1992,All Races,96426000,Second,9.4
1992,All Races,96426000,Third,15.8
1992,All Races,96426000,Fourth,24.2
1992,All Races,96426000,Highest,46.9
1992,All Races,96426000,Top 5%,18.6
1991,All Races,95669000,Lowest,3.8
1991,All Races,95669000,Second,9.6
1991,All Races,95669000,Third,15.9
1991,All Races,95669000,Fourth,24.2
1991,All Races,95669000,Highest,46.5
1991,All Races,95669000,Top 5%,18.1
1990,All Races,94312000,Lowest,3.8
1990,All Races,94312000,Second,9.6
1990,All Races,94312000,Third,15.9
1990,All Races,94312000,Fourth,24
1990,All Races,94312000,Highest,46.6
1990,All Races,94312000,Top 5%,18.5
1989,All Races,93347000,Lowest,3.8
1989,All Races,93347000,Second,9.5
1989,All Races,93347000,Third,15.8
1989,All Races,93347000,Fourth,24
1989,All Races,93347000,Highest,46.8
1989,All Races,93347000,Top 5%,18.9
1988,All Races,92830000,Lowest,3.8
1988,All Races,92830000,Second,9.6
1988,All Races,92830000,Third,16
1988,All Races,92830000,Fourth,24.2
1988,All Races,92830000,Highest,46.3
1988,All Races,92830000,Top 5%,18.3
1987,All Races,91124000,Lowest,3.8
1987,All Races,91124000,Second,9.6
1987,All Races,91124000,Third,16.1
1987,All Races,91124000,Fourth,24.3
1987,All Races,91124000,Highest,46.2
1987,All Races,91124000,Top 5%,18.2
1986,All Races,89479000,Lowest,3.8
1986,All Races,89479000,Second,9.7
1986,All Races,89479000,Third,16.2
1986,All Races,89479000,Fourth,24.3
1986,All Races,89479000,Highest,46.1
1986,All Races,89479000,Top 5%,18
1985,All Races,88458000,Lowest,3.9
1985,All Races,88458000,Second,9.8
1985,All Races,88458000,Third,16.2
1985,All Races,88458000,Fourth,24.4
1985,All Races,88458000,Highest,45.6
1985,All Races,88458000,Top 5%,17.6
1984,All Races,86789000,Lowest,4
1984,All Races,86789000,Second,9.9
1984,All Races,86789000,Third,16.3
1984,All Races,86789000,Fourth,24.6
1984,All Races,86789000,Highest,45.2
1984,All Races,86789000,Top 5%,17.1
1983,All Races,85407000,Lowest,4
1983,All Races,85407000,Second,9.9
1983,All Races,85407000,Third,16.4
1983,All Races,85407000,Fourth,24.6
1983,All Races,85407000,Highest,45.1
1983,All Races,85407000,Top 5%,17
1982,All Races,83918000,Lowest,4
1982,All Races,83918000,Second,10
1982,All Races,83918000,Third,16.5
1982,All Races,83918000,Fourth,24.5
1982,All Races,83918000,Highest,45
1982,All Races,83918000,Top 5%,17
1981,All Races,83527000,Lowest,4.1
1981,All Races,83527000,Second,10.1
1981,All Races,83527000,Third,16.7
1981,All Races,83527000,Fourth,24.8
1981,All Races,83527000,Highest,44.3
1981,All Races,83527000,Top 5%,16.5
1980,All Races,82368000,Lowest,4.2
1980,All Races,82368000,Second,10.2
1980,All Races,82368000,Third,16.8
1980,All Races,82368000,Fourth,24.7
1980,All Races,82368000,Highest,44.1
1980,All Races,82368000,Top 5%,16.5
1979,All Races,80776000,Lowest,4.1
1979,All Races,80776000,Second,10.2
1979,All Races,80776000,Third,16.8
1979,All Races,80776000,Fourth,24.6
1979,All Races,80776000,Highest,44.2
1979,All Races,80776000,Top 5%,16.9
1978,All Races,77330000,Lowest,4.2
1978,All Races,77330000,Second,10.2
1978,All Races,77330000,Third,16.8
1978,All Races,77330000,Fourth,24.7
1978,All Races,77330000,Highest,44.1
1978,All Races,77330000,Top 5%,16.8
1977,All Races,76030000,Lowest,4.2
1977,All Races,76030000,Second,10.2
1977,All Races,76030000,Third,16.9
1977,All Races,76030000,Fourth,24.7
1977,All Races,76030000,Highest,44
1977,All Races,76030000,Top 5%,16.8
1976,All Races,74142000,Lowest,4.3
1976,All Races,74142000,Second,10.3
1976,All Races,74142000,Third,17
1976,All Races,74142000,Fourth,24.7
1976,All Races,74142000,Highest,43.7
1976,All Races,74142000,Top 5%,16.6
1975,All Races,72867000,Lowest,4.3
1975,All Races,72867000,Second,10.4
1975,All Races,72867000,Third,17
1975,All Races,72867000,Fourth,24.7
1975,All Races,72867000,Highest,43.6
1975,All Races,72867000,Top 5%,16.5
1974,All Races,71163000,Lowest,4.3
1974,All Races,71163000,Second,10.6
1974,All Races,71163000,Third,17
1974,All Races,71163000,Fourth,24.6
1974,All Races,71163000,Highest,43.5
1974,All Races,71163000,Top 5%,16.5
1973,All Races,69859000,Lowest,4.2
1973,All Races,69859000,Second,10.4
1973,All Races,69859000,Third,17
1973,All Races,69859000,Fourth,24.5
1973,All Races,69859000,Highest,43.9
1973,All Races,69859000,Top 5%,16.9
1972,All Races,68251000,Lowest,4.1
1972,All Races,68251000,Second,10.4
1972,All Races,68251000,Third,17
1972,All Races,68251000,Fourth,24.5
1972,All Races,68251000,Highest,43.9
1972,All Races,68251000,Top 5%,17
1971,All Races,66676000,Lowest,4.1
1971,All Races,66676000,Second,10.6
1971,All Races,66676000,Third,17.3
1971,All Races,66676000,Fourth,24.5
1971,All Races,66676000,Highest,43.5
1971,All Races,66676000,Top 5%,16.7
1970,All Races,64778000,Lowest,4.1
1970,All Races,64778000,Second,10.8
1970,All Races,64778000,Third,17.4
1970,All Races,64778000,Fourth,24.5
1970,All Races,64778000,Highest,43.3
1970,All Races,64778000,Top 5%,16.6
1969,All Races,63401000,Lowest,4.1
1969,All Races,63401000,Second,10.9
1969,All Races,63401000,Third,17.5
1969,All Races,63401000,Fourth,24.5
1969,All Races,63401000,Highest,43
1969,All Races,63401000,Top 5%,16.6
1968,All Races,62214000,Lowest,4.2
1968,All Races,62214000,Second,11.1
1968,All Races,62214000,Third,17.6
1968,All Races,62214000,Fourth,24.5
1968,All Races,62214000,Highest,42.6
1968,All Races,62214000,Top 5%,16.3
1967,All Races,60813000,Lowest,4
1967,All Races,60813000,Second,10.8
1967,All Races,60813000,Third,17.3
1967,All Races,60813000,Fourth,24.2
1967,All Races,60813000,Highest,43.6
1967,All Races,60813000,Top 5%,17.2
2019,Asian Alone or in Combination,7334000,Lowest,3.2
2019,Asian Alone or in Combination,7334000,Second,8.8
2019,Asian Alone or in Combination,7334000,Third,14.8
2019,Asian Alone or in Combination,7334000,Fourth,23.1
2019,Asian Alone or in Combination,7334000,Highest,50
2019,Asian Alone or in Combination,7334000,Top 5%,21.6
2018,Asian Alone or in Combination,7416000,Lowest,2.8
2018,Asian Alone or in Combination,7416000,Second,8.5
2018,Asian Alone or in Combination,7416000,Third,14.6
2018,Asian Alone or in Combination,7416000,Fourth,23.1
2018,Asian Alone or in Combination,7416000,Highest,51
2018,Asian Alone or in Combination,7416000,Top 5%,21.8
2017,Asian Alone or in Combination,7114000,Lowest,2.7
2017,Asian Alone or in Combination,7114000,Second,8.4
2017,Asian Alone or in Combination,7114000,Third,14.4
2017,Asian Alone or in Combination,7114000,Fourth,23.3
2017,Asian Alone or in Combination,7114000,Highest,51.2
2017,Asian Alone or in Combination,7114000,Top 5%,22.1
2016,Asian Alone or in Combination,6750000,Lowest,3
2016,Asian Alone or in Combination,6750000,Second,8.9
2016,Asian Alone or in Combination,6750000,Third,15.2
2016,Asian Alone or in Combination,6750000,Fourth,24
2016,Asian Alone or in Combination,6750000,Highest,48.9
2016,Asian Alone or in Combination,6750000,Top 5%,20.3
2015,Asian Alone or in Combination,6640000,Lowest,2.7
2015,Asian Alone or in Combination,6640000,Second,8.5
2015,Asian Alone or in Combination,6640000,Third,14.7
2015,Asian Alone or in Combination,6640000,Fourth,23.6
2015,Asian Alone or in Combination,6640000,Highest,50.6
2015,Asian Alone or in Combination,6640000,Top 5%,21.8
2014,Asian Alone or in Combination,6333000,Lowest,2.9
2014,Asian Alone or in Combination,6333000,Second,8.7
2014,Asian Alone or in Combination,6333000,Third,15.2
2014,Asian Alone or in Combination,6333000,Fourth,24.1
2014,Asian Alone or in Combination,6333000,Highest,49
2014,Asian Alone or in Combination,6333000,Top 5%,20.5
2013,Asian Alone or in Combination,6160000,Lowest,2.7
2013,Asian Alone or in Combination,6160000,Second,8.5
2013,Asian Alone or in Combination,6160000,Third,14.5
2013,Asian Alone or in Combination,6160000,Fourth,22.6
2013,Asian Alone or in Combination,6160000,Highest,51.7
2013,Asian Alone or in Combination,6160000,Top 5%,23.4
2012,Asian Alone or in Combination,5872000,Lowest,3
2012,Asian Alone or in Combination,5872000,Second,8.9
2012,Asian Alone or in Combination,5872000,Third,14.9
2012,Asian Alone or in Combination,5872000,Fourth,23.6
2012,Asian Alone or in Combination,5872000,Highest,49.6
2012,Asian Alone or in Combination,5872000,Top 5%,20.8
2011,Asian Alone or in Combination,5705000,Lowest,3
2011,Asian Alone or in Combination,5705000,Second,8.7
2011,Asian Alone or in Combination,5705000,Third,15.1
2011,Asian Alone or in Combination,5705000,Fourth,23.5
2011,Asian Alone or in Combination,5705000,Highest,49.7
2011,Asian Alone or in Combination,5705000,Top 5%,21.4
2010,Asian Alone or in Combination,5550000,Lowest,3
2010,Asian Alone or in Combination,5550000,Second,8.9
2010,Asian Alone or in Combination,5550000,Third,15.3
2010,Asian Alone or in Combination,5550000,Fourth,24.5
2010,Asian Alone or in Combination,5550000,Highest,48.3
2010,Asian Alone or in Combination,5550000,Top 5%,19
2009,Asian Alone or in Combination,4940000,Lowest,2.7
2009,Asian Alone or in Combination,4940000,Second,8.2
2009,Asian Alone or in Combination,4940000,Third,14.4
2009,Asian Alone or in Combination,4940000,Fourth,23
2009,Asian Alone or in Combination,4940000,Highest,51.6
2009,Asian Alone or in Combination,4940000,Top 5%,23.5
2008,Asian Alone or in Combination,4805000,Lowest,2.9
2008,Asian Alone or in Combination,4805000,Second,8.6
2008,Asian Alone or in Combination,4805000,Third,15.1
2008,Asian Alone or in Combination,4805000,Fourth,24.1
2008,Asian Alone or in Combination,4805000,Highest,49.3
2008,Asian Alone or in Combination,4805000,Top 5%,21
2007,Asian Alone or in Combination,4715000,Lowest,3.1
2007,Asian Alone or in Combination,4715000,Second,9.2
2007,Asian Alone or in Combination,4715000,Third,15.6
2007,Asian Alone or in Combination,4715000,Fourth,24
2007,Asian Alone or in Combination,4715000,Highest,48
2007,Asian Alone or in Combination,4715000,Top 5%,20
2006,Asian Alone or in Combination,4664000,Lowest,3.2
2006,Asian Alone or in Combination,4664000,Second,8.8
2006,Asian Alone or in Combination,4664000,Third,14.7
2006,Asian Alone or in Combination,4664000,Fourth,23
2006,Asian Alone or in Combination,4664000,Highest,50.3
2006,Asian Alone or in Combination,4664000,Top 5%,23.5
2005,Asian Alone or in Combination,4500000,Lowest,2.9
2005,Asian Alone or in Combination,4500000,Second,9.2
2005,Asian Alone or in Combination,4500000,Third,15.3
2005,Asian Alone or in Combination,4500000,Fourth,23.7
2005,Asian Alone or in Combination,4500000,Highest,48.9
2005,Asian Alone or in Combination,4500000,Top 5%,20.3
2004,Asian Alone or in Combination,4346000,Lowest,3.2
2004,Asian Alone or in Combination,4346000,Second,9.2
2004,Asian Alone or in Combination,4346000,Third,15.1
2004,Asian Alone or in Combination,4346000,Fourth,23.3
2004,Asian Alone or in Combination,4346000,Highest,49.2
2004,Asian Alone or in Combination,4346000,Top 5%,21.5
2003,Asian Alone or in Combination,4235000,Lowest,2.7
2003,Asian Alone or in Combination,4235000,Second,9.1
2003,Asian Alone or in Combination,4235000,Third,15.9
2003,Asian Alone or in Combination,4235000,Fourth,24.6
2003,Asian Alone or in Combination,4235000,Highest,47.8
2003,Asian Alone or in Combination,4235000,Top 5%,18.9
2002,Asian Alone or in Combination,4079000,Lowest,3.3
2002,Asian Alone or in Combination,4079000,Second,9.1
2002,Asian Alone or in Combination,4079000,Third,15.2
2002,Asian Alone or in Combination,4079000,Fourth,23.8
2002,Asian Alone or in Combination,4079000,Highest,48.6
2002,Asian Alone or in Combination,4079000,Top 5%,20.6
2019,Asian Alone,6853000,Lowest,3.1
2019,Asian Alone,6853000,Second,8.8
2019,Asian Alone,6853000,Third,14.8
2019,Asian Alone,6853000,Fourth,23.1
2019,Asian Alone,6853000,Highest,50.2
2019,Asian Alone,6853000,Top 5%,21.7
2018,Asian Alone,6981000,Lowest,2.7
2018,Asian Alone,6981000,Second,8.4
2018,Asian Alone,6981000,Third,14.6
2018,Asian Alone,6981000,Fourth,23.1
2018,Asian Alone,6981000,Highest,51.1
2018,Asian Alone,6981000,Top 5%,22
2017,Asian Alone,6735000,Lowest,2.7
2017,Asian Alone,6735000,Second,8.5
2017,Asian Alone,6735000,Third,14.4
2017,Asian Alone,6735000,Fourth,23.4
2017,Asian Alone,6735000,Highest,51
2017,Asian Alone,6735000,Top 5%,22
2016,Asian Alone,6392000,Lowest,3
2016,Asian Alone,6392000,Second,9
2016,Asian Alone,6392000,Third,15.2
2016,Asian Alone,6392000,Fourth,24
2016,Asian Alone,6392000,Highest,48.9
2016,Asian Alone,6392000,Top 5%,20.4
2015,Asian Alone,6328000,Lowest,2.7
2015,Asian Alone,6328000,Second,8.6
2015,Asian Alone,6328000,Third,14.8
2015,Asian Alone,6328000,Fourth,23.6
2015,Asian Alone,6328000,Highest,50.3
2015,Asian Alone,6328000,Top 5%,21.5
2014,Asian Alone,6040000,Lowest,2.9
2014,Asian Alone,6040000,Second,8.6
2014,Asian Alone,6040000,Third,15.3
2014,Asian Alone,6040000,Fourth,24.3
2014,Asian Alone,6040000,Highest,48.9
2014,Asian Alone,6040000,Top 5%,20.2
2013,Asian Alone,5818000,Lowest,2.7
2013,Asian Alone,5818000,Second,8.6
2013,Asian Alone,5818000,Third,14.5
2013,Asian Alone,5818000,Fourth,22.7
2013,Asian Alone,5818000,Highest,51.6
2013,Asian Alone,5818000,Top 5%,23.2
2012,Asian Alone,5560000,Lowest,3
2012,Asian Alone,5560000,Second,8.9
2012,Asian Alone,5560000,Third,15
2012,Asian Alone,5560000,Fourth,23.7
2012,Asian Alone,5560000,Highest,49.4
2012,Asian Alone,5560000,Top 5%,20.5
2011,Asian Alone,5374000,Lowest,3
2011,Asian Alone,5374000,Second,8.8
2011,Asian Alone,5374000,Third,15.2
2011,Asian Alone,5374000,Fourth,23.5
2011,Asian Alone,5374000,Highest,49.5
2011,Asian Alone,5374000,Top 5%,21.4
2010,Asian Alone,5212000,Lowest,2.9
2010,Asian Alone,5212000,Second,8.9
2010,Asian Alone,5212000,Third,15.3
2010,Asian Alone,5212000,Fourth,24.6
2010,Asian Alone,5212000,Highest,48.3
2010,Asian Alone,5212000,Top 5%,19
2009,Asian Alone,4687000,Lowest,2.7
2009,Asian Alone,4687000,Second,8.2
2009,Asian Alone,4687000,Third,14.4
2009,Asian Alone,4687000,Fourth,23
2009,Asian Alone,4687000,Highest,51.6
2009,Asian Alone,4687000,Top 5%,23.7
2008,Asian Alone,4573000,Lowest,2.9
2008,Asian Alone,4573000,Second,8.6
2008,Asian Alone,4573000,Third,15.2
2008,Asian Alone,4573000,Fourth,24.2
2008,Asian Alone,4573000,Highest,49.2
2008,Asian Alone,4573000,Top 5%,20.8
2007,Asian Alone,4494000,Lowest,3.1
2007,Asian Alone,4494000,Second,9.2
2007,Asian Alone,4494000,Third,15.6
2007,Asian Alone,4494000,Fourth,23.9
2007,Asian Alone,4494000,Highest,48.1
2007,Asian Alone,4494000,Top 5%,20.2
2006,Asian Alone,4454000,Lowest,3.1
2006,Asian Alone,4454000,Second,8.7
2006,Asian Alone,4454000,Third,14.6
2006,Asian Alone,4454000,Fourth,22.9
2006,Asian Alone,4454000,Highest,50.7
2006,Asian Alone,4454000,Top 5%,23.7
2005,Asian Alone,4273000,Lowest,2.9
2005,Asian Alone,4273000,Second,9.2
2005,Asian Alone,4273000,Third,15.3
2005,Asian Alone,4273000,Fourth,23.7
2005,Asian Alone,4273000,Highest,48.9
2005,Asian Alone,4273000,Top 5%,20.2
2004,Asian Alone,4123000,Lowest,3.2
2004,Asian Alone,4123000,Second,9.1
2004,Asian Alone,4123000,Third,15.1
2004,Asian Alone,4123000,Fourth,23.4
2004,Asian Alone,4123000,Highest,49.2
2004,Asian Alone,4123000,Top 5%,21.5
2003,Asian Alone,4040000,Lowest,2.7
2003,Asian Alone,4040000,Second,9
2003,Asian Alone,4040000,Third,15.9
2003,Asian Alone,4040000,Fourth,24.5
2003,Asian Alone,4040000,Highest,47.9
2003,Asian Alone,4040000,Top 5%,19
2002,Asian Alone,3917000,Lowest,3.3
2002,Asian Alone,3917000,Second,9.1
2002,Asian Alone,3917000,Third,15.2
2002,Asian Alone,3917000,Fourth,23.7
2002,Asian Alone,3917000,Highest,48.8
2002,Asian Alone,3917000,Top 5%,20.8
2019,Black Alone or in Combination,18055000,Lowest,2.6
2019,Black Alone or in Combination,18055000,Second,7.7
2019,Black Alone or in Combination,18055000,Third,13.5
2019,Black Alone or in Combination,18055000,Fourth,22.5
2019,Black Alone or in Combination,18055000,Highest,53.7
2019,Black Alone or in Combination,18055000,Top 5%,24
2018,Black Alone or in Combination,18095000,Lowest,2.6
2018,Black Alone or in Combination,18095000,Second,7.9
2018,Black Alone or in Combination,18095000,Third,14.1
2018,Black Alone or in Combination,18095000,Fourth,23.2
2018,Black Alone or in Combination,18095000,Highest,52.2
2018,Black Alone or in Combination,18095000,Top 5%,21.5
2017,Black Alone or in Combination,17801000,Lowest,2.6
2017,Black Alone or in Combination,17801000,Second,7.8
2017,Black Alone or in Combination,17801000,Third,13.8
2017,Black Alone or in Combination,17801000,Fourth,23.2
2017,Black Alone or in Combination,17801000,Highest,52.6
2017,Black Alone or in Combination,17801000,Top 5%,22.8
2016,Black Alone or in Combination,17505000,Lowest,2.6
2016,Black Alone or in Combination,17505000,Second,7.7
2016,Black Alone or in Combination,17505000,Third,13.7
2016,Black Alone or in Combination,17505000,Fourth,22.7
2016,Black Alone or in Combination,17505000,Highest,53.4
2016,Black Alone or in Combination,17505000,Top 5%,24.2
2015,Black Alone or in Combination,17322000,Lowest,2.6
2015,Black Alone or in Combination,17322000,Second,7.6
2015,Black Alone or in Combination,17322000,Third,13.7
2015,Black Alone or in Combination,17322000,Fourth,23
2015,Black Alone or in Combination,17322000,Highest,53.2
2015,Black Alone or in Combination,17322000,Top 5%,23.4
2014,Black Alone or in Combination,17198000,Lowest,2.6
2014,Black Alone or in Combination,17198000,Second,7.8
2014,Black Alone or in Combination,17198000,Third,13.8
2014,Black Alone or in Combination,17198000,Fourth,22.9
2014,Black Alone or in Combination,17198000,Highest,52.9
2014,Black Alone or in Combination,17198000,Top 5%,22.6
2013,Black Alone or in Combination,16723000,Lowest,2.6
2013,Black Alone or in Combination,16723000,Second,7.8
2013,Black Alone or in Combination,16723000,Third,13.8
2013,Black Alone or in Combination,16723000,Fourth,22.5
2013,Black Alone or in Combination,16723000,Highest,53.3
2013,Black Alone or in Combination,16723000,Top 5%,23.1
2012,Black Alone or in Combination,16559000,Lowest,2.8
2012,Black Alone or in Combination,16559000,Second,7.8
2012,Black Alone or in Combination,16559000,Third,14.1
2012,Black Alone or in Combination,16559000,Fourth,23.5
2012,Black Alone or in Combination,16559000,Highest,51.9
2012,Black Alone or in Combination,16559000,Top 5%,21.5
2011,Black Alone or in Combination,16165000,Lowest,2.6
2011,Black Alone or in Combination,16165000,Second,7.5
2011,Black Alone or in Combination,16165000,Third,13.7
2011,Black Alone or in Combination,16165000,Fourth,23.3
2011,Black Alone or in Combination,16165000,Highest,52.9
2011,Black Alone or in Combination,16165000,Top 5%,22.8
2010,Black Alone or in Combination,15909000,Lowest,2.6
2010,Black Alone or in Combination,15909000,Second,7.8
2010,Black Alone or in Combination,15909000,Third,14.2
2010,Black Alone or in Combination,15909000,Fourth,23.6
2010,Black Alone or in Combination,15909000,Highest,51.7
2010,Black Alone or in Combination,15909000,Top 5%,21.5
2009,Black Alone or in Combination,15212000,Lowest,2.9
2009,Black Alone or in Combination,15212000,Second,8.2
2009,Black Alone or in Combination,15212000,Third,14.3
2009,Black Alone or in Combination,15212000,Fourth,23.5
2009,Black Alone or in Combination,15212000,Highest,51.1
2009,Black Alone or in Combination,15212000,Top 5%,21.5
2008,Black Alone or in Combination,15056000,Lowest,3
2008,Black Alone or in Combination,15056000,Second,8.4
2008,Black Alone or in Combination,15056000,Third,14.6
2008,Black Alone or in Combination,15056000,Fourth,23.5
2008,Black Alone or in Combination,15056000,Highest,50.5
2008,Black Alone or in Combination,15056000,Top 5%,20.6
2007,Black Alone or in Combination,14976000,Lowest,2.8
2007,Black Alone or in Combination,14976000,Second,8.1
2007,Black Alone or in Combination,14976000,Third,14.5
2007,Black Alone or in Combination,14976000,Fourth,23.7
2007,Black Alone or in Combination,14976000,Highest,50.8
2007,Black Alone or in Combination,14976000,Top 5%,21.2
2006,Black Alone or in Combination,14709000,Lowest,2.8
2006,Black Alone or in Combination,14709000,Second,8.1
2006,Black Alone or in Combination,14709000,Third,14.3
2006,Black Alone or in Combination,14709000,Fourth,23.2
2006,Black Alone or in Combination,14709000,Highest,51.6
2006,Black Alone or in Combination,14709000,Top 5%,22.1
2005,Black Alone or in Combination,14399000,Lowest,2.8
2005,Black Alone or in Combination,14399000,Second,8
2005,Black Alone or in Combination,14399000,Third,14.5
2005,Black Alone or in Combination,14399000,Fourth,23.7
2005,Black Alone or in Combination,14399000,Highest,51
2005,Black Alone or in Combination,14399000,Top 5%,21.3
2004,Black Alone or in Combination,14151000,Lowest,2.8
2004,Black Alone or in Combination,14151000,Second,8.3
2004,Black Alone or in Combination,14151000,Third,14.7
2004,Black Alone or in Combination,14151000,Fourth,23.9
2004,Black Alone or in Combination,14151000,Highest,50.4
2004,Black Alone or in Combination,14151000,Top 5%,20.7
2003,Black Alone or in Combination,13969000,Lowest,2.9
2003,Black Alone or in Combination,13969000,Second,8.2
