species,date,geo_group,region,median,q1,q3
rainbowtrout,2023-09-01,area,4,0.71,0.5,1.24
rainbowtrout,2023-10-01,area,4,0.69,0.44,1.44
rainbowtrout,2023-11-01,area,4,0.9,0.56,1.46
rainbowtrout,2023-12-01,area,4,0.66,0.44,1.26
rainbowtrout,2024-01-01,area,4,0.67,0.31,1
rainbowtrout,2024-02-01,area,4,0.48,0.26,0.89
rainbowtrout,2024-03-01,area,4,0.61,0.24,1.2
rainbowtrout,2024-04-01,area,4,0.45,0.19,0.92
rainbowtrout,2024-05-01,area,4,0.36,0.22,0.85
rainbowtrout,2024-06-01,area,4,0.37,0.21,0.69
rainbowtrout,2024-07-01,area,4,0.64,0.42,0.96
rainbowtrout,2024-08-01,area,4,0.8,0.41,1.14
rainbowtrout,2024-09-01,area,4,0.82,0.55,1.24
rainbowtrout,2024-10-01,area,4,0.9,0.42,1.21
rainbowtrout,2024-11-01,area,4,0.51,0.33,0.94
rainbowtrout,2024-12-01,area,4,0.46,0.3,0.74
rainbowtrout,2025-01-01,area,4,0.54,0.33,1.15
rainbowtrout,2025-02-01,area,4,0.59,0.28,0.87
rainbowtrout,2025-03-01,area,4,0.62,0.38,0.81
rainbowtrout,2025-04-01,area,4,0.61,0.31,1.37
rainbowtrout,2025-05-01,area,4,0.34,0.21,0.76
rainbowtrout,2025-06-01,area,4,0.41,0.24,0.72
rainbowtrout,2025-07-01,area,4,0.63,0.29,1.12
rainbowtrout,2025-08-01,area,4,0.94,0.46,1.6
rainbowtrout,2025-09-01,area,4,1.01,0.52,2.29
rainbowtrout,2025-10-01,area,4,0.67,0.35,1.69
rainbowtrout,2025-11-01,area,4,0.76,0.48,1.69
rainbowtrout,2025-12-01,area,4,0.53,0.36,0.95
rainbowtrout,2020-01-01,area,2 & 3,2.89,1.72,3.22
rainbowtrout,2020-02-01,area,2 & 3,1.07,1.01,1.78
rainbowtrout,2020-03-01,area,2 & 3,1.09,0.36,1.57
rainbowtrout,2020-04-01,area,2 & 3,1.69,1.26,1.7
rainbowtrout,2020-05-01,area,2 & 3,1.14,0.08,1.43
rainbowtrout,2020-08-01,area,2 & 3,1.12,0.65,1.24
rainbowtrout,2020-09-01,area,2 & 3,0.89,0.33,0.92
rainbowtrout,2021-03-01,area,2 & 3,0.52,0.11,2.27
rainbowtrout,2021-04-01,area,2 & 3,0.17,0.11,0.59
rainbowtrout,2021-05-01,area,2 & 3,0.28,0.14,0.37
rainbowtrout,2021-06-01,area,2 & 3,0.36,0.23,0.84
rainbowtrout,2021-07-01,area,2 & 3,1.21,0.79,2.81
rainbowtrout,2021-08-01,area,2 & 3,0.71,0.4,1.46
rainbowtrout,2021-09-01,area,2 & 3,1.14,0.4,1.88
rainbowtrout,2021-10-01,area,2 & 3,1.04,0.4,2.22
rainbowtrout,2021-11-01,area,2 & 3,1.13,0.75,1.76
rainbowtrout,2021-12-01,area,2 & 3,0.84,0.39,1.21
rainbowtrout,2022-01-01,area,2 & 3,0.76,0.47,0.83
rainbowtrout,2022-02-01,area,2 & 3,0.36,0.32,0.45
rainbowtrout,2022-03-01,area,2 & 3,0.71,0.56,0.82
rainbowtrout,2022-04-01,area,2 & 3,0.71,0.51,1.11
rainbowtrout,2022-05-01,area,2 & 3,0.82,0.32,1.2
rainbowtrout,2022-06-01,area,2 & 3,0.4,0.26,1.23
rainbowtrout,2022-07-01,area,2 & 3,0.97,0.89,1.39
rainbowtrout,2022-08-01,area,2 & 3,0.67,0.2,1.42
rainbowtrout,2023-02-01,area,2 & 3,0.37,0.11,0.88
rainbowtrout,2023-03-01,area,2 & 3,1.94,0.29,2.48
rainbowtrout,2023-04-01,area,2 & 3,0.22,0.2,0.49
rainbowtrout,2023-05-01,area,2 & 3,0.28,0.22,0.43
rainbowtrout,2023-06-01,area,2 & 3,0.53,0.45,0.7
rainbowtrout,2023-07-01,area,2 & 3,1.52,0.73,1.84
rainbowtrout,2023-08-01,area,2 & 3,0.45,0.34,0.5
rainbowtrout,2023-09-01,area,2 & 3,1.06,0.54,1.61
rainbowtrout,2023-10-01,area,2 & 3,0.65,0.53,0.84
rainbowtrout,2023-11-01,area,2 & 3,0.53,0.48,1
rainbowtrout,2023-12-01,area,2 & 3,0.43,0.37,0.67
rainbowtrout,2024-01-01,area,2 & 3,0.37,0.28,0.59
rainbowtrout,2024-02-01,area,2 & 3,0.5,0.33,0.87
rainbowtrout,2024-03-01,area,2 & 3,0.73,0.32,0.8
rainbowtrout,2024-04-01,area,2 & 3,0.4,0.22,0.65
rainbowtrout,2024-05-01,area,2 & 3,0.33,0.11,0.86
rainbowtrout,2024-06-01,area,2 & 3,1.38,0.47,2.13
rainbowtrout,2024-07-01,area,2 & 3,1.34,0.36,1.99
rainbowtrout,2024-08-01,area,2 & 3,1.32,0.64,2.39
rainbowtrout,2024-09-01,area,2 & 3,0.75,0.46,0.96
rainbowtrout,2024-10-01,area,2 & 3,0.68,0.41,0.85
rainbowtrout,2024-11-01,area,2 & 3,0.51,0.44,1.71
rainbowtrout,2024-12-01,area,2 & 3,0.72,0.44,0.97
rainbowtrout,2025-01-01,area,2 & 3,0.7,0.47,0.93
rainbowtrout,2025-02-01,area,2 & 3,0.82,0.66,1.32
rainbowtrout,2025-03-01,area,2 & 3,0.55,0.2,1.09
rainbowtrout,2025-04-01,area,2 & 3,0.41,0.26,0.76
rainbowtrout,2025-05-01,area,2 & 3,0.36,0.21,1.54
rainbowtrout,2025-06-01,area,2 & 3,0.64,0.4,1.09
rainbowtrout,2025-07-01,area,2 & 3,1.88,1.67,3.22
rainbowtrout,2025-08-01,area,2 & 3,1.51,0.96,2
rainbowtrout,2025-09-01,area,2 & 3,1.27,0.92,2.9
rainbowtrout,2025-10-01,area,2 & 3,1.04,0.56,1.33
rainbowtrout,2025-11-01,area,2 & 3,1.46,0.83,1.86
rainbowtrout,2025-12-01,area,2 & 3,1.12,0.47,1.81
rainbowtrout,2020-01-01,area,"5, 6, & 9",0.88,0.44,1.58
rainbowtrout,2020-02-01,area,"5, 6, & 9",0.78,0.4,1.17
rainbowtrout,2020-03-01,area,"5, 6, & 9",0.85,0.41,1
rainbowtrout,2020-04-01,area,"5, 6, & 9",0.43,0.36,0.91
rainbowtrout,2020-05-01,area,"5, 6, & 9",0.5,0.19,1.16
rainbowtrout,2020-06-01,area,"5, 6, & 9",0.34,0.18,0.59
rainbowtrout,2020-07-01,area,"5, 6, & 9",0.44,0.34,0.95
rainbowtrout,2020-08-01,area,"5, 6, & 9",0.63,0.45,1.48
rainbowtrout,2020-09-01,area,"5, 6, & 9",1.06,0.66,2.25
rainbowtrout,2020-10-01,area,"5, 6, & 9",0.84,0.21,1.98
rainbowtrout,2020-11-01,area,"5, 6, & 9",0.27,0.19,1.19
rainbowtrout,2020-12-01,area,"5, 6, & 9",0.68,0.43,1.25
rainbowtrout,2021-01-01,area,"5, 6, & 9",0.42,0.29,1.27
rainbowtrout,2021-02-01,area,"5, 6, & 9",0.37,0.22,1.28
rainbowtrout,2021-03-01,area,"5, 6, & 9",0.5,0.27,0.61
rainbowtrout,2021-04-01,area,"5, 6, & 9",0.39,0.27,0.6
rainbowtrout,2021-05-01,area,"5, 6, & 9",0.38,0.16,0.72
rainbowtrout,2021-06-01,area,"5, 6, & 9",0.49,0.31,0.93
rainbowtrout,2021-07-01,area,"5, 6, & 9",0.6,0.39,1.04
rainbowtrout,2021-08-01,area,"5, 6, & 9",0.94,0.47,1.12
rainbowtrout,2021-09-01,area,"5, 6, & 9",1.27,0.9,1.82
rainbowtrout,2021-10-01,area,"5, 6, & 9",0.76,0.35,1.54
rainbowtrout,2021-11-01,area,"5, 6, & 9",0.8,0.53,1.61
rainbowtrout,2021-12-01,area,"5, 6, & 9",1.44,0.75,2.18
rainbowtrout,2022-01-01,area,"5, 6, & 9",0.62,0.34,1.26
rainbowtrout,2022-02-01,area,"5, 6, & 9",0.74,0.44,0.93
rainbowtrout,2022-03-01,area,"5, 6, & 9",0.52,0.29,2.31
rainbowtrout,2022-04-01,area,"5, 6, & 9",1.8,1.09,2.86
rainbowtrout,2022-05-01,area,"5, 6, & 9",1.01,0.56,1.25
rainbowtrout,2022-06-01,area,"5, 6, & 9",0.99,0.83,1.65
rainbowtrout,2022-07-01,area,"5, 6, & 9",0.78,0.35,1.96
rainbowtrout,2022-08-01,area,"5, 6, & 9",1.04,0.8,1.46
rainbowtrout,2022-09-01,area,"5, 6, & 9",1.83,1.6,2.71
rainbowtrout,2022-10-01,area,"5, 6, & 9",2.09,1.61,11.9
rainbowtrout,2022-11-01,area,"5, 6, & 9",0.89,0.64,1.3
rainbowtrout,2022-12-01,area,"5, 6, & 9",1.24,0.87,1.86
rainbowtrout,2023-01-01,area,"5, 6, & 9",0.58,0.4,1.39
rainbowtrout,2023-02-01,area,"5, 6, & 9",0.36,0.3,0.4
rainbowtrout,2023-03-01,area,"5, 6, & 9",0.56,0.4,0.76
rainbowtrout,2023-04-01,area,"5, 6, & 9",0.67,0.35,1.18
rainbowtrout,2023-05-01,area,"5, 6, & 9",0.48,0.21,1.07
rainbowtrout,2023-06-01,area,"5, 6, & 9",0.71,0.26,1.04
rainbowtrout,2023-07-01,area,"5, 6, & 9",0.54,0.44,0.62
rainbowtrout,2023-08-01,area,"5, 6, & 9",0.7,0.51,1.58
rainbowtrout,2023-09-01,area,"5, 6, & 9",0.85,0.56,1.17
rainbowtrout,2023-10-01,area,"5, 6, & 9",1.01,0.53,4.58
rainbowtrout,2023-11-01,area,"5, 6, & 9",1.22,0.79,1.74
rainbowtrout,2023-12-01,area,"5, 6, & 9",1,0.34,1.37
rainbowtrout,2024-01-01,area,"5, 6, & 9",1.2,0.44,1.28
rainbowtrout,2024-02-01,area,"5, 6, & 9",0.48,0.31,0.65
rainbowtrout,2024-03-01,area,"5, 6, & 9",0.46,0.25,0.61
rainbowtrout,2024-04-01,area,"5, 6, & 9",0.31,0.22,1.38
rainbowtrout,2024-05-01,area,"5, 6, & 9",0.65,0.59,1.35
rainbowtrout,2024-06-01,area,"5, 6, & 9",0.84,0.42,2.72
rainbowtrout,2024-07-01,area,"5, 6, & 9",0.72,0.31,0.87
rainbowtrout,2024-08-01,area,"5, 6, & 9",0.55,0.32,0.97
rainbowtrout,2024-09-01,area,"5, 6, & 9",0.5,0.3,1.45
rainbowtrout,2024-10-01,area,"5, 6, & 9",0.65,0.19,0.89
rainbowtrout,2024-11-01,area,"5, 6, & 9",0.54,0.18,4.79
rainbowtrout,2024-12-01,area,"5, 6, & 9",1.07,0.62,2.68
rainbowtrout,2025-01-01,area,"5, 6, & 9",0.64,0.45,1.34
rainbowtrout,2025-02-01,area,"5, 6, & 9",0.78,0.74,0.97
rainbowtrout,2025-03-01,area,"5, 6, & 9",0.47,0.14,1.5
rainbowtrout,2025-04-01,area,"5, 6, & 9",0.57,0.21,1.29
rainbowtrout,2025-05-01,area,"5, 6, & 9",0.29,0.26,0.44
rainbowtrout,2025-06-01,area,"5, 6, & 9",0.37,0.27,0.44
rainbowtrout,2025-07-01,area,"5, 6, & 9",0.98,0.86,2.62
rainbowtrout,2025-08-01,area,"5, 6, & 9",0.54,0.34,1.26
rainbowtrout,2025-09-01,area,"5, 6, & 9",1.12,0.46,2.91
rainbowtrout,2025-10-01,area,"5, 6, & 9",0.78,0.56,1.1
rainbowtrout,2025-11-01,area,"5, 6, & 9",0.61,0.34,0.93
rainbowtrout,2025-12-01,area,"5, 6, & 9",0.52,0.16,0.83
rainbowtrout,2020-01-01,country,Norge,0.76,0.41,1.48
rainbowtrout,2020-02-01,country,Norge,0.67,0.42,1.22
rainbowtrout,2020-03-01,country,Norge,0.76,0.39,1.5
rainbowtrout,2020-04-01,country,Norge,0.52,0.24,1.61
rainbowtrout,2020-05-01,country,Norge,0.5,0.22,1.5
rainbowtrout,2020-06-01,country,Norge,0.56,0.28,1.09
rainbowtrout,2020-07-01,country,Norge,0.65,0.34,0.97
rainbowtrout,2020-08-01,country,Norge,0.85,0.47,1.66
rainbowtrout,2020-09-01,country,Norge,1.03,0.39,2.02
rainbowtrout,2020-10-01,country,Norge,0.68,0.34,1.17
rainbowtrout,2020-11-01,country,Norge,0.47,0.19,0.97
rainbowtrout,2020-12-01,country,Norge,0.63,0.32,1.08
rainbowtrout,2021-01-01,country,Norge,0.63,0.33,1.27
rainbowtrout,2021-02-01,country,Norge,0.68,0.25,1.55
rainbowtrout,2021-03-01,country,Norge,0.69,0.31,1.33
rainbowtrout,2021-04-01,country,Norge,0.49,0.21,1.17
rainbowtrout,2021-05-01,country,Norge,0.53,0.16,1.14
rainbowtrout,2021-06-01,country,Norge,0.52,0.3,1.06
rainbowtrout,2021-07-01,country,Norge,0.87,0.36,1.68
rainbowtrout,2021-08-01,country,Norge,0.95,0.45,1.29
rainbowtrout,2021-09-01,country,Norge,0.99,0.53,2.06
rainbowtrout,2021-10-01,country,Norge,0.68,0.37,1.35
rainbowtrout,2021-11-01,country,Norge,0.72,0.34,1.43
rainbowtrout,2021-12-01,country,Norge,0.84,0.39,1.49
rainbowtrout,2022-01-01,country,Norge,0.75,0.37,1.2
rainbowtrout,2022-02-01,country,Norge,0.54,0.37,0.96
rainbowtrout,2022-03-01,country,Norge,0.62,0.43,0.94
rainbowtrout,2022-04-01,country,Norge,0.85,0.48,1.67
rainbowtrout,2022-05-01,country,Norge,0.75,0.39,1.32
rainbowtrout,2022-06-01,country,Norge,0.74,0.48,1.11
rainbowtrout,2022-07-01,country,Norge,0.89,0.53,1.27
rainbowtrout,2022-08-01,country,Norge,0.78,0.45,1.3
rainbowtrout,2022-09-01,country,Norge,1.16,0.53,1.85
rainbowtrout,2022-10-01,country,Norge,0.77,0.52,1.74
rainbowtrout,2022-11-01,country,Norge,0.74,0.37,1.12
rainbowtrout,2022-12-01,country,Norge,0.78,0.34,1.62
rainbowtrout,2023-01-01,country,Norge,0.51,0.28,1.56
rainbowtrout,2023-02-01,country,Norge,0.41,0.19,0.81
rainbowtrout,2023-03-01,country,Norge,0.54,0.29,0.96
rainbowtrout,2023-04-01,country,Norge,0.66,0.27,1.36
rainbowtrout,2023-05-01,country,Norge,0.47,0.2,1.03
rainbowtrout,2023-06-01,country,Norge,0.53,0.31,1.02
rainbowtrout,2023-07-01,country,Norge,0.58,0.4,1.46
rainbowtrout,2023-08-01,country,Norge,0.56,0.4,0.87
rainbowtrout,2023-09-01,country,Norge,0.71,0.52,1.4
rainbowtrout,2023-10-01,country,Norge,0.74,0.45,1.45
rainbowtrout,2023-11-01,country,Norge,0.91,0.49,1.48
rainbowtrout,2023-12-01,country,Norge,0.66,0.36,1.25
rainbowtrout,2024-01-01,country,Norge,0.64,0.33,1.17
rainbowtrout,2024-02-01,country,Norge,0.5,0.26,0.86
rainbowtrout,2024-03-01,country,Norge,0.6,0.24,0.99
rainbowtrout,2024-04-01,country,Norge,0.44,0.21,0.98
rainbowtrout,2024-05-01,country,Norge,0.42,0.22,0.88
rainbowtrout,2024-06-01,country,Norge,0.45,0.23,0.93
rainbowtrout,2024-07-01,country,Norge,0.71,0.36,1.08
rainbowtrout,2024-08-01,country,Norge,0.79,0.41,1.26
rainbowtrout,2024-09-01,country,Norge,0.76,0.45,1.13
rainbowtrout,2024-10-01,country,Norge,0.82,0.4,1.15
rainbowtrout,2024-11-01,country,Norge,0.51,0.32,1.24
rainbowtrout,2024-12-01,country,Norge,0.56,0.34,0.9
rainbowtrout,2025-01-01,country,Norge,0.59,0.34,1.14
rainbowtrout,2025-02-01,country,Norge,0.63,0.41,0.99
rainbowtrout,2025-03-01,country,Norge,0.61,0.25,0.96
rainbowtrout,2025-04-01,country,Norge,0.57,0.25,1.22
rainbowtrout,2025-05-01,country,Norge,0.33,0.21,1.02
rainbowtrout,2025-06-01,country,Norge,0.43,0.29,0.79
rainbowtrout,2025-07-01,country,Norge,0.95,0.36,1.8
rainbowtrout,2025-08-01,country,Norge,1,0.46,1.62
rainbowtrout,2025-09-01,country,Norge,1.12,0.52,2.66
rainbowtrout,2025-10-01,country,Norge,0.78,0.43,1.61
rainbowtrout,2025-11-01,country,Norge,0.78,0.5,1.72
rainbowtrout,2025-12-01,country,Norge,0.56,0.38,1.09
rainbowtrout,2020-01-01,county,Rogaland & Vestland,0.73,0.39,1.56
rainbowtrout,2020-02-01,county,Rogaland & Vestland,0.65,0.48,1.27
rainbowtrout,2020-03-01,county,Rogaland & Vestland,0.76,0.39,1.63
rainbowtrout,2020-04-01,county,Rogaland & Vestland,0.65,0.19,1.66
rainbowtrout,2020-05-01,county,Rogaland & Vestland,0.5,0.23,1.56
rainbowtrout,2020-06-01,county,Rogaland & Vestland,0.65,0.29,1.74
rainbowtrout,2020-07-01,county,Rogaland & Vestland,0.66,0.34,1
rainbowtrout,2020-08-01,county,Rogaland & Vestland,0.87,0.52,1.73
rainbowtrout,2020-09-01,county,Rogaland & Vestland,1,0.39,1.92
rainbowtrout,2020-10-01,county,Rogaland & Vestland,0.66,0.39,1.14
rainbowtrout,2020-11-01,county,Rogaland & Vestland,0.52,0.25,0.92
rainbowtrout,2020-12-01,county,Rogaland & Vestland,0.62,0.29,1.05
rainbowtrout,2021-01-01,county,Rogaland & Vestland,0.78,0.38,1.27
rainbowtrout,2021-02-01,county,Rogaland & Vestland,0.76,0.28,1.83
rainbowtrout,2021-03-01,county,Rogaland & Vestland,0.93,0.42,1.63
rainbowtrout,2021-04-01,county,Rogaland & Vestland,0.63,0.16,1.21
rainbowtrout,2021-05-01,county,Rogaland & Vestland,0.62,0.22,1.22
rainbowtrout,2021-06-01,county,Rogaland & Vestland,0.6,0.29,1.26
rainbowtrout,2021-07-01,county,Rogaland & Vestland,0.96,0.38,1.88
rainbowtrout,2021-08-01,county,Rogaland & Vestland,0.95,0.45,1.4
rainbowtrout,2021-09-01,county,Rogaland & Vestland,0.83,0.43,2.13
rainbowtrout,2021-10-01,county,Rogaland & Vestland,0.58,0.37,1.26
rainbowtrout,2021-11-01,county,Rogaland & Vestland,0.61,0.34,1.31
rainbowtrout,2021-12-01,county,Rogaland & Vestland,0.74,0.39,1.39
rainbowtrout,2022-01-01,county,Rogaland & Vestland,0.76,0.37,1.11
rainbowtrout,2022-02-01,county,Rogaland & Vestland,0.52,0.37,0.96
rainbowtrout,2022-03-01,county,Rogaland & Vestland,0.62,0.45,0.86
rainbowtrout,2022-04-01,county,Rogaland & Vestland,0.72,0.44,1.18
rainbowtrout,2022-05-01,county,Rogaland & Vestland,0.69,0.36,1.32
rainbowtrout,2022-06-01,county,Rogaland & Vestland,0.69,0.45,0.88
rainbowtrout,2022-07-01,county,Rogaland & Vestland,0.89,0.61,1.13
rainbowtrout,2022-08-01,county,Rogaland & Vestland,0.76,0.39,1.27
rainbowtrout,2022-09-01,county,Rogaland & Vestland,1.07,0.45,1.71
rainbowtrout,2022-10-01,county,Rogaland & Vestland,0.69,0.47,1.44
rainbowtrout,2022-11-01,county,Rogaland & Vestland,0.73,0.37,1.11
rainbowtrout,2022-12-01,county,Rogaland & Vestland,0.58,0.32,1.59
rainbowtrout,2023-01-01,county,Rogaland & Vestland,0.51,0.27,1.49
rainbowtrout,2023-02-01,county,Rogaland & Vestland,0.42,0.18,0.83
rainbowtrout,2023-03-01,county,Rogaland & Vestland,0.52,0.26,1.03
rainbowtrout,2023-04-01,county,Rogaland & Vestland,0.64,0.25,1.33
rainbowtrout,2023-05-01,county,Rogaland & Vestland,0.47,0.2,0.91
rainbowtrout,2023-06-01,county,Rogaland & Vestland,0.53,0.37,0.91
rainbowtrout,2023-07-01,county,Rogaland & Vestland,0.61,0.4,1.59
rainbowtrout,2023-08-01,county,Rogaland & Vestland,0.55,0.38,0.86
rainbowtrout,2023-09-01,county,Rogaland & Vestland,0.71,0.51,1.5
rainbowtrout,2023-10-01,county,Rogaland & Vestland,0.68,0.46,1.31
rainbowtrout,2023-11-01,county,Rogaland & Vestland,0.88,0.49,1.46
rainbowtrout,2023-12-01,county,Rogaland & Vestland,0.65,0.4,1.24
rainbowtrout,2024-01-01,county,Rogaland & Vestland,0.63,0.28,0.93
rainbowtrout,2024-02-01,county,Rogaland & Vestland,0.5,0.26,0.87
rainbowtrout,2024-03-01,county,Rogaland & Vestland,0.61,0.24,1.15
rainbowtrout,2024-04-01,county,Rogaland & Vestland,0.45,0.2,0.88
rainbowtrout,2024-05-01,county,Rogaland & Vestland,0.36,0.18,0.85
rainbowtrout,2024-06-01,county,Rogaland & Vestland,0.39,0.22,0.89
rainbowtrout,2024-07-01,county,Rogaland & Vestland,0.71,0.38,1.12
rainbowtrout,2024-08-01,county,Rogaland & Vestland,0.81,0.41,1.24
rainbowtrout,2024-09-01,county,Rogaland & Vestland,0.79,0.53,1.13
rainbowtrout,2024-10-01,county,Rogaland & Vestland,0.84,0.41,1.16
rainbowtrout,2024-11-01,county,Rogaland & Vestland,0.51,0.33,1.08
rainbowtrout,2024-12-01,county,Rogaland & Vestland,0.49,0.31,0.83
rainbowtrout,2025-01-01,county,Rogaland & Vestland,0.59,0.34,1.13
rainbowtrout,2025-02-01,county,Rogaland & Vestland,0.63,0.36,0.99
rainbowtrout,2025-03-01,county,Rogaland & Vestland,0.61,0.32,0.94
rainbowtrout,2025-04-01,county,Rogaland & Vestland,0.58,0.28,1.2
rainbowtrout,2025-05-01,county,Rogaland & Vestland,0.35,0.2,1.05
rainbowtrout,2025-06-01,county,Rogaland & Vestland,0.45,0.29,0.84
rainbowtrout,2025-07-01,county,Rogaland & Vestland,0.94,0.34,1.74
rainbowtrout,2025-08-01,county,Rogaland & Vestland,1.02,0.51,1.62
rainbowtrout,2025-09-01,county,Rogaland & Vestland,1.09,0.53,2.63
rainbowtrout,2025-10-01,county,Rogaland & Vestland,0.8,0.39,1.64
rainbowtrout,2025-11-01,county,Rogaland & Vestland,0.9,0.51,1.73
rainbowtrout,2025-12-01,county,Rogaland & Vestland,0.58,0.38,1.2
rainbowtrout,2020-01-01,county,"Møre og Romsdal, Trøndelag,  Nordland, & Troms",0.88,0.44,1.58
rainbowtrout,2020-02-01,county,"Møre og Romsdal, Trøndelag,  Nordland, & Troms",0.78,0.4,1.17
rainbowtrout,2020-03-01,county,"Møre og Romsdal, Trøndelag,  Nordland, & Troms",0.85,0.41,1
rainbowtrout,2020-04-01,county,"Møre og Romsdal, Trøndelag,  Nordland, & Troms",0.43,0.36,0.91
rainbowtrout,2020-05-01,county,"Møre og Romsdal, Trøndelag,  Nordland, & Troms",0.5,0.19,1.16
rainbowtrout,2020-06-01,county,"Møre og Romsdal, Trøndelag,  Nordland, & Troms",0.34,0.18,0.59
rainbowtrout,2020-07-01,county,"Møre og Romsdal, Trøndelag,  Nordland, & Troms",0.44,0.34,0.95
rainbowtrout,2020-08-01,county,"Møre og Romsdal, Trøndelag,  Nordland, & Troms",0.63,0.45,1.48
rainbowtrout,2020-09-01,county,"Møre og Romsdal, Trøndelag,  Nordland, & Troms",1.06,0.66,2.25
rainbowtrout,2020-10-01,county,"Møre og Romsdal, Trøndelag,  Nordland, & Troms",0.84,0.21,1.98
rainbowtrout,2020-11-01,county,"Møre og Romsdal, Trøndelag,  Nordland, & Troms",0.27,0.19,1.19
rainbowtrout,2020-12-01,county,"Møre og Romsdal, Trøndelag,  Nordland, & Troms",0.68,0.43,1.25
rainbowtrout,2021-01-01,county,"Møre og Romsdal, Trøndelag,  Nordland, & Troms",0.42,0.29,1.27
rainbowtrout,2021-02-01,county,"Møre og Romsdal, Trøndelag,  Nordland, & Troms",0.37,0.22,1.28
rainbowtrout,2021-03-01,county,"Møre og Romsdal, Trøndelag,  Nordland, & Troms",0.5,0.27,0.61
rainbowtrout,2021-04-01,county,"Møre og Romsdal, Trøndelag,  Nordland, & Troms",0.39,0.27,0.6
rainbowtrout,2021-05-01,county,"Møre og Romsdal, Trøndelag,  Nordland, & Troms",0.38,0.16,0.72
rainbowtrout,2021-06-01,county,"Møre og Romsdal, Trøndelag,  Nordland, & Troms",0.49,0.31,0.93
rainbowtrout,2021-07-01,county,"Møre og Romsdal, Trøndelag,  Nordland, & Troms",0.6,0.39,1.04
rainbowtrout,2021-08-01,county,"Møre og Romsdal, Trøndelag,  Nordland, & Troms",0.94,0.47,1.12
rainbowtrout,2021-09-01,county,"Møre og Romsdal, Trøndelag,  Nordland, & Troms",1.27,0.9,1.82
rainbowtrout,2021-10-01,county,"Møre og Romsdal, Trøndelag,  Nordland, & Troms",0.76,0.35,1.54
rainbowtrout,2021-11-01,county,"Møre og Romsdal, Trøndelag,  Nordland, & Troms",0.8,0.53,1.61
rainbowtrout,2021-12-01,county,"Møre og Romsdal, Trøndelag,  Nordland, & Troms",1.44,0.75,2.18
rainbowtrout,2022-01-01,county,"Møre og Romsdal, Trøndelag,  Nordland, & Troms",0.62,0.34,1.26
rainbowtrout,2022-02-01,county,"Møre og Romsdal, Trøndelag,  Nordland, & Troms",0.74,0.44,0.93
rainbowtrout,2022-03-01,county,"Møre og Romsdal, Trøndelag,  Nordland, & Troms",0.52,0.29,2.31
